geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
42003472200,42003472200,Census Tract 4722; Allegheny County; Pennsylvania,1659,1143,480,Pittsburgh city,Pennsylvania,41179,0.5791955946290654,0.20280505943526828,42003,1659,1143,480,0.014005,0.007970327637,0.003463550263,0.822326961705634,0.7434124984008206,0.8641929784542138,-0.2160613072029701,-0.3451482214129213,-0.1571489527590294,-5.020032149639431,-8.019275595033129,-3.651245127344353,-302.59386073775954,-483.3800840887962,-220.08710833902063,0.8063971472410003,0.7216935835744525,0.8516708965173371,-0.24008375205863597,-0.3856296117351256,-0.17416246591167092,-5.578176720037205,-8.95983215978937,-4.046542110919206,-336.2372947581196,-540.0742712350434,-302.59386073775954,-0.5581445703977739,-0.9405565647562408,-0.3952969835748528,-33.64343402036009,-56.69418714624719,-23.827425170274427,0.8854735871726512,0.8495790114665571,0.9224930814447528,-0.1293391632301938,-0.17705356006121634,-0.0840189700218246,-0.5120327878957034,-0.7009263528607732,-0.3326174870934791,-44.79726928221377,-61.323390451511216,-29.100392571607973,0.8747685731902298,0.8358419271777229,0.9150807711031418,-0.14315949457701535,-0.19639846660548368,-0.09279970859237592,-0.5667452401214917,-0.7775097030392032,-0.3673790081809539,-49.58401050931686,-68.02359606642197,-32.1416455101447,-0.05471245222578835,-0.07658335017842999,-0.03476152108747482,-4.786741227103094,-6.70020561491076,-3.0412529385367297,0.8495790114665571,0.8147863566346003,0.9224930814447528,-0.17705356006121634,-0.22731559243383445,-0.0840189700218246,-0.677363943832873,-0.8696542793742811,-0.3214361850226671,-141.1174882985152,-181.1779748696419,-66.96587187972231,0.8358419271777229,-0.19639846660548368,-0.7513728606000519,0.7982669025339286,-0.25271384398590563,-0.9668218247872176,0.9150807711031418,-0.09279970859237592,-0.35502915940769286,-156.5360126250108,-201.42121349733696,-73.96440820993601,-0.07400891676717891,-0.09716754541293648,-0.03359297438502579,-15.418524326495607,-20.243238627695103,-6.998536330213706,0.1917
42003482500,42003482500,Census Tract 4825; Allegheny County; Pennsylvania,1285,777,310,Pittsburgh city,Pennsylvania,108850,0.6701148495859081,0.24911921529995548,42003,1285,777,310,0.014005,0.007970327637,0.003463550263,0.7923656989355181,0.7027452243784231,0.8405889810457825,-0.2620435252856383,-0.4229908156039028,-0.18964205164323372,-4.715846649538593,-7.612322488704465,-3.412878959243582,-366.9919571625364,-592.3986372532657,-265.5936933263488,0.774137728113897,0.6783872754944056,0.8261179562911347,-0.2917598040808475,-0.47408425264345433,-0.21048089123920097,-5.250633432155666,-8.531821696378977,-3.787903573119437,-408.6096056152269,-663.9549958271577,-366.9919571625364,-0.5347867826170729,-0.9194992076745114,-0.3750246138758544,-41.617648452690496,-71.55635857389194,-29.18479485415209,0.8652728507059357,0.8237044061099346,0.9084801910847669,-0.15570481517378787,-0.2140277417267286,-0.10073946555285296,-0.4190294594048842,-0.5759868685711468,-0.27110788927261925,-53.929145354553945,-74.1295841146907,-34.891620241006336,0.8528416171256431,0.807883108787134,0.8998021124411684,-0.17255065878507322,-0.23780283202267835,-0.11135547046782784,-0.46436463246152615,-0.6399698817033653,-0.2996774540326845,-59.76378796158638,-82.36420613942926,-38.56852690253339,-0.04533517305664197,-0.06398301313221855,-0.02856956476006522,-5.834642607032429,-8.234622024738552,-3.676906661527056,0.8237044061099346,0.7837287974306246,0.9084801910847669,-0.2140277417267286,-0.27595158335179026,-0.10073946555285296,-0.5288200797404653,-0.6818216046914318,-0.24890722939407917,-170.5871224969243,-219.94245312626833,-80.29265464325134,0.807883108787134,-0.23780283202267835,-0.5875636101104388,0.7648607681539882,-0.3074274974431315,-0.7595923425658688,0.8998021124411684,-0.11135547046782784,-0.27513727097826834,-189.53664842272215,-245.02978792447385,-88.75395838008656,-0.05874353036997348,-0.077770737874437,-0.02623004158418918,-18.9495259257979,-25.08733479820548,-8.461303736835218,0.3339
42003560500,42003560500,Census Tract 5605; Allegheny County; Pennsylvania,1920,979,318,Pittsburgh city,Pennsylvania,34912,0.6460936327531462,0.203802132965335,42003,1920,979,318,0.014005,0.007970327637,0.003463550263,0.8001738096593957,0.7132682943437427,0.8467618500301066,-0.24972848139788895,-0.40199698757123464,-0.18096959607290408,-6.7150989733966755,-10.809538196995472,-4.866200050561962,-349.7447381977435,-562.9967810935142,-253.4479193001022,0.7825331884428556,0.6895697656289734,0.8327936622114208,-0.27790107150583165,-0.4501795900054805,-0.20077763001290783,-7.472648652363211,-12.10514910341137,-5.398830159995087,-389.2004506439173,-630.4765158026754,-349.7447381977435,-0.7575496789665355,-1.295610906415897,-0.5326301094331249,-39.45571244617372,-67.4797347091613,-27.74115153297526,0.8705647321103127,0.8304629792644098,0.9121616270926278,-0.1486796594389101,-0.2041475959419156,-0.096296939378324,-0.5041453246077874,-0.6922268749635154,-0.3265251746259816,-51.495947355238755,-70.70754596154396,-33.35292897098893,0.8585808075729928,0.815177726572,0.903813820917926,-0.16471273429319502,-0.2267263535342383,-0.10642255833661188,-0.5585105266628513,-0.768787280862879,-0.36085928243767096,-57.04908341806448,-78.52781214125424,-36.859987991590494,-0.0543652020550639,-0.07656040589936353,-0.03433410781168938,-5.553136062825731,-7.820266179710268,-3.5070590206015715,0.8304629792644098,0.791817366008996,0.9121616270926278,-0.2041475959419156,-0.26291748947147847,-0.096296939378324,-0.517425185856221,-0.6663812533620878,-0.2440707740168111,-162.7123225962959,-209.5538532585182,-76.75181572855695,0.815177726572,-0.2267263535342383,-0.5746524962720349,0.7735484578218029,-0.2927438350996793,-0.7419780408671176,0.903813820917926,-0.10642255833661188,-0.2697348052155525,-180.70833216101724,-233.3264279456345,-84.82226579105424,-0.05722731041581386,-0.07559678750502985,-0.02566403119874139,-17.996009564721337,-23.772574687116304,-8.070450062497292,0.0709
42003170200,42003170200,Census Tract 1702; Allegheny County; Pennsylvania,3595,1115,326,Pittsburgh city,Pennsylvania,64986,0.4657573704525667,0.2923542673515849,42003,3595,1115,326,0.014005,0.007970327637,0.003463550263,0.8613025403766011,0.7974677774457282,0.8945747651451,-0.1610322193671389,-0.2539691612405684,-0.11784955149925336,-8.107646154891226,-12.786832980911106,-5.933486272645621,-225.525623223678,-355.68381031741603,-165.0482968747043,0.8485380095886335,0.7796226685973285,0.8846639036496654,-0.1784975907971341,-0.2826717850561825,-0.1303727843698805,-8.986992239014336,-14.23195196721405,-6.564005688135135,-249.98587591138627,-395.8818349711836,-225.525623223678,-0.8793460841231102,-1.445118986302944,-0.6305194154895144,-24.460252687708213,-40.19802465376757,-17.538787635313337,0.9113402170267036,0.8830048861898513,0.9402801565837414,-0.09728505482020072,-0.13249656444708968,-0.06351281902325238,-0.3757011200874503,-0.5116829893606051,-0.2452775227505208,-33.695167720847564,-45.8908510637314,-21.99798410318572,0.9029185791719804,0.8720862065416873,0.934507945117386,-0.10751957382142688,-0.1466756296554246,-0.07008185989728262,-0.4152253847283389,-0.5664405334706413,-0.27064622937082006,-37.2399448186851,-50.801841566873655,-24.273204427876237,-0.03952426464088859,-0.05475754411003619,-0.02536870662029924,-3.5447770978375424,-4.910990503142259,-2.2752203246905154,0.8830048861898513,0.8552676335687085,0.9402801565837414,-0.13249656444708968,-0.1692246505662538,-0.06351281902325238,-0.34426937559098214,-0.43970094642198104,-0.16502706042532736,-105.60410294201908,-134.87759092698806,-50.62179767648078,0.8720862065416873,-0.1466756296554246,-0.3811112208577445,0.8420002893956837,-0.1876480478619729,-0.48757095354050234,0.934507945117386,-0.07008185989728262,-0.18209557544208563,-116.90528247170076,-149.56164219033812,-55.857538479167374,-0.03684184526676237,-0.04787000711852129,-0.01706851501675826,-11.30117952968171,-14.68405126335009,-5.2357408026865855,0.1303
42003151600,42003151600,Census Tract 1516; Allegheny County; Pennsylvania,1815,1067,520,Pittsburgh city,Pennsylvania,47392,0.6935068715843551,0.2217149960490266,42003,1815,1067,520,0.014005,0.007970327637,0.003463550263,0.7848353388763409,0.6926470112153522,0.8346210500231956,-0.27415261579800054,-0.4437368295942709,-0.1981485489399149,-6.968705902415561,-11.279379751718992,-5.036752826644867,-383.95073842509976,-621.4534298467764,-277.5070427903508,0.7660487439588838,0.6676719958752608,0.8196685412767919,-0.30539996036293104,-0.4977414152125485,-0.2200053431870242,-7.762984497462371,-12.652126363893911,-5.592332318871707,-427.7126444882849,-697.0868520051743,-383.95073842509976,-0.7942785950468103,-1.3727466121749199,-0.5555794922268396,-43.761906063185144,-75.63342215839779,-30.61044034307656,0.8601504975646812,0.8171757272397495,0.9049094639269144,-0.162587248198159,-0.22372699857078848,-0.10508292803175448,-0.600858756376411,-0.8268073149576388,-0.38834532322361326,-56.31291062571799,-77.48897047400551,-36.39600030211933,0.8472896266657632,0.8008422995882081,0.895912597533488,-0.18023397021297133,-0.2486852911168635,-0.11618030905366458,-0.66607412573316,-0.9190433838173312,-0.42935689475678346,-62.42494149326711,-86.13340054520441,-40.23963399782413,-0.0652153693567491,-0.09223606885969228,-0.0410115715331702,-6.112030867549119,-8.6444300711989,-3.8436336957047983,0.8171757272397495,0.7759315104862086,0.9049094639269144,-0.22372699857078848,-0.2887735405582218,-0.10508292803175448,-0.9272522895229438,-1.1968422601956783,-0.4355235900435549,-178.31774798518148,-230.16197311455355,-83.75453654683749,0.8008422995882081,-0.2486852911168635,-1.0306936893261465,0.7564944179124727,-0.32188681941563396,-1.334082574642717,0.895912597533488,-0.11618030905366458,-0.4815174666253246,-198.2103248704128,-256.5543412774456,-92.5995128125624,-0.10344139980320266,-0.13724031444703844,-0.04599387658176968,-19.89257688523128,-26.39236816289201,-8.844976265724938,0.2813
42003100500,42003100500,Census Tract 1005; Allegheny County; Pennsylvania,1196,835,484,Pittsburgh city,Pennsylvania,43921,0.7330701878099141,0.1875658759804985,42003,1196,835,484,0.014005,0.007970327637,0.003463550263,0.7722616377456148,0.6758968965106125,0.824623663622257,-0.29489793500451306,-0.4795155964801781,-0.21267439210679653,-4.939534513366894,-8.031876650731054,-3.562291814301,-413.00455797382057,-671.5615928704894,-297.8504861455686,0.7525596133374772,0.6499328637412093,0.8088749250763108,-0.3287983865692256,-0.5386204572633839,-0.23628507819754477,-5.507366399066798,-9.021881886752537,-3.957770334107311,-460.48214039020047,-754.3379503973691,-413.00455797382057,-0.5678318856999036,-0.9900052360214816,-0.3954785198063111,-47.4775824163799,-82.77635752687972,-33.0667658700929,0.8515558975774745,0.806251219903837,0.8989021463702384,-0.174321031472887,-0.24030820085986573,-0.1124681413188234,-0.5041476614276315,-0.6949868094615195,-0.3252651154706832,-60.37696544043491,-83.2319532289245,-38.9539060443932,0.8379815893201213,0.789073436073815,0.8893724232561928,-0.19334363993763737,-0.2673091683021168,-0.12438835953421482,-0.5591622714877433,-0.7730753480462152,-0.35973915504135506,-66.96554149553813,-92.5838740175108,-43.08253353788684,-0.05501461006011188,-0.07808853858469578,-0.03447403957067185,-6.5885760551032195,-9.35192078858632,-4.128627493493635,0.806251219903837,0.7629199795636208,0.8989021463702384,-0.24030820085986573,-0.31075345617765254,-0.1124681413188234,-0.9270221858401894,-1.19877452027195,-0.43386144055715287,-191.5335094711135,-247.6806860066012,-89.64079350354397,0.789073436073815,-0.2673091683021168,-1.0311821594430537,0.7425520259153843,-0.3467069849647849,-1.337470239875592,0.8893724232561928,-0.12438835953421482,-0.4798453341828561,-213.0541651741846,-276.33682642057687,-99.14159797166448,-0.10415997360286412,-0.13869571960364202,-0.04598389362570321,-21.520655703071096,-28.656140413975624,-9.500804468120498,0.6054
42003051100,42003051100,Census Tract 511; Allegheny County; Pennsylvania,405,214,128,Pittsburgh city,Pennsylvania,25078,0.5822291694684304,0.2488125975433268,42003,405,214,128,0.014005,0.007970327637,0.003463550263,0.8213092504365478,0.7420183946749647,0.86339483047755206,-0.2175681687116921,-0.3476754851044389,-0.15821865582272515,-1.2340520921369351,-1.9720240433995049,-0.8974201712928925,-304.70422028072477,-486.9195168887667,-221.58522747972657,0.8052994190017198,0.7202050110011492,0.8508056953149826,-0.24177414810461256,-0.3884935327094029,-0.1753564950335495,-1.371349012403065,-2.2035450298660506,-0.9946264237426684,-338.6046944205099,-544.0851925595186,-304.70422028072477,-0.1372969202661296,-0.23152098646654573,-0.097206252449776,-33.90047413978509,-57.16567567075204,-24.001543814759504,0.8847920328370933,0.8487027224022234,0.9220220658778656,-0.130209091952932,-0.1782688727208685,-0.08457274181165164,-0.09651094722121374,-0.13213284501337463,-0.06268529561889671,-45.09857346785689,-61.74432009970778,-29.29219421443772,0.8740279556165643,0.8348936439928307,0.9145668302176996,-0.14412816383495583,-0.19775735172393652,-0.09341380745457856,-0.10682775990784144,-0.1465777009007555,-0.0692382913187073,-49.91951397562684,-68.49425275736237,-32.354341737713696,-0.01031681268662769,-0.01444485588738087,-0.00655299569981059,-4.820940507769951,-6.749932657654612,-3.062147523275977,0.8487027224022234,0.8137305211149917,0.9220220658778656,-0.1782688727208685,-0.228908064834262,-0.08457274181165164,-0.18187024935218865,-0.23353245126153044,-0.0862812750589789,-142.08613230639736,-182.44722754807063,-67.40724613982727,0.8348936439928307,-0.19775735172393652,-0.20175243339074828,0.7971291045042763,-0.2545019299249979,-0.2596433620161342,0.9145668302176996,-0.09341380745457856,-0.09530094735777588,-157.61908858652208,-202.84637657510484,-74.45386512326242,-0.01988218403855965,-0.02611091075460375,-0.00901967229879699,-15.53295628012473,-20.399149027034184,-7.046618983435152,0.7104
42003050100,42003050100,Census Tract 501; Allegheny County; Pennsylvania,903,590,365,Pittsburgh city,Pennsylvania,48847,0.6384625024824342,0.24242028421444023,42003,903,590,365,0.014005,0.007970327637,0.003463550263,0.8026703813881227,0.7166441631470097,0.8487323370603663,-0.24584141035653911,-0.3953926529013866,-0.1782277596062358,-3.109037083695128,-5.000339115807178,-2.253960035276655,-344.3008952043331,-553.7474103883918,-249.60797732853325,0.7852192925987489,0.6931606891403035,0.8349256901328643,-0.273529585207231,-0.44266692509677047,-0.19771137936942257,-3.4591960022670247,-5.598193908240185,-2.500359924866093,-383.078184082727,-619.9550285980271,-344.3008952043331,-0.35015891857189674,-0.5978547924330062,-0.24639988958943793,-38.77728887839388,-66.20761820963524,-27.286809478343073,0.8722526369900593,0.8326216477485531,0.9133342759932512,-0.14645683783859584,-0.2010257032159152,-0.09488938090328404,-0.29928376533627005,-0.41079495007351347,-0.19390594270825123,-50.7260619214017,-69.62626272432432,-32.865414018347664,0.8604121216601033,0.8175088596158077,0.9050920119609952,-0.16223374221015385,-0.2232283335375166,-0.10486004382402474,-0.33152378509467706,-0.4561659064664213,-0.21428093909528656,-56.190472049945264,-77.31625533329175,-36.318803236489245,-0.03224001975840701,-0.04537095639290783,-0.02037499638703532,-5.464410128543562,-7.689992608967429,-3.4533892181415804,0.8326216477485531,0.7944043976361499,0.9133342759932512,-0.2010257032159152,-0.2588047132866153,-0.09488938090328404,-0.5848178621025466,-0.7529068009963724,-0.27604930110101167,-160.22407180891688,-206.2758358894171,-75.62994550712648,0.8175088596158077,-0.2232283335375166,-0.6494090789967657,0.7763289891767572,-0.2881136914137785,-0.8381715888047649,0.9050920119609952,-0.10486004382402474,-0.30505565043729427,-177.92029561555225,-229.63605172733287,-83.57689053076555,-0.0645912168942191,-0.08526478780839253,-0.0290063493362826,-17.696223806635366,-23.36021583791576,-7.946945023639069,0.8446
42003250900,42003250900,Census Tract 2509; Allegheny County; Pennsylvania,781,436,152,Pittsburgh city,Pennsylvania,40603,0.6783849677716477,0.23681849231891175,42003,781,436,152,0.014005,0.007970327637,0.003463550263,0.7896951612298512,0.6991583434554762,0.8384741916396529,-0.2663114187538207,-0.4302911627395633,-0.1926425523539135,-2.9128889987445095,-4.706483860384883,-2.1071059366046323,-372.9691419647259,-602.6227734167584,-269.7958945716559,0.7712681985740563,0.6745794379088996,0.8238320232498181,-0.2965658403248441,-0.482405101317434,-0.21383968063688744,-3.2438089877183143,-5.276501169725468,-2.3389581120366145,-415.3404593749442,-675.6083443950663,-372.9691419647259,-0.3309199889738048,-0.5700173093405851,-0.23185217543198225,-42.37131741021828,-72.98557097830796,-29.686578160305025,0.8634583948958878,0.8213902891256488,0.9072161732543896,-0.15813339231078502,-0.21744804295711495,-0.10227311800755688,-0.23879848730181633,-0.3283700106986066,-0.154443444960986,-54.77029525271016,-75.31422263729509,-35.42280847729037,0.8508745969147284,0.8053868243295971,0.8984250703824528,-0.17526131773824288,-0.24163938345080163,-0.11305887710180164,-0.26466350305166375,-0.3649015454445513,-0.17073110513490738,-60.702638314601785,-83.69301501021818,-39.158510352042974,-0.02586501574984742,-0.03653153474594467,-0.01628766017392138,-5.932343061891611,-8.37879237292309,-3.7357018747526114,0.8213902891256488,0.780963196735823,0.9072161732543896,-0.21744804295711495,-0.28047007103494875,-0.10227311800755688,-0.26343608625168385,-0.33978663049522323,-0.12390283936462454,-173.3132146392657,-223.54383585212057,-81.51502589777931,0.8053868243295971,-0.24163938345080163,-0.29274364852804585,0.7618923708605535,-0.31252134585690255,-0.3786164230454273,0.8984250703824528,-0.11305887710180164,-0.13696967650144676,-192.59450561055647,-249.0897520035706,-90.1116292772676,-0.02930756227636199,-0.03882979255020408,-0.01306683713682221,-19.28129097129079,-25.545916151450054,-8.596603379488302,0.4972
42003981200,42003981200,Census Tract 9812; Allegheny County; Pennsylvania,0,0,0,Pittsburgh city,Pennsylvania,41429,0.3673062488749979,0.26484989221959887,42003,0,0,0,0.014005,0.007970327637,0.003463550263,0.8966230473927119,0.8475573091014745,0.9218070368003728,-0.11529589040555858,-0.17986121913117045,-0.08482573909506913,-0,-0,-0,NA,NA,NA,0.8868923071557763,0.8336542735135013,0.9143322135058908,-0.12753261239457023,-0.1995380240605276,-0.09369437632042608,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9344011176406992,0.9130787768835884,0.9559950128918054,-0.07020419937524634,-0.09519575453618662,-0.04603056136776606,-0,-0,-0,NA,NA,NA,0.9280827147594818,0.9048135031259056,0.9517024544951902,-0.07749016773699531,-0.10520012858478432,-0.05074857722251875,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9130787768835884,0.8920273510205324,0.9559950128918054,-0.09519575453618662,-0.12104185914920704,-0.04603056136776606,-0,-0,-0,NA,NA,NA,0.9048135031259056,-0.10520012858478432,-0,0.8818931876711855,-0.1339241690262956,-0,0.9517024544951902,-0.05074857722251875,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
42003010302,42003010302,Census Tract 103.02; Allegheny County; Pennsylvania,2175,280,95,Pittsburgh city,Pennsylvania,45780,0.4378900512920301,0.2840852790267402,42003,2175,280,95,0.014005,0.007970327637,0.003463550263,0.871156658129331,0.8113377638279082,0.902200380922105,-0.14789916448247026,-0.2325322998426444,-0.1084012167872704,-4.505137961904967,-7.083137318969311,-3.3019959144049453,-207.13277985769963,-325.6614859296235,-151.8159041105722,0.8592229849232892,0.7945511486239819,0.8929626761778621,-0.16384223600498685,-0.2585722161900063,-0.1198676346477196,-4.990777870668404,-7.876335955836759,-3.6512730355498566,-229.4610515249841,-362.1303887741039,-207.13277985769963,-0.4856399087634369,-0.793198636867448,-0.3492771211449113,-22.328271667284454,-36.46890284448037,-16.05871821355914,0.9178094079819424,0.8914155728499766,0.9447019653960056,-0.08955082755010778,-0.12181122975321625,-0.05853489950220889,-0.08684586184765218,-0.11813180871746956,-0.05676679863835517,-31.01637923130435,-42.18993168481056,-20.27385665655542,0.9099714267465766,0.8812278998354676,0.9393432107106036,-0.09893560457750064,-0.1347802312962494,-0.06457361760618911,-0.0959471629912506,-0.13070906955493117,-0.06262311166797778,-34.26684392544664,-46.68181055533256,-22.36539702427778,-0.00910130114359841,-0.0125772608374616,-0.0058563130296226,-3.2504646941422917,-4.491878870522002,-2.091540367722359,0.8914155728499766,0.8655162618329023,0.9447019653960056,-0.12181122975321625,-0.15537979365321422,-0.05853489950220889,-0.09223316404490652,-0.1176506470406292,-0.04432152108698994,-97.0875410999016,-123.84278635855703,-46.6542327231473,0.8812278998354676,-0.1347802312962494,-0.10205304723006615,0.8531055263243226,-0.1721879288586779,-0.13037744977331048,0.9393432107106036,-0.06457361760618911,-0.04889392445762949,-107.42426024217492,-137.23942081401103,-51.46728890276789,-0.00981988318515963,-0.01272680273268127,-0.00457240337063955,-10.336719142273305,-13.39663445545397,-4.8130561796205855,0.5363
