geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08001008401,08001008401,Census Tract 84.01; Adams County; Colorado,3779,2553,1001,Aurora city,Colorado,2375728,0.6431021190753942,0.1679018245615149,08001,3779,2553,1001,0.0085,0.007069502844,0.002896537907,0.8011515752546453,0.7145897845897803,0.8475337637373135,-0.2482032500306211,-0.3994042758028835,-0.17989399689561186,-7.972660695858597,-12.829464445202325,-5.778465021282397,-210.972762526028,-339.493634432451,-152.90989736127008,0.7835850834497617,0.6909752374616869,0.8336287985012789,-0.27618560016158517,-0.447229865535446,-0.1995746809585128,-8.87149575559036,-14.365694125796832,-6.4106381144088695,-234.75776013734745,-380.1453857051292,-210.972762526028,-0.8988350597317627,-1.5362296805945077,-0.6321730931264726,-23.78499761131947,-40.651751272678155,-16.728581453465804,0.8712260256977173,0.8313085408517792,0.912621142931692,-0.14780776802340656,-0.20292280285653672,-0.0957449405430311,-1.0930179401326785,-1.5005859769770549,-0.7080205532492535,-42.81308030288596,-58.77735906686467,-27.732884968635076,0.8592982442816276,0.8160907713153259,0.9043146750810784,-0.16374030396861677,-0.2253538884997563,-0.1058097668384544,-1.210836833231489,-1.6664607435915468,-0.7824485474766928,-47.4279997348801,-65.27460805293956,-30.64820005784147,-0.11781889309881044,-0.16587476661449196,-0.07442799422743929,-4.614919431994142,-6.49724898607489,-2.915315089206396,0.8313085408517792,0.7928305144003507,0.912621142931692,-0.20292280285653672,-0.26130362269966345,-0.0957449405430311,-1.4359978952386443,-1.8491339905265969,-0.6775459985970369,-143.45633319067375,-184.7286703822774,-67.68691294675693,0.8160907713153259,-0.2253538884997563,-1.5947330956111416,0.7746372776461365,-0.29092677160937225,-2.0587643469274837,0.9043146750810784,-0.1058097668384544,-0.7487704700350177,-159.31399556554862,-205.67076392881953,-74.80224475874303,-0.1587352003724971,-0.209630356400887,-0.07122447143798083,-15.857662374874836,-20.942093546542157,-7.115331811986096,0.3519
08005007103,08005007103,Census Tract 71.03; Arapahoe County; Colorado,1121,869,536,Aurora city,Colorado,1954817,0.6392648516903984,0.14521361981952458,08005,1121,869,536,0.009315,0.007069502844,0.002896537907,0.8024075218353175,0.7162884685714844,0.8485249413786714,-0.24624953379392112,-0.39608557707808695,-0.1785157409459456,-2.571365950572511,-4.135971145690748,-1.864081896267773,-229.3814407290375,-368.953715048238,-166.28741269114835,0.7849364381187464,0.6927822557011647,0.8347012687867938,-0.2739885058676796,-0.44345498426183033,-0.19803340116334253,-2.8610194869484853,-4.630607942985223,-2.067887548788757,-255.2202932157435,-413.078317839895,-229.3814407290375,-0.28965353637597424,-0.49463679729447474,-0.20380565252098393,-25.838852486706,-44.124602791656976,-18.180700492505256,0.872075014133736,0.8323944181860389,0.9132109109320024,-0.14669034634977654,-0.20135356286892056,-0.09503728878953348,-0.36923301530119246,-0.506825329749063,-0.23921754620537183,-42.48941487930868,-58.32282275593361,-27.527910955738992,0.8602193907635612,0.817263447296042,0.9049575359226516,-0.16249413898048093,-0.22359565120470187,-0.10502422523112948,-0.40901260647016946,-0.5628106999330944,-0.2643555784461517,-47.06704332222894,-64.76532795547692,-30.420664953527236,-0.039779591168977,-0.05598537018403138,-0.02513803224077987,-4.577628442920253,-6.442505199543311,-2.892753997788248,0.8323944181860389,0.7941319958540796,0.9132109109320024,-0.20135356286892056,-0.25923650629957534,-0.09503728878953348,-0.7629796977483326,-0.9823128451446608,-0.36012038149363984,-142.34695853513668,-183.2673218553472,-67.18663833836564,0.817263447296042,-0.22359565120470187,-0.8472606093643522,0.7760361701136593,-0.28859973092947283,-1.0935775475607792,0.9049575359226516,-0.10502422523112948,-0.3979634156027565,-158.0710092097672,-204.0256618583543,-74.24690589603665,-0.08428091161601958,-0.1112647024161183,-0.0378430341091166,-15.72405067463052,-20.758340003007145,-7.060267557671008,0.0999
08005007111,08005007111,Census Tract 71.11; Arapahoe County; Colorado,1785,922,244,Aurora city,Colorado,230037,0.707337381542365,0.1503745724076396,08005,1785,922,244,0.009315,0.007069502844,0.002896537907,0.7804167300983608,0.6867448475033998,0.8311124676298726,-0.2813666870954494,-0.4561448893798208,-0.2032065923060365,-4.678361282174988,-7.58444651556286,-3.3787718920853527,-262.0930690294111,-424.898964457303,-189.28694073307295,0.7613059570405133,0.6614163870482277,0.8158790414737069,-0.3135323462952812,-0.511906900980795,-0.22567188169672656,-5.213188543246872,-8.51161681700545,-3.75230843673894,-292.0553805740544,-476.84127826361066,-262.0930690294111,-0.534827261071884,-0.9271703014425904,-0.3735365446535872,-29.962311544643367,-51.94231380630758,-20.926417067427856,0.8571361876091804,0.8133400207385784,0.9028048805677602,-0.16667574471369737,-0.22949808751808293,-0.10765905404843988,-0.4451255689469063,-0.6128994170938805,-0.28751512565858856,-48.27826127406793,-66.47499100801306,-31.18385310830679,0.8440240351901878,0.7967083277102947,0.8936208393579376,-0.18480038281690103,-0.2551644877039968,-0.11904283780858936,-0.49352937156079857,-0.6814443094847829,-0.3179167490724162,-53.52813140572653,-73.9093611154862,-34.481209226943186,-0.04840380261389226,-0.06854489239090233,-0.03040162341382762,-5.249870131658597,-7.434370107473138,-3.2973561186364018,0.8133400207385784,0.7713579140844382,0.9028048805677602,-0.22949808751808293,-0.2964150386490143,-0.10765905404843988,-0.39587472130600215,-0.5113036979309927,-0.18570742126178205,-162.24373824016482,-209.55069587335768,-76.10959887777952,0.7967083277102947,-0.2551644877039968,-0.4401482014487349,0.7515909355001158,-0.3305109904426807,-0.5701178064055002,0.8936208393579376,-0.11904283780858936,-0.20534397802873935,-180.38860715112085,-233.65483869077875,-84.15736804456532,-0.04427348014273269,-0.05881410847450752,-0.0196365567669573,-18.14486891095602,-24.104142817421113,-8.04776916678578,0.6746
08001008354,08001008354,Census Tract 83.54; Adams County; Colorado,4451,2139,711,Aurora city,Colorado,250153,0.6510367568378708,0.193348037691133,08001,4451,2139,711,0.0085,0.007069502844,0.002896537907,0.7985607814551398,0.7110900405198911,0.8454878938467043,-0.25225283187310693,-0.40629166915188614,-0.1827490461753558,-9.54360751467119,-15.371435864857885,-6.9140360384753246,-214.41490709214085,-345.3479187791032,-155.33668924905243,0.7807981492986662,0.6872536508297611,0.8314155308409895,-0.2807407406103956,-0.45506684292275806,-0.2027680057750241,-10.621404809883405,-17.216771401718166,-7.671423346489375,-238.62962951883628,-386.8068164843443,-214.41490709214085,-1.0777972952122123,-1.845335536860281,-0.7573873080140503,-24.214722426695403,-41.45889770524109,-17.016115659718047,0.8694731221003722,0.8290676726055726,0.9114028382459848,-0.1501218089229902,-0.2061741556720282,-0.0972096618927834,-0.9301088783452904,-1.2773920994668346,-0.602281375611476,-43.483351021285195,-59.71912573477488,-28.157147059910052,0.8573966402785598,0.8136712656319504,0.9029868262010172,-0.16632134186472877,-0.22899755987245604,-0.10743586836934256,-1.0304762368407328,-1.418798941238711,-0.6656398276836796,-48.175607145429304,-66.33001127810711,-31.119206530326306,-0.10036735849544232,-0.14140684177187637,-0.06335845207220359,-4.692256124144101,-6.610885543332228,-2.96205947041625,0.8290676726055726,0.7901460939584196,0.9114028382459848,-0.2061741556720282,-0.265588740672334,-0.0972096618927834,-1.036317182496601,-1.3349596341949026,-0.4886162506440859,-145.7548779882702,-187.7580357517444,-68.72239812153107,0.8136712656319504,-0.22899755987245604,-1.1510371184598331,0.7717526639984774,-0.2957519250001227,-1.4865723622587648,0.9029868262010172,-0.10743586836934256,-0.5400174238361053,-161.88989007873883,-209.08190749068424,-75.95181769846769,-0.11471993596323182,-0.15161272806386217,-0.05140117319201937,-16.13501209046861,-21.32387173893983,-7.229419576936619,0.2962
08031980001,08031980001,Census Tract 9800.01; Denver County; Colorado,0,0,0,Aurora city,Colorado,0,NA,NA,08031,0,0,0,0.008855,0.007069502844,0.002896537907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999
