geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
01073002000,01073002000,Census Tract 20; Jefferson County; Alabama,2744,1612,524,Birmingham city,Alabama,7579,0.9505586423562784,0.09920627755200426,01073,2744,1612,524,0.015115,0.007489313545,0.004155210934,0.7066533797692791,0.5907947622904735,0.7717663566007302,-0.4151209470285106,-0.6926351820098473,-0.29572893589781785,-17.217373745737813,-28.727432049560345,-12.2655232245661,-627.4553114335938,-1046.9180776078842,-446.99428660955175,0.6825383912347346,0.5605060440560881,0.7520287203401808,-0.4651190509459356,-0.7841020816894763,-0.32973644882558373,-19.291073104651208,-32.521072935236774,-13.676003867452428,-703.0274455047816,-1185.1702964736432,-627.4553114335938,-2.0736993589133945,-3.793640885676432,-1.4104806428863288,-75.57213407118785,-138.25221886575918,-51.402355790318104,0.8058202968906938,0.7487532153195634,0.866583715679213,-0.2409714720000977,-0.3355535302418781,-0.15395660212264395,-1.6140751199218517,-2.247604664859003,-1.0312321162804143,-100.12872952368808,-139.42956978033516,-63.97221565014978,0.7886095324089416,0.7273987834872178,0.8542629599229689,-0.26805466952108775,-0.3747617162705531,-0.17059974143110762,-1.795483794250494,-2.510228937520317,-1.1427111924225632,-111.38236937037804,-155.72139810920083,-70.88779109321112,-0.18140867432864227,-0.26262427266131416,-0.11147907614214891,-11.253639846689968,-16.291828328865645,-6.915575443061346,0.7487532153195634,0.6951926411584247,0.866583715679213,-0.3355535302418781,-0.4384502090437317,-0.15395660212264395,-1.316846373935246,-1.720654130845234,-0.6041873351845096,-251.3065599113065,-328.3691089399302,-115.30292656192933,0.7273987834872178,-0.3747617162705531,-1.4707149908537505,0.6703717167437103,-0.4917097112292251,-1.929665737070947,0.8542629599229689,-0.17059974143110762,-0.6695016760393098,-280.6707997812501,-368.2568200517074,-127.7674954273492,-0.1538686169185044,-0.2090116062257128,-0.06531434085480015,-29.36423986994359,-39.88771111177725,-12.464568865419874,0.9836
01073012805,01073012805,Census Tract 128.05; Jefferson County; Alabama,1543,813,236,Birmingham city,Alabama,0,NA,NA,01073,1543,813,236,0.015115,0.007489313545,0.004155210934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0266
01117980100,01117980100,Census Tract 9801; Shelby County; Alabama,0,0,0,Birmingham city,Alabama,137845,0.8405035578631409,0.2214885963488468,01117,0,0,0,0.010149,0.007489313545,0.004155210934,0.7391249283255423,0.6324275780932029,0.7980759464098102,-0.3529512558390631,-0.5812087180243533,-0.25301358160029336,-0,-0,-0,NA,NA,NA,0.7171163673482512,0.6041042343120431,0.7802767093493419,-0.3944738197759929,-0.6553434708809897,-0.2815966285010368,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8286481873120968,0.7773170758375053,0.8827898177321111,-0.20678475535404311,-0.28647630559584614,-0.1327724673682827,-0,-0,-0,NA,NA,NA,0.8132184124390417,0.7579804931293525,0.8718525594243164,-0.22968194608476025,-0.31929516532999475,-0.1469829264024863,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.7773170758375053,0.728677602099254,0.8827898177321111,-0.28647630559584614,-0.37234902941862186,-0.1327724673682827,-0,-0,-0,NA,NA,NA,0.7579804931293525,-0.31929516532999475,-0,0.7059744155608164,-0.41648192619786895,-0,0.8718525594243164,-0.1469829264024863,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
01073005302,01073005302,Census Tract 53.02; Jefferson County; Alabama,2285,1646,911,Birmingham city,Alabama,34521,0.8893557983435186,0.10568602527786151,01073,2285,1646,911,0.015115,0.007489313545,0.004155210934,0.724530963238699,0.6135968963772664,0.786288488317805,-0.38020326354299205,-0.6297344492843652,-0.2717978386525943,-13.131374770513563,-21.74962671913232,-9.387292596869608,-574.6772328452325,-951.843620093318,-410.8224331233964,0.7015564874891055,0.5843478758367213,0.7676090902781916,-0.4254019709503849,-0.7113093781133558,-0.3027464274004193,-14.69243755724093,-24.56704325666901,-10.456187991609518,-642.9950790915068,-1075.1441250183375,-574.6772328452325,-1.5610627867273674,-2.8174165375366904,-1.0688953947399114,-68.31784624627429,-123.30050492501928,-46.77879189233748,0.8184363901490984,0.7645058125095544,0.875559033361433,-0.22184205399007892,-0.3080345284981107,-0.14212744303581118,-1.5172836696815382,-2.1067951336635993,-0.9720774057630814,-92.18005283605945,-127.9948440864884,-59.05695053238648,0.8022014161011035,0.7442500471878599,0.8640004654204851,-0.24656972666571236,-0.34363444621668254,-0.15740678393422813,-1.686408023090414,-2.350279959127806,-1.0765801094285554,-102.45492242347596,-142.78736082185944,-65.40583896892804,-0.16912435340887577,-0.2434848254642068,-0.10450270366547398,-10.27486958741651,-14.792516735371008,-6.3488884365415545,0.7645058125095544,0.7136194124735441,0.875559033361433,-0.3080345284981107,-0.40130717091033846,-0.14212744303581118,-2.1016470887804246,-2.738024375262834,-0.9697020926465724,-230.6967166608589,-300.5515230804428,-106.44369842443167,0.7442500471878599,-0.34363444621668254,-2.3445369485596284,0.6899431721684145,-0.4493947332750775,-3.066114495364486,0.8640004654204851,-0.15740678393422813,-1.0739494394430815,-257.35861125791746,-336.56580629687005,-117.88687589935031,-0.24288985977920377,-0.32809012010165217,-0.10424734679650904,-26.661894597058588,-36.014283216427245,-11.443177474918665,0.1863
01073005600,01073005600,Census Tract 56; Jefferson County; Alabama,3285,1233,496,Birmingham city,Alabama,7842,0.7676929026515288,0.21898920261574867,01073,3285,1233,496,0.015115,0.007489313545,0.004155210934,0.7614235085126836,0.6615711920226688,0.8159730377154557,-0.31332955815001906,-0.5115531209009097,-0.22553069008233304,-15.557682051672312,-25.400032012640665,-11.198224610252812,-473.59762714375375,-773.212542241725,-340.8896380594464,0.7409500120035056,0.634796091742659,0.799545879401328,-0.3496187108439763,-0.5753090055340031,-0.25070996644841065,-17.359539185326014,-28.56568860725361,-12.448445554320482,-528.4486814406702,-869.5795618646456,-473.59762714375375,-1.8018571336537017,-3.165656594612944,-1.250220944067669,-54.85105429691633,-96.36701962292068,-38.0584762273263,0.8441050667336534,0.7968108412824676,0.8936777425380629,-0.18468664554946604,-0.25500300471627535,-0.11897158494736566,-0.946218957716489,-1.3064760401021025,-0.6095360537404083,-76.74119689509239,-105.9591273399921,-49.43520306086037,0.8299198608622802,0.7789162383660001,0.8836881594986582,-0.20493561747155667,-0.28383509130299606,-0.13162091089613429,-1.0499620358905917,-1.4541936340716752,-0.674343295105644,-85.15507184838538,-117.93946748350976,-54.691264809865686,-0.10374307817410268,-0.14771759396957274,-0.06480724136523563,-8.413874953292998,-11.98034014351766,-5.256061749005323,0.7968108412824676,0.7517124525126618,0.8936777425380629,-0.25500300471627535,-0.33029590857171015,-0.11897158494736566,-0.9472595387897008,-1.2269500524743986,-0.44194368929774624,-190.97974572373,-247.36896219241908,-89.10155026164239,0.7789162383660001,-0.28383509130299606,-1.0543620769455528,0.7305617314236718,-0.3688097213239794,-1.3700172941539197,0.8836881594986582,-0.13162091089613429,-0.4889321343067097,-212.572999384184,-276.21316414393544,-98.57502707796566,-0.10710253815585202,-0.14306724167952112,-0.04698844500896343,-21.59325366045404,-28.844201951516354,-9.473476816323272,0.1994
01073005908,01073005908,Census Tract 59.08; Jefferson County; Alabama,1984,1218,452,Birmingham city,Alabama,0,NA,NA,01073,1984,1218,452,0.015115,0.007489313545,0.004155210934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8055
01073012602,01073012602,Census Tract 126.02; Jefferson County; Alabama,1784,1083,535,Birmingham city,Alabama,352714,0.7976126226328735,0.2184242205232358,01073,1784,1083,535,0.015115,0.007489313545,0.004155210934,0.7521801770547769,0.6494362327712753,0.8085706043731259,-0.329468697135282,-0.5397970571072059,-0.23675037726023543,-8.88417613324442,-14.555714012424946,-6.38401180288261,-497.9919357199787,-815.9032518175418,-357.8481952288459,0.7310617677162842,0.6219996870944484,0.7915707599994877,-0.3678734741167416,-0.6077178505849531,-0.26331093887379975,-9.919767089313796,-16.387209075879355,-7.10022159648223,-556.0407561274549,-918.5655311591566,-497.9919357199787,-1.0355909560693757,-1.8314950634544085,-0.7162097935996199,-58.04882040747622,-102.66227934161482,-40.14628887890246,0.8377188548982271,0.7887418835204797,0.8891874623016449,-0.193717909239954,-0.26784188958824956,-0.12462224491056018,-0.871748692876071,-1.2053135307009415,-0.5608117469897603,-80.49387745854766,-111.29395482003152,-51.78317146719855,0.8230156989996135,0.770244123377097,0.8788052919806343,-0.21504365131250025,-0.2982896845944761,-0.13790848681193013,-0.9677165249123262,-1.3423314533172677,-0.62060107703259,-89.35517312209845,-123.94565589263782,-57.30388522923269,-0.09596783203625514,-0.13701792261632617,-0.05978933004282971,-8.861295663550798,-12.651701072606295,-5.520713762034138,0.7887418835204797,0.7421600090003927,0.8891874623016449,-0.26784188958824956,-0.3474183301076667,-0.12462224491056018,-1.0731842620122445,-1.392029770919297,-0.49933426074707665,-200.5951891611672,-260.192480545663,-93.33350668169656,0.770244123377097,-0.2982896845944761,-1.1951819617144457,0.7203562088054158,-0.388202097484971,-1.555441466387008,0.8788052919806343,-0.13790848681193013,-0.5525693455643076,-223.3984975167188,-290.7367226891604,-103.2839898251042,-0.12199769970220098,-0.16341169546771095,-0.05323508481723094,-22.803308355551582,-30.544242143497375,-9.950483143407652,0.8914
01073011108,01073011108,Census Tract 111.08; Jefferson County; Alabama,3291,2352,973,Birmingham city,Alabama,113415,0.7156513652263803,0.24108536365626732,01073,3291,2352,973,0.015115,0.007489313545,0.004155210934,0.7777725368987928,0.6832210898746622,0.8290104430866275,-0.28572294926649544,-0.46365505225175535,-0.2062574221341925,-14.212849526534692,-23.063808863758364,-10.259958858922428,-431.87023781630785,-700.8146114785283,-311.75809355583186,0.7584690515250309,0.6576841720954582,0.8136094824488402,-0.3184453577760756,-0.5204866445453353,-0.22909088644118647,-15.840575508946694,-25.890809185908328,-11.395774491506131,-481.33015827853825,-786.7155632302744,-431.87023781630785,-1.6277259824120025,-2.8270003221499636,-1.1358156325837054,-49.4599204622304,-85.90095175174608,-34.51278130002143,0.855329270689877,0.8110429187578423,0.90154210117844,-0.1691403933755675,-0.2329803723970071,-0.10921053902292752,-1.6530185560716355,-2.2769302535414573,-1.0673207264135522,-70.28140119352193,-96.8082590791436,-45.37928258561021,0.842067038708663,0.7942335352124641,0.8922460088110548,-0.18755390489281276,-0.25907551830141706,-0.120767131626098,-1.8329748374364272,-2.531959578840504,-1.1802639544429632,-77.93260363250117,-107.65134263777654,-50.181290580057954,-0.1799562813647917,-0.25502932529904676,-0.11294322802941092,-7.651202438979238,-10.84308355863294,-4.802007994447743,0.8110429187578423,0.7686215555964719,0.90154210117844,-0.2329803723970071,-0.3010303870855819,-0.10921053902292752,-1.6977517561268245,-2.193639159659312,-0.7958283459938108,-174.48630587120496,-225.45109554566412,-81.79119691611622,0.7942335352124641,-0.25907551830141706,-1.8879097481060951,0.7486585966693473,-0.3357223231641594,-2.4464428391919366,0.8922460088110548,-0.120767131626098,-0.880042415981824,-194.02977883926985,-251.43297422322064,-90.44629146781335,-0.19015799197927108,-0.2528036795326245,-0.08421406998801317,-19.543472968064854,-25.981878677556477,-8.65509455169714,0.3445
01117030212,01117030212,Census Tract 302.12; Shelby County; Alabama,3427,1862,589,Birmingham city,Alabama,0,NA,NA,01117,3427,1862,589,0.010149,0.007489313545,0.004155210934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.377
01073011113,01073011113,Census Tract 111.13; Jefferson County; Alabama,1998,1470,564,Birmingham city,Alabama,31226,0.7723491297977404,0.21521587763302844,01073,1998,1470,564,0.015115,0.007489313545,0.004155210934,0.759977596122071,0.6596679092095589,0.8148166042961988,-0.3158282627049646,-0.5159142744994841,-0.22727003196474385,-9.537940893189509,-15.580492429601286,-6.863502693227913,-477.374419078554,-779.8044259059702,-343.5186533147104,0.7394024215864992,0.6327875024661419,0.7982995004375754,-0.35244350140800124,-0.5803093393955047,-0.2526626904462118,-10.643712680516314,-17.52520857859618,-7.630355139056794,-532.7183523781939,-877.1375664963055,-477.374419078554,-1.1057717873268054,-1.944716148994896,-0.7668524458288815,-55.34393329963991,-97.33314059033516,-38.38100329473881,0.8431080294398324,0.795549715346234,0.8929774601323667,-0.1860876246955065,-0.25699246786203234,-0.11984909434530328,-1.13665299924078,-1.5697511312514618,-0.7320574528627947,-77.3233332816857,-106.78579124159604,-49.79982672536018,0.828841614304581,0.7775602615003089,0.8829264892809598,-0.20650312766815543,-0.286073954024466,-0.1325971212103771,-1.2613541593681188,-1.7473855038917596,-0.8099244415693149,-85.80640539919176,-118.86976216950748,-55.096900787028225,-0.1247011601273389,-0.1776343726402978,-0.0778669887065202,-8.483072117506048,-12.083970927911414,-5.297074061668041,0.795549715346234,0.7502178244273106,0.8929774601323667,-0.25699246786203234,-0.332946202342452,-0.11984909434530328,-1.0855292041744622,-1.406355715669235,-0.5062393193388522,-192.46971705220963,-249.35385029596367,-89.75874456362628,0.7775602615003089,-0.286073954024466,-1.2083686118533872,0.7289640587942628,-0.371809745536758,-1.570514266564055,0.8829264892809598,-0.1325971212103771,-0.5600866385726105,-214.24975387471403,-278.4599763411445,-99.3061415908884,-0.12283940767892498,-0.16415855089482,-0.05384731923375829,-21.780036822504428,-29.10612604518085,-9.54739702726211,0.1295
01073005907,01073005907,Census Tract 59.07; Jefferson County; Alabama,1491,1032,534,Birmingham city,Alabama,0,NA,NA,01073,1491,1032,534,0.015115,0.007489313545,0.004155210934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3391
