geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12031013200,12031013200,Census Tract 132; Duval County; Florida,1647,361,66,Jacksonville city,Florida,409429,0.41966391894701177,0.31856116047150174,12031,1647,361,66,0.012255,0.008241179256,0.003436880739,0.8776624720252181,0.8205394079715915,0.9072229068014556,-0.1393901777439411,-0.2187105095561988,-0.1022649367680137,-2.8134492567310416,-4.414449644224673,-2.064113949751537,-170.82266282519987,-268.0297294611216,-125.32568000920078,0.8662839769444244,0.8044691384604812,0.8984324055126147,-0.1543558770730375,-0.24305576459242145,-0.11304978968276896,-3.1155167075040326,-4.905833906696966,-2.2817952592101634,-189.16312735300744,-297.8648395080125,-170.82266282519987,-0.302067450772991,-0.4913842624722928,-0.21768130945862652,-18.34046452780759,-29.835110046890883,-13.216837247032574,0.9220652877367808,0.8969597202464973,0.9476052134666644,-0.0845219024072697,-0.11487726530817435,-0.0552917879605766,-0.10486750312499306,-0.1425298252356833,-0.0686012924650346,-29.0491698407183,-39.48194604866573,-19.003128106657783,0.9146139899439996,0.887258634998042,0.942519155763318,-0.09335742837393989,-0.12706708118113358,-0.0609863936294537,-0.11582986341896875,-0.15765389979793185,-0.07566666913981716,-32.08583474209661,-43.67144038723874,-20.960296160614178,-0.01096236029397569,-0.01512407456224854,-0.00706537667478256,-3.036664901378309,-4.189494338573003,-1.9571680539563885,0.8969597202464973,0.8722855330646548,0.9476052134666644,-0.11487726530817435,-0.146413602076648,-0.0552917879605766,-0.0624837929656865,-0.07963696885520045,-0.03007418937387839,-94.67241358437349,-120.66207402303098,-45.566953596785446,0.887258634998042,-0.12706708118113358,-0.06911405117432812,0.860447816201868,-0.16218552847764084,-0.08821560085227984,0.942519155763318,-0.0609863936294537,-0.03317158693710209,-104.7182593550426,-133.6600012913331,-50.25998020773045,-0.00663025820864161,-0.00857863199707938,-0.00309739756322369,-10.045845770669109,-12.997927268302092,-4.693026610944998,0.4434
12031002901,12031002901,Census Tract 29.01; Duval County; Florida,2077,1414,542,Jacksonville city,Florida,60451,0.6686565898850836,0.17732697906155623,12031,2077,1414,542,0.012255,0.008241179256,0.003436880739,0.7928375272868398,0.7033796004165757,0.8409624320408603,-0.2612924660896017,-0.42170742428093067,-0.1891137604960366,-6.6508430600946,-10.733986854436948,-4.813632633143535,-320.2139171928069,-516.8024484562806,-231.7589134878929,0.7746448148059236,0.6790609325180329,0.8265216893584455,-0.29091421111562715,-0.4726218990273665,-0.20988960468322387,-7.4048241460501165,-12.029945310849444,-5.342453387901071,-356.51536572220107,-579.1981372580377,-320.2139171928069,-0.7539810859555169,-1.295958456412496,-0.5288207547575361,-36.30144852939417,-62.39568880175715,-25.460797051397986,0.8655931866579107,0.8241131271202428,0.9087032563631292,-0.1552771156402458,-0.21342564156740385,-0.10046925990148244,-0.754607864123331,-1.0371951260703831,-0.4882554220028239,-53.366892795143634,-73.35184767117278,-34.530086421699004,0.8531889306653215,0.8083240772800463,0.9000451433647624,-0.17207334045015607,-0.2371275681468375,-0.11105538135738686,-0.8362333069767828,-1.1523805487127827,-0.5397013190253966,-59.139554948853096,-81.49791716497757,-38.16841011495026,-0.08162544285345175,-0.11518542264239962,-0.05144589702257274,-5.772662153709459,-8.146069493804783,-3.6383236932512544,0.8241131271202428,0.784217467102454,0.9087032563631292,-0.21342564156740385,-0.27515649924863905,-0.10046925990148244,-0.9533124017312086,-1.2290468062987134,-0.4487679678666472,-175.88789699837795,-226.7614033761464,-82.79851805657698,0.8083240772800463,-0.2371275681468375,-1.0591822512354945,0.7653853801157728,-0.30653135790069463,-1.3691894884802362,0.9000451433647624,-0.11105538135738686,-0.49605319936943887,-195.42107956374437,-252.61798680447163,-91.52273051096658,-0.1058698495042859,-0.14014268218152282,-0.04728523150279162,-19.533182565366403,-25.856583428325244,-8.7242124543896,0.9601
12031012000,12031012000,Census Tract 120; Duval County; Florida,3268,2187,1011,Jacksonville city,Florida,128644,0.6704396704608384,0.2157489003973224,12031,3268,2187,1011,0.012255,0.008241179256,0.003436880739,0.7922606395090132,0.7026039978648411,0.8405058190812882,-0.26221088128236303,-0.4232768430565757,-0.18975975810976103,-10.501372736176991,-16.951958201699437,-7.599753070855577,-321.3394350115359,-518.7257711658334,-232.55058356351216,0.7740248220159592,0.6782373124152048,0.8260280534025292,-0.29194823157671485,-0.47441018312454303,-0.21061263704162975,-11.692333988814587,-18.999814723417085,-8.434897109176823,-357.782557797264,-581.3896794191274,-321.3394350115359,-1.190961252637596,-2.047856521717648,-0.8351440383212463,-36.44312278572814,-62.663908253294,-25.55520313100509,0.8652015134402571,0.8236133929274589,0.9084305117415832,-0.15580010490706436,-0.21416189754466097,-0.10079966169659577,-1.171064972380431,-1.6097389458285745,-0.7576564413168655,-53.54663796892688,-73.60489006989367,-34.6436415782746,0.8527642738321497,0.8077849177775585,0.8997479873190461,-0.17265700579387877,-0.23795329423985637,-0.11142232502200083,-1.2977691628764023,-1.7885659840412271,-0.837501245922052,-59.34015376663934,-81.7817093754562,-38.29452427627124,-0.12670419049597137,-0.17882703821265267,-0.0798448046051865,-5.793515797712454,-8.176819305562537,-3.65088269799664,0.8236133929274589,0.7836199899048468,0.9084305117415832,-0.21416189754466097,-0.27612875230687733,-0.10079966169659577,-1.7843609999328347,-2.3006584374970624,-0.8398458698766467,-176.49465874706576,-227.56265454966,-83.07080809858029,0.8077849177775585,-0.23795329423985637,-1.982586925662619,0.7647439621449164,-0.3076271922373196,-2.5630981544354476,0.8997479873190461,-0.11142232502200083,-0.9283521185164958,-196.10157523863688,-253.52108352477225,-91.82513536266032,-0.19822592572978423,-0.2624397169383852,-0.08850624863984913,-19.60691649157114,-25.958428975112284,-8.754327264080032,0.8455
12031012900,12031012900,Census Tract 129; Duval County; Florida,1668,1250,670,Jacksonville city,Florida,66964,0.6655284623424016,0.19883428223782704,12031,1668,1250,670,0.012255,0.008241179256,0.003436880739,0.7938505990003135,0.7047423392490613,0.8417640852982043,-0.2596828688663685,-0.4189583118640931,-0.18798130909296135,-5.308265814672853,-8.564069298639962,-3.842589852814315,-318.2413557957346,-513.4334111894461,-230.37109429342416,0.7757336923199706,0.680508258430747,0.8273884069263012,-0.28910218790332654,-0.4694898814395014,-0.2086222040685107,-5.909636117675785,-9.597002293064538,-4.264517404913811,-354.29473127552666,-575.359849704109,-318.2413557957346,-0.6013703030029314,-1.032932994424575,-0.4219275520994956,-36.053375479792045,-61.92643851466279,-25.29541679253571,0.8662807426345326,0.8249905629264462,0.9091819407095978,-0.15436018692831666,-0.21213507758531427,-0.09988986276995404,-0.6631469416529638,-0.9113537027740466,-0.4291369317192603,-53.05175533223711,-72.90829622192372,-34.330954537540826,0.8539344336277853,0.8092708153323985,0.9005666928922107,-0.1710500954407959,-0.23568029521645567,-0.1104119305017319,-0.734848473030729,-1.0125063339890878,-0.4743407966215112,-58.787877842458315,-81.00050671912703,-37.9472637297209,-0.07170153137776514,-0.10115263121504126,-0.04520386490225092,-5.736122510221211,-8.0922104972033,-3.616309192180074,0.8249905629264462,0.7852667454001235,0.9091819407095978,-0.21213507758531427,-0.2734526272221825,-0.09988986276995404,-1.1713229445802489,-1.5098933197046414,-0.5515508775127694,-174.82432008660427,-225.35721189621515,-82.32102649444319,0.8092708153323985,-0.23568029521645567,-1.3013299851904931,0.7665119446325889,-0.3046111114150069,-1.681937697602108,0.9005666928922107,-0.1104119305017319,-0.6096494225480771,-194.2283559985811,-251.035477254046,-90.99245112657869,-0.13000704061024448,-0.17204437789746674,-0.05809854503530765,-19.404035911976788,-25.678265357830856,-8.67142463213547,0.6777
12031015200,12031015200,Census Tract 152; Duval County; Florida,2723,1814,904,Jacksonville city,Florida,53768,0.6648923881925485,0.18163827327696597,12031,2723,1814,904,0.012255,0.008241179256,0.003436880739,0.7940567555458321,0.705019761711066,0.8419271871189085,-0.2593558243989791,-0.418399957432433,-0.18775116815269957,-8.654798525069838,-13.962159295504753,-6.26532501043196,-317.8405628009489,-512.7491478334466,-230.0890565711333,0.7759552921024767,0.6808029351934219,0.8275647566325932,-0.2887340419967582,-0.4688538317125373,-0.20836465302009155,-9.635160369357148,-15.645823495895945,-6.953204524378807,-353.8435684670271,-574.5803707637144,-317.8405628009489,-0.9803618442873104,-1.68366420039119,-0.6878795139468474,-36.00300566607824,-61.83122293026772,-25.26182570498889,0.8664206172221075,0.8251690951805896,0.909279307336905,-0.1541738274952076,-0.211872821995531,-0.09977208535493629,-0.9611969835316044,-1.3209214605557051,-0.6220292318214874,-52.987705817618775,-72.8181621034016,-34.290475844624446,0.8540861040431682,0.8094634608775054,0.9006727818583958,-0.17084213788994845,-0.23538621362345608,-0.11028113665948489,-1.0651155923661124,-1.4675157397050724,-0.6875479296304589,-58.716405312354595,-80.89943438285957,-37.90231144600104,-0.103918608834508,-0.1465942791493673,-0.06551869780897146,-5.728699494735832,-8.081272279457954,-3.611835601376596,0.8251690951805896,0.785480277583222,0.909279307336905,-0.211872821995531,-0.2731064401474415,-0.09977208535493629,-1.5784580426079349,-2.034650092817683,-0.7433046347000858,-174.60819055397505,-225.07191292231005,-82.22396401549621,0.8094634608775054,-0.23538621362345608,-1.7536334226992578,0.7667412233006846,-0.3042209934861436,-2.266454325644977,0.9006727818583958,-0.11028113665948489,-0.8215973406526882,-193.98599808620108,-250.7139740757718,-90.8846615766248,-0.17517538009132316,-0.23180423282729423,-0.0782927059526024,-19.377807532226015,-25.642061153461754,-8.660697561128584,0.6221
12031002501,12031002501,Census Tract 25.01; Duval County; Florida,2714,1431,466,Jacksonville city,Florida,63230,0.649465330043478,0.1958066177502891,12031,2714,1431,466,0.012255,0.008241179256,0.003436880739,0.7990732127636105,0.7117817885813568,0.8458926785452936,-0.2514497846091977,-0.40492495880385937,-0.18218306572853812,-8.363237437586838,-13.467832474563478,-6.059421518945779,-308.15171103857176,-496.2355370141296,-223.26534705032347,0.7813493034343422,0.6879891026258445,0.8318533934961194,-0.2798373219309222,-0.4535113945603283,-0.20213490480238688,-9.307408916035008,-15.083820728874135,-6.723021083170724,-342.94063802634514,-555.7782140336823,-308.15171103857176,-0.944171478448169,-1.6159882543106594,-0.6635995642249446,-34.78892698777336,-59.54267701955266,-24.45097878500164,0.8698199981262986,0.8295109883907884,0.9116439899340488,-0.1496631511739503,-0.20552953968693305,-0.09691942363635075,-0.7360697687007546,-1.010830518747391,-0.4766668159733109,-51.437440160779495,-70.63805162455563,-33.310050033075534,0.8577729117122532,0.8141498698127669,0.9032496470260364,-0.16580972230032134,-0.2282750843281148,-0.1071136349651679,-0.8154814527463788,-1.1226971181854055,-0.5268037449102655,-56.986824091291325,-78.45542405208985,-36.81367888960625,-0.07941168404562426,-0.1118665994380148,-0.05013692893695465,-5.549383930511828,-7.817372427534228,-3.503628856530723,0.8295109883907884,0.7906770111201804,0.9116439899340488,-0.20552953968693305,-0.2647389337692571,-0.09691942363635075,-0.7893134929968425,-1.016700630303398,-0.37220834010612247,-169.38057789631813,-218.176100923476,-79.87303435753701,0.8141498698127669,-0.2282750843281148,-0.876665244565954,0.772323097175166,-0.2947948904513935,-1.1321272117586727,0.9032496470260364,-0.1071136349651679,-0.4113580825935193,-188.12558896265105,-242.9457535962817,-88.2742666509698,-0.08735175156911146,-0.11542658145527462,-0.03914974248739683,-18.745011066332932,-24.769652672805712,-8.401232293432797,0.8185
12031014408,12031014408,Census Tract 144.08; Duval County; Florida,2790,1957,647,Jacksonville city,Florida,132762,0.5340616611604255,0.2398014875290836,12031,2790,1957,647,0.012255,0.008241179256,0.003436880739,0.8376184206116025,0.7644662468351373,0.876155456541883,-0.19386104148692385,-0.30810222706360674,-0.14134996538961447,-6.628390106948082,-10.534461891533958,-4.832960274120734,-237.5767063422252,-377.5792792664501,-173.22438258497257,0.8229071609758251,0.7442076781879025,0.8646478920095061,-0.2152039105045259,-0.34371094159487214,-0.15654014685206197,-7.3581337458199725,-11.751975473993992,-5.352334604084935,-263.7323923232965,-421.21775892451586,-237.5767063422252,-0.7297436388718905,-1.2175135824600345,-0.5193743299642009,-26.155685981071343,-43.63847965806575,-18.615567382229425,0.8956760778270852,0.8627239402184097,0.9295294030310068,-0.11647505694916528,-0.15911933514541984,-0.07581319831218124,-0.7834083917735204,-1.070232766666516,-0.5099177224774777,-40.03108798025142,-54.68741781637792,-26.0560921041123,0.8858619999086952,0.85007850474504,0.922761455094562,-0.12884399613378708,-0.1763619411832149,-0.08370369663687657,-0.8666015750041424,-1.186206114264439,-0.562989021730322,-44.28214486480033,-60.61349587452422,-28.767962275438013,-0.08319318323062197,-0.115973347597923,-0.05307129925284426,-4.2510568845489,-5.926078058146295,-2.711870171325716,0.8627239402184097,0.8306580136632814,0.9295294030310068,-0.15911933514541984,-0.2038648680338425,-0.07581319831218124,-0.8484311337267278,-1.0870162381895891,-0.40423923174810134,-131.13309640289458,-168.00869214676803,-62.47901572613622,0.85007850474504,-0.1763619411832149,-0.9403694501838707,0.8153883181642699,-0.22640952503631256,-1.2072253182652763,0.922761455094562,-0.08370369663687657,-0.4463117079382007,-145.34303712270025,-186.58814810900716,-68.98171683743442,-0.0919383164571429,-0.1202090800756872,-0.04207247619009935,-14.209940719805704,-18.579455962239138,-6.502701111298199,0.5199
12031016724,12031016724,Census Tract 167.24; Duval County; Florida,4494,2823,1361,Jacksonville city,Florida,83814,0.6507762815747908,0.19998542465563177,12031,4494,2823,1361,0.012255,0.008241179256,0.003436880739,0.7986456978939585,0.7112046562235562,0.8455549764188546,-0.2521196854087064,-0.4060650352177467,-0.18265521212501204,-13.885231990608531,-22.363613567631123,-10.05954767291655,-308.9726744683697,-497.6327006593486,-223.84396245920223,0.780889480162335,0.6873755028600186,0.831488093778192,-0.28059094840426757,-0.4548089011598748,-0.20266304169926008,-15.45325747468818,-25.04813177821191,-11.1614582786538,-343.8642072694299,-557.3683083714266,-308.9726744683697,-1.568025484079648,-2.684518210580787,-1.1019106057372507,-34.89153280106026,-59.73560771207804,-24.51959514324101,0.8695306097240253,0.8291411389925424,0.9114428064570952,-0.1500457704615868,-0.2060672821216683,-0.0971615475107417,-1.45579122833472,-1.9993295434895413,-0.9426918743689396,-51.56894184678428,-70.82286728620409,-33.393265121110154,0.8574589985536746,0.8137505782506643,0.9030303853499372,-0.1662365217307854,-0.2288777749930694,-0.10738244938733232,-1.612878986325758,-2.2206441152633505,-1.0418582770728384,-57.13350996548913,-78.6625616458856,-36.90606720059647,-0.1570877579910379,-0.2213145717738092,-0.09916640270389876,-5.56456811870485,-7.839694359681515,-3.512802079486318,0.8291411389925424,0.7902340726314101,0.9114428064570952,-0.2060672821216683,-0.26544783961299945,-0.0971615475107417,-2.3113011160462555,-2.977327995170755,-1.0897877182937072,-169.82374107613927,-218.76032293686663,-80.0725729826383,0.8137505782506643,-0.2288777749930694,-2.5671491919193867,0.7718471882505642,-0.29559324076383203,-3.3154461991195174,0.9030303853499372,-0.10738244938733232,-1.2044278575294696,-188.6222771432319,-243.60368839967063,-88.49580143493532,-0.2558480758731312,-0.33811820394876246,-0.11464013923576231,-18.798536067092662,-24.843365462804,-8.423228452297012,0.6896
12031016729,12031016729,Census Tract 167.29; Duval County; Florida,4150,2666,1493,Jacksonville city,Florida,89728,0.6835560654823106,0.1893431366259311,12031,4150,2666,1493,0.012255,0.008241179256,0.003436880739,0.7880299162396237,0.6969248652077422,0.8371545711065812,-0.26898735618042263,-0.4348749053485355,-0.19452253444446205,-13.68022620746298,-22.116976654942157,-9.89307568741006,-329.64400499910795,-532.9391965046302,-238.38736596168823,0.7694793608416839,0.6722093605232466,0.8224059017518167,-0.2995800159034343,-0.4876317688013176,-0.21594458146505024,-15.236115343820837,-24.80009840563961,-10.982563510294892,-367.1353094896587,-597.5927326660146,-329.64400499910795,-1.555889136357857,-2.6831217506974525,-1.0894878228848306,-37.491304490550775,-64.6535361613844,-26.25271862373086,0.8623257949792156,0.819946634356375,0.9064267083600188,-0.15965451320414548,-0.2195915662059636,-0.1032331580446053,-1.462870247854446,-2.0120569248907585,-0.9458969399907184,-54.87135213257487,-75.47100243401195,-35.48000525096468,0.8496469743663935,0.8038298810027005,0.8975651115039539,-0.1769594080479474,-0.24404432285174096,-0.11412530097611182,-1.621430224025482,-2.2361107863020746,-1.045698639987166,-60.8188381104832,-83.87512326714457,-39.22350487573765,-0.15855997617103612,-0.2240538614113161,-0.0998016999964475,-5.9474859779083316,-8.404120833132637,-3.7434996247729746,0.819946634356375,0.779238896946762,0.9064267083600188,-0.2195915662059636,-0.28330349513895037,-0.1032331580446053,-2.7018723360922428,-3.485789046726082,-1.270189100188596,-180.96934602091375,-233.4754887291415,-85.07629606085708,0.8038298810027005,-0.24404432285174096,-3.002741025468289,0.7600421629291488,-0.31571648097267474,-3.8846010378576032,0.8975651115039539,-0.11412530097611182,-1.4042069050427102,-201.12130110303343,-260.1876113769325,-94.05270629890892,-0.3008686893760464,-0.3988119911315211,-0.13401780485411408,-20.151955082119652,-26.712122647791094,-8.976410238051846,0.3949
12031016606,12031016606,Census Tract 166.06; Duval County; Florida,3270,1503,477,Jacksonville city,Florida,67957,0.5660393420356168,0.24598802036061965,12031,3270,1503,477,0.012255,0.008241179256,0.003436880739,0.8267552684416611,0.7494889352655102,0.8676629986176493,-0.2095477805480276,-0.3342425123937887,-0.15252119958231308,-8.397386325514576,-13.39438430529183,-6.112111673881677,-256.80080506160783,-409.61419893858806,-186.91473008812468,0.8111752068705305,0.7281850330471837,0.855433364692145,-0.23277929543476217,-0.3732773328440598,-0.1689981257159427,-9.328362568358344,-14.958659844792924,-6.772405540221829,-285.27102655530103,-457.45137140039526,-256.80080506160783,-0.9309762428437676,-1.5642755395010948,-0.6602938663401519,-28.4702214936932,-47.837172461807185,-20.192472976763053,0.8884354879972465,0.8533898554142056,0.9245386060231192,-0.12557412835258028,-0.1717973838751984,-0.08162059808565071,-0.6486697044867005,-0.8874420208358417,-0.4216219529837485,-43.15833030516969,-59.04471196512586,-28.05202614662332,0.8779878128960705,0.8399669987555236,0.9173130158747708,-0.13896797348640683,-0.19052296278494,-0.09014042392756948,-0.7178573761741814,-0.9841714658025597,-0.46563223586334335,-47.76163514132944,-65.48047011327742,-30.98018868019583,-0.06918767168748097,-0.09672944496671788,-0.04401028287959485,-4.6033048361597455,-6.435758148151555,-2.928162533572512,0.8533898554142056,0.8193812666619174,0.9245386060231192,-0.1717973838751984,-0.22043307637957904,-0.08162059808565071,-0.6753428182804478,-0.8665317927807252,-0.3208540403673561,-141.5813036227354,-181.66284963956505,-67.26499798057779,0.8399669987555236,-0.19052296278494,-0.748953864907471,0.8032202216272941,-0.24498857607697852,-0.9630605058254674,0.9173130158747708,-0.09014042392756948,-0.35434583788809043,-157.01338886949077,-201.89947711225733,-74.28633917989318,-0.07361104662702311,-0.0965287130447422,-0.03349179752073433,-15.432085246755369,-20.236627472692284,-7.0213411993153745,0.977
12031015927,12031015927,Census Tract 159.27; Duval County; Florida,2022,1223,567,Jacksonville city,Florida,111530,0.7038035220400503,0.1971831495547019,12031,2022,1223,567,0.012255,0.008241179256,0.003436880739,0.7815433654192299,0.6882481197263548,0.8320075467590926,-0.2795195305171418,-0.4529643762740634,-0.20191217482976692,-6.926384953597872,-11.224280587964545,-5.003304946533441,-342.55118464875727,-555.1078431238648,-247.44337025387935,0.7625149952835321,0.6630091727860236,0.8168456340902609,-0.31144961893918166,-0.5082747585495854,-0.22422151538304075,-7.717600091961536,-12.594850289702892,-5.55612170480075,-381.6815080099672,-622.8907166025169,-342.55118464875727,-0.7912151383636639,-1.3705697017383471,-0.5528167582673094,-39.13032336120989,-67.78287347865218,-27.34009684803706,0.8579053734060642,0.8143183734824979,0.9033421606001246,-0.1656297197787564,-0.2280209222388287,-0.10700025263479554,-0.6961922531117024,-0.9584415153398042,-0.44975471228741454,-56.92495937135751,-78.3680715731647,-36.774710734866275,0.8448572335483805,0.7977625725328462,0.8942058525991519,-0.18363193246274703,-0.25350578534295315,-0.11831073023436448,-0.7718610462860478,-1.065562171514333,-0.4972961009604834,-63.112105174656406,-87.12691508702642,-40.66198699595122,-0.07566879317434538,-0.10712065617452891,-0.04754138867306884,-6.187145803298886,-8.758843513861727,-3.887276261084942,0.8143183734824979,0.7725239518431748,0.9033421606001246,-0.2280209222388287,-0.29445824639363893,-0.10700025263479554,-1.0654844538616497,-1.3759293698285024,-0.4999852847811608,-187.9161294288624,-242.66831919373945,-88.18082624006364,0.7977625725328462,-0.25350578534295315,-1.1845688132249377,0.7528408022148657,-0.32830207536306383,-1.534073075555232,0.8942058525991519,-0.11831073023436448,-0.5528363035813952,-208.91866194443347,-270.55962531838304,-97.50199357696565,-0.11908435936328798,-0.15814370572672942,-0.0528510188002344,-21.002532515571072,-27.89130612464363,-9.321167336902011,0.7789
