geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12011090900,12011090900,Census Tract 909; Broward County; Florida,3169,2489,964,Hollywood city,Florida,82967,0.6021209910157433,0.2248484278737645,12011,3169,2489,964,0.010462,0.008241179256,0.003436880739,0.8146670283146026,0.7329414992232529,0.8581794308633768,-0.2274953634355591,-0.36436537030549754,-0.1652574788397617,-7.542399023980876,-12.080197907607351,-5.478959343536809,-238.00564922628195,-381.1990504136116,-172.8923743621587,0.7981383035888668,0.7105198957466682,0.8451541164486739,-0.25291568579462037,-0.4074201243149203,-0.18321615021173465,-8.385186374258337,-13.507638580306567,-6.074362534979568,-264.60039047833186,-426.2429340582697,-238.00564922628195,-0.8427873502774617,-1.427440672699218,-0.5954031914427587,-26.59474125204991,-45.04388364465819,-18.788361989358116,0.880335909739694,0.8429790529317885,0.9189394657460108,-0.13593003413400392,-0.18626909710521256,-0.08821096195730678,-1.1627993619390922,-1.5934196488863344,-0.7545915141820065,-46.717531616677064,-64.01846721118257,-30.317055611972943,0.8691870742187804,0.8287021418962294,0.9112039505197972,-0.15050031191362734,-0.20670618482028813,-0.09744914893043334,-1.2874392902180714,-1.768246593544905,-0.8336186253444716,-51.7251623229438,-71.04245052410225,-33.49211029909488,-0.12463992827897918,-0.17482694465857063,-0.07902711116246508,-5.007630706266742,-7.023983312919671,-3.1750546871219396,0.8429790529317885,0.806840992787253,0.9189394657460108,-0.18626909710521256,-0.23940157842684007,-0.08821096195730678,-1.4798142464098238,-1.901925074393474,-0.7007917052403247,-153.50770190973276,-197.29513219849315,-72.69623498343617,0.8287021418962294,-0.20670618482028813,-1.6421766244204576,0.789708387356498,-0.2662902104249402,-2.115541725333616,0.9112039505197972,-0.09744914893043334,-0.7741844521118495,-170.35027224278605,-219.45453582298924,-80.30959046803417,-0.1623623780106338,-0.21361665094014223,-0.07339274687152475,-16.8425703330533,-22.159403624496083,-7.613355484598003,0.5432
12011092000,12011092000,Census Tract 920; Broward County; Florida,2254,1759,687,Hollywood city,Florida,68723,0.5396802325820734,0.2606805107682786,12011,2254,1759,687,0.010462,0.008241179256,0.003436880739,0.8356994497113261,0.7618131837935301,0.8746573106477697,-0.19660243924466844,-0.31265777656983196,-0.14330491247983929,-4.636150537477384,-7.3728918341994545,-3.3793230112966333,-205.68547193777212,-327.1025658473582,-149.92559943640785,0.8208336042966782,0.741367139944315,0.8630217152139518,-0.2182737095136821,-0.34885935202781065,-0.1587193953191432,-5.147188303293049,-8.22657378322231,-3.742817295370287,-228.35795489321424,-364.9766540914955,-205.68547193777212,-0.5110377658156651,-0.8536819490228558,-0.3634942840736537,-22.672482955442103,-37.87408824413735,-16.126631946479755,0.8943996255342813,0.8610765527705444,0.9286505586582076,-0.11806844664390027,-0.16133692966376156,-0.0768313125713122,-0.7137796323010092,-0.9753580876633218,-0.464481642599711,-40.578717015407,-55.44957860507798,-26.40600583284315,0.8844733863232894,0.8482931104928706,0.9218018104639708,-0.1306162689156186,-0.178837818709839,-0.08483188972765175,-0.7896371558127596,-1.0811592437158415,-0.5128489175421134,-44.891253883613395,-61.46442545286195,-29.155708785793824,-0.07585752351175046,-0.10580115605251994,-0.04836727494240239,-4.312536868206394,-6.014846847783964,-2.749702952950676,0.8610765527705444,0.8286654779681941,0.9286505586582076,-0.16133692966376156,-0.20675957498784817,-0.0768313125713122,-0.9134397053265736,-1.1706086488936616,-0.4349950855099038,-132.96065579717228,-170.39427203692307,-63.31806193739502,0.8482931104928706,-0.178837818709839,-1.0125243164352522,0.8132370780250713,-0.22965372216977423,-1.300228216460398,0.9218018104639708,-0.08483188972765175,-0.48029187438124177,-147.3834521739814,-189.26174912087308,-69.91148098708031,-0.0990846111086786,-0.12961956756673643,-0.04529678887133798,-14.422796376809114,-18.86747708394999,-6.593419049685295,0.3506
12011091202,12011091202,Census Tract 912.02; Broward County; Florida,3087,2213,849,Hollywood city,Florida,57217,0.5725427225995452,0.2093828910115515,12011,3087,2213,849,0.010462,0.008241179256,0.003436880739,0.8245633014856039,0.74647905697798,0.8659459650951108,-0.2127631659065039,-0.33962231177437907,-0.15480646634823853,-6.871440482170636,-10.968508067793833,-4.999659669637183,-222.59282417138436,-355.3128625783554,-161.95852509352716,0.8088097950461723,0.7249689235727033,0.8535714337561956,-0.2363846310032796,-0.3793694701724899,-0.17154811003858944,-7.634323901500333,-12.252190006367949,-5.5403510421396325,-247.30560095563115,-396.8963396944589,-222.59282417138436,-0.7628834193296976,-1.2836819385741158,-0.5406913725024491,-24.712776784246763,-41.58347711610353,-17.51510762884513,0.886970129060591,0.8515039526223768,0.923526898879474,-0.12743368376917194,-0.17439266948826243,-0.08280549403954725,-0.9692372879935838,-1.3263987434196356,-0.629803440503501,-43.7974373246084,-59.936680678700206,-28.45926075478992,0.8763950047894548,0.8379253608778936,0.9162088959776912,-0.14103799603495015,-0.19342371849480836,-0.0914541480552806,-1.0727091985238086,-1.47114542091653,-0.695583520895653,-48.473077203967854,-66.47742525605648,-31.431699995284816,-0.10347191053022486,-0.1447466774968944,-0.065780080392152,-4.675639879359461,-6.540744577356277,-2.972439240494894,0.8515039526223768,0.8171066875141154,0.923526898879474,-0.17439266948826243,-0.2238303948316726,-0.08280549403954725,-1.2201838614071776,-1.5660878193299603,-0.5793702668775547,-143.72012501851327,-184.462640674907,-68.24149197615485,0.8379253608778936,-0.19342371849480836,-1.3533395664696506,0.8007678741409595,-0.24880134717288815,-1.7408036095069652,0.9162088959776912,-0.0914541480552806,-0.6398828336262532,-159.40395364777982,-205.04165011860604,-75.36900278283312,-0.13315570506247298,-0.1747157901770049,-0.06051256674869854,-15.683828629266548,-20.579009443699046,-7.1275108066782735,0.8343
12011080103,12011080103,Census Tract 801.03; Broward County; Florida,957,696,259,Hollywood city,Florida,48946,0.717432575620032,0.2703772080641147,12011,957,696,259,0.010462,0.008241179256,0.003436880739,0.7772072041278866,0.682468505447748,0.8285607916192195,-0.28665817132010746,-0.4652690813093694,-0.20691204570004396,-2.8700600234518734,-4.658336388126303,-2.071631127762964,-299.9017788350965,-486.7645128658624,-216.471382211386,0.7578626415739323,0.6568873156111743,0.8131240677530903,-0.3195003225428763,-0.5223311156032756,-0.2298246229057084,-3.198880042342499,-5.229649121789487,-2.3010349210314223,-334.2612374443573,-546.462813144147,-299.9017788350965,-0.3288200188906254,-0.5713127336631842,-0.22940379326845808,-34.35945860926075,-59.69830027828467,-23.97113827256615,0.8549426476459675,0.8105516258889998,0.9012717897276018,-0.1696691032473805,-0.23372770846424049,-0.10954321592850208,-0.4058602011762098,-0.5590928045363833,-0.2620349303632996,-58.31324729543245,-80.32942593913553,-37.64869689127868,0.8416483570485801,0.7937043296836058,0.8919517366229456,-0.18814465878209968,-0.25991501192721195,-0.12113689445366216,-0.4500550047240922,-0.6217346411956347,-0.2897678092937269,-64.66307539139255,-89.32968982695901,-41.63330593300674,-0.04419480354788241,-0.06264183665925138,-0.0277328789304273,-6.349828095960116,-9.000263887823476,-3.9846090417280617,0.8105516258889998,0.7680365745309894,0.9012717897276018,-0.23372770846424049,-0.302021327058105,-0.10954321592850208,-0.4988837131199098,-0.6446540809139993,-0.23381620719508453,-192.61919425479144,-248.9011895420847,-90.27652787455,0.7937043296836058,-0.25991501192721195,-0.5547796069959408,0.7480318540625364,-0.3368414654657191,-0.7189764625189917,0.8919517366229456,-0.12113689445366216,-0.2585625131823156,-214.2006204617532,-277.5970897756725,-99.83108617077822,-0.05589589387603094,-0.07432238160499238,-0.02474630598723107,-21.581426206961755,-28.69590023358779,-9.554558296228214,0.5543
12011090802,12011090802,Census Tract 908.02; Broward County; Florida,2550,1697,1106,Hollywood city,Florida,64648,0.5912029537306714,0.24839238409773315,12011,2550,1697,1106,0.010462,0.008241179256,0.003436880739,0.8183060706576074,0.7379097065641016,0.8610380981182225,-0.22203663868261375,-0.35517935474281614,-0.16138879590284713,-5.923515650438639,-9.475510343764324,-4.305546435975746,-232.29473138975052,-371.58864093193426,-168.84495827355866,0.8020609093806343,0.7158195336501109,0.8482514384509909,-0.24678810337760723,-0.3970001557526582,-0.17889573146627394,-6.583837700718144,-10.59120985518499,-4.772598213630403,-258.1897137536527,-415.341562948431,-232.29473138975052,-0.6603220502795049,-1.115699511420667,-0.4670517776546568,-25.89498236390215,-43.75292201649674,-18.31575598645713,0.8827789592068406,0.8461158115052311,0.9206301363661512,-0.13278640091114113,-0.18187130697984544,-0.08621254127866378,-0.7744616272063982,-1.0607437763150307,-0.5028248717197566,-45.637102369263296,-62.50699919357871,-29.630222258088192,0.8718407630377476,0.8320947692625632,0.9130482027115192,-0.14699844558277847,-0.20178618703040443,-0.09523242806924788,-0.8573517663080055,-1.1768950561429794,-0.5554323386977034,-50.52161262863909,-69.35150596010484,-32.730249775940095,-0.08289013910160725,-0.1161512798279487,-0.05260746697794671,-4.884510259375795,-6.8445067665261465,-3.1000275178518986,0.8461158115052311,0.8106151993302873,0.9206301363661512,-0.18187130697984544,-0.23363095193154332,-0.08621254127866378,-1.6577104508323646,-2.129486377407251,-0.7858052655128009,-149.883404234391,-192.5394554617768,-71.04930067927675,0.8320947692625632,-0.20178618703040443,-1.8392294894047496,0.7937728072278509,-0.25980632102070983,-2.3680681724911468,0.9130482027115192,-0.09523242806924788,-0.8680192268372942,-166.2956138702305,-214.11104633735505,-78.48275107027976,-0.18151903857238505,-0.23858179508389551,-0.08221396132449321,-16.412209635839517,-21.57159087557826,-7.433450391003003,0.7671
12011100201,12011100201,Census Tract 1002.01; Broward County; Florida,1988,1168,383,Hollywood city,Florida,38064,0.4519257096688597,0.2352571358834817,12011,1988,1168,383,0.010462,0.008241179256,0.003436880739,0.8661795200563692,0.804322111658484,0.8983515716678304,-0.1544950865784982,-0.24328299011702545,-0.11314994211392614,-3.2132592604190857,-5.059910565497389,-2.35334409245904,-161.63275957842484,-254.52266426043204,-118.37746943958952,0.8538246763294273,0.7869968768398617,0.8887732300552451,-0.17120063137432043,-0.2706530730025758,-0.1251463997603091,-3.560708798811023,-5.629166030108861,-2.6028518889731997,-179.11010054381404,-283.1572449752948,-161.63275957842484,-0.3474495383919374,-0.569255464611472,-0.24950779651415989,-17.477340965389203,-28.63458071486278,-12.55069398964587,0.9145454146499812,0.8871694790844812,0.9424722834401668,-0.093439411516512,-0.12718034555466765,-0.06103916005874289,-0.3750916528069668,-0.5105370982589232,-0.24502807820377764,-32.11401137045948,-43.71036800162014,-20.97843135306315,0.906412329247798,0.8766116777696126,0.9369047610416336,-0.1032506594762093,-0.1407559645387428,-0.06734434659956065,-0.41447671692042726,-0.5650333892775642,-0.2703388416436099,-35.48602028428316,-48.37614634225721,-23.145448770857012,-0.03938506411346049,-0.05449629101864095,-0.02531076343983224,-3.372008913823672,-4.665778340637067,-2.1670174177938564,0.8871694790844812,0.8603391773337042,0.9424722834401668,-0.12718034555466765,-0.1623322828318962,-0.06103916005874289,-0.4014284377879628,-0.5123810162298322,-0.19266227465735408,-104.81160255560388,-133.7809441853348,-50.30346596797757,0.8766116777696126,-0.1407559645387428,-0.4442781367490292,0.8474940734239277,-0.17994925434692313,-0.5679867257676513,0.9369047610416336,-0.06734434659956065,-0.2125637867345814,-115.99951351149588,-148.29940620565307,-55.49968322051733,-0.04284969896106638,-0.05560570953781907,-0.01990151207722731,-11.187910955892006,-14.518462020318294,-5.196217252539769,0.8932
12011090401,12011090401,Census Tract 904.01; Broward County; Florida,3127,2235,781,Hollywood city,Florida,69713,0.5854970068434174,0.25229587719754837,12011,3127,2235,781,0.010462,0.008241179256,0.003436880739,0.8202143573120928,0.7405195585299257,0.8625358716294274,-0.2191934840997894,-0.3504032249805705,-0.15937207122862895,-7.170843375248794,-11.46332727378802,-5.213805354949376,-229.32022306519968,-366.59185397467286,-166.73506091939163,0.804118592410459,0.7186049209729516,0.8498746638102351,-0.2435976601440825,-0.39158523802767026,-0.1766440895139871,-7.969218038776452,-12.810583405287636,-5.778853802476907,-254.8518720427391,-409.67647602454866,-229.32022306519968,-0.7983746635276576,-1.3472561314996143,-0.5650484475275306,-25.53164897753942,-43.08462204987575,-18.06998553014169,0.8840584335701371,0.8477597746435533,0.9215149460209472,-0.13114694914639327,-0.17957943973038487,-0.08516959417527302,-1.0073959065221685,-1.3794266176790384,-0.6542241439147038,-45.07364234998516,-61.71931175297711,-29.271773776944244,0.8732308466669993,0.8338733349342133,0.9140135240804146,-0.14517255524911982,-0.1992229012562116,-0.0940757151335327,-1.1151325962914982,-1.5303164619327108,-0.7226358748374497,-49.89407589671132,-68.47053520951727,-32.332701335008935,-0.10773668976932992,-0.15088984425367236,-0.06841173092274588,-4.820433546726171,-6.75122345654015,-3.060927558064693,0.8477597746435533,0.8125946812465431,0.9215149460209472,-0.17957943973038487,-0.2306258250004441,-0.08516959417527302,-1.1558381020914272,-1.4843910653802976,-0.548182254244934,-147.994635351015,-190.06287648915463,-70.18978927591985,0.8338733349342133,-0.1992229012562116,-1.2822705117403583,0.7959052563698882,-0.256430953303393,-1.6504821867619373,0.9140135240804146,-0.0940757151335327,-0.6055052638324832,-164.18316411528275,-211.3293452960227,-77.52948320518351,-0.1264324096489311,-0.16609112138163962,-0.0573230095875491,-16.188528764267744,-21.26646880686807,-7.33969392926365,0.9246
12011090503,12011090503,Census Tract 905.03; Broward County; Florida,1287,854,427,Hollywood city,Florida,57037,0.6433923470653958,0.25273088521496045,12011,1287,854,427,0.010462,0.008241179256,0.003436880739,0.8010566629588581,0.7144614702633596,0.8474588440931592,-0.24835114198576924,-0.3996556030255729,-0.1799983054871185,-3.343947296274737,-5.381200434564511,-2.423604104072023,-259.8249647455118,-418.1196918853544,-188.31422720062335,0.7834829697386355,0.6908387572728916,0.8335477393275701,-0.27635192930050934,-0.447515776253684,-0.19969133478390613,-3.7209665291480625,-6.025618235850697,-2.688762748183374,-289.1193884341929,-468.1910051166043,-259.8249647455118,-0.3770192328733253,-0.6444178012861856,-0.2651586441113509,-29.294423688681064,-50.07131323124986,-20.602847250299217,0.8711618469127,0.8312264692193673,0.9125765518984184,-0.1478923274060818,-0.2030415741442084,-0.09579848169418329,-0.43407820094769906,-0.5959465427851696,-0.2811777549023959,-50.82882915078443,-69.782967539247025,-32.924795656018254,0.8592286143993917,0.8160021455829269,0.9042660715062868,-0.16383461076771605,-0.22548697379420568,-0.10586920322493558,-0.480870335482273,-0.6618259489079126,-0.31073629090616733,-56.30800181291252,-77.49718371287032,-36.38598254170577,-0.04679213453457392,-0.06587940612274301,-0.02955853600377145,-5.479172662128095,-7.714216173623304,-3.461186885687524,0.8312264692193673,0.7927321649221878,0.9125765518984184,-0.2030415741442084,-0.26146010500047895,-0.09579848169418329,-0.7144999578185911,-0.920073806467853,-0.33711328046030836,-167.33020089428362,-215.47395936015292,-78.94924600943989,0.8160021455829269,-0.22548697379420568,-0.793484949787547,0.7745315764049553,-0.2911029459141909,-1.024386475790578,0.9042660715062868,-0.10586920322493558,-0.3725519837862328,-185.82785709310235,-239.903155922852,-87.24870814665874,-0.07898499196895592,-0.1043126693227251,-0.03543870332592447,-18.497656198818717,-24.429196562699087,-8.299462137218846,0.4291
12011091802,12011091802,Census Tract 918.02; Broward County; Florida,2161,1609,590,Hollywood city,Florida,54189,0.6006395246624369,0.25872193951355055,12011,2161,1609,590,0.010462,0.008241179256,0.003436880739,0.8151598587058797,0.7336136678162196,0.8585667656318406,-0.2267532427167921,-0.3631152797040224,-0.16473178328079718,-5.126523931079954,-8.209448953585387,-3.724319083953477,-237.22924253030791,-379.89120562634827,-172.34239166837006,0.7986694341781159,0.7112366953245263,0.8455737273641455,-0.2520824726804109,-0.406001696163491,-0.18262898625911425,-5.699176837863294,-9.17904143951214,-4.128945885618806,-263.72868291824585,-424.75897452624434,-237.22924253030791,-0.5726529067833397,-0.9695924859267536,-0.4046268016653291,-26.499440387937977,-44.86776889989604,-18.72405375591528,0.8806670097701963,0.8434039962352371,0.9191686903244074,-0.13550296412368482,-0.18567140357855988,-0.08793958119598738,-0.7493234117058275,-1.0267519274242771,-0.48630070516841895,-46.57075274741003,-63.813047074224826,-30.22378528082156,0.8695466785498419,0.829161674465897,0.9114539781325706,-0.15002451814055268,-0.20603741199706108,-0.09714809962083512,-0.8296267502310097,-1.1393747546050257,-0.537223269759438,-51.561637677502155,-70.81260128061066,-33.38864324173014,-0.08030333852518223,-0.11262282718074834,-0.05092256459101907,-4.990884930092121,-6.9995542063858505,-3.164857960908581,0.8434039962352371,0.8073520818756748,0.9191686903244074,-0.18567140357855988,-0.23861698315901703,-0.08793958119598738,-0.9027892785663788,-1.1602263457262418,-0.4275882528768824,-153.01513196040318,-196.64853317393928,-72.4725852333699,0.829161674465897,-0.20603741199706108,-1.0018148349689622,0.79025866496595365,-0.26540845970108096,-1.2904944285487217,0.9114539781325706,-0.09714809962083512,-0.47236279297947825,-169.79912457101054,-218.7278692455461,-80.06149033550479,-0.09902555640258336,-0.1302680828224798,-0.04477454010259585,-16.78399261060735,-22.079336071606747,-7.5889051021348894,0.818
12011080405,12011080405,Census Tract 804.05; Broward County; Florida,1987,1368,681,Hollywood city,Florida,55272,0.5968195781493062,0.2972922400007627,12011,1987,1368,681,0.010462,0.008241179256,0.003436880739,0.8164319929579694,0.7353496932895732,0.859566311286277,-0.22484176101055953,-0.35989721506038647,-0.16337737632315347,-4.674009178836946,-7.481541147292024,-3.3962879187414567,-235.2294503692474,-376.5244663961763,-170.92541110928315,0.8000405804290202,0.7130882940208048,0.8466566514137838,-0.24993659629584292,-0.4023508847150202,-0.18111633367570773,-5.195680464178405,-8.364067777350531,-3.7650452577526106,-261.4836670447109,-420.9394955888542,-235.2294503692474,-0.5216712853414593,-0.8825266300585071,-0.3687573390111538,-26.25421667546348,-44.41502919267776,-18.558497182242267,0.881521322596861,0.844500696933395,0.9197600074917084,-0.13440250889690833,-0.18413164563541984,-0.0872401407483624,-0.6319139391302505,-0.865723076652255,-0.41017285646699175,-46.19253941010603,-63.28385063247478,-29.983395940569572,0.8704746013438784,0.8303477506754178,0.9120989884502132,-0.14879859614071947,-0.2043146972898818,-0.09637222786437162,-0.6995993437626689,-0.9606167790043676,-0.4531087598911186,-51.14030290662784,-70.22052478102101,-33.121985372157795,-0.06768540463241834,-0.0948937023521126,-0.04293590342412684,-4.947763496521809,-6.936674148546241,-3.138589431588219,0.844500696933395,0.8086714142146106,0.9197600074917084,-0.18413164563541984,-0.23659620263838496,-0.0872401407483624,-1.0333915527993438,-1.3278353994348766,-0.48961287563185457,-151.7461898383765,-194.98317172318303,-71.89616382259246,0.8303477506754178,-0.2043146972898818,-1.1466637446458807,0.7916793200705822,-0.26313770569483236,-1.4767927661193498,0.9120989884502132,-0.09637222786437162,-0.5408643682937783,-168.3794045001293,-216.85650016436855,-79.42208051303646,-0.11327219184653692,-0.14895736668447324,-0.05125149266192369,-16.633214661752852,-21.873328441185496,-7.525916690444007,0.7091
12011070503,12011070503,Census Tract 705.03; Broward County; Florida,4311,2757,835,Hollywood city,Florida,87046,0.6318305055325701,0.2557578266269656,12011,4311,2757,835,0.010462,0.008241179256,0.003436880739,0.8048464059538487,0.7195910083026789,0.8504485548101935,-0.24247308878129195,-0.3896782873353717,-0.17585007857786758,-10.935944143771598,-17.575146197704562,-7.931134323693996,-253.67534548298767,-407.6814242102659,-183.97435220816507,0.7875611962261068,0.6962966420317102,0.8367830071156332,-0.2697425987870822,-0.4361694996576744,-0.19505294860966524,-12.165844912348566,-19.67197807165954,-8.797216061355465,-282.2047068510454,-456.32053054185906,-253.67534548298767,-1.229900768576968,-2.0968318739549794,-0.8660817376614691,-28.529361368057717,-48.63910633159312,-20.09004262726674,0.8737222045424179,0.8345022414913914,0.91435461590629,-0.1445285409951505,-0.19831912999159493,-0.09366757995618588,-1.3694773281619868,-1.8791689890055152,-0.8875452990153747,-49.67273587820046,-68.15991980433498,-32.192430142015766,0.8620068364918434,0.8195401941483877,0.9062043192578498,-0.160083606842093,-0.2201964066437696,-0.10350389945058484,-1.516869046564301,-2.086466690696741,-0.980749149600078,-55.0188264985238,-75.67887887909832,-35.57305584331077,-0.14739171840231458,-0.2072977016912254,-0.09320385058470317,-5.346090620323343,-7.518959074763345,-3.380625701295,0.8345022414913914,0.7966595766463774,0.91435461590629,-0.19831912999159493,-0.2552412966773155,-0.09366757995618588,-1.364710222629174,-1.7564135483421144,-0.6445626496070247,-163.43835001546995,-210.3489279451634,-77.19313168946402,0.8195401941483877,-0.2201964066437696,-1.5152561789964427,0.7787535855850662,-0.28410323690351236,-1.9550236616139525,0.9062043192578498,-0.10350389945058484,-0.71225014787117,-181.46780586783743,-234.1345702531679,-85.29941890672694,-0.15054595636726864,-0.19861011327183808,-0.06768749826414533,-18.0294558523675,-23.78564230800456,-8.106287217262913,0.6203
