geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
53033010702,53033010702,Census Tract 107.02; King County; Washington,3270,1847,420,Seattle city,Washington,55132,0.7238471626767555,0.17199227520543486,53033,3270,1847,420,0.0085,0.00730409985099999,0.00317867361099999,0.7751747008638579,0.6797651211929864,0.826943503184765,-0.29003178107540906,-0.47109636670531446,-0.2092724547067018,-8.061433354990996,-13.094123512574216,-5.816727878572777,-246.52701391409772,-400.43191169951734,-177.88158650069656,0.755682820819199,0.6540256255207746,0.811378365423828,-0.32330651491580636,-0.5289920776479359,-0.23247062358834825,-8.986304582084838,-14.70333479822438,-6.461520982638139,-274.8105376784354,-449.64326600074554,-246.52701391409772,-0.924871227093842,-1.6092112856501632,-0.6447931040653616,-28.283523764337676,-49.21135430122823,-19.71844354939944,0.8535517680732335,0.8087848209671237,0.9002990014605775,-0.171575102301471,-0.2364228087320262,-0.1107420961010454,-1.0073191687321048,-1.3880407120072702,-0.6501679712954455,-54.53812499903112,-75.1510943154992,-35.2012978503219,0.8401423029701752,0.7918014471169013,0.8908927922650616,-0.1902745480910508,-0.262942879987387,-0.1224695144940363,-1.1171038049400652,-1.5437403197786084,-0.7190197638256015,-60.48206848619736,-83.58095938162471,-38.92906138741752,-0.10978463620796042,-0.15569960777133818,-0.06885179253015605,-5.943943487166238,-8.42986506612551,-3.7277635370956177,0.8087848209671237,0.7659335966848806,0.9002990014605775,-0.2364228087320262,-0.305596208768237,-0.1107420961010454,-0.7252794368536895,-0.9374841936307028,-0.3397259576050508,-172.6855802032594,-223.21052229302444,-80.88713276310733,0.7918014471169013,-0.262942879987387,-0.8066356412257013,0.7457791400399484,-0.3408795530891814,-1.045723683029607,0.8908927922650616,-0.1224695144940363,-0.37570241627853174,-192.0561050537384,-248.98182929276356,-89.45295625679327,-0.08135620437201185,-0.10823948939890438,-0.03597645867348093,-19.370524850479015,-25.771306999739135,-8.565823493685935,0.7159
53033010002,53033010002,Census Tract 100.02; King County; Washington,3673,2002,482,Seattle city,Washington,56080,0.6378454407097801,0.2366402092118449,53033,3673,2002,482,0.0085,0.00730409985099999,0.00317867361099999,0.8028725970550762,0.7169178369124091,0.8488918730993167,-0.24552762626098337,-0.3948599804780378,-0.17800633000406202,-7.665495255681031,-12.32772602051458,-5.557446625891819,-208.69848232183583,-335.6309834063321,-151.30538050345274,0.7854368965009922,0.6934518711244014,0.8350983266423533,-0.27317675608932473,-0.4420611460439848,-0.19746378132579948,-8.528714913486763,-13.801370010066227,-6.1649179848821225,-232.200242675926,-375.7519741373871,-208.69848232183583,-0.8632196578057316,-1.4736439895516504,-0.6074713589903036,-23.50176035409016,-40.12099073105501,-16.53883362347682,0.8723892658039939,0.8327964451200506,0.91342916355425,-0.14627728606724666,-0.20077361744243089,-0.0947756431477332,-0.9308654337195312,-1.2776639866976272,-0.6031241933501835,-46.496774911065494,-63.819379954926426,-30.12608358392525,0.8605603743608522,0.8176976487136124,0.90519544688514475,-0.16203351884835643,-0.22294591597906935,-0.10473379361450157,-1.0311334442624047,-1.4187619442053878,-0.6664949209765574,-51.50516704607416,-70.8672299802891,-33.291454594233635,-0.1002680105428736,-0.14109795750776066,-0.06337072762637386,-5.0083921350086715,-7.047850025362671,-3.1653710103083847,0.8327964451200506,0.7946139569197507,0.91342916355425,-0.20077361744243089,-0.25847273546063776,-0.0947756431477332,-0.7068388047365673,-0.9099729422486224,-0.3336648667990055,-146.64705492459905,-188.79106685656063,-69.22507609937874,0.8176976487136124,-0.22294591597906935,-0.7848980696715815,0.7765542623527496,-0.28774001828316564,-1.013010639490365,0.90519544688514475,-0.10473379361450157,-0.36872329361315453,-162.8419231683779,-210.16818246688075,-76.49860863343456,-0.07805926493501414,-0.10303769724174272,-0.03505842681414906,-16.194868243778867,-21.377115610320068,-7.27353253405582,0.5706
53033008200,53033008200,Census Tract 82; King County; Washington,3882,1064,320,Seattle city,Washington,37256,0.47331070553862153,0.2729361974144943,53033,3882,1064,320,0.0085,0.00730409985099999,0.00317867361099999,0.8586508713531076,0.7937493829392857,0.8925189952490283,-0.1646176966246444,-0.2598434990865254,-0.12042433306529526,-5.431890135523391,-8.574055939358077,-3.973641718155548,-139.92504213094773,-220.86697422354655,-102.36068310550098,0.845664844017313,0.7756248962453612,0.8824278670237589,-0.1825015632073826,-0.28928300888843556,-0.13323710341649442,-6.022004081154003,-9.545471444291708,-4.396424701434066,-155.1263287262752,-245.8905575551702,-139.92504213094773,-0.5901139456306126,-0.9714155049336312,-0.4227829832785184,-15.201286595327476,-25.023583331623676,-10.890854798519278,0.9095946345070146,0.8807389014121608,0.9390852106851956,-0.09939082978648352,-0.13541027698063307,-0.0648660937492119,-0.33615059231801997,-0.4579722788387176,-0.21938418143802532,-31.593100781768793,-43.04250740965391,-20.61881404492719,0.901016364598395,0.8696247611079911,0.9332016567848476,-0.1098577554090535,-0.14992125882650517,-0.07157975206054859,-0.3715508727597277,-0.5070499971059345,-0.2420905037700231,-34.920194808245085,-47.65507491597128,-22.752866895678867,-0.03540028044170773,-0.04907771826721685,-0.02270632233199782,-3.3270940264762907,-4.612567506317373,-2.134052850751675,0.8807389014121608,0.8525107448478425,0.9390852106851956,-0.13541027698063307,-0.1730057433803742,-0.0648660937492119,-0.31649605885379545,-0.4043683918229553,-0.1516122962203426,-98.90501839181108,-126.36512244467352,-47.37884256885707,0.8696247611079911,-0.14992125882650517,-0.3504127501620508,0.8390152363283777,-0.19187346868229616,-0.448468151684228,0.9332016567848476,-0.07157975206054859,-0.16730421003522236,-109.50398442564088,-140.14629740132125,-52.28256563600699,-0.03391669130825536,-0.04409975986127268,-0.01569191381487975,-10.598966033829802,-13.781174956647714,-4.9037230671499215,0.5138
53033005600,53033005600,Census Tract 56; King County; Washington,4344,3940,1441,Seattle city,Washington,76652,0.6819080530735264,0.19932194391276312,53033,4344,3940,1441,0.0085,0.00730409985099999,0.00317867361099999,0.7885602429446136,0.697635891941069,0.8375749043470797,-0.26813393009243736,-0.433412488594369,-0.1939230686233807,-9.900577234733158,-16.003322728858482,-7.16041538584971,-227.91384057857175,-368.4006153052137,-164.83460832987362,0.7700490068557619,0.6729637912316243,0.8228601339203414,-0.29861864777044017,-0.4859640489272841,-0.2152733602923665,-11.026194950275732,-17.94373654259104,-7.94875355543534,-253.82585060487415,-413.0694415881916,-227.91384057857175,-1.1256177155425746,-1.9404138137325584,-0.7883381695856304,-25.91201002630236,-44.66882628297786,-18.1477479186379,0.8626865895935036,0.8204064468666961,0.9066782337011756,-0.15916952003530993,-0.21890802274800417,-0.102927105592767,-1.993434934866395,-2.7415983912723574,-1.2890563971530955,-50.594795301177534,-69.58371551452684,-32.7171674404339,0.8500380213615666,0.8043257468554199,0.8978390882645121,-0.1764179658672545,-0.24327737102732977,-0.11378532419763654,-2.2094540224776495,-3.046799476185834,-1.4250444449436614,-56.07751326085405,-77.3299359438029,-36.1686407346107,-0.21601908761125463,-0.30520108491347653,-0.13598804779056595,-5.482717959676514,-7.746220429276054,-3.451473294176801,0.8204064468666961,0.779788012091906,0.9066782337011756,-0.21890802274800417,-0.28239981186340657,-0.102927105592767,-2.304052447180754,-2.9723167266294217,-1.0833291833951706,-159.89260563364016,-206.2676423753936,-75.17898566239907,0.8043257468554199,-0.24327737102732977,-2.5605449038497152,0.7606313300032161,-0.31469735804305055,-3.312255114354961,0.8978390882645121,-0.11378532419763654,-1.1976141914753569,-177.6922209472391,-229.85809259923388,-83.10993695179437,-0.2564924566689606,-0.33993838772553886,-0.11428500808018628,-17.79961531359893,-23.59045022384031,-7.9309512893953,0.0354
53033002100,53033002100,Census Tract 21; King County; Washington,3621,2142,865,Seattle city,Washington,67728,0.7505065952700504,0.15302839584085956,53033,3621,2142,865,0.0085,0.00730409985099999,0.00317867361099999,0.76678428163189,0.6686439438151053,0.8202557036986715,-0.3041477557048695,-0.4955642823806417,-0.21913202857454217,-9.361211698962329,-15.25272526525258,-6.7445551414815466,-258.5255923491391,-421.2296400235454,-186.26222428836087,0.7466903210371123,0.6422652232731461,0.8041631810351837,-0.3392432871113882,-0.5569891748205624,-0.2435287060926109,-10.441399512357862,-17.143291317214683,-7.495448280471425,-288.35679404467993,-473.44079859747814,-258.5255923491391,-1.0801878133955345,-1.8905660519621037,-0.75089313898987875,-29.831201695540862,-52.211158573932714,-20.73717589035843,0.8477953869358504,0.8014830361942422,0.8962672686321652,-0.17952989059572028,-0.2476870436938936,-0.11573861391384524,-1.2223685546830374,-1.6864314494326136,-0.7880316850939899,-57.06669256223331,-78.73162695763835,-36.78952778216573,0.8339118668681682,0.7839417032843374,0.8865052054587133,-0.1991674896720092,-0.27560505559339754,-0.1280249612099683,-1.3560754461687747,-1.876517343998596,-0.8716859698309841,-63.30884435895307,-87.60585172729206,-40.69495657474249,-0.13370689148573733,-0.1900858945659825,-0.08365428473699421,-6.242151796719764,-8.87422476965371,-3.905428792576761,0.8014830361942422,0.757255005418502,0.8962672686321652,-0.2476870436938936,-0.32055911528421444,-0.11573861391384524,-1.5648982275824066,-2.0253073550492657,-0.7312419296362499,-180.91308989391985,-234.13957861841223,-84.53663926430634,0.7839417032843374,-0.27560505559339754,-1.741285521352813,0.7364891750521516,-0.3577932084734156,-2.2605540824050556,0.8865052054587133,-0.1280249612099683,-0.8088676415847789,-201.30468454945816,-261.3357320699486,-93.51071000980102,-0.1763872937704063,-0.2352467273557899,-0.07762571194852896,-20.3915946555383,-27.196153451536404,-8.974070745494677,0.1783
53033003900,53033003900,Census Tract 39; King County; Washington,2224,1514,522,Seattle city,Washington,56394,0.6900480056082661,0.14822771777164995,53033,2224,1514,522,0.0085,0.00730409985099999,0.00317867361099999,0.7859442918950682,0.6941309929759895,0.835500822683068,-0.27235480976495274,-0.440650266475842,-0.19688691243734627,-5.148595323796667,-8.330052637459318,-3.721950192715594,-231.50158830020987,-374.5527265044657,-167.35387557174434,0.7672394768658248,0.6692456849716469,0.8206190037221793,-0.3033740183508316,-0.4942195705637843,-0.21859230101201765,-5.734982442904121,-9.34272676193778,-4.132268858331182,-257.8679155982069,-420.0866349792167,-231.50158830020987,-0.5863871191074539,-1.0126741244784618,-0.41031866561558816,-26.366327297997024,-45.53390847475098,-18.44958028847069,0.860906000561541,0.8181378216636255,0.9054365646914088,-0.1615669995884946,-0.22228794895042336,-0.10443960294537076,-0.7775430996125989,-1.069763387781247,-0.5026168264762125,-51.35687580003956,-70.65808373720257,-33.19794098257679,0.8481082900915173,0.8018795114728844,0.8964866604465888,-0.17909471194072682,-0.24707014668975624,-0.11546556588119852,-0.8618954229594712,-1.1890280079978213,-0.555679403730062,-56.928363471563486,-78.5355355348627,-36.70273472457477,-0.08435232334687226,-0.11926462021657436,-0.05306257725384944,-5.571487671523927,-7.87745179766013,-3.5047937419979815,0.8181378216636255,0.7770795519030017,0.9054365646914088,-0.22228794895042336,-0.28686953292115985,-0.10443960294537076,-0.8475261816497146,-1.0937589780115908,-0.39820106449875,-162.36133748078822,-209.53237126658829,-76.28372883117817,0.8018795114728844,-0.24707014668975624,-0.9420142612873086,0.75772572021878,-0.3197387568040682,-1.2190807866962532,0.8964866604465888,-0.11546556588119852,-0.4402401957703132,-180.46250216231965,-233.54038059315195,-84.33720225484927,-0.09448807963759398,-0.12532180868466236,-0.04203913127156322,-18.101164681531415,-24.00800932656367,-8.053473423671116,0.0781
53033003602,53033003602,Census Tract 36.02; King County; Washington,3934,1246,290,Seattle city,Washington,44696,0.5967214309235948,0.22103408857576576,53033,3934,1246,290,0.0085,0.00730409985099999,0.00317867361099999,0.8164647044959135,0.7353943516913385,0.8595920082910361,-0.22479268790608836,-0.3598146323806991,-0.1633425978309297,-7.516842690891688,-12.031841492178197,-5.462013128868458,-191.0737847201751,-305.84243752359424,-138.84120815629024,0.8000758407709744,0.7131359312586644,0.8466844936284672,-0.24988151002831605,-0.402257208152489,-0.1810774940668856,-8.35578781383686,-13.45107878341108,-6.055050324102587,-212.39928352406864,-341.91862692961564,-191.0737847201751,-0.8389451229451721,-1.419237291232882,-0.5930371952341291,-21.325498803893545,-36.076189406021406,-15.074661800562511,0.8815432836727467,0.8445288936321558,0.9197752054225576,-0.13437424857203917,-0.18409211045366725,-0.08722217570605849,-0.5322063199056335,-0.729120241931492,-0.3454545319507233,-42.71318779338952,-58.51687334923693,-27.725082821085337,0.8704984558330536,0.830378247293147,0.912115566939779,-0.1487671153224682,-0.20427046741624447,-0.09635230035057982,-0.5892111011605137,-0.8090391937761838,-0.3816155530464835,-47.288210366012336,-64.93091442826515,-30.62725144835341,-0.05700478125488018,-0.07991895184469178,-0.03616102109576019,-4.5750225726228075,-6.414041079028233,-2.902168627268073,0.8445288936321558,0.8087053406769767,0.9197752054225576,-0.18409211045366725,-0.2365443254806358,-0.08722217570605849,-0.3899418753951228,-0.5010455780244221,-0.18475304936777007,-134.46271565349062,-172.7743372498007,-63.707948057851745,0.830378247293147,-0.20427046741624447,-0.43268344827942046,0.7917158550933112,-0.263079416139949,-0.5572519140264007,0.912115566939779,-0.09635230035057982,-0.20409237856391135,-149.20118906186914,-192.1558324228968,-70.3766822634177,-0.04274157288429764,-0.05620633600197866,-0.01933932919614131,-14.738473408378496,-19.38149517309609,-6.668734205565969,0.2344
53033007302,53033007302,Census Tract 73.02; King County; Washington,4864,1609,345,Seattle city,Washington,34251,0.4586449328852721,0.2630722941849681,53033,4864,1609,345,0.0085,0.00730409985099999,0.00317867361099999,0.8638069135424756,0.8009850468925923,0.8965148656137397,-0.15766612228072588,-0.24846275705081233,-0.11543047232732276,-6.518548159574331,-10.272444227508783,-4.772357447900833,-134.016203938617,-211.1933434931905,-98.11590147822436,0.8512523879161071,0.7834059206457877,0.8867745993744656,-0.17473972959774214,-0.27647746033839843,-0.12768227766718182,-7.224439380489051,-11.430684120230746,-5.278896087871965,-148.52877015808082,-235.00584128763867,-134.016203938617,-0.7058912209147206,-1.1582398927219604,-0.506538639971132,-14.512566219463828,-23.8124977944482,-10.414034538880182,0.9129869699271674,0.8851439318184888,0.9414067419529604,-0.09530588380661548,-0.12975976454534857,-0.0622401088030101,-0.48744059320705546,-0.6636544783817655,-0.31832615515921625,-30.29462978291209,-41.24639393298729,-19.7840991397897,0.9047134301265513,0.8744103429082826,0.935739655284162,-0.10532237800440322,-0.1436278265808329,-0.06867331565244342,-0.5386698109490746,-0.7345824852918645,-0.35122870049707083,-33.47854636103634,-45.65459821577778,-21.82900562442951,-0.05122921774201916,-0.07092800691009904,-0.03290254533785458,-3.1839165781242484,-4.408204282790494,-2.0449064846398124,0.8851439318184888,0.8578717487121915,0.9414067419529604,-0.12975976454534857,-0.1656754071936355,-0.0622401088030101,-0.32698350552410904,-0.4174878523641021,-0.15683974945483,-94.77782768814754,-121.01097169973971,-45.46079694342899,0.8744103429082826,-0.1436278265808329,-0.3619298354213378,0.8448208090053502,-0.18368296488500332,-0.46286535717448785,0.935739655284162,-0.06867331565244342,-0.17305088034551733,-104.90719867285152,-134.16387164477908,-50.15967546246879,-0.03494632989722873,-0.04537750481038577,-0.01621113089068732,-10.12937098470398,-13.152899945039357,-4.698878519039803,0.3365
53033010601,53033010601,Census Tract 106.01; King County; Washington,3297,2348,879,Seattle city,Washington,60110,0.6675821661956595,0.16480479721699726,53033,3297,2348,879,0.0085,0.00730409985099999,0.00317867361099999,0.7931853430321779,0.7038473654540724,0.8412376912359046,-0.260739383026436,-0.4207625816072649,-0.18872467367795856,-7.307090839624357,-11.791660968252796,-5.288914617487951,-221.62847557247065,-357.6481943661752,-160.41597262626482,0.7750186411195538,0.6795577007985594,0.8268192800118606,-0.29029154518844763,-0.4715453872789369,-0.2094541384976596,-8.135275408133651,-13.214823705798567,-5.869847504327662,-246.74781341018053,-400.8135791870964,-221.62847557247065,-0.8281845685092941,-1.4231627375457734,-0.5809328868397117,-25.11933783770986,-43.16538482092125,-17.62004509674588,0.8658292812171995,0.8244143963320655,0.908867642528627,-0.15496209436828093,-0.21298221434407175,-0.1002702189042918,-1.1565635643331562,-1.5895982173287435,-0.7483693495830237,-49.257392007374634,-67.70009443478466,-31.872629880026565,0.8534449165210369,0.8086491301889314,0.9002242468705063,-0.17172178384561337,-0.23663027964472275,-0.11083433208597644,-1.2816499364426708,-1.766096159004101,-0.8272148791638949,-54.584750274389734,-75.21704254702306,-35.230616659450384,-0.12508637210951457,-0.1764979416753576,-0.07884552958087121,-5.327358267015101,-7.516948112238398,-3.3579867794238165,0.8244143963320655,0.7845777064635172,0.908867642528627,-0.21298221434407175,-0.274571010317765,-0.1002702189042918,-1.367410513489386,-1.7628292924092468,-0.6437652643525875,-155.56433600561846,-200.54940755509065,-73.23836909585752,0.8086491301889314,-0.23663027964472275,-1.5192382762693994,0.7657721364839704,-0.3058714888628396,-1.9637878727846008,0.9002242468705063,-0.11083433208597644,-0.7115900800294062,-172.83711902951077,-223.41158962282145,-80.95450284748648,-0.1518277627800133,-0.20095858037535397,-0.06782481567681864,-17.2727830238923,-22.862182067730828,-7.716133751628969,0.0581
53033007502,53033007502,Census Tract 75.02; King County; Washington,2848,907,171,Seattle city,Washington,33394,0.4845348808076863,0.2138860965598538,53033,2848,907,171,0.0085,0.00730409985099999,0.00317867361099999,0.8547255908176679,0.7882558887384826,0.8894728659316908,-0.16996613970965382,-0.2686235704504418,-0.1242613893033555,-4.1145403100913,-6.502839393464295,-3.0081197122556302,-144.47121875320576,-228.3300348828755,-105.62218090785218,0.8414133102596311,0.769722082633832,0.8791155753364821,-0.18847656414115263,-0.29917021034163904,-0.13750686264118264,-4.562640664729024,-7.242312451950399,-3.32876613081775,-160.2050795199798,-254.2946787903932,-144.47121875320576,-0.4481003546377238,-0.7394730584861042,-0.3206464185621196,-15.733860766774011,-25.964643907517704,-11.258652337153077,0.9070068912943532,0.8773824085463541,0.9373123382081106,-0.1025274555223502,-0.1397538750028036,-0.06688022683210532,-0.2955924947655868,-0.4029183827373087,-0.1928195038009189,-32.59013172718708,-44.42319545064043,-21.25904121289073,0.898197093637795,0.8659799059549886,0.9312638982279866,-0.11334138919320288,-0.15476120533907328,-0.07380947753134721,-0.32676968155630065,-0.44618537099200306,-0.21279692829282584,-36.02752828625145,-49.19353594178645,-23.46162384705908,-0.03117718679071385,-0.04326698825469438,-0.01997742449190695,-3.4373965590643714,-4.770340491146017,-2.202582634168352,0.8773824085463541,0.8484304433400905,0.9373123382081106,-0.1397538750028036,-0.17864700382887286,-0.06688022683210532,-0.1745527400469752,-0.22313029974221937,-0.08353347517750774,-102.07762575846502,-130.48555540480666,-48.84998548392265,0.8659799059549886,-0.15476120533907328,-0.19329691176266764,0.8345990149712814,-0.1981801824129999,-0.24752726078260465,0.9312638982279866,-0.07380947753134721,-0.09218811674648626,-113.03912968577056,-144.75278408339452,-53.91117938391009,-0.01874417171569245,-0.02439696104038524,-0.00865464156897852,-10.961503927305529,-14.267228678587864,-5.0611938999874395,0.3356
53033001202,53033001202,Census Tract 12.02; King County; Washington,2984,1404,419,Seattle city,Washington,53647,0.6579614701146197,0.2349689137799673,53033,2984,1404,419,0.0085,0.00730409985099999,0.00317867361099999,0.7963065925658553,0.7080497550772434,0.8437064593443531,-0.2557977157740271,-0.41233012627891774,-0.18524634832961115,-6.488053262892423,-10.45834132293847,-4.698588379032257,-217.42805840792303,-350.4806073370801,-157.45939608016948,0.7783740386752932,0.6840221331701095,0.8294887713816916,-0.28472938499065276,-0.46194099796959337,-0.20556182856373728,-7.221876120902917,-11.716671472500767,-5.213870219690633,-242.0199772420549,-392.6498482741544,-217.42805840792303,-0.7338228580104937,-1.2583301495622976,-0.5152818406583757,-24.591918834131828,-42.16924093707432,-17.268158199007228,0.8679462112142341,0.8271169598495972,0.9103409290801991,-0.1521451295939481,-0.2090188553041396,-0.09848955271119318,-0.679002070709371,-0.9328214182576008,-0.4395448635958176,-48.3619708482458,-66.44027195566959,-31.306614216226325,0.8557405125181976,0.8115655783430332,0.9018295799513812,-0.16857854147548573,-0.2321863157894052,-0.10885695283349572,-0.7523420502812697,-1.0362144988284734,-0.485813095577369,-53.58561611689955,-73.8044514835095,-34.602072334570444,-0.07333997957189864,-0.10339308057087249,-0.04626823198155144,-5.223645268653749,-7.36417952783992,-3.29545811834412,0.8271169598495972,0.7878107763238608,0.9103409290801991,-0.2090188553041396,-0.2693403416823921,-0.09848955271119318,-0.6396850331610425,-0.824293986061722,-0.30141918393152783,-152.66945898831565,-196.72887495506492,-71.93775272828826,0.8115655783430332,-0.2321863157894052,-0.7105871424813244,0.7692439847176825,-0.299977666210814,-0.9180570005438946,0.9018295799513812,-0.10885695283349572,-0.33314776019503756,-169.59120345616336,-219.10668270737344,-79.510205297145,-0.07090210932028185,-0.0937630144821726,-0.03172857626350972,-16.9217444678477,-22.377807752308502,-7.572452568856735,0.6046
