geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
47149042000,47149042000,Census Tract 420; Rutherford County; Tennessee,3452,2197,1007,Murfreesboro city,Tennessee,123636,0.6997306087743742,0.2213363606972663,47149,3452,2197,1007,0.009094,0.007511132516,0.003803074181,0.7828438749855493,0.689984782901413,0.8330403567782829,-0.27739391205999947,-0.4493073250035471,-0.20042203461476965,-8.70808505561659,-14.104874808485953,-6.291746316579741,-252.26202362736353,-408.60008135822574,-182.26379827867152,0.7639108417732436,0.6648496800339174,0.8179610910015352,-0.3090532890968396,-0.5040993927363924,-0.22255203945651136,-9.701951669333068,-15.824934137284483,-6.98646222801406,-281.0530611046659,-458.4279877544752,-252.26202362736353,-0.9938666137164792,-1.7200593287985324,-0.6947159114343187,-28.791037477302407,-49.827906396249496,-20.12502640307991,0.8587927468184687,0.815447423729022,0.9039617937925652,-0.1644252978435781,-0.2263206319630313,-0.10624144390495437,-1.3738315660359266,-1.8909889920455176,-0.8876848707108006,-62.53216049321469,-86.07141520462075,-40.40440922670918,0.8458185480398611,0.7989793620857868,0.8948805786504309,-0.18228667640056617,-0.25159678391371204,-0.11746754132054096,-1.5230697063727714,-2.102180188735949,-0.9814828883832348,-69.32497525592952,-95.68412329248744,-44.67377735016999,-0.1492381403368448,-0.21119119669043096,-0.09379801767243412,-6.792814762714829,-9.61270808786668,-4.269368123460816,0.815447423729022,0.7738700432693696,0.9039617937925652,-0.2263206319630313,-0.29220662913284373,-0.10624144390495437,-1.7118237275836474,-2.2101663324647487,-0.8035795188083218,-169.9924257779193,-219.48027134704552,-79.79935638612928,0.7989793620857868,-0.25159678391371204,-1.9030052220673357,0.7542839016416371,-0.3257607617285508,-2.46396007560524,0.8948805786504309,-0.11746754132054096,-0.8884904690715997,-188.97767845753083,-244.68322498562463,-88.23142691872887,-0.19118149448368804,-0.2537937431404913,-0.08491095026327788,-18.985252679611524,-25.20295363857908,-8.43207053259959,0.6694
47149040310,47149040310,Census Tract 403.10; Rutherford County; Tennessee,2471,1704,488,Murfreesboro city,Tennessee,9046,0.5833533430344765,0.2197548342780021,47149,2471,1704,488,0.009094,0.007511132516,0.003803074181,0.8209324298196834,0.7415024358438805,0.8630992422998421,-0.2181270512356888,-0.3486132366671615,-0.15861531442823154,-4.901592735129202,-7.833783561174632,-3.564288191112944,-198.3647403937354,-317.0288774251166,-144.24476694103376,0.804893005573944,0.7196541600548224,0.8504852947636863,-0.24240115527768968,-0.3895563390112567,-0.17579928325257815,-5.44706277816151,-8.753827232358837,-3.9504338629722944,-220.43961060953097,-354.2625346968368,-198.3647403937354,-0.5454700430323083,-0.9200436711842056,-0.38614567185935034,-22.07487021579556,-37.23365727172018,-15.627101248860798,0.884539597607121,0.8483782192660397,0.9218475793450596,-0.1305316378206532,-0.17871955843601608,-0.08477802882605048,-0.8459022387253252,-1.158181090110458,-0.5493987938557026,-49.642150159936925,-67.96837383277335,-32.24171325444264,0.873753658921617,0.834542505177637,0.9143764487721976,-0.14448733895340207,-0.1982613153863799,-0.09364146609722453,-0.9363413003066546,-1.2848202423415152,-0.6068377531430218,-54.9496068255079,-75.40024896370394,-35.612544198534145,-0.09043906158132942,-0.12663915223105726,-0.05743895928731923,-5.3074566655709745,-7.431875130930591,-3.3708309440915047,0.8483782192660397,0.8133396001320576,0.9218475793450596,-0.17871955843601608,-0.22949872333479804,-0.08477802882605048,-0.6550845078675942,-0.8412121177315989,-0.31074815637137376,-134.23862866139226,-172.37953232204893,-63.677900895773305,0.834542505177637,-0.1982613153863799,-0.7267135021798218,0.7967078745040457,-0.25516520170270013,-0.9352908660088946,0.9143764487721976,-0.09364146609722453,-0.34323648889420205,-148.9167012663569,-191.65796434608495,-70.33534608487747,-0.07162899431222758,-0.09407874827729568,-0.03248833252282829,-14.678072604964669,-19.278432024036,-6.657445189104157,0.0942
47149040908,47149040908,Census Tract 409.08; Rutherford County; Tennessee,5749,2596,526,Murfreesboro city,Tennessee,103445,0.6619651086272725,0.1927582855926385,47149,5749,2596,526,0.009094,0.007511132516,0.003803074181,0.7950061998143706,0.7062978972416235,0.8426782061851327,-0.2578518258517912,-0.4158331830030939,-0.18669261013296504,-13.480855995198793,-21.740343468857052,-9.76055214756126,-234.49045042961896,-378.1586966230136,-169.7782596549184,0.7769759337145443,0.682160714125462,0.8283768210207956,-0.28704115096490646,-0.4659302115953888,-0.20718008353700185,-15.006914952303566,-24.359486560084427,-10.831666062511909,-261.03522268748594,-423.71693442484656,-234.49045042961896,-1.5260589571047731,-2.619143091227375,-1.0711139149506472,-26.54477225786699,-45.55823780183293,-18.63130831363102,0.8670646258527024,0.8259912173978209,0.9097275331409216,-0.15331656970386054,-0.21066662566990896,-0.09923022396321672,-1.51366085102558,-2.079865369477884,-0.9796782274854108,-58.30742877602388,-80.11808048836225,-37.7379902729357,0.8547844544445917,0.8103506270889701,0.9011611754686372,-0.1698855715032442,-0.2340337214179855,-0.10967940832555616,-1.6772429701190517,-2.310563578447395,-1.0828407318707645,-64.60874307084174,-89.00476034080874,-41.711892599027905,-0.16358211909347165,-0.23069820896951088,-0.1031625043853538,-6.30131429481786,-8.88667985244649,-3.9739023260922104,0.8259912173978209,0.7864637236926064,0.9097275331409216,-0.21066662566990896,-0.27151446389007944,-0.09923022396321672,-0.8323134395473633,-1.072714468220058,-0.39204429629632176,-158.23449421052533,-203.9381118289084,-74.53313617800794,0.8103506270889701,-0.2340337214179855,-0.9246334630559194,0.7677972720259524,-0.3024271333516784,-1.19484596467023,0.9011611754686372,-0.10967940832555616,-0.4333275159303159,-175.78582947831168,-227.157027503846,-82.3816570209726,-0.09232002350855616,-0.12213149645017184,-0.04128321963399412,-17.551335267786346,-23.218915674937616,-7.8485208429646605,0.2038
47149042102,47149042102,Census Tract 421.02; Rutherford County; Tennessee,3142,1709,562,Murfreesboro city,Tennessee,92028,0.7062563684993598,0.19605368466261627,47149,3142,1709,562,0.009094,0.007511132516,0.003803074181,0.7807611970435836,0.6872043518702997,0.8313861714330861,-0.2808013561465172,-0.4551712271297376,-0.2028104800880546,-8.023434868046374,-13.005765872365032,-5.794974425603055,-255.3607532796427,-413.9327139517833,-184.4358505920769,0.761675600034471,0.6619032159972981,0.8161746021471178,-0.312894885899907,-0.5107948954338999,-0.22522803009220221,-8.940454462238336,-14.595120303856431,-6.435518883178966,-284.54660923737543,-464.5168779075886,-255.3607532796427,-0.9170195941919612,-1.589354431491401,-0.6405444575759107,-29.185855957732695,-50.58416395580525,-20.386519973771826,0.8573714094815635,0.8136391754914852,0.9029692014199514,-0.16635566446597666,-0.22904603185551145,-0.10745748407306052,-1.0812209514607565,-1.48867409646743,-0.698414950546009,-63.2662932393655,-87.1079050010199,-40.866878323347514,0.8442788245745986,0.7970306748289469,0.8937997551624575,-0.18444282965863049,-0.25465685522657333,-0.11881883411149462,-1.1987776455571495,-1.6551304591157627,-0.7722575199461439,-70.14497633453186,-96.8478911126836,-45.18768402259473,-0.11755669409639302,-0.16645636264833263,-0.0738425694001349,-6.878683095166356,-9.7399861116637,-4.320805699247215,0.8136391754914852,0.7717144198538143,0.9029692014199514,-0.22904603185551145,-0.2958161390704994,-0.10745748407306052,-0.9668620448122554,-1.2487157921626637,-0.4536056003222989,-172.03950975307035,-222.19142209300065,-80.71274027087168,0.7970306748289469,-0.25465685522657333,-1.074971898771616,0.7519730511950834,-0.32983489024072926,-1.392317665777119,0.8937997551624575,-0.11881883411149462,-0.5015647727253281,-191.27613857146196,-247.74335689984323,-89.2464008408057,-0.1081098539593608,-0.14360187361445553,-0.04795917240302921,-19.2366288183916,-25.55193480684262,-8.533660569934023,0.8236
47149041602,47149041602,Census Tract 416.02; Rutherford County; Tennessee,1842,973,342,Murfreesboro city,Tennessee,75657,0.6274474135004348,0.24932120384818277,47149,1842,973,342,0.009094,0.007511132516,0.003803074181,0.80628777904769,0.721545228114156,0.8515847087327337,-0.24025196212338024,-0.3859145082472773,-0.17428130137297448,-4.024496174819137,-6.464511042997362,-2.919411872931299,-218.48513435500203,-350.95065380007395,-158.491415468583,0.7891127944094638,0.6983769785329924,0.8380127764499898,-0.26724595911330346,-0.43189141500711486,-0.19329922896429383,-4.476676613508895,-7.234677012713602,-3.2379839926667726,-243.03347521763817,-392.76205280747024,-218.48513435500203,-0.45218043868975766,-0.7701659697162402,-0.3185721197354736,-24.548340862636135,-41.81139900739632,-17.2949033515458,0.8746948015397862,0.8357474580576625,0.9150295849022996,-0.14325590850617878,-0.1965337020875568,-0.09286083914628056,-0.5301029000488271,-0.7272515774066837,-0.3436214299690669,-54.48128469155469,-74.74322481055331,-35.31566597832137,0.8630624066655291,0.8208854742301542,0.9069401941777362,-0.1586647643054387,-0.2181967294985011,-0.10260853628461696,-0.5871216941132238,-0.8074132529293622,-0.3796917224666843,-60.34138685644643,-82.98183483343907,-39.02278750942285,-0.05701879406439669,-0.0801616755226785,-0.03607029249761739,-5.860102164891747,-8.238610022885766,-3.70712153110148,0.8357474580576625,0.7981535388584048,0.9150295849022996,-0.1965337020875568,-0.25289176995981905,-0.09286083914628056,-0.5048572126419791,-0.6496302299599042,-0.2385416033841384,-147.6190680239705,-189.9503596373989,-69.74900683746736,0.8208854742301542,-0.2181967294985011,-0.5605053560387985,0.780360157876444,-0.28145957979358044,-0.7230154289907225,0.9069401941777362,-0.10260853628461696,-0.2635815591508409,-163.8904549821048,-211.40802017272583,-77.07063133065523,-0.05564814339681934,-0.0733851990308183,-0.02503995576670253,-16.271386958134308,-21.457660535326987,-7.321624493187876,0.7177
47149041500,47149041500,Census Tract 415; Rutherford County; Tennessee,850,0,0,Murfreesboro city,Tennessee,60860,0.6804069840855165,0.21693461086861004,47149,850,0,0,0.009094,0.007511132516,0.003803074181,0.7890435941625786,0.6982841519256384,0.8379579426413286,-0.2673570983886029,-0.4320817639099045,-0.19337731539115,-2.0666436348340613,-3.3399488268471704,-1.4947873102420504,-243.13454527459547,-392.9351560996671,-175.8573306167118,0.7705682279135958,0.6736516906671192,0.8232740832413709,-0.2977436179890491,-0.48444665671320025,-0.2146623103484917,-2.3015283926935504,-3.7447242117273665,-1.659318192762806,-270.7680461992412,-440.5557896149843,-243.13454527459547,-0.23488475785948904,-0.404775384880196,-0.16453088252075565,-27.633500924645773,-47.62063351531718,-19.35657441420655,0.8630153456716931,0.8208254850319247,0.9069073927683934,-0.15872794732484205,-0.21828576017118503,-0.10264841589551434,-0,-0,-0,NA,NA,NA,0.8503943576523465,0.804777665501368,0.8980887089306455,-0.1759250176126103,-0.24257921518859568,-0.11347575139954748,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8208254850319247,0.7802885026492862,0.9069073927683934,-0.21828576017118503,-0.28157725841754055,-0.10264841589551434,-0,-0,-0,NA,NA,NA,0.804777665501368,-0.24257921518859568,-0,0.7611683620011516,-0.3137697911812145,-0,0.8980887089306455,-0.11347575139954748,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.2206
47149041800,47149041800,Census Tract 418; Rutherford County; Tennessee,3211,1564,455,Murfreesboro city,Tennessee,307037,0.620300149360151,0.25978526611071306,47149,3211,1564,455,0.009094,0.007511132516,0.003803074181,0.8086436844323145,0.7247432549411086,0.8534406280907908,-0.23663860764833872,-0.3797989745779122,-0.1717276715980504,-6.91004469993027,-11.090446810019834,-5.014591231541185,-215.19914979539925,-345.3891874811534,-156.16914455126704,0.7916494582962135,0.701782606856533,0.8400219704068731,-0.26318535245662666,-0.4249426962564095,-0.19044505409262089,-7.685231788317448,-12.408681132895836,-5.5611544106796424,-239.34075952405632,-386.4428879755788,-215.19914979539925,-0.7751870883871774,-1.3182343228760018,-0.5465631791384578,-24.14160972865704,-41.05370049442547,-17.021587640562373,0.8762830839713471,0.8377819498649113,0.9161312881016505,-0.14118373193735895,-0.19362800805298525,-0.09154660798905472,-0.8397619697276169,-1.1517009446184177,-0.5445199584388368,-53.69322057081949,-73.63816781447683,-34.81585412013023,0.8647864392841978,0.8230838855728196,0.9081414263184592,-0.15635485777011177,-0.2149429936950555,-0.10115007532904756,-0.929999947839363,-1.2784826501441118,-0.6016414591881255,-59.46291226594393,-81.74441497085114,-38.468123989010586,-0.09023797811174616,-0.12678170552569412,-0.05712150074928868,-5.769691695124435,-8.106247156374303,-3.6522698688803503,0.8377819498649113,0.8005956711663215,0.9161312881016505,-0.19362800805298525,-0.24906995630288992,-0.09154660798905472,-0.6617363604192648,-0.8512128386331278,-0.3128665103182229,-145.43656272950875,-187.0797447545336,-68.76187039960942,0.8230838855728196,-0.2149429936950555,-0.7345817156083381,0.7829870176729679,-0.2771603837979246,-0.9472137087556922,0.9081414263184592,-0.10115007532904756,-0.3456869870089356,-161.44653090293144,-208.17883708916315,-75.97516197998584,-0.07284535518907331,-0.09600087012256442,-0.0328204766907127,-16.009968173422706,-21.099092334629542,-7.213291580376417,0.8208
47149041700,47149041700,Census Tract 417; Rutherford County; Tennessee,3573,2035,803,Murfreesboro city,Tennessee,129403,0.6584523691320205,0.2387592968112228,47149,3573,2035,803,0.009094,0.007511132516,0.003803074181,0.7961470328773993,0.7078347206337061,0.8435803144527764,-0.2560493962853122,-0.4127591807091998,-0.18542358429581396,-8.31977769868196,-13.41172709801709,-6.024942936069249,-232.85132098186287,-375.3631989369463,-168.6242075586132,0.7782024772899048,0.6837936256501506,0.8293523513193718,-0.2850126145608101,-0.4624295437811381,-0.2057601312749088,-9.260875553183592,-15.025659350803476,-6.685735550617494,-259.1904716816007,-420.5334271145669,-232.85132098186287,-0.9410978545016312,-1.6139322527863855,-0.660792614548245,-26.339150699737793,-45.17022817762065,-18.49405582278883,0.8678380689967241,0.8269788464546537,0.9102656963865222,-0.15228869961427652,-0.20922077304287337,-0.09858034194817586,-1.1786012258768788,-1.6192131143795123,-0.7629384987971218,-57.91652215611198,-79.56821200882123,-37.49083532172589,0.8556232296626516,0.8114165113289518,0.9017475980645824,-0.16873872205909154,-0.2324126832989669,-0.108957763953346,-1.3059121600976578,-1.798701244014155,-0.8432520238827916,-64.17258771978662,-88.38826751912309,-41.43744589104627,-0.127310934220779,-0.17948812963464267,-0.0803135250856698,-6.2560655636746425,-8.82005551030185,-3.946610569320383,0.8269788464546537,0.7876454858352597,0.9102656963865222,-0.20922077304287337,-0.2696067177221852,-0.09858034194817586,-1.261902415994261,-1.6261165825641564,-0.59458135951181,-157.1484951424982,-202.5051784015139,-74.04500118453424,0.8114165113289518,-0.2324126832989669,-1.4017830175141173,0.7690664520888217,-0.3002777553018358,-1.8111070873783257,0.9017475980645824,-0.108957763953346,-0.6571721515716058,-174.56824626576804,-225.542601167911,-81.83962037006299,-0.1398806015198566,-0.18499050481416912,-0.06259079205979579,-17.419751123269812,-23.03742276639715,-7.794619185528741,0.6806
47149040904,47149040904,Census Tract 409.04; Rutherford County; Tennessee,3834,2500,880,Murfreesboro city,Tennessee,128709,0.6626795454182802,0.2147008452116236,47149,3834,2500,880,0.009094,0.007511132516,0.003803074181,0.7947743721724105,0.7059857397363186,0.8424948494279276,-0.2582187285010617,-0.4164592054982498,-0.1869508765294195,-9.003156442534504,-14.520431576747354,-6.518303293621846,-234.82411169886552,-378.72800148010833,-170.0131271158541,0.7767267104262995,0.6818290827140356,0.8281785537375507,-0.28745411555521116,-0.4666432180033712,-0.20746908439855524,-10.022489024777752,-16.270167229619872,-7.233699254397449,-261.4107726859091,-424.36534245226585,-234.82411169886552,-1.0193325822432495,-1.749735652872518,-0.7153959607756031,-26.586660987043548,-45.63734097215749,-18.65925823619205,0.8669074038749262,0.8257904933342778,0.909618118016636,-0.1535257347326519,-0.2109609011873217,-0.099362446935903,-1.4596743947020083,-2.0057498912649887,-0.944706891257288,-58.38697578808035,-80.22999565059955,-37.78827565029152,0.8546139612103009,0.810134014151792,0.9010419528750576,-0.17011896059339354,-0.2343636762949611,-0.10982623706830244,-1.6174375668282286,-2.228256115704021,-1.044193316477115,-64.69750267312915,-89.13024462816084,-41.767732659084615,-0.15776317212622004,-0.2225062244390323,-0.0994864252198272,-6.310526885048802,-8.900248977561294,-3.979457008793088,0.8257904933342778,0.7862235886491227,0.909618118016636,-0.2109609011873217,-0.2719028205681092,-0.099362446935903,-1.3944086503712243,-1.79722234274989,-0.6567655653236352,-158.45552845127548,-204.22981167612383,-74.63245060495854,0.810134014151792,-0.2343636762949611,-1.549096234037775,0.7675393968922983,-0.30286471814856003,-2.0018741885426454,0.9010419528750576,-0.10982623706830244,-0.7259290899112127,-176.03366295883808,-227.4857032434824,-82.49194203536508,-0.1546875836665507,-0.20465184579275553,-0.06916352458757757,-17.578134507562574,-23.25589156735858,-7.859491430406543,0.2234
47149040808,47149040808,Census Tract 408.08; Rutherford County; Tennessee,7943,5727,1806,Murfreesboro city,Tennessee,162546,0.7340323839391821,0.18299864370770036,47149,7943,5727,1806,0.009094,0.007511132516,0.003803074181,0.7719583624761303,0.6754946124470101,0.8243820205444699,-0.29540665482579187,-0.4803967072031178,-0.21302985154812307,-21.338298549103826,-34.70080376608883,-15.387922032040269,-268.64281189857513,-436.8727655305153,-193.72934699786313,0.7522345278366261,0.6495073626952201,0.8086141979251261,-0.3293726397748984,-0.5396284283065899,-0.23668370227231073,-23.791785346094972,-38.97932670332088,-17.09652581717268,-299.53147861129264,-490.73809270201286,-268.64281189857513,-2.4534867969911502,-4.278522937232047,-1.7086037851324107,-30.88866671271749,-53.86532717149751,-21.51081184857624,0.8513479465422336,0.8059873584877252,0.8987565437557146,-0.17460787221196655,-0.24071424876477085,-0.1126483661762398,-3.8029953971158954,-5.242805885414689,-2.4535046022484313,-66.40466906086775,-91.54541444761112,-42.84100929366913,0.8377564922797506,0.7887893771056036,0.8892139596325421,-0.19366427979417167,-0.26776555190108675,-0.1245887327423863,-4.218047876724107,-5.831988835817458,-2.7135682437995228,-73.65196222671743,-101.83322569962384,-47.38201927360787,-0.4150524796082116,-0.589182950402769,-0.2600636415510915,-7.247293165849687,-10.287811252012729,-4.541009979938738,0.8059873584877252,0.7626062664777685,0.8987565437557146,-0.24071424876477085,-0.3112926603903693,-0.1126483661762398,-3.2653141374566195,-4.222717724751148,-1.528086951745497,-180.80366209615832,-233.8160423450248,-84.61168060606295,0.7887893771056036,-0.26776555190108675,-3.632267913649383,0.7422161612715813,-0.34731639134181297,-4.711383429267174,0.8892139596325421,-0.1245887327423863,-1.6900592818212004,-201.12225435489384,-260.8739440347273,-93.58024816285716,-0.3669537761927635,-0.4886657045160261,-0.16197233007570344,-20.318592258735517,-27.057901689702444,-8.968567556794211,0.1494
47149040907,47149040907,Census Tract 409.07; Rutherford County; Tennessee,8008,4857,1916,Murfreesboro city,Tennessee,167410,0.6787706593804689,0.1910898179386057,47149,8008,4857,1916,0.009094,0.007511132516,0.003803074181,0.7895708358775271,0.6989915104552766,0.8383756946450515,-0.26651081139363825,-0.4306325399412454,-0.19278267057035384,-19.40858374506048,-31.360707924351292,-14.03935017418372,-242.36493188137464,-391.6172318225686,-175.3165606166798,0.7711346328838647,0.674402375235344,0.8237255692256161,-0.2967904142240789,-0.48279430310581767,-0.21399655098736264,-21.61368831184582,-35.159375390694,-15.58424575451004,-269.9012026953774,-439.05313924443055,-242.36493188137464,-2.205104566785341,-3.7986674663427102,-1.5448955803263225,-27.53627081400276,-47.43590742186202,-19.291902851227803,0.8633738674587205,0.8212825249929909,0.9071572664856952,-0.15824677777592322,-0.21760778972928263,-0.10234469473410648,-2.923060308355885,-4.0195490984808995,-1.8904632318749333,-60.18242347860583,-82.75785667039118,-38.9224466105607,0.8507829722491449,0.8052705941174817,0.8983609010451956,-0.17538788694416663,-0.24181859775461892,-0.11313838217642,-3.239682842824392,-4.46675979664939,-2.0898391672769265,-66.70131444975071,-91.96540656062156,-43.02736601352535,-0.3166225344685074,-0.44721069816849024,-0.19937593540199328,-6.518890971144892,-9.207549890230394,-4.104919402964655,0.8212825249929909,0.7808344564980897,0.9071572664856952,-0.21760778972928263,-0.2806811887949088,-0.10234469473410648,-3.131665490946689,-4.039375584855843,-1.4728762655004572,-163.44809451705058,-210.8233603786974,-76.8724564457441,0.8052705941174817,-0.24181859775461892,-3.480091216400753,0.7617542159045434,-0.31275939026153227,-4.501023564781728,0.8983609010451956,-0.11313838217642,-1.6282117823273592,-181.63315325682427,-234.9177225877729,-84.97973811729433,-0.34842572545406414,-0.46164797992588547,-0.15533551682690194,-18.185058739773705,-24.09436220907544,-8.107281671550206,0.3909
