geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
20209040900,20209040900,Census Tract 409; Wyandotte County; Kansas,710,547,190,Kansas City city,Kansas,71460,0.6350417296342987,0.2681611994232264,20209,710,547,190,0.013718,0.007719528038,0.00363067118,0.8037920355185496,0.7181626308132314,0.8496171263545127,-0.24410289703215451,-0.3924422645990675,-0.17700075596491482,-2.3775085144558377,-3.822301319896706,-1.7239484229319582,-334.8603541487095,-538.3522985770009,-242.8096370326702,0.7864263716124452,0.6947764406461957,0.8358831757275084,-0.2715748556977498,-0.43931190163834977,-0.19633942761158343,-2.6450793480278296,-4.278801273339166,-1.9123028302627485,-372.5463870461732,-602.6480666674881,-334.8603541487095,-0.26757083357199196,-0.4564999534424601,-0.18835440733079012,-37.686032897463654,-64.29576809048734,-26.52878976490002,0.8730103285327973,0.8335911250048406,0.9138604233361416,-0.14546182022912,-0.19962889479442708,-0.09425900768237357,-0.2888838490574252,-0.396458420638882,-0.1871962340683424,-52.812403849620694,-72.47868750253784,-34.222346264779226,0.8612343041274216,0.818555989018368,0.9056655675937438,-0.1611242088332418,-0.2216635311644644,-0.10416033885100943,-0.3199889947119004,-0.44021870465795143,-0.20686005137987068,-58.498902141115245,-80.47873942558527,-37.817194036539426,-0.03110514565447519,-0.04376028401906945,-0.0196638173115283,-5.686498291494551,-8.000051923047431,-3.5948477717602016,0.8335911250048406,0.7955668168294483,0.9138604233361416,-0.19962889479442708,-0.2569654475852499,-0.09425900768237357,-0.29279776160650106,-0.3768938757119957,-0.1382506600012466,-154.1040850560532,-198.3651977431556,-72.76350526381401,0.818555989018368,-0.2216635311644644,-0.3251161903269722,0.777578647771557,-0.28604354410434835,-0.41954302017245726,0.9056655675937438,-0.10416033885100943,-0.15277304467951014,-171.11378438261696,-220.81211588024064,-80.40686562079482,-0.03231842872047114,-0.04264914446046158,-0.01452238467826352,-17.00969932656376,-22.44691813708505,-7.643360356980804,0.4749
20209042800,20209042800,Census Tract 428; Wyandotte County; Kansas,2364,1639,884,Kansas City city,Kansas,84474,0.6646199559735414,0.2501619585794385,20209,2364,1639,884,0.013718,0.007719528038,0.00363067118,0.7941450693072591,0.7051386158769585,0.8419970537206519,-0.25921577637233234,-0.4181608799800757,-0.18765261182465903,-8.40619965593165,-13.560686369503628,-6.08545260258123,-355.5922020275655,-573.6330951566679,-257.42185290106727,0.7760502232295564,0.6809291850470507,0.8276402991686413,-0.2885763963039271,-0.4685814941694741,-0.20825436002148845,-9.358345534631551,-15.195794215107824,-6.753553946671577,-395.8691004497272,-642.8000937016845,-355.5922020275655,-0.952145878699902,-1.635107845604196,-0.6681013440903465,-40.27689842216167,-69.16699854501675,-28.261478176410595,0.8664805327810506,0.8252455728281464,0.909321012906925,-0.15409401846618076,-0.2117605145980534,-0.09972164483826414,-0.9169626627312468,-1.2601169549601066,-0.5934106066738929,-55.946471185555026,-76.88327974131218,-36.20565019364813,0.8541510731175986,0.8095459854937933,0.9007182238621566,-0.1707530804241243,-0.23526027911809944,-0.11022512202777104,-1.0160952440190356,-1.3999563002010638,-0.6559133339536085,-61.99482879920901,-85.41527151928393,-40.01911738582114,-0.0991325812877888,-0.1398393452409572,-0.06250272727971562,-6.048357613653983,-8.531991777971763,-3.8134671921730097,0.8252455728281464,0.78557175173410565,0.909321012906925,-0.2117605145980534,-0.27295819610691957,-0.09972164483826414,-1.4450670471263876,-1.8626838680755529,-0.6805067654588208,-163.46912297809814,-210.7108448049268,-76.98040333244579,0.8095459854937933,-0.23526027911809944,-1.605430915657809,0.7668394449289091,-0.30405394064295477,-2.0748831811541866,0.9007182238621566,-0.11022512202777104,-0.7521831532670493,-181.60983208798743,-234.7152919857677,-85.088591998535,-0.16036386853142148,-0.2121993130786337,-0.07167638780822849,-18.140709109889308,-24.004447180840916,-8.108188666089196,0.8798
20209044201,20209044201,Census Tract 442.01; Wyandotte County; Kansas,2100,1533,717,Kansas City city,Kansas,126605,0.7933662787309911,0.1637251508199864,20209,2100,1533,717,0.013718,0.007719528038,0.00363067118,0.7534851687091325,0.6511448327275687,0.8096170883923701,-0.3271661361473055,-0.5357566392888633,-0.2351517950117221,-9.424936616904349,-15.433970113305714,-6.774205880338686,-448.8065055668736,-734.9509577764626,-322.58123239708027,0.7324570762824203,0.6237999826443655,0.7926977632610533,-0.365267716540458,-0.6030779541879369,-0.2615148501064678,-10.522559324554203,-17.373349088655246,-7.533667498897103,-501.0742535502002,-827.3023375550118,-448.8065055668736,-1.0976227076498564,-1.9393789753495323,-0.7594616185584169,-52.267747983326494,-92.35137977854916,-36.164838978972234,0.8386222648648227,0.789882072281052,0.8898233670493775,-0.1924319707409506,-0.266011769468525,-0.12381854312948008,-1.0710415033588914,-1.4805733391686222,-0.6891515898656485,-69.86572102797726,-96.58012649501777,-44.95444160897903,0.8239920608482054,0.7714690055297151,0.8794966445980931,-0.21360392595362457,-0.2962283550372426,-0.13701400243200906,-1.1888807722325423,-1.64875338279276,-0.7625951268957671,-77.55256178946787,-107.55077513325244,-49.74527898863452,-0.11783926887365116,-0.16818004362413785,-0.07344353703011863,-7.686840761490616,-10.970648638234694,-4.790837379655488,0.789882072281052,0.7435083081414557,0.8898233670493775,-0.266011769468525,-0.34497488333344295,-0.12381854312948008,-1.4723489693136442,-1.909402034841875,-0.6853234528789431,-205.34853128502704,-266.3043284298291,-95.58207153123335,0.7714690055297151,-0.2962283550372426,-1.639594797222559,0.7217958959418582,-0.3854332029626164,-2.1333348530220264,0.8794966445980931,-0.13701400243200906,-0.7583590217280782,-228.67430923606125,-297.5362417046062,-105.7683433372494,-0.16724582790891485,-0.22393281818015143,-0.07303556884913509,-23.325777951034148,-31.23191327477705,-10.186271806016052,0.7363
20209045100,20209045100,Census Tract 451; Wyandotte County; Kansas,1673,538,148,Kansas City city,Kansas,70144,0.6397224617012,0.2578638454442783,20209,1673,538,148,0.013718,0.007719528038,0.00363067118,0.8022576416697477,0.7160856816050817,0.848406678495736,-0.24648236184910496,-0.39648093194453216,-0.17868001908359077,-5.656822951662394,-9.099322235046449,-4.100744675492492,-338.12450398460214,-543.8925424415092,-245.11325017886983,0.7847751611722742,0.6925665133678878,0.8345732998441624,-0.2742503196791158,-0.4439046368804221,-0.19821710110631055,-6.294103526204118,-10.18770641199798,-4.549124888849464,-376.216588535811,-608.948380872563,-338.12450398460214,-0.637280574541724,-1.0883841769515303,-0.4483802133569723,-38.09208455120885,-65.05583843105381,-26.800969118767025,0.8719737253184836,0.8322648483686171,0.9131405586473856,-0.14682354635715142,-0.20154059367059984,-0.09512165518228366,-0.2867905938477154,-0.39366946227148625,-0.18580123321054764,-53.306801830430366,-73.17276250399372,-34.535545206421496,0.8601094883984294,0.8171235123877154,0.9048808481142352,-0.16264267920361436,-0.2238051957138052,-0.10511787500419796,-0.31769012335613084,-0.4371589338186562,-0.20532686033295416,-59.0502088022548,-81.25630740123722,-38.16484392805839,-0.03089952950841545,-0.04348947154716998,-0.01952562712240649,-5.7434069718244345,-8.08354489724349,-3.6292987216368946,0.8322648483686171,0.7939766766758459,0.9131405586473856,-0.20154059367059984,-0.25948284046165565,-0.09512165518228366,-0.23025814301803335,-0.29645658922389745,-0.1086755540616898,-155.57982636353606,-200.30850623236316,-73.42942842006066,0.8171235123877154,-0.2238051957138052,-0.2556952315376939,0.7758692138214163,-0.2888770197165891,-0.33003914947894103,0.9048808481142352,-0.10511787500419796,-0.12009613674170302,-172.7670483362797,-222.9994253236088,-81.14603833898853,-0.02543708851966053,-0.03358256025504358,-0.01142058268001323,-17.187221972743604,-22.69091909124566,-7.716609918927864,0.6462
20091050000,20091050000,Census Tract 500; Johnson County; Kansas,3148,2161,817,Kansas City city,Kansas,107046,0.7502113804265699,0.1651659165060986,20091,3148,2161,817,0.010054,0.007719528038,0.00363067118,0.7668766943578522,0.6687660930685525,0.8203294644912086,-0.30399059895457464,-0.4952911195177685,-0.21902240902711953,-9.621300024987496,-15.675959970408416,-6.9320574935290615,-305.63214818892936,-497.9656915631644,-220.205130035866,0.7467893117389529,0.6423942878198251,0.8042427264476467,-0.33906576363744106,-0.556676357434352,-0.24340571212501524,-10.7314287065989,-17.61880225938638,-7.703788841511035,-340.89671876108326,-559.6824097644975,-305.63214818892936,-1.110128681611405,-1.9428422889779655,-0.7717313479819738,-35.26457057215391,-61.71671820133309,-24.51497293462433,0.847858917522282,0.8015635308980279,0.8963118152611801,-0.17944150770074271,-0.24756174832412192,-0.11568316178963432,-1.4078766118009478,-1.9423398739122448,-0.9076362540066704,-65.14931105048348,-89.88153049108028,-42.00075215209026,0.8339806063543381,0.7840283100072903,0.8865536731533732,-0.1990686502548289,-0.27546414744985603,-0.12796329233300766,-1.5618688252662087,-2.16125876088331,-1.0039846897917215,-72.2752811321707,-100.0119741269463,-46.45926375713659,-0.15399221346526093,-0.21891888697106457,-0.09634843578505135,-7.125970081687225,-10.130443635866014,-4.458511605046338,0.8015635308980279,0.7573505678280245,0.8963118152611801,-0.24756174832412192,-0.3203924872834785,-0.11568316178963432,-1.561335903434001,-2.020668770408236,-0.7295968587539706,-191.10598573243587,-247.32787887493703,-89.30194109595723,0.7840283100072903,-0.27546414744985603,-1.7373122723272938,0.7365914117308059,-0.35760475084857385,-2.255361098869914,0.8865536731533732,-0.12796329233300766,-0.807045854190545,-212.645320970293,-276.053990069757,-98.7816222999443,-0.1759763688932927,-0.23469232846167865,-0.07744899543657435,-21.539335237857127,-28.726111194819907,-9.47968120398707,0.0682
20209044002,20209044002,Census Tract 440.02; Wyandotte County; Kansas,2169,1304,577,Kansas City city,Kansas,369385,0.7026818163880433,0.25489244625213553,20209,2169,1304,577,0.013718,0.007719528038,0.00363067118,0.7819013181212249,0.688725970957501,0.832291861230982,-0.2789337692930726,-0.4519562818427631,-0.2015015964723879,-8.29949076689518,-13.447661778997965,-5.995547414985424,-382.641344716237,-619.9936274319024,-276.41989004082177,0.7628991654026582,0.6635155509513512,0.8171526859962405,-0.31078921743504584,-0.5071236816773866,-0.2237615039848266,-9.247328665474717,-15.089131460928094,-6.657876315998894,-426.34064847739586,-695.6722665250389,-382.641344716237,-0.947837898579536,-1.6414696819301309,-0.6623289010134696,-43.69930376115887,-75.67863909313651,-30.536141125563375,0.8581496700364849,0.8146291648726112,0.90351276904419,-0.1652978902357257,-0.2275524166341092,-0.1067912200708378,-0.782585541196523,-1.0773230733207078,-0.5055918417046498,-60.01422861936527,-82.61680010128127,-38.772380498822834,0.8451218764707367,0.798097498927222,0.8943916255742672,-0.18326128791747845,-0.2529797441342305,-0.11807844729977676,-0.8676313652929792,-1.1977060910621098,-0.5590300363299445,-66.53614764516712,-91.84862661519246,-42.87040155904483,-0.08504582409645622,-0.12038301774140205,-0.05343819462529475,-6.521919025801858,-9.2318265139112,-4.09802106022199,0.8146291648726112,0.7728944399983307,0.90351276904419,-0.2275524166341092,-0.2938377458144993,-0.1067912200708378,-1.0135566192055998,-1.3088025899615785,-0.475666000725808,-175.65972603216633,-226.82887174377444,-82.43778175490606,0.798097498927222,-0.2529797441342305,-1.126814199492679,0.7532379650668038,-0.3276016961138053,-1.4591928860638472,0.8943916255742672,-0.11807844729977676,-0.5259412034223542,-195.28842278902584,-252.89304784468752,-91.1509884614132,-0.11325758028707922,-0.15039029610226873,-0.05027520269654617,-19.628696756859483,-26.064176100913123,-8.713206706507135,0.8833
20209044303,20209044303,Census Tract 443.03; Wyandotte County; Kansas,1345,914,334,Kansas City city,Kansas,79544,0.7922739896715927,0.16178802582968255,20209,1345,914,334,0.013718,0.007719528038,0.00363067118,0.7538212182762611,0.651585063094565,0.8098864949089815,-0.32657449240639314,-0.5347190361465811,-0.23474092516184544,-6.025531252787561,-9.865945867420084,-4.331136735292913,-447.9948886830901,-733.5275737858799,-322.0176011370195,0.7328164225840834,0.624263915488624,0.7929879222125958,-0.3645982393158771,-0.6018865982623386,-0.2610532543923227,-6.727096380127847,-11.105235077424911,-4.8166178913489714,-500.15586469352024,-825.6680354962759,-447.9948886830901,-0.7015651273402863,-1.2392892100048272,-0.4854811560560588,-52.16097601043021,-92.14046171039608,-36.09525323836869,0.8388548069333419,0.7901756299999528,0.8899870146524331,-0.1921014122286161,-0.265541434124031,-0.12361189942813972,-0.6374757537683827,-0.8811815796205689,-0.4101978629335481,-69.7457061015736,-96.40936319699878,-44.87941607588054,0.8242433981081041,0.7717843973926765,0.8796745694887854,-0.21323386064760988,-0.29569864767713055,-0.1367840275081961,-0.7076023776624197,-0.9812562860909072,-0.453908693474318,-77.41820324534133,-107.3584558086332,-49.66178265583348,-0.07012662389403701,-0.10007470647033843,-0.04371083054076991,-7.672497143767726,-10.949092611634404,-4.782366579952944,0.7901756299999528,0.7438555276715292,0.8899870146524331,-0.265541434124031,-0.344347071171566,-0.12361189942813972,-0.6846514183543764,-0.8878377548178363,-0.3187113248376308,-204.9854545971187,-265.8196870712085,-95.42255234659604,0.7717843973926765,-0.29569864767713055,-0.7624064365151257,0.7221666923785558,-0.384721852383363,-0.9919369561857588,0.8796745694887854,-0.1367840275081961,-0.3526733172570277,-228.26540015422927,-296.9871126304667,-105.5908135500083,-0.07775501816074937,-0.1040992013679224,-0.0339619924193969,-23.279945557110587,-31.1674255592582,-10.168261203412246,0.9817
20209044703,20209044703,Census Tract 447.03; Wyandotte County; Kansas,2961,1877,694,Kansas City city,Kansas,272416,0.6982548778780554,0.23284140715726195,20209,2961,1877,694,0.013718,0.007719528038,0.00363067118,0.7833156200541529,0.6906151057115215,0.8334148892019619,-0.27662461260617666,-0.44798454555917633,-0.19988257104159965,-11.236214586201063,-18.19668336009909,-8.119029753373594,-379.4736435731531,-614.54519959807806,-274.1989109548664,0.7644172265634686,0.6655178077549662,0.818365628208596,-0.3081861125705169,-0.5025893948253076,-0.2219477034843239,-12.5182110901296,-20.41467762323038,-9.015293323934346,-422.7697092242351,-689.4521318213569,-379.4736435731531,-1.2819965039285377,-2.2179942631312883,-0.8962635705607518,-43.29606565108198,-74.9069322232789,-30.26894868492914,0.8591144936156888,0.815856896592446,0.904186409189089,-0.1639892091581149,-0.22570515022506585,-0.10596663457576244,-1.1175487108935926,-1.5381286425551688,-0.7221382216295396,-59.539089552136,-81.9461184099717,-38.47300061958122,0.8461671291822432,0.7994206970236439,0.8951251764862221,-0.18179962978049577,-0.25090581682853735,-0.11716218722107644,-1.238922627562849,-1.7098653843868503,-0.798433335745546,-66.00546763787158,-91.09565180537297,-42.53773765293266,-0.12137391666925668,-0.17173674183168153,-0.07629511411600642,-6.466378085735572,-9.149533395401251,-4.0647370333514345,0.815856896592446,0.7743583486776371,0.904186409189089,-0.22570515022506585,-0.2913917719201822,-0.10596663457576244,-1.209182041425478,-1.561088425645961,-0.5677006102498683,-174.23372354833975,-224.94069533803471,-81.80124067000985,0.7994206970236439,-0.25090581682853735,-1.3441908946061991,0.7548074595476503,-0.32484117287247205,-1.7402886560687818,0.8951251764862221,-0.11716218722107644,-0.6276791317370743,-193.6874487905186,-250.7620541885853,-90.44367892465048,-0.1350088531807212,-0.17920023042282085,-0.05997852148720606,-19.453725242178848,-25.821358850550553,-8.642438254640643,0.5459
20209044001,20209044001,Census Tract 440.01; Wyandotte County; Kansas,1832,1241,555,Kansas City city,Kansas,267734,0.7757362888322499,0.1934520260749411,20209,1832,1241,555,0.013718,0.007719528038,0.00363067118,0.7589274967912575,0.6582868128846154,0.8139763900401842,-0.31764892460478256,-0.5190946870377002,-0.2285368620466157,-7.982954560238442,-13.04556375954677,-5.743445809953628,-435.7507947728407,-712.0940916783171,-313.5068673555474,0.7382786627286022,0.6313303543568988,0.7973940465887787,-0.3545021012853095,-0.5839567875975876,-0.25408510921038585,-8.909125600191196,-14.67563759686711,-6.38550841556727,-486.3059825431875,-801.0719212263706,-435.7507947728407,-0.926171039952754,-1.6300738373203405,-0.642062605613642,-50.55518777034684,-88.97782954805352,-35.04708545925993,0.8423834775600664,0.7946335672109933,0.8924683865163626,-0.1871078037955638,-0.2584416783572361,-0.12048786837522998,-0.8430446962949173,-1.1644510908731565,-0.54287772258073,-67.93269107936482,-93.83167533224469,-43.745183124958096,0.8280581272433954,0.7765753434340719,0.8823728269936818,-0.2076446895449222,-0.28770506101562315,-0.13330779168153198,-0.9355769812033984,-1.2963020294516296,-0.6006399758435291,-75.38895900107964,-104.45624733695648,-48.39967573275819,-0.09253228490848107,-0.1318509385784732,-0.05776225326279916,-7.456267921714834,-10.62457200471178,-4.654492607800093,0.7946335672109933,0.7491324290659565,0.8924683865163626,-0.2584416783572361,-0.33487746785549477,-0.12048786837522998,-1.1072515191578862,-1.434728281334739,-0.5162107603795999,-199.50477822664615,-258.50960024049357,-93.01094781614412,0.7765753434340719,-0.28770506101562315,-1.232625743277455,0.7278040321803954,-0.373996234953721,-1.602326304116585,0.8823728269936818,-0.13330779168153198,-0.5711356457410444,-222.09472851846033,-288.70744218316844,-102.90732355694492,-0.12537422411956878,-0.16759802278184588,-0.05492488536144446,-22.58995029181419,-30.197841942674938,-9.896375740800805,0.6392
20209041100,20209041100,Census Tract 411; Wyandotte County; Kansas,619,422,128,Kansas City city,Kansas,61654,0.569476625647257,0.2530848859864425,20209,619,422,128,0.013718,0.007719528038,0.00363067118,0.8255960056406484,0.7478965913063464,0.8667550574307094,-0.21124617024281395,-0.3370832433576226,-0.1537284858357375,-1.7937846023389803,-2.8623228101431373,-1.3053765212219863,-289.7874963390922,-462.41079323798664,-210.8847368694647,0.8099241362640772,0.726483423451452,0.8544487580076732,-0.2346835403778462,-0.37649389885470114,-0.17034519698022632,-1.992801671473139,-3.196976105478561,-1.4464763601361668,-321.93888069032937,-516.474330448879,-289.7874963390922,-0.1990170691341584,-0.33465329533542354,-0.14109983891418043,-32.15138435123722,-54.063537210892335,-22.79480434800976,0.8876606887736479,0.8523925643437976,0.924003742365322,-0.12655659155251658,-0.17316837550059563,-0.08224669895831598,-0.19390282596645397,-0.2653187555517557,-0.1260137236535156,-45.948536958875344,-62.87174302174306,-29.861071955809383,0.8771455929758676,0.8388872965780497,0.9167292808993914,-0.1400615906959387,-0.192055242795014,-0.0908345798870008,-0.21459441908270377,-0.2942561415631467,-0.1391715873468057,-50.85175807647008,-69.728943498376,-32.979049134314145,-0.02069159311624979,-0.02893738601139101,-0.01315786369329011,-4.903221117594739,-6.85720047663294,-3.1179771785047654,0.8523925643437976,0.818178277426249,0.924003742365322,-0.17316837550059563,-0.22222751152195,-0.08224669895831598,-0.1711076006363853,-0.2195829127691086,-0.08126792942613319,-133.677812997176,-171.54915060086608,-63.49056986416655,0.8388872965780497,-0.192055242795014,-0.18976970644492905,0.8019231285740224,-0.247002317763546,-0.24406288863061487,0.9167292808993914,-0.0908345798870008,-0.08975361104097966,-148.2575831601008,-190.67413174266787,-70.12000862576537,-0.01866210580854374,-0.02447997586150627,-0.00848568161484647,-14.5797701629248,-19.124981141801772,-6.629438761598808,0.9606
20209042100,20209042100,Census Tract 421; Wyandotte County; Kansas,1503,827,261,Kansas City city,Kansas,46867,0.6212072190102612,0.19009658620058972,20209,1503,827,261,0.013718,0.007719528038,0.00363067118,0.8083443121064448,0.7243366047367379,0.8532048667701962,-0.23709659983148068,-0.3805736082652522,-0.17205144854071938,-4.888494208201843,-7.8467252635486435,-3.5473832619356274,-325.24911564882524,-522.0708758182731,-236.0201771081589,0.7913270753822907,0.701349475214357,0.8397667140462799,-0.26369996820454955,-0.4258226965869832,-0.19080690300483805,-5.437006554236507,-8.779677934925694,-3.9340861104168137,-361.7436163830011,-584.1435751780235,-325.24911564882524,-0.5485123460346637,-0.9329526713770502,-0.3867028484811863,-36.494500734175894,-62.07269935975051,-25.728732433877997,0.8760813530729817,0.8375234754232667,0.9159913958960658,-0.1414465066427401,-0.1939963826024353,-0.0917133113698661,-0.42470233953342584,-0.5824867613052829,-0.2753751847935007,-51.35457551794751,-70.43370753389152,-33.29808764129392,0.8645674491492764,0.8228045561456374,0.9079888881040854,-0.15664775603567718,-0.21535544805976836,-0.10133506378920255,-0.4703450799180842,-0.6466187450868882,-0.30426512248015425,-56.87364932504041,-78.18848187265878,-36.79142956229192,-0.04564274038465837,-0.06413198378160534,-0.02888993768665354,-5.519073807092911,-7.754774338767271,-3.4933419209980103,0.8375234754232667,0.8002853231093385,0.9159913958960658,-0.1939963826024353,-0.2495543415874635,-0.0917133113698661,-0.3908632943549895,-0.5028012933280431,-0.18478368790872896,-149.75605147700747,-192.64417368890545,-70.79834785775056,0.8228045561456374,-0.21535544805976836,-0.4338974714721264,0.7826531498072065,-0.2777052008879455,-0.5595195550683115,0.9079888881040854,-0.10133506378920255,-0.20416956406600287,-166.24424194334347,-214.37530845529176,-78.22588661532677,-0.04303417711713692,-0.05671826174026839,-0.01938587615727391,-16.488190466335986,-21.73113476638636,-7.427538757576213,0.8973
