geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12095013512,12095013512,Census Tract 135.12; Orange County; Florida,3764,2226,940,Orlando city,Florida,15690,0.653843732738548,0.24054013985898284,12095,3764,2226,940,0.008338,0.008241179256,0.003436880739,0.7976462638207954,0.7098560715669837,0.8447653253332024,-0.2536885651666097,-0.4087362777535074,-0.18376070846133288,-7.961820784935997,-12.827874167832515,-5.767188706834834,-211.52552563591917,-340.8043083908745,-153.21967871505936,0.7798146123267231,0.685941899013135,0.8306339680151117,-0.2823560679586556,-0.45784942053940814,-0.2038997181750302,-8.861528343422213,-14.369252435274351,-6.399236059939764,-235.428489463927,-381.75484684575855,-211.52552563591917,-0.8997075584862158,-1.5413782674418357,-0.6320473531049302,-23.902963828007856,-40.950538454884054,-16.791906299280825,0.8688538557337117,0.8282763851061886,0.9109722375044644,-0.15094154603887988,-0.20732646491158344,-0.09772829382750456,-1.1547777734506912,-1.586150399349506,-0.7476699723228708,-51.8768092295908,-71.25563339395805,-33.5880490711083,0.8567249325809867,0.8128170544414934,0.9025175503182862,-0.16723578592183602,-0.23028914629150413,-0.1080116942294753,-1.2794367990529916,-1.761826313451593,-0.8263430913634755,-57.47694515062855,-79.14763312900237,-37.12233114840411,-0.12465902560230036,-0.17567591410208694,-0.0786731190406047,-5.600135921037752,-7.891999735044337,-3.534282077295809,0.8282763851061886,0.7891986251620723,0.9109722375044644,-0.20732646491158344,-0.26710813744085893,-0.09772829382750456,-1.606097688138204,-2.0692088789032193,-0.7570726045465732,-170.86145618491534,-220.12860413864036,-80.53963878155035,0.8128170544414934,-0.23028914629150413,-1.7839828871815238,0.7707347706124457,-0.297463197625526,-2.3043606816732183,0.9025175503182862,-0.1080116942294753,-0.8367351098560049,-189.78541352994935,-245.14475336949133,-89.01437338893669,-0.17788519904331968,-0.23515180276999903,-0.07966250530943164,-18.923957345034008,-25.01614923085096,-8.474734607386345,0.8725
12095016733,12095016733,Census Tract 167.33; Orange County; Florida,3453,2879,978,Orlando city,Florida,87995,0.6264572370090609,0.21513199336496452,12095,3453,2879,978,0.008338,0.008241179256,0.003436880739,0.8066137543407619,0.7219874367944216,0.8518415853409586,-0.2397507414404196,-0.385065652166936,-0.17392719163826628,-6.902690928395645,-11.086469089022602,-5.0075576021571715,-199.90416821302188,-321.06774077679125,-145.02049238798645,0.7894637362547071,0.6988478036356798,0.8382908416104448,-0.26668262781023666,-0.4309267265313115,-0.19290340579039963,-7.678089939104094,-12.406860509209814,-5.553903947099656,-222.35997506817537,-359.30670458180754,-199.90416821302188,-0.7753990107084494,-1.320391420187212,-0.5463463449424841,-22.455806855153472,-38.23896380501627,-15.822367360048773,0.8749146690645956,0.8360290198984085,0.9151821349236012,-0.14296860637750866,-0.19613072776052284,-0.09267867218963952,-1.4146428566271918,-1.9406703333100712,-0.9170350393468764,-49.136604954053205,-67.40779205661936,-31.852554336466707,0.8633010475691809,0.8211896897051757,0.9071065170940664,-0.15834447649024158,-0.21774543998356935,-0.10240636700915765,-1.5667837032825105,-2.1545431479029924,-1.0132884360649237,-54.42110813763496,-74.836510868461,-35.1958470324739,-0.15214084665531868,-0.2138728145929212,-0.096253396718047,-5.284503183581754,-7.428718811841653,-3.34329269600719,0.8360290198984085,0.7984914249471321,0.9151821349236012,-0.19613072776052284,-0.25236160183712647,-0.09267867218963952,-1.5807888184123515,-2.034002539713495,-0.746978356606978,-161.6348485084204,-207.9757198071058,-76.37815507228814,0.8211896897051757,-0.21774543998356935,-1.7550006606133988,0.7807235544536686,-0.2808631099900345,-2.263721084637357,0.9071065170940664,-0.10240636700915765,-0.8253823444736724,-179.44792030811848,-231.46432358255183,-84.39492274781927,-0.17421184220104724,-0.22971854492386212,-0.07840398786669445,-17.813071799698083,-23.488603775446023,-8.01676767553113,0.7797
12095013607,12095013607,Census Tract 136.07; Orange County; Florida,3643,2864,1142,Orlando city,Florida,193,0.907761545996592,0.02601159030794026,12095,3643,2864,1142,0.008338,0.008241179256,0.003436880739,0.7191075324898701,0.6066485093532195,0.7818926959738115,-0.3906126063476977,-0.648400984395649,-0.27894787245012675,-11.864988382421837,-19.695396466946622,-8.473134794261998,-325.6927911727103,-540.6367407890921,-232.5867360489157,0.6957820519428032,0.5770731238287744,0.7628899115392678,-0.4372316693248148,-0.7328826429572448,-0.3108051173233107,-13.281057991118804,-22.261555062629057,-9.440809247604747,-364.56376588303056,-611.0775476977507,-325.6927911727103,-1.4160696086969669,-2.566158595682431,-0.9676744533427488,-38.870974710320255,-70.44080690865856,-26.562570775260745,0.8146216789970084,0.7597339457523413,0.8728501237210091,-0.22756369709094415,-0.316250255225506,-0.14567206078512518,-2.2399609991923493,-3.1129228727843077,-1.4338830797789963,-78.21092874274962,-108.69144108883756,-50.065749992283386,0.7980894315737327,0.7391416664474809,0.861060457530245,-0.2529924096703359,-0.3529206177839714,-0.16135863777587853,-2.490261575099877,-3.4738775549556875,-1.5882896091125096,-86.95047399091749,-121.29460736577124,-55.457039424319476,-0.25030057590752763,-0.3609546821713798,-0.1544065293335133,-8.739545248167865,-12.603166276933656,-5.3912894320360785,0.7597339457523413,0.7080270901373575,0.8728501237210091,-0.316250255225506,-0.4123753369464996,-0.14567206078512518,-2.9763660991849643,-3.881040260828692,-1.3709819238251473,-260.6275043069146,-339.84590725295027,-120.05095655211449,0.7391416664474809,-0.3529206177839714,-3.321486528845998,0.6839980478213545,-0.4619924767112469,-4.348008335301903,0.861060457530245,-0.16135863777587853,-1.5186149935099165,-290.848207429597,-380.736281550079,-132.97854584149883,-0.34512042966103307,-0.4669680744732107,-0.1476330696847692,-30.220703122682405,-40.89037429712879,-12.927589289384343,0.6135
12095013511,12095013511,Census Tract 135.11; Orange County; Florida,4275,3166,1475,Orlando city,Florida,46160,0.6326356395165496,0.23139313494965064,12095,4275,3166,1475,0.008338,0.008241179256,0.003436880739,0.8045819191435144,0.7192326118042993,0.8502400185631525,-0.24288152170323457,-0.3903707696058928,-0.17613847639156258,-8.65749969703571,-13.91474656406357,-6.278447184053428,-202.51461279615697,-325.49114769739344,-146.86426161528487,0.7872765136621556,0.6959151774691544,0.8365573059935021,-0.2702017431567006,-0.436956733199462,-0.19537537098237648,-9.631327624733435,-15.575300907058164,-6.964145329898261,-225.29421344405696,-364.3345241417114,-202.51461279615697,-0.9738279276977247,-1.660554342994594,-0.6856981458448326,-22.779600647899997,-38.84337644431798,-16.039722709820644,0.8735436649627872,0.8342737083623342,0.9142306844045788,-0.14476246592962216,-0.1986473863151985,-0.0938158356074879,-1.5751841935776745,-2.1615148720341737,-1.0208255324141824,-49.75313308836622,-68.27273758793979,-32.24338384125655,0.8618130782911596,0.8192933182719992,0.9060692106807642,-0.1603444240865356,-0.22056408577716177,-0.10366844851582813,-1.74473404226353,-2.399994082416377,-1.1280334334332347,-55.108466274906185,-75.80524581226712,-35.62960939460628,-0.16954984868585554,-0.2384792103822031,-0.10720790101905232,-5.355333186539973,-7.532508224327324,-3.3862255533497256,0.8342737083623342,0.7963854535950197,0.9142306844045788,-0.1986473863151985,-0.25567336204576513,-0.0938158356074879,-2.4147058610551624,-3.1078987612149227,-1.1404008494817848,-163.70887193594322,-210.70500076033372,-77.31531182927355,0.8192933182719992,-0.22056408577716177,-2.6811195482798915,0.7784588327112929,-0.28458944516963314,-3.459395132212582,0.9060692106807642,-0.10366844851582813,-1.2601666444302613,-181.77081683253505,-234.53526320085305,-85.43502674103466,-0.26641368722472913,-0.3514963709976593,-0.1197657949484765,-18.061944896591804,-23.83026244051927,-8.11971491176112,0.904
12095013604,12095013604,Census Tract 136.04; Orange County; Florida,4840,3243,1290,Orlando city,Florida,0,NA,NA,12095,4840,3243,1290,0.008338,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7141
12095013605,12095013605,Census Tract 136.05; Orange County; Florida,2584,1497,725,Orlando city,Florida,0,NA,NA,12095,2584,1497,725,0.008338,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6189
12095016709,12095016709,Census Tract 167.09; Orange County; Florida,4240,3275,1335,Orlando city,Florida,34704,0.6716735052477711,0.17206311595097146,12095,4240,3275,1335,0.008338,0.008241179256,0.003436880739,0.7918616973408458,0.7020678063902265,0.8401900026443059,-0.26284678670291084,-0.4243638447711068,-0.19020697324739488,-9.292453991922413,-15.002585927854309,-6.724409950051941,-219.16165075288703,-353.8345737701488,-158.59457429367785,0.7735960973204267,0.6776679784736279,0.825686645690639,-0.29266422550965365,-0.4756488896707046,-0.21111320525664795,-10.346593484149846,-16.81567227439518,-7.463510479022905,-244.0234312299492,-396.59604420743347,-219.16165075288703,-1.054139492227435,-1.8130863465408709,-0.7391005289709645,-24.861780477062148,-42.761470437284686,-17.4316162493152,0.8649305918414463,0.8232677702384216,0.908241829101851,-0.1561621353581558,-0.21467162465305312,-0.1010283472507399,-1.7577273301933976,-2.4162975282342245,-1.1371532969859597,-53.67106351735565,-73.78007719799159,-34.72223807590716,0.8524705486093966,0.807412047164897,0.89954242226372,-0.17306105370005173,-0.23852499292194848,-0.11167630925451635,-1.9479379119847644,-2.684785899165146,-1.2570044618152143,-59.47902021327525,-81.97819539435561,-38.38181562794547,-0.19021058179136685,-0.2684883709309216,-0.11985116482925484,-5.807956695919598,-8.19811819636402,-3.659577552038316,0.8232677702384216,0.7832068212687485,0.908241829101851,-0.21467162465305312,-0.27680195427825743,-0.1010283472507399,-2.3618116988233173,-3.045367989030345,-1.1115112807070675,-176.91473399425598,-228.1174523618236,-83.25927196307623,0.807412047164897,-0.23852499292194848,-2.624245843647388,0.764300436096554,-0.30838601258323783,-3.392854987004949,0.89954242226372,-0.11167630925451635,-1.2286598850919732,-196.5727223705909,-254.14644097415348,-92.03444832149611,-0.2624341448240708,-0.34748699797460425,-0.11714860438490549,-19.65798837633489,-26.028988612329908,-8.775176358419886,0.652
12097043700,12097043700,Census Tract 437; Osceola County; Florida,9695,7067,1871,Orlando city,Florida,153205,0.7619147124825566,0.16354427112175976,12097,9695,7067,1871,0.009089,0.008241179256,0.003436880739,0.763221653199117,0.6639407266271741,0.8174104073706916,-0.3102353632243056,-0.5061585468329539,-0.22337566414970408,-27.337274752471693,-44.60160543683694,-19.683384384072323,-281.9729216345713,-460.04750321647174,-203.02614114566603,0.7428750140188546,0.6372975374661426,0.8010952915882448,-0.346121462061476,-0.5691257869533609,-0.24829094678288324,-30.499480806321134,-50.15014357151714,-21.87886564642682,-314.5897968676755,-517.2784277619097,-281.9729216345713,-3.162206053849445,-5.5485381346802,-2.195481262354498,-32.616875233104125,-57.23092454543785,-22.64550038529653,0.8453439894364252,0.7983786278655376,0.8945475284222322,-0.18295038764832416,-0.2525385388553003,-0.1178835872072228,-4.443578814962335,-6.133766184612041,-2.8632079848483367,-62.87786635011087,-86.79448400469848,-40.51518303167308,0.8312598719856468,0.7806022394525769,0.8846342752264015,-0.2029932319616011,-0.28106217156292435,-0.13041064313732742,-4.930388159981407,-6.826560617324608,-3.167470583361454,-69.7663529076186,-96.59771639061282,-44.820582755928314,-0.48680934501907114,-0.6927944327125672,-0.3042625985131173,-6.888486557507728,-9.803232385914352,-4.305399724255233,0.7983786278655376,0.7535713667557363,0.8945475284222322,-0.2525385388553003,-0.3270143268648653,-0.1178835872072228,-3.8939539530693263,-5.042314478327477,-1.817676076246624,-208.12153677548508,-269.49836869735316,-97.14997735150315,0.7806022394525769,-0.28106217156292435,-4.333766873668313,0.7325492485058932,-0.3650959331943881,-5.629504149172296,0.8846342752264015,-0.13041064313732742,-2.010833838148863,-231.62837379306853,-300.8821031091553,-107.47374869849617,-0.43981292059898625,-0.5871896708448183,-0.19315776190223888,-23.506837017583443,-31.383734411802152,-10.323771346992991,0.4766
12095013510,12095013510,Census Tract 135.10; Orange County; Florida,1866,960,176,Orlando city,Florida,0,NA,NA,12095,1866,960,176,0.008338,0.008241179256,0.003436880739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8029
12095016710,12095016710,Census Tract 167.10; Orange County; Florida,2541,1748,619,Orlando city,Florida,87804,0.7250914748379286,0.1857960884721598,12095,2541,1748,619,0.008338,0.008241179256,0.003436880739,0.7747810485032008,0.6792419556982827,0.8266301446797083,-0.2906872230959954,-0.4722294340195279,-0.20973086505025385,-6.158748918149175,-10.005057961992106,-4.443538056036891,-242.37500661744093,-393.7449020854823,-174.87359527890166,0.7552607022326208,0.6534719555762163,0.811040165483789,-0.3240461168493305,-0.5302875532251776,-0.2329845580502115,-6.865519063138173,-11.23512708934928,-4.936210747602589,-270.18965222897174,-442.1537618791531,-242.37500661744093,-0.7067701449889983,-1.230069127357174,-0.4926726915656978,-27.814645611530825,-48.40885979367077,-19.38892922336473,0.8532822251194347,0.8084425394898376,0.9001104200189411,-0.17194519065486102,-0.23694629012353,-0.11097480682309716,-1.032989539141555,-1.4234945339489598,-0.6666997437957906,-59.09551139253747,-81.43561407030661,-38.140717608454835,0.8398504683591608,0.7914328514792185,0.8906875221316158,-0.19068814946752108,-0.26353107295326633,-0.12272820170060852,-1.1455910042497124,-1.5832070705943762,-0.7373102325895108,-65.53724280604762,-90.57248687610848,-42.18021925569283,-0.1126014651081575,-0.1597125366454164,-0.07061048879372023,-6.441731413510155,-9.136872805801854,-4.039501647238,0.8084425394898376,0.76552632490117,0.9001104200189411,-0.23694629012353,-0.3062908060400153,-0.11097480682309716,-1.2087317307394077,-1.5624782135280657,-0.5661146678001227,-195.2716850952193,-252.41974370404932,-91.45632759291158,0.7914328514792185,-0.26353107295326633,-1.3443484164632724,0.7453429411345899,-0.34166427936885174,-1.7429285578518263,0.8906875221316158,-0.12272820170060852,-0.6260721430783869,-217.1806811733881,-281.571657165077,-101.1425109981239,-0.13561668572386476,-0.18045034432376103,-0.05995747527826423,-21.908996078168784,-29.151913461027632,-9.686183405212317,0.2839
12097042800,12097042800,Census Tract 428; Osceola County; Florida,10680,7881,2763,Orlando city,Florida,124458,0.6992327453661278,0.19522938310343033,12097,10680,7881,2763,0.009089,0.008241179256,0.003436880739,0.7830029946005006,0.6901973689018519,0.8331666929691034,-0.27713432374574043,-0.4488609274055389,-0.2002400101189395,-26.90157291584737,-43.57116363093791,-19.437401907050717,-251.88738685250348,-407.9696969188943,-181.9981451971041,0.7640816419569827,0.6650750094998675,0.8180975462864629,-0.30876066782441997,-0.5035897992197813,-0.2223481228360054,-29.97155858126371,-48.88372367695977,-21.58344790471492,-280.6325709856153,-457.7127685108592,-251.88738685250348,-3.0699856654163433,-5.312560046021858,-2.146045997664203,-28.74518413311183,-49.74307159196496,-20.094063648541223,0.8589012802089867,0.815585543523831,0.9040375654540316,-0.16427815750452873,-0.2261129539881068,-0.10614872458067996,-4.449647555117264,-6.124508383689325,-2.875150415515328,-56.460443536572306,-77.71232564001174,-36.48205069807547,0.8459361318791453,0.7991282268397459,0.8949630905001464,-0.18212234034574265,-0.2513636315346124,-0.11736451549209044,-4.932976110529653,-6.808449677630156,-3.1789419686089784,-62.59327636758854,-86.39068237064022,-40.33678427368327,-0.4833285554123892,-0.6839412939408307,-0.30379155309365036,-6.132832831016231,-8.678356730628481,-3.854733575607795,0.815585543523831,0.7740347471386768,0.9040375654540316,-0.2261129539881068,-0.291931665466743,-0.10614872458067996,-5.148677497296044,-6.6473944558516305,-2.4170466131010286,-186.34373859196683,-240.58611856140536,-87.4790667065157,0.7991282268397459,-0.2513636315346124,-5.723644976965563,0.754460492375716,-0.32545045115762944,-7.410629885664436,0.8949630905001464,-0.11736451549209044,-2.672434414911773,-207.15327459158752,-268.2095506936097,-96.72220104639062,-0.5749674796695192,-0.7632354298128057,-0.2553878018107443,-20.809535999620675,-27.623432132204336,-9.243134339874928,0.5453
