geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48453002201,48453002201,Census Tract 22.01; Travis County; Texas,1528,889,432,Austin city,Texas,110377,0.66003844280341,0.2266514231497579,48453,1528,889,432,0.006446,0.006897320142,0.003436016044,0.7956317208620689,0.707140399835325,0.84317287461425,-0.2568629100364394,-0.4141463282721149,-0.1859964072699779,-2.52996815004899,-4.079129290560257,-1.8319693814487603,-165.5738318094889,-266.9587232042053,-119.89328412622775,0.7776484282276833,0.6830558492837139,0.8289117372808008,-0.2859281440059898,-0.464009130510557,-0.20640106180718928,-2.816245823249269,-4.570252362854165,-2.0329447814571693,-184.30928162626105,-299.1002855271051,-165.5738318094889,-0.2862776732002792,-0.4911230722939086,-0.20097540000840897,-18.7354498167722,-32.14156232289978,-13.15284031468645,0.8674887582167717,0.826532765611509,0.9100226652733344,-0.15275269048514378,-0.20987339111735215,-0.09887372936985037,-0.4666011580960258,-0.6410830934491512,-0.3020214994755337,-52.486069527112015,-72.1128339087909,-33.973172044491974,0.8552444036421293,0.810935069319591,0.9014827690400452,-0.1692564087428307,-0.2331443512968831,-0.1092835430064428,-0.5170137172952772,-0.7121669934137915,-0.33381950632550295,-58.15677359901881,-80.10877316240625,-37.550000711530146,-0.05041255919925142,-0.07108389996464037,-0.03179800684996925,-5.670704071906796,-7.99593925361534,-3.5768286670381615,0.826532765611509,0.7871116763542683,0.9100226652733344,-0.20987339111735215,-0.27046774941998647,-0.09887372936985037,-0.6253476340997765,-0.8058971473211007,-0.2946083465220447,-144.7563967823557,-186.55026558358813,-68.19637650973257,0.810935069319591,-0.2331443512968831,-0.6946867714435987,0.7684931317787327,-0.30124780384884897,-0.8976106995350102,0.9014827690400452,-0.1092835430064428,-0.32562586758274314,-160.80712301935154,-207.7802545219931,-75.3763582367461,-0.06933913734382224,-0.09171355221390942,-0.03101752106069844,-16.05072623699589,-21.22998893840496,-7.179981727013527,0.8016
48453002113,48453002113,Census Tract 21.13; Travis County; Texas,2503,1839,513,Austin city,Texas,22599,0.5957411965145514,0.2265896167047401,48453,2503,1839,513,0.006446,0.006897320142,0.003436016044,0.8167914792324736,0.7358405213062292,0.8598486963982112,-0.2243026836417106,-0.3589901222412261,-0.1629953085802927,-3.6189753121824295,-5.792067970901259,-2.629821401048743,-144.58550987544663,-231.40503279669431,-105.06677591085668,0.8004280847591564,0.7136118774727926,0.8469626148660893,-0.24933147529536465,-0.40132196725961344,-0.18068965789960756,-4.022798296454062,-6.475064266591537,-2.9153080136566385,-160.71906897539202,-258.69214009554685,-144.58550987544663,-0.40382298427163255,-0.6829962956902778,-0.28548661260789565,-16.133559099945366,-27.28710729885249,-11.405777571230349,0.8817626474759638,0.8448105566588444,0.919927006831844,-0.13409204037219016,-0.18369732967698335,-0.08704276814735651,-0.8473052774463441,-1.1607528415265227,-0.5500087597301514,-46.07424020915411,-63.11869720100722,-29.90803478684891,0.8707367357386748,0.8306828903044693,0.9122811592793312,-0.1484527515100955,-0.2038288156308012,-0.09615329641353496,-0.9380482201389606,-1.2879603494752525,-0.6075766709859641,-51.00860359646333,-70.03590807369508,-33.03842691603938,-0.09074294269261653,-0.1272075079487298,-0.05756791125581273,-4.934363387309218,-6.917210872687864,-3.130392129190469,0.8448105566588444,0.8090442555193141,0.919927006831844,-0.18369732967698335,-0.236026327580948,-0.08704276814735651,-0.6499808968025006,-0.8351379104956441,-0.3079856228725556,-126.70192920126718,-162.79491432663627,-60.0361837958198,0.8306828903044693,-0.2038288156308012,-0.7212126415275789,0.7920808370573992,-0.26249740331432064,-0.928801185703614,0.9122811592793312,-0.09615329641353496,-0.3402216349213315,-140.58725955703292,-181.05286271025616,-66.3200068072771,-0.07123174472507832,-0.0936632752079698,-0.03223601204877591,-13.885330355765753,-18.257948383619844,-6.283823011457292,0.426
48453041500,48453041500,Census Tract 415; Travis County; Texas,2032,1630,520,Austin city,Texas,0,NA,NA,48453,2032,1630,520,0.006446,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5873
48453002221,48453002221,Census Tract 22.21; Travis County; Texas,1627,1027,203,Austin city,Texas,130012,0.6068275305302656,0.20331826475688344,48453,1627,1027,203,0.006446,0.006897320142,0.003436016044,0.8131033085335083,0.7308101390494174,0.8569500480146678,-0.2298560213751603,-0.3683444530486734,-0.16692916035974564,-2.4106476637270298,-3.863064756260296,-1.7506932732136038,-148.16519137842835,-237.4348344351749,-107.60253676789203,0.7964532724821936,0.7082474513913912,0.8438224160697648,-0.2555664400542182,-0.4119358961835228,-0.1850834736740661,-2.680289330503101,-4.320236206121955,-1.9410892120100305,-164.73812725894905,-265.53387867989886,-148.16519137842835,-0.26964166677607126,-0.4571714498616588,-0.19039593879642647,-16.572935880520667,-28.09904424472396,-11.70227036241097,0.8792848483280805,0.841630450801838,0.9182116107145336,-0.1372878787817779,-0.1881699373487262,-0.08907357338012771,-0.4844598847027207,-0.6640119066693728,-0.31432179936575444,-47.1723354140916,-64.6554923728698,-30.605822723053013,0.8680456168850336,0.8272439205636524,0.9104100811234052,-0.15201318980041903,-0.2088333019342569,-0.09840611471046629,-0.536422392548311,-0.7369285495187281,-0.34725436367513396,-52.23197590538569,-71.75545759676028,-33.81249889728666,-0.05196250784559031,-0.07291664284935528,-0.03293256430937952,-5.059640491294091,-7.099965223890486,-3.206676174233644,0.841630450801838,0.8052194357413502,0.9182116107145336,-0.1881699373487262,-0.24189749478577724,-0.08907357338012771,-0.2634672646958322,-0.3386942260063121,-0.124716897214318,-129.78682989942473,-166.84444630852812,-61.43689517946699,0.8272439205636524,-0.2088333019342569,-0.2923991983695581,0.7879627258220144,-0.2690955640785992,-0.3767757656111613,0.9104100811234052,-0.09840611471046629,-0.13778391084895772,-144.03901397515176,-185.60382542421735,-67.87384770884617,-0.02893193367372587,-0.03808153960484917,-0.01306701363463973,-14.252184075727031,-18.75937911568925,-6.4369525293791785,0.8109
48453002319,48453002319,Census Tract 23.19; Travis County; Texas,2146,1184,180,Austin city,Texas,0,NA,NA,48453,2146,1184,180,0.006446,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-999
48453043600,48453043600,Census Tract 436; Travis County; Texas,3134,1564,541,Austin city,Texas,78627,0.690140901433092,0.22432956418445804,48453,3134,1564,541,0.006446,0.006897320142,0.003436016044,0.7859144879369255,0.6940910957045547,0.8354771822443389,-0.27240306082798177,-0.4407330769528525,-0.19692077922906784,-5.503022347724532,-8.903585607595366,-3.9781471086817306,-175.59101300971705,-284.0965414038087,-126.93513429105714,0.7672074728126805,0.6692033714885859,0.8205934624637685,-0.3034283885868217,-0.49431404951769026,-0.21863023012342456,-6.129788697131266,-9.986015770240693,-4.416716312219115,-195.5899392830653,-318.63483631910316,-175.59101300971705,-0.6267663494067337,-1.082430162645327,-0.438569203537384,-19.998926273348236,-34.538294915294415,-13.993912046502365,0.8608857011165908,0.8181119676021487,0.9054224041729634,-0.16159438901467918,-0.22232657582428164,-0.10445687602951054,-0.8683967883618107,-1.1947672539282694,-0.561343845039661,-55.52409132748149,-76.39176815398142,-35.89155019435172,0.848086292663271,0.801851637207977,0.8964712378569727,-0.17912529497401714,-0.24711349780611477,-0.11548475597556736,-0.9626066339201182,-1.327970415087803,-0.6206068899138578,-61.54773874169554,-84.90859431507691,-39.68074743694743,-0.09420984555830758,-0.13320316115953346,-0.05926304487419687,-6.0236474142140395,-8.51682616109549,-3.789197242595708,0.8181119676021487,0.7770486964163142,0.9054224041729634,-0.22232657582428164,-0.2869206326603714,-0.10445687602951054,-0.829600545118277,-1.0706300512128355,-0.3897756306197283,-153.34575695347078,-197.89834588037624,-72.047251500874,0.801851637207977,-0.24711349780611477,-0.9220917100259998,0.7576926245796818,-0.3197964023402425,-1.1933043484554653,0.8964712378569727,-0.11548475597556736,-0.4309256154149715,-170.4420905778188,-220.57381672004905,-79.65353334842357,-0.0924911649077228,-0.1226742972426298,-0.04114998479524318,-17.09633362434802,-22.67547083967279,-7.60628184754957,0.6389
48453002211,48453002211,Census Tract 22.11; Travis County; Texas,3337,2410,755,Austin city,Texas,152828,0.6955068703671315,0.18134377946990832,48453,3337,2410,755,0.006446,0.006897320142,0.003436016044,0.7841948298922254,0.6917903856175119,0.8341127672524902,-0.2751933089605212,-0.4455245704338191,-0.1988786639652225,-5.919491184120116,-9.58336805845172,-4.277940123248453,-177.38960695595193,-287.1851381016398,-128.1971867919824,0.7653610771870282,0.6667637403192462,0.8191194636090067,-0.30657284490524733,-0.49978161608068306,-0.2208231453737421,-6.594474478911032,-10.750453495943548,-4.749972545579095,-197.61685582592244,-322.15922972560827,-177.38960695595193,-0.6749832947909153,-1.1670854374918278,-0.472032422330642,-20.22724886997049,-34.97409162396847,-14.145412715931736,0.859713950272559,0.8166199376187988,0.9046048217193702,-0.16317758910736,-0.22455986430593824,-0.10545508490581942,-1.3512407622078495,-1.8595350247907363,-0.8732523264152443,-56.06808141941285,-77.15912965936664,-36.23453636577778,0.8468166165749311,0.8002431712095853,0.8955808284135308,-0.180893218704943,-0.2496201604425787,-0.11659379954731908,-1.4979403241475735,-2.067054291609596,-0.965489779759975,-62.155200172098496,-85.76988761865545,-40.06181658755083,-0.146699561939724,-0.2075192668188599,-0.09223745334473066,-6.087118752685643,-8.610757959288794,-3.827280221773056,0.8166199376187988,0.7752684596241242,0.9046048217193702,-0.22455986430593824,-0.2898757683046117,-0.10545508490581942,-1.1693902627474115,-1.509521311430868,-0.5491548983039075,-154.88612751621346,-199.9365975405123,-72.73574811972286,0.8002431712095853,-0.2496201604425787,-1.2998911711547516,0.755783362728146,-0.32313047536572775,-1.682694423856722,0.8955808284135308,-0.11659379954731908,-0.607159495347776,-172.17101604698695,-222.87343362340687,-80.41847620500346,-0.13050090840734008,-0.17317311242585376,-0.05800459704386851,-17.28488853077352,-22.936836082894537,-7.682728085280598,0.7498
48453043700,48453043700,Census Tract 437; Travis County; Texas,1697,691,253,Austin city,Texas,0,NA,NA,48453,1697,691,253,0.006446,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7664
48453043900,48453043900,Census Tract 439; Travis County; Texas,5985,3206,976,Austin city,Texas,0,NA,NA,48453,5985,3206,976,0.006446,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3857
48453002108,48453002108,Census Tract 21.08; Travis County; Texas,3164,1479,402,Austin city,Texas,65533,0.6312671145469297,0.21789862466700635,48453,3164,1479,402,0.006446,0.006897320142,0.003436016044,0.8050315318036565,0.7198419017779893,0.850594508071817,-0.242187368437011,-0.3891939292920126,-0.17564831480850385,-4.939446254253895,-7.937666231836415,-3.582372673876769,-156.1139776944973,-250.8744068216313,-113.2229037255616,0.7877604635303295,0.6965636954832896,0.8369409772621629,-0.2694214120857553,-0.4356188909704523,-0.19482738588238657,-5.494888496172321,-8.884510010462675,-3.9735325902148415,-173.66904223047788,-280.79993711955353,-156.1139776944973,-0.555442241918426,-0.9468437786262598,-0.39115991633807257,-17.55506453598059,-29.925530297922244,-12.362829214224798,0.8738471589768841,0.8346621943454878,0.914441346731447,-0.14436488089154842,-0.19808948671044596,-0.09356385029435892,-0.7336432294146603,-1.0066645699830443,-0.4754791114190005,-49.60400469335094,-68.06386544848169,-32.14868907498313,0.8621424443326623,0.8197129893154977,0.9062988732106888,-0.15990113533274164,-0.21993918973402035,-0.10338877114274886,-0.8125964194900738,-1.1177018706684414,-0.5254080596191594,-54.942286645711555,-75.5714584630454,-35.524547641592925,-0.07895319007541346,-0.11103730068539708,-0.04992894820015886,-5.338281952360613,-7.507593014563697,-3.3758585666097947,0.8346621943454878,0.7968514498453185,0.914441346731447,-0.19808948671044596,-0.2549390481677806,-0.09356385029435892,-0.5492472158557729,-0.7068752852277964,-0.2594266113377384,-136.62866066064,-175.83962319099413,-64.53398291983542,0.8197129893154977,-0.21993918973402035,-0.6098303833537825,0.7789599047203977,-0.28376312303127227,-0.7867964518242481,0.9062988732106888,-0.10338877114274886,-0.286668392371123,-151.6991003367618,-195.72051040404185,-71.310545365951,-0.06058316749800963,-0.07992116659645165,-0.02724178103338459,-15.070439676121795,-19.880887213047675,-6.7765624461155705,0.7492
48453002110,48453002110,Census Tract 21.10; Travis County; Texas,2722,1576,367,Austin city,Texas,36474,0.5606589040488607,0.2372939024838791,48453,2722,1576,367,0.006446,0.006897320142,0.003436016044,0.8285731511194003,0.7519882676798597,0.869086124197223,-0.20689404266720737,-0.3298079810278704,-0.15063395002848826,-3.6301653553673328,-5.7868147928107865,-2.6430250948072556,-133.3638999032819,-212.59422457056525,-97.09864418836356,0.8131374099195621,0.7308565969295803,0.8569768646247843,-0.22980444362893465,-0.3682574723976287,-0.16689264468981488,-4.032151525566611,-6.461450029778462,-2.928300346439228,-148.1319443632113,-237.37876670751143,-133.3638999032819,-0.4019861701992786,-0.6746352369676751,-0.28527525163197254,-14.768044459929415,-24.784542136946182,-10.480354578691127,0.8896496523353183,0.854953275160951,0.9253764588128603,-0.12403798211465995,-0.16965456365056084,-0.08064127899133301,-0.671685678659498,-0.9187068249624464,-0.43668553199449095,-42.61964966113566,-58.29358026411462,-27.708472842290035,0.8793077778807081,0.841659865539495,0.9182274924456156,-0.1372582219279148,-0.1881284126088282,-0.08905473668250836,-0.7432754094791991,-1.0187456966325483,-0.4822457623596234,-47.16214527152279,-64.64122440561854,-30.599350403529403,-0.0715897308197011,-0.10003887167010196,-0.04556023036513246,-4.5424956103871255,-6.347644141503931,-2.8908775612393693,0.854953275160951,0.8212678782895292,0.9253764588128603,-0.16965456365056084,-0.21762950486109325,-0.08064127899133301,-0.429449394931069,-0.5508891548254892,-0.20412859945592743,-117.01618390492342,-150.1060367371905,-55.620871786356254,0.841659865539495,-0.1881284126088282,-0.4762125534719542,0.8052547968691602,-0.24184295938131797,-0.6121810715835863,0.9182274924456156,-0.08905473668250836,-0.225425723665303,-129.75818895693575,-166.8068314941652,-61.42390290607711,-0.04676315854088525,-0.06129191675809709,-0.02129712420937554,-12.74200505201233,-16.700794756974684,-5.803031119720857,0.932
