geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48397040301,48397040301,Census Tract 403.01; Rockwall County; Texas,4104,2999,1305,Dallas city,Texas,8659,0.4619639408936545,0.1671559764895175,48397,4104,2999,1305,0.008732,0.006897320142,0.003436016044,0.8626373467748247,0.7993417921799608,0.8956089976735014,-0.15923569010632135,-0.251029296582636,-0.116558679733759,-5.706390572818466,-8.995918004085308,-4.1770117664499935,-139.04460460083982,-219.19878177595777,-101.77903914351836,0.8499846486024287,0.7816381926740411,0.885789020522791,-0.176491836228138,-0.27936430099318366,-0.12893700060743804,-6.324784034026591,-10.011334849022257,-4.6206028577042275,-154.11267139441009,-243.940907627248,-139.04460460083982,-0.6183934612081243,-1.015416844936949,-0.443591091254234,-15.06806679357028,-24.74212585129018,-10.80874978689654,0.9122181452590816,0.8841451054037046,0.9408808547534272,-0.0962290162688962,-0.13103606397662013,-0.06283382741597597,-0.9916026869509948,-1.350275812480665,-0.6474782192825542,-33.06444437982643,-45.02420181662771,-21.589803910722047,0.9038754221324232,0.8733250184721605,0.9351646777407208,-0.10634715306319484,-0.1450490697603639,-0.06933037977430448,-1.0958661619524246,-1.494674401660793,-0.7144226714261287,-36.541052415886114,-49.83909308638856,-23.82202972411233,-0.10426347500142974,-0.14439858918012782,-0.06694445214357447,-3.4766080360596776,-4.814891269760848,-2.2322258133902793,0.8841451054037046,0.856655557152566,0.9408808547534272,-0.13103606397662013,-0.1673303133921129,-0.06283382741597597,-1.1794559768296171,-1.5061406169092035,-0.5655674555828876,-90.37976833943426,-115.41307409265929,-43.33850234351629,0.8733250184721605,-0.1450490697603639,-1.30558708091966,0.8435034440442692,-0.18553161467295373,-1.669970580434318,0.9351646777407208,-0.06933037977430448,-0.6240429414551147,-100.04498704365211,-127.96709428615463,-47.81938248698197,-0.12613110409004302,-0.1638299635251146,-0.05847548587222717,-9.665218704217857,-12.55402019349537,-4.480880143465684,0.4938
48113018110,48113018110,Census Tract 181.10; Dallas County; Texas,2883,2234,1130,Dallas city,Texas,140092,0.6437872908338281,0.21929551043483655,48113,2883,2234,1130,0.009098,0.006897320142,0.003436016044,0.800927523871139,0.7142868964653576,0.8473569036870141,-0.2485524222799587,-0.399997682931734,-0.1801402639770871,-6.519414210974534,-10.491752824379136,-4.724995178755981,-226.1329937903064,-363.9178919312916,-163.89161216635384,0.7833440342406282,0.6906530776178321,0.8334374462401135,-0.27657830568582503,-0.447904935787954,-0.19985009614254817,-7.254520072648741,-11.748337742017956,-5.241974891674236,-251.63094251296363,-407.50391057988054,-226.1329937903064,-0.7351058616742074,-1.2565849176388184,-0.5169797129182543,-25.497948722657213,-43.58601864858892,-17.932005304136467,0.8710745196800745,0.831114798727274,0.9125158756865388,-0.14800740626333186,-0.20320321757156537,-0.09587134497538664,-1.1361137075803511,-1.5598000582264295,-0.7359141811924718,-50.85558225516344,-69.82095157683212,-32.941547949528726,0.859133870754006,0.8158815586819546,0.9041999357032666,-0.16396295622981888,-0.2256681001780286,-0.10595008970247516,-1.2585894639398494,-1.732241841463796,-0.8132792288528286,-56.33793482273274,-77.53992128307056,-36.404620808094386,-0.12247575635949826,-0.1724417832373666,-0.07736504766035679,-5.482352567569304,-7.7189697062384335,-3.4630728585656576,0.831114798727274,0.792598350034066,0.9125158756865388,-0.20320321757156537,-0.26167307811960483,-0.09587134497538664,-1.5837601393873897,-2.0394725813368435,-0.7472185553754822,-140.1557645475566,-180.48429923334896,-66.12553587393647,0.8158815586819546,-0.2256681001780286,-1.7588508000242131,0.7743877607700889,-0.2913427234510413,-2.270716959192923,0.9041999357032666,-0.10595008970247516,-0.8257720071592953,-155.65051327647905,-200.94840346840027,-73.07716877515888,-0.17509066063682366,-0.2312443778560795,-0.07855345178381312,-15.494748728922447,-20.464104235051288,-6.951632901222401,0.7901
48113012400,48113012400,Census Tract 124; Dallas County; Texas,3661,2510,959,Dallas city,Texas,33300,0.6237177958329384,0.18749426683051357,48113,3661,2510,959,0.009098,0.006897320142,0.003436016044,0.8075162906441307,0.7232122723663026,0.8525526688700745,-0.2383651098881622,-0.38271989872083656,-0.1729480611741488,-7.939412163100511,-12.747549422776109,-5.760515627118967,-216.86457697624996,-348.1985638562171,-157.34814605624058,0.7904354720828416,0.7001520518722173,0.8390606228271806,-0.26512540911776666,-0.4282611860180724,-0.19180899781775085,-8.830738269053748,-14.26442850990666,-6.3887315177161295,-241.21109721534413,-389.6320270392423,-216.86457697624996,-0.8913261059532376,-1.516879087130551,-0.6282158905971622,-24.346520239094172,-41.43346318302516,-17.159680158349147,0.8755232467600018,0.8368084886044922,0.9156043152501958,-0.1421741269585269,-0.19501655829000364,-0.09217484380984206,-1.22616657899069,-1.6819008580565853,-0.7949527478813665,-48.85125812711913,-67.00800231301137,-31.671424218381137,0.8639616199131952,0.8220319255949983,0.9075668281920188,-0.15745882334503816,-0.21649776470200463,-0.10184723475638598,-1.3579879186401111,-1.867163380445624,-0.8783713189765413,-54.10310432829128,-74.38897930062248,-34.99487326599766,-0.131821339649421,-0.18526252238903895,-0.08341857109517481,-5.251846201172151,-7.380976987611114,-3.3234490476165264,0.8368084886044922,0.7994269725236722,0.9156043152501958,-0.19501655829000364,-0.25089599722054473,-0.09217484380984206,-1.2899428784609557,-1.659559104554205,-0.6096932711167192,-134.50916355171591,-173.0510015176439,-63.57594067953276,0.8220319255949983,-0.21649776470200463,-1.4320309630568515,0.781729816334695,-0.2792143514350147,-1.8468717085145776,0.9075668281920188,-0.10184723475638598,-0.6736715913608422,-149.32543931771133,-192.58307700881937,-70.24729836922234,-0.14208808459589606,-0.18731260396037253,-0.06397832024412298,-14.816275765995416,-19.532075491175448,-6.67135768968957,0.3273
48113018135,48113018135,Census Tract 181.35; Dallas County; Texas,3440,2031,732,Dallas city,Texas,405,0.4564293319244443,0.26921340293651475,48113,3440,2031,732,0.009098,0.006897320142,0.003436016044,0.8645885392857791,0.8020838799663212,0.8971200868946415,-0.1566195416215925,-0.246752397070976,-0.11467797300300644,-4.901740588475975,-7.722639381417984,-3.589090282431853,-142.49245896732486,-224.495330855174,-104.33401983813526,0.8520997184378913,0.7845881905242402,0.8874331319773591,-0.17357156487886924,-0.27455397886097105,-0.12684546470765848,-5.432290094601756,-8.592748822889273,-3.969897730411352,-157.91540972679522,-249.78920996771143,-142.49245896732486,-0.530549506125781,-0.8701094414712891,-0.3808074479794992,-15.422950759470377,-25.293879112537475,-11.069983952892418,0.9135005587954774,0.8858113255014215,0.9417579610933372,-0.09469008023222111,-0.1289085736558414,-0.06184395705988682,-0.6607993254525703,-0.899594744327263,-0.4315810590535851,-32.5356634885559,-44.29319272906268,-21.249682868221814,0.9052732740365764,0.8751356009202652,0.9361236778026883,-0.10463881866415994,-0.14268005889422314,-0.06823491779125279,-0.7302270799629335,-0.995699723155933,-0.476180689024576,-35.95406597552602,-49.02509715194156,-23.44562722917656,-0.0694277545103632,-0.09610497882866996,-0.04459962997099087,-3.4184024869701233,-4.731904422878876,-2.195944360954745,0.8858113255014215,0.8586845772116025,0.9417579610933372,-0.1289085736558414,-0.16457198200448594,-0.06184395705988682,-0.6508385495367414,-0.8308973330831105,-0.3122401417451828,-88.91237015529254,-113.51056462884024,-42.65575706901405,0.8751356009202652,-0.14268005889422314,-0.7203685522613419,0.8457013597981831,-0.18245050503246033,-0.9211631056798332,0.9361236778026883,-0.06823491779125279,-0.3445070693403437,-98.41100440728717,-125.84195432784608,-47.0638072869322,-0.06953000272460053,-0.09026577259672276,-0.03226692759516092,-9.498634251994607,-12.33138969900584,-4.408050217918158,0.3567
48113012209,48113012209,Census Tract 122.09; Dallas County; Texas,1655,1346,417,Dallas city,Texas,0,NA,NA,48113,1655,1346,417,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2948
48113009103,48113009103,Census Tract 91.03; Dallas County; Texas,2103,1221,365,Dallas city,Texas,0,NA,NA,48113,2103,1221,365,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8805
48113018140,48113018140,Census Tract 181.40; Dallas County; Texas,3820,2946,1451,Dallas city,Texas,149158,0.5946999408382015,0.22153945899402236,48113,3820,2946,1451,0.009098,0.006897320142,0.003436016044,0.8171387395073978,0.7363147622419167,0.860121447736547,-0.22378239049446844,-0.3581148325143172,-0.16262651353660637,-7.777413760905333,-12.446051810542285,-5.651980396996091,-203.59721887186737,-325.8128746215258,-147.9576020156045,0.8008024264007549,0.7141178000795472,0.8472581496926126,-0.2487474650826773,-0.40032918922985505,-0.1802778177616852,-8.645058950570796,-13.913184761002505,-6.265440178504001,-226.31044373221977,-364.2194963613221,-203.59721887186737,-0.8676451896654624,-1.4671329504602202,-0.6134597815079097,-22.71322486035242,-38.40662173979634,-16.059156583976694,0.8819957268407271,0.8451098565836881,0.9200882855799748,-0.13379234112840815,-0.1832781172881442,-0.08685222458804942,-1.3543134099877916,-1.855233340766658,-0.8791619270192392,-45.97126306815314,-62.97465515161772,-29.842563714162907,0.8709899204168177,0.8310066202829389,0.9124570929534944,-0.1481189122388968,-0.20335984767428528,-0.09594194370624222,-1.4993341728389076,-2.0585107221797516,-0.9711726384767508,-50.89389588726773,-69.87476993142401,-32.96580578671931,-0.14502076285111598,-0.2032773814130937,-0.0920107114575115,-4.922632819114595,-6.900114779806304,-3.123242072556398,0.8451098565836881,0.809404423962667,0.9200882855799748,-0.1832781172881442,-0.23547632110066655,-0.08685222458804942,-1.8342495102910248,-2.3566497356854375,-0.869218064739587,-126.41278499593554,-162.41555724916867,-59.90475980286609,0.8310066202829389,-0.20335984767428528,-2.0352276994583924,0.7924687240689017,-0.26187945293984166,-2.620892583455509,0.9124570929534944,-0.09594194370624222,-0.9601880784429448,-140.26379734378995,-180.6266425537911,-66.17423007876945,-0.20097818916736787,-0.26424284777007134,-0.09097001370335778,-13.851012347854436,-18.211085304622426,-6.269470275903362,0.4455
48397040303,48397040303,Census Tract 403.03; Rockwall County; Texas,1930,1373,816,Dallas city,Texas,101189,0.4771550010151736,0.2873094141222004,48397,1930,1373,816,0.008732,0.006897320142,0.003436016044,0.8573044317810636,0.7918635562105677,0.8914745189591206,-0.1664467870794556,-0.26284382221788455,-0.12173705331207116,-2.805087755421166,-4.429643853320676,-2.0516053425755403,-145.3413344777806,-229.5152255606568,-106.30079495210052,0.8442062744568558,0.7735980949116595,0.8812919997258203,-0.18454461931520055,-0.2926608875816767,-0.1346976941934241,-3.1100861786104397,-4.932143699800978,-2.27002791279517,-161.14436158603314,-255.55148703632008,-145.3413344777806,-0.3049984231892737,-0.5024998464803021,-0.21842257021962963,-15.803027108252524,-26.036261475663323,-11.31723161759739,0.9087074986527484,0.8795878546510196,0.9384776221708584,-0.10046412237447376,-0.1368960982263158,-0.06555550859788192,-0.4739545697743227,-0.6458278816868707,-0.3092679469993607,-34.519633632507116,-47.0377189866621,-22.52497793149022,0.900049765421893,0.8683746690991839,0.9325375182367897,-0.11104967571571552,-0.15157665876799328,-0.07234291429986242,-0.5238935057953886,-0.7150856285434195,-0.34128855170215283,-38.15684674401957,-52.08198314227382,-24.85714142040443,-0.04993893602106591,-0.06925774685654884,-0.03202060470279211,-3.6372131115124486,-5.044264155611715,-2.3321634889142104,0.8795878546510196,0.8511110312005629,0.9384776221708584,-0.1368960982263158,-0.17493483616281752,-0.06555550859788192,-0.770480431976584,-0.9845705603066692,-0.36896038117491975,-94.42162156575785,-120.65815690032711,-45.21573298712252,0.8683746690991839,-0.15157665876799328,-0.8531057571272734,0.8375000494645717,-0.19402978022427264,-1.0920409772115864,0.9325375182367897,-0.07234291429986242,-0.40716134778403945,-104.54727415775407,-133.82855112887088,-49.89722399314208,-0.08262532515068943,-0.1074704169049171,-0.0382009666091197,-10.125652591996252,-13.170394228543763,-4.681491006019572,0.115
48113009204,48113009204,Census Tract 92.04; Dallas County; Texas,1542,1168,384,Dallas city,Texas,0,NA,NA,48113,1542,1168,384,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6543
48113008102,48113008102,Census Tract 81.02; Dallas County; Texas,2877,2386,985,Dallas city,Texas,0,NA,NA,48113,2877,2386,985,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0374
48113009104,48113009104,Census Tract 91.04; Dallas County; Texas,1863,1189,386,Dallas city,Texas,0,NA,NA,48113,1863,1189,386,0.009098,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6259
