geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
39095002600,39095002600,Census Tract 26; Lucas County; Ohio,523,414,192,Toledo city,Ohio,54403,0.6384209822754806,0.20298165587979553,39095,523,414,192,0.014424,0.007698481651,0.00363660615,0.8026839862660053,0.716662574542279,0.8487430708135402,-0.2458202943002343,-0.3953568046143391,-0.1782128589768356,-1.8544073367679812,-2.98247368552303,-1.3443936113322217,-354.571192498658,-570.2626549757227,-257.0542277881877,0.7852339326104856,0.693180278051692,0.83493730519771725,-0.2735058413427593,-0.4426261560855136,-0.19769471764493152,-2.0632602376411233,-3.339061950222406,-1.4913599216233877,-394.504825552796,-638.4439675377449,-354.571192498658,-0.20885290087314212,-0.3565882646993761,-0.14696631029116602,-39.93363305413808,-68.1813125620222,-28.100632942861573,0.8722618296552405,0.8326334081798404,0.9133406603788584,-0.146444755464363,-0.20100873947158515,-0.09488172746540674,-0.2204806259197767,-0.3026297019207713,-0.14284965408005534,-53.25618983569486,-73.09896181661144,-34.50474736233221,0.8604220963312285,0.8175215612912262,0.9050989714110506,-0.16222026870755718,-0.2232093284739305,-0.10485154837928784,-0.24423152791033376,-0.33605390849958555,-0.15785976726868026,-58.9931226836555,-81.17244166656656,-38.130378567314075,-0.02375090199055704,-0.03342420657881423,-0.01501011318862491,-5.736932847960639,-8.07347984995513,-3.625631204981863,0.8326334081798404,0.7944184965075799,0.9133406603788584,-0.20100873947158515,-0.25878237276221144,-0.09488172746540674,-0.2971127217624264,-0.38250841887592835,-0.14024548567826237,-154.74620925126376,-199.22313483121263,-73.04452379076164,0.8175215612912262,-0.2232093284739305,-0.3299276005610084,0.7763441450716467,-0.28808854468492534,-0.4258261200230767,0.9050989714110506,-0.10485154837928784,-0.15498196248516216,-171.83729195885854,-221.7844375120191,-80.71977212768863,-0.03281487879858197,-0.04331770114714833,-0.01473647680689979,-17.091082707594776,-22.561302680806424,-7.675248336926977,0.9115
39095004503,39095004503,Census Tract 45.03; Lucas County; Ohio,1813,1314,607,Toledo city,Ohio,79685,0.7481397432663318,0.15780300125492866,39095,1813,1314,607,0.014424,0.007698481651,0.00363660615,0.7675255037127025,0.6696238897476666,0.8208472592268611,-0.30288830164308994,-0.49337563266571705,-0.2182534433286397,-7.920744744437573,-12.90212407765896,-5.707482939495578,-436.886086289993,-711.6450125570303,-314.8087666572299,0.7474843371907794,0.6433007137297945,0.8048011488730027,-0.33782067428761564,-0.5544829636548948,-0.24254295784783927,-8.834251160941243,-14.500124291445625,-6.342671038306985,-487.2725405924569,-799.7862267758204,-436.886086289993,-0.9135064165036696,-1.5980002137866638,-0.6351880988114074,-50.386454302463854,-88.14121421879005,-35.035195742493514,0.8483048702525832,0.8021286209434492,0.8966244785395101,-0.17882147688513156,-0.24668285595372236,-0.11529411022647494,-0.8544985133266136,-1.1787741458539842,-0.550932961185207,-65.03032825925521,-89.70883910608707,-41.92792703083767,0.8344631374336621,0.7846363322151201,0.8868938643324624,-0.1983752848273633,-0.27447577806763435,-0.12753063271293355,-0.9479363939859052,-1.3115826375464876,-0.6094051897737404,-72.14127808111911,-99.81603025467942,-46.377868323724535,-0.09343788065929148,-0.13280849169250342,-0.0584722285885334,-7.110949821863887,-10.107191148592346,-4.449941292886865,0.8021286209434492,0.7580215056818734,0.8966244785395101,-0.24668285595372236,-0.3192237852149806,-0.11529411022647494,-1.1527436481868367,-1.491725840995458,-0.5387668823724615,-189.90834401760077,-245.75384530402937,-88.75895920468888,0.7846363322151201,-0.27447577806763435,-1.2826193718462622,0.7373092455369317,-0.3562830061513317,-1.6649027785494224,0.8868938643324624,-0.12753063271293355,-0.5959478871797301,-211.3046741097631,-274.2838185419147,-98.17922358809392,-0.12987572365942546,-0.17317693755396424,-0.05718100480726862,-21.396330092162348,-28.52997323788538,-9.420264383405044,0.2547
39095005000,39095005000,Census Tract 50; Lucas County; Ohio,958,648,180,Toledo city,Ohio,40982,0.6100260448484317,0.22624817569945896,39095,958,648,180,0.014424,0.007698481651,0.00363660615,0.8120423345128731,0.7293652276249396,0.8561155777435416,-0.2314628899241795,-0.3710552164055571,-0.1680665858641349,-3.198398653847178,-5.127312222893538,-2.3223763522551018,-333.86207242663653,-535.2100441433756,-242.41924345042816,0.795310173965104,0.7067072716526653,0.8429186043819207,-0.2573710644419309,-0.4150130331352853,-0.18635416848256775,-3.556402783702975,-5.734729774365735,-2.57507768009247,-371.2320233510412,-598.6147989943355,-333.86207242663653,-0.358004129855797,-0.6074175514721967,-0.25270132783736843,-37.3699509244047,-63.40475485095998,-26.378009168827603,0.8785712744244945,0.8407151866324549,0.9177172972056714,-0.1382115818150862,-0.1894634662251931,-0.08966018516254255,-0.3256984653026209,-0.4464745961957058,-0.21128608994041215,-50.26210884299706,-68.90040064748547,-32.6058780772241,0.867270750223254,0.8262543935214169,0.909870970673148,-0.1530424607800721,-0.2102810076907379,-0.0990569346994026,-0.3606477398463957,-0.4955315653560249,-0.23342972553734137,-55.6555154083944,-76.47092057963347,-36.02310579279959,-0.03494927454377478,-0.0490569691603191,-0.02214363559692919,-5.393406565397342,-7.5705199321480094,-3.4172277155754935,0.8407151866324549,0.8041193031054034,0.9177172972056714,-0.1894634662251931,-0.24359656103034844,-0.08966018516254255,-0.2625445832885114,-0.33755825796099104,-0.12424451225383731,-145.85810182695076,-187.5323655338839,-69.02472902990962,0.8262543935214169,-0.2102810076907379,-0.29139200626696843,0.7867785955674059,-0.27100559882265723,-0.3755396933738089,0.909870970673148,-0.0990569346994026,-0.1372658389537781,-161.88444792609357,-208.6331629854494,-76.25879941876562,-0.02884742297845705,-0.03798143541281784,-0.01302132669994078,-16.026346099142806,-21.100797451565462,-7.234070388855992,0.5675
39095007901,39095007901,Census Tract 79.01; Lucas County; Ohio,1432,940,345,Toledo city,Ohio,60524,0.7686426012353508,0.16426687099646542,39095,1432,940,345,0.014424,0.007698481651,0.00363660615,0.7611283725652955,0.6611825472544992,0.8157370347905659,-0.31383881621652754,-0.5124416156361199,-0.2258852514361349,-6.4823934738735005,-10.584567661155484,-4.665697817135607,-452.68110851071935,-739.1457863935393,-325.8168866714809,0.7406340979071667,0.6343858966970974,0.7992915061914353,-0.3501943845493095,-0.576327603129982,-0.25110800284232443,-7.233323845522592,-11.904143465687104,-5.186677984852689,-505.120380273924,-831.2949347546861,-452.68110851071935,-0.7509303716490914,-1.3195758045316204,-0.5209801677170818,-52.4392717632047,-92.14914836114669,-36.381296628287835,0.8439016122305983,0.7965534559189906,0.8935348661904812,-0.1849722592149135,-0.2554085260308002,-0.11915050865717748,-0.6323109801139276,-0.8730910035344805,-0.4073052642048206,-67.26712554403485,-92.88202165260432,-43.33034725583198,0.8296998245244881,0.7786394772710173,0.8835327535470171,-0.2052551663164605,-0.28429142008675057,-0.1318199534600333,-0.7016462681369703,-0.971824571078928,-0.4506146182387427,-74.6432200145713,-103.38559266797104,-47.9377253445471,-0.06933528802304267,-0.0987335675444474,-0.04330935403392211,-7.376094470536455,-10.503571015366743,-4.607378088715119,0.7965534559189906,0.751407361976811,0.8935348661904812,-0.2554085260308002,-0.33083604260835114,-0.11915050865717748,-0.6783589586491895,-0.8786926452108966,-0.3164609115885861,-196.6257851157071,-254.69352035098456,-91.72780046045972,0.7786394772710173,-0.28429142008675057,-0.7550712369707308,0.730235581124673,-0.3694210825222308,-0.9811735917250328,0.8835327535470171,-0.1318199534600333,-0.3501106550669705,-218.8612281074582,-284.39814252899504,-101.48134929477406,-0.07671227832154126,-0.1024809465141362,-0.0336497434783844,-22.23544299175109,-29.70462217801049,-9.753548834314318,0.2795
39095006500,39095006500,Census Tract 65; Lucas County; Ohio,1775,781,312,Toledo city,Ohio,64253,0.6099047281860678,0.23423324708260823,39095,1775,781,312,0.014424,0.007698481651,0.00363660615,0.8120825509968574,0.7294199796080673,0.856147213591264,-0.23140190461236712,-0.3709523017690317,-0.16802342415543178,-5.924490403028591,-9.497343401271811,-4.301836519281858,-333.7741072128784,-535.0616000716515,-242.35698700179483,0.7953535006765164,0.7067656280771497,0.8429528674464304,-0.25730256942279645,-0.41489619793853527,-0.18630594736490405,-6.587614763904089,-10.622421397341144,-4.769916648004693,-371.1332261354417,-598.4462759065433,-333.7741072128784,-0.6631243608754973,-1.1250779960693311,-0.46808012872283467,-37.359118922563226,-63.38467583489189,-26.3707114773428,0.8785983290479051,0.840749883580985,0.917736041199482,-0.13817653293701576,-0.1894143781985731,-0.08963792976137125,-0.3924475246117191,-0.5379727097638337,-0.2545886982285506,-50.24936294644291,-68.88254926553569,-32.59778466434707,0.8673001275684816,0.8262919037536052,0.9098914128034664,-0.15300340471936624,-0.21022606594266408,-0.09903224267047415,-0.4345586487298147,-0.5970818447562677,-0.28127032620285997,-55.64131225733863,-76.45094042973977,-36.01412627437387,-0.04211112411809559,-0.05910913499243397,-0.02668162797430934,-5.391949310895722,-7.568391164204094,-3.4163416100268043,0.840749883580985,0.8041610026727296,0.917736041199482,-0.1894143781985731,-0.24353207464223584,-0.08963792976137125,-0.45495937187915425,-0.5849460889157231,-0.21530369874048153,-145.82031149972892,-187.4827208063215,-69.00759575015434,0.8262919037536052,-0.21022606594266408,-0.5049475115011127,0.7868234760386893,-0.27093310056603914,-0.6507613330471312,0.9098914128034664,-0.09903224267047415,-0.23786814575347964,-161.8421511221515,-208.577350335619,-76.23979030560245,-0.04998813962195847,-0.06581524413140816,-0.02256444701299811,-16.021839622422586,-21.094629529297485,-7.232194555448115,0.4921
39095006801,39095006801,Census Tract 68.01; Lucas County; Ohio,2187,1254,489,Toledo city,Ohio,79037,0.6671186525199833,0.2449530369094488,39095,2187,1254,489,0.014424,0.007698481651,0.00363660615,0.7933354402150056,0.7040492585030262,0.8413564677381947,-0.260500854126705,-0.42035516396428624,-0.18855685829370775,-8.217574467672899,-13.260224709540632,-5.9480803992502,-375.7464319923593,-606.3202885020864,-271.97441240284405,0.7751799680249457,0.6797721221993761,0.826947695721288,-0.29002301562031524,-0.4710812158117622,-0.209266323824472,-9.148859554371343,-14.860392624172194,-6.601366453744231,-418.3291977307427,-679.4875456868858,-375.7464319923593,-0.9312850866984448,-1.6001679146315624,-0.6532860544940311,-42.582765738383394,-73.16725718479938,-29.871333081574356,0.8659311538951189,0.8245443999185061,0.9089385690182146,-0.1548262185761704,-0.2127909668646528,-0.10018436238231695,-0.7060546412338032,-0.9703915212106108,-0.4568711597401966,-56.30419786553455,-77.38369387644424,-36.43310683733625,0.8535553742702674,0.808789400577286,0.9003015243430407,-0.17157015249881466,-0.23641580773219145,-0.11073898350856436,-0.7824120719539686,-1.0781279801665555,-0.5050034418638801,-62.39330717336272,-85.97511803561049,-40.27140684719937,-0.07635743072016532,-0.10773645895594464,-0.04813228212368353,-6.089109307828175,-8.591424159166237,-3.838300009863121,0.8245443999185061,0.784733167259225,0.9089385690182146,-0.2127909668646528,-0.2743185094273768,-0.10018436238231695,-0.8010638360600724,-1.0326878095532457,-0.3771497955280095,-163.81673539060785,-211.18360113563307,-77.12674755174018,0.808789400577286,-0.23641580773219145,-0.8900009085801511,0.7659390461430929,-0.3055869197888884,-1.1503995391475992,0.9003015243430407,-0.11073898350856436,-0.41688327393703534,-182.004275783262,-235.25552947803664,-85.25220325910743,-0.08893707252007876,-0.1177117295943535,-0.03973347840902586,-18.187540392654142,-24.071928342403577,-8.125455707367252,0.7532
39095001601,39095001601,Census Tract 16.01; Lucas County; Ohio,702,539,248,Toledo city,Ohio,44661,0.669835425279565,0.18566755188411824,39095,702,539,248,0.014424,0.007698481651,0.00363660615,0.7924560865319656,0.702866735960176,0.8406605269793761,-0.26189957651320606,-0.4227448089913013,-0.1895408050062198,-2.6519029231217917,-4.2805651296731515,-1.9192234731296196,-377.7639491626484,-609.7671124890529,-273.39365714097147,0.7742348677711498,0.6785163064471889,0.8261953022909431,-0.29159773297058794,-0.4738039314576639,-0.2103675695409025,-2.9526160016581677,-4.797571830956432,-2.1301079597867,-420.600570036776,-683.4147907345346,-377.7639491626484,-0.3007130785363761,-0.5170067012832806,-0.21088448665708048,-42.83662087412765,-73.64767824548157,-30.04052516482628,0.8653342226687627,0.8237827074483919,0.9085229294774436,-0.15562284930314768,-0.21391234722252012,-0.1006876849824488,-0.3050411268515727,-0.41929616207651976,-0.19736102394123897,-56.59390108563501,-77.7914957470352,-36.61614544364359,0.8529081566276705,0.8079675862912199,0.8998486757075219,-0.1724591824211398,-0.2376734128534271,-0.1112979626421435,-0.3380425405215953,-0.4658709566372273,-0.21815855507509335,-62.71661234166889,-86.43245948742621,-40.47468554268894,-0.03300141367002263,-0.04657479456070751,-0.0207975311338544,-6.122711256033883,-8.640963740391005,-3.858540099045345,0.8237827074483919,0.7838224102379567,0.9085229294774436,-0.21391234722252012,-0.2757991949942015,-0.1006876849824488,-0.4084064694436982,-0.5265622904218109,-0.19223528923912445,-164.68002800149117,-212.3235042023431,-77.51422953190502,0.8079675862912199,-0.2376734128534271,-0.4537716531300987,0.7649612637727787,-0.30725573615062984,-0.58661985643619,0.8998486757075219,-0.1112979626421435,-0.21249268015216785,-182.9724407782656,-236.54026469201207,-85.68253231942252,-0.04536518368640058,-0.06005756601437906,-0.0202573909130434,-18.292412776774427,-24.216760489668975,-8.168302787517502,0.5606
39095010600,39095010600,Census Tract 106; Lucas County; Ohio,1387,727,223,Toledo city,Ohio,77187,0.52657253461073394,0.2532680791942249,39095,1387,727,223,0.014424,0.007698481651,0.00363660615,0.8401831151266166,0.7680169483292869,0.8781563610997339,-0.19021673013423843,-0.30205459941393176,-0.13874936662495807,-3.805492642137826,-6.042930896679867,-2.7758320386431743,-274.3686115456255,-435.6835541946552,-200.1320864198395,0.82567920020577,0.7480108275823474,0.8668202266595402,-0.21112412635656436,-0.3368790438931334,-0.15364174628653268,-4.223767850812546,-6.73963179748189,-3.073770296682046,-304.52543985670843,-485.9143329114556,-274.3686115456255,-0.4182752086747201,-0.6967009008020222,-0.29793825803887186,-30.15682831108292,-50.23077871680045,-21.480768423855217,0.8973803240764028,0.8649246832287097,0.9307021287337828,-0.11435472025667034,-0.15617003351906034,-0.07445762626598548,-0.30233245840896317,-0.41288431345599497,-0.1968520157783177,-41.5863078966937,-56.792890434112095,-27.077306159328437,0.8877163059860024,0.8524641427678934,0.9240421415808526,-0.12648601051580563,-0.17306986866693028,-0.08220172544208705,-0.3344053173122505,-0.4575643117585896,-0.2173259633059629,-45.99798037307434,-62.938694877385096,-29.893530028330524,-0.03207285890328731,-0.04467999830259467,-0.02047394752764517,-4.411672476380649,-6.145804443272995,-2.8162238690020867,0.8649246832287097,0.8333213627237738,0.9307021287337828,-0.15617003351906034,-0.20001723792538392,-0.07445762626598548,-0.2681066866586066,-0.34338187503965606,-0.12782597931761217,-120.22721374825409,-153.98290360522694,-57.32106695857048,0.8524641427678934,-0.17306986866693028,-0.2971196714449554,0.8182646073734148,-0.2220985619920016,-0.381290240038587,0.9240421415808526,-0.08220172544208705,-0.14112074992420767,-133.2375208273343,-170.98217042089104,-63.2828474996447,-0.02901298478634878,-0.03790836499893096,-0.0132947706065955,-13.010307079080173,-16.99926681566411,-5.961780541074218,0.9316
39095000302,39095000302,Census Tract 3.02; Lucas County; Ohio,1638,1117,305,Toledo city,Ohio,42012,0.6651276516483634,0.17493800435283435,39095,1638,1117,305,0.014424,0.007698481651,0.00363660615,0.7939804986043382,0.7049171393036875,0.8418668572968117,-0.2594767777770407,-0.4186064492456424,-0.1878362847195876,-6.130531203870586,-9.890210296379562,-4.437916234962754,-374.2693042656035,-603.7979423919147,-270.9350570795332,0.7758733220643923,0.6806939288299179,0.827499526144656,-0.2888701951231759,-0.4690890540465887,-0.208459906507776,-6.824995131520057,-11.082938164500376,-4.925180482624849,-416.6663694456689,-676.6140515567996,-374.2693042656035,-0.6944639276494717,-1.192727868120814,-0.487264247662095,-42.397065180065425,-72.81610916488486,-29.747512067282965,0.866368879460381,0.8251030573159852,0.9092432933248707,-0.15424275237454435,-0.2119698153257908,-0.0998156459788172,-0.6265477984779438,-0.861040269909427,-0.40546004450062567,-56.092014187819494,-77.08507340281352,-36.29901920327894,0.8540300028752333,0.8093922021169401,0.9006335414913315,-0.17091905042367891,-0.2354949768289479,-0.11032951131725638,-0.6942884065038913,-0.9566015713107998,-0.4481683019706202,-62.15652699229108,-85.64024810302595,-40.12249793828291,-0.0677406080259475,-0.09556130140137288,-0.04270825746999446,-6.064512804471576,-8.555174700212433,-3.82347873500398,0.8251030573159852,0.7854012921021523,0.9092432933248707,-0.2119698153257908,-0.2732344726903457,-0.0998156459788172,-0.49771294882469497,-0.6415646252003224,-0.234370820310444,-163.18457338514588,-210.34905744272865,-76.8428919050636,0.8093922021169401,-0.2354949768289479,-0.5529508961961992,0.7666564124737746,-0.30436527201708824,-0.714660890856679,0.9006335414913315,-0.11032951131725638,-0.25905776412410697,-181.29537580203257,-234.3150461825177,-84.9369718439695,-0.05523794737150422,-0.07309626565635663,-0.02468694381366298,-18.11080241688663,-23.965988739789054,-8.094079938905898,0.3219
39095001602,39095001602,Census Tract 16.02; Lucas County; Ohio,834,639,414,Toledo city,Ohio,39948,0.6668642016089099,0.19480891234523873,39095,834,639,414,0.014424,0.007698481651,0.00363660615,0.7934178497837984,0.7041601145249643,0.8414216785305111,-0.26036993026120353,-0.42013155725898105,-0.1884647442723793,-3.1321502789890583,-5.054021303307555,-2.2671585031349224,-375.55758740876,-605.9977581903543,-271.8415471384799,0.7752685444744447,0.6798898599402805,0.8270181994115011,-0.28987562713240345,-0.47082646605118805,-0.20916323330198924,-3.487092482161995,-5.663861589232829,-2.5161533779413428,-418.1166045757787,-679.1200946322336,-375.55758740876,-0.35494220317293657,-0.6098402859252738,-0.24899487480642035,-42.55901716701877,-73.12233644187936,-29.855500576309392,0.8659870831138784,0.8246157755275473,0.9089775072450524,-0.15475163486762855,-0.2126859922856203,-0.10013723335225357,-0.3596105073855082,-0.4942378648538685,-0.23269803465913308,-56.27707470821725,-77.34551875647394,-36.41596786527904,0.8536160173400102,0.8088664138885147,0.9003439494786727,-0.17148692115237388,-0.23629808684061537,-0.11068664434189988,-0.398499820556557,-0.5491074454603644,-0.2572126644518975,-62.36303921072879,-85.9323075837816,-40.25237315366158,-0.03888931317104882,-0.05486958060649594,-0.02451462979276442,-6.085964502511553,-8.58678882730766,-3.8364052883825384,0.8246157755275473,0.7848185222626286,0.9089775072450524,-0.2126859922856203,-0.2741799175648965,-0.10013723335225357,-0.6778667125407282,-0.873858392680664,-0.31915452656731086,-163.7359209035575,-211.07690644460484,-77.09046535442292,0.8088664138885147,-0.23629808684061537,-0.753122505083477,0.7660306884961523,-0.3054307288434736,-0.9734600847243576,0.9003439494786727,-0.11068664434189988,-0.3527773075974279,-181.91364857088817,-235.13528616530377,-85.21191004768791,-0.07525579254274883,-0.09960169204369362,-0.03362278103011706,-18.177727667330636,-24.058379720698944,-8.121444693264992,0.1943
39095000703,39095000703,Census Tract 7.03; Lucas County; Ohio,556,406,79,Toledo city,Ohio,46591,0.6598260013891897,0.19820141569455532,39095,556,406,79,0.014424,0.007698481651,0.00363660615,0.7957007232825493,0.7072333588310676,0.8432274363855589,-0.2567539160636217,-0.413960452392721,-0.18591966633158527,-2.059100677827734,-3.3198568543138105,-1.491028128544733,-370.341848530168,-597.096556531261,-268.1705267166786,0.7777226156194292,0.6831546221206928,0.8289707402971086,-0.28580547860696387,-0.46379745905214737,-0.20631519472158136,-2.292086772225327,-3.719536889448705,-1.654595044977234,-412.24582234268473,-668.9814549368175,-370.341848530168,-0.2329860943975932,-0.3996800351348946,-0.16356691643250088,-41.90397381251677,-71.88489840555658,-29.418510149730377,0.8675355373426127,0.8265925004818893,0.910055213511523,-0.1526905319211997,-0.2097859579139868,-0.09883442801389784,-0.2254417829371509,-0.3097410153218601,-0.1459252868313117,-55.52753274314061,-76.29089047336456,-35.94218887470732,0.8552951345160217,0.8109995379119338,0.9015182361799629,-0.16918705560725678,-0.23304632524783228,-0.10923990205382618,-0.24979827489022724,-0.3440840660502539,-0.16128857485154283,-61.5266686921742,-84.74976996311672,-39.72624996343419,-0.02435649195307637,-0.03434305072839377,-0.01536328802023112,-5.99913594903359,-8.45887948975216,-3.784061088726878,0.8265925004818893,0.7871831547183886,0.910055213511523,-0.2097859579139868,-0.27035238750471696,-0.09883442801389784,-0.12758763446342455,-0.1644229286662193,-0.06010912741361374,-161.50333476382855,-208.1302894509105,-76.08750305520728,0.8109995379119338,-0.23304632524783228,-0.14173412584151976,0.7685698984831933,-0.30111783192855224,-0.183133858207378,0.9015182361799629,-0.10923990205382618,-0.06643752913995501,-179.41028587534146,-231.8150103890861,-84.0981381518418,-0.0141464913780952,-0.01871092954115871,-0.00632840172634126,-17.906951111512917,-23.68472093817559,-8.010635096634518,0.2105
