geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06067009637,06067009637,Census Tract 96.37; Sacramento County; California,4144,3246,1234,Elk Grove city,California,75510,0.561390484923539,0.24076378030288537,06067,4144,3246,1234,0.011058,0.009493868073,0.003212018401,0.828325738087463,0.7516479432215875,0.8688924840643744,-0.2072545304567246,-0.330410079636442,-0.15089037866037308,-9.497304557243668,-15.140827793608349,-6.914453825146224,-229.18205977904603,-365.3674660619775,-166.85458072264055,0.8128703296182451,0.7304927680870933,0.8567668306747365,-0.23020851366249043,-0.3689389459921041,-0.16717870510050203,-10.54915596346677,-16.906388127651166,-7.6608558294296,-254.5645744079819,-407.9726864780687,-229.18205977904603,-1.0518514062231024,-1.7655603340428172,-0.7464020042833761,-25.382514628935866,-42.60522041609115,-18.011631377494595,0.8894844643761985,0.8547405280568807,0.9252624909585888,-0.12424672948201151,-0.1699456936637181,-0.08077438540060333,-1.295422708295502,-1.7718897846794837,-0.8421708445187172,-39.908278136029026,-54.58686952185717,-25.944881223620367,0.8791281850722934,0.8414294853260038,0.9181030970724988,-0.13749054686236337,-0.18845371767850463,-0.08920229458831053,-1.433505552411816,-1.9648583617550208,-0.9300420101479812,-44.1622166485464,-60.53168089202159,-28.651941162907615,-0.138082844116314,-0.19296857707553716,-0.087871165629264,-4.253938512517375,-5.944811370164423,-2.707059939287246,0.8547405280568807,0.8210110998087159,0.9252624909585888,-0.1699456936637181,-0.21801032925497113,-0.08077438540060333,-1.990987422098779,-2.554085449750517,-0.9463069165999956,-161.34419952178112,-206.97613044979877,-76.68613586709851,0.8414294853260038,-0.18845371767850463,-2.2078169411465405,0.8049778522038441,-0.24227020316426115,-2.838300382025736,0.9181030970724988,-0.08920229458831053,-1.0450435237217923,-178.91547335061105,-230.00813468604025,-84.68748166303018,-0.21682951904776135,-0.2842149322752192,-0.09873660712179688,-17.571273828829934,-23.032004236241427,-8.001345795931675,0.461
06067009622,06067009622,Census Tract 96.22; Sacramento County; California,5032,3768,1453,Elk Grove city,California,101195,0.6286632146632201,0.19971210488496663,06067,5032,3768,1453,0.011058,0.009493868073,0.003212018401,0.8058877061950424,0.7210026268351171,0.8512694053747606,-0.24086766966758796,-0.3869574988784134,-0.1747162457456845,-13.402805926038832,-21.531807345710597,-9.721885619133484,-266.3514691184188,-427.89760225974953,-193.20122454557796,0.7886820992415009,0.6977993036024981,0.8376714766563739,-0.267937995501267,-0.4330768099614653,-0.19378542527384615,-14.90910323860115,-24.09806365043514,-10.782968298836655,-296.28583542530106,-478.8963364553883,-266.3514691184188,-1.5062973125623174,-2.5662563047245435,-1.0610826797031745,-29.934366306882303,-50.99873419563878,-21.086698722241145,0.8744249098934277,0.8354018683619715,0.9148423091415429,-0.14360877496259458,-0.19702868508154897,-0.09308455676734756,-1.7380805364675058,-2.3846155832415072,-1.1265917170115272,-46.12740277249219,-63.28597620067695,-29.898930918564947,0.8627694785340154,0.8205120934180568,0.9067360141191292,-0.15905815502324142,-0.21875107999230048,-0.1028568231862658,-1.925062611837855,-2.6475192380472254,-1.244864336942453,-51.0897720763762,-70.26324941738922,-33.037800874268925,-0.1869820753703495,-0.2629036548057182,-0.11827261993092586,-4.962369303884009,-6.977273216712266,-3.138869955703977,0.8354018683619715,0.7977388565558126,0.9148423091415429,-0.19702868508154897,-0.25354305081419404,-0.09308455676734756,-2.7179299900315717,-3.497522511946813,-1.2840633247999202,-187.0564342760889,-240.71042752558932,-88.37325015828769,0.8205120934180568,-0.21875107999230048,-3.017581528378917,0.7799141879771344,-0.28219234297263235,-3.892727759945942,0.9067360141191292,-0.1028568231862658,-1.4188677364497426,-207.67938942731703,-267.909687539294,-97.6509109738295,-0.29965153834734526,-0.39520524799912904,-0.13480441164982238,-20.622955151228165,-27.19926001370468,-9.277660815541802,0.3174
06067009651,06067009651,Census Tract 96.51; Sacramento County; California,2555,2019,604,Elk Grove city,California,77488,0.49949506174753566,0.21895303140059835,06067,2555,2019,604,0.011058,0.009493868073,0.003212018401,0.8495216503397071,0.7809929295236828,0.8854289786734882,-0.177133036692025,-0.2804213229047882,-0.12939606008621624,-5.004573340936753,-7.922796916080333,-3.655851470867283,-195.87371197404124,-310.0898988681148,-143.08616324333792,0.8357798503849387,0.7619242783181607,0.8747200971916462,-0.19648732801996324,-0.31246638078964695,-0.14322284718342954,-5.551393811140345,-8.828172025062246,-4.0465023138144,-217.27568732447537,-345.5253238771916,-195.87371197404124,-0.5468204702035919,-0.9053751089819126,-0.3906508429471161,-21.401975350434125,-35.435425009076816,-15.289661172098477,0.9035692506515856,0.8729285737389261,0.9349545613191264,-0.1067220351720422,-0.14556909933283754,-0.06957069506041126,-0.6920993512040681,-0.9440250932359494,-0.4511704901101852,-34.27931407647687,-46.757062567407104,-22.34623527044008,0.8944531283221064,0.8611455873378085,0.9286874040964644,-0.11800156803731866,-0.16124382996776818,-0.07678858956089417,-0.7652478567152138,-1.0456767426375528,-0.49797900620332936,-37.90232078827211,-51.791814890418664,-24.66463626564286,-0.07314850551114571,-0.10165164940160344,-0.04680851609314412,-3.6230067117952305,-5.034752323011562,-2.31840099520278,0.8729285737389261,0.8430223447771723,0.9349545613191264,-0.14556909933283754,-0.1862081784609399,-0.06957069506041126,-0.8347363500411207,-1.0677728717747692,-0.3989389803928762,-138.2013824571392,-176.78358804218033,-66.04950006504572,0.8611455873378085,-0.16124382996776818,-0.9246199001767378,0.8287489565242933,-0.2066380200271019,-1.1849236370059557,0.9286874040964644,-0.07678858956089417,-0.440328526236936,-153.08276492992348,-196.17941010032376,-72.90207388028742,-0.08988355013561711,-0.11715076523118628,-0.04138954584405979,-14.88138247278429,-19.395822058143423,-6.852573815241687,0.4117
06067009652,06067009652,Census Tract 96.52; Sacramento County; California,2728,1926,606,Elk Grove city,California,231281,0.6607525005879398,0.26991488069598096,06067,2728,1926,606,0.011058,0.009493868073,0.003212018401,0.7953998338778195,0.706828035734572,0.8429895075397775,-0.25722932971294643,-0.4147712731297488,-0.18625438520397447,-7.759637579490597,-12.512083133997184,-5.618591505045379,-284.44419279657615,-458.65407382687624,-205.96009915855495,0.7773991215350691,0.6827239588211439,0.8287134472038915,-0.28634053255087094,-0.4647208246898133,-0.20668972293623977,-8.637812645208864,-14.018872495057638,-6.235048480592547,-316.6353608947531,-513.8882879419955,-284.44419279657615,-0.878175065718267,-1.506789361060454,-0.6164569755471678,-32.191168098176945,-55.23421411511928,-22.597396464338996,0.8673315427714714,0.8263320164867352,0.9099132727125164,-0.15296164233183518,-0.21016731779513795,-0.09900583933557588,-0.9462738645076098,-1.3001680484821327,-0.612484520750967,-49.131560981703515,-67.5061292046798,-31.800857775231933,0.8550739091532603,0.8107184151365212,0.9013635671656034,-0.16948954855873594,-0.23347389343759345,-0.109430241500181,-1.0485212348883457,-1.4443506230506016,-0.6769734943989008,-54.44035487478429,-74.99224418746634,-35.14919493244552,-0.10224737038073572,-0.14418257456846884,-0.06448897364793371,-5.308793893080774,-7.486114982786543,-3.3483371572135883,0.8263320164867352,0.7868714709444279,0.9099132727125164,-0.21016731779513795,-0.2708555805178304,-0.09900583933557588,-1.2091522777724026,-1.558309091852899,-0.5696087165278063,-199.53007884033048,-257.1467148272111,-93.99483771085912,0.8107184151365212,-0.23347389343759345,-1.3432416277284205,0.7682351598340869,-0.30168476045273246,-1.7356781211159469,0.9013635671656034,-0.109430241500181,-0.6295832632555443,-221.65703427861723,-286.41553153728495,-103.8916275999248,-0.13408934995601784,-0.17736902926304787,-0.05997454672773794,-22.12695543828677,-29.268816710073907,-9.896789889065667,0.2879
06067009308,06067009308,Census Tract 93.08; Sacramento County; California,4388,2928,1316,Elk Grove city,California,92293,0.5318528769731127,0.21104896154799868,06067,4388,2928,1316,0.011058,0.009493868073,0.003212018401,0.8383740164095596,0.7655117526502809,0.8767451131282924,-0.19278505825195263,-0.3063156725391824,-0.14058234830864916,-9.354413760170605,-14.863203446045167,-6.821407558135822,-213.1817174150092,-338.72387069382785,-155.45596075970423,0.8237237554255598,0.7453273342965097,0.8652880166825286,-0.21399922414932757,-0.3416923732494899,-0.15568455903729075,-10.383778209782642,-16.579769547767867,-7.554204638625176,-236.6403420643264,-377.84342633928594,-213.1817174150092,-1.0293644496120375,-1.7165661017227,-0.7327970804893544,-23.458624649317173,-39.119555645458064,-16.70002462373187,0.896178378039396,0.8633724272284056,0.929875123818748,-0.1158492823579816,-0.15824870989938336,-0.0754132188129391,-1.089538158108738,-1.4882958650885352,-0.7092454769689818,-37.21100266764815,-50.82977681313304,-24.22286465057998,0.8864084912935345,0.8507814110996716,0.9231389860504294,-0.12814803763973606,-0.17539004373339198,-0.08326050043494944,-1.2052053672961558,-1.6495065080282325,-0.7830475117384845,-41.16138549508729,-56.33560478238499,-26.743425947352616,-0.1156672091874178,-0.16121064293969734,-0.07380203476950276,-3.9503828274391326,-5.505827969251958,-2.520561296772635,0.8633724272284056,0.8314426346542293,0.929875123818748,-0.15824870989938336,-0.20272879729804616,-0.0754132188129391,-1.9771483648514685,-2.5328794802876216,-0.9422075058873484,-150.2392374507195,-192.4680456145609,-71.59631503703254,0.8507814110996716,-0.17539004373339198,-2.1913109964636415,0.8162355755017789,-0.2251365047220005,-2.8128398169090705,0.9231389860504294,-0.08326050043494944,-1.0402508961769217,-166.5129936522524,-213.7416274247014,-79.0464206821369,-0.2141626316121732,-0.2799603366214489,-0.09804339028957344,-16.273756201532915,-21.273581810140495,-7.4501056451043635,0.6336
06067009310,06067009310,Census Tract 93.10; Sacramento County; California,4084,2912,1417,Elk Grove city,California,137797,0.544877406114183,0.26394856161394553,06067,4084,2912,1417,0.011058,0.009493868073,0.003212018401,0.8339283176762482,0.7593673010165058,0.8732738078390877,-0.1991438338327599,-0.31688577933416134,-0.14511621787271475,-8.99350918931054,-14.310838119130304,-6.553574940473783,-220.21325145226592,-350.4122947877156,-160.46951372364796,0.8189202183383467,0.7387492982393625,0.8615202262028852,-0.2211201745990328,-0.3536391877234508,-0.16073885392970835,-9.985979901684573,-15.970654090962734,-7.259106807746256,-244.5146890716105,-391.0542137845919,-220.21325145226592,-0.9924707123740308,-1.6598159718324297,-0.7055318672724731,-24.301437619344533,-40.641918996876335,-17.27551095182353,0.8932205279357758,0.8595555216578986,0.9278383681982376,-0.11954435520082658,-0.16339197969575492,-0.07777392515238687,-1.1181458830818205,-1.5282701480841945,-0.7274504435961334,-38.39786686407351,-52.48180453585832,-24.98112787074634,0.8831908580089103,0.8466449610819764,0.9209150285958166,-0.13225809679962883,-0.18113264233220305,-0.08587651297728274,-1.2370625630319965,-1.694205619121398,-0.8032371689793287,-42.48154406016471,-58.18013801927878,-27.583693989674753,-0.11891667995017596,-0.16593547103720385,-0.07578672538319531,-4.083677196091208,-5.698333483420462,-2.60256611892841,0.8595555216578986,0.826826639806367,0.9278383681982376,-0.16339197969575492,-0.2094433728383355,-0.07777392515238687,-2.198081431475011,-2.817602122446184,-1.0462779204261663,-155.12218994177917,-198.84277504913084,-73.83753849161373,0.8466449610819764,-0.18113264233220305,-2.436743213992432,0.8112522362249113,-0.2326622415901241,-3.129961176777955,0.9209150285958166,-0.08587651297728274,-1.1552805035270175,-171.96494100158307,-220.8864627225092,-81.53002847755947,-0.2386617825174211,-0.3123590543317709,-0.1090025831008512,-16.842751059803888,-22.04368767337833,-7.692489985945746,0.6625
06067009323,06067009323,Census Tract 93.23; Sacramento County; California,3539,2466,1168,Elk Grove city,California,110283,0.5836377642375092,0.23022772937324423,06067,3539,2466,1168,0.011058,0.009493868073,0.003212018401,0.8208371198372718,0.7413719527089913,0.8630244731415188,-0.21826849180291288,-0.3488505956368804,-0.15871569245293002,-8.541776344560045,-13.652010608509736,-6.211221491964386,-241.36129823566105,-385.7589886552624,-175.50781271445,0.8047902135790311,0.7195148589682003,0.8504042510433287,-0.24255984121978777,-0.3898253629313804,-0.17591133719420843,-9.492400376973572,-15.255527887201728,-6.884160358528497,-268.22267242084126,-431.06888632952047,-241.36129823566105,-0.9506240324135272,-1.6035172786919922,-0.6729388665641114,-26.8613741851802,-45.309897674258046,-19.014943954905664,0.8844757417225818,0.8482961381140041,0.9218034386653022,-0.13061325803286156,-0.17883361136510112,-0.08482997356564448,-1.0345663761409332,-1.4165119531406214,-0.6719244252973116,-41.95321882161124,-57.44168504219876,-27.247543604919365,0.8736842742127073,0.83445368881597,0.9143282876526124,-0.1445782298200549,-0.19838885417227684,-0.09369907231825413,-1.1451806466398131,-1.5714058512813889,-0.7421751141960976,-46.438793456602326,-63.722865015465885,-30.096314444286197,-0.11061427049888016,-0.15489389814076726,-0.07025068889878605,-4.485574634991086,-6.281179973267124,-2.848770839366831,0.8482961381140041,0.8132407250550341,0.9218034386653022,-0.17883361136510112,-0.22964820770913488,-0.08482997356564448,-1.9830569291559184,-2.546531751439588,-0.9406658267165814,-169.78227133184234,-218.0249787191428,-80.53645776683061,0.83445368881597,-0.19838885417227684,-2.1999018469209908,0.796601336618802,-0.25533306816246343,-2.831347005728613,0.9143282876526124,-0.09369907231825413,-1.0390138251855252,-188.34776086652317,-242.4098463808744,-88.95666311519908,-0.2168449177650724,-0.28481525428902543,-0.09834799846894382,-18.565489534680857,-24.38486766173163,-8.420205348368478,0.3709
06067009632,06067009632,Census Tract 96.32; Sacramento County; California,4070,3100,1032,Elk Grove city,California,76061,0.5150931483023091,0.204244206679747,06067,4070,3100,1032,0.011058,0.009493868073,0.003212018401,0.844129548861088,0.7734915284043189,0.881232235553317,-0.18465228630986164,-0.29283898178297924,-0.1347746481063643,-8.310471876798811,-13.17952878446367,-6.065675899153918,-204.18849820144496,-323.82134605561845,-149.03380587601765,0.8299463386758437,0.753878083174875,0.8701605956862545,-0.20489717635898272,-0.3264744291127412,-0.14921315094870197,-9.221614613042956,-14.693327745113775,-6.715496024386337,-226.57529761776308,-361.0154237128692,-204.18849820144496,-0.9111427362441464,-1.5137989606501066,-0.6498201252324192,-22.386799416318095,-37.19407765725077,-15.966096443056983,0.8999989016205568,0.8683089001529734,0.9325025636872364,-0.11111246713676992,-0.15166388346799867,-0.0723831107186129,-1.1063753959738196,-1.5101562718456274,-0.7207372390043955,-35.68952890238128,-48.71471844663314,-23.2495883549805,0.8905661368312929,0.856133868129393,0.92600863805527,-0.12288123098648428,-0.1680416313688733,-0.07990353318962638,-1.2235600027049685,-1.6732337174817276,-0.795620018620982,-39.46967750661189,-53.97528120908799,-25.66516189099942,-0.11718460673114885,-0.16307744563610016,-0.07488277961658651,-3.7801486042306074,-5.2605627624548434,-2.41557353601892,0.8683089001529734,0.8374203490220596,0.9325025636872364,-0.15166388346799867,-0.1941434205268609,-0.0723831107186129,-1.4859529619187135,-1.9021535264181124,-0.7091859663998906,-143.9876901084025,-184.3172021722977,-68.7195703875863,0.856133868129393,-0.1680416313688733,-1.6464167615153902,0.8226931114063332,-0.21552008414240129,-2.111595061799571,0.92600863805527,-0.07990353318962638,-0.7828685979542941,-159.53650789877813,-204.61192459298172,-75.85936026688896,-0.16046379959667667,-0.2094415353814587,-0.07368263155440347,-15.548817790375647,-20.294722420683986,-7.139789879302661,0.5475
06067009646,06067009646,Census Tract 96.46; Sacramento County; California,2400,2056,670,Elk Grove city,California,55841,0.5942289615949742,0.23554148720448276,06067,2400,2056,670,0.011058,0.009493868073,0.003212018401,0.8172958602554113,0.7365293705859394,0.860244846638616,-0.22354712488999048,-0.35771910793517836,-0.16245973911668704,-5.932761856880436,-9.493578949313283,-4.311551508365581,-247.1984107033515,-395.5657895547202,-179.64797951523255,0.800971805562138,0.7143467560472266,0.8473918594416582,-0.24848339611427403,-0.3998803683709713,-0.18009158202073652,-6.594550546155942,-10.61250507227088,-4.779486513564731,-274.77293942316425,-442.1877113446201,-247.1984107033515,-0.6617886892755056,-1.1189261229575962,-0.4679350051991493,-27.574528719812736,-46.62192178989984,-19.497291883297887,0.8821011731931665,0.8452452703134242,0.9201612442339724,-0.13365680761997523,-0.18308854852176976,-0.08676604917488422,-0.8826575060162345,-1.209100265793013,-0.5729951652693788,-42.93081254942775,-58.80837868643059,-27.869414653179906,0.871104464718956,0.8311530907887112,0.9125366821591624,-0.1479679424242528,-0.2031477847854284,-0.09584635834461978,-0.9771669498638064,-1.3415696533861463,-0.6329607082771358,-47.52757538248086,-65.2514422853184,-30.786026667175864,-0.09450944384757198,-0.13246938759313331,-0.05996554300775703,-4.596762833053112,-6.443063598887807,-2.9166120139959646,0.8452452703134242,0.8095673874856105,0.9201612442339724,-0.18308854852176976,-0.23522762336788705,-0.08676604917488422,-1.1646064119796364,-1.4962574156646344,-0.5519094341347934,-173.82185253427411,-223.32200233800515,-82.37454240817813,0.8311530907887112,-0.2031477847854284,-1.292201039610286,0.7926442349388618,-0.26160004188654945,-1.6640095113266569,0.9125366821591624,-0.09584635834461978,-0.6096682965388729,-192.8658268075054,-248.35962855621744,-90.99526814013028,-0.12759462763064966,-0.16775209566202243,-0.05775886240407946,-19.043974273231292,-25.037626218212303,-8.620725731952158,0.2665
06067009611,06067009611,Census Tract 96.11; Sacramento County; California,2525,1700,648,Elk Grove city,California,71045,0.5367880077973803,0.23083929397086955,06067,2525,1700,648,0.011058,0.009493868073,0.003212018401,0.8366867125333909,0.763177726814778,0.8754281784082364,-0.19519048769415176,-0.31031077672252133,-0.14229816296097372,-5.450001442627873,-8.664326836719043,-3.97317104220668,-215.841641292193,-343.1416568997641,-157.35330860224474,0.8219003382601541,0.742827983262753,0.8638584262427744,-0.2166925276084659,-0.3462066892090684,-0.15759708954782486,-6.050369574993401,-9.666592762416542,-4.400339255955115,-239.61859702944164,-382.8353569273878,-215.841641292193,-0.6003681323655279,-1.0022659256974986,-0.42716821374843494,-23.776955737248628,-39.693700027623706,-16.917553019739998,0.8950564667982437,0.8619241713090807,0.9291028501645796,-0.11724794702300256,-0.1601948678167492,-0.07630710617544836,-0.6402243576395075,-0.8747330673943738,-0.4166697095764215,-37.66025633173574,-51.45488631731611,-24.509982916260093,0.8851879192023006,0.8492116940702489,0.9222956739573034,-0.12970362372451258,-0.17756268193508595,-0.08425099264457121,-0.7082377243351747,-0.9695688229008907,-0.46004675575069326,-41.66104260795145,-57.033460170640645,-27.061573867687837,-0.06801336669566727,-0.09483575550651702,-0.04337704617427174,-4.000786276215721,-5.578573853324531,-2.551590951427749,0.8619241713090807,0.8296905611688655,0.9291028501645796,-0.1601948678167492,-0.20526862278775723,-0.07630710617544836,-0.9855230737834808,-1.2628180093291428,-0.4694433401922475,-152.086894102389,-194.87932242733683,-72.44495990621103,0.8492116940702489,-0.17756268193508595,-1.0923703266828886,0.8143437440496707,-0.2279826637177497,-1.4025553913093003,0.9222956739573034,-0.08425099264457121,-0.5183143403530803,-168.57566769797663,-216.44373322674392,-79.98678091868524,-0.10684725289940776,-0.13973738198015773,-0.04887100016083284,-16.48877359558762,-21.564410799407057,-7.5418210124742044,0.6989
06067009612,06067009612,Census Tract 96.12; Sacramento County; California,3542,2489,882,Elk Grove city,California,62871,0.5379498719008731,0.21045724160660215,06067,3542,2489,882,0.011058,0.009493868073,0.003212018401,0.8362899693824639,0.7626292693305375,0.8751184239184373,-0.19575749633637649,-0.31125310844394255,-0.1427024876500622,-7.667319209275261,-12.19098620477918,-5.589290552074601,-216.46863944876512,-344.1836873173117,-157.80041084343875,0.821471643562276,0.7422407879067638,0.8635222053762249,-0.21732747300143385,-0.347271689043333,-0.15804781136382423,-8.512159889825389,-13.601741655216648,-6.190327536532658,-240.32071964498556,-384.0130337441177,-216.46863944876512,-0.8448406805501278,-1.4107554504374669,-0.601036984458057,-23.85208019622044,-39.829346426805955,-16.968858962678063,0.8947925426769728,0.8615835658971751,0.9289211292232668,-0.11757748562395864,-0.16065352170301733,-0.0765176596167717,-0.939998346897628,-1.2843789269920105,-0.6117367892887176,-37.7661047367468,-51.60220678955445,-24.577613069052532,0.8849008078205396,0.848842561341373,0.9220972474012172,-0.1300701628501653,-0.178074763852277,-0.08448431314412772,-1.03987372591804,-1.4236567720173887,-0.6754279041843984,-41.77877564957975,-57.19794182472434,-27.136516841478436,-0.09987537902041188,-0.13927784502537843,-0.0636911148956808,-4.01267091283294,-5.595735035169885,-2.558903772425906,0.8615835658971751,0.829278612605267,0.9289211292232668,-0.16065352170301733,-0.2058673463896453,-0.0765176596167717,-1.3452469863309566,-1.7238490907567827,-0.640727634908901,-152.5223340511289,-195.44774271618857,-72.64485656563502,0.848842561341373,-0.178074763852277,-1.4911253539571376,0.8138989934834231,-0.22865368799644212,-1.914652610350436,0.9220972474012172,-0.08448431314412772,-0.7074371382874208,-169.0618315144147,-217.0807948243125,-80.20829232283683,-0.145878367626181,-0.1908035195936535,-0.06670950337851989,-16.539497463285826,-21.63305210812398,-7.563435757201802,0.6747
