geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
17197882900,17197882900,Census Tract 8829; Will County; Illinois,1994,1283,476,Joliet city,Illinois,116531,0.6087502401383089,0.25401558942609775,17197,1994,1283,476,0.009716,0.007676560355,0.00345826479,0.8124653635603867,0.7299412226477014,0.8564483289096331,-0.23082170003875463,-0.3699733197321281,-0.16761276336790376,-4.471871293327621,-7.167753584387609,-3.2472800641118105,-224.266363757654,-359.46607745173566,-162.85256088825528,0.7957659296053143,0.7073212076033814,0.8432789953929163,-0.2566509356538827,-0.4137848395473721,-0.18584715789590056,-4.97227925868137,-8.016545001078281,-3.6005478263164403,-249.3620490813124,-402.0333501042268,-224.266363757654,-0.500407965353749,-0.8487914166906725,-0.35326776220462985,-25.095685323658422,-42.5672726524911,-17.7165377234017,0.8788558311636044,0.8410801424700196,0.9179144341798648,-0.13784305063550728,-0.18894734223932183,-0.0894261630099288,-0.6116032370611483,-0.838350614085309,-0.39677974713033376,-47.6697768558962,-65.34299408303266,-30.92593508420372,0.8675797415526458,0.8266489483059457,0.9100859696175124,-0.1526318009804736,-0.2097033475325931,-0.09879729320547193,-0.6772202380007712,-0.9304440490992394,-0.4383590181642502,-52.784118316505946,-72.52097031171002,-34.16672004397898,-0.06561700093962297,-0.0920934350139304,-0.04157927103391651,-5.114341460609741,-7.17797622867735,-3.240784959775254,0.8410801424700196,0.8045579372741173,0.9179144341798648,-0.18894734223932183,-0.2429185689076044,-0.0894261630099288,-0.6904216620696897,-0.887634830451059,-0.3267670207270106,-145.04656766169953,-186.47790555694516,-68.64853376617869,0.8266489483059457,-0.2097033475325931,-0.7662649922942378,0.7872507010415424,-0.2702433909261531,-0.9874808976686096,0.9100859696175124,-0.09879729320547193,-0.3610095308803598,-160.98004039794913,-207.45397009844743,-75.84233842024366,-0.07584333022454814,-0.09984606721755074,-0.03424251015334922,-15.933472736249607,-20.976064541502257,-7.193804654064963,0.7807
17197881603,17197881603,Census Tract 8816.03; Will County; Illinois,2046,1385,523,Joliet city,Illinois,25480,0.6502470179751889,0.18428659418187576,17197,2046,1385,523,0.009716,0.007676560355,0.00345826479,0.7988182686968255,0.7114376025023685,0.8456912989000311,-0.2518491867134911,-0.4056046468202681,-0.18246457223891768,-5.006493864329541,-8.062988815442715,-3.627201553804822,-244.696669810828,-394.0854748505726,-177.28257838733245,0.781075089624459,0.6876231623836003,0.8316355550084472,-0.2802866373331661,-0.4542849262575245,-0.20244979183200343,-5.571800125201221,-9.03070097483805,-4.02448645504172,-272.32649683290424,-441.3832343518108,-244.696669810828,-0.5653062608716795,-0.9677121593953348,-0.3972849012368984,-27.629827022076217,-47.29775950123826,-19.41763935664215,0.869647431398368,0.8292904365013901,0.911524023864666,-0.14989128225449808,-0.20585015331757503,-0.0970637896741492,-0.7179337850919254,-0.985959807069466,-0.464906116406495,-51.836374374868264,-71.18843372342715,-33.56722862140758,0.8575857192399845,0.8139117585665384,0.9031189003114972,-0.1660641934268995,-0.2286344182583137,-0.1072739144924186,-0.7953971249160745,-1.0950895264461304,-0.5138095179038238,-57.4293953007996,-79.06783584448596,-37.098160137460205,-0.0774633398241491,-0.10912971937666438,-0.0489034014973288,-5.593020925931343,-7.8794021210588,-3.5309315160526213,0.8292904365013901,0.7904128679942196,0.911524023864666,-0.20585015331757503,-0.26516158895241204,-0.0970637896741492,-0.8264556489128366,-1.0645816363631266,-0.38969568877284466,-158.0221126028368,-203.55289414208923,-74.51160397186322,0.8139117585665384,-0.2286344182583137,-0.9179308514479056,0.7720392891613217,-0.2952708677382411,-1.1854656052900294,0.9031189003114972,-0.1072739144924186,-0.43068771717879795,-175.51259109902594,-226.66646372658303,-82.34946791181605,-0.09147520253506902,-0.1208839689269028,-0.04099202840595328,-17.490478496189105,-23.11356958449384,-7.837863939952826,0.9458
17197882802,17197882802,Census Tract 8828.02; Will County; Illinois,1563,995,447,Joliet city,Illinois,48816,0.5831467410073634,0.24069093519412124,17197,1563,995,447,0.009716,0.007676560355,0.00345826479,0.8210016694156193,0.7415972324884923,0.8631535582746224,-0.2180243198674492,-0.3484408465824708,-0.15854240582512705,-3.3109408681336294,-5.291460327812833,-2.4076420974402084,-211.8324291832137,-338.5451265395286,-154.03980149969345,0.804967681356526,0.7197553645224851,0.8505441693275846,-0.2422858993727635,-0.3893609541395229,-0.1757178945692742,-3.679379834751919,-5.912877500545842,-2.6684709244616114,-235.40497983057708,-378.30310304196047,-211.8324291832137,-0.3684389666182901,-0.6214171727330093,-0.260828827021403,-23.57255064736341,-39.75797650243182,-16.68770486381337,0.884585985067728,0.8484378475518319,0.9218796442219664,-0.1304723530335328,-0.17863671792282815,-0.0847402980070835,-0.44895190484149466,-0.6146842064347102,-0.2915891169475441,-45.120794456431625,-61.77730717936786,-29.30543888920041,0.8738040630547969,0.8346070268308605,0.9144114343402204,-0.144421320843972,-0.1981686804113831,-0.093599623151623,-0.4969499329560015,-0.6818931710977119,-0.32207381969701404,-49.94471688000015,-68.53197699474491,-32.369228110252664,-0.04799802811450682,-0.06720896466300164,-0.03048470274946996,-4.823922423568525,-6.754669815377049,-3.0637892210522577,0.8484378475518319,0.8134114299920546,0.9218796442219664,-0.17863671792282815,-0.22939015008649183,-0.0847402980070835,-0.6129780493989041,-0.787134517395714,-0.29077976343197204,-137.13155467537004,-176.0927331981463,-65.05140121520627,0.8346070268308605,-0.1981686804113831,-0.680000464534964,0.7967852719829661,-0.2550432784874295,-0.8751612388392842,0.9144114343402204,-0.093599623151623,-0.3211798508789241,-152.1253835648689,-195.78551204458265,-71.85231563286892,-0.06702241513605989,-0.08802672144357016,-0.03040008744695205,-14.993828889498856,-19.692778846436276,-6.800914417662651,0.8929
17197882100,17197882100,Census Tract 8821; Will County; Illinois,2009,1226,327,Joliet city,Illinois,64862,0.55770077090294,0.24328420831927103,17197,2009,1226,327,0.009716,0.007676560355,0.00345826479,0.8295743146954648,0.7533659349658367,0.8698695444644207,-0.20543751450055217,-0.3273761841187411,-0.14959766825231335,-4.0100260597927155,-6.390201092839456,-2.9200633079816085,-199.60308908873645,-318.07870048976883,-145.34909447394764,0.814218239045056,0.7323295804765746,0.8578266579938194,-0.2281719470848939,-0.3655054044781788,-0.16573667964420494,-4.45378954349455,-7.13446227440916,-3.2350878370609983,-221.69186378768296,-355.1250509909985,-199.60308908873645,-0.4437634837018347,-0.744261181569704,-0.3150245290793898,-22.088774698946477,-37.04635050122967,-15.680663468361862,0.8903178995238643,0.8558140540502609,0.9258374287879008,-0.1231943113069982,-0.16847812356826666,-0.0801032329284769,-0.5223232612227026,-0.7143190461738436,-0.3396243009421091,-42.60385491212908,-58.26419626214058,-27.701819000172033,0.8800343321071876,0.8425920468384998,0.9187306546185654,-0.13631930427709796,-0.1868139555222633,-0.08845829294242462,-0.5779710347191896,-0.792059904837168,-0.3750483570360747,-47.14282501787844,-64.60521246632692,-30.59121998662926,-0.05564777349648708,-0.07774085866332447,-0.03542405609396565,-4.538970105749355,-6.341016204186336,-2.8894009864572308,0.8558140540502609,0.8223069762672486,0.9258374287879008,-0.16847812356826666,-0.2160908624895351,-0.0801032329284769,-0.4229197222905457,-0.5424388972172295,-0.201077957821387,-129.3332484068947,-165.88345480649218,-61.49173022060764,0.8425920468384998,-0.1868139555222633,-0.4689469737444013,0.8063755891505651,-0.24011690514267503,-0.6027499160688226,0.9187306546185654,-0.08845829294242462,-0.22205112386800335,-143.40886047229395,-184.32719145835551,-67.90554246727933,-0.04602725145385555,-0.06031101885159307,-0.02097316604661639,-14.075612065399252,-18.44373665186332,-6.41381224667168,0.8448
17197881202,17197881202,Census Tract 8812.02; Will County; Illinois,1322,871,246,Joliet city,Illinois,83781,0.7964581704895182,0.15687754373927684,17197,1322,871,246,0.009716,0.007676560355,0.00345826479,0.7525347408418389,0.64990030503963,0.8088549776885909,-0.32884230551446547,-0.5386975390618125,-0.2363155665526483,-4.223832092980438,-6.919328552751482,-3.035367582994952,-319.5031840378546,-523.398528952457,-229.6042044625531,0.7314408465059168,0.6224886179738487,0.7918769993235867,-0.3671645557901049,-0.6064550758452758,-0.26282238384773127,-4.716064229402903,-7.789643757358589,-3.3758357760961446,-356.7370824056659,-589.23175169127,-319.5031840378546,-0.4922321364224649,-0.870315204607107,-0.3404681931011928,-37.23389836781126,-65.83322273881294,-25.75402368390263,0.8379643683037259,0.7890517032665344,0.8893603005260489,-0.1933681643579661,-0.26734407372821956,-0.12440368589480408,-0.5824536517606019,-0.8052800859778246,-0.37472239229498816,-66.87183143060871,-92.45465969894656,-43.02208866762206,0.8232810276133808,0.7705769390712994,0.8789931959848087,-0.2146520646770057,-0.29772894735884725,-0.13766523400629666,-0.6465639229921369,-0.8968038415205474,-0.41466814629841625,-74.23236773732916,-102.96255356148647,-47.60828315710864,-0.06411027123153501,-0.09152375554272274,-0.03994575400342809,-7.360536306720438,-10.507893862539923,-4.586194489486577,0.7890517032665344,0.7425263284593392,0.8893603005260489,-0.26734407372821956,-0.346753591990321,-0.12440368589480408,-0.5048615977114569,-0.6548212197977791,-0.23492813117635775,-205.22829175262476,-266.1874877226744,-95.4992403155926,0.7705769390712994,-0.29772894735884725,-0.562241421522379,0.7207473316163481,-0.3874487717594456,-0.7316713746969731,0.8789931959848087,-0.13766523400629666,-0.25997168749809557,-228.55342338308088,-297.4273880882004,-105.67954776345348,-0.0573798238109221,-0.076850154899194,-0.02504355632173782,-23.325131630456134,-31.239900365526015,-10.180307447860905,0.717
17197881500,17197881500,Census Tract 8815; Will County; Illinois,1996,1407,429,Joliet city,Illinois,76916,0.6216286276123996,0.1995812628919872,17197,1996,1407,429,0.009716,0.007676560355,0.00345826479,0.8082052666991321,0.7241477598389082,0.8530953583666668,-0.2373094326447476,-0.3809336373870121,-0.1722019000485435,-4.60217410136243,-7.387497836821011,-3.339534867099811,-230.5698447576368,-370.11512208522095,-167.31136608716488,0.7911773466191445,0.7011483408291795,0.8396481528212452,-0.2639391209482874,-0.4262317141297059,-0.19097504906068977,-5.118607268270587,-8.265969599630509,-3.703605099040629,-256.44324991335606,-414.1267334484222,-230.5698447576368,-0.5164331669081568,-0.8784717628094985,-0.364070231940818,-25.873405155719276,-44.011611363201325,-18.239991580201306,0.8759876482467629,0.8374034198763554,0.9159264117059006,-0.1415686077325867,-0.19416756161283935,-0.0917907674891845,-0.6888414962077334,-0.9447763582519744,-0.44663354841167735,-48.95817314909263,-67.14828416858381,-31.74367792549235,0.8644657290522545,0.8226748168601826,0.9079180302500894,-0.1567838566559911,-0.21554711473555976,-0.10142101674591288,-0.7628755281971464,-1.0488045294488395,-0.4934922087679961,-54.22000911138212,-74.54189974760766,-35.0740731178391,-0.07403403198941305,-0.10402817119686548,-0.04685866035631875,-5.261835962289485,-7.393615579023844,-3.3303951923467485,0.8374034198763554,0.8001411817936104,0.9159264117059006,-0.19416756161283935,-0.24977944237088587,-0.0917907674891845,-0.6394412334470773,-0.822584747898492,-0.30228943029821104,-149.05390057041427,-191.74469647983497,-70.46373666624966,0.8226748168601826,-0.21554711473555976,-0.7098493268782491,0.7824980891069003,-0.2779583923857811,-0.9153849170158068,0.9079180302500894,-0.10142101674591288,-0.3340041946593349,-165.46604356136342,-213.3764375328221,-77.8564556315466,-0.07040809343117183,-0.0928001691173148,-0.03171476436112386,-16.412142990949143,-21.631741052987135,-7.392718965296937,0.6412
17197882400,17197882400,Census Tract 8824; Will County; Illinois,2332,1586,467,Joliet city,Illinois,93639,0.6738314286251037,0.22746264761712676,17197,2332,1586,467,0.009716,0.007676560355,0.00345826479,0.7911644476925657,0.7011310142974885,0.8396379386686506,-0.26395972786252475,-0.4262669595381813,-0.19098953721126904,-5.980723493507462,-9.658234004331764,-4.327385929146216,-256.46327159122905,-414.1609778872969,-185.56543435446895,0.7728468472422052,0.6766733867978642,0.8250898776269666,-0.29391742176132146,-0.47781783576885367,-0.21198917489581956,-6.659496294050554,-10.826258911313984,-4.803189671907109,-285.57016698329994,-464.2478092330183,-256.46327159122905,-0.6787728005430926,-1.1680249069822215,-0.4758037427608928,-29.106895392070864,-50.08683134572134,-20.403247974309295,0.8644569656654808,0.8226636398081141,0.9079119255750058,-0.15679558349116285,-0.21556362966673664,-0.10142842254954663,-0.8599936639453801,-1.182325111222985,-0.5563154190596259,-54.22406456149938,-74.54761104810748,-35.07663424083392,0.851957079153123,0.8067603263829614,0.899183010816627,-0.17376805060888412,-0.23952550379294388,-0.11212065616298984,-0.9530843866415604,-1.3137513890936008,-0.6149602670601005,-60.0935931047642,-82.83426160741493,-38.77429174401642,-0.09309072269618011,-0.13142627787061611,-0.05864484800047465,-5.869528543264825,-8.286650559307448,-3.697657503182513,0.8226636398081141,0.7824847309059338,0.9079119255750058,-0.21556362966673664,-0.27798020907351695,-0.10142842254954663,-0.7727856286949604,-0.9965461750933896,-0.36361619726235567,-165.47872134795725,-213.3931852448372,-77.86214074140378,0.8067603263829614,-0.23952550379294388,-0.8586878376620233,0.7635253465960951,-0.3097142150658687,-1.1103111168403943,0.899183010816627,-0.11212065616298984,-0.4019473595641432,-183.8731986428315,-237.7539864754592,-86.07009840773944,-0.08590220896706291,-0.11376494174700467,-0.03833116230178751,-18.394477294874285,-24.36080123062199,-8.207957666335655,0.9594
17197882801,17197882801,Census Tract 8828.01; Will County; Illinois,1842,1372,702,Joliet city,Illinois,71147,0.6390545448606647,0.2220005315132766,17197,1842,1372,702,0.009716,0.007676560355,0.00345826479,0.8024764126356926,0.7163816839653847,0.8485792977552066,-0.2461425460663091,-0.3959039187946626,-0.17844025024574006,-4.405181640702838,-7.085441758966471,-3.1935223182959787,-239.15209775802597,-384.66024750089423,-173.37254713876106,0.7850105683370335,0.6928814283575095,0.8347600868928106,-0.2738682004223206,-0.4432483814301701,-0.19794898642345785,-4.901384127828618,-7.932759546662932,-3.542667672550363,-266.0903435303267,-430.66012739755325,-239.15209775802597,-0.49620248712578,-0.8473177876964604,-0.34914535425438453,-26.938245772300757,-45.99987989665909,-18.954688070270603,0.8721215680440163,0.8324539722009612,0.9132432450100982,-0.1466291359389126,-0.20126761766306023,-0.09499851815377232,-0.6957170226237726,-0.954962373709003,-0.450743201754579,-50.708237800566515,-69.60367155313433,-32.85300304333666,0.8602699040231274,0.8173277661355693,0.9049927820207878,-0.16242587974240708,-0.22349936149621888,-0.10498118865331443,-0.7706684536319747,-1.0604462022012018,-0.4981083707116478,-56.171170089794074,-77.29199724498555,-36.30527483321048,-0.07495143100820212,-0.10548382849219871,-0.04736516895706882,-5.46293228922756,-7.68832569185122,-3.452271789873821,0.8324539722009612,0.7942033870962475,0.9132432450100982,-0.20126761766306023,-0.2591233130548366,-0.09499851815377232,-1.0846201961772772,-1.3964013779412148,-0.5119418244865834,-154.5043014497546,-198.91757520530123,-72.92618582429964,0.8173277661355693,-0.22349936149621888,-1.2044258491564406,0.7761129113594585,-0.2884723155144725,-1.5545615488370026,0.9049927820207878,-0.10498118865331443,-0.5657378904474402,-171.57063378296874,-221.44751407934513,-80.58944308368093,-0.11980565297916336,-0.15816017089578782,-0.05379606596085673,-17.066332333214152,-22.529938874043847,-7.6632572593813,0.9522
17197881402,17197881402,Census Tract 8814.02; Will County; Illinois,2495,1618,467,Joliet city,Illinois,65254,0.6205374739427487,0.19048920998938895,17197,2495,1618,467,0.009716,0.007676560355,0.00345826479,0.808565346319039,0.7246368374375223,0.8533789374982392,-0.23675841977702797,-0.38000160678585343,-0.171812375556859,-5.7393602923512415,-9.211778550770724,-4.164975957071553,-230.03448065536037,-369.2095611531352,-166.93290409104418,0.791565097744957,0.7016692569982507,0.8399551779546309,-0.26331997563919995,-0.42517288598051417,-0.19053971717287715,-6.383250123859615,-10.306794501665756,-4.618953310668928,-255.8416883310467,-413.0979760186676,-230.03448065536037,-0.6438898315083739,-1.095015950895032,-0.45397735359737545,-25.80720767568633,-43.888414865532354,-18.195485114123265,0.8762302988619174,0.8377143152272202,0.9160946848142936,-0.1412524781428348,-0.19372437813571533,-0.09159022159670668,-0.7903743471484853,-1.0839794169199093,-0.5124905598221127,-48.84884716616102,-66.99501958713901,-31.67432384561883,0.8647291376185653,0.8230107930082775,0.9081015139334392,-0.15643148414538924,-0.21505089422313617,-0.10119847247969328,-0.8753080567539225,-1.203311349719716,-0.5662532627405011,-54.09814936674428,-74.37029355498862,-34.99711141783072,-0.08493370960543722,-0.11933193279980658,-0.05376270291838847,-5.249302200583265,-7.375273967849603,-3.3227875722118956,0.8377143152272202,0.8005144604609806,0.9160946848142936,-0.19372437813571533,-0.2491966721302505,-0.09159022159670668,-0.6944929234240398,-0.8933585282386979,-0.32834670249497855,-148.71368809936612,-191.2973293873015,-70.30978640149434,0.8230107930082775,-0.21505089422313617,-0.7709474958765923,0.7828996511426114,-0.27730290662480067,-0.994118077183473,0.9081015139334392,-0.10119847247969328,-0.3627918369118883,-165.0851168900626,-212.8732499322212,-77.6856181824172,-0.0764545724525525,-0.10075954894477512,-0.03444513441690977,-16.371428790696466,-21.57592054491973,-7.375831780922863,0.4141
17197882602,17197882602,Census Tract 8826.02; Will County; Illinois,1879,1370,521,Joliet city,Illinois,57931,0.6164112554593687,0.21499361494078287,17197,1879,1370,521,0.009716,0.007676560355,0.00345826479,0.8099284452578691,0.7264892818870157,0.8544521498967065,-0.23467697159545364,-0.3764827987586484,-0.17034055110153165,-4.284348215864263,-6.873207013876635,-3.109799104870163,-228.0121456021428,-365.7906872739029,-165.50287945024817,0.7930331048733764,0.7036426127427383,0.8411172146851609,-0.2609814065198072,-0.4211760088009538,-0.18889493942210023,-4.764571554657574,-7.689142524737416,-3.448534771847812,-253.5695345746447,-409.2146101510067,-228.0121456021428,-0.4802233387933113,-0.8159355108607818,-0.3387356669776489,-25.55738897250193,-43.42392287710388,-18.02744369226444,0.8771484946317649,0.8388910158137869,0.916731292334644,-0.1400578193089293,-0.19204995780044845,-0.0908321864450542,-0.66356912435994575,-0.9098986615657192,-0.4303468004888553,-48.43570250802524,-66.41596069822768,-31.412175218164624,0.8657259479862962,0.8242825341949536,0.9087956962920616,-0.155099950886339,-0.21317625755186384,-0.10035732352173,-0.734836077740909,-1.0099913254111481,-0.4754752117447576,-53.63766990809554,-73.72199455555824,-34.70621983538377,-0.07126695338096323,-0.1000926638454287,-0.04512841125590228,-5.201967400070308,-7.306033857330561,-3.294044617219144,0.8388910158137869,0.801927595918556,0.916731292334644,-0.19204995780044845,-0.24699537101546545,-0.0908321864450542,-0.7681014910520101,-0.9878550088360416,-0.36328223470089926,-147.42830922303455,-189.6074873005838,-69.72787614220715,0.8242825341949536,-0.21317625755186384,-0.8525958722293018,0.7844200296007956,-0.2748272127993935,-1.0991681245367568,0.9087956962920616,-0.10035732352173,-0.401377905613108,-163.64604073499075,-210.97276862509727,-77.03990510808215,-0.08449438117729169,-0.11131311570071512,-0.03809567091220872,-16.21773151195618,-21.365281324513457,-7.312028965874995,0.7379
17197881009,17197881009,Census Tract 8810.09; Will County; Illinois,4877,3591,1103,Joliet city,Illinois,200471,0.7514977769003013,0.18155627850432485,17197,4877,3591,1103,0.009716,0.007676560355,0.00345826479,0.7664740880504193,0.6682339917896614,0.8200081009016144,-0.3046755468845272,-0.4964817897422494,-0.21950014749912977,-14.437030071186134,-23.52575584617479,-10.400999563236237,-296.0227613530066,-482.3817069135696,-213.2663433101545,0.7463580564726424,0.6418320796779086,0.8038961654555552,-0.3398394930257643,-0.5580399167673752,-0.24394174642357683,-16.10327126794032,-26.442683509307734,-11.559163066242432,-330.18805142383263,-542.1915831311818,-296.0227613530066,-1.666241196754184,-2.916927663132949,-1.1581635030061967,-34.165290070825996,-59.809876217612235,-23.747457514992757,0.8475821182875604,0.801212834954743,0.8961177198530242,-0.17982668395645485,-0.248107814019836,-0.115924814168404,-2.233200847339775,-3.081158859799064,-1.4396272429250525,-62.18882894290657,-85.80225173486673,-40.08987031258848,0.8336811160000865,0.7836509918364346,0.8863424949183745,-0.1994994018790947,-0.2760782675162137,-0.1282320386681816,-2.477509029906019,-3.428513540841362,-1.5924660962954424,-68.99217571445332,-95.47517518355228,-44.34603442760909,-0.2443081825662441,-0.34735468104229783,-0.15283885337039016,-6.803346771546758,-9.672923448685545,-4.256164115020612,0.801212834954743,0.7569342435402793,0.8961177198530242,-0.248107814019836,-0.3211187213870399,-0.115924814168404,-2.100789913584036,-2.7189912321703895,-0.9815639273643216,-190.46146088703864,-246.5087245848041,-88.99038326059126,0.7836509918364346,-0.2760782675162137,-2.337622626071132,0.736146019959139,-0.35842614493182573,-3.034882367620189,0.8863424949183745,-0.1282320386681816,-1.0857722256619318,-211.93314832920507,-275.1479934379138,-98.43809842809898,-0.2368327124870957,-0.3158911354497995,-0.10420829829761014,-21.471687442166427,-28.639268853109655,-9.447715167507718,0.0281
