geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
29510102400,29510102400,Census Tract 1024; St. Louis city; Missouri,1656,1106,424,St. Louis city,Missouri,43975,0.5991654664620274,0.18794718887840595,29510,1656,1106,424,0.013247,0.007869701533,0.003654612741,0.8156505205754757,0.7342830870114185,0.8589523370240321,-0.22601527832589133,-0.361872577060255,-0.1642089518781083,-4.9581043931239845,-7.93841030289328,-3.6022570320365217,-299.40243919830823,-479.37260283171975,-217.52759855293004,0.7991982596200549,0.711950628225679,0.8459914467650232,-0.25125397604770544,-0.40459177975893734,-0.18204504764662605,-5.511766512685748,-8.87554281950876,-3.99352803566556,-332.8361420703954,-535.9627306466643,-299.40243919830823,-0.5536621195617633,-0.9371325166154812,-0.3912710036290381,-33.43370287208715,-56.59012781494451,-23.62747606455544,0.8809965777133005,0.8438270271950528,0.9193968254035184,-0.13507818906128183,-0.18507699773978376,-0.08766962465973863,-0.5459862686766715,-0.7480815379304613,-0.35436077117186643,-49.36584707745674,-67.63847540058421,-32.03985272801686,0.869904632323,0.8296191620299648,0.9117028235606488,-0.14955129889306645,-0.2053723512763815,-0.09684863768931536,-0.604486603098676,-0.8301153912559135,-0.3914623573641384,-54.65520823676997,-75.05564116237916,-35.39442652478647,-0.05850033442200442,-0.08203385332545221,-0.03710158619227194,-5.289361159313239,-7.417165761794956,-3.3545737967696145,0.8438270271950528,0.8078609365573483,0.9193968254035184,-0.18507699773978376,-0.2378368042666366,-0.08766962465973863,-0.6175563107223851,-0.7936027771717716,-0.29253192254288657,-145.6500732835814,-187.17046631409707,-68.99337795822797,0.8296191620299648,-0.2053723512763815,-0.685276901654435,0.7908065714501707,-0.26453172760845056,-0.8826771547298414,0.9117028235606488,-0.09684863768931536,-0.3231600259368482,-161.62191076755542,-208.17857422873615,-76.21698724925666,-0.06772059093204985,-0.0890743775580698,-0.03062810339396166,-15.97183748397402,-21.008107914639105,-7.223609291028693,0.5977
29510108200,29510108200,Census Tract 1082; St. Louis city; Missouri,1004,890,454,St. Louis city,Missouri,51089,0.6233297075604711,0.2062106577939975,29510,1004,890,454,0.013247,0.007869701533,0.003654612741,0.8076442318482372,0.7233859590395,0.8526534538945449,-0.23816893697311511,-0.3823879044152082,-0.1728094168063719,-3.167644003715188,-5.085754540067416,-2.2983631698117453,-315.50239080828567,-506.5492569788263,-228.92063444340093,0.7905732316242521,0.7003370174763194,0.8391697325316589,-0.26490495756538013,-0.4278839687833768,-0.19165403759634944,-3.523232756760065,-5.690851650211286,-2.548996400182997,-350.9195972868591,-566.8178934473392,-315.50239080828567,-0.35558875304487714,-0.6050971101438698,-0.2506332303712515,-35.41720647857342,-60.26863646851293,-24.96346916048322,0.8756094963312755,0.8369189723117618,0.9156641399962596,-0.14206162015134538,-0.19485880125022265,-0.0921034867698158,-0.46207038424086616,-0.6337987773930949,-0.29957629285314946,-51.91802070122092,-71.21334577450504,-33.66025762394938,0.8640552420474775,0.8221513124187961,0.9076320579475524,-0.15733341033888742,-0.21632111375942123,-0.10176804713280102,-0.5117434905484364,-0.7036072096583172,-0.3310112934936186,-57.499268600947914,-79.05698984924913,-37.19228016782231,-0.04967310630757021,-0.06980843226522238,-0.03143500064046911,-5.58124789972699,-7.843644074744087,-3.532022543872934,0.8369189723117618,0.7995595973064575,0.9156641399962596,-0.19485880125022265,-0.2506885082347615,-0.0921034867698158,-0.6962001955405084,-0.8956710568525059,-0.32907143576628733,-153.34806069174195,-197.28437375605856,-72.48269510270646,0.8221513124187961,-0.21632111375942123,-0.7728817006600441,0.7818724752287116,-0.27898094853317634,-0.9967555464505968,0.9076320579475524,-0.10176804713280102,-0.3636014070652649,-170.23826005727847,-219.5496798349332,-80.08841565314205,-0.07668150511953575,-0.1010844895980908,-0.03452997129897756,-16.89019936553651,-22.265306078874627,-7.605720550435585,0.951
29510110400,29510110400,Census Tract 1104; St. Louis city; Missouri,1863,1323,676,St. Louis city,Missouri,46751,0.6394893074537779,0.20457867549338735,29510,1863,1323,676,0.013247,0.007869701533,0.003654612741,0.8023340027532332,0.7161889952524739,0.8484669318779892,-0.24636372952968463,-0.3962794829701004,-0.17859631581234273,-6.0800501456235425,-9.779845161215864,-4.407607231939652,-326.3580325079733,-524.9514310904921,-236.5865395566104,0.7848573283216335,0.6926764266081376,0.8346384981131968,-0.27411691770583985,-0.4436755194582682,-0.1981235016844098,-6.764975544886172,-10.949539576469236,-4.88952179595332,-363.12268088492607,-587.7369606263679,-326.3580325079733,-0.6849253992626299,-1.1696944152533693,-0.4819145640136684,-36.76464837695275,-62.785529535875966,-25.867663124727233,0.8720253309306893,0.8323308622214755,0.9131764027584544,-0.1467556784534306,-0.20144529704331612,-0.09507866933406882,-0.7095714329396788,-0.9739986185770904,-0.4597103727252472,-53.63351722900067,-73.62045491890328,-34.747571634561396,0.8601654823664165,0.8171948068246678,0.9049199200668196,-0.16256699495646143,-0.22369842741126683,-0.10507015905469248,-0.786019980797938,-1.0815936756745976,-0.5080197516397724,-59.41194110339668,-81.75311229588796,-38.399074198017566,-0.07644854785825916,-0.10759505709750727,-0.04830937891452519,-5.778423874396006,-8.132657376984676,-3.6515025634561744,0.8323308622214755,0.7940558086617304,0.9131764027584544,-0.20144529704331612,-0.2593573261372643,-0.09507866933406882,-1.0716725093592194,-1.379759769037714,-0.5058107468742109,-158.5314362957425,-204.106474709721,-74.82407498139214,0.8171948068246678,-0.22369842741126683,-1.19005734341862,0.7759542742739036,-0.28873573244473244,-1.5360504885064796,0.9049199200668196,-0.10507015905469248,-0.5589646552468407,-176.0439857128136,-227.2264036252189,-82.68707917852673,-0.11838483405940048,-0.15629071946876572,-0.05315390837262979,-17.512549417071078,-23.119928915497887,-7.863004197134584,0.916
29510105198,29510105198,Census Tract 1051.98; St. Louis city; Missouri,2524,1188,541,St. Louis city,Missouri,72251,0.6501430862369721,0.22235707110432465,29510,2524,1188,541,0.013247,0.007869701533,0.003654612741,0.7988521608852522,0.7114833552327495,0.8457180711903901,-0.2517960756241114,-0.4055142578463655,-0.18242713980611816,-8.418909557212531,-13.55854277119559,-6.099529498233398,-333.55426137926037,-537.1847373690805,-241.66123210116473,0.781111543022483,0.687671805879561,0.8316645151103242,-0.28022688812219576,-0.4541820552333946,-0.20240792029866184,-9.369505941473731,-15.18577140664819,-6.767595445775647,-371.2165586954727,-601.6549685676779,-333.55426137926037,-0.9505963842611996,-1.6272286354525995,-0.6680659475422486,-37.662297316212346,-64.47023119859745,-26.468539918472604,0.8696703735682362,0.8293197572800355,0.9115399734147124,-0.1498609477715385,-0.20580752022567708,-0.09704459394568114,-0.6506482701757897,-0.8935503813051251,-0.4213365664611206,-54.76837291042002,-75.21467856103747,-35.466040947905775,0.8576106056396193,0.8139434133697435,0.9031362830546348,-0.16603035622931045,-0.22858663584484104,-0.1072526026944103,-0.7208506664588672,-0.9924500105556896,-0.46565647323513454,-60.67766552684068,-83.53956317808834,-39.19667283124028,-0.07020239628307745,-0.0988996292505644,-0.04431990677401393,-5.909292616420661,-8.324884617050873,-3.730631883334506,0.8293197572800355,0.7904479828740616,0.9115399734147124,-0.20580752022567708,-0.2651053853841327,-0.09704459394568114,-0.87622727276581025,-1.1286884394503591,-0.413168186451336,-161.96437574229395,-208.6300257764065,-76.37119897436894,0.8139434133697435,-0.22858663584484104,-0.9732095518055188,0.7720770177219355,-0.29520757262088493,-1.2568487583630128,0.9031362830546348,-0.1072526026944103,-0.4566288707667604,-179.89085985314583,-232.3195486807787,-84.40459718424407,-0.09698227903970869,-0.12816031891265367,-0.04346068431542443,-17.92648411085188,-23.68952290437221,-8.033398209875127,0.2158
29510123100,29510123100,Census Tract 1231; St. Louis city; Missouri,2475,1814,808,St. Louis city,Missouri,53274,0.5667985331681226,0.2089921651339335,29510,2475,1814,808,0.013247,0.007869701533,0.003654612741,0.8264990826603369,0.7491369435867866,0.8674623802970507,-0.209922698015826,-0.33486942348899285,-0.15278774355328653,-6.882593802023726,-10.979137751072752,-5.009348616154707,-278.08459806156463,-443.6015252958688,-202.39792388503864,0.8108987173502498,0.7278088567695583,0.855215797522362,-0.23319963221507,-0.37398712683792457,-0.1692955192094101,-7.645758931683754,-12.261663486324416,-5.550577913843463,-308.91955279530316,-495.42074692219865,-278.08459806156463,-0.7631651296600284,-1.2825257352516637,-0.5412292976887558,-30.834954733738517,-51.81922162632985,-21.8678504116669,0.8882643003064538,0.8531694838792736,0.9244204443179947,-0.12579105076608066,-0.1721000561964584,-0.0817588535028183,-0.8339276843759622,-1.140931731397741,-0.5420176631295274,-45.97175768334963,-62.8959058102393,-29.879694770095227,0.8778017226439754,0.8397284059623162,0.9171840546454912,-0.13920942987894613,-0.1908612271535758,-0.09029370379374813,-0.922884392770738,-1.2653083047482931,-0.5985991758545155,-50.875655610294274,-69.75238725183534,-32.99885203167119,-0.08895670839477587,-0.1243765733505522,-0.05658151272498812,-4.903897926944646,-6.856481441596041,-3.1191572615759715,0.8531694838792736,0.819115410923088,0.9244204443179947,-0.1721000561964584,-0.22082918556381104,-0.0817588535028183,-1.0943358694715533,-1.4041907023714335,-0.5198815619959408,-135.43760760786552,-173.78597801626657,-64.34177747474514,0.8397284059623162,-0.1908612271535758,-1.2136328806719716,0.8029335529243253,-0.24543307021851127,-1.560639887229592,0.9171840546454912,-0.09029370379374813,-0.5741522753260533,-150.2020891920757,-193.14850089475144,-71.05844991659075,-0.11929701120041836,-0.15644918485815815,-0.05427071333011246,-14.764481584210191,-19.36252287848492,-6.716672441845602,0.5686
29510117400,29510117400,Census Tract 1174; St. Louis city; Missouri,2929,1835,544,St. Louis city,Missouri,54440,0.6225294716340065,0.207163988964891,29510,2929,1835,544,0.013247,0.007869701533,0.003654612741,0.8079081099180945,0.7237442317176831,0.8528613096860052,-0.2377645275789839,-0.3817035855701,-0.1725235846003688,-9.225373755040843,-14.810275848879998,-6.6939949609139795,-314.96666968387996,-505.6427398047115,-228.54199252010852,0.79085736685565855,0.7007185698290099,0.8393947609478513,-0.2644505089152348,-0.4271064633609197,-0.19133457405761267,-10.260802186496738,-16.57192852869622,-7.423870061343161,-350.3175891600115,-565.7879320142104,-314.96666968387996,-1.0354284314558946,-1.7616526798162209,-0.7298751004291812,-35.3509194761316,-60.14519220949884,-24.918917734010968,0.8757873693064384,0.8371468351732082,0.91578751064056,-0.14182966670543468,-0.1945335728266798,-0.0919563636552943,-0.9511401503330084,-1.304583843431506,-0.6166790882532757,-51.833250699346515,-71.09448738046355,-33.606489823066795,0.8642483224126907,0.822397542146559,0.9077665761527705,-0.15707485229284138,-0.2159569414444949,-0.10160478064540168,-1.053377633141004,-1.4482535461186612,-0.6813834410140132,-57.404775648011125,-78.92389897104421,-37.13261258931952,-0.1022374828079956,-0.14366970268715518,-0.0647043527607375,-5.571524948664611,-7.829411590580663,-3.5261227662527244,0.8371468351732082,0.7998331383575803,0.91578751064056,-0.1945335728266798,-0.2502607757081095,-0.0919563636552943,-0.8328211090239845,-1.071395819970494,-0.39367600999878327,-153.0921156294089,-196.94776102398788,-72.36691360271752,0.822397542146559,-0.2159569414444949,-0.9245370701923666,0.7821667192916835,-0.2784998074394965,-1.1922904366814648,0.9077665761527705,-0.10160478064540168,-0.434982018114854,-169.95166731477326,-219.17103615468105,-79.95992980052462,-0.0917159611683821,-0.1208946167109708,-0.04130600811607071,-16.859551685364355,-22.22327513069316,-7.593016197807116,0.3315
29189216900,29189216900,Census Tract 2169; St. Louis County; Missouri,1694,823,234,St. Louis city,Missouri,43441,0.6300438512232869,0.21541613946869947,29189,1694,823,234,0.014069,0.007869701533,0.003654612741,0.805433633129786,0.720386955729419,0.8509114955005974,-0.24156722399853145,-0.3881428474610041,-0.17521035417636793,-5.757244110893464,-9.2505642352535,-4.175768397105001,-339.8609274435339,-546.0781720928867,-246.50344729073203,0.7881932964898006,0.6971438882738293,0.8372840728025595,-0.26872431477592523,-0.4344241078783044,-0.19433777911575145,-6.404475959482742,-10.353580238715333,-4.631630135158885,-378.0682384582492,-611.1912773739866,-339.8609274435339,-0.6472318485892776,-1.103016003461832,-0.4558617380538843,-38.20731101471532,-65.11310528109988,-26.910374147218675,0.8741185279628956,0.8350095977234442,0.914629689459321,-0.1440096142687503,-0.19759102497310543,-0.0933386610171656,-0.4331443824425169,-0.5943036714787695,-0.2807390109999387,-52.62993711330704,-72.21186773739605,-34.111665978121344,0.8624369564633048,0.8200882964612011,0.906504207556569,-0.15950504266516588,-0.21938089388074897,-0.10313884002308564,-0.479750699649382,-0.65984206875474,-0.31021546300559116,-58.2929161177864,-80.17522099085542,-37.69325188403295,-0.04660631720686509,-0.06553839727597055,-0.02947645200565246,-5.662979004479355,-7.963353253459363,-3.581585905911599,0.8350095977234442,0.7972682138621827,0.914629689459321,-0.19759102497310543,-0.2542830412813396,-0.0933386610171656,-0.3638658797602661,-0.4682648037103126,-0.17188409246461958,-155.4982392137889,-200.11316397876604,-73.45474036949555,0.8200882964612011,-0.21938089388074897,-0.4039921447109122,0.779408063586067,-0.28302496050526676,-0.5211933399423416,0.906504207556569,-0.10313884002308564,-0.18993122166131535,-172.646215688424,-222.73219655655623,-81.16718874415187,-0.04012626495064614,-0.05292853623202903,-0.01804712919669579,-17.147976474635104,-22.619032577790183,-7.712448374656322,0.1689
29510111100,29510111100,Census Tract 1111; St. Louis city; Missouri,1184,723,269,St. Louis city,Missouri,59628,0.5820873558489783,0.22733336962619097,29510,1184,723,269,0.013247,0.007869701533,0.003654612741,0.8213567983481754,0.742083507975963,0.8634321258857239,-0.21749768433291425,-0.3475572348016542,-0.1581686272956109,-3.4113311200400083,-5.451243376270336,-2.48078761004939,-288.1191824358115,-460.40906894175134,-209.5259805784958,0.8053507023131706,0.7202745303620208,0.8508461221676847,-0.2416950741183281,-0.3883595182761564,-0.17530064949031995,-3.790853821865063,-6.091204669707424,-2.74949392129715,-320.17346468454923,-514.4598538604243,-288.1191824358115,-0.37952270182505465,-0.6399612934370884,-0.2687063112477599,-32.05428224873773,-54.05078491867301,-22.694789801331073,0.8848238824614522,0.8487436670355855,0.9220440795638288,-0.1301684095801579,-0.1782120313105945,-0.08454684777440148,-0.3439420376360753,-0.4708869792442581,-0.22339686866441807,-47.57151281273517,-65.12959602271896,-30.89859870877152,0.8740625640468487,0.8349379503739415,0.9145908495041668,-0.1440828621810203,-0.19769379215800725,-0.09338509186062448,-0.38070798718994225,-0.5223633439337384,-0.24675002854357128,-52.65670638865038,-72.24942516372592,-34.12863465332936,-0.03676594955386697,-0.05147636468948036,-0.0233531598791532,-5.08519357591521,-7.119829141006965,-3.230035944557843,0.8487436670355855,0.8137798488367003,0.9220440795638288,-0.1782120313105945,-0.22883357388303696,-0.08454684777440148,-0.3772659084250839,-0.4844291684138961,-0.17898142507840123,-140.24754960040292,-180.08519271892047,-66.5358457540525,0.8349379503739415,-0.19769379215800725,-0.4185078164476118,0.7971822581575662,-0.254418283607042,-0.5385907123053776,0.9145908495041668,-0.09338509186062448,-0.19769154335464872,-155.5791139210453,-200.2195956525567,-73.49128005749023,-0.04124190802252792,-0.05416154389148148,-0.01871011827624749,-15.331564320642348,-20.134402933636235,-6.95543430343773,0.8396
29510127700,29510127700,Census Tract 1277; St. Louis city; Missouri,957,779,327,St. Louis city,Missouri,67622,0.6194644280641594,0.2157644423921723,29510,957,779,327,0.013247,0.007869701533,0.003654612741,0.8089196068405164,0.7251181208873083,0.8536579025406061,-0.2362167903258108,-0.3790856567979929,-0.17142944149390427,-2.994609777123837,-4.805812544692082,-2.1732760015765504,-312.9163821446016,-502.1747695603012,-227.09258114697496,0.7919465994363901,0.7021819059488593,0.8402572174661542,-0.26271140088444933,-0.42413239579094353,-0.19011176484215112,-3.3304919966330995,-5.376887127619796,-2.4101188952628254,-348.01379275163004,-561.8481847042628,-312.9163821446016,-0.33588221950926256,-0.5710745829277135,-0.23684289368627495,-35.09741060702848,-59.673415143961705,-24.748473739422675,0.8764689882195705,0.8380201638082438,0.9162601955653044,-0.1409416801287701,-0.19328870973183465,-0.09139303970640213,-0.40125297549057226,-0.5502820020151051,-0.26019080436544445,-51.50872599365497,-70.63953812774135,-33.40061673497362,0.8649882531719179,0.823341327416637,0.9082819888516924,-0.15608506396820204,-0.21456310609071133,-0.10097966520756764,-0.4443653310337752,-0.6108490027274981,-0.28748338384755356,-57.04304634579912,-78.41450612676483,-36.90415710494911,-0.04311235554320292,-0.06056700071239296,-0.02729257948210911,-5.534320352144149,-7.774967999023486,-3.503540369975496,0.8380201638082438,0.8008817143652528,0.9162601955653044,-0.19328870973183465,-0.24862383803151317,-0.09139303970640213,-0.497407696879245,-0.6398066955701004,-0.23519015391134188,-152.1124455288211,-195.6595399296943,-71.92359446830027,0.823341327416637,-0.21456310609071133,-0.5521550668112313,0.7832947501925719,-0.27665862659509904,-0.711951207431432,0.9082819888516924,-0.10097966520756764,-0.2598603031300637,-168.8547604927313,-217.72208178331255,-79.46798260858216,-0.05474736993198625,-0.07214451186133164,-0.02467014921872182,-16.74231496391017,-22.06254185361824,-7.544388140281902,0.8393
29189219802,29189219802,Census Tract 2198.02; St. Louis County; Missouri,2538,1395,659,St. Louis city,Missouri,87542,0.702321584437207,0.1882287742211755,29189,2538,1395,659,0.014069,0.007869701533,0.003654612741,0.7820163081885071,0.6888795016247942,0.8323831884647781,-0.2787457109640575,-0.4516326841507051,-0.2013697703870848,-9.95320710837034,-16.126503352156696,-7.190334958323626,-392.1673407553325,-635.4020233316271,-283.30712995758967,0.7630225813840651,0.6636782546062946,0.817251319153721,-0.31057720229731056,-0.5067542036513119,-0.22361380956291232,-11.08981805284875,-18.09473417379024,-7.984605578947678,-436.9510659120863,-712.9524891170307,-392.1673407553325,-1.1366109444784112,-1.9682308216335436,-0.7942706206240526,-44.78372515675379,-77.55046578540362,-31.295138716471733,0.8582281398243274,0.8147289996304836,0.9035675662003474,-0.16519134434894217,-0.22740199557588492,-0.10672409834846897,-0.8421759965059846,-1.1593373913528344,-0.5440991731864921,-60.37103917605625,-83.10662303604548,-39.00352495960517,0.8452068832286974,0.7982050892252857,0.8944512941198116,-0.18314228130749663,-0.2528108546270615,-0.11800386066192012,-0.933693189981646,-1.288876449684505,-0.6016054856638277,-66.93141146821836,-92.39257703831578,-43.12584126622421,-0.09151719347566134,-0.12953905833167068,-0.05750631247733551,-6.5603722921621035,-9.285954002270298,-4.122316306619033,0.8147289996304836,0.7730134586968198,0.9035675662003474,-0.22740199557588492,-0.29363853727184014,-0.10672409834846897,-1.1793370640727376,-1.5228485993176952,-0.5534854014510716,-178.95858331908008,-231.08476469160777,-83.98868003809888,0.7982050892252857,-0.2528108546270615,-1.3111107943734153,0.7533655570077304,-0.3273768500538694,-1.6978199870681094,0.8944512941198116,-0.11800386066192012,-0.6119837525165296,-198.95459702176257,-257.6358098737647,-92.86551631510312,-0.13177373030067763,-0.1749713877504142,-0.05849835106545797,-19.996013702682493,-26.551045182156937,-8.876836277004246,0.223
29189216102,29189216102,Census Tract 2161.02; St. Louis County; Missouri,2251,682,157,St. Louis city,Missouri,46329,0.5978557686751729,0.232995286356579,29189,2251,682,157,0.014069,0.007869701533,0.003654612741,0.816086720446896,0.73487837709508,0.859295061709549,-0.22535997087710424,-0.3607693887428369,-0.16374461411487878,-7.1369968075377255,-11.425320857531911,-5.185680418935999,-317.058943026998,-507.56645302229737,-230.372297598223,0.7996684137342984,0.7125855574037875,0.8463627627462698,-0.2505183183742264,-0.4033402580363396,-0.18152646124837724,-7.933744539936939,-12.773511297295157,-5.748819408215998,-352.45422212069917,-567.4594090313262,-317.058943026998,-0.7967477323992131,-1.3481904397632416,-0.5631389892799987,-35.39527909370116,-59.89295600902895,-25.017280732119,0.881289501647126,0.8442030673733018,0.91959957047249,-0.1347009105759283,-0.18454911933861257,-0.08742982501198912,-0.33573473085829086,-0.45997869388090207,-0.21791410795877125,-49.22796640150892,-67.44555628752231,-31.95221524322159,0.8702227971627983,0.8300258505877318,0.9119239792283091,-0.1491310078985709,-0.20478175383563227,-0.09658263493216032,-0.371700967613205,-0.5104074405639626,-0.2407269914204137,-54.50160815442889,-74.83980066920273,-35.29721281824248,-0.03596623675491411,-0.05042874668306052,-0.02281288346164245,-5.273641752919958,-7.394244381680429,-3.3449975750208876,0.8442030673733018,0.8083133219976819,0.91959957047249,-0.18454911933861257,-0.2371440291601031,-0.08742982501198912,-0.22801839851754205,-0.2930016785822204,-0.10802332058450329,-145.23464873728793,-186.625272982306,-68.80466279267725,0.8300258505877318,-0.20478175383563227,-0.2530166912882405,0.7912937039695987,-0.2637532625160628,-0.3258785343339565,0.9119239792283091,-0.09658263493216032,-0.11933201209932782,-161.15712820907038,-207.5659454356411,-76.00765101868014,-0.02499829277069845,-0.0328768557517361,-0.01130869151482454,-15.922479471782456,-20.940672453335097,-7.202988226002892,0.4373
