geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059087404,06059087404,Census Tract 874.04; Orange County; California,2860,1753,415,Anaheim city,California,36299,0.32112237700474283,0.1895641110918471,06059,2860,1753,415,0.009319,0.009493868073,0.003212018401,0.9136875960161062,0.8721268778964745,0.934865955000344,-0.09446599073932524,-0.14662215480842533,-0.06967206865462552,-2.517739703621348,-3.9078235214867862,-1.856923662286422,-88.0328567699772,-136.63718606597158,-64.92740077924553,0.9054771640962106,0.8602756654887358,0.9285905909418876,-0.10439008254629596,-0.1624180947067527,-0.07690085356742683,-2.782239972651946,-4.328822282276573,-2.0495876955692727,-97.2811179248932,-151.35742245722284,-88.0328567699772,-0.26450026903059776,-0.4209987607897867,-0.19266403328285064,-9.248261154916005,-14.720236391251284,-6.736504660239532,0.945419277801154,0.9275374228886264,0.963457159497786,-0.05773176354705742,-0.0781236156334305,-0.0379288691167779,-0.3250684084223326,-0.43988816266555425,-0.21356487935796628,-18.54354868353295,-25.09344909672301,-12.182822553221124,0.9401278083416698,0.920586464235752,0.959877140758746,-0.06368516187595948,-0.08626407062173697,-0.0417999945384037,-0.3585900194138784,-0.4857243641653662,-0.2353619023881985,-20.455791181624555,-27.70817821821827,-13.426235161905222,-0.03352161099154582,-0.04583620149981193,-0.02179702303023223,-1.912242498091604,-2.6147291214952615,-1.2434126086840978,0.9275374228886264,0.9098118493288058,0.963457159497786,-0.0781236156334305,-0.0991283535576379,-0.0379288691167779,-0.307803549586963,-0.3905612770525144,-0.14943804701440094,-74.16953002095494,-94.11115109699143,-36.009167955277334,0.920586464235752,-0.08626407062173697,-0.3398765779579312,0.9012530503506788,-0.10956628619553464,-0.4316862645514212,0.959877140758746,-0.0417999945384037,-0.16469010794388597,-81.89797059227257,-104.0207866388967,-39.68436335997252,-0.0320730283709682,-0.0411249874989068,-0.01525206092948502,-7.728440571317639,-9.909635541905256,-3.675195404695187,0.9402
06059110203,06059110203,Census Tract 1102.03; Orange County; California,4066,2546,1070,Anaheim city,California,54493,0.40411326142661935,0.18843921955320608,06059,4066,2546,1070,0.009319,0.009493868073,0.003212018401,0.8832516727251107,0.8284727708401612,0.9115302582706268,-0.1321801371908912,-0.2070402736180352,-0.0970562863126669,-5.0084447160274665,-7.844974187835747,-3.677564985712722,-123.1786698481915,-192.940830984647,-90.44675321477428,0.8723543187100328,0.8130290492850348,0.9031256949244716,-0.14632320669738802,-0.2299683521509896,-0.107265583982338,-5.54434052642389,-8.713743249644162,-4.0644060350163045,-136.35859632129586,-214.30750736950716,-123.1786698481915,-0.5358958103964238,-0.8687690618084156,-0.38684104930358254,-13.179926473104372,-21.366676384860195,-9.514044498366516,0.9257120309415604,0.9017172761788872,0.9500893367736392,-0.0802495447562453,-0.10899505467788648,-0.05253260014037202,-0.6562646347360633,-0.8913396326856265,-0.4296010369600749,-25.7763014428933,-35.00941212433725,-16.873567830325015,0.9185937767307089,0.8924367162494676,0.9452373810924788,-0.08862048201438662,-0.12052763158666886,-0.0579353081066557,-0.7247204758102906,-0.9856507268556484,-0.4737832959479409,-28.465061893569946,-38.71369704853293,-18.60892757061826,-0.06845584107422731,-0.0943110941700217,-0.04418225898786604,-2.688760450676642,-3.704284924195668,-1.735359740293246,0.9017172761788872,0.8781029602881173,0.9500893367736392,-0.10899505467788648,-0.13881861834503628,-0.05253260014037202,-1.107219596601765,-1.4101804440489858,-0.533649205532858,-103.47846697212758,-131.7925648643912,-49.87375752643533,0.8924367162494676,-0.12052763158666886,-1.2243725737754303,0.8667622442301813,-0.15371891964232287,-1.5615442434468827,0.9452373810924788,-0.0579353081066557,-0.5885322839685204,-114.42734334349818,-145.93871434083016,-55.00301719331967,-0.11715297717366546,-0.1513637993978969,-0.05488307843566242,-10.948876371370604,-14.146149476438962,-5.129259666884338,0.3755
06059087504,06059087504,Census Tract 875.04; Orange County; California,4410,2632,747,Anaheim city,California,46225,0.3295810825579179,0.20448556472313695,06059,4410,2632,747,0.009319,0.009493868073,0.003212018401,0.9105380623115442,0.8675742138678227,0.9324604154526152,-0.09825172762283278,-0.15263914488859243,-0.07243158361269547,-4.037830617252758,-6.272978883266056,-2.976705581098387,-91.56078497171788,-142.24441912167927,-67.49899276867092,0.9020444013970124,0.8553370785145787,0.9259625979724684,-0.1085928790769967,-0.16912972104126495,-0.07995722741895561,-4.462818746922728,-6.950688628391448,-3.2859853842190607,-101.19770401185322,-157.6119870383548,-91.56078497171788,-0.4249881296699698,-0.6777097451253917,-0.3092798031206736,-9.63691904013537,-15.36756791667555,-7.013147463053824,0.943391597076464,0.9248722607881816,0.9620861027040404,-0.06000520155040941,-0.08123039515510411,-0.03940800848219174,-0.507285919961775,-0.6867243950592871,-0.3331565817665964,-19.27378115356288,-26.09135239586957,-12.657924839156395,0.937910081268149,0.9176771742959328,0.9583746892801552,-0.06620028931547378,-0.08970782755627267,-0.0434332325190162,-0.5596593928431968,-0.7583928835140386,-0.36718595631769,-21.26365474328255,-28.81431928244827,-13.950834206599165,-0.0523734728814218,-0.07166848845475149,-0.03402937455109356,-1.989873589719673,-2.722966886578704,-1.2929093674427643,0.9248722607881816,0.9065282515203714,0.9620861027040404,-0.08123039515510411,-0.10310958133170556,-0.03940800848219174,-0.5760794193748019,-0.7312448453824307,-0.27947842186154626,-77.11906551202166,-97.89087622254762,-37.41344335495934,0.9176771742959328,-0.08970782755627267,-0.6362006871112109,0.8976757175998099,-0.11398802529022732,-0.8083938936833825,0.9583746892801552,-0.0434332325190162,-0.3080249865010465,-85.16742799346866,-108.21872740072054,-41.23493795194732,-0.06012126773640902,-0.07714904830095182,-0.02854656463950022,-8.04836248144699,-10.327851178172931,-3.8214945969879826,0.9636
06059087001,06059087001,Census Tract 870.01; Orange County; California,3455,2401,910,Anaheim city,California,55139,0.42085213606551214,0.20264451674600212,06059,3455,2401,910,0.009319,0.009493868073,0.003212018401,0.8772368616269214,0.8199363575099236,0.9068946227204414,-0.1399429774820479,-0.2196068522158406,-0.10266394236660852,-4.505764337721231,-7.070713663786991,-3.305485838649338,-130.41286071552042,-204.65162557994185,-95.6725278914425,0.8658218863423522,0.8038187986787895,0.8980747984799373,-0.15497195875294928,-0.24406147460555427,-0.11349299823642658,-4.989654626902727,-7.858082686788848,-3.654150520702971,-144.41836836187343,-227.440888184916,-130.41286071552042,-0.48389028918149624,-0.7873690230018573,-0.348664682053633,-14.005507646353005,-22.78926260497416,-10.091597165083444,0.921787233612822,0.8965972319835234,0.9474156702990144,-0.08484904491531481,-0.11532800272840552,-0.05550291318739672,-0.6543606012742152,-0.8894160362610345,-0.42804158469932424,-27.253669357526665,-37.04356669142168,-17.827637846702384,0.914310606662648,0.8868642184283966,0.9423117794163745,-0.09372022233246236,-0.12756832356151457,-0.06121988692463872,-0.7227756199051104,-0.9838140781970004,-0.4721312073450984,-30.10310786776803,-40.97518026643067,-19.663940330907888,-0.06841501863089516,-0.0943980419359658,-0.04408962264577415,-2.8494385102413644,-3.931613575008987,-1.836302484205504,0.8965972319835234,0.8718426148525981,0.9474156702990144,-0.11532800272840552,-0.1469960093302728,-0.05550291318739672,-0.9963670471537202,-1.2699602550535691,-0.47951297527616793,-109.49088430260662,-139.55607198390868,-52.693733546831645,0.8868642184283966,-0.12756832356151457,-1.102116319109985,0.8599672302602736,-0.16283500674478585,-1.4068000052479663,0.9423117794163745,-0.06121988692463872,-0.5289043122149129,-121.11168341867966,-154.5934071701062,-58.12135299064976,-0.10574927195626482,-0.1368397501943972,-0.04939133693874492,-11.62079911607306,-15.037335186197495,-5.427619443818124,0.9811
06059110202,06059110202,Census Tract 1102.02; Orange County; California,5348,3382,1390,Anaheim city,California,55239,0.403478138269906,0.20501732228026712,06059,5348,3382,1390,0.009319,0.009493868073,0.003212018401,0.8834807030225593,0.8287984122082603,0.9117066140290612,-0.13188663496418823,-0.20656601806896335,-0.09684407748315887,-6.572967695984832,-10.294839687313212,-4.826516295734602,-122.905155123127,-192.49887223846696,-90.24899580655575,0.8726031469681532,0.813380584319481,0.9033178994636996,-0.14599632544815505,-0.2294367720083398,-0.10702998423224058,-7.276166619641056,-11.434672596592902,-5.334161638526216,-136.05397568513567,-213.81212783457187,-122.905155123127,-0.7031989236562239,-1.13983290927969,-0.5076453427916139,-13.148820562008671,-21.3132555961049,-9.49224649946922,0.9258612781496872,0.9019121207139336,0.9501909321483564,-0.08007541043133098,-0.10875547299267056,-0.05242006229108781,-0.8698628855764973,-1.181415731122201,-0.5694415601619472,-25.72036917730625,-34.93245804619164,-16.837420466054027,0.9187566875742836,0.8926488416353395,0.945348565884482,-0.08842745149449324,-0.12026135402583654,-0.05781088170836244,-0.9605914937787114,-1.3064046487274692,-0.62800228072114594,-28.403060135384724,-38.62816820601624,-18.56896158252945,-0.09072860820221418,-0.12498891760526788,-0.0585607205591987,-2.6826909580784797,-3.6957101598245967,-1.7315411164754198,0.9019121207139336,0.8783413797416727,0.9501909321483564,-0.10875547299267056,-0.1385094942175081,-0.05242006229108781,-1.435189056804689,-1.82783730229298,-0.6917601265203414,-103.25101128091288,-131.49908649589784,-49.766915577002976,0.8926488416353395,-0.12026135402583654,-1.587026146868279,0.8670211220323953,-0.15337443874018566,-2.024002195165943,0.945348565884482,-0.05781088170836244,-0.7628999489309726,-114.17454294016396,-145.61166871697432,-54.88488841230018,-0.15183709006358992,-0.1961648928729629,-0.07113982241063121,-10.923531659251074,-14.112582221076469,-5.11797283529721,0.9289
06059087101,06059087101,Census Tract 871.01; Orange County; California,3225,1822,759,Anaheim city,California,55254,0.42702796352594313,0.22632609591046549,06059,3225,1822,759,0.009319,0.009493868073,0.003212018401,0.8750280488145314,0.8168090987362551,0.905190259448094,-0.1428205088451482,-0.2242762740365808,-0.10474012458962234,-4.292295438217593,-6.740348677733741,-3.147836137888477,-133.0944321927936,-209.00305977468963,-97.60732210506904,0.8634241105877816,0.8004470779506374,0.8962184064273995,-0.1581793787519363,-0.24930183087215765,-0.1157994444527263,-4.753887458650474,-7.492461132119879,-3.480210448707234,-147.4073630589294,-232.3243761897637,-133.0944321927936,-0.4615920204328807,-0.7521124543861379,-0.3323743108187571,-14.312930866135837,-23.321316415074044,-10.306180180426578,0.9203433810665494,0.8947155362753472,0.9464311191404564,-0.08655097713761972,-0.11767367331403052,-0.05660092929762753,-0.5065220694292092,-0.6886613472842261,-0.3312454785330123,-27.80033311905649,-37.79700039979287,-18.18032264176796,0.9127353745138652,0.884817037556954,0.9412346634698372,-0.09560780476226524,-0.13017715251174958,-0.06243430975387799,-0.5595253193359639,-0.761835427667207,-0.365384156548972,-30.709402817561138,-41.81314092575231,-20.054015178318988,-0.05300324990675476,-0.0731740803829809,-0.03413867801595971,-2.909069698504652,-4.016140525959434,-1.873692536551027,0.8947155362753472,0.869544141407024,0.9464311191404564,-0.11767367331403052,-0.15002787366479547,-0.05660092929762753,-0.8479383525525083,-1.081077733443326,-0.4078575724707051,-111.71783301087066,-142.43448398462792,-53.73617555608762,0.884817037556954,-0.13017715251174958,-0.9380364964576016,0.8574736767714122,-0.1662165581166673,-1.1977308983996025,0.9412346634698372,-0.06243430975387799,-0.44989201292439024,-123.58847120653512,-157.80380743077765,-59.274310003213465,-0.0900981439050932,-0.11665316495627652,-0.04203444045368515,-11.870638195664451,-15.36932344614974,-5.538134447125843,0.8378
06059087403,06059087403,Census Tract 874.03; Orange County; California,1682,1068,404,Anaheim city,California,40336,0.2910602358410269,0.2018609397604792,06059,1682,1068,404,0.009319,0.009493868073,0.003212018401,0.9249694222848934,0.8885011898054208,0.9434655444978288,-0.0811168195482217,-0.12549089576233105,-0.05992211992464676,-1.2714702927841348,-1.967014324098612,-0.93925274424183125,-75.5927641369878,-116.9449657609163,-55.84142355777831,0.917783221039738,0.8780592352570958,0.9379909511152136,-0.08958191550627848,-0.13887532850468784,-0.06610836576947929,-1.4041569303542614,-2.176809391415783,-1.0362194135389178,-83.48138706030092,-129.4179186335186,-75.5927641369878,-0.13268663757012655,-0.20979506731717068,-0.09696666929708651,-7.888622923313112,-12.4729528726023,-5.764962502799437,0.9526609644473274,0.9370716809671444,0.9683457101568262,-0.04969137743576558,-0.06715422129490428,-0.03268903813086264,-0.1704630727659559,-0.2303682349303346,-0.11213764184245928,-15.960961869471529,-21.57005945040586,-10.499779198732144,0.9480521059225198,0.9310008868866416,0.9652359221996794,-0.05479434490252134,-0.07411283285035106,-0.03601614589840033,-0.18796847429627855,-0.2542393041004233,-0.1235510709471584,-17.600044409763907,-23.805178286556487,-11.568452335876255,-0.01750540153032265,-0.02387106917008868,-0.01141342910469911,-1.639082540292383,-2.2351188361506265,-1.0686731371441116,0.9370716809671444,0.9215782640293506,0.9683457101568262,-0.06715422129490428,-0.08509503645167546,-0.03268903813086264,-0.25757154027762286,-0.32638394409469046,-0.12537954784086125,-63.75533175188684,-80.78810497393329,-31.03454154476764,0.9310008868866416,-0.07411283285035106,-0.2842614528694035,0.9140826071556029,-0.0939930288267388,-0.36051239584694866,0.9652359221996794,-0.03601614589840033,-0.13814074521356243,-70.36174575975335,-89.23574154627443,-34.19325376573328,-0.02668991259178066,-0.0341284517522582,-0.0127611973727012,-6.6064140078665,-8.44763657234114,-3.1587122209656453,0.9818
06059086406,06059086406,Census Tract 864.06; Orange County; California,2738,1569,591,Anaheim city,California,49748,0.3779571750267814,0.1977053537015959,06059,2738,1569,591,0.009319,0.009493868073,0.003212018401,0.8927330644694937,0.8419900143842919,0.9188213674084252,-0.12015566556196684,-0.18766254102342703,-0.08835083235008187,-3.0658225125044503,-4.788288927805053,-2.2543087714635903,-111.97306473719688,-174.88272197973166,-82.33414066704128,0.8826606835834194,0.8276326879310617,0.9110751367266398,-0.13293819312332716,-0.20826547160652475,-0.09760431350684678,-3.3919740974591903,-5.313981396069496,-2.4904152481474955,-123.88510217162856,-194.0825929901204,-111.97306473719688,-0.32615158495474006,-0.5256924682644435,-0.23610647668390516,-11.912037434431705,-19.19987101038873,-8.62331908998923,0.9318783854270438,0.9097764348607364,0.9542823100917414,-0.07310139996619697,-0.09917113884475871,-0.04790792978637894,-0.3684059726317178,-0.4997885113006432,-0.24143952753140663,-23.480304183028544,-31.853952281749088,-15.388115202766514,0.9253268462313368,0.9012144609777164,0.9498271088249196,-0.08069921895467684,-0.10961379704794394,-0.05282318298658794,-0.4066963733029087,-0.5524159254675949,-0.26621071709537536,-25.920737622875,-35.20815331214754,-16.96690357523106,-0.03829040067119088,-0.05262741416695171,-0.02477118956396873,-2.4404334398464553,-3.354201030398452,-1.5787883724645464,0.9097764348607364,0.88797547017512235,0.9542823100917414,-0.09917113884475871,-0.12615723472945117,-0.04790792978637894,-0.5564369659252111,-0.7078526044987586,-0.26880545494007535,-94.15177088413049,-119.7720142975903,-45.48315650424287,0.9012144609777164,-0.10961379704794394,-0.6150294265388819,0.87748775684487,-0.13961703989539398,-0.783373902688202,0.9498271088249196,-0.05282318298658794,-0.29638433130812697,-104.06589281537764,-132.55057575096478,-50.149633047060405,-0.05859246061367085,-0.07552129818944331,-0.02757887636805162,-9.914121931247182,-12.778561453374502,-4.6664765428175325,0.8195
06059075813,06059075813,Census Tract 758.13; Orange County; California,3103,2339,983,Anaheim city,California,92695,0.501794605665369,0.2277341014284414,06059,3103,2339,983,0.009319,0.009493868073,0.003212018401,0.848724561817522,0.7798824822956495,0.884809021123561,-0.17823855345782091,-0.28224446977756973,-0.13018739199806706,-5.1540987622266625,-8.161622971598804,-3.764610197611049,-166.10050796734328,-263.02362138571715,-121.32163060299868,0.8349172765006568,0.7607326949561821,0.8740464154083499,-0.19772344895202715,-0.31452217924930853,-0.14410399993781248,-5.717540698892568,-9.09499288068062,-4.167034759329732,-184.25848207839408,-293.1032188424306,-166.10050796734328,-0.5634419366659058,-0.9333699090818168,-0.40242456171868257,-18.157974111050784,-30.0795974567134,-12.968886939048746,0.9030420040792444,0.8722459780579127,0.9345926714086424,-0.10736820157066264,-0.14646559016131694,-0.06998485071873496,-0.8066477469186274,-1.100382949294139,-0.5257899575932667,-34.48686391272456,-47.04501707114746,-22.479262829981476,0.8938790251833942,0.8604048962693657,0.9282920012379732,-0.11871961621969288,-0.16224350225795495,-0.07724724404217308,-0.8919299153542519,-1.218920999272158,-0.5803516725693043,-38.13295918573117,-52.112911469523645,-24.811956928999756,-0.08528216843562453,-0.11853804997801888,-0.05456171497603757,-3.6460952730066065,-5.067894398376181,-2.3326940990182803,0.8722459780579127,0.842194122859706,0.9345926714086424,-0.14646559016131694,-0.1873747071571308,-0.06998485071873496,-1.3668860653917938,-1.7486692672173725,-0.6531316818551203,-139.05249902256296,-177.8910749966808,-66.44269398322689,0.8604048962693657,-0.16224350225795495,-1.5141329932341472,0.8278533815018357,-0.2079433657513937,-1.9406257041206292,0.9282920012379732,-0.07724724404217308,-0.7209077664922595,-154.03184061385016,-197.41868810993176,-73.33751439392265,-0.14724692784235338,-0.1919564369032567,-0.06777608463713924,-14.979341591287222,-19.527613113250936,-6.894820410695752,0.2699
06059021827,06059021827,Census Tract 218.27; Orange County; California,1814,1402,481,Anaheim city,California,193008,0.7308657491990248,0.2022675743471391,06059,1814,1402,481,0.009319,0.009493868073,0.003212018401,0.7729569055441963,0.6768194524956729,0.8251775468499328,-0.29373318593480346,-0.4774989050811794,-0.21186040969902983,-4.96546140134375,-8.07195950576304,-3.58142946458526,-273.7299559726433,-444.981229645151,-197.43271579852592,0.753304929931843,0.650908758728252,0.8094725807696176,-0.32748367927245264,-0.5363136331946181,-0.23537229519156255,-5.536002218551935,-9.066202840401532,-3.978890035866771,-305.1820407139986,-499.7906747740646,-273.7299559726433,-0.570540817208185,-0.994243334638492,-0.39746057128151113,-31.45208474135529,-54.809445128913566,-21.91072609049124,0.8520325151307009,0.8068560650776267,0.8992358180479723,-0.17366412929276656,-0.23937842606883183,-0.11205534736234472,-0.782052955192577,-1.0779808488883793,-0.5046132203969339,-55.78123788820093,-76.88879093355058,-35.99238376582981,0.8384975257398974,0.7897246148385961,0.8897355776737302,-0.19260936294068537,-0.26626419033979326,-0.12392942925196164,-0.867368074794457,-1.1990541614160928,-0.5580851772701853,-61.86648179703688,-85.52454788987824,-39.80636071827284,-0.08531511960187999,-0.12107331252771349,-0.05347195687325135,-6.085243908835947,-8.635756956327636,-3.8139769524430345,0.8068560650776267,0.7636391982674688,0.8992358180479723,-0.23937842606883183,-0.3095189485673108,-0.11205534736234472,-1.093133681574159,-1.4134339226838175,-0.5117064073562311,-227.26271966198732,-293.8532063791721,-106.38386847322892,0.7897246148385961,-0.26626419033979326,-1.215908883007726,0.7433220814057379,-0.3453118439705763,-1.5768839886271864,0.8897355776737302,-0.12392942925196164,-0.5659300024582294,-252.7877095650158,-327.8345090701011,-117.65696516803108,-0.12277520143356702,-0.16345006594336864,-0.05422359510199837,-25.524989903028487,-33.98130269092903,-11.273096694802156,0.118
06059011716,06059011716,Census Tract 117.16; Orange County; California,3579,2455,1123,Anaheim city,California,61336,0.4301804406607583,0.24053372433264095,06059,3579,2455,1123,0.009319,0.009493868073,0.003212018401,0.8739026959464634,0.815217377328037,0.9043214952321784,-0.14429215590984,-0.2266666876969772,-0.1058014271166437,-4.8125331327062755,-7.559946261417658,-3.528763363994709,-134.46586009237987,-211.23068626481304,-98.59634993000024,0.8622027169139682,0.7987314249394267,0.8952722831029288,-0.15982005203978197,-0.2519852966544253,-0.11697862077679298,-5.3304304094872865,-8.404390255711347,-3.901552962160763,-148.93630649587277,-234.8250979522589,-134.46586009237987,-0.517897276781011,-0.8444439942936883,-0.3727895981660545,-14.470446403492906,-23.594411687445888,-10.416026771893112,0.919607232542162,0.8937565397231744,0.9459289453527344,-0.08742076466232257,-0.11887293189455451,-0.05716185651460599,-0.6893568920995575,-0.9373731195571466,-0.45075011532737985,-28.079710472487072,-38.1822044626129,-18.36049349602362,0.9119323371604132,0.8837738679005306,0.9406853198278928,-0.09657258466545118,-0.13151116628462106,-0.06305475265943263,-0.7615236160899089,-1.0370319822359917,-0.4972185783699362,-31.019291897755963,-42.24162860431737,-20.253302581260133,-0.0721667239903514,-0.09965886267884484,-0.04646846304255636,-2.939581425268896,-4.059424141704474,-1.8928090852365116,0.8937565397231744,0.86837321297631,0.9459289453527344,-0.11887293189455451,-0.1515785897777122,-0.05716185651460599,-1.2673772965991013,-1.6160723915280275,-0.6094376408779881,-112.85639328576148,-143.90671340409864,-54.26871245574248,0.8837738679005306,-0.13151116628462106,-1.4021212713609623,0.8562036205517363,-0.16794647440944196,-1.7905804569470642,0.9406853198278928,-0.06305475265943263,-0.672265424008588,-124.8549662832558,-159.44616713687125,-59.863350312429915,-0.13474397476186128,-0.17450806541903674,-0.06282778313059989,-11.998572997494326,-15.53945373277264,-5.594637856687434,0.4164
