geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48027022406,48027022406,Census Tract 224.06; Bell County; Texas,2739,2124,623,Killeen city,Texas,14882,0.6251213193668695,0.2140631878770136,48027,2739,2124,623,0.009986,0.006897320142,0.003436016044,0.8070537596884788,0.7225844815372114,0.8521882786694999,-0.23907482989237056,-0.3839212238167923,-0.17344960618476807,-6.539092027324977,-10.500880477093462,-4.7441336148020365,-238.74012513052128,-383.3837341034488,-173.20677673610942,0.7899374642446596,0.6994835303767167,0.8386661453485108,-0.26592299424132615,-0.4296262264551617,-0.19236958060879675,-7.273433729132745,-11.75098789532723,-5.261626208936918,-265.5507020493883,-429.0247497381245,-238.74012513052128,-0.734341701807768,-1.2501074182337677,-0.5174925941348816,-26.81057691886703,-45.6410156346757,-18.89348645983503,0.8752113955901958,0.8364090453640097,0.9153879913287516,-0.14258110102148916,-0.19558726145147629,-0.09243294589043916,-1.0405708592464895,-1.427415016773903,-0.6745847046966085,-48.991095068102155,-67.20409683492952,-31.76010850737328,0.8636231195839651,0.8216003071436107,0.9073309635266766,-0.15791249368327706,-0.21713683807716272,-0.10213366477997284,-1.152460866556207,-1.5846859405158158,-0.7453815025742554,-54.25898618437886,-74.60856593765611,-35.09329108165044,-0.11189000730971732,-0.15727092374191276,-0.07079679787764692,-5.267891116276711,-7.40446910272659,-3.333182574277162,0.8364090453640097,0.7989475178269608,0.9153879913287516,-0.19558726145147629,-0.25164666975858097,-0.09243294589043916,-0.8404444177890739,-1.0813334022076906,-0.3971871829326273,-134.90279579278874,-173.5687643993083,-63.75396194745221,0.8216003071436107,-0.21713683807716272,-0.9330436047011996,0.7812141068530183,-0.2800588100339376,-1.2034212340769852,0.9073309635266766,-0.10213366477997284,-0.4388714673729629,-149.7662286839807,-193.16552713916295,-70.44485832631827,-0.09259918691212587,-0.12208783186929462,-0.04168428444033556,-14.863432891191954,-19.59676273985467,-6.690896378866062,0.3493
48027023001,48027023001,Census Tract 230.01; Bell County; Texas,3689,2127,471,Killeen city,Texas,0,NA,NA,48027,3689,2127,471,0.009986,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4589
48027022402,48027022402,Census Tract 224.02; Bell County; Texas,4651,2857,748,Killeen city,Texas,139926,0.6313328478753336,0.19513742179376892,48027,4651,2857,748,0.009986,0.006897320142,0.003436016044,0.805009930154516,0.7198126244148048,0.8505774777659023,-0.2422207013124136,-0.3892504327955942,-0.1756718536994017,-11.2499128592951,-18.07869197664203,-8.15905921847739,-241.8815923305762,-388.7054821896804,-175.42591310422253,0.7877372115311219,0.6965325318938295,0.8369225446469529,-0.26945888217760305,-0.4356831220518315,-0.194853701093498,-12.514987064426206,-20.235252935821403,-9.04995793396559,-269.08163974255444,-435.07316568095905,-241.8815923305762,-1.265074205131107,-2.1565609591793695,-0.8908987154882002,-27.200047411978225,-46.36768349127864,-19.154992807744577,0.8738325790672553,0.8346435303558609,0.9144312270369708,-0.1443839746366725,-0.1981162779439951,-0.09357595238769076,-1.4173738516155097,-1.9448476373075745,-0.9186068494657108,-49.610565334809586,-68.07307095931306,-32.152847373668564,0.862126621264359,0.819692826658676,0.9062878406727084,-0.15992242361503886,-0.21996919757894223,-0.10340220305475128,-1.5699101101027748,-2.159371146235566,-1.0150681831418205,-54.9496013336638,-75.58176920670515,-35.52916286810712,-0.15253625848726515,-0.21452350892799177,-0.09646133367610964,-5.339035998854223,-7.508698247392082,-3.37631549443856,0.8346435303558609,0.7968290607659266,0.9144312270369708,-0.1981162779439951,-0.25497430909307167,-0.09357595238769076,-1.0221206029522485,-1.3154622994745322,-0.4827766293054185,-136.6471394321188,-175.86394378001768,-64.54233012104525,0.819692826658676,-0.21996919757894223,-1.13486408685645,0.7789358297341283,-0.2838028009846803,-1.4641941241395642,0.9062878406727084,-0.10340220305475128,-0.533472177196819,-151.71979770808156,-195.74787755876525,-71.319809785671,-0.11274348390420164,-0.148731824665032,-0.05069554789140057,-15.072658275962786,-19.88393377874759,-6.777479664625744,0.3561
48027021906,48027021906,Census Tract 219.06; Bell County; Texas,2942,2452,920,Killeen city,Texas,100859,0.5957854440449563,0.19989187044954967,48027,2942,2452,920,0.009986,0.006897320142,0.003436016044,0.8167767258863048,0.7358203754914495,0.8598371079109893,-0.22432479808343592,-0.3590273296415673,-0.16301098289365804,-6.5903960698312245,-10.547796420401632,-4.789069020367996,-224.0107433661191,-358.5246913800691,-162.7827675176069,0.8004121812140311,0.7135903865384485,0.8469500585759495,-0.2493562985051559,-0.40136417034833416,-0.18070716197999517,-7.325791814798856,-11.791602504199684,-5.308961738863825,-249.00719968724863,-400.8022605098465,-224.0107433661191,-0.7353957449676312,-1.2438060837980505,-0.5198927184958295,-24.996456321129543,-42.277569129777376,-17.671404435616232,0.8817527442737182,0.8447978404376432,0.9199201540151708,-0.1341047776649447,-0.18371514714331555,-0.08705086592059659,-1.1298476830380844,-1.5478205695063405,-0.7334132376146881,-46.078616763380275,-63.1248193110253,-29.91081719472627,0.8707259784391941,0.8306691363885378,0.9122736838356486,-0.14846693995800378,-0.20384874818830304,-0.09616227862181308,-1.2508504994386485,-1.7174483999832455,-0.8101779040861067,-51.01347876992857,-70.04275693243252,-33.04151321721479,-0.1210028164005641,-0.16962783047690522,-0.07676466647141855,-4.934862006548291,-6.917937621407227,-3.1306960224885216,0.8447978404376432,0.8090289539295233,0.9199201540151708,-0.18371514714331555,-0.2360497051964751,-0.08705086592059659,-1.1657708099995172,-1.497861555271625,-0.5523842756212584,-126.7142184782084,-162.811038616481,-60.04176908926722,0.8306691363885378,-0.20384874818830304,-1.293529270656615,0.7920643582393911,-0.2625236694437436,-1.665853009565596,0.9122736838356486,-0.09616227862181308,-0.6102010595397395,-140.60100768006686,-181.07097930060823,-66.32620212388473,-0.12775846065709784,-0.1679914542939709,-0.05781678391848111,-13.886789201858461,-18.25994068412727,-6.284433034617512,0.1967
48027021901,48027021901,Census Tract 219.01; Bell County; Texas,1737,1076,586,Killeen city,Texas,4894,0.6644541723794495,0.16978185296849932,48027,1737,1076,586,0.009986,0.006897320142,0.003436016044,0.7941988158223912,0.705210952190154,0.8420395725880045,-0.2591305603553465,-0.4180154135359469,-0.1875926411944095,-4.494796296405647,-7.25076243429303,-3.253922299698327,-258.767777570849,-417.4301919569965,-187.33001149673728,0.776107997497257,0.6810060235212931,0.8276862725582983,-0.2884804733680563,-0.46841579290191526,-0.20818724818172543,-5.0038905542517735,-8.124991387454479,-3.611149803415288,-288.07660070534104,-467.76001079185255,-258.767777570849,-0.5090942578461268,-0.8742289531614489,-0.35722750371696144,-29.308823134492044,-50.329818834856006,-20.565774537533763,0.8665169953154126,0.8252921153567484,0.9093463929973165,-0.1540454548568889,-0.21169217709989965,-0.099690951325906,-0.5695296561274577,-0.78265842338929,-0.3685727260204413,-52.9302654393548,-72.73777169045447,-34.253970819743614,0.85419061126638,0.8095962084421381,0.900745877876161,-0.1706988894638521,-0.23518365028443697,-0.11019103674153582,-0.6310999562304775,-0.86951000013426,-0.4073931510802278,-58.65241228907783,-80.80947956638104,-37.86181701489106,-0.06157030010301989,-0.08685157674497002,-0.0388204250597865,-5.722146849723038,-8.071707875926581,-3.607846195147444,0.8252921153567484,0.7856274218523736,0.9093463929973165,-0.21169217709989965,-0.27286799338313955,-0.099690951325906,-0.8556237081707717,-1.1028859334250294,-0.40293383824141343,-146.01087170149688,-188.20579068686507,-68.7600406555313,0.8095962084421381,-0.23518365028443697,-0.9505722399110954,0.7668992220442814,-0.30395229419369413,-1.2285233806362756,0.900745877876161,-0.11019103674153582,-0.4453733943105606,-162.21369281759308,-209.6456280949276,-76.0022857185257,-0.0949485317403237,-0.12563744721124626,-0.04243955606914718,-16.202821116096192,-21.439837408062505,-7.242245062994399,0.9813
48027023302,48027023302,Census Tract 233.02; Bell County; Texas,2639,1719,659,Killeen city,Texas,710148,0.6991024876439859,0.1486538233577808,48027,2639,1719,659,0.009986,0.006897320142,0.003436016044,0.7830446309522593,0.6902529993201962,0.8331997499048824,-0.27706641546587407,-0.4487441575550729,-0.2001923909772649,-7.301546208358615,-11.825779016233344,-5.275680889812975,-276.67852248422184,-448.11591573449584,-199.91212162989677,0.7641263353010714,0.6651339758288555,0.8181332513105819,-0.3086841191070749,-0.5034565010062099,-0.2222947770403936,-8.134769259771176,-13.267616357667704,-5.8581462632634524,-308.25196134032495,-502.7516619048011,-276.67852248422184,-0.8332230514125607,-1.4418373414343597,-0.5824653734504777,-31.5734388561031,-54.63574617030539,-22.071442722640302,0.8589296784383219,0.8156216841434919,0.9040573909036044,-0.16423966373844198,-0.22605862428747112,-0.10612446738641362,-0.9700834757066304,-1.335217882030532,-0.626825395500555,-56.43301196664516,-77.67410599363188,-36.46453726006719,0.8459668984426583,0.799167179416673,0.8949846796158297,-0.1820793483065372,-0.25130263824137344,-0.11733756205664646,-1.0754537791851384,-1.4843219427657488,-0.69305566901384,-62.56275620623259,-86.3479896896887,-40.31737457904829,-0.10537030347850806,-0.14910406073521676,-0.06623027351328492,-6.129744239587439,-8.673883696056821,-3.852837318981089,0.8156216841434919,0.7740778449656996,0.9040573909036044,-0.22605862428747112,-0.29185973543049953,-0.10612446738641362,-1.0275119449941474,-1.3265999709717362,-0.4823711470393363,-155.91987025707851,-201.30500318235755,-73.19744264633327,0.799167179416673,-0.25130263824137344,-1.1422544192482966,0.7545067012420246,-0.3253692755198314,-1.4789120219787504,0.8949846796158297,-0.11733756205664646,-0.5333384071928919,-173.33147484799645,-224.4176057630881,-80.93147301864825,-0.11474247425414918,-0.15231205100701417,-0.05096726015355563,-17.411604590917932,-23.112602580730528,-7.734030372314966,0.2618
48027021908,48027021908,Census Tract 219.08; Bell County; Texas,4276,3407,1121,Killeen city,Texas,328493,0.6301224280911861,0.18012118490631332,48027,4276,3407,1121,0.009986,0.006897320142,0.003436016044,0.8054077979356556,0.7203519315441131,0.8508911301211315,-0.24160704994799467,-0.38821034026582835,-0.1752384818697565,-10.316653891338166,-16.576634325957148,-7.482707008272136,-241.2688000780675,-387.66684578945626,-174.99314799513883,0.7881654861244722,0.6971066048098594,0.83726202968021,-0.2687690816266896,-0.43450082541214313,-0.1943692231952132,-11.476476338054749,-18.553244337210767,-8.29959226464996,-268.39280491241226,-433.89252425656616,-241.2688000780675,-1.159822446716582,-1.9766100112536191,-0.816885256377823,-27.124004834344763,-46.2256784671099,-19.1039582876011,0.8741010939219489,0.8349872777665961,0.9146175900139818,-0.14403243166435506,-0.19762303765247297,-0.0933531247575426,-1.6861166208095812,-2.31347540682517,-1.0928389768841011,-49.48977460550576,-67.90359280379131,-32.076283442444996,0.8624180353212497,0.8200641832748714,0.9064910164147564,-0.15953048178949686,-0.2194167485849302,-0.10315489275898072,-1.8675446478461375,-2.568603629043678,-1.2075834392914129,-54.814929493576095,-75.39194684601344,-35.44418665369571,-0.18142802703655647,-0.25512822221850806,-0.11474446240731172,-5.325154888070339,-7.488354042222133,-3.3679032112507112,0.8349872777665961,0.797241436288865,0.9146175900139818,-0.19762303765247297,-0.2543251698694564,-0.0933531247575426,-1.528000750456585,-1.966415732885912,-0.7217966406216069,-136.3069358123626,-175.41621167581732,-64.38863877088376,0.8200641832748714,-0.2194167485849302,-1.6965074542073348,0.7793792681527728,-0.2830723639469217,-2.188686044311511,0.9064910164147564,-0.10315489275898072,-0.797582890240624,-151.3387559506989,-195.24407174946575,-71.14923195723675,-0.16850670375075016,-0.22227031142559883,-0.07578624961901714,-15.031820138336322,-19.827860073648424,-6.7605931863530015,0.5845
48027022403,48027022403,Census Tract 224.03; Bell County; Texas,2888,2015,985,Killeen city,Texas,0,NA,NA,48027,2888,2015,985,0.009986,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6472
48027022407,48027022407,Census Tract 224.07; Bell County; Texas,2140,1461,580,Killeen city,Texas,13055,0.5822623589083592,0.18134268095844577,48027,2140,1461,580,0.009986,0.006897320142,0.003436016044,0.8212981229285237,0.7420031566675138,0.8633861022557937,-0.2175846651570011,-0.3477031613870784,-0.15823036459270218,-4.649792997791719,-7.430430466968321,-3.3813892205606293,-217.28004662578127,-347.2163769611365,-158.0088420822724,0.8052874173511371,0.7201887419626086,0.8507962342683757,-0.24179265496204888,-0.3885248987298372,-0.17536956526368375,-5.167118708245183,-8.30279262685257,-3.7476546244675326,-241.454145245102,-387.9809638716154,-217.28004662578127,-0.5173257104534636,-0.8723621598842488,-0.3662654039069033,-24.17409861932073,-40.76458691047892,-17.11520579004221,0.8847845790557082,0.8486931401843486,0.9220169139668736,-0.13021861328918752,-0.17828217603218205,-0.08457880202827613,-0.6536999701985458,-0.8949799895376881,-0.42458723041787794,-44.74332444890799,-61.25804172058098,-29.06141207514565,0.8740198562086224,0.8348832750604841,0.9145612089399234,-0.14413876629515265,-0.19777222741413025,-0.09342052803563523,-0.7235794089002185,-0.992820426367202,-0.4689728668604853,-49.526311355251096,-67.9548546452568,-32.09944331693944,-0.06987943870167279,-0.09784043682951382,-0.04438563644260734,-4.7829869063431065,-6.696812924675826,-3.038031241793795,0.8486931401843486,0.8137189771022894,0.9220169139668736,-0.17828217603218205,-0.22892549902310316,-0.08457880202827613,-0.7132081613496881,-0.9158040241490814,-0.3383529033931984,-122.96692437063588,-157.89724554294506,-58.33670748158593,0.8348832750604841,-0.19777222741413025,-0.7911770532495772,0.7971166651672772,-0.2545215069492333,-1.018199463542821,0.9145612089399234,-0.09342052803563523,-0.37372374802394825,-136.40983676716849,-175.551631645314,-64.43512896964624,-0.07796889189988909,-0.10239543939373974,-0.03537084463074985,-13.442912396532602,-17.65438610236892,-6.098421488060319,0.6587
48027022504,48027022504,Census Tract 225.04; Bell County; Texas,5579,3913,1126,Killeen city,Texas,98179,0.6285630192135885,0.1655617804135301,48027,5579,3913,1126,0.009986,0.006897320142,0.003436016044,0.8059206691115944,0.7210473277439983,0.85129538544076,-0.2408169170079093,-0.38687151525654295,-0.17468039543318784,-13.41636655375144,-21.553344849591905,-9.731775674251844,-240.47977332409823,-386.32989513518385,-174.43584287958137,0.7887175843924839,0.6978468923275319,0.8376995982741047,-0.2678809497701996,-0.4329790832265447,-0.19374534983695768,-14.924155078216684,-24.122084788934437,-10.793920393109504,-267.50591644052133,-432.3729125100275,-240.47977332409823,-1.5077885244652445,-2.5687399393425316,-1.0621447188576596,-27.02614311642309,-46.04301737484373,-19.03826346760458,0.8744471487982041,0.8354303433674446,0.9148577412841872,-0.1435796907501493,-0.1969878852726484,-0.0930661182319979,-1.9304477195124097,-2.648527879600275,-1.2512861308321614,-49.33421210100715,-67.6853534270451,-31.977667539794567,0.862793615289161,0.8205428577002057,0.9067528390738676,-0.1590257302319686,-0.21870538585001112,-0.10283635948840518,-2.1381217403811696,-2.940522515081378,-1.3826483022783893,-54.641496048585985,-75.14752146898488,-35.33473811087118,-0.2076740208687602,-0.29199463548110316,-0.13136217144622786,-5.307283947578845,-7.462168041939769,-3.357070571076613,0.8354303433674446,0.7977730228119195,0.9148577412841872,-0.1969878852726484,-0.25348936527746796,-0.0930661182319979,-1.5298832609324715,-1.9686953653298704,-0.7227870701085458,-135.8688508821023,-174.8397304911075,-64.19068118193124,0.8205428577002057,-0.21870538585001112,-1.698549676923546,0.7799509311860227,-0.2821319393508031,-2.1911445507920293,0.9067528390738676,-0.10283635948840518,-0.7986665006266254,-150.84810629871637,-194.59543079858165,-70.92952936293298,-0.16866641599107446,-0.2224491854621589,-0.07587943051807955,-14.979255416614071,-19.755700307474147,-6.738848181001736,0.6465
48027023301,48027023301,Census Tract 233.01; Bell County; Texas,3486,2591,1141,Killeen city,Texas,245560,0.6961300688825328,0.14766419144091672,48027,3486,2591,1141,0.009986,0.006897320142,0.003436016044,0.7839953544836274,0.6915236781062137,0.8339544498850834,-0.2755177620390906,-0.4460820817279466,-0.1991062583067903,-9.591102815824144,-15.52865077911957,-6.931126982744305,-275.13203717223587,-445.45756681352754,-198.8275095451608,0.7651469267712413,0.6664809809452503,0.8189484464845378,-0.3069385303810722,-0.500417909272864,-0.22107808408777604,-10.68489734104746,-17.420145921607887,-7.695992516484053,-306.50881643853876,-499.717324199882,-275.13203717223587,-1.0937945252233163,-1.891495142488317,-0.7648655337397479,-31.376779266302822,-54.25975738635448,-21.941065224892363,0.8595779676576182,0.8164468311376526,0.9045099163351474,-0.16336160025720187,-0.2248195006239181,-0.10557107439104148,-1.454362188873761,-2.0015045182840807,-0.9398694588653244,-56.131307945726014,-77.24834111478505,-36.27439053899361,0.8466692808595614,0.8000565747463102,0.8954774744470472,-0.1810987154096026,-0.2499116082098192,-0.11672267425542442,-1.6122707155822231,-2.2248924653575135,-1.0391490029116206,-62.22580916951846,-85.87002953907809,-40.10609814402241,-0.15790852670846234,-0.2233879470734328,-0.09927954404629612,-6.094501223792449,-8.621688424293046,-3.8317076050287966,0.8164468311376526,0.7750619691458918,0.9045099163351474,-0.2248195006239181,-0.2902194144579007,-0.10557107439104148,-1.7692940118331817,-2.283981018964454,-0.8308277050011083,-155.06520699677316,-200.17362129399245,-72.81574978099108,0.8000565747463102,-0.2499116082098192,-1.9667649410577517,0.7555619349293881,-0.3235182369178725,-2.546037499901484,0.8954774744470472,-0.11672267425542442,-0.9185890371260198,-172.37203690251985,-223.140885179797,-80.50736521700436,-0.19747092922456977,-0.26205648093703005,-0.08776133212491155,-17.306829905746692,-22.967263885804563,-7.691615436013282,0.4172
