geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06067001400,06067001400,Census Tract 14; Sacramento County; California,1900,838,407,Sacramento city,California,44742,0.576334753371204,0.23667808263772025,06067,1900,838,407,0.011058,0.009493868073,0.003212018401,0.8232878792677896,0.7447296207095246,0.8649463554007669,-0.2146419559697314,-0.34276920400624344,-0.15614106442087602,-4.509670423315251,-7.201649530011976,-3.2805549916954897,-237.35107491132905,-379.034185790104,-172.6607890366047,0.8074337411049285,0.7231002147126045,0.8524876387443483,-0.2384917165234577,-0.3829341765545582,-0.17303753691129947,-5.01075866250115,-8.045523636246578,-3.635553258013784,-263.7241401316395,-423.4486124340305,-237.35107491132905,-0.5010882391858988,-0.843874106234602,-0.3549982663182947,-26.373065220310465,-44.41442664392642,-18.684119279910245,0.8861168143970045,0.8504062330480784,0.9229374975561851,-0.12851938226732793,-0.1759085965488969,-0.0834969893929611,-0.34593194816990513,-0.473488141869661,-0.2247464600082495,-41.28066207278104,-56.502164900914195,-26.81938663582929,0.8754675945299328,0.8367372013495409,0.9155657124915428,-0.14224673334360555,-0.1951183697666829,-0.09222089289329652,-0.3828814667347496,-0.525194539425387,-0.24822834173127176,-45.68991249818014,-62.67237940637076,-29.62152049299186,-0.03694951856484446,-0.05170639755572598,-0.02348188172302232,-4.4092504253991,-6.170214505456561,-2.802133857162568,0.8504062330480784,0.8157833273948656,0.9229374975561851,-0.1759085965488969,-0.22581568710580863,-0.0834969893929611,-0.6797115744765168,-0.8725527872739324,-0.3226327265283074,-167.00530085418103,-214.38643421963943,-79.2709401789453,0.8367372013495409,-0.1951183697666829,-0.7539382209017736,0.7993414015960929,-0.2510299078757087,-0.969980644893974,0.9155657124915428,-0.09222089289329652,-0.35634192721621066,-185.2428061183719,-238.3244827749322,-87.55329907032204,-0.07422664642525689,-0.09742785762004168,-0.03370920068790328,-18.237505264190883,-23.9380485552928,-8.282358891376727,0.4504
06067002800,06067002800,Census Tract 28; Sacramento County; California,2279,1334,745,Sacramento city,California,47990,0.5557103608589938,0.1907804290152898,06067,2279,1334,745,0.011058,0.009493868073,0.003212018401,0.83024863854652875,0.754294332630403,0.8703970741876126,-0.2044584640941366,-0.3257424280423308,-0.14890092080485523,-5.152594965076801,-8.209094214216682,-3.752479205170743,-226.09016959529623,-360.2059769292094,-164.6546382260089,0.8149462943693215,0.7333223628811046,0.8583989243292969,-0.2270747249349598,-0.363656763542792,-0.16495952133367597,-5.72255147068586,-9.164580283572866,-4.15717491976285,-251.09923083307856,-402.13164912561945,-226.09016959529623,-0.569956505609059,-0.9554860693561836,-0.404695714592107,-25.009061237782316,-41.925672196409984,-17.757600464769947,0.8907678189283392,0.8563937255954229,0.9261477263632988,-0.12262699521753638,-0.16768720988086672,-0.07974135392708549,-0.5254361402408199,-0.7185116146020903,-0.3416783486433593,-39.38801650980658,-53.86144037496929,-25.613069613445223,0.8805235393649097,0.8432198555153866,0.919069367581287,-0.1356879802682668,-0.1859303282046026,-0.08805715354402247,-0.581400274081208,-0.7966803217532019,-0.3773101574957921,-43.58322894161979,-59.72116354971529,-28.284119752308257,-0.05596413384038812,-0.07816870715111157,-0.03563180885243283,-4.195212431813203,-5.859723174745995,-2.671050138863031,0.8563937255954229,0.8230068837490024,0.9261477263632988,-0.16768720988086672,-0.21505666568030343,-0.07974135392708549,-1.186040184863116,-1.5210811110801103,-0.5640051511388818,-159.20002481384105,-204.17196121880676,-75.70538941461501,0.8432198555153866,-0.1859303282046026,-1.3150725150243454,0.8071306034831742,-0.2389568623522605,-1.690125570101234,0.919069367581287,-0.08805715354402247,-0.6228222339799859,-176.5198006744088,-226.86249263103812,-83.60029986308535,-0.1290323301612295,-0.16904445902112353,-0.05881708284110409,-17.319775860567717,-22.690531412231344,-7.894910448470349,0.9405
06067007208,06067007208,Census Tract 72.08; Sacramento County; California,3137,2135,933,Sacramento city,California,189339,0.7144545982153025,0.20348059096726184,06067,3137,2135,933,0.011058,0.009493868073,0.003212018401,0.7781526059650697,0.6837272054786192,0.8293126938234159,-0.28509497023375474,-0.46257161041293526,-0.20581779037971443,-9.889644027310323,-16.04612161474735,-7.139602216321235,-315.25801808448597,-511.5116867946238,-227.59331260188827,0.7588767612578364,0.6582201101811134,0.813935787629923,-0.31773701746051936,-0.5192486290411937,-0.2285981464359396,-11.021962240889014,-18.012187653384,-7.929828757416401,-351.35359390784237,-574.1851339937521,-315.25801808448597,-1.132318213578689,-1.9660660386366509,-0.7902265410951665,-36.09557582335635,-62.67344719912818,-25.19051772697375,0.8555891347753078,0.8113731778845635,0.9017237646880836,-0.16878529583316515,-0.2324785034270297,-0.10898707471229996,-1.157472051333348,-1.5942583678531377,-0.7473962249694929,-54.21414760343551,-74.6725230844561,-35.00684894470693,0.8423484612478117,0.7945892981792753,0.8924437801537362,-0.1871571517073248,-0.2585117900422313,-0.12051876234459918,-1.2834599793723127,-1.772785777558489,-0.8264766097459377,-60.115221516267574,-83.03446264910956,-38.71084823165985,-0.12598792803896464,-0.1785274097053513,-0.07908038477644486,-5.901073912832067,-8.361939564653456,-3.703999286952921,0.8113731778845635,0.769014845323897,0.9017237646880836,-0.2324785034270297,-0.3003650138623991,-0.10898707471229996,-2.0592431851746036,-2.6605668857256863,-0.9653834120790584,-220.71202413446983,-285.16258153544334,-103.470890898077,0.7945892981792753,-0.2585117900422313,-2.2898402823676256,0.7490799899956231,-0.3349709154637051,-2.9670983111642535,0.8924437801537362,-0.12051876234459918,-1.0675285516094668,-245.4276829976019,-318.01696797044514,-114.41892300208646,-0.230597097193022,-0.30653142543856715,-0.10214513953040828,-24.71565886313205,-32.854386435001835,-10.94803210400946,0.3629
06067004100,06067004100,Census Tract 41; Sacramento County; California,3709,2341,1032,Sacramento city,California,82341,0.49169338359541914,0.24357293727407237,06067,3709,2341,1032,0.011058,0.009493868073,0.003212018401,0.8522315203323116,0.7847721466036368,0.887535551494226,-0.1733900661290594,-0.27425521449484863,-0.12671542938920305,-7.111441325805311,-11.24833682642789,-5.19712208025116,-191.7347351255139,-303.27141618840363,-140.12192181858074,0.8387129565435741,0.7659808966280729,0.8770095735205645,-0.19230303073068888,-0.3055155871407543,-0.14023840810051494,-7.887139963358223,-12.530453563892529,-5.751755178920308,-212.64869138199575,-337.83913626024605,-191.7347351255139,-0.775698637552912,-1.2821167374646372,-0.5546330986691483,-20.913956256481853,-34.56772007184247,-14.95370985896868,0.9053603385866994,0.875248403683534,0.9361833921695876,-0.10453259037284156,-0.1425327893103737,-0.06816678053059534,-0.7860155734531062,-1.0717518022472277,-0.512568863912211,-33.57606037817626,-45.781794201077645,-21.89529534012008,0.8964036408942935,0.8636632895635005,0.930030145465896,-0.1155688736408456,-0.15785863783258028,-0.0752339640550607,-0.8690010853470586,-1.1869919926210748,-0.5657093848814896,-37.12093487172399,-50.70448494750426,-24.16528769250276,-0.08298551189395231,-0.11524019037384714,-0.05314052096927857,-3.544874493547728,-4.9226907464266185,-2.2699923523826815,0.875248403683534,0.8458383327983376,0.9361833921695876,-0.1425327893103737,-0.18225902187672208,-0.06816678053059534,-1.3964894977186528,-1.7857140882935918,-0.6678757468008127,-135.31874977893924,-173.034310881162,-64.71664213186169,0.8636632895635005,-0.15785863783258028,-1.5466471323825155,0.8317946055376182,-0.20221986695100616,-1.9812838982067835,0.930030145465896,-0.0752339640550607,-0.7371176918866926,-149.86890817660037,-191.9848738572465,-71.42613293475704,-0.1501576346638629,-0.19556980991319195,-0.06924194508587989,-14.550158397661132,-18.95056297608449,-6.709490802895338,0.86240000000000006
06067004906,06067004906,Census Tract 49.06; Sacramento County; California,1999,1175,517,Sacramento city,California,49036,0.5106467539489008,0.1908880622182415,06067,1999,1175,517,0.011058,0.009493868073,0.003212018401,0.8456631255771244,0.7756225072710321,0.8824265290738627,-0.18250396612427447,-0.28928697997486275,-0.13323882164958795,-4.034239585947052,-6.3946719136995025,-2.9452364247124865,-201.8128857402227,-319.8935424562032,-147.33548898011438,0.8316050794816938,0.7561630355623059,0.8714579010533454,-0.2024938575691,-0.3224661256502303,-0.14750236218098847,-4.476114976921217,-7.128095004463054,-3.260531160873744,-223.9177076999108,-356.58304174402474,-201.8128857402227,-0.4418753909741646,-0.7334230907635515,-0.31529473616125747,-22.10482195968807,-36.68949928782149,-15.772623119622684,0.9010152261532136,0.8696232885009628,0.933200874714156,-0.10985915772965484,-0.14992320608591064,-0.07158065009991015,-0.414621822471565,-0.5658284136047108,-0.2701540791998333,-35.28696361460127,-48.15560966848603,-22.991836527645383,0.8916724391036663,0.8575595304282856,0.9267714594161164,-0.12148806685695872,-0.16609980359098367,-0.07901466951735758,-0.4585107398396019,-0.6268808600056525,-0.2982109726154565,-39.02219062464697,-53.35156255367255,-25.37965724386864,-0.0438889173680369,-0.06105244640094165,-0.02805689341562317,-3.7352270100456937,-5.195952885186523,-2.3878207162232488,0.8696232885009628,0.8390134511110309,0.933200874714156,-0.14992320608591064,-0.19187600470026905,-0.07158065009991015,-0.7358725392046471,-0.9417907105743186,-0.3513414375407386,-142.33511396608262,-182.1645474998682,-67.95772486281211,0.8575595304282856,-0.16609980359098367,-0.8152726147001533,0.8244148686851108,-0.21298151935922296,-1.0453835369870994,0.9267714594161164,-0.07901466951735758,-0.387830056534645,-157.69296222440104,-202.20184467835577,-75.01548482294874,-0.0794000754955062,-0.10359282641278078,-0.03648861899390637,-15.357848258318416,-20.037297178487577,-7.057759960136629,0.8478
06067009610,06067009610,Census Tract 96.10; Sacramento County; California,4665,2613,1021,Sacramento city,California,73299,0.5780786428328696,0.20151749316168904,06067,4665,2613,1021,0.011058,0.009493868073,0.003212018401,0.8227019970470347,0.7439264620663848,0.8644870395980873,-0.2155069558471352,-0.34421888585912985,-0.15675534067568522,-11.117049156339302,-17.75672743180815,-8.086313599299407,-238.3075917757621,-380.63724398302577,-173.3400557191727,0.806801703789422,0.7222424454913707,0.8519896821858987,-0.23946193383474,-0.3845766144631109,-0.17372313410458232,-12.352780350167349,-19.83860386574982,-8.961606894971318,-264.79700643445545,-425.2648202733081,-238.3075917757621,-1.2357311938280446,-2.0818764339416695,-0.875293295671911,-26.489414658693345,-44.627576290282306,-18.762985973674407,0.8857246653461026,0.8499018859254638,0.922666568353563,-0.1290190271592398,-0.17660640193908192,-0.08381514438572689,-1.082857221579042,-1.482258252349022,-0.7034608489471518,-41.4411489314597,-56.726301276273325,-26.921578604942663,0.8750414240732028,0.8361913530077432,0.915270075102502,-0.142803040506507,-0.195898518207638,-0.09257368639306708,-1.1985465018664203,-1.6441770629378245,-0.7769713277654886,-45.86859938256489,-62.92296452115669,-29.73483841429348,-0.11568928028737856,-0.1619188105888023,-0.07351047881833683,-4.427450451105188,-6.196663244883364,-2.8132598093508165,0.8499018859254638,0.8151754566105281,0.922666568353563,-0.17660640193908192,-0.2267297695124017,-0.08381514438572689,-1.711888116354849,-2.1977459128918606,-0.812440251707206,-167.66778808568552,-215.25425199724395,-79.57299233175377,0.8361913530077432,-0.195898518207638,-1.8988912159982532,0.7986862447946006,-0.25205611905482556,-2.443240279666172,0.915270075102502,-0.09257368639306708,-0.8973388953256421,-185.98346875595035,-239.29875412988952,-87.8882365647054,-0.18700309964340425,-0.24549436677431125,-0.08489864361843613,-18.31568067026486,-24.04450213264557,-8.315244232951628,0.8113
06067007020,06067007020,Census Tract 70.20; Sacramento County; California,3268,2534,879,Sacramento city,California,92821,0.6248074052127264,0.2632191949452514,06067,3268,2534,879,0.011058,0.009493868073,0.003212018401,0.8071571870415027,0.72272484683534155,0.8522697651980762,-0.2389160575591599,-0.38365244308229807,-0.1733374112685903,-8.633839542350673,-13.86425704259404,-6.263988326564778,-264.19337644891897,-424.2428715604051,-191.6765093808072,0.7900488221682769,0.6996329974458194,0.8387543586616719,-0.26574456152660964,-0.42932080626663327,-0.1922441769430729,-9.603355784928562,-15.514599526575935,-6.947232403024081,-293.86033613612494,-474.74294756964304,-264.19337644891897,-0.9695162425778888,-1.6503424839818948,-0.6832440764593031,-29.666959687205907,-50.5000760092379,-20.907101482842812,0.8752811350401078,0.8364983688743248,0.9154363702200198,-0.14249006401146436,-0.19545959347858524,-0.09237521310154614,-1.1597629129684213,-1.5908954008337652,-0.751865380761624,-45.76807075644915,-62.78198109051955,-29.67108842784625,0.8636988175532825,0.8216968238866482,0.9073837120449904,-0.1578110096675094,-0.21699387283739632,-0.10206959495258978,-1.2844639908067756,-1.766168383768499,-0.8307704231096292,-50.68918669324293,-69.69883124579711,-32.78494171703351,-0.12470107783835438,-0.1752729829347337,-0.07890504234800522,-4.92111593679378,-6.916850155277572,-3.1138532891872615,0.8364983688743248,0.7990547284042137,0.9154363702200198,-0.19545959347858524,-0.2514787341251239,-0.09237521310154614,-1.6311318152032637,-2.098617708030144,-0.770881317946778,-185.56675940878995,-238.75059249489695,-87.69980864013402,0.8216968238866482,-0.21699387283739632,-1.810837746002102,0.7813294216552459,-0.27986988878711444,-2.335545017738291,0.9073837120449904,-0.10206959495258978,-0.8517820012263576,-206.01112013675788,-265.70478017500466,-96.9035268744434,-0.17970593079883823,-0.2369273097081468,-0.08090068327957955,-20.444360727967943,-26.954187680107715,-9.203718234309392,0.2335
06067001701,06067001701,Census Tract 17.01; Sacramento County; California,1440,710,272,Sacramento city,California,57608,0.4616580039868223,0.23662345670479432,06067,1440,710,272,0.011058,0.009493868073,0.003212018401,0.8627450878903137,0.799493121661261,0.8956924597439344,-0.15909092272587522,-0.2507924995303365,-0.11645463699212742,-2.5332874898439286,-3.993499382121304,-1.8543677412368809,-175.9227423502728,-277.32634598064607,-128.7755375858945,0.8501014262414269,0.7818009698806487,0.8858798225840777,-0.17633022264334164,-0.27909792712672377,-0.128821285355657,-2.8077978268657033,-4.444221424560928,-2.051288313786511,-194.98596019900717,-308.6264878167311,-175.9227423502728,-0.27451033702177474,-0.45072204243962455,-0.19692057254963055,-19.063217848734357,-31.30014183608504,-13.675039760391012,0.912288986277177,0.8842371272605241,0.9409293172756912,-0.09614389194892033,-0.13091835795011642,-0.06277908620738731,-0.2192593245594184,-0.2985636440827798,-0.1431697818682263,-30.881595008368787,-42.05121747644786,-20.164758009609336,0.9039526348852052,0.8734250042643955,0.9352176627824,-0.10625265241578943,-0.144917989658662,-0.06926979653577509,-0.24231268704734668,-0.3304902670878806,-0.1579720613855693,-34.12854747145728,-46.54792494195502,-22.249586110643563,-0.0230533624879283,-0.03192662300510079,-0.014802279517343,-3.2469524630884936,-4.496707465507154,-2.0848281010342258,0.8842371272605241,0.8567675901232473,0.9409293172756912,-0.13091835795011642,-0.16717767050005763,-0.06277908620738731,-0.3380746802897173,-0.431708267586291,-0.1621164505174287,-124.2921618712196,-158.7162748479011,-59.60163621964291,0.8734250042643955,-0.144917989658662,-0.3742263788608506,0.8436247890762498,-0.18536109055659392,-0.4786638971743848,0.9352176627824,-0.06926979653577509,-0.1788776202531427,-137.58322752237154,-175.9793739611709,-65.7638309754201,-0.03615169857113326,-0.04695562958809379,-0.01676116973571398,-13.291065651151936,-17.263099113269778,-6.162194755777199,0.5335
06067006204,06067006204,Census Tract 62.04; Sacramento County; California,2355,1351,640,Sacramento city,California,63457,0.5500805407259801,0.23001048878781913,06067,2355,1351,640,0.011058,0.009493868073,0.003212018401,0.8321589142694735,0.7569264791233054,0.8718909103158001,-0.2016935501770944,-0.32113227318752224,-0.14693247534579593,-5.25242073935632,-8.362794994117447,-3.8263552806403256,-223.032727785831,-355.1080676907621,-162.47793123738114,0.8170091055835933,0.7361377136684051,0.8600196317981814,-0.22397656668183089,-0.35844147288241274,-0.16276415447533343,-5.8327059191359005,-9.33438587579991,-4.238637377543299,-247.67328743676865,-396.364580713372,-223.032727785831,-0.5802851797795805,-0.971590881682463,-0.412282096902973,-24.6405596509376,-41.256513022609894,-17.50667078144259,0.8920416350229816,0.8580354373623994,0.9270259577257752,-0.12102390823297958,-0.16545302962544253,-0.07871844543948717,-0.5251756082973141,-0.7179729753141195,-0.34159372368240865,-38.87310202052658,-53.14381756581195,-25.284509524974737,0.8819087215805173,0.8449981289684771,0.9200280841625618,-0.1339041961256998,-0.1834345730691023,-0.08692334203061983,-0.5810688043431887,-0.7960027477287507,-0.37719835438041505,-43.01027419268607,-58.91952240775356,-27.919937407876763,-0.05589319604587461,-0.07802977241463116,-0.0356046306980064,-4.137172172159483,-5.775704841941611,-2.6354278829020283,0.8580354373623994,0.8249897799916901,0.9270259577257752,-0.16545302962544253,-0.2121362279300875,-0.07871844543948717,-1.0053051107469515,-1.2889557513421492,-0.47829922298504934,-157.07892355421117,-201.3993361472108,-74.73425359141396,0.8449981289684771,-0.1834345730691023,-1.1145623275168868,0.8092699705144437,-0.2356815851752307,-1.4320191212090576,0.9200280841625618,-0.08692334203061983,-0.5281527946898947,-174.15036367451356,-223.75298768891528,-82.52387417029605,-0.10925721676993529,-0.14306336986690835,-0.04985357170484539,-17.071440120302384,-22.353651541704433,-7.789620578882092,0.6938
06067006501,06067006501,Census Tract 65.01; Sacramento County; California,2446,1540,650,Sacramento city,California,65260,0.5454081723926486,0.20186864746704616,06067,2446,1540,650,0.011058,0.009493868073,0.003212018401,0.8337476505169942,0.7591179552791218,0.8731326395174311,-0.199403679734408,-0.31731833379215446,-0.14530136057299012,-5.393444408170542,-8.582784406390134,-3.930092020998641,-220.50058905030835,-350.89061350736444,-160.67424452161248,0.8187250631649784,0.7384824694463954,0.8613670323039287,-0.22141124657190753,-0.3541282851976861,-0.16094529102798927,-5.988702170992408,-9.578415113093367,-4.3532269869466385,-244.83655645921536,-391.59505777160126,-220.50058905030835,-0.5952577628218654,-0.9956307067032332,-0.42313496594799727,-24.33596740890701,-40.704444264236834,-17.299058297138075,0.8931001989885301,0.8594003361992043,0.9277554624634424,-0.11969519336412418,-0.1636020581776983,-0.07787023678063705,-0.5920732719391028,-0.8092589448146887,-0.38518577548163513,-38.446316359682,-52.54928213082394,-25.01206334296332,0.8830599832946787,0.8464768225767327,0.9208245131800964,-0.13242590414868588,-0.18136725463543388,-0.08598325271171209,-0.6550458389777476,-0.8971346372109139,-0.42531687642729266,-42.53544408946413,-58.255495922786615,-27.61797898878524,-0.06297256703864484,-0.08787569239622517,-0.04013110094565753,-4.089127729782133,-5.706213791962673,-2.6059156458219173,0.8594003361992043,0.8266390765056386,0.9277554624634424,-0.1636020581776983,-0.2097177939218542,-0.07787023678063705,-1.0095906319267198,-1.2941714942355451,-0.48053834062561623,-155.32163568103385,-199.1033068054685,-73.92897548086404,0.8464768225767327,-0.18136725463543388,-1.1192199123761544,0.8110498052010132,-0.23296990343540833,-1.4376605933269553,0.9208245131800964,-0.08598325271171209,-0.5306038775260691,-172.18767882710063,-221.1785528195316,-81.6313657732414,-0.10962928044943454,-0.14348909909141017,-0.05006553690045284,-16.86604314606685,-22.075246014063104,-7.70239029237736,0.989
06067003001,06067003001,Census Tract 30.01; Sacramento County; California,1917,1093,489,Sacramento city,California,53261,0.5034035400508239,0.23143984948273064,06067,1917,1093,489,0.011058,0.009493868073,0.003212018401,0.8481673033069944,0.7791064686026299,0.8843755101835219,-0.17901267368007664,-0.2835216241928459,-0.13074139716112695,-3.7947439530275697,-6.010144124662046,-2.771480454921441,-197.95221455542875,-313.51821203244896,-144.57383698077416,0.8343142841380714,0.7599000816018228,0.8735753653517496,-0.19858909167916047,-0.3159624853468384,-0.14472092467642428,-4.209728502985896,-6.697831533404555,-3.067821079382832,-219.59981757881565,-349.3913162965339,-197.95221455542875,-0.41498454995832645,-0.6876874087425087,-0.29634062446139087,-21.64760302338688,-35.87310426408496,-15.458561526415798,0.9026732855521558,0.8717687000354185,0.9343395492226284,-0.10782053263968094,-0.14709325989723154,-0.07027472061093962,-0.378529437584794,-0.5164056193961105,-0.24671599943012693,-34.63215348442763,-47.24662574529831,-22.572369572747203,0.8934775584418579,0.8598870317759683,0.9280154476781636,-0.1192222910935864,-0.16294346006666635,-0.0775682694743253,-0.41855800273256194,-0.572051489518018,-0.2723217248115886,-38.29441928019779,-52.337739205674104,-24.915070888525943,-0.04002856514776792,-0.05564587012190747,-0.02560572538146169,-3.662265795770167,-5.091113460375798,-2.3427013157787457,0.8717687000354185,0.8416151202024493,0.9343395492226284,-0.14709325989723154,-0.18819158068292716,-0.07027472061093962,-0.6828806779030988,-0.87367969329253925,-0.32625049498377817,-139.64840038918177,-178.66660394530456,-66.71789263471946,0.8598870317759683,-0.16294346006666635,-0.7564652557699951,0.8272273451807891,-0.2088575236611064,-0.9696213643133976,0.9280154476781636,-0.0775682694743253,-0.36011080643263693,-154.6963713231074,-198.286577569202,-73.64229170401573,-0.07358457786689632,-0.09594167102085847,-0.03386031144885876,-15.047970933925628,-19.61997362389744,-6.92439906929627,0.6811
