geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
13021012800,13021012800,Census Tract 128; Bibb County; Georgia,1290,849,291,Macon-Bibb County,Georgia,73063,0.6933674040011566,0.2220086721574741,13021,1290,849,291,0.016147,0.007021009193,0.003623783249,0.784880023531228,0.6927067865511399,0.834656506079873,-0.2740800759598044,-0.4436122460685229,-0.1980976518073225,-5.708986572614621,-9.240278949076288,-4.1263007910153595,-442.55709865229613,-716.3006937268441,-319.8682783732837,0.7660967206381301,0.6677353781439239,0.8197068442929732,-0.3053182099083223,-0.4975992477434072,-0.21994833514234727,-6.359665344652688,-10.364808218773508,-4.581442440131092,-492.9973135389681,-803.4735053312796,-442.55709865229613,-0.6506787720380673,-1.12452926969722,-0.45514164911573207,-50.44021488667189,-87.17281160443567,-35.2822983810645,0.8601809479477504,0.8172144986867644,0.904930711622235,-0.162546092639967,-0.2236689407823351,-0.10505698077959784,-0.5000880047365484,-0.6881380690283805,-0.3232174643415388,-58.903180769911465,-81.05277609285989,-38.070372713962165,0.8473226213258692,0.8008840958336783,0.8959357376498368,-0.18018801201745924,-0.24862012518684437,-0.11615148048802934,-0.5543649923769381,-0.7649026828188978,-0.35735071314887135,-65.29622996194796,-90.09454450163696,-42.09077893390711,-0.05427698764038979,-0.07676461379051736,-0.03413324880733254,-6.393049192036489,-9.041768408777074,-4.02040621994494,0.8172144986867644,0.7759777687103757,0.904930711622235,-0.2236689407823351,-0.28869671313127254,-0.10505698077959784,-0.456981071621612,-0.5898402025731124,-0.2146433541021328,-157.03816894213472,-202.69422768835477,-73.76060278423806,0.8008840958336783,-0.24862012518684437,-0.5079591776899787,0.7565440274610236,-0.32180013813078323,-0.6574742628843455,0.8959357376498368,-0.11615148048802934,-0.23731067817552107,-174.5564184501645,-225.93617281248987,-81.5500612287014,-0.05097810606836667,-0.06763406031123309,-0.02266732407338828,-17.518249508029783,-23.24194512413508,-7.789458444463328,0.8366
13021012101,13021012101,Census Tract 121.01; Bibb County; Georgia,1435,1113,447,Macon-Bibb County,Georgia,129724,0.7928653433772496,0.14107022666527252,13021,1435,1113,447,0.016147,0.007021009193,0.003623783249,0.7536392660048351,0.6513466901090167,0.8097406299525575,-0.3268947692987965,-0.5352806964177999,-0.2349633487683455,-7.574460720210103,-12.40295957625854,-5.444322831327152,-527.8369839867668,-864.3177405058215,-379.3953192562475,0.7326218544290902,0.6240127043522341,0.7928308200525614,-0.3649606464159732,-0.6025314757622847,-0.26130313644177466,-8.456483065268964,-13.961223685656734,-6.054640602819857,-589.3019557678721,-972.9075739133611,-527.8369839867668,-0.8820223450588607,-1.5582641093981948,-0.6103177714927055,-61.46497178110528,-108.58983340753971,-42.5308551562861,0.8387289031212799,0.790016687424636,0.8898984138408005,-0.192280361721838,-0.26579604699222936,-0.12372376941768128,-0.7755187599121334,-1.0720274234305744,-0.4990114610313712,-69.67823539192572,-96.31872627408576,-44.834812311893195,0.8241073172668975,0.7716136315814243,0.8795782383730105,-0.21343419606616296,-0.29598539874224,-0.13690852771634984,-0.8608379013532658,-1.1937892529906258,-0.5521891611041257,-77.3439264468343,-107.2586929910715,-49.612682938376075,-0.0853191414411324,-0.12176182956005133,-0.05317770007275452,-7.665691054908571,-10.939966716985744,-4.777870626482885,0.790016687424636,0.7436675265772665,0.8898984138408005,-0.26579604699222936,-0.3446869256245529,-0.12372376941768128,-0.8341719507597894,-1.081762382862051,-0.38829357794594616,-186.6156489395502,-242.00500735168927,-86.86657224741525,0.7716136315814243,-0.29598539874224,-0.9289179438866778,0.721965923481523,-0.3851069246838111,-1.2086161485463691,0.8795782383730105,-0.13690852771634984,-0.4296725061683746,-207.81162055630375,-270.38392584929954,-96.12360316965876,-0.09474599312688836,-0.12685376568431803,-0.04137892822242844,-21.19597161675355,-28.3789184976103,-9.2570309222435,0.6321
13021012200,13021012200,Census Tract 122; Bibb County; Georgia,1631,1239,394,Macon-Bibb County,Georgia,111238,0.7668754726564742,0.16545951308973503,13021,1631,1239,394,0.016147,0.007021009193,0.003623783249,0.7616776312550129,0.6619058915015896,0.81617622617823,-0.3128913847086522,-0.5107887886167854,-0.2252255921279775,-8.24023147508058,-13.452009415336027,-5.931486464463529,-505.2257188890607,-824.7706569795236,-363.6717636090453,0.7412220352960925,0.6351493695563042,0.7997648897908062,-0.3491234102350109,-0.5744327994823788,-0.250367467696124,-9.19442929496056,-15.128122619997654,-6.593616789950472,-563.7295705064721,-927.536641324197,-505.2257188890607,-0.9541978198799796,-1.6761132046616254,-0.6621303254869435,-58.503851617411385,-102.76598434467354,-40.59658647988618,0.8442802245353092,0.7970324460824824,0.8938007381794693,-0.18444086565026305,-0.25465406698953025,-0.11881760361581468,-0.828115038304984,-1.1433630052432693,-0.5334752904282765,-66.83737193744827,-92.28111422463836,-43.05692416693111,0.8301092985252829,0.7791545325322146,0.8838219432869181,-0.2046606414077443,-0.2834424472255181,-0.13144961787327633,-0.9188991512340317,-1.2726190164738234,-0.5901913600140842,-74.16458040629796,-102.7133992311399,-47.63449233366297,-0.09078411292904764,-0.12925601123055408,-0.05671606958580777,-7.327208468849689,-10.43228500650154,-4.577568166731862,0.7970324460824824,0.7519751509783368,0.8938007381794693,-0.25465406698953025,-0.3298311768666521,-0.11881760361581468,-0.7044438468751218,-0.9124046036179966,-0.3286824779870848,-178.79285453683295,-231.5747724918773,-83.42194872768648,0.7791545325322146,-0.2834424472255181,-0.7840804988967712,0.7308425740227368,-0.3682837255850528,-1.0187750286481885,0.8838219432869181,-0.13144961787327633,-0.3636261363488164,-199.00520276567795,-258.57234229649447,-92.29089755046104,-0.07963665202164938,-0.10637042503019167,-0.03494365836173163,-20.21234822884502,-26.997569804617175,-8.868948822774527,0.7499
13021010100,13021010100,Census Tract 101; Bibb County; Georgia,971,438,202,Macon-Bibb County,Georgia,56620,0.6486241932724136,0.22281105302079168,13021,971,438,202,0.016147,0.007021009193,0.003623783249,0.7993476366906686,0.7121523366528255,0.8461094270546412,-0.2510201495560059,-0.4041939463403043,-0.1818802249740454,-3.935678906589283,-6.337250581661745,-2.85165221286889,-405.3222354880827,-652.6519651556895,-293.6819992655912,0.781644479251262,0.6883830908416632,0.8320878627463981,-0.2793540113759915,-0.4526794938808465,-0.20179616212570303,-4.379918074259179,-7.097442729850902,-3.163908953578259,-451.07292216881353,-730.9415787694029,-405.3222354880827,-0.4442391676698958,-0.7601921481891578,-0.31225674070936904,-45.75068668073077,-78.28961361371347,-32.15826371878157,0.8700057271273912,0.8297483791845314,0.911773097284595,-0.14941772084860572,-0.20518463800169187,-0.09676409950914185,-0.23715835605474173,-0.325672558514485,-0.1535856298327392,-54.14574339149354,-74.35446541426597,-35.06521229057973,0.8579743861643035,0.8144061676762203,0.9033903584171116,-0.16553596019415234,-0.22788853976062393,-0.10694119179239904,-0.2627415005705106,-0.3617085787843453,-0.16973888435708165,-59.986643965869995,-82.58186730236194,-38.75316994453919,-0.02558314451576887,-0.0360360202698603,-0.01615325452434243,-5.840900574376455,-8.22740188809596,-3.6879576539594607,0.8297483791845314,0.7909613414266963,0.911773097284595,-0.20518463800169187,-0.26428429257522285,-0.09676409950914185,-0.2910018523937956,-0.3748195744427005,-0.1372350897056224,-144.06032296722557,-185.55424477361407,-67.93816322060515,0.8144061676762203,-0.22788853976062393,-0.3232015215930147,0.7726286058576862,-0.29428290956158865,-0.4173649287016897,0.9033903584171116,-0.10694119179239904,-0.15166868831833155,-160.00075326386866,-206.61630133747013,-75.08350906848096,-0.03219966919921907,-0.0425453542589892,-0.01443359861270915,-15.940430296643106,-21.06205656385604,-7.145345847875818,0.9767
13021012700,13021012700,Census Tract 127; Bibb County; Georgia,989,742,381,Macon-Bibb County,Georgia,70834,0.6743684144390254,0.22400378486340625,13021,989,742,381,0.016147,0.007021009193,0.003623783249,0.790991036870754,0.7008980937035567,0.8395006173550346,-0.26423682872072485,-0.42674093278808056,-0.19118435332500583,-4.219699120546656,-6.8147893974701175,-3.053096161854342,-426.66320733535446,-689.0585841729138,-308.705375313887,0.7726605138038152,0.6764261157454222,0.8249414426367533,-0.294229460590642,-0.47835805969436745,-0.21220725292174503,-4.698662946055369,-7.639083066396218,-3.388818897285216,-475.0923100157097,-772.4047589884952,-426.66320733535446,-0.4789638255087132,-0.8242936689261002,-0.33572273543087405,-48.42910268035522,-83.34617481558142,-33.94567597885481,0.8643391470413212,0.8225133746049216,0.9078298497553692,-0.1569532670399728,-0.2157857013332223,-0.10152800138645784,-0.42202334802165575,-0.5802147725198658,-0.2729932792806915,-56.876461997527734,-78.19606098650482,-36.79154707286948,0.8518293535358553,0.8065982314751315,0.8990935958286321,-0.17394404859271836,-0.23977460026309427,-0.1122312567229104,-0.4677089629287229,-0.6447172555370515,-0.3017726971100125,-63.03355295535349,-86.8891179969072,-40.67017481267015,-0.04568561490706713,-0.06450248301718575,-0.02877941782932097,-6.157090957825758,-8.693057010402391,-3.8786277398006703,0.8225133746049216,0.7823051466786696,0.9078298497553692,-0.2157857013332223,-0.27827357936422753,-0.10152800138645784,-0.5772277226486109,-0.7443830777352828,-0.2715878608419514,-151.5033392778506,-195.37613588852565,-71.28290310812373,0.8065982314751315,-0.23977460026309427,-0.6413981352968274,0.7633325925608709,-0.31004493944788075,-0.8293716090106523,0.8990935958286321,-0.1122312567229104,-0.3002191170587224,-168.34596726950852,-217.6828370106699,-78.79766851934971,-0.06417041264821655,-0.08498853127536954,-0.02863125621677098,-16.842627991657885,-22.306701122144236,-7.51476541122598,0.9788
13021011100,13021011100,Census Tract 111; Bibb County; Georgia,1050,693,280,Macon-Bibb County,Georgia,118034,0.7420526806418408,0.20569313543339376,13021,1050,693,280,0.016147,0.007021009193,0.003623783249,0.7694350689395442,0.672150713052005,0.8223705800901233,-0.2996548251670236,-0.48776156981124696,-0.2159968075346401,-5.080452785070527,-8.269680371129315,-3.6620854738249258,-483.85264619719305,-787.5886067742205,-348.7700451261834,0.749530265660788,0.6459714591532012,0.8064441981335473,-0.3341689399538753,-0.5480560105718788,-0.24001140105468255,-5.665617167106986,-9.291933422839334,-4.069237297471458,-539.5825873435225,-884.9460402704127,-483.85264619719305,-0.5851643820364592,-1.0222530517100186,-0.4071518236465326,-55.729941146329445,-97.35743349619224,-38.776364156812626,0.8496165645546272,0.8037913231944158,0.8975438038924515,-0.17700153424410278,-0.24410399956274037,-0.11415175021343624,-0.4445007300248682,-0.6130139293481478,-0.28666721178536536,-64.14151948410796,-88.45799846293619,-41.36612002674825,0.8358825677372189,0.7864256049844147,0.8878941988124498,-0.19634029778495823,-0.27157609526182436,-0.12626031495361795,-0.4930658147762448,-0.6820041030531688,-0.31707522993927284,-71.14946822168035,-98.41329048386274,-45.7540014342385,-0.04856508475137666,-0.06899017370502103,-0.03040801815390748,-7.007948737572391,-9.955292020926557,-4.387881407490257,0.8037913231944158,0.7599963540590562,0.8975438038924515,-0.24410399956274037,-0.31579578593911795,-0.11415175021343624,-0.479879798993859,-0.6208174325329779,-0.22440893654076113,-171.3856424978068,-221.7205116189207,-80.14604876455755,0.7864256049844147,-0.27157609526182436,-0.5338867132010475,0.7394224967167924,-0.35240678291535926,-0.692790353506802,0.8878941988124498,-0.12626031495361795,-0.2482129529601196,-190.67382614323125,-247.4251262524293,-88.6474832000427,-0.0540069142071885,-0.07197292097382402,-0.02380401641935844,-19.288183645424464,-25.70461463350858,-8.501434435485159,0.9885
13021013800,13021013800,Census Tract 138; Bibb County; Georgia,768,571,318,Macon-Bibb County,Georgia,123888,0.6931891767419823,0.24837219239344108,13021,768,571,318,0.016147,0.007021009193,0.003623783249,0.7849371302783806,0.6927831816616584,0.8347018179825622,-0.2739873824612509,-0.4434530549680408,-0.1980326129119454,-3.3976890352141966,-5.499215215540957,-2.455781837329293,-442.4074264601819,-716.0436478568954,-319.7632600689183,0.766158034972191,0.667816383845486,0.8197557947714524,-0.30521374749570646,-0.4974175899095221,-0.21987548777108623,-3.784923940464517,-6.168423801038633,-2.7266530567985123,-492.8286380813173,-803.1801824269054,-442.4074264601819,-0.3872349052503199,-0.6692085854976764,-0.27087121946921977,-50.4212116211354,-87.13653457000994,-35.26969003505466,0.860219862418153,0.817264047850749,0.9049578650272666,-0.1624935015902945,-0.22359475206307217,-0.10502382336869324,-0.3362283418356648,-0.46265784165865786,-0.2173132195374305,-58.88412291342641,-81.02589170904692,-38.05835718694054,0.8473647874588262,0.8009375109205836,0.8959653095456384,-0.18012928410550746,-0.24853685383097793,-0.11611464120984738,-0.3727199544480588,-0.5142675456606317,-0.2402621206063172,-65.27494823958999,-90.06436876718594,-42.077429177989,-0.03649161261239403,-0.05160970400197384,-0.02294890106888675,-6.390825326163578,-9.038477058139028,-4.019071991048468,0.817264047850749,0.7760368866510828,0.9049578650272666,-0.22359475206307217,-0.2885985411278706,-0.10502382336869324,-0.4992157374977605,-0.6443484572897633,-0.23448468693508187,-156.98608097413853,-202.62530103451675,-73.73732293556033,0.8009375109205836,-0.24853685383097793,-0.5549034923038166,0.7566074288197225,-0.3216893753739111,-0.718229731649429,0.8959653095456384,-0.11611464120984738,-0.2592469443536427,-174.49795355465932,-225.85840617906572,-81.5241963376235,-0.05568775480605614,-0.07388127435966574,-0.02476225741856083,-17.511872580520798,-23.233105144548976,-7.786873402063156,0.7883
13021012500,13021012500,Census Tract 125; Bibb County; Georgia,1917,1001,593,Macon-Bibb County,Georgia,99942,0.643310556254621,0.2490583678001742,13021,1917,1001,593,0.016147,0.007021009193,0.003623783249,0.8010834095981462,0.714497628926168,0.8474799569566004,-0.24830946193435455,-0.39958477049520646,-0.17996890875285937,-7.686121174514163,-12.368666669369754,-5.57072142778535,-400.9452881854023,-645.20952891861,-290.59579696324204,0.783511745641223,0.6908772168076905,0.8335705822795317,-0.27630505294034097,-0.4474351964024245,-0.19965845875383517,-8.552691071399675,-13.849819134966172,-6.180187800916005,-446.14976898276865,-722.4736116309949,-400.9452881854023,-0.8665698968855118,-1.48115246559642,-0.6094663731306547,-45.20448079736629,-77.26408271238496,-31.792716386575623,0.8711799330249368,0.8312495974757765,0.9125891181322024,-0.14786849661214113,-0.2030081013412353,-0.09578339269122742,-0.5363792244589682,-0.7363930144087144,-0.34744535222082584,-53.58433810778903,-73.56573570516628,-34.7098253966859,0.8592482366239849,0.81602712073373,0.9042797684934852,-0.1638080328555966,-0.2254494668030776,-0.10585245279343462,-0.5941984103192663,-0.8177969812982712,-0.38396993164371007,-59.360480551375254,-81.69800012969742,-38.35863452984117,-0.0578191858602981,-0.08140396688955676,-0.03652457942288423,-5.776142443586224,-8.132264424531144,-3.648809133155268,0.8312495974757765,0.7927598801167719,0.9125891181322024,-0.2030081013412353,-0.2614160038632405,-0.09578339269122742,-0.8452157952417809,-1.0883946706284329,-0.3987901758087491,-142.53217457702883,-183.54041663211348,-67.24960806218365,0.81602712073373,-0.2254494668030776,-0.938649487935944,0.7745613632169561,-0.29105329479221403,-1.2117883000247205,0.9042797684934852,-0.10585245279343462,-0.4407122891894316,-158.2882778981356,-204.34878583890733,-74.31910441643029,-0.09343369269416311,-0.12339362939628762,-0.04192211338068252,-15.756103321106767,-20.808369206793863,-7.069496354246631,0.9374
13021012900,13021012900,Census Tract 129; Bibb County; Georgia,871,596,247,Macon-Bibb County,Georgia,76603,0.673871151365286,0.2528670920963141,13021,871,596,247,0.016147,0.007021009193,0.003623783249,0.7911516185786385,0.7011137816864126,0.8396277797560175,-0.26398022391279796,-0.4263020156224377,-0.19100394735698725,-3.712627636377875,-5.9955273208885425,-2.686286582774721,-426.2488675519949,-688.3498646255503,-308.4140737973273,0.7728330619596817,0.6766550921878622,0.825078896450942,-0.2939405018003351,-0.4778577912813022,-0.2120053055549925,-4.13399009311848,-6.720609657318511,-2.98165046152172,-474.62572825700113,-771.5969755819186,-426.2488675519949,-0.42136245674060424,-0.7250823364299688,-0.2953638787469992,-48.37686070500623,-83.2471109563684,-33.910893082319085,0.8644482496550441,0.8226525232192986,0.9079058538821482,-0.1568072471649373,-0.2155800557040594,-0.1014357884400272,-0.3386683434564691,-0.465604375228599,-0.21907846135485473,-56.82354755981025,-78.12153946788574,-36.75813109980784,0.8519476301814803,0.8067483345336072,0.8991763961691116,-0.17378106889854464,-0.2395439286256654,-0.11212883730093612,-0.37532797617484515,-0.5173609444681894,-0.2421730389952233,-62.974492646786096,-86.80552759533379,-40.63306023409787,-0.03665963271837602,-0.05175656923959038,-0.02309457764036857,-6.150945086975843,-8.68398812744805,-3.874929134290028,0.8226525232192986,0.7824714450135155,0.9079058538821482,-0.2155800557040594,-0.2780019084053951,-0.1014357884400272,-0.3738566195726363,-0.48210792678269826,-0.1759088559747486,-151.35895529256527,-195.1853954585823,-71.21816031366339,0.8067483345336072,-0.2395439286256654,-0.4154145108770087,0.7635110862313097,-0.30973867705837704,-0.5371454904664672,0.8991763961691116,-0.11212883730093612,-0.1944526265800976,-168.18401250081322,-217.4678099054523,-78.72575974902738,-0.04155789130437243,-0.05503756368376894,-0.018543770605349,-16.825057208247948,-22.282414446870018,-7.507599435363971,0.9841
13169030106,13169030106,Census Tract 301.06; Jones County; Georgia,1610,1339,586,Macon-Bibb County,Georgia,294814,0.8119604237361925,0.1320347320828401,13169,1610,1339,586,0.012726,0.007021009193,0.003623783249,0.7477874903641923,0.643696210822047,0.8050446778452228,-0.33727832156295295,-0.5535278648338277,-0.2421670840388552,-6.910448311538324,-11.341154928679218,-4.961727481480339,-429.2203920210139,-704.419560787529,-308.18183114784716,0.7263668493239359,0.6159550892613344,0.7877746139503177,-0.37671481143549906,-0.6234949875959626,-0.2693986100738538,-7.718457031428339,-12.774701511555412,-5.51967040599778,-479.4072690328161,-793.4597212146219,-429.2203920210139,-0.8080087198900152,-1.433546582876195,-0.557942924517441,-50.18687701180219,-89.04016042709286,-34.65484003213919,0.8346735525848193,0.7849015071764142,0.8870421892239673,-0.1980731831063741,-0.27404520294192836,-0.12734209505283436,-0.961099764959747,-1.329734676876396,-0.6178951421153911,-71.7774283016988,-99.30804158897656,-46.146015094502694,0.8197252596123737,0.7661197871315705,0.876473326216365,-0.2199209287180846,-0.30527890911694183,-0.140936033178426,-1.067110396197185,-1.481288295558365,-0.683856270888522,-79.6945777593118,-110.62645971309672,-51.07216362124884,-0.10601063123743804,-0.15155361868196904,-0.06596112877313087,-7.917149457612997,-11.318418124120168,-4.926148526746144,0.7849015071764142,0.7376223570057882,0.8870421892239673,-0.27404520294192836,-0.3557072809713561,-0.12734209505283436,-1.1275072990435582,-1.463490516574118,-0.5239250317327923,-192.40738891528295,-249.7424089716925,-89.40700200218298,0.7661197871315705,-0.30527890911694183,-1.2560124920206892,0.7155129174590042,-0.3975988072322896,-1.6358453000923916,0.876473326216365,-0.140936033178426,-0.5798547261584196,-214.336602733906,-279.154488070374,-98.95131845706818,-0.12850519297713103,-0.1723547835182735,-0.05592969442562734,-21.929213818623044,-29.41207909868148,-9.54431645488521,0.6613
13289060200,13289060200,Census Tract 602; Twiggs County; Georgia,2036,1399,858,Macon-Bibb County,Georgia,1575901,0.8605893195454494,0.09938680700430766,13289,2036,1399,858,0.02307699999999999,0.007021009193,0.003623783249,0.7330893191085252,0.6246163160316401,0.7932082520115666,-0.364090260128264,-0.6009828343154339,-0.26070297108484686,-17.10669785954717,-28.23704144622443,-12.24906965614412,-840.2110932979948,-1386.8880867497264,-601.624246372501,0.7106775250138027,0.5959017447460672,0.7750432638676394,-0.4071079565666273,-0.6781290016630712,-0.29025055325269983,-19.12787451866888,-31.86173652972702,-13.637356067451956,-939.4830313688057,-1564.918297137869,-840.2110932979948,-2.02117665912171,-3.624695083502587,-1.3882864113078366,-99.27193807081092,-178.0302103881428,-68.18695536875425,0.8244342387383021,0.7720238966020162,0.8798096558322822,-0.2129530204014577,-0.2952966927596376,-0.13660948521191227,-1.0796021278285055,-1.4970576009817569,-0.6925653866674518,-77.16955881547575,-107.00912087074744,-49.50431641654409,0.8086705394708622,0.7523047738087819,0.8686155431063386,-0.23659754027187696,-0.3292485104636281,-0.1512573173901597,-1.199472106265371,-1.669182206529839,-0.7668251025329449,-85.73782031918307,-119.31252369762966,-54.81237330471372,-0.11986997843686532,-0.1721246055480823,-0.07425971586549307,-8.568261503707314,-12.303402826882223,-5.308056888169626,0.7720238966020162,0.7224482901412613,0.8798096558322822,-0.2952966927596376,-0.3841821119189978,-0.13660948521191227,-1.7788749217049489,-2.3143229877505784,-0.8229390754074493,-207.3280794527912,-269.73461395694386,-95.91364515238337,0.7523047738087819,-0.3292485104636281,-1.9834015504846596,0.6993385106352457,-0.42992268378249016,-2.58986537676961,0.8686155431063386,-0.1512573173901597,-0.9111779956463444,-231.16568187466893,-301.8491115116095,-106.197901590483,-0.20452662877971095,-0.2755423890190314,-0.08823892023889501,-23.837602421877733,-32.11449755466566,-10.284256438099652,0.6065
