geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
20091053419,20091053419,Census Tract 534.19; Johnson County; Kansas,1215,958,423,Overland Park city,Kansas,68527,0.6894722415513298,0.21561335314170407,20091,1215,958,423,0.010054,0.007719528038,0.00363067118,0.7861290406724142,0.6943783255936338,0.8356473599587916,-0.2720557927037674,-0.4401371171041175,-0.19667702899140752,-3.323327461910068,-5.376543369068229,-2.4025298821177277,-273.52489398436774,-442.5138575364798,-197.73908494796112,0.767437866299883,0.6695080016830952,0.8207773250031042,-0.3030370847107007,-0.4936341275773726,-0.218357244452651,-3.7017828423628822,-6.030041985175428,-2.667366938908248,-304.67348496813844,-496.2997518662904,-273.52489398436774,-0.3784553804528143,-0.653498616107199,-0.2648370567905203,-31.14859098377073,-53.78589432981062,-21.79728862473418,0.8610318262667493,0.8182980821757581,0.9055243358747688,-0.1613972555878533,-0.22204856858654487,-0.10433255118865964,-0.5613691890893686,-0.7723255543092701,-0.3628877048936066,-58.5980364393913,-80.61853385274217,-37.87971867365413,0.8482446418694939,0.8020522965024818,0.8965822548674924,-0.17890517739793085,-0.2468014920731615,-0.11534663392127012,-0.6222649449271338,-0.8584207517440828,-0.40119670010947134,-64.9545871531455,-89.60550644510259,-41.87856994879659,-0.06089575583776518,-0.08609519743481275,-0.03830899521586473,-6.356550713754196,-8.986972592360413,-3.998851275142456,0.8182980821757581,0.7772708201249083,0.9055243358747688,-0.22204856858654487,-0.2865528643405124,-0.10433255118865964,-0.7250685938736764,-0.9356983642831715,-0.3406833769168407,-171.41101510015991,-221.2052870645796,-80.53980541769283,0.8020522965024818,-0.2468014920731615,-0.805895809022819,0.757930877718762,-0.3193815285766207,-1.0428957831539387,0.8965822548674924,-0.11534663392127012,-0.37664832607448245,-190.5191037879005,-246.5474664666522,-89.04215746441665,-0.0808272151491426,-0.10719741887076706,-0.03596494915764176,-19.108088687740565,-25.34217940207259,-8.50235204672382,0.0559
20091053421,20091053421,Census Tract 534.21; Johnson County; Kansas,2275,1642,463,Overland Park city,Kansas,391,0.6969087182560845,0.14571018246793427,20091,2275,1642,463,0.010054,0.007719528038,0.00363067118,0.7837461931611756,0.6911905874703657,0.8337566840040841,-0.2759232628187737,-0.4467789610096135,-0.1993906845790295,-6.311151401964389,-10.21910815832874,-4.560633219773455,-277.4132484379951,-449.19156739906543,-200.46739427575625,0.7648794428017819,0.6661278584756284,0.8187348209626997,-0.3073955764021618,-0.5012132990330219,-0.22139668961943235,-7.031012909710187,-11.464176606787456,-5.063973272161833,-309.0555125147335,-503.91985084780026,-277.4132484379951,-0.7198615077457982,-1.2450684484587171,-0.5033400523883786,-31.642264076738385,-54.72828344873482,-22.12483746762104,0.8594080957161554,0.8162305964800862,0.9043913517102852,-0.16359155212133256,-0.2251439780772752,-0.10571601343700424,-0.9752611933357164,-1.3422098016964836,-0.6302325766968679,-59.394713357839,-81.74237525557147,-38.38200832502241,0.846485229694273,0.7998234947367721,0.89534835659181,-0.18135552153836432,-0.25027585033508865,-0.11688371641910632,-1.081162199759229,-1.4920350182867468,-0.6968095312884214,-65.84422653832087,-90.86693168615996,-42.43663406141421,-0.1059010064235123,-0.14982521659026315,-0.06657695459155344,-6.44951318048187,-9.124556430588498,-4.054625736391805,0.8162305964800862,0.7748040488952761,0.9043913517102852,-0.2251439780772752,-0.29064890848958613,-0.10571601343700424,-0.8046964313770794,-1.0388203204126485,-0.3778439888939455,-173.8005251354383,-224.3672398299456,-81.60777297925391,0.7998234947367721,-0.25027585033508865,-0.8945212985238519,0.7552853652647084,-0.324002881546004,-1.1580321390895598,0.89534835659181,-0.11688371641910632,-0.4177589393763976,-193.20114438960084,-250.11493284871705,-90.22871260829322,-0.08982486714677251,-0.11921181867691157,-0.03991495048245203,-19.400619254162528,-25.747693018771393,-8.620939629039315,0.0995
20091053426,20091053426,Census Tract 534.26; Johnson County; Kansas,3766,2534,1030,Overland Park city,Kansas,39211,0.7774842363521174,0.1358043331362736,20091,3766,2534,1030,0.010054,0.007719528038,0.00363067118,0.7583861594795445,0.6575752279320973,0.8135431354324656,-0.31858946461558213,-0.5207385520661101,-0.2291911226912598,-12.062868865304909,-19.71691334571208,-8.67794690402783,-320.3098477245063,-523.5505402472671,-230.42875475379265,0.7376994138744937,0.6305797043804631,0.7969271878461084,-0.3555656696917643,-0.5858423495924087,-0.25481978184574905,-13.46291237744304,-22.181962129232623,-9.64833415442619,-357.48572430809986,-589.0058982802078,-320.3098477245063,-1.400043512138133,-2.465048783520544,-0.9703872503983586,-37.17587658359354,-65.45535803294062,-25.767053913923487,0.8420098152940717,0.7941612006394939,0.8922057919975684,-0.18763461165918863,-0.2591901986583524,-0.12081765100525746,-1.7262610879191016,-2.384581130088237,-1.1115369804105786,-68.12395769215081,-94.10343844073547,-43.86491635400863,0.8276540975547999,0.7760675633993794,0.8820872447270837,-0.20823421638867545,-0.2885476048241699,-0.13367470845743648,-1.915779939247115,-2.6546728123112233,-1.229823461718997,-75.60299681322475,-104.76214728931424,-48.532891149131686,-0.18951885132801372,-0.2700916822229864,-0.11828648130841836,-7.479039121073943,-10.658708848578785,-4.667974795123061,0.7941612006394939,0.7485729238976829,0.8922057919975684,-0.2591901986583524,-0.33587519408687944,-0.12081765100525746,-2.0608507858894796,-2.670581917363028,-0.9606349017529952,-200.0826005717941,-259.27979780223575,-93.26552444203838,0.7760675633993794,-0.2885476048241699,-2.294274865510061,0.7272061213427627,-0.3751259383701723,-2.9826690550004926,0.8820872447270837,-0.13367470845743648,-1.0628628297059162,-222.74513257379232,-289.57951990296044,-103.19056599086564,-0.2334240796205815,-0.31208713763746454,-0.1022279279529209,-22.66253200199821,-30.29972210072471,-9.925041548827272,0.0063
20091053415,20091053415,Census Tract 534.15; Johnson County; Kansas,2215,1250,285,Overland Park city,Kansas,85946,0.6346849845996039,0.23586630289567712,20091,2215,1250,285,0.010054,0.007719528038,0.00363067118,0.8039091006290714,0.71832117368454,0.8497094522206227,-0.2439217309736691,-0.39213493439240166,-0.17687286799812504,-5.43204181930853,-8.732692056294372,-3.9388897898997257,-245.23890832092687,-394.25246303812065,-177.82798148531492,0.7865523620826947,0.6949451606117921,0.8359830930438845,-0.271371174008202,-0.43896246305198255,-0.19619644024009644,-6.043330210404795,-9.77552285680706,-4.369218207535254,-272.8365783478463,-441.3328603524632,-245.23890832092687,-0.6112883910962648,-1.0428308005126894,-0.43032841763552865,-27.597670026919403,-47.08039731434263,-19.427919532078043,0.8730893844415691,0.8336922946778565,0.9139153115596624,-0.1453581017247201,-0.1994833182264275,-0.09419328831839784,-0.6596843383893121,-0.905322917969324,-0.4274810715587972,-52.77474707114497,-72.42583343754593,-34.19848572470378,0.8613200929930094,0.818665269091014,0.9057254034005414,-0.16100855899586702,-0.2215004566033769,-0.10408739364657885,-0.7307114185995303,-1.0052441551834017,-0.4723838753924362,-58.456913487962424,-80.41953241467212,-37.790710031394894,-0.0710270802102182,-0.09992123721407742,-0.04490280383363898,-5.682166416817456,-7.993698977126194,-3.592224306691119,0.8336922946778565,0.7956881409236373,0.9139153115596624,-0.1994833182264275,-0.2567737893381154,-0.09419328831839784,-0.4388763644262223,-0.5649191528724398,-0.20723140309710764,-153.99170681621837,-198.21724662190863,-72.712773016529,0.818665269091014,-0.2215004566033769,-0.48731551077617735,0.7777090877505127,-0.2858278445639016,-0.628839977143361,0.9057254034005414,-0.10408739364657885,-0.22899908279227588,-170.98789851795695,-220.6456060152144,-80.35055536571083,-0.04843914634995505,-0.06392082427092127,-0.02176767969516824,-16.996191701738613,-22.42835939330571,-7.637782349181839,0.3762
20091053411,20091053411,Census Tract 534.11; Johnson County; Kansas,3349,2603,1144,Overland Park city,Kansas,140061,0.7319773616516096,0.19251006603905943,20091,3349,2603,1144,0.010054,0.007719528038,0.00363067118,0.7726062308952322,0.6763540861930986,0.8248981986460596,-0.2943203924737738,-0.4785155001111367,-0.21227080098046328,-9.910016609643998,-16.11202171285507,-7.147337450109829,-295.90972259313224,-481.09948381173695,-213.4170633057578,0.7529290036136603,0.6504164699149186,0.8091711511282829,-0.32814647224443444,-0.5374764420261537,-0.2358324918104549,-11.048969332385628,-18.09728650809055,-7.9406795135460895,-329.9184631945544,-540.378814813095,-295.90972259313224,-1.1389527227416298,-1.98526479523548,-0.7933420634362607,-34.00874060142221,-59.279331001358024,-23.688923960473595,0.8517921421455952,0.8065510085425657,0.8990675449505834,-0.17399533351068638,-0.2398471880991084,-0.11226348411338136,-1.644366750891012,-2.266708729752533,-1.060961445864799,-63.17198428317372,-87.08062734354718,-40.759179633684155,0.8382373194249764,0.7893961836333008,0.8895524345277901,-0.19297957371546215,-0.2667910242450973,-0.12416082648443302,-1.8237799153351288,-2.521345146752754,-1.1733989108484364,-70.06453766174141,-96.86304828093562,-45.07871344020117,-0.1794131644441168,-0.2546364170002211,-0.11243746498363771,-6.892553378567684,-9.78242093738844,-4.319533806517008,0.8065510085425657,0.763276439607086,0.8990675449505834,-0.2398471880991084,-0.31014131723333793,-0.11226348411338136,-2.118124114811307,-2.7389014156790052,-0.9914145535657964,-185.1507093366527,-239.4144594125005,-86.66211132568151,0.7893961836333008,-0.2667910242450973,-2.356068905987101,0.7429336726790748,-0.346015178439718,-3.055708509040589,0.8895524345277901,-0.12416082648443302,-1.0964816505704018,-205.95007919467665,-267.10738715389766,-95.84629812678338,-0.23794479117579392,-0.31680709336158364,-0.10506709700460536,-20.799369858023944,-27.69292774139717,-9.184186801101868,0.1793
20091053403,20091053403,Census Tract 534.03; Johnson County; Kansas,2655,1942,824,Overland Park city,Kansas,0,NA,NA,20091,2655,1942,824,0.010054,0.007719528038,0.00363067118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1348
20091053417,20091053417,Census Tract 534.17; Johnson County; Kansas,2499,2002,928,Overland Park city,Kansas,85993,0.6677547752019903,0.2085311070931118,20091,2499,2002,928,0.010054,0.007719528038,0.00363067118,0.7931294552272635,0.7037721967962562,0.8411934640447972,-0.26082822092827174,-0.4209143307340719,-0.18878717291929129,-6.553294966098898,-10.575449830319698,-4.743267525089856,-262.23669332128446,-423.1872681200359,-189.80662365305548,0.7749585727733067,0.6794778691660062,0.8267714640635048,-0.29039155786269766,-0.4717182786650638,-0.20952408672294168,-7.296072210156154,-11.85189627867268,-5.264281364613227,-291.95967227515627,-474.2655573698552,-262.23669332128446,-0.7427772440572564,-1.2764464483529814,-0.5210138395233708,-29.72297895387181,-51.078289249819186,-20.848893138190107,0.8657913476608279,0.8243659892122813,0.9088412314516954,-0.15501269757635427,-0.2130534411730703,-0.10030219293935023,-1.1267258675162997,-1.5486010313111171,-0.7290568909537882,-56.28001336245253,-77.35269886668917,-36.41642811956984,0.8534037865388371,0.8085969007681274,0.9001954710160259,-0.17177825523333504,-0.23671015687798092,-0.11086984127050475,-1.2485880619739602,-1.7205523226695083,-0.8058689387388565,-62.36703606263538,-85.94167445901641,-40.253193743199624,-0.12186219445766056,-0.17195129135839138,-0.07681204778506823,-6.087022700182845,-8.588975592327241,-3.836765623629782,0.8243659892122813,0.7845198219027743,0.9088412314516954,-0.2130534411730703,-0.2746650525344282,-0.10030219293935023,-1.526255627811491,-1.9676240847631865,-0.7185370281400895,-164.46720127278996,-212.02845740982613,-77.42855906681999,0.8085969007681274,-0.23671015687798092,-1.6957257630102276,0.7657099898771375,-0.30597747609438364,-2.1919375828961605,0.9001954710160259,-0.11086984127050475,-0.7942407231818196,-182.7290692898952,-236.20017057070697,-85.5862848256271,-0.16947013519873666,-0.22431349813297397,-0.07570369504173013,-18.261868017105243,-24.171713160880817,-8.157725758807127,0.1263
20091053105,20091053105,Census Tract 531.05; Johnson County; Kansas,2594,1679,756,Overland Park city,Kansas,4095,0.6425958869730888,0.23879238007333467,20091,2594,1679,756,0.010054,0.007719528038,0.00363067118,0.8013171535733006,0.7148136528636572,0.8476644586771565,-0.2479453304359157,-0.398966004627697,-0.17971207800852534,-6.466433061613795,-10.40506372210669,-4.68690465258027,-249.2842352202697,-401.1204210526866,-180.6825232297714,0.7837632278232473,0.6912133584729813,0.833770205370686,-0.2758955313294158,-0.44673129901480174,-0.1993712338946075,-7.1953764251315455,-11.650786229884757,-5.19961693218514,-277.3853671985947,-449.14364802948165,-249.2842352202697,-0.7289433635177502,-1.2457225077780656,-0.5127122796048704,-28.10113197832499,-48.02322697679513,-19.765315327867015,0.8713379812865447,0.8314517142372724,0.9126989263529036,-0.14766028966565156,-0.20271566331106125,-0.09565155729496332,-0.9001219036826958,-1.2357337858338118,-0.5830820326677497,-53.610595811953296,-73.59939165180535,-34.727935239294204,0.8594197101719888,0.8162453803766686,0.9043994584422071,-0.16357582699595982,-0.22512178817910747,-0.10570610217133596,-0.9971413785349286,-1.3723192132093442,-0.6443735017233525,-59.38900408188973,-81.734318833195,-38.378409870360485,-0.09701947485223272,-0.13658542737553248,-0.06129146905560279,-5.778408269936434,-8.134927181389665,-3.650474631066277,0.8314517142372724,0.7930020903354893,0.9126989263529036,-0.20271566331106125,-0.2610307238622003,-0.09565155729496332,-1.183041150483658,-1.52336569767507,-0.5582189680831255,-156.48692466715053,-201.50339916336904,-73.83848784168327,0.8162453803766686,-0.22512178817910747,-1.3138024705948677,0.7748216822648165,-0.29061953593888024,-1.6960449159894753,0.9043994584422071,-0.10570610217133596,-0.6168969219414864,-173.7833955813317,-224.34456560707343,-81.60012194993206,-0.13076132011120967,-0.17267921831440525,-0.05867795385836083,-17.296470914181175,-22.841166443704395,-7.761634108248787,0.1989
20091053428,20091053428,Census Tract 534.28; Johnson County; Kansas,2111,1945,429,Overland Park city,Kansas,141174,0.732357123960328,0.18292530752907135,20091,2111,1945,429,0.010054,0.007719528038,0.00363067118,0.7724864657012648,0.6761951755451144,0.824802786053715,-0.29452106205148587,-0.4788629617090221,-0.2124110355937562,-6.250913253854364,-10.163384626134514,-4.508210544975668,-296.1114757865639,-481.4488217022508,-213.5580551859625,0.7528006181772452,0.650248373677223,0.809068198863543,-0.32837297931728354,-0.5378738963157951,-0.23598974895398092,-6.969386142792151,-11.415832348163056,-5.008645015860798,-330.14619340559693,-540.7784153559004,-296.1114757865639,-0.7184728889377867,-1.2524477220285437,-0.5004344708851294,-34.034717619033,-59.32959365364963,-23.70603841236994,0.8517100386004213,0.806446817923399,0.8990100647040312,-0.17410850486540852,-0.2400073728048187,-0.11233459920075124,-1.2294942714210315,-1.6948493710312935,-0.793268234119111,-63.21307308077285,-87.13878514299711,-40.784999183501846,0.8381484431456904,0.7892840123514969,0.8894898756209536,-0.1931060758722616,-0.2669710577574243,-0.124239890085201,-1.3636485721652498,-1.8852576236968217,-0.8773392963187852,-70.11046643523136,-96.92841252939957,-45.1074188338707,-0.13415430074421808,-0.19040825266552797,-0.0840710621996742,-6.897393354458513,-9.789627386402469,-4.322419650368853,0.806446817923399,0.763152549161572,0.8990100647040312,-0.2400073728048187,-0.310354006022305,-0.11233459920075124,-0.7948270231445187,-1.027792387562571,-0.3720159678239397,-185.27436436935167,-239.57864511948043,-86.71700881676915,0.7892840123514969,-0.2669710577574243,-0.8841220526822774,0.7428010263728557,-0.34625554421089466,-1.1466867048131997,0.8894898756209536,-0.124239890085201,-0.4114424521138706,-206.08905656929545,-267.292938184895,-95.90733149507471,-0.0892950295377587,-0.11889431725062848,-0.03942648428993095,-20.814692199943753,-27.71429306541457,-9.190322678305582,0.0027
20091053011,20091053011,Census Tract 530.11; Johnson County; Kansas,1779,1346,589,Overland Park city,Kansas,0,NA,NA,20091,1779,1346,589,0.010054,0.007719528038,0.00363067118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1397
20091053008,20091053008,Census Tract 530.08; Johnson County; Kansas,2860,1719,608,Overland Park city,Kansas,0,NA,NA,20091,2860,1719,608,0.010054,0.007719528038,0.00363067118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0799
