geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
47157020632,47157020632,Census Tract 206.32; Shelby County; Tennessee,2784,2252,941,Memphis city,Tennessee,99843,0.6988287694399922,0.2536962499270444,47157,2784,2252,941,0.01397799999999999,0.007511132516,0.003803074181,0.7831321310788923,0.6903699133976895,0.8332692186599582,-0.2769237275737068,-0.4484988128733056,-0.2000923322334814,-10.776418181446362,-17.453220075259093,-7.786543485967536,-387.0839864025274,-626.9116406343065,-279.68906199596034,0.7642202605694574,0.6652579022763919,0.8182082854532662,-0.30852327737928825,-0.5031764321448589,-0.2221826859722227,-12.006106825442211,-19.58098606916201,-8.646184123302927,-431.25383712076905,-703.3400168520836,-387.0839864025274,-1.22968864399585,-2.1277659939029157,-0.8596406373353913,-44.16985071824173,-76.42837621777714,-30.877896456012618,0.8589893563655947,0.815697633769359,0.9040990527022325,-0.16415877867337592,-0.2259444659401244,-0.10607349605237644,-1.4059416447292354,-1.9351065878321356,-0.9084689025299466,-62.43080127572093,-85.92835647567209,-40.34053741251984,0.8460315536763269,0.7992490389420609,0.8950300477899793,-0.18198901170366755,-0.25117447913815,-0.11728092533788556,-1.558649086604103,-2.151189617560021,-1.0044551890398303,-69.21177116359249,-95.52351765364212,-44.60280590763012,-0.1527074418748675,-0.2160830297278853,-0.09598628650988372,-6.780969887871559,-9.59516117797004,-4.262268495110289,0.815697633769359,0.774168416781102,0.9040990527022325,-0.2259444659401244,-0.29170859766906815,-0.10607349605237644,-1.5969699942620688,-2.0617892790931145,-0.7497248922529991,-169.7098824933123,-219.10619331488996,-79.67320852848025,0.7992490389420609,-0.25117447913815,-1.7752951143947306,0.7546038118699497,-0.32519871258262667,-2.298496597410504,0.8950300477899793,-0.11728092533788556,-0.8289387300750548,-188.6604797443922,-244.26106242407056,-88.09125718119606,-0.17832512013266189,-0.23670731831738936,-0.07921383782205571,-18.950597251079905,-25.154869109180588,-8.418048652715804,0.4044
47157021142,47157021142,Census Tract 211.42; Shelby County; Tennessee,2009,1188,573,Memphis city,Tennessee,120006,0.6965654371094435,0.2205988260729304,47157,2009,1188,573,0.01397799999999999,0.007511132516,0.003803074181,0.7838560305112827,0.691337416502979,0.8338438667583925,-0.27574447484665504,-0.44647168825078487,-0.19926528198563995,-7.7434017452377475,-12.537729548064268,-5.595728194194908,-385.4356269406544,-624.078125836947,-278.5330111595276,0.7649973562444287,0.6662835156049023,0.8188289946280162,-0.307194060002064,-0.5008625856398755,-0.22125621657338543,-8.62656276855408,-14.065123959147028,-6.213273265082929,-429.39585707088503,-700.1057222074179,-385.4356269406544,-0.8831610233163332,-1.52739441108276,-0.6175450708880206,-43.96023013023062,-76.02759637047089,-30.738928366750653,0.8594829825840645,0.8163259202379664,0.9044436210758472,-0.16349016823284426,-0.2250009159435866,-0.10565211219079322,-0.73865710233256765,-1.0165658668621698,-0.47734175020861425,-62.17652376536765,-85.56951741264055,-40.180282004092106,0.8465663669263813,0.7999262437507613,0.89540527815378,-0.18124229719955495,-0.25011525476538454,-0.11681271531242474,-0.8188621463698903,-1.130033758794896,-0.5277659368812169,-68.92779009847561,-95.12068676724714,-44.42474216171859,-0.08020504403732265,-0.1134678919327261,-0.05042418667260262,-6.751266333107966,-9.551169354606571,-4.2444601576264835,0.8163259202379664,0.7749177469525288,0.9044436210758472,-0.2250009159435866,-0.2904595409417816,-0.10565211219079322,-0.9683767017356048,-1.2501026987612929,-0.4547138997441787,-169.00116958736558,-218.16801025502488,-79.35670152603468,0.7999262437507613,-0.25011525476538454,-1.0764657754735127,0.7554072833416257,-0.32378919564607855,-1.3935494974428857,0.89540527815378,-0.11681271531242474,-0.5027477843840767,-187.86488228159035,-243.2023555746746,-87.73957842654045,-0.10808907373790788,-0.14344679868159282,-0.04803388463989799,-18.863712694224763,-25.03434531964971,-8.382876900505758,0.3025
47157021140,47157021140,Census Tract 211.40; Shelby County; Tennessee,3329,2031,1053,Memphis city,Tennessee,0,NA,NA,47157,3329,2031,1053,0.01397799999999999,0.007511132516,0.003803074181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3586
47157021144,47157021144,Census Tract 211.44; Shelby County; Tennessee,2150,1493,576,Memphis city,Tennessee,15176,0.7197542858364538,0.19381033493603864,47157,2150,1493,576,0.01397799999999999,0.007511132516,0.003803074181,0.7764709406448489,0.6814887972025991,0.8279750616602262,-0.28787820336136877,-0.467375552033779,-0.20776584501812836,-8.651517282158206,-14.045897252605547,-6.243924610576306,-402.39615265852126,-653.2975466328163,-290.4150981663398,0.7570729471875396,0.6558501060230018,0.8124917910111882,-0.320876678680586,-0.5247386419800751,-0.2307816658128301,-9.643210561384048,-15.769812985834603,-6.935612168173239,-448.5214214597231,-733.4796737597491,-402.39615265852126,-0.9916932792258404,-1.7239157332290542,-0.691687557596933,-46.12526880120188,-80.18212712693276,-32.1715143068341,0.8544389680171739,0.8099116992718404,0.9009195752188952,-0.17035860656100177,-0.23470250016027736,-0.10997699184972363,-0.9672944222580616,-1.332638390733519,-0.6244482327041431,-64.78864181232831,-89.25910185756993,-41.82506582077315,0.8411029409227622,0.7930150685660858,0.89156831463232,-0.1889151153162229,-0.2610100862373022,-0.12161904319401132,-1.0726580888074293,-1.4820125948848537,-0.6905516809319789,-71.84581974597651,-99.26407199496676,-46.25262430890683,-0.10536366654936768,-0.14937420415133462,-0.06610344822783587,-7.057177933648204,-10.004970137396828,-4.427558488133681,0.8099116992718404,0.7672747520538108,0.9009195752188952,-0.23470250016027736,-0.30331409618684757,-0.10997699184972363,-1.0154197903912443,-1.312261845367785,-0.47580581346873185,-176.28815805403548,-227.82323704301825,-82.6051759494326,0.7930150685660858,-0.2610100862373022,-1.1292372551467955,0.7472157169793726,-0.3383016139469209,-1.4636322735736298,0.89156831463232,-0.12161904319401132,-0.5261741279420238,-196.04813457409645,-254.1028252731996,-91.34967498993468,-0.1138174647555512,-0.1513704282058448,-0.05036831447329193,-19.759976520060977,-26.27958823018139,-8.744499040502072,0.5391
47157021420,47157021420,Census Tract 214.20; Shelby County; Tennessee,1836,1528,698,Memphis city,Tennessee,0,NA,NA,47157,1836,1528,698,0.01397799999999999,0.007511132516,0.003803074181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0431
47157021143,47157021143,Census Tract 211.43; Shelby County; Tennessee,3690,2670,1260,Memphis city,Tennessee,49441,0.7229582092847878,0.1903115229170126,47157,3690,2670,1260,0.01397799999999999,0.007511132516,0.003803074181,0.7754560538989381,0.6801391244291193,0.8271674434705576,-0.2895637283016501,-0.47028742220844705,-0.2089450665566412,-14.935355420599716,-24.25687029835349,-10.777139977813016,-404.7521794200465,-657.3677587629672,-292.063414032873,0.7559845325034041,0.6544214620573926,0.8116200663848318,-0.3227783863362272,-0.5280672440909345,-0.23210359306942935,-16.64852828872672,-27.23708533086237,-11.971629448281345,-451.17962842077833,-738.1323937903081,-404.7521794200465,-1.713172868127005,-2.9802150325088803,-1.19448947046833,-46.42744900073185,-80.76463502734093,-32.37098835957534,0.8537443853369134,0.8090294402146502,0.9004337507813516,-0.1713107777632642,-0.23604896224132693,-0.11057587427420372,-1.7395252808887929,-2.396890275717398,-1.1228104341582494,-65.15075958384992,-89.77117137518346,-42.05282524937264,0.8403508556528502,0.7920648819363977,0.8910394689874257,-0.18997915367518953,-0.2625228346890645,-0.1222847413666161,-1.92908785410182,-2.665711484792197,-1.24170470679978,-72.25048142703446,-99.83938145289126,-46.50579426216404,-0.1895625732130275,-0.26882120907479834,-0.11889427264153052,-7.0997218431845495,-10.068210077707803,-4.452969012791405,0.8090294402146502,0.7662246898256642,0.9004337507813516,-0.23604896224132693,-0.3051002053033892,-0.11057587427420372,-2.2339737449301973,-2.8874765715926283,-1.0464930563800854,-177.29950356588867,-229.16480726925624,-83.05500447460994,0.7920648819363977,-0.2625228346890645,-2.4845231877801615,0.7460909227450627,-0.3403192151443683,-3.220790230589985,0.8910394689874257,-0.1222847413666161,-1.1573060903326948,-197.18437998255249,-255.6182722690464,-91.84968970894404,-0.25054944284996417,-0.33331365899735665,-0.11081303395260944,-19.884876416663825,-26.45346499979021,-8.794685234334084,0.3198
47157021125,47157021125,Census Tract 211.25; Shelby County; Tennessee,3027,1915,1069,Memphis city,Tennessee,1648,0.5977823933658813,0.18302356560534533,47157,3027,1915,1069,0.01397799999999999,0.007511132516,0.003803074181,0.8161111652745823,0.734911742263258,0.8593142667715371,-0.22532326789518675,-0.3607076094884097,-0.16371860525139695,-9.533744269160012,-15.262046112353554,-6.927164376545588,-314.95686386389207,-504.197096542899,-228.84586642040264,0.7996947621160364,0.7126211458097675,0.8463835704001624,-0.250477116236131,-0.4032701750151932,-0.1814974143782223,-10.59803895877613,-17.062928102758896,-7.6794107877072015,-350.1169130748639,-563.691050636237,-314.95686386389207,-1.0642946896161174,-1.800881990405342,-0.7522464111616136,-35.160049210971835,-59.493954093338026,-24.851219397476505,0.8813059154774273,0.8442241398346042,0.9196109305086344,-0.13467977740541193,-0.1845195521131563,-0.08741639189401815,-0.980857607653664,-1.343835057777303,-0.6366437090609292,-51.21971841533493,-70.17415445312288,-33.24510230083181,0.8702406256662026,0.8300486410526499,0.9119363709754414,-0.14910746580517495,-0.2047486744051788,-0.09656773413956764,-1.0859328327571725,-1.4911614706845555,-0.7032919010516956,-56.70667533980013,-77.867439722431115,-36.72542564238619,-0.10507522510350852,-0.14732641290725268,-0.06664819199076644,-5.486956924465197,-7.693285269308234,-3.480323341554383,0.8442241398346042,0.8083386742085915,0.9196109305086344,-0.1845195521131563,-0.23710522817562277,-0.08741639189401815,-1.4815814134472118,-1.9038128755089023,-0.7019012347340311,-138.59508077148848,-178.09287890635196,-65.65961035865585,0.8300486410526499,-0.2047486744051788,-1.6440091413219875,0.7913210042544847,-0.263709663491259,-2.1174305459806644,0.9119363709754414,-0.09656773413956764,-0.7753810281967082,-153.78944259326357,-198.07582282326143,-72.53330478921498,-0.16242772787477566,-0.21361767047176183,-0.07347979346267708,-15.194361821775084,-19.98294391690943,-6.873694430559128,0.3959
47157021113,47157021113,Census Tract 211.13; Shelby County; Tennessee,2750,1727,546,Memphis city,Tennessee,86164,0.6009620797403735,0.26835733330144407,47157,2750,1727,546,0.01397799999999999,0.007511132516,0.003803074181,0.8150525308887673,0.7334672661549337,0.8584824175478422,-0.22691478414226665,-0.3633873604780139,-0.1648462211449674,-8.722490845036656,-13.968428443094613,-6.336606317701974,-317.1814852740602,-507.9428524761678,-230.42204791643545,0.7985537626691633,0.7110805672162133,0.8454823490416796,-0.2522638383889186,-0.4063104043397899,-0.1827568028279478,-9.696895815750835,-15.618368787619351,-7.025080122304899,-352.6143933000304,-567.9406831861581,-317.1814852740602,-0.9744049707141792,-1.6499403445247385,-0.6884738046029248,-35.43290802597014,-59.99783070999049,-25.03541107646999,0.8805949097832799,0.8433114564078822,0.9191187770984236,-0.13559593507769246,-0.18580151188688784,-0.08799866232404831,-0.8905817773553397,-1.2203274426827295,-0.5779672159975859,-51.568139974252446,-70.66169326477878,-33.46654406471256,0.8694683703453934,0.829061600167766,0.9113995345534168,-0.15012809448462555,-0.20618299025988365,-0.09721363912040758,-0.9860276795206382,-1.3541911401759603,-0.6384903460522418,-57.094827997720806,-78.41292068187379,-36.97106809798736,-0.09544590216529848,-0.1338636974932308,-0.06052313005465581,-5.5266880234683535,-7.751227417095009,-3.5045240332748016,0.8433114564078822,0.8072407764688697,0.9191187770984236,-0.18580151188688784,-0.23878776834629317,-0.08799866232404831,-0.7619865584907378,-0.9792873479019092,-0.36088940921487817,-139.55797774555637,-179.3566571248918,-66.09696139466634,0.829061600167766,-0.20618299025988365,-0.8455725982633693,0.7901388220825505,-0.2656003882511725,-1.089248003000761,0.9113995345534168,-0.09721363912040758,-0.3986807510846067,-154.8667762387123,-199.49597124556064,-73.0184525795983,-0.08358603977263146,-0.10996065509885168,-0.03779134186972854,-15.308798493155946,-20.139314120668804,-6.921491184931967,0.6539
47157021022,47157021022,Census Tract 210.22; Shelby County; Tennessee,4289,3226,677,Memphis city,Tennessee,152441,0.7614269186212522,0.19761608889315113,47157,4289,3226,677,0.01397799999999999,0.007511132516,0.003803074181,0.763373646509674,0.6641411503974355,0.8175318657149646,-0.30997448572168823,-0.5057040199987304,-0.2231939107663524,-18.583479397120765,-30.317786364924725,-13.380841434844305,-433.28233614177583,-706.8730791542254,-311.9804484692074,0.7430377511111823,0.6375091597504955,0.8012262300650067,-0.34582664003886915,-0.5686049128947009,-0.24808694782604157,-20.73287491767315,-34.08879817730429,-14.873219880939525,-483.39647744633135,-794.7959472442129,-433.28233614177583,-2.149395520552386,-3.771011812379566,-1.492378446095218,-50.114141304555496,-87.92286808998755,-34.795487202033534,0.8454486622840455,0.7985111212643318,0.8946209943402254,-0.18280392957086483,-0.252330710706494,-0.11779178705446176,-2.2427697346792987,-3.0957741577609847,-1.4451541365642528,-69.52169047362985,-95.96324109612476,-44.797090408067355,0.831373094490853,0.7807447383223799,0.8847141925111845,-0.2028293994917132,-0.2808283564596841,-0.13030853180006832,-2.4884565640961624,-3.4454037174477223,-1.5987185394633177,-77.13752523546691,-106.80110717444892,-49.557301285285725,-0.2456868294168637,-0.3496295596867376,-0.1535644028990648,-7.615834761837065,-10.837866078324163,-4.760210877218376,0.7985111212643318,0.7537285062470841,0.8946209943402254,-0.252330710706494,-0.3267376670933343,-0.11779178705446176,-1.283110927843678,-1.6614730327980538,-0.598975561700923,-189.52894059729363,-245.41699155067263,-88.47497218625155,0.7807447383223799,-0.2808283564596841,-1.4280225027421796,0.7327172816659218,-0.3647828774099316,-1.8549343240243883,0.8847141925111845,-0.13030853180006832,-0.6626236682637379,-210.93389996191723,-273.9932531793779,-97.87646503157131,-0.1449115748985017,-0.1934612912263347,-0.06364810656281483,-21.40495936462359,-28.576261628705275,-9.401492845319767,0.5673
47157021138,47157021138,Census Tract 211.38; Shelby County; Tennessee,2641,1937,738,Memphis city,Tennessee,175415,0.7751484522192975,0.1966869033994088,47157,2641,1937,738,0.01397799999999999,0.007511132516,0.003803074181,0.7591096359178039,0.6585262926464726,0.8141221458653589,-0.31733277076762023,-0.5185422528555688,-0.2283169117541509,-11.71462419771485,-19.142452915106382,-8.428523825991235,-443.5677469789795,-724.818361041514,-319.1413792499521,0.7384735669181529,0.6315829994786533,0.7975511131279752,-0.35414460963479927,-0.5833231749832728,-0.25383813468459143,-13.073566286528068,-21.533898828718648,-9.37066268852664,-495.0233353475224,-815.3691339916187,-443.5677469789795,-1.358942088813217,-2.3914459136122623,-0.9421388625354048,-51.45558836854286,-90.5507729501046,-35.673565412169815,0.8425091778346006,0.7947924877162637,0.8925567146979958,-0.1869306902628397,-0.2581900501769642,-0.12037698393021284,-1.3770351527983955,-1.901971124680211,-0.8867636353702751,-71.09112817751138,-98.19159136191074,-45.78025995716444,0.828194047171292,0.7767461850440583,0.8824688893882667,-0.2074464956799842,-0.28742183644362324,-0.13318442386474,-1.528165955384405,-2.117308676858933,-0.9811103420688908,-78.89344116594759,-109.30865652343483,-50.6510243711353,-0.15113080258600942,-0.2153375521787222,-0.09434670669861556,-7.802312988436212,-11.11706516152412,-4.87076441397086,0.7947924877162637,0.7493206852018122,0.8925567146979958,-0.2581900501769642,-0.3345420989288093,-0.12037698393021284,-1.4312031647195982,-1.8544390474794803,-0.6672755988940585,-193.92996811918675,-251.27900372350683,-90.4167478176231,0.7767461850440583,-0.28742183644362324,-1.5932412641218576,0.7280052206752041,-0.3736165230690632,-2.071037012624912,0.8824688893882667,-0.13318442386474,-0.7382700022557992,-215.8863501520132,-280.6283214938905,-100.03658567151751,-0.16203809940225944,-0.21659796514543128,-0.07099440336174068,-21.95638203282648,-29.34931777038364,-9.6198378538944,0.3891
47157021141,47157021141,Census Tract 211.41; Shelby County; Tennessee,5415,3513,1590,Memphis city,Tennessee,121866,0.7229588804599784,0.17513036990901465,47157,5415,3513,1590,0.01397799999999999,0.007511132516,0.003803074181,0.7754558414340124,0.6801388419725967,0.8271672743688931,-0.28956408162552383,-0.4702880328077055,-0.20894531370692063,-21.91735725898691,-35.596510353803765,-15.815252576899743,-404.7526732961572,-657.3686122586107,-292.0637594995336,0.7559843046604282,0.654421163103605,0.8116198838692671,-0.32277878500292195,-0.5280679421452092,-0.23210387014258577,-24.431407054414112,-39.96992196008055,-17.568143861459337,-451.1801856770843,-738.1333695305733,-404.7526732961572,-2.5140497954272014,-4.3734116062767825,-1.752891284559592,-46.42751238092709,-80.76475727196275,-32.3710301857727,0.8537442398911513,0.8090292554949798,0.9004336490356756,-0.17131097731036596,-0.2360492444592508,-0.11057599976517488,-2.288748850169756,-3.153665020897987,-1.4773174275948828,-65.15083547309297,-89.77127870475341,-42.052872974519865,0.8403506981724393,0.792064683005493,0.8910393582348537,-0.18997937667542789,-0.2625231517778263,-0.1222848808620497,-2.5381623918594154,-3.5073617068092173,-1.6337504161166585,-72.25056623567934,-99.83950204409956,-46.50584731331223,-0.24941354168965943,-0.35369668591123027,-0.15643298852177567,-7.099730762586379,-10.06822333934615,-4.452974338792362,0.8090292554949798,0.7662244700035797,0.9004336490356756,-0.2360492444592508,-0.30510057972349547,-0.11057599976517488,-2.819065477141827,-3.643724907168439,-1.3205760698474072,-177.29971554351113,-229.16508850115972,-83.05509873254132,0.792064683005493,-0.2625231517778263,-3.1352354286187625,0.746090687294564,-0.34031963812086846,-4.064335580559583,0.8910393582348537,-0.1222848808620497,-1.4604117323244228,-197.18461815212345,-255.6185899723008,-91.84979448581277,-0.3161699514769354,-0.4206106733911441,-0.13983566247701562,-19.88490260861229,-26.453501471141134,-8.794695753271423,0.398
