geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48113016201,48113016201,Census Tract 162.01; Dallas County; Texas,2826,1374,481,Grand Prairie city,Texas,70929,0.6374575175392423,0.19943050249765357,48113,2826,1374,481,0.009098,0.006897320142,0.003436016044,0.802999748401515,0.7170899386577586,0.8489921826658745,-0.24533040264413777,-0.39452521377135685,-0.17786714697413822,-6.3076772252024895,-10.14361725596424,-4.573132966760426,-223.20160032563655,-358.9390394891805,-161.82353031707098,0.7855737266345497,0.6936349887341487,0.8352068748963953,-0.2729549959417135,-0.44168044611612367,-0.19730815209590644,-7.017931706997608,-11.356022982708458,-5.072979638513941,-248.33445530777095,-401.84086987644935,-223.20160032563655,-0.7102544817951184,-1.2124057267442172,-0.4998466717535157,-25.13285498213441,-42.90183038726883,-17.687426459784703,0.8724751700773812,0.8329063523376645,0.9134888207866686,-0.14616442312198805,-0.20061516783173103,-0.09470414661323456,-0.6900548181971796,-0.9471214691565836,-0.4471064249278565,-50.222330290915544,-68.93169353395804,-32.54049671964021,0.8606535882489399,0.8178163555280417,0.905260478523088,-0.1619076637263201,-0.2227684042272881,-0.10465443231485982,-0.7643800117088047,-1.0517088043431828,-0.4940825798921497,-55.63173302101926,-76.54358110212392,-35.95943085095704,-0.07432519351162503,-0.10458733518659936,-0.04697615496429319,-5.409402730103714,-7.6118875681658915,-3.418934131316826,0.8329063523376645,0.7947457271374849,0.9134888207866686,-0.20061516783173103,-0.25826407850193783,-0.09470414661323456,-0.6655630852186007,-0.8568197447217193,-0.3141915174418306,-138.37070378765088,-178.1330030606485,-65.32048179663838,0.8178163555280417,-0.2227684042272881,-0.7390589057109527,0.7766959164590123,-0.28750515975291846,-0.9538302771898042,0.905260478523088,-0.10465443231485982,-0.34720269462228687,-153.6505001478072,-198.30151292927323,-72.18351239548583,-0.07349582049235193,-0.09701053246808489,-0.03301117718045626,-15.279796360156327,-20.168509868624717,-6.863030598847456,0.6323
48113010602,48113010602,Census Tract 106.02; Dallas County; Texas,1699,991,351,Grand Prairie city,Texas,86973,0.5910943494931814,0.2727484757523734,48113,1699,991,351,0.009098,0.006897320142,0.003436016044,0.8183423505834773,0.7379592952536659,0.8610665817210434,-0.22198246160302107,-0.35508829068446157,-0.16135037780849135,-3.4312943441936214,-5.488777963431646,-2.494073787675511,-201.95964356642855,-323.0593268647232,-146.79657373016542,0.8021000251265288,0.7158724484427343,0.8482823051766202,-0.24672730167568951,-0.3968968943773986,-0.17885283460179074,-3.8137877591065745,-6.135034538632428,-2.7646180485628498,-224.47249906454235,-361.0967945045573,-201.95964356642855,-0.3824934149129531,-0.6462565752007814,-0.27054426088733896,-22.512855498113776,-38.037467639834105,-15.923735190543788,0.8828032948082422,0.8461470721245842,0.9206469694720032,-0.13275517420584015,-0.18182764314140767,-0.08619268097249713,-0.4520435683188242,-0.6191398347848941,-0.2934939997846018,-45.61489084952817,-62.476269907658335,-29.61594346968737,0.8718672005486888,0.8321285861823035,0.9130665666511044,-0.14696366530438792,-0.20173734757493253,-0.0952104003410673,-0.5004247862640847,-0.6869342080749994,-0.32420016295942217,-50.4969511870923,-69.31727629414726,-32.714446312757026,-0.04838121794526051,-0.06779437329010529,-0.03070616317482039,-4.882060337564129,-6.841006386488929,-3.0985028430696655,0.8461470721245842,0.8106528307792771,0.9206469694720032,-0.18182764314140767,-0.23357368534530903,-0.08619268097249713,-0.4401973363594784,-0.565472402085253,-0.2086689786121692,-125.41234654116194,-161.10324845733703,-59.44985145645847,0.8321285861823035,-0.20173734757493253,-0.4883979218586052,0.7938133418480874,-0.2597419913249212,-0.6288248076394874,0.9130665666511044,-0.0952104003410673,-0.23050051081211484,-139.1447070822237,-179.1523668488568,-65.66966120003272,-0.04820058549912681,-0.06335240555423449,-0.02183153219994563,-13.73236054106177,-18.0491183915198,-6.219809743574254,0.9844
48113016419,48113016419,Census Tract 164.19; Dallas County; Texas,2632,1984,783,Grand Prairie city,Texas,119082,0.510290237159512,0.23499669944859056,48113,2632,1984,783,0.009098,0.006897320142,0.003436016044,0.8457862100313496,0.7757936255242335,0.8825223589050228,-0.182331880254863,-0.28900259953059254,-0.13311576744722467,-4.366107535342613,-6.920437752193199,-3.187581647882125,-165.88554465587436,-262.93456505293307,-121.108725223485,0.8317382226199224,0.7563465451899867,0.8715620041436728,-0.20230136454480083,-0.3221452604755536,-0.14736529959508746,-4.84429552810247,-7.714069790050935,-3.52880003272479,-184.0537814628598,-293.08775798065864,-165.88554465587436,-0.4781879927598567,-0.7936320378577362,-0.34121838484266487,-18.168236806985437,-30.153192927725534,-12.964224348125564,0.9010967658553706,0.8697287637255046,0.9332568887008288,-0.10975872724473164,-0.1497837506448279,-0.07151633393468254,-0.748231371599325,-1.0210841907667103,-0.4875308412823397,-37.71327477819178,-51.46593703461241,-24.57312708076309,0.8917612031280396,0.8576739443556891,0.9268326504774574,-0.12137643630636774,-0.16594424557368426,-0.0789434311413721,-0.8274299429042518,-1.1312511869580997,-0.5381617776048049,-41.705138251222365,-57.01870902006551,-27.125089597016373,-0.0791985713049268,-0.11016699619138937,-0.05063093632246523,-3.991863473030584,-5.552771985453093,-2.551962516253288,0.8697287637255046,0.8391413189569868,0.9332568887008288,-0.1497837506448279,-0.1916943873565336,-0.07151633393468254,-0.8089223740489648,-1.035265028714672,-0.38623123256474257,-103.31064802668772,-132.21775590225695,-49.32710505296839,0.8576739443556891,-0.16594424557368426,-0.8961987699689392,0.824553077020383,-0.21277820418015356,-1.1491303250872933,0.9268326504774574,-0.0789434311413721,-0.4263420261512511,-114.45705874443668,-146.75993934703618,-54.449811768997584,-0.08727639591997438,-0.11386529637262144,-0.04011079358650854,-11.146410717748964,-14.542183444779235,-5.122706716029188,0.6711
48113016406,48113016406,Census Tract 164.06; Dallas County; Texas,2539,1776,509,Grand Prairie city,Texas,54717,0.5267235033384572,0.1969042347316085,48113,2539,1776,509,0.009098,0.006897320142,0.003436016044,0.8401313375425812,0.7679452092893141,0.8781159809931717,-0.1902900836017393,-0.30217623328289045,-0.1388017319408928,-4.395667059565296,-6.980217201465245,-3.206295301126338,-173.1259180608624,-274.91993704077373,-126.28181571982428,0.825623228244613,0.7479339706054758,0.8667763820373104,-0.2112062328068648,-0.3370164203004028,-0.15370010157585828,-4.878826383129137,-7.785019320016491,-3.5504449877842457,-192.1554306076856,-306.61753918930646,-173.1259180608624,-0.4831593235638412,-0.8048021185512457,-0.3441496866579077,-19.02951254682321,-31.69760214853272,-13.5545366938916,0.8973459372124619,0.8648802643993913,0.9306784738668512,-0.11439742303444896,-0.1562294125123106,-0.0744849355386149,-0.6980947725469923,-0.9533688198561006,-0.4545342259794482,-39.30713809386218,-53.680676793699355,-25.59314335469866,0.887678887856165,0.8524159860913225,0.9240163074584298,-0.12653349502893094,-0.1731361404722251,-0.08223198219365693,-0.7721535073844945,-1.0565398362708345,-0.5018095284216537,-43.4771119022801,-59.48985564588031,-28.25504101473276,-0.07405873483750225,-0.10317101641473392,-0.04727530244220551,-4.169973808417919,-5.809178852180964,-2.6618976600340942,0.8648802643993913,0.8332675896521431,0.9306784738668512,-0.1562294125123106,-0.20009467837031947,-0.0744849355386149,-0.5484802153102393,-0.7024795812141836,-0.2614969410985246,-107.75642736939868,-138.01170554306162,-51.37464461660602,0.8524159860913225,-0.1731361404722251,-0.6078352729944947,0.8182065259327121,-0.2221853142274231,-0.7800339707263989,0.9240163074584298,-0.08223198219365693,-0.2886947763143557,-119.41753889872194,-153.24832430774046,-56.71803071008953,-0.05935505768425542,-0.07755438951221527,-0.02719783521583108,-11.661111529323266,-15.236618764678836,-5.343386093483512,0.8191
48113015404,48113015404,Census Tract 154.04; Dallas County; Texas,2608,1470,541,Grand Prairie city,Texas,80487,0.5334158046312121,0.2386498724316022,48113,2608,1470,541,0.009098,0.006897320142,0.003436016044,0.8378392890937097,0.7647718087307311,0.8763278332339124,-0.19354631970255223,-0.3075795794037833,-0.1411254579347323,-4.592386558633164,-7.298120306987938,-3.3485661576848273,-176.08844166538205,-279.835901341562,-128.39594162901946,0.8231458523798382,0.7445348955887278,0.8648350177863362,-0.21485153221491665,-0.34312039089755186,-0.15628990435613616,-5.097907778158141,-8.141417897134497,-3.7083818339621866,-195.47192400913116,-312.17093163859266,-176.08844166538205,-0.5055212195249768,-0.8432975901465589,-0.3598156762773592,-19.383482343749108,-32.335030297030634,-13.79661335419322,0.8958229231035663,0.8629135097724057,0.929630479747181,-0.11629204188648544,-0.1588646934775086,-0.07569622746443984,-0.5873845429158814,-0.8024166043523766,-0.3823373744959904,-39.95813217114839,-54.58616356138616,-26.009345203808873,0.8860217611123431,0.850283977020072,0.9228718305436074,-0.1286404509349348,-0.17607767172636468,-0.08357408570046077,-0.6497556603801513,-0.8893583864116726,-0.4221279920142388,-44.20106533198308,-60.50057050419542,-28.716189932941415,-0.06237111746426993,-0.08694178205929604,-0.03979061751824836,-4.242933160834689,-5.914406942809254,-2.7068447291325417,0.8629135097724057,0.8308873630638665,0.929630479747181,-0.1588646934775086,-0.20353256584928303,-0.07569622746443984,-0.5927956917447161,-0.7594716328979938,-0.2824567028708669,-109.5740650175076,-140.38292659852013,-52.21011143638944,0.850283977020072,-0.17607767172636468,-0.657025062819303,0.8156359682687396,-0.226037152484324,-0.8434463771267152,0.9228718305436074,-0.08357408570046077,-0.311852538536203,-121.44640717547188,-155.90506046704533,-57.643722465102215,-0.06422937107458682,-0.08397474422872142,-0.0293958356653361,-11.87234215796429,-15.522133868525216,-5.433611028712773,0.827
48439113116,48439113116,Census Tract 1131.16; Tarrant County; Texas,2994,1670,546,Grand Prairie city,Texas,45967,0.49783706214984574,0.23566110368531487,48439,2994,1670,546,0.009366,0.006897320142,0.003436016044,0.8500968254336916,0.7817945565628025,0.885876245222588,-0.1763365890583496,-0.2791084199876605,-0.1288258437822056,-4.944796068402784,-7.826703608043659,-3.6125090614752287,-165.15684931205024,-261.41294616044286,-120.6582852864138,0.8364023296668638,0.7627845825001345,0.8752061522242706,-0.1955968611401365,-0.3109861197277459,-0.14258794623252508,-5.4848888431069245,-8.720611816125986,-3.998423241015007,-183.19602014385185,-291.2695997370069,-165.15684931205024,-0.5400927747041404,-0.8939082080823271,-0.38591417953977825,-18.039170831801616,-29.856653576564028,-12.889585154969213,0.9039495929315544,0.8734210650654911,0.9352155753576094,-0.1062563751557754,-0.14492315333042455,-0.06927218317297407,-0.6097146783869205,-0.8315903275839859,-0.3974939557513603,-36.50986098125272,-49.795827999041066,-23.802033278524572,0.8948672925393419,0.8616800303355578,0.9289725989363798,-0.11748413238160228,-0.16052358740468572,-0.07645801517175257,-0.6741411975102709,-0.9211079083441038,-0.4387273145936372,-40.36773637786054,-55.15616217629364,-26.27109668225372,-0.0644265191233504,-0.08951758076011795,-0.04123335884227686,-3.857875396607808,-5.3603341772525726,-2.469063403729153,0.8734210650654911,0.8436200083074202,0.9352155753576094,-0.14492315333042455,-0.18536780796170252,-0.06927218317297407,-0.545771435941418,-0.6980834490808208,-0.26087466365648004,-99.95813845080914,-127.85411155326388,-47.77924242792675,0.8616800303355578,-0.16052358740468572,-0.6045216846791502,0.8293952782291455,-0.20569772489555915,-0.7746446313528004,0.9289725989363798,-0.07645801517175257,-0.287936052801563,-110.71825726724364,-141.8763061085715,-52.735540806147064,-0.05875024873773227,-0.07656118227197961,-0.02706138914508293,-10.76011881643448,-14.02219455530762,-4.956298378220318,0.6238
48113014408,48113014408,Census Tract 144.08; Dallas County; Texas,2661,1699,628,Grand Prairie city,Texas,76216,0.5249674240154284,0.2443821875356037,48113,2661,1699,628,0.009098,0.006897320142,0.003436016044,0.8407338155646809,0.7687800975986984,0.8785858001966408,-0.1894371101611366,-0.30076208154129136,-0.13819276361646737,-4.586230381962661,-7.281383224932561,-3.345616128361152,-172.34988282460208,-273.63334178626684,-125.72777633826202,0.8262745328977906,0.7488284651328407,0.8672865230659322,-0.2102515086516639,-0.3354193203948276,-0.15302149105801188,-5.090142348621862,-8.120427283669649,-3.704616327743453,-191.2868225712838,-305.16449769521415,-172.34988282460208,-0.5039119666592011,-0.8390440587370875,-0.3590001993823009,-18.93693974668174,-31.531155908947294,-13.491176226317208,0.8977460092317078,0.8653970885722564,0.9309536661965048,-0.11390080236146226,-0.1555389002403663,-0.07416731499172281,-0.6649291083910391,-0.9080036322197318,-0.4329733031440823,-39.136498433845745,-53.44341566920141,-25.48400842519613,0.8881142358357853,0.8529763163499436,0.9243168565343808,-0.12598127543684895,-0.1723654934280006,-0.08188008574179251,-0.7354523885121688,-1.0062337708451463,-0.47799884880962806,-43.28736836445961,-59.22506008505865,-28.134128829289462,-0.07052328012112963,-0.09823013862541474,-0.04502554566554578,-4.150869930613869,-5.781644415857254,-2.6501204040933364,0.8653970885722564,0.8338932965936595,0.9309536661965048,-0.1555389002403663,-0.19919419437098695,-0.07416731499172281,-0.6737193982012316,-0.862813049014808,-0.3212569893782541,-107.28015894924071,-137.39061290044714,-51.15557155704683,0.8529763163499436,-0.1723654934280006,-0.7466040734730184,0.8188823885237833,-0.2211765865458669,-0.9580301555019736,0.9243168565343808,-0.08188008574179251,-0.35466498737856694,-118.88599896067171,-152.5525725321614,-56.47531646155525,-0.07288467527178677,-0.09521710648716553,-0.03340799800031285,-11.605840011431011,-15.161959631714256,-5.319744904508417,0.9464
48439121908,48439121908,Census Tract 1219.08; Tarrant County; Texas,767,420,114,Grand Prairie city,Texas,53637,0.4418855327076244,0.259321191477655,48439,767,420,114,0.009366,0.006897320142,0.003436016044,0.8697369290800292,0.8093344355281487,0.9011030781390044,-0.14977295612566152,-0.23558316080722355,-0.1097509533151764,-1.0759272799249495,-1.6923639351203896,-0.7884203378512058,-140.27735070729457,-220.6471884120456,-102.79274287499425,0.857682801756918,0.7923933479721625,0.8917680747061163,-0.16593220471665365,-0.2619994887124303,-0.12136779546582414,-1.1920108295315284,-1.882131491052237,-0.8718725023793412,-155.4121029376178,-245.38872112806223,-140.27735070729457,-0.11608354960657884,-0.1897675559318477,-0.08345216452813542,-15.134752230323189,-24.74153271601665,-10.880334358296665,0.916879074245692,0.8902047873994295,0.9440667131617012,-0.09065636689624612,-0.1233370277880858,-0.05924717613544153,-0.13082862708142592,-0.17799096264563738,-0.08550118406048983,-31.14967311462522,-42.37880062991366,-20.357424776307106,0.908956850507236,0.8799113466964272,0.9386484203839056,-0.10016223481011025,-0.13647812788690383,-0.06536161813493684,-0.14454679924038233,-0.19695523557128383,-0.0943250988008466,-34.415904581043414,-46.89410370744854,-22.45835685734443,-0.0137181721589564,-0.01896427292564648,-0.00882391474035677,-3.266231466418192,-4.515303077534876,-2.100932081037328,0.8902047873994295,0.8640393557028523,0.9440667131617012,-0.1233370277880858,-0.1573546892277269,-0.05924717613544153,-0.09697922612595827,-0.12372712608913485,-0.04658572850997869,-85.0694966017178,-108.53256674485512,-40.86467413156026,0.8799113466964272,-0.13647812788690383,-0.10731200080751448,0.8515043615496322,-0.17439210549682238,-0.1371235527307885,0.9386484203839056,-0.06536161813493684,-0.0513934806014426,-94.13333404167936,-120.2838181849022,-45.08200052758123,-0.01033277468155619,-0.01339642664165366,-0.00480775209146391,-9.06383743996157,-11.751251440047072,-4.217326396020975,0.9348
48439121907,48439121907,Census Tract 1219.07; Tarrant County; Texas,2714,1664,424,Grand Prairie city,Texas,42344,0.5039768833043284,0.2399056414372781,48439,2714,1664,424,0.009366,0.006897320142,0.003436016044,0.8479688128504013,0.7788301230181289,0.8842210800338189,-0.17928865407037098,-0.28397704511581,-0.13093888234575096,-4.557396387338679,-7.218504518361393,-3.328377874544524,-167.9217534023095,-265.9729004554677,-122.63735720503036,0.8340995132631066,0.7596036003792043,0.8734075681723188,-0.1988977143600875,-0.316476119255868,-0.1449408459931105,-5.055845444178517,-8.044609013627548,-3.684298325132978,-186.28759926965793,-296.411533295046,-167.9217534023095,-0.4984490568398377,-0.8261044952661551,-0.3559204505884539,-18.365845867348476,-30.438632839578304,-13.114239152116946,0.9025419292093074,0.8715986852856644,0.934249365781054,-0.10798176531928325,-0.14731701284318982,-0.07037803463101829,-0.6173890579525759,-0.8422895431531014,-0.4023885734125777,-37.10270780965,-50.61836196833542,-24.18200561373664,0.8933345394762593,0.8597025662655983,0.9279169178178254,-0.11940147370354236,-0.16319299166900236,-0.07768268990255273,-0.6826815911928324,-0.933060939438036,-0.4441531641601566,-41.02653793226157,-56.073373764305046,-26.691896884624796,-0.06529253324025652,-0.09077139628493448,-0.04176459074757888,-3.92383012261157,-5.45501179596962,-2.509891270888154,0.8715986852856644,0.8414088890031737,0.934249365781054,-0.14731701284318982,-0.1884828090950061,-0.07037803463101829,-0.4308232623756649,-0.5512111408508918,-0.2058180103855159,-101.6092599942606,-130.0026275591726,-48.5419835814896,0.8597025662655983,-0.16319299166900236,-0.47725198679206365,0.8270043717665624,-0.20918345070401745,-0.6117494166354867,0.9279169178178254,-0.07768268990255273,-0.2271802098618376,-112.55943084718484,-144.28052279138836,-53.5802381749617,-0.04642872441639878,-0.06053827578459481,-0.0213621994763217,-10.95017085292424,-14.277895232215757,-5.038254593472099,0.8614
48439111556,48439111556,Census Tract 1115.56; Tarrant County; Texas,2717,1624,548,Grand Prairie city,Texas,59186,0.4850473062341446,0.21828468841460968,48439,2717,1624,548,0.009366,0.006897320142,0.003436016044,0.8545468160691324,0.7880059997652137,0.889334047196678,-0.17021090149272816,-0.26902587073949935,-0.12443687852968036,-4.331428639285884,-6.846014861625493,-3.166597760307516,-159.4195303380892,-251.9696305346151,-116.54758043089863,0.8412197229030852,0.76945367206306,0.8789646539977239,-0.18875006466676417,-0.299623403341229,-0.13770217659126652,-4.803202548102438,-7.6246431859004655,-3.504165398036481,-176.78331056689134,-280.6272795693951,-159.4195303380892,-0.47177390881655423,-0.7786283242749725,-0.33756763772896514,-17.363780228802142,-28.65764903478,-12.424278164481604,0.9068889270560546,0.8772294778325552,0.9372314799096488,-0.10267086758485718,-0.1399525725820161,-0.06697227038981053,-0.5729126871953013,-0.7809479585003921,-0.37371129999349206,-35.27787482729688,-48.087928479088184,-23.01177955624951,0.898068594182323,0.8658138698610676,0.9311755284338488,-0.11350069079131302,-0.15498265251914312,-0.07391138347665506,-0.6333440759719922,-0.8648171580902633,-0.4124321759230778,-38.99901945640346,-53.25228805974527,-25.396069946002328,-0.06043138877669085,-0.08386919958987116,-0.03872087592958573,-3.721144629106579,-5.1643595806570906,-2.384290389752816,0.8772294778325552,0.848244629225529,0.9372314799096488,-0.1399525725820161,-0.1789051949707337,-0.06697227038981053,-0.5289831383914718,-0.6762135898194831,-0.25313719585428046,-96.52976977946568,-123.39664047800784,-46.19291895151103,0.8658138698610676,-0.15498265251914312,-0.5857928040427183,0.8343979537789652,-0.19846890260340133,-0.7501591505989178,0.9311755284338488,-0.07391138347665506,-0.2793651797391872,-106.89649708808729,-136.89035594870762,-50.97904739766189,-0.05680966565124645,-0.0739455607794347,-0.02622798388490671,-10.366727308621616,-13.493715470699764,-4.78612844615086,0.9006
48439113122,48439113122,Census Tract 1131.22; Tarrant County; Texas,3374,1102,182,Grand Prairie city,Texas,72359,0.6062175834454896,0.26052617457342764,48439,3374,1102,182,0.009366,0.006897320142,0.003436016044,0.8133057904195319,0.7310860041266618,0.8571092713107523,-0.22954983448988436,-0.3678281274096836,-0.16671238250722575,-7.253977691934036,-11.623693986210633,-5.268258660974471,-214.9963749832257,-344.5078241319097,-156.14281745626766,0.7966714443965799,0.7085415399050731,0.8439948802388318,-0.2552225977641593,-0.4113498555553639,-0.18484131055039357,-8.065259706123857,-12.999019068821813,-5.841148813110964,-239.0414850659116,-385.27027471315387,-214.9963749832257,-0.8112820141898212,-1.3753250826111802,-0.5728901521364929,-24.045110082685863,-40.762450581244224,-16.97955400523097,0.879420990514834,0.8418051020250414,0.9183059050414398,-0.137111816508469,-0.18792342502368525,-0.08896174413130188,-0.519172478282282,-0.7115701095741445,-0.33685272611138845,-47.11184013450834,-64.57079034248135,-30.56739801373761,0.8681934602123823,0.8274327549001617,0.9105129241283784,-0.15181701524839228,-0.2085574254558733,-0.09828204905195198,-0.5748535615605267,-0.7897005392778095,-0.3721439645124316,-52.16457001456685,-71.66066599617146,-33.7698697379702,-0.05568108327824472,-0.07813042970366502,-0.03529123840104314,-5.0527298800585045,-7.08987565369011,-3.2024717242325904,0.8418051020250414,0.8054293985489882,0.9183059050414398,-0.18792342502368525,-0.2415737515932969,-0.08896174413130188,-0.23590258047164733,-0.3032504934810171,-0.11167476859889872,-129.61680245694907,-166.62115026429512,-61.35976296642787,0.8274327549001617,-0.2085574254558733,-0.26180469430760345,0.7881887381576154,-0.26873165218966677,-0.3373421392142123,0.9105129241283784,-0.09828204905195198,-0.123374661687197,-143.84873313604584,-185.35282374407268,-67.78827565230604,-0.02590211383595611,-0.03409164573319517,-0.01169989308829826,-14.231930679096765,-18.73167347977757,-6.428512685878165,0.2139
