geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06037650101,06037650101,Census Tract 6501.01; Los Angeles County; California,3308,2722,1221,Los Angeles city,California,66965,0.3562907124775023,0.20687598673729635,06037,3308,2722,1221,0.009245,0.009493868073,0.003212018401,0.9006640263901733,0.8533539135403022,0.9249051198391512,-0.1102919298419872,-0.1718467380682751,-0.08119198234507383,-3.37299853271538,-5.255495993103501,-2.483050552388926,-101.9648891389172,-158.87230934412034,-75.06198767802074,0.8912901326342046,0.8399280846336795,0.9177130381243516,-0.12196911351919015,-0.19057812007337885,-0.08966524224590813,-3.730115535436092,-5.828347734019305,-2.7421836843757954,-112.7604454484913,-176.18947200783873,-101.9648891389172,-0.3571170027207118,-0.5728517409158043,-0.25913313198686927,-10.795556309574115,-17.31716266371839,-7.83352877832132,0.9370173941725805,0.9165067771143708,0.9577695797689874,-0.06721604766263216,-0.09109940588601886,-0.04409246349335773,-0.5876775732267094,-0.7964924989669362,-0.38550543872232546,-21.589918193486753,-29.261296802606033,-14.162580408608576,0.9309415584495944,0.9085508703918072,0.9536458934452744,-0.07418128552066856,-0.10065383523187406,-0.04860725230752086,-0.6485754424662491,-0.8800279647789163,-0.4249787524056219,-23.827165410222232,-32.330197089600155,-15.612738883380672,-0.06089786923953966,-0.08353546581198013,-0.03947331368329643,-2.237247216735476,-3.068900286994127,-1.450158474772095,0.9165067771143708,0.8962373889870398,0.9577695797689874,-0.09109940588601886,-0.11577581150707912,-0.04409246349335773,-1.0560254897738726,-1.3420747024816164,-0.511120406363218,-86.48857410105427,-109.91602804927244,-41.8608031419507,0.9085508703918072,-0.10065383523187406,-1.1667805581668609,0.8864726958943394,-0.12806632920726996,-1.4845465424204805,0.9536458934452744,-0.04860725230752086,-0.5634558966151246,-95.55942327328916,-121.58448340872074,-46.147084079862786,-0.1107550683929881,-0.14247183993886403,-0.05233549025190665,-9.070849172234896,-11.668455359448323,-4.2862809379120925,0.7817
06037106604,06037106604,Census Tract 1066.04; Los Angeles County; California,2869,2120,646,Los Angeles city,California,88885,0.4419614379791233,0.2737570654814556,06037,2869,2120,646,0.009245,0.009493868073,0.003212018401,0.8697099797892635,0.809296424658662,0.9010822447467912,-0.1498085835950815,-0.2356411934252289,-0.10977661121378,-3.973508639460501,-6.250124628497396,-2.9117044070562352,-138.49803553365288,-217.85028332162415,-101.4884770671396,0.8576535684367163,0.7923524113248539,0.8917453954074422,-0.16597194578545857,-0.26206468953372486,-0.12139631463204334,-4.402224122678653,-6.950978929047012,-3.2199043166504273,-153.44106387865645,-242.2788054739286,-138.49803553365288,-0.42871548321815256,-0.700854300549616,-0.3081999095941921,-14.943028345003576,-24.42852215230449,-10.742415810184458,0.91686140910224,0.8901818010909631,0.9440546489159788,-0.090677380542351,-0.12336603463972089,-0.05926071244737918,-0.617465719495803,-0.8400584234409163,-0.4035345775351856,-29.125741485651087,-39.625397332118695,-19.034649883735167,0.908937586765754,0.8798863541592128,0.9386352258865496,-0.10018555130751138,-0.13651040872836745,-0.06537659403895782,-0.6822114087457991,-0.9295647628987204,-0.4451805448614196,-32.17978343140562,-43.84739447635473,-20.999082304783943,-0.06474568924999613,-0.08950633945780395,-0.04164596732623404,-3.0540419457545345,-4.221997144236036,-1.964432421048776,0.8901818010909631,0.864011322174383,0.9440546489159788,-0.12336603463972089,-0.15739224051298997,-0.05926071244737918,-0.7566086739828931,-0.9652927139751613,-0.3634482472832648,-117.1220857558658,-149.42611671442123,-56.26133858874068,0.8798863541592128,-0.13651040872836745,-0.8372236299437446,0.851473972081644,-0.1744340200502506,-1.0698106086748749,0.9386352258865496,-0.06537659403895782,-0.4009571862286916,-129.6011811058428,-165.60535738001158,-62.06767588679437,-0.08061495596085144,-0.10451789469971362,-0.03750893894542678,-12.479095349977005,-16.179240665590342,-5.806337298053682,0.8121
06037296500,06037296500,Census Tract 2965; Los Angeles County; California,2459,1507,617,Los Angeles city,California,44604,0.4065889817355688,0.2581959334525778,06037,2459,1507,617,0.009245,0.009493868073,0.003212018401,0.8823594755802597,0.8272046364887767,0.9108431462741222,-0.1333249403168444,-0.20889070961290207,-0.09788387176275204,-3.030936531070668,-4.7488075469029765,-2.2252385939442942,-123.25890732292264,-193.11946103712796,-90.49363944466428,0.8713850593151,0.8116602098102305,0.902376868859823,-0.14759828540781963,-0.2320426551817837,-0.1081844343633568,-3.355418979395824,-5.275131259655597,-2.459405970299825,-136.45461485952924,-214.52343471555903,-123.25890732292264,-0.32448244832515627,-0.5263237127526201,-0.23416737635553095,-13.1957075366066,-21.403973678431075,-9.522870124259088,0.9251304925492028,0.9009581707881704,0.94969342005173,-0.08092859121365001,-0.10992944225722094,-0.05297138938324929,-0.3917357950868929,-0.532114754752184,-0.2564086316802779,-25.994412414525073,-35.30953913418606,-17.014507742553278,0.917959023348888,0.8916103291777189,0.9448041057996704,-0.089373244953583,-0.12156619015645848,-0.05842046394751064,-0.4326122405734194,-0.5884425694610687,-0.2827849410279024,-28.706850734798905,-39.04728397220097,-18.764760519436123,-0.04087644548652652,-0.0563278147088847,-0.02637630934762452,-2.7124383202738236,-3.737744838014911,-1.7502527768828484,0.9009581707881704,0.87717421505914706,0.94969342005173,-0.10992944225722094,-0.14002439063096594,-0.05297138938324929,-0.643935518853301,-0.820223197549659,-0.3102913869704663,-104.36556221285268,-132.9373091652608,-50.290338244808154,0.8916103291777189,-0.12156619015645848,-0.7121002902047938,0.8657538720625231,-0.1550626942246952,-0.9083133181621412,0.9448041057996704,-0.05842046394751064,-0.34221052150585024,-115.4133371482648,-147.2144762013195,-55.46361774811187,-0.06816477135149279,-0.08809012061248234,-0.03191913453538392,-11.047774935412122,-14.277167036058724,-5.173279503303714,0.8108
06037109400,06037109400,Census Tract 1094; Los Angeles County; California,2547,1637,630,Los Angeles city,California,57857,0.44397663795045,0.239859657965035,06037,2547,1637,630,0.009245,0.009493868073,0.003212018401,0.8689948115829066,0.8082879312129365,0.9005293176179806,-0.15075485684254267,-0.2371828916205339,-0.1104580166752733,-3.5498268753942046,-5.584949106732086,-2.6009565755229103,-139.3728651509307,-219.2755833031836,-102.11843641629017,0.8568778207865517,0.7912663622326691,0.8911434962994599,-0.16702752217588324,-0.2637969307558578,-0.12215373186537848,-3.932999570088355,-6.211630285462145,-2.8763557565400446,-154.41694425160404,-243.88026248379052,-139.3728651509307,-0.3831726946941503,-0.6266811787300588,-0.27539918101713434,-15.044079100673354,-24.604679180606944,-10.812688693252232,0.9163925437654864,0.8895717573444184,0.943734413072642,-0.09123541740198776,-0.12413640804563757,-0.05962014963952272,-0.4797225872911302,-0.652718434797047,-0.31348716599539606,-29.30498395181003,-39.87284268766323,-19.15010177125205,0.90842630527046,0.879223089814518,0.938284994573834,-0.10080475895320576,-0.1373677643190208,-0.06577426451778311,-0.5300388944703508,-0.7222898868228681,-0.34584595818328157,-32.37867406660665,-44.122778669692615,-21.126814794336077,-0.05031630717922059,-0.06957145202582105,-0.03235879218788551,-3.073690114796615,-4.249935982029386,-1.9767130230840264,0.8895717573444184,0.8632673959045025,0.943734413072642,-0.12413640804563757,-0.15838963077278467,-0.05962014963952272,-0.7424768490560686,-0.9473500629734392,-0.3565962761571927,-117.85346810413786,-150.37302586879989,-56.602583517014715,0.879223089814518,-0.1373677643190208,-0.8216154021144764,0.8506675622359072,-0.17554735174288905,-1.0499727407472546,0.938284994573834,-0.06577426451778311,-0.39340487965617577,-130.41514319277402,-166.66233980115152,-62.445218993043774,-0.07913855305840778,-0.1026226777738154,-0.03680860349898307,-12.561675088636155,-16.28931393235165,-5.842635476029058,0.7415
06037274100,06037274100,Census Tract 2741; Los Angeles County; California,3159,1961,635,Los Angeles city,California,42847,0.376274274078221,0.24185953095781812,06037,3159,1961,635,0.009245,0.009493868073,0.003212018401,0.8933465772056015,0.8428672367121968,0.9192924744057271,-0.11938638991376856,-0.18642646960716705,-0.08779308853414242,-3.486674145044064,-5.444576655686181,-2.563993199950645,-110.37271747527902,-172.35127115182596,-81.16471034981465,0.8833279562721384,0.8285812279798644,0.9115889987001988,-0.13208236295412443,-0.20688227808161405,-0.09698559485235483,-3.8574594663688706,-6.041987621671025,-2.8324599333112546,-122.110144551088,-191.2626660864522,-110.37271747527902,-0.37078532132480646,-0.5974109659848432,-0.26846673336060967,-11.737427075809006,-18.911394934626248,-8.498472091187391,0.9322765365161656,0.91029742623658,0.9545527216678592,-0.0726431062363865,-0.0985420492006388,-0.04761107197173167,-0.457562079110597,-0.6206935144725152,-0.29989110059775803,-23.333099393707137,-31.651887530469924,-15.292763926453748,0.9257617426121838,0.9017821743456216,0.9501231770530733,-0.08019153738016993,-0.10891524411163936,-0.05249511237229892,-0.5051078962860566,-0.6860318635107814,-0.3306545383955808,-25.757669366958517,-34.98377682359926,-16.861526690238694,-0.04754581717545964,-0.06533834903826619,-0.03076343779782275,-2.424569973251384,-3.3318892931293314,-1.5687627637849442,0.91029742623658,0.888614461680131,0.9545527216678592,-0.0985420492006388,-0.12534742919811237,-0.04761107197173167,-0.5940712113687519,-0.7556702921213327,-0.28702840493221754,-93.554521475394,-119.00319560965868,-45.20132361137284,0.9017821743456216,-0.10891524411163936,-0.6566071187964038,0.8781823707755018,-0.13871563957373,-0.8362619684270047,0.9501231770530733,-0.05249511237229892,-0.31647236130084666,-103.4026958734494,-131.69479817748106,-49.8381671339916,-0.06253590742765192,-0.08059167630567199,-0.02944395636862912,-9.84817439805542,-12.69160256782236,-4.636843522618759,0.4338
06037241110,06037241110,Census Tract 2411.10; Los Angeles County; California,2215,1332,443,Los Angeles city,California,35029,0.33704705980818195,0.185925979253947,06037,2215,1332,443,0.009245,0.009493868073,0.003212018401,0.907767184707442,0.8635756080344277,0.9303423374504266,-0.10160404214466422,-0.1579761988369333,-0.07487315125362132,-2.0806145537247365,-3.234985257518098,-1.5332280575974997,-93.93293696274203,-146.04899582474482,-69.2202283339729,0.8990253278556064,0.851001653175291,0.9236492108483504,-0.11231571460310544,-0.1750858488567684,-0.08266210619237503,-2.2999647010351474,-3.585351109988024,-1.6927277454229432,-103.83587815057098,-161.86686726808236,-93.93293696274203,-0.21935014731041091,-0.35036585246992624,-0.15949968782544355,-9.902941187828937,-15.817871443337529,-7.200888840877812,0.9416055019888164,0.9225262500461056,0.9608775766518852,-0.06201588445250742,-0.08397999509501491,-0.04071530473677425,-0.26532928780497056,-0.3593007256953555,-0.17419670627843267,-19.919616201574367,-26.97452895610777,-13.077830801684136,0.9359569774708972,0.9151169634659096,0.9570505221350448,-0.06842517772788774,-0.0927564889766712,-0.04487691806399189,-0.29275086269828954,-0.3968501518077551,-0.1920017881534794,-21.978292995367084,-29.793554940522156,-14.414548660171128,-0.02742157489331898,-0.03754942611239964,-0.01780508187504673,-2.058676793792716,-2.8190259844143877,-1.3367178584869917,0.9225262500461056,0.903639870001828,0.9608775766518852,-0.08397999509501491,-0.1066355449743239,-0.04071530473677425,-0.3532016824320436,-0.4484860215742593,-0.17123975915325654,-79.72949942032587,-101.23837958786892,-38.65457317229267,0.9151169634659096,-0.0927564889766712,-0.39011371608182344,0.8945300261803336,-0.11790545955178934,-0.49588484298550867,0.9570505221350448,-0.04487691806399189,-0.18874260405270973,-88.0617869259195,-111.93788780711256,-42.60555396223696,-0.03691203364977985,-0.04739882141124935,-0.01750284489945319,-8.332287505593646,-10.699508219243643,-3.950980789944288,0.8969
06037240800,06037240800,Census Tract 2408; Los Angeles County; California,3018,2019,610,Los Angeles city,California,42372,0.3826658830662436,0.1944075656149651,06037,3018,2019,610,0.009245,0.009493868073,0.003212018401,0.8910187113883877,0.8395404196609108,0.9175045060753992,-0.122310886649953,-0.19112787970816064,-0.08991290329185753,-3.4126461958838648,-5.33273733416807,-2.5086967790364665,-113.07641470788153,-176.69772479019448,-83.1244790933223,0.8807963509836411,0.8249844659695132,0.9096389043812274,-0.13533622032293466,-0.21214403573624904,-0.0993373251556779,-3.776071371080532,-5.919117720131736,-2.771651437471883,-125.11833568855307,-196.12716103816223,-113.07641470788153,-0.3634251751966673,-0.5863803859636665,-0.26295465843541654,-12.041920980671549,-19.429436247967743,-8.712878013101939,0.9307652734718512,0.9083202998786672,0.9535261132960444,-0.0743847331883109,-0.1009332282164996,-0.04873897636983401,-0.48238984101199234,-0.6545585609472291,-0.3160754371815925,-23.892513175433,-32.41993863037291,-15.655048894581103,0.9241111039852972,0.8996279137097759,0.9489992086134612,-0.0821209654200956,-0.11157066689529666,-0.05374165850048895,-0.532559811063171,-0.72354304382558,-0.3485181567317299,-26.37740520372318,-35.836703507953445,-17.261919600382857,-0.05016997005117862,-0.0689844828783509,-0.03244271955013744,-2.4848920282901745,-3.41676487758053,-1.6068707058017555,0.9083202998786672,0.8861900308420472,0.9535261132960444,-0.1009332282164996,-0.12842614472858824,-0.04873897636983401,-0.5845305192503634,-0.7437491338581048,-0.2822600611176438,-95.8246752869448,-121.92608751772212,-46.27214116682685,0.8996279137097759,-0.11157066689529666,-0.6461346873155506,0.8755471650534385,-0.1421429249205159,-0.8231865677904903,0.9489992086134612,-0.05374165850048895,-0.31123189165499526,-105.92371923205748,-134.94861767057216,-51.02162158278611,-0.0616041680651872,-0.07943743393238545,-0.02897183053735147,-10.099043945112657,-13.022530152850074,-4.749480415959257,0.9598
06037240020,06037240020,Census Tract 2400.20; Los Angeles County; California,3394,2248,603,Los Angeles city,California,42094,0.3573864290018426,0.18011402497069945,06037,3394,2248,603,0.009245,0.009493868073,0.003212018401,0.9002612554551139,0.8527755535678101,0.924596487433574,-0.11078866711248682,-0.17264149495871198,-0.08155288668219518,-3.4762747259820688,-5.417063687311834,-2.55892814845718,-102.42412274549407,-159.60706208932922,-75.39564373768944,0.8908517055471816,0.8393019191681098,0.9173761880243668,-0.1225212835909395,-0.19146635693526015,-0.09006535492660803,-3.844415251513212,-6.007741358726834,-2.8260283761702913,-113.27092667982356,-177.01064698664803,-102.42412274549407,-0.36814052553114296,-0.5906776714150004,-0.2671002277131116,-10.846803934329492,-17.403584897318808,-7.869776891959681,0.9367568251251424,0.9161652179612718,0.957592915988516,-0.06751290535450213,-0.09150618294076304,-0.04428508534621672,-0.48748485679456544,-0.6607311335879352,-0.3197656562812392,-21.68526943036323,-29.391954341100323,-14.224450902190355,0.9306567950056204,0.9081784237285768,0.9534524017617848,-0.07450996475447293,-0.10110521663182052,-0.04882005452207669,-0.5380079454050657,-0.7300420829491053,-0.3525109334642252,-23.93273778492285,-32.47518162584988,-15.681091346273364,-0.05052308861050025,-0.0693109493611701,-0.03274527718298598,-2.24746835455962,-3.08322728474956,-1.456640444083006,0.9161652179612718,0.8958177276910334,0.957592915988516,-0.09150618294076304,-0.1162985159687518,-0.04428508534621672,-0.5238548201081547,-0.6657860289188869,-0.2535233650007518,-86.87476287034073,-110.41227676930131,-42.0436757878527,0.9081784237285768,-0.10110521663182052,-0.5788073916813373,0.8860161086872719,-0.12864765120535734,-0.7364823885523241,0.9534524017617848,-0.04882005452207669,-0.2794851676404057,-95.98795881945892,-122.1363828444982,-46.349115694926326,-0.05495257157318267,-0.07069635963343712,-0.02596180263965392,-9.113195949118188,-11.72410607519687,-4.305439907073619,0.989
06037123206,06037123206,Census Tract 1232.06; Los Angeles County; California,1652,1037,395,Los Angeles city,California,36150,0.283168011945455,0.20299453867645817,06037,1652,1037,395,0.009245,0.009493868073,0.003212018401,0.9279542603753932,0.8928506593390386,0.9457362778958944,-0.07763932200220897,-0.12000813298416796,-0.05737722383330099,-1.1857651787160168,-1.832853012952621,-0.8763074215278094,-71.77755319104217,-110.94751894386324,-53.04524343388677,0.9210415595408524,0.8827885793243031,0.9404745625996512,-0.08572733731853432,-0.13277405646254725,-0.06329297970144891,-1.309291333758272,-2.0278236430978036,-0.9666572228055068,-79.25492335098498,-122.74961519962493,-71.77755319104217,-0.12352615504225506,-0.19497063014518257,-0.09034980127769744,-7.477370159942801,-11.802096255761656,-5.46911630010275,0.954571302361834,0.9395909138281904,0.9696332085993395,-0.0475906802621919,-0.06429296546268609,-0.03131781289187276,-0.1585180399248438,-0.2141510650814824,-0.10431534676541784,-15.286214071826793,-20.65101881210052,-10.059339128777031,0.9501435209913904,0.9337544599609032,0.966647716095864,-0.0524725769393119,-0.07094535328042277,-0.03450303905836615,-0.17477896933600556,-0.23630925806964373,-0.11492489901069187,-16.85428826769581,-22.78777802021637,-11.08243963458938,-0.01626092941116175,-0.02215819298816132,-0.01060955224527404,-1.5680741958690212,-2.136759208115846,-1.0231005058123477,0.9395909138281904,0.9246924440661684,0.9696332085993395,-0.06429296546268609,-0.08144065242133929,-0.03131781289187276,-0.2411036281892514,-0.30540878989756104,-0.11744423765248373,-61.038893212468714,-77.31868098672432,-29.732718393033853,0.9337544599609032,-0.07094535328042277,-0.266050600652501,0.9174809165914504,-0.08994092619944387,-0.33728547864187497,0.966647716095864,-0.03450303905836615,-0.12938908387038928,-67.35458244367115,-85.38872877009493,-32.75673009376944,-0.02494697246324961,-0.03187668874431393,-0.01194484621790556,-6.315689231202435,-8.070047783370615,-3.024011700735586,0.9685
06037237900,06037237900,Census Tract 2379; Los Angeles County; California,2693,1824,855,Los Angeles city,California,46308,0.36745698765134865,0.1604823326211973,06037,2693,1824,855,0.009245,0.009493868073,0.003212018401,0.8965678757720343,0.8474782609258229,0.9217647140742704,-0.11536452177577776,-0.1799712701863946,-0.08487554875031357,-2.872205695279357,-4.480706020007577,-2.1131282889935754,-106.65450038170653,-166.38343928732183,-78.46744481966489,0.8868322771921222,0.8335687472658178,0.9142860361221172,-0.12760893544175916,-0.19966109967545215,-0.09374961499076664,-3.177052229772358,-4.9709194714833025,-2.334064008257894,-117.97446081590634,-184.5866866499555,-106.65450038170653,-0.3048465344930009,-0.4902134514757259,-0.22093571926431865,-11.319960434199812,-18.20324736263371,-8.204074239298873,0.9343653667077468,0.9130319564886316,0.9559707521862156,-0.07024514780927518,-0.0952519163138965,-0.04605710761871502,-0.41154676219610664,-0.5580544560656837,-0.2698357695547055,-22.56287073443567,-30.595090793074764,-14.793627716814994,0.9280436547298122,0.9047624670271182,0.9516758875803066,-0.07753551775658328,-0.10526247102824096,-0.05077790984340303,-0.4542590098117389,-0.6167035088324494,-0.2974936353451451,-24.904550976520778,-33.81049938774394,-16.309958078132958,-0.04271224761563225,-0.05864905276676568,-0.0276578657904396,-2.3416802420851015,-3.2154085946691717,-1.516330361317961,0.9130319564886316,0.8919698774058383,0.9559707521862156,-0.0952519163138965,-0.12111409289779068,-0.04605710761871502,-0.7731843037428071,-0.9831142428885506,-0.3738573885404172,-90.43091271845697,-114.98412197526908,-43.72601035560435,0.9047624670271182,-0.10526247102824096,-0.8544425510979891,0.8818306851385934,-0.13400453948008675,-1.0877493132510392,0.9516758875803066,-0.05077790984340303,-0.41217735439994274,-99.9348012980104,-127.22214190070636,-48.20787770759564,-0.08125824735518195,-0.10463507036248854,-0.03831996585952552,-9.503888579553443,-12.238019925437255,-4.481867351991289,0.917
06037232300,06037232300,Census Tract 2323; Los Angeles County; California,3214,2012,744,Los Angeles city,California,38539,0.35166648707254633,0.16804559365095645,06037,3214,2012,744,0.009245,0.009493868073,0.003212018401,0.9023658165409266,0.8557990758222108,0.9262087688109092,-0.1081980075811584,-0.16849857431693044,-0.07967019280526344,-3.2149339244022195,-5.00667059306591,-2.3672746970056986,-100.02905800878094,-155.7769319560022,-73.655093248466045,0.8931427937098908,0.8425758253506666,0.9191360013047266,-0.11964179417072963,-0.1868368043716612,-0.0879782737053992,-3.554968076166383,-5.551562308121048,-2.6141362772662196,-110.60883871083956,-172.73062564160077,-100.02905800878094,-0.34003415176416363,-0.5448917150551384,-0.24686158026052096,-10.579780702058606,-16.953693685598584,-7.680820792175512,0.9381178659354744,0.9179496540316204,0.9585155086524102,-0.06596413554369067,-0.08938436395505556,-0.04327993754207838,-0.42629857055085385,-0.577653694232063,-0.27970010302792436,-21.187801717239257,-28.71042217853196,-13.901595577928646,0.932144298704666,0.910124381117056,0.9544629142593862,-0.07279527578469164,-0.09875091882785708,-0.04770964388485244,-0.47044536783651414,-0.6381858140021573,-0.30832743917536604,-23.381976532629928,-31.718976839073427,-15.324425406330318,-0.04414679728566029,-0.06053211977009432,-0.02862733614744167,-2.1941748153906704,-3.008554660541467,-1.4228298284016736,0.9179496540316204,0.8980106419070923,0.9585155086524102,-0.08938436395505556,-0.11357254951490812,-0.04327993754207838,-0.6313608992286656,-0.8022126445457455,-0.30570514882073596,-84.86033591783139,-107.82428018087975,-41.0894017232172,0.910124381117056,-0.09875091882785708,-0.6975209774067698,0.8884022129008565,-0.1256162867207958,-0.8872828337368486,0.9544629142593862,-0.04770964388485244,-0.3369941042503346,-93.75281954392068,-119.2584453947377,-45.29490648526002,-0.06616007817810421,-0.0850701891911031,-0.03128895542959864,-8.892483626089277,-11.434165213857945,-4.205504762042828,0.9055
