geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
35001002000,35001002000,Census Tract 20; Bernalillo County; New Mexico,1670,580,230,Albuquerque city,New Mexico,71801,0.2713130067030402,0.19972359318706956,35001,1670,580,230,0.01307599999999999,0.008095660466,0.003292529507,0.9324559322619308,0.8994240953624683,0.9491574485651124,-0.07243673979768908,-0.11182255974252014,-0.05356598266362301,-1.5817952920229523,-2.441860291292633,-1.169716078146923,-94.71828095945824,-146.21917911931934,-70.04287893095345,0.9259577008289446,0.8899404968428017,0.9442175889990037,-0.07996293902493665,-0.12367063140474106,-0.05907791980462165,-1.7461443024524197,-2.700585684334818,-1.2900798085399383,-104.55953906900716,-161.7117176248394,-94.71828095945824,-0.16434901042946692,-0.2587253930421851,-0.12036373039301584,-9.841258109548916,-15.492538505520065,-7.2074090055698115,0.95744804534738,0.9433878172858836,0.9715703932760854,-0.04444309522526774,-0.06000944858180278,-0.02926149965114871,-0.08487151739873082,-0.11459807048954326,-0.05587972359187686,-14.633020241160484,-19.758288015438495,-9.634435102047734,0.9532937342999656,0.9379059476577898,0.9687722702865076,-0.04899462151016063,-0.066204988354404,-0.03223433480838293,-0.09356341746377043,-0.12642948904713058,-0.06155684912716844,-16.131623700650078,-21.79818776674665,-10.6132498495118,-0.00869190006503962,-0.01183141855758732,-0.00567712553529158,-1.4986034594895912,-2.0398997513081585,-0.9788147474640656,0.9433878172858836,0.929390078665479,0.9715703932760854,-0.06000944858180278,-0.07597447288861807,-0.02926149965114871,-0.11173770770813692,-0.14146461341560204,-0.05448496815738581,-48.58161204701606,-61.50635365895741,-23.689116590167743,0.9379059476577898,-0.066204988354404,-0.12327381458072992,0.9226093153028186,-0.08388240115674553,-0.156189190932698,0.9687722702865076,-0.03223433480838293,-0.06002039288988768,-53.59731068727389,-67.90834388378174,-26.095822995603346,-0.011536106872593,-0.01472457751709596,-0.00553542473250186,-5.015698640257827,-6.401990224824333,-2.406706405435595,0.9328
35001003501,35001003501,Census Tract 35.01; Bernalillo County; New Mexico,3114,2302,1303,Albuquerque city,New Mexico,164252,0.36007868433047086,0.20631362383723637,35001,3114,2302,1303,0.01307599999999999,0.008095660466,0.003292529507,0.8992723827375485,0.8513561452378682,0.9238385924604804,-0.1120101308524769,-0.17459656055057998,-0.08244016667097355,-4.56090288277804,-7.109338684614721,-3.3568534467793705,-146.46444710269876,-228.3024625759384,-107.798761938965,0.8897753739849543,0.8377653668711728,0.9165490478193138,-0.1238791601091328,-0.19365163510486205,-0.09104908502085698,-5.044193897085981,-7.885235862885482,-3.707397100471708,-161.98438975870204,-253.2188780631176,-146.46444710269876,-0.48329101430794186,-0.7758971782707613,-0.35054365369233764,-15.51994265600327,-24.916415487179233,-11.257021634307566,0.936116895697814,0.9153265227607902,0.9571589785949176,-0.06824265708244184,-0.0925063080045133,-0.04475852221328143,-0.5172385947082113,-0.7011425814809047,-0.33924287418712523,-22.46909620800223,-30.45797486884903,-14.736875507694409,0.929957480372056,0.9072639434618632,0.9529771453199886,-0.07531798077469244,-0.10221507997362075,-0.04934310850049002,-0.5708653237973839,-0.7747292761428225,-0.3739913009028315,-24.798667410833357,-33.65461668735111,-16.24636407049659,-0.05362672908917254,-0.0735866946619178,-0.03474842671570627,-2.329571202831127,-3.196641818502077,-1.5094885628021837,0.9153265227607902,0.8947874237090521,0.9571589785949176,-0.0925063080045133,-0.11758387914620348,-0.04475852221328143,-0.9758162577197884,-1.2403506678812222,-0.4721417878346349,-74.88996605677578,-95.19191618428412,-36.23497987986454,0.9072639434618632,-0.10221507997362075,-1.0782306523088254,0.884895239205391,-0.1300772743426324,-1.3721390659891528,0.9529771453199886,-0.04934310850049002,-0.5205029637423262,-82.749858197147,-105.30614474206853,-39.94650527569656,-0.10241439458903712,-0.13178839810793064,-0.04836117590769129,-7.859892140371229,-10.114228557784392,-3.711525395832026,0.5879
35001000206,35001000206,Census Tract 2.06; Bernalillo County; New Mexico,2207,1614,431,Albuquerque city,New Mexico,56707,0.3684946718874424,0.18598653711341065,35001,2207,1614,431,0.01307599999999999,0.008095660466,0.003292529507,0.8961881669983793,0.8469342940997273,0.9214734175749744,-0.11583709406621567,-0.18072913916300695,-0.08521849998851058,-3.3429116533157077,-5.2156137916959215,-2.4592978526104297,-151.46858420098357,-236.32142236954783,-111.4317105849764,0.8864191417660818,0.8329802234854575,0.9139682147520348,-0.12813448275453776,-0.2005086937306602,-0.09412995316396876,-3.6977986977718262,-5.786426656043202,-2.716471091531526,-167.54864964983355,-262.18516792221124,-151.46858420098357,-0.35488704445611896,-0.5708128643472801,-0.25717323892109656,-16.080065448849975,-25.86374555266335,-11.652616172229116,0.9341192947574688,0.912709710499769,0.9558037584369182,-0.0705270789419206,-0.095638611593639955,-0.04623987002871643,-0.37479095637249016,-0.5082372223984429,-0.24572526426160152,-23.22124884587919,-31.489295068057185,-15.224613646939376,0.9277748104809106,0.9044112131405764,0.9514930213266352,-0.07784775864053864,-0.10569173122864162,-0.05097985753561615,-0.4136940923977493,-0.5616609339579723,-0.2709142339106574,-25.631604237778767,-34.799314371621584,-16.785268519867248,-0.03890313602525913,-0.05342371155952941,-0.02518896964905587,-2.4103553918995746,-3.310019303564399,-1.560654872927873,0.912709710499769,0.891574330089843,0.9558037584369182,-0.095638611593639955,-0.12161147562338528,-0.04623987002871643,-0.33370508029465873,-0.42433036784436623,-0.16134152601786134,-77.42577269017603,-98.45252154161628,-37.434228774445785,0.9044112131405764,-0.10569173122864162,-0.36878272350913976,0.8814005385182122,-0.13455796348975932,-0.46950363731150135,0.9514930213266352,-0.05097985753561615,-0.17788043101897535,-85.56443700908116,-108.93355854095158,-41.271561721339985,-0.03507764321448103,-0.04517326946713512,-0.01653890500111401,-8.138664318905112,-10.481036999335297,-3.837332946894204,0.4717
35001000208,35001000208,Census Tract 2.08; Bernalillo County; New Mexico,1885,1309,609,Albuquerque city,New Mexico,72291,0.2770305072670211,0.14711317074295924,35001,1885,1309,609,0.01307599999999999,0.008095660466,0.003292529507,0.9302821200215624,0.8962478005986196,0.9475059242678248,-0.07494272810147275,-0.115762849662875,-0.05540237204610578,-1.8472078473544065,-2.8533528168314546,-1.365572070809147,-97.99511126548576,-151.3715022191753,-72.4441416874879,0.9235834484313934,0.8864840238933118,0.9424105244174,-0.08273919557392659,-0.1280519141316751,-0.0611086931761526,-2.0393772046969914,-3.156256873015202,-1.506222957666035,-108.1897721324664,-167.44068291857835,-97.99511126548576,-0.1921693573425849,-0.30290405618374727,-0.1406508868568881,-10.19466086698063,-16.069180699403038,-7.461585509649235,0.956059552367206,0.9415547130069044,0.9706356339419616,-0.04595994833585143,-0.06207317130456232,-0.03025271794193597,-0.19808375222110616,-0.2675304722803583,-0.13038682813642122,-15.132448603598638,-20.43777481133371,-9.96079664907725,0.951773129385765,0.9359014448820756,0.967747045672464,-0.05067055280848143,-0.06848857373652294,-0.03332787681632667,-0.2183860859476262,-0.29518035074507976,-0.1436405203308526,-16.68342902579268,-22.5500649919847,-10.97330178234168,-0.02030233372652004,-0.02764987846472144,-0.01325369219443137,-1.5509804221940446,-2.1122901806509886,-1.0125051332644288,0.9415547130069044,0.9271215043298728,0.9706356339419616,-0.06207317130456232,-0.07860727566965903,-0.03025271794193597,-0.3060367012281208,-0.3875540887131027,-0.1491536811726322,-50.25233189295908,-63.63778139788223,-24.491573263158,0.9359014448820756,-0.06848857373652294,-0.33766628541184024,0.9201323925829674,-0.0868001257871497,-0.4279469471883227,0.967747045672464,-0.03332787681632667,-0.16431500542741118,-55.446023877149464,-70.2704346778855,-26.981117475765384,-0.03162958418371942,-0.04039285847521995,-0.01516132425477898,-5.19369198419038,-6.632653280003276,-2.489544212607386,0.7613
35001001500,35001001500,Census Tract 15; Bernalillo County; New Mexico,2071,1299,574,Albuquerque city,New Mexico,61827,0.2594468319089002,0.15722300722116686,35001,2071,1299,574,0.01307599999999999,0.008095660466,0.003292529507,0.9369837148558374,0.9060521888967992,0.95259423607913285,-0.06725440810234161,-0.10368918286880452,-0.04976490737125257,-1.821276004157019,-2.807944133003642,-1.3476533985168384,-87.94186403462187,-135.58397551924878,-65.07259287864986,0.9309047514901828,0.8971571761235868,0.9479790600794862,-0.07422375747809895,-0.11463189128216504,-0.054875621320319,-2.0100087451148805,-3.1042770101499766,-1.4860535561002812,-97.05498527836215,-149.89266104055898,-87.94186403462187,-0.1887327409578614,-0.2963328771463347,-0.13840015758344282,-9.113121243740292,-14.308685521310222,-6.682769559799268,0.9603361805017578,0.9472036631754508,0.9735132788141052,-0.04130201517297677,-0.05573916030640363,-0.02720735480686995,-0.17664854664860846,-0.23839615617550405,-0.11636574304323986,-13.598810365558773,-18.35228300042371,-8.95810185090376,0.956457375027358,0.9420798305065188,0.9709035022625836,-0.04552489855744639,-0.06148116923630543,-0.02996847541450835,-0.19470980127284265,-0.2629547044221798,-0.12817504436711258,-14.9892071803574,-20.24285638353963,-9.86720895820728,-0.01806125462423416,-0.02455854824667575,-0.01180930132387271,-1.3903968147986268,-1.890573383115916,-0.9091071073035192,0.9472036631754508,0.934116038044132,0.9735132788141052,-0.05573916030640363,-0.07053081124034327,-0.02720735480686995,-0.2590148116713377,-0.32775026911098604,-0.1264301048425926,-45.124531650058834,-57.099350019335546,-22.02615066944122,0.9420798305065188,-0.06148116923630543,-0.2856974052629529,0.92777125242821,-0.07785189224472007,-0.3617706671068527,0.9709035022625836,-0.02996847541450835,-0.1392607813410892,-49.77306711898134,-63.026248624887224,-24.261460163952822,-0.02668259359161517,-0.03402039799586665,-0.01283067649849661,-4.648535468922504,-5.926898605551681,-2.235309494511606,0.9162
35001004727,35001004727,Census Tract 47.27; Bernalillo County; New Mexico,1247,889,384,Albuquerque city,New Mexico,48507,0.3060333397197438,0.15551320485380832,35001,1247,889,384,0.01307599999999999,0.008095660466,0.003292529507,0.9193329570012831,0.8803075351976278,0.9391724888638272,-0.08774518783906086,-0.1359666480368152,-0.06476713474620563,-1.430753027000899,-2.217041162492556,-1.0560781322649069,-114.73560761835596,-177.78998897293954,-84.68950539413846,0.911633156493428,0.8691562575501659,0.9332970617281856,-0.096932458936084,-0.1505411038731227,-0.0714702113690369,-1.580558574811148,-2.4546889163834553,-1.1653769713753237,-126.74888330482344,-196.8475474244952,-114.73560761835596,-0.14980554781024913,-0.23764775389089943,-0.10929883911041682,-12.013275686467452,-19.05755845155569,-8.76494299201418,0.9490471775551604,0.9323107483661556,0.965907768407696,-0.05368839784772235,-0.07260374478409429,-0.03529553515084066,-0.15714909371239402,-0.2125154251260714,-0.10331210435410423,-17.677063409718112,-23.90499720203278,-11.621159094949858,0.9440969228811577,0.9257991127342567,0.9625631352722436,-0.05921328177645103,-0.08014793516770417,-0.03889289269027334,-0.1733207534577354,-0.2345977134621974,-0.11384178115103022,-19.496147745527043,-26.3889441464789,-12.80559967953096,-0.01617165974534137,-0.02208228833612599,-0.01052967679692598,-1.8190843358089288,-2.483946944446118,-1.1844405845811008,0.9323107483661556,0.9156988455801722,0.965907768407696,-0.07260374478409429,-0.09206209533486516,-0.03529553515084066,-0.225705702271544,-0.28619653079792284,-0.10972441672203806,-58.77752663321458,-74.53034656195908,-28.57406685469741,0.9257991127342567,-0.08014793516770417,-0.2491585805447861,0.907669899285609,-0.10172211371894156,-0.3162269547081183,0.9625631352722436,-0.03889289269027334,-0.12090764304423408,-64.88504701687138,-82.35076945523915,-31.486365376102626,-0.0234528782732421,-0.03003042391019544,-0.01118322632219601,-6.107520383656798,-7.820422893280064,-2.9122985214052113,0.4878
35001004743,35001004743,Census Tract 47.43; Bernalillo County; New Mexico,2630,1961,470,Albuquerque city,New Mexico,31197,0.2851802940793061,0.14964461927019365,35001,2630,1961,470,0.01307599999999999,0.008095660466,0.003292529507,0.927192301912185,0.8917396559162507,0.9451567899172968,-0.0785249165007742,-0.12140353225910226,-0.05802551562635654,-2.7004624554716443,-4.1750529059666555,-1.9954905193285264,-102.67918081641233,-158.74725878200212,-75.8741642330238,0.9202096831397496,0.8815803234002096,0.9398406917018476,-0.08670884291067929,-0.13432658767048225,-0.06401011238321341,-2.9819067026371116,-4.619475230797364,-2.201300083645223,-113.38048299000424,-175.64544603792257,-102.67918081641233,-0.28144424716546723,-0.4444223248307084,-0.20580956431669684,-10.701302173591907,-16.898187255920472,-7.825458719266039,0.9540838595272768,0.9389479418957316,0.9693047723261512,-0.04812589586776304,-0.06502177104835487,-0.03166726147461966,-0.31073208303521704,-0.4198228416570233,-0.20446443530250744,-15.84559321954192,-21.408609977410674,-10.42653928110696,0.949609834607196,0.9330516082307624,0.9662875546735916,-0.053064072797485,-0.07175207799725472,-0.03488862623072532,-0.3426161649021855,-0.46327808046326674,-0.2252636612251037,-17.47150254473154,-23.624583399452664,-11.487183132335732,-0.03188408186696845,-0.04345523880624341,-0.02079922592259622,-1.62590932518962,-2.2159734220419893,-1.0606438512287724,0.9389479418957316,0.9238974227666016,0.9693047723261512,-0.06502177104835487,-0.0823712409603981,-0.03166726147461966,-0.24740526521357084,-0.31341931151987373,-0.12049267648968474,-52.63941813054699,-66.68495989784547,-25.63673967865633,0.9330516082307624,-0.07175207799725472,-0.27301381676199005,0.9166132507401462,-0.09097266398071456,-0.3461473856594253,0.9662875546735916,-0.03488862623072532,-0.13274984188189276,-58.088046119572354,-73.6483799275373,-28.244647208913353,-0.0256085515484192,-0.03272807413955159,-0.01225716539220801,-5.448627989025363,-6.963420029691827,-2.607907530257025,0.2756
35001000905,35001000905,Census Tract 9.05; Bernalillo County; New Mexico,1333,973,336,Albuquerque city,New Mexico,6918,0.25049934710986344,0.18615563721208303,35001,1333,973,336,0.01307599999999999,0.008095660466,0.003292529507,0.9404123447927132,0.9110822698430872,0.955193913431954,-0.0633633273076834,-0.09759572005745086,-0.04690784346296818,-1.1044423108777326,-1.7011234600831462,-0.817618159175322,-82.85388678752683,-127.61616354712277,-61.336696112177194,0.9346524605353196,0.902637463289912,0.9508252386143728,-0.0699164044646637,-0.10786449784083112,-0.0517179807482699,-1.2186644640716633,-1.8801114196310216,-0.9014603335804148,-91.42269047799424,-141.04361737667077,-82.85388678752683,-0.1142221531939307,-0.17898795954787516,-0.0838421744050929,-8.56880369046742,-13.427453829548025,-6.289735514260532,0.9625196889288576,0.9500911394824376,0.9749808471010558,-0.03893978637761936,-0.05253060305851327,-0.02566117372801168,-0.12474871496218452,-0.1682886794547116,-0.0822089370482709,-12.82103956445884,-17.29585605906594,-8.449017168373166,0.958849804934674,0.9452393539455812,0.9725136210235223,-0.0429162052842359,-0.05793310004057599,-0.02826323290726714,-0.137487694676692,-0.18559628740005868,-0.0905449750460099,-14.130287222681602,-19.074644131557932,-9.305752831039044,-0.01273897971450749,-0.01730760794534708,-0.008336037997739,-1.309247658222764,-1.7787880724919918,-0.8567356626658794,0.9500911394824376,0.9376954517780298,0.9749808471010558,-0.05253060305851327,-0.06644433232968143,-0.02566117372801168,-0.1428906952824774,-0.1807380134888723,-0.06980203428610339,-42.52699264359446,-53.79107544311675,-20.7744149661022,0.9452393539455812,-0.05793310004057599,-0.1575862537775615,0.9316826122722298,-0.07332688925164615,-0.19945954506552885,0.9725136210235223,-0.02826323290726714,-0.0768800045290075,-46.900670767131395,-59.3629598409312,-22.880953728871283,-0.01469555849508411,-0.01872153157665654,-0.00707797024290411,-4.373678123536937,-5.571884397814447,-2.106538762769082,0.78
35001002404,35001002404,Census Tract 24.04; Bernalillo County; New Mexico,2017,1529,666,Albuquerque city,New Mexico,43387,0.26787571586284004,0.12612771486701166,35001,2017,1529,666,0.01307599999999999,0.008095660466,0.003292529507,0.9337652454651342,0.9013390600202964,0.9501517097999488,-0.07093298327019279,-0.1094604065838241,-0.05246350628632423,-1.8708072131991793,-2.886940725680499,-1.3836878341393508,-92.75196892410408,-143.13042764900837,-68.60128081999757,0.9273880087411526,0.8920249690117715,0.9453056412634,-0.07829731522775651,-0.1210448527106236,-0.0578589149891258,-2.0650362546328966,-3.192472290486978,-1.5259879187263807,-102.3815693918144,-158.2782494044114,-92.75196892410408,-0.19422904143371733,-0.30553156480647914,-0.14230008458702992,-9.629600467710327,-15.147821755403031,-7.055036419783337,0.9582837605843978,0.94449157424621,0.9721327922834464,-0.04353224079489989,-0.0587706944851156,-0.02866605050025737,-0.21915338541692364,-0.29586799173512257,-0.1443128563783905,-14.333118732303705,-19.350424573912527,-9.43838171212495,0.954209072264978,0.9391130957801428,0.9693891453648508,-0.04798835922438814,-0.06483447466918474,-0.031577467915249,-0.241586722681646,-0.3263947445853571,-0.1589697399021065,-15.80030887388136,-21.34694209191348,-10.396974486730311,-0.02243333726472235,-0.03052675285023454,-0.01465688352371599,-1.4671901415776554,-1.996517518000951,-0.9585927746053629,0.94449157424621,0.930756588439916,0.9721327922834464,-0.0587706944851156,-0.07439475843640928,-0.02866605050025737,-0.3168745335430747,-0.4011149533643382,-0.15455902742636124,-47.578758790251456,-60.22747047512586,-23.207061175129315,0.9391130957801428,-0.06483447466918474,-0.34956867701318944,0.924101618754136,-0.08213207260494741,-0.4428323065368906,0.9693891453648508,-0.031577467915249,-0.17025654543949795,-52.48778934131973,-66.49133731785145,-25.56404586178648,-0.03269414347011473,-0.04171735317255237,-0.01569751801313673,-4.909030551068279,-6.263866842725581,-2.3569846866571673,0.89
35001000123,35001000123,Census Tract 1.23; Bernalillo County; New Mexico,3140,2004,809,Albuquerque city,New Mexico,4681,0.347273032702434,0.16770095029420892,35001,3140,2004,809,0.01307599999999999,0.008095660466,0.003292529507,0.903985657909785,0.8581287029798178,0.9274490616296434,-0.10621224048202424,-0.1653263624996341,-0.07822633217491817,-4.360930145544859,-6.788075600381975,-3.211866811290382,-138.88312565429487,-216.18075160452153,-102.288751951923,0.8949065655004261,0.8450991628731319,0.9204899957068772,-0.11743509160736382,-0.1832930902454605,-0.08637791248569125,-4.821725149673772,-7.525765006875874,-3.546559612701502,-153.55812578578892,-239.67404480496413,-138.88312565429487,-0.4607950041289133,-0.7376894064938986,-0.3346928014111201,-14.675000131494052,-23.49329320044263,-10.659006414366884,0.9391646161542436,0.9193226287522844,0.9592247502776012,-0.06477606034059218,-0.08775740825308709,-0.0425085463136749,-0.42740728839729886,-0.5790434876867937,-0.28048112864705116,-21.32770900186122,-28.894385613113457,-13.996064303745069,0.9332884559277572,0.9116218905796344,0.9552398102489013,-0.07148009133567015,-0.09694601493627172,-0.04685754223270485,-0.471642021011041,-0.6396720199865296,-0.3091768002150655,-23.5350309885749,-31.919761476373733,-15.42798404266794,-0.04423473261374217,-0.06062853229973586,-0.02869567156801433,-2.207321986713681,-3.0253758632602725,-1.431919738922871,0.9193226287522844,0.8996986511001396,0.9592247502776012,-0.08775740825308709,-0.11148327140116666,-0.0425085463136749,-0.5747574320998496,-0.7301473467383436,-0.278405019107727,-71.04541805931392,-90.25307129027732,-34.41347578587479,0.9116218905796344,-0.09694601493627172,-0.6349371945487586,0.8902393282837157,-0.12329344281822611,-0.8074967572491007,0.9552398102489013,-0.04685754223270485,-0.3068882865194723,-78.48420204558204,-99.81418507405448,-37.9342752187234,-0.06017976244890899,-0.07734941051075717,-0.02848326741174528,-7.438783986268107,-9.561113783777152,-3.5207994328486136,0.3779
35001000601,35001000601,Census Tract 6.01; Bernalillo County; New Mexico,2648,1703,798,Albuquerque city,New Mexico,54441,0.31164575792854265,0.1800873689038964,35001,2648,1703,798,0.01307599999999999,0.008095660466,0.003292529507,0.917229083308754,0.8772557875429055,0.9375683468014177,-0.09024017903211634,-0.1399183843527408,-0.06658890886362841,-3.124588578551428,-4.8447087579729695,-2.305657483452532,-117.99805810239532,-182.95727937964384,-87.0716572300805,0.9093385411116648,0.8658424339729163,0.9315436942864808,-0.09970044685173204,-0.15494454968151886,-0.07348695088956989,-3.4521526979520414,-5.364993458970911,-2.5445038993151776,-130.36830430332483,-202.6054931635541,-117.99805810239532,-0.32756411940061314,-0.5202847009979417,-0.23884641586264577,-12.3702462009295,-19.648213783910183,-9.019879753121064,0.9476961448172704,0.9305324314180268,0.9649955289623314,-0.05519053281873861,-0.07465357061882581,-0.0362742313172261,-0.30946312765511114,-0.418595840163363,-0.20339606275557484,-18.171645781274876,-24.57990840653922,-11.943397695571042,0.942618643867394,0.923856811989078,0.9615631937934418,-0.06087441247414823,-0.08241881969456344,-0.03997325028105746,-0.34133365119499454,-0.46213697200731624,-0.22413711958795535,-20.04307992924219,-27.136639577646285,-13.16131060410777,-0.0318705235398834,-0.04354113184395325,-0.0207410568323805,-1.8714341479673169,-2.556731171107061,-1.2179129085367295,0.9305324314180268,0.9135047213789748,0.9649955289623314,-0.07465357061882581,-0.09468509203811984,-0.0362742313172261,-0.48228722832304466,-0.6116976083533974,-0.23434376060670636,-60.43699603045672,-76.65383563325781,-29.366386040940647,0.923856811989078,-0.08241881969456344,-0.5324533546440162,0.9052778116409104,-0.10463328178495372,-0.6759662671738816,0.9615631937934418,-0.03997325028105746,-0.25824066987430844,-66.72347802556594,-84.70755227742877,-32.36098619978802,-0.05016612632097156,-0.06426865882048427,-0.02389690926760207,-6.286481995109218,-8.053716644170962,-2.9946001588473776,0.7247
