geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06071000826,06071000826,Census Tract 8.26; San Bernardino County; California,2985,1839,586,Ontario city,California,63606,0.4111198901025413,0.20730992254665312,06071,2985,1839,586,0.010125,0.009493868073,0.003212018401,0.8807289655382369,0.8248888012890775,0.9095869779806216,-0.13542308602155878,-0.21228461149826644,-0.0994000840030765,-4.092908856715324,-6.415904348888544,-3.004181163835481,-137.11587459682826,-214.9381691419948,-100.64258505311494,0.8696139695728269,0.8091610111226037,0.9010080218513604,-0.14993552885451178,-0.2358479786521504,-0.1098680319684993,-4.531520230511016,-7.128062939801272,-3.3205552636879503,-151.80972296519317,-238.79607838530225,-137.11587459682826,-0.438611373795692,-0.7121585909127282,-0.3163740998524691,-14.693848368364891,-23.857909243307475,-10.59879731499059,0.9240671433255284,0.8995705582135278,0.9489692652684312,-0.08217244517666206,-0.11164153925392652,-0.05377490778601135,-0.4853845675652255,-0.65945561357682,-0.31764310171685306,-26.393940596260222,-35.85946783995759,-17.272599332074662,0.9167984731382646,0.8900999085294048,0.9440116667474792,-0.09075225286635878,-0.12346938856804142,-0.05930894206575265,-0.536064649389528,-0.7293215584469726,-0.3503320989833754,-29.149790613894947,-39.658594804076806,-19.050141325904047,-0.0506800818243025,-0.06986594487015252,-0.03268899726652236,-2.75585001763472,-3.799126964119224,-1.7775419938293833,0.8995705582135278,0.8754770268742262,0.9489692652684312,-0.11164153925392652,-0.14223442683626594,-0.05377490778601135,-0.6211072864540496,-0.7913079619198559,-0.2991716817726655,-105.99100451434292,-135.03548838222798,-51.05318801581323,0.8900999085294048,-0.12346938856804142,-0.6869104224657103,0.8639114495581046,-0.1575260410213401,-0.8763814305898932,0.9440116667474792,-0.05930894206575265,-0.32995976511157304,-117.22020861189596,-149.5531451518589,-56.30712715214557,-0.06580313601166077,-0.08507346867003729,-0.03078808333890753,-11.229204097553032,-14.517656769630936,-5.253939136332344,0.6631
06071001706,06071001706,Census Tract 17.06; San Bernardino County; California,4130,2331,855,Ontario city,California,52463,0.43404069037066767,0.20570844547940917,06071,4130,2331,855,0.010125,0.009493868073,0.003212018401,0.8725266575393998,0.81327251747943885,0.9032588175614388,-0.1460967884008105,-0.2296001383389695,-0.10710239474853604,-6.109219827965393,-9.601016784816936,-4.47862051440347,-147.92299825582066,-232.47014006820663,-108.44117468289276,0.8607094572310339,0.7966355928115233,0.8941151028902837,-0.16183224385273298,-0.2552790874818355,-0.11842423505367108,-6.767217567006846,-10.674814141912304,-4.952057419063074,-163.85514690089215,-258.47007607535846,-147.92299825582066,-0.6579977390414538,-1.0737973570953692,-0.4734369046596037,-15.93214864507152,-25.9999360071518,-11.46336330894924,0.9187066108988804,0.892583635687117,0.9453143898316008,-0.08848677927938355,-0.12034319252357029,-0.05784912485902293,-0.6625195316304013,-0.9010353433012692,-0.4331288291759316,-28.422116329060547,-38.654454882079335,-18.581245352892815,0.9109499695627632,0.8824981678283789,0.9400130779702218,-0.09775512751812136,-0.13314682846397924,-0.06381498665881165,-0.7319136465944962,-0.9968989169954052,-0.4777965184912846,-31.399126838030725,-42.76700630610919,-20.497491140767252,-0.06939411496409487,-0.0958635736941359,-0.04466768931535303,-2.977010508970179,-4.112551424029854,-1.916245787874433,0.892583635687117,0.8669415430189272,0.9453143898316008,-0.12034319252357029,-0.1534803102383661,-0.05784912485902293,-0.9768566462735656,-1.245839153711266,-0.46957622541530847,-114.2522393302416,-145.7121817206159,-54.92119595500684,0.8824981678283789,-0.13314682846397924,-1.08078705232795,0.8546509818090915,-0.17006827498546767,-1.380487930028082,0.9400130779702218,-0.06381498665881165,-0.5180026600782559,-126.407842377538,-161.4605766114716,-60.58510644190128,-0.1039304060543842,-0.1346487763168163,-0.04842643466294744,-12.155603047296395,-15.748394890855703,-5.663910486894437,0.8028
06071001400,06071001400,Census Tract 14; San Bernardino County; California,2143,1406,387,Ontario city,California,50096,0.4041010459130034,0.2055172158531995,06071,2143,1406,387,0.010125,0.009493868073,0.003212018401,0.8832560771732797,0.8284790327910639,0.911533649851903,-0.13217449145704224,-0.20703115036128175,-0.09705220444957809,-2.8679055938234703,-4.492136021645297,-2.1058266006213886,-133.82667260025525,-209.6190397407978,-98.2653570051978,0.8723591038290471,0.8130358090303174,0.9031293912661048,-0.14631691881324846,-0.2299581259436396,-0.10726105214900764,-3.1747662147950133,-4.989602671959349,-2.327336901897649,-148.14588029841406,-232.8326025179351,-133.82667260025525,-0.306860620971543,-0.49746665031405257,-0.22151030127626023,-14.319207698158795,-23.213562777137312,-10.336458295672434,0.9257149012308252,0.9017210232850617,0.9500912906854077,-0.08024619531391966,-0.10899044624344915,-0.05253043555276431,-0.3623996718777212,-0.492211522327227,-0.2372325882048811,-25.77522559585499,-35.007931886716,-16.872872560802357,0.9185969097712164,0.8924407956449767,0.9452395194194944,-0.08861676907780774,-0.12052250959380348,-0.05793291483849078,-0.4002020022386113,-0.5442914490812941,-0.26163071340962646,-28.46386929150863,-38.71205185499958,-18.60815884847983,-0.03780233036089009,-0.05207992675406714,-0.02439812520474532,-2.6886436956536337,-3.704119968283581,-1.7352862876774768,0.9017210232850617,0.8781075452703211,0.9500912906854077,-0.10899044624344915,-0.13881267207669298,-0.05253043555276431,-0.4004447352089967,-0.5100153786804561,-0.193003488657652,-103.47409178527046,-131.78691955567342,-49.87170249551732,0.8924407956449767,-0.12052250959380348,-0.44281499988734296,0.8667672225752617,-0.1537122931678114,-0.5647584779904647,0.9452395194194944,-0.05793291483849078,-0.21285288336709757,-114.4224805910447,-145.93242325335007,-55.00074505609757,-0.04237026467834626,-0.05474309931000865,-0.01984939470944555,-10.948388805774227,-14.145503697676654,-5.129042560580245,0.8413
06071001906,06071001906,Census Tract 19.06; San Bernardino County; California,8402,5236,1633,Ontario city,California,172825,0.4673251376690985,0.28373730966906585,06071,8402,5236,1633,0.010125,0.009493868073,0.003212018401,0.8607514884039075,0.796694559119285,0.8941476813128706,-0.16177551066952114,-0.2551861796388585,-0.11838348507676856,-13.762283136533831,-21.7087520984226,-10.07091267135197,-163.79770455289017,-258.37600688434424,-119.86327864022816,0.8479408547939645,0.7787912014821228,0.8841993272843259,-0.17932753722897726,-0.2840412142521555,-0.13096670529182255,-15.255438423953404,-24.16345710673443,-11.141370360851669,-181.5691314443395,-287.5917294303075,-163.79770455289017,-1.4931552874195724,-2.4547050083118336,-1.070457689499699,-17.771426891449327,-29.215722545963267,-12.740510467742196,0.9109776293339138,0.8825340803361739,0.9400320091075262,-0.09772179667153556,-0.13310071789984718,-0.06379356267815596,-1.6434977187834734,-2.2385049568021222,-1.0728883248741887,-31.388420908775277,-42.75219550806192,-20.490609718758375,0.9025234262869938,0.8715747375965731,0.934236662139769,-0.10800448040892138,-0.1473485369224541,-0.0703925895068249,-1.816433213636978,-2.478126605798215,-1.1838716050482363,-34.691237846389946,-47.32862119553505,-22.610229278996115,-0.17293549485350446,-0.23962164899609295,-0.1109832801740478,-3.3028169376146765,-4.576425687473128,-2.119619560237735,0.8825340803361739,0.8546946826059832,0.9400320091075262,-0.13310071789984718,-0.17000844904168302,-0.06379356267815596,-2.063525191513752,-2.6357237053497347,-0.989022641800022,-126.36406561627386,-161.4037786497082,-60.56476679730691,0.8715747375965731,-0.1473485369224541,-2.284416062285772,0.8413798408194257,-0.1885238408209222,-2.922776833011719,0.934236662139769,-0.0703925895068249,-1.0913305655685466,-139.89075702913485,-178.9820473369087,-66.82979580946396,-0.22089087077201963,-0.2870531276619843,-0.1023079237685246,-13.526691412860968,-17.57826868720051,-6.265029012157049,0.4004
06071001806,06071001806,Census Tract 18.06; San Bernardino County; California,3130,2149,1004,Ontario city,California,57383,0.4470273441571175,0.2221513569487795,06071,3130,2149,1004,0.010125,0.009493868073,0.003212018401,0.8679132745594013,0.8067636163128853,0.8996929155863765,-0.15218885263352258,-0.23952044908799192,-0.11149035707172168,-4.823054976022123,-7.590702432159825,-3.5332687785491994,-154.09121329144162,-242.51445470159183,-112.8839865351182,0.8557047917630995,0.7896250809625941,0.8902330855533142,-0.16862732291073618,-0.266423805562189,-0.1233013198767618,-5.344010647194868,-8.443303428022721,-3.907572953544427,-170.7351644471204,-269.75410313171636,-154.09121329144162,-0.5209556711727457,-0.8526009958628968,-0.37430417499522806,-16.643951155678774,-27.2396484301245,-11.958599840103131,0.9156832091588912,0.8886490393074846,0.9432498314046398,-0.0920807436433814,-0.125303641558303,-0.06016451496296662,-0.6355990773216951,-0.8649243675523942,-0.4152932381396723,-29.57650429603048,-40.24776023975775,-19.324952914828863,0.9076528500487688,0.8782199597136386,0.9377550462863624,-0.1017428083283926,-0.1386669010871379,-0.06637655959318595,-0.702292711145938,-0.9571659708503962,-0.4581726685072222,-32.67997725202131,-44.54006379015338,-21.320273080838636,-0.06669363382424298,-0.09224160329800202,-0.04287943036754999,-3.1034729559908323,-4.292303550395627,-1.9953201660097712,0.8886490393074846,0.8621424233149607,0.9432498314046398,-0.125303641558303,-0.15990116360934103,-0.06016451496296662,-1.1943747069890926,-1.524152874234377,-0.5734787436053773,-118.96162420210086,-151.8080552026272,-57.11939677344396,0.8782199597136386,-0.1386669010871379,-1.3217512060730794,0.8494482333842964,-0.17723477511500443,-1.689374147181234,0.9377550462863624,-0.06637655959318595,-0.6326909811169992,-131.6485265013027,-168.26435728896752,-63.01702999173299,-0.12737649908398674,-0.16522127294685696,-0.05921223751162186,-12.686902299201863,-16.456302086340333,-5.897633218289029,0.425
06071001810,06071001810,Census Tract 18.10; San Bernardino County; California,2893,1809,597,Ontario city,California,46520,0.4230473838015824,0.20772879620303344,06071,2893,1809,597,0.010125,0.009493868073,0.003212018401,0.8764510832931076,0.8188233789300228,0.9062884257305232,-0.14096498830565593,-0.22126459225764328,-0.1034014907494153,-4.129093575578659,-6.4811994621887905,-3.028797691472842,-142.72705065947662,-224.03039966086385,-104.694009383783,0.8649688157599861,0.8026186694384093,0.8974144888585718,-0.15611104328815795,-0.24592167872160017,-0.11431229650850357,-4.57274613835549,-7.2034455924835905,-3.3483929222158952,-158.06243132925994,-248.99569970562013,-142.72705065947662,-0.4436525627768315,-0.7222461302948,-0.3195952307430532,-15.33538066978332,-24.965300044756308,-11.047190831076849,0.9212737452700844,0.8959279151416882,0.9470655863685188,-0.0854537048668805,-0.11616122580782974,-0.0558930811058778,-0.4965322802910726,-0.6749595985524346,-0.3247690554462028,-27.447887246604346,-37.31119947774653,-17.95296050006649,0.9137503664938734,0.8861359894386798,0.9419287687286122,-0.0943908059233647,-0.12849496230645935,-0.06165140422430312,-0.5484616749695206,-0.7466252837057453,-0.35822802967205497,-30.318500551106723,-41.27281833641489,-19.80254448159508,-0.05192939467844798,-0.07166568515331073,-0.03345897422585214,-2.8706133045023763,-3.961618858668366,-1.8495839815285875,0.8959279151416882,0.8710249087575658,0.9470655863685188,-0.11616122580782974,-0.1480727932642075,-0.0558930811058778,-0.6583831537514465,-0.8392527879772403,-0.3167929983129775,-110.28193530174984,-140.57835644509888,-53.06415382126927,0.8861359894386798,-0.12849496230645935,-0.7282887894490317,0.859080046963158,-0.16403588179587347,-0.9297290075419222,0.9419287687286122,-0.06165140422430312,-0.349430248037775,-121.99142201826326,-155.7335021008245,-58.53102982207286,-0.06990563569758523,-0.09047621956468188,-0.03263724972479748,-11.70948671651344,-15.155145655725606,-5.466876000803597,0.8371
06071002109,06071002109,Census Tract 21.09; San Bernardino County; California,5324,2207,937,Ontario city,California,136013,0.34757035017154897,0.23705017298248288,06071,5324,2207,937,0.010125,0.009493868073,0.003212018401,0.9038759469959512,0.8579708506652378,0.9273650751403308,-0.10634651062849834,-0.16554076309776516,-0.07832398136049915,-5.732661828684518,-8.92355760516658,-4.222093377228387,-107.6758420113546,-167.61002263648723,-79.30303112750539,0.894787096278232,0.844928163354563,0.9203983041909016,-0.11758428810539331,-0.1835325692420589,-0.08648613914936973,-6.33843984246528,-9.893414911277809,-4.66207857391635,-119.05409170671076,-185.82672635758465,-107.6758420113546,-0.6057780137807622,-0.9698573061112264,-0.4399851966879629,-11.378249695356166,-18.216703721097417,-8.264184761231459,0.939093742779164,0.9192296509259476,0.9591767373420274,-0.06485641895620477,-0.08786743224904878,-0.04256073053971045,-0.4597622645204209,-0.622885602976272,-0.3017098101853906,-20.832001111029495,-28.22318092325655,-13.67058496535526,0.9332109832916744,0.9115204721987588,0.95518721555935,-0.07156904269680099,-0.0970680642946086,-0.04691518449020273,-0.5073475481595634,-0.6881081899208609,-0.332578205962532,-22.988108208407947,-31.1784408663734,-15.069243586884095,-0.04758528363914249,-0.06522258694458882,-0.0308683957771414,-2.156107097378454,-2.9552599431168476,-1.3986586215288357,0.9192296509259476,0.8995843187192346,0.9591767373420274,-0.08786743224904878,-0.11162453501160428,-0.04256073053971045,-0.7816470956755335,-0.9929844467362018,-0.3786098053019388,-83.42018096857348,-105.97486091101408,-40.406596083451305,0.9115204721987588,-0.0970680642946086,-0.8634936585340827,0.8901148857399633,-0.12345048489857333,-1.0981851922929131,0.95518721555935,-0.04691518449020273,-0.41734595812370273,-92.1551396514496,-117.2022617174934,-44.54065721704405,-0.08184656285854919,-0.10520074555671131,-0.03873615282176396,-8.734958682876114,-11.22740080647933,-4.134061133592739,0.5627
06071000304,06071000304,Census Tract 3.04; San Bernardino County; California,4834,2879,1143,Ontario city,California,95395,0.3831887386261524,0.23530910276720987,06071,4834,2879,1143,0.010125,0.009493868073,0.003212018401,0.8908285525885021,0.8392688563238068,0.9173583980895876,-0.12255045832812132,-0.19151329453619084,-0.09008649409272834,-5.998140270026153,-9.37347456610296,-4.40921588849802,-124.08233905722284,-193.9072107178933,-91.21257526888746,0.88058957830169,0.8246909302490145,0.9094795646789422,-0.13560281048136583,-0.21257547927446116,-0.09952992770432688,-6.6369778569025915,-10.404347401479049,-4.871417664042501,-137.29784561238293,-215.23267276539192,-124.08233905722284,-0.6388375868764387,-1.030872835376087,-0.4622017755444814,-13.215506555160088,-21.325462047498696,-9.561476531743512,0.930641755418938,0.9081587542903976,0.953442182076542,-0.0745273293157148,-0.10112906501833366,-0.04883129653657412,-0.6891840978885131,-0.9351810146009468,-0.4515625792750511,-23.93831531394627,-32.48284177148131,-15.684702302016362,0.9239762063746008,0.8994519156714782,0.9489073229900504,-0.0822789516666164,-0.1117881707478031,-0.05384369555601523,-0.760866457985537,-1.0337500393320356,-0.4979142428619332,-26.428150676816152,-35.90656614560735,-17.294694090376282,-0.07168236009702389,-0.09856902473108864,-0.04635166358688208,-2.4898353628698815,-3.423724374126038,-1.6099917883599195,0.9081587542903976,0.885991997002341,0.953442182076542,-0.10112906501833366,-0.1286783666030764,-0.04883129653657412,-1.0974011598629745,-1.3963521637808958,-0.5298923850144805,-96.0106001629899,-122.16554363787364,-46.35978871517765,0.8994519156714782,-0.1117881707478031,-1.2130683519654748,0.875331946391752,-0.14242374464013124,-1.545510012692921,0.9489073229900504,-0.05384369555601523,-0.5842843889021215,-106.13021452016405,-135.21522420760465,-51.11849421715849,-0.11566719210250032,-0.14915784891202555,-0.05439200388764098,-10.11961435717413,-13.049680569731018,-4.758705501980838,0.8798
06071001804,06071001804,Census Tract 18.04; San Bernardino County; California,4040,2630,1303,Ontario city,California,67706,0.4285843546991475,0.2039734557914602,06071,4040,2630,1303,0.010125,0.009493868073,0.003212018401,0.8744722763878889,0.8160228711631782,0.9047612426545608,-0.14354683047313763,-0.2254558485285792,-0.10526396673006194,-5.871783100503696,-9.222271484061531,-4.305822559093184,-145.34116585405187,-228.2740466351865,-106.57976631418772,0.8628208873211402,0.799599592786904,0.8957511764796819,-0.15898909576096304,-0.2506259495638631,-0.11638145308389967,-6.503448962102193,-10.25185446690982,-4.760583338396917,-160.97645945797507,-253.75877393341133,-145.34116585405187,-0.6316658615984974,-1.029582982848286,-0.454760779303733,-15.635293603923202,-25.4847272982249,-11.256454933260716,0.919979867834791,0.8942419471226782,0.9461831605267929,-0.08698030789906254,-0.11826559156345766,-0.05687782420820556,-0.7347755791756229,-0.999061404087348,-0.4804815852495267,-27.938234949643455,-37.98712563069764,-18.269261796559952,0.912338823266545,0.8843018665263048,0.9409634101286964,-0.09608401451074088,-0.130835564023152,-0.06274057974605948,-0.8116801275706854,-1.1052476089581296,-0.530007848146765,-30.862362265045075,-42.024623914757775,-20.152389663375097,-0.07690454839506256,-0.10618620487078168,-0.04952626289723833,-2.924127315401618,-4.037498284060139,-1.8831278668151457,0.8942419471226782,0.8689658519348444,0.9461831605267929,-0.11826559156345766,-0.15079320755055467,-0.05687782420820556,-1.4630056948140355,-1.8653888968826835,-0.7036076987835219,-112.27979238787688,-143.16108187894733,-53.99905593119892,0.8843018665263048,-0.130835564023152,-1.618502666072332,0.8568464094106875,-0.16707030456925082,-2.066744889936804,0.9409634101286964,-0.06274057974605948,-0.7761329753732097,-124.213558409235,-158.6143430496396,-59.56507869326245,-0.1554969712582965,-0.20135599305412044,-0.07252527658968777,-11.93376602135814,-15.453261170692285,-5.566022762063528,0.8228
06071001308,06071001308,Census Tract 13.08; San Bernardino County; California,3102,1805,649,Ontario city,California,51321,0.378312894630257,0.20611521426976628,06071,3102,1805,649,0.010125,0.009493868073,0.003212018401,0.8926034384730597,0.8418047102997747,0.9187218190833036,-0.12031833723457222,-0.18792397781177833,-0.08846876086800189,-3.778928256279136,-5.902269314117881,-2.7786047241519864,-121.82231645000438,-190.27302753442555,-89.57462037885192,0.8825197047859248,0.8274323313592029,0.9109665573363614,-0.13311917521725222,-0.2085580440847947,-0.0977351385148206,-4.180973775429654,-6.550338909104211,-3.069640796688857,-134.7831649074679,-211.16501963585463,-121.82231645000438,-0.4020455191505179,-0.64806959498633,-0.29103607253687036,-12.960848457463506,-20.89199210142908,-9.382207367403945,0.9317942488605596,0.9096663495987384,0.954225162228799,-0.0731982958929459,-0.09930415744312016,-0.04797068824331138,-0.4243812633606228,-0.575735039710601,-0.2781193336898017,-23.511427332998498,-31.896678100310307,-15.408273334615052,0.9252349470942683,0.9010945075379554,0.9497645398461612,-0.0808065596101117,-0.1097615085151083,-0.05289254130500152,-0.4684916422824738,-0.6363635530550431,-0.306654727784908,-25.95521563891822,-35.2555985072046,-16.989181594731743,-0.04411037892185099,-0.06062851334444208,-0.0285353940951063,-2.4437883059197225,-3.3589204068942986,-1.5809082601166928,0.9096663495987384,0.887840463544525,0.954225162228799,-0.09930415744312016,-0.12632848024035828,-0.04797068824331138,-0.611864589842647,-0.7783755054966921,-0.29557237322390373,-94.27805698654038,-119.93459252645486,-45.542738555301035,0.9010945075379554,-0.1097615085151083,-0.6762977715870019,0.87734100465893206,-0.1398076628012525,-0.861427763542985,0.9497645398461612,-0.05289254130500152,-0.32589847116780657,-104.20612813359044,-132.7315506229561,-50.21548091953876,-0.06443318174435486,-0.0830522580462929,-0.03032609794390284,-9.928071147050057,-12.796958096501218,-4.672742364237726,0.6489
06071000208,06071000208,Census Tract 2.08; San Bernardino County; California,2786,1790,769,Ontario city,California,54926,0.40288878739112555,0.19020353757294456,06071,2786,1790,769,0.010125,0.009493868073,0.003212018401,0.8836932806066109,0.8291006996320895,0.9118702906389266,-0.13161435301799557,-0.20612610801528256,-0.09664719891172568,-3.7126105735198736,-5.814456786422094,-2.726248348701686,-133.25953243072053,-208.7026843654736,-97.85528889812224,0.8728341060707479,0.8137069207618848,0.9034962887282608,-0.14569308536958647,-0.22894370747601175,-0.10681140860863476,-4.109746975376638,-6.458101336410208,-3.012962916884521,-147.5142489367063,-231.80550381946188,-133.25953243072053,-0.397136401856764,-0.6436445499881138,-0.2867145681828349,-14.254716505985789,-23.102819453988293,-10.29126231812042,0.9259997908812648,0.9020929607849356,0.9502852154296736,-0.07991385078857284,-0.10853320386168716,-0.05231564562208595,-0.4594657190175192,-0.6240130597825699,-0.30078948135301997,-25.668475922766437,-34.861064792322345,-16.80388163983352,0.9189078835457252,0.892845724595336,0.9454517494703788,-0.0882483629821199,-0.1200143232507828,-0.0576954356054425,-0.5073851047044865,-0.690023904250487,-0.3317206534649215,-28.345536575669637,-38.548821466507654,-18.53188008183919,-0.0479193856869673,-0.06601084446791705,-0.03093117211190155,-2.677060652903201,-3.68775667418531,-1.727998442005673,0.9020929607849356,0.8785626746031643,0.9502852154296736,-0.10853320386168716,-0.1382227232128743,-0.05231564562208595,-0.7923775377132085,-1.00913432183397,-0.38194525718353617,-103.03999190028718,-131.22682988738228,-49.6677837689904,0.892845724595336,-0.1200143232507828,-0.8761987167444341,0.8672614121000192,-0.15305487601317652,-1.117420673814023,0.9454517494703788,-0.0576954356054425,-0.42122194476624786,-113.94001518133082,-145.30828007984698,-54.775285405233795,-0.08382117903122555,-0.10828635198005344,-0.03927668758271169,-10.900023281043634,-14.081450192464684,-5.107501636243392,0.6384
