geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
53011042500,53011042500,Census Tract 425; Clark County; Washington,1390,868,313,Vancouver city,Washington,58230,0.5938397711806003,0.24706444912977335,53011,1390,868,313,0.011154,0.00730409985099999,0.00317867361099999,0.8174257186872969,0.7367067578942053,0.8603468298200464,-0.2233527489273264,-0.35739219069795064,-0.16232194428979763,-3.462874420534204,-5.541029968112469,-2.51664916358568,-249.12765615353987,-398.6352495044942,-181.0538966608403,0.8011117978848609,0.714536007605973,0.8475023654834606,-0.24826522670150983,-0.3995095969347489,-0.1799377095892194,-3.849118970693811,-6.194020761452164,-2.789765045733833,-276.9150338628641,-445.61300442101896,-249.12765615353987,-0.3862445501596068,-0.6529907933396943,-0.27311588214815297,-27.78737770932423,-46.97775491652477,-19.64862461497503,0.8821883175641784,0.8453571848777258,0.9202215374746064,-0.1335448226758579,-0.1829319226104904,-0.08669484387893393,-0.36846201043366794,-0.5047253995099473,-0.2391987636046315,-42.449540372542394,-58.14808750114601,-27.55746124477321,0.8711991289714546,0.831274145150771,0.9126024553829316,-0.14784320455027186,-0.20297257629566548,-0.09576737833824468,-0.40791251421083385,-0.5600193405200574,-0.2642306908603984,-46.994529286962425,-64.5183572027716,-30.441323831843135,-0.03945050377716591,-0.05529394101011009,-0.02503192725576691,-4.544988914420037,-6.3702697016255865,-2.8838625870699213,0.8453571848777258,0.8097020760151702,0.9202215374746064,-0.1829319226104904,-0.23502215150707417,-0.08669484387893393,-0.41821589797759945,-0.5373037069448147,-0.19820030022893853,-133.61530286824262,-171.66252618045198,-63.32277962585896,0.831274145150771,-0.20297257629566548,-0.4640325048190942,0.792789296454159,-0.26136919919657675,-0.5975378861481118,0.9126024553829316,-0.09576737833824468,-0.2189417765753735,-148.25319642782563,-190.90667289077052,-69.94944938510336,-0.04581660684149474,-0.0602341792032971,-0.02074147634643497,-14.637893559582986,-19.244146710318564,-6.6266697592444,0.5007
53011041206,53011041206,Census Tract 412.06; Clark County; Washington,4022,3152,809,Vancouver city,Washington,109105,0.6871797723441347,0.20379774137044068,53011,4022,3152,809,0.011154,0.00730409985099999,0.00317867361099999,0.7868650694587155,0.6953639824947135,0.8362310694988262,-0.2708659194744787,-0.4380957673596539,-0.19584171944164255,-12.151421109521346,-19.65358420067917,-8.785731362458671,-302.12384658183356,-488.652018912958,-218.44185386520812,0.7682282849770885,0.6705534651883414,0.8214080019341816,-0.30169640919928353,-0.49130539459538175,-0.21742178995734784,-13.534519671295827,-22.040641933436525,-9.753843278931084,-336.5121748208809,-548.0020371316888,-302.12384658183356,-1.383098561774483,-2.3870577327573557,-0.968111916472413,-34.38832823904732,-59.350018218730874,-24.07041065321763,0.8615329978411528,0.8189364887837174,0.9058738910804912,-0.16072164676898124,-0.22109591365894288,-0.10390641550253613,-1.6102989838128277,-2.215199584172486,-1.0410569992222083,-51.0881657301024,-70.27917462476161,-33.02845809715129,0.8487877592150096,0.8027406288017794,0.8969629758857973,-0.1781508264502272,-0.2457323874246432,-0.11487321872170732,-1.784925058729441,-2.462036830225985,-1.1509353661660875,-56.6283330815178,-78.11030552747415,-36.51444689613221,-0.1746260749166133,-0.2468372460534991,-0.10987836694387898,-5.540167351415397,-7.831130902712534,-3.485988798980932,0.8189364887837174,0.7780328430243374,0.9058738910804912,-0.22109591365894288,-0.285292785472707,-0.10390641550253613,-1.3064594636805118,-1.6857998564168224,-0.6139847526979246,-161.49066300129937,-208.3806991862574,-75.89428339900181,0.8027406288017794,-0.2457323874246432,-1.4520368005487363,0.7587482863626738,-0.317960143005859,-1.878831820220804,0.8969629758857973,-0.11487321872170732,-0.6787877769370323,-179.48538943742108,-232.24126331530337,-83.90454597491129,-0.14557733686822472,-0.1930319638039817,-0.06480302423910766,-17.99472643612172,-23.860564129045944,-8.010262575909477,0.6888
53011041800,53011041800,Census Tract 418; Clark County; Washington,3073,1997,805,Vancouver city,Washington,67351,0.6975933787286015,0.19344128929049373,53011,3073,1997,805,0.011154,0.00730409985099999,0.00317867361099999,0.783527172931316,0.690897835970904,0.8335828287180899,-0.2762799230801661,-0.4473919991292508,-0.1996408341782085,-9.46983750323716,-15.334916431017993,-6.842937545374145,-308.16262620361726,-499.02103582876646,-222.67938644237373,0.7646443234416161,0.6658175151594959,0.8185470277077378,-0.3077975855480921,-0.5019130275664961,-0.22167690572452972,-10.55014452926211,-17.203692395821893,-7.598251266425167,-343.317426920342,-559.8337909476699,-308.16262620361726,-1.0803070260249503,-1.8687759648039,-0.7553137210510217,-35.15480071672472,-60.81275511890336,-24.57903420276673,0.8592587563468861,0.8160405103080078,0.9042871115782728,-0.16379378460042848,-0.2254293596558805,-0.10584347293712663,-1.0397320205681346,-1.4309830142955025,-0.6718743830807087,-52.064698075520006,-71.65663566827754,-33.64418543218371,0.8463234279614533,0.7996186053607443,0.8952348396258331,-0.18158137534808505,-0.2505962133645635,-0.11702533875687184,-1.1526442883578836,-1.5907374501656115,-0.7428547561812336,-57.71879260680438,-79.65635704384634,-37.198535612480406,-0.11291226778974894,-0.15975443587010907,-0.07098037310052496,-5.654094531284374,-7.999721375568806,-3.554350180296693,0.8160405103080078,0.7745773324953735,0.9042871115782728,-0.2254293596558805,-0.29102667745053445,-0.10584347293712663,-1.3254796345802011,-1.711178768679796,-0.6223384924020582,-164.6558552273542,-212.56879114034737,-77.3091294909389,0.7996186053607443,-0.2505962133645635,-1.4734557105813042,0.7550422633074725,-0.32442917250683023,-1.9075787718065893,0.8952348396258331,-0.11702533875687184,-0.68808563129872,-183.03797646972723,-236.96630705671916,-85.4764759377292,-0.14797607600110285,-0.1964000031267932,-0.06574713889666184,-18.382121242373024,-24.397515916371823,-8.16734644679029,0.8809
53011042602,53011042602,Census Tract 426.02; Clark County; Washington,3237,1539,730,Vancouver city,Washington,104646,0.6448032862997699,0.23771836983280945,53011,3237,1539,730,0.011154,0.00730409985099999,0.00317867361099999,0.800595408367375,0.7138380001963526,0.8470947176593403,-0.24907036631556947,-0.4008780699891768,-0.1805055316165372,-8.992809612866061,-14.473902354238083,-6.517242110769821,-277.8130865883862,-447.1393992659278,-201.3358699650856,0.7829867349522587,0.690175644765389,0.833153783596178,-0.27716084495476584,-0.44890653210448983,-0.20025860734095985,-10.00703033319261,-16.207993897085597,-7.230436746831811,-309.1452064625459,-500.71034590934806,-277.8130865883862,-1.0142207203265483,-1.734091542847512,-0.7131946360619894,-31.332119874159673,-53.570946643420214,-22.03258066302099,0.8708499100177258,0.8308275945779785,0.9123598042662446,-0.14830350040415732,-0.2036191461694928,-0.09605880851386152,-0.7254975632334253,-0.996100523393287,-0.46991764398002805,-47.14084231536227,-64.72388066233185,-30.533959972711372,0.8588901901000658,0.8155714299581861,0.904029823136915,-0.16429319082512053,-0.2261341720261945,-0.10615819789006042,-0.803718787989766,-1.1062435500289334,-0.51932364156343,-52.22344301427979,-71.88067251649989,-33.74422622244509,-0.07822122475634075,-0.11014302663564636,-0.04940599758340197,-5.082600698917528,-7.156791854168055,-3.2102662497337215,0.8308275945779785,0.792254214133238,0.9123598042662446,-0.2036191461694928,-0.26222111812184584,-0.09605880851386152,-1.0856958398940575,-1.398161137756064,-0.5121848841359333,-148.72545751973394,-191.52892298028272,-70.16231289533333,0.8155714299581861,-0.2261341720261945,-1.205745797707851,0.7740179167907295,-0.29195975739973606,-1.556727350980628,0.904029823136915,-0.10615819789006042,-0.5660347564955898,-165.17065722025356,-213.25032205214083,-77.53900773912189,-0.12004995781379324,-0.158566213224564,-0.05384987235965644,-16.445199700519623,-21.72139907185808,-7.376694843788553,0.6554
53011042300,53011042300,Census Tract 423; Clark County; Washington,2494,1392,594,Vancouver city,Washington,60768,0.4921935923624855,0.2540810052288347,53011,2494,1392,594,0.011154,0.00730409985099999,0.00317867361099999,0.8520575165163979,0.7845292923477276,0.8874003372102062,-0.17362969120730112,-0.27464966541589514,-0.12688710840902168,-4.8300439458612345,-7.640225265913943,-3.529755225142404,-193.66655757262367,-306.3442368048895,-141.52988071942278,0.8385245904275409,0.7657201576005426,0.8768626029008305,-0.19257086961531705,-0.30596013448776865,-0.1404295230425009,-5.35695108634498,-8.51122227415097,-3.9064791446400418,-214.7935479689246,-341.2679340076572,-193.66655757262367,-0.5269071404837451,-0.8709970082370271,-0.3767239194976373,-21.12699039630093,-34.92369720276773,-15.10520928218273,0.9052453955814852,0.8750994817552983,0.9361045565888202,-0.10467283775318097,-0.14272722227440116,-0.06825673794817944,-0.46314733571909306,-0.6315270909808387,-0.3020165212308378,-33.27207871545209,-45.36832550149703,-21.696589168882024,0.8962784552230385,0.8635016451224666,0.9299439966681295,-0.11572468820658022,-0.15807538485717,-0.075333572325723,-0.5120486094604956,-0.6994383157166643,-0.33332948701679677,-36.785101254345946,-50.24700543941554,-23.94608383741356,-0.04890127374140252,-0.06791122473582556,-0.03131296578595899,-3.5130225388938587,-4.878679937918503,-2.2494946685315367,0.8750994817552983,0.84565750234051,0.9361045565888202,-0.14272722227440116,-0.18251182923620884,-0.06825673794817944,-0.6192413664711698,-0.7918522670895786,-0.2961410935093638,-104.24938829480972,-133.30846247299303,-49.85540294770434,0.8635016451224666,-0.15807538485717,-0.6858314466193217,0.8315989967503092,-0.2025026532111772,-0.8785851618932372,0.9299439966681295,-0.075333572325723,-0.326844897033369,-115.45983949820231,-147.9099599146864,-55.02439343996112,-0.06659008014815193,-0.08673289480365864,-0.0307038035240052,-11.21045120339258,-14.601497441693375,-5.168990492256768,0.727
53011042900,53011042900,Census Tract 429; Clark County; Washington,1119,796,415,Vancouver city,Washington,72903,0.7431999619733325,0.18876572891267765,53011,1119,796,415,0.011154,0.00730409985099999,0.00317867361099999,0.7690747936897734,0.6716737326935059,0.8220832505942652,-0.3002636521245506,-0.4888180843247504,-0.2164218152810227,-3.747688528117109,-6.101097865152701,-2.7012312300342263,-334.91407757972377,-545.2276912558267,-241.39689276445276,0.7491442240299508,0.6454672340841174,0.8061342621043238,-0.33485645076537346,-0.5492653185082975,-0.2404881506830031,-4.179452525205576,-6.855559500795896,-3.001611007811685,-373.4988851836976,-612.6505362641551,-334.91407757972377,-0.43176399708846747,-0.754461635643195,-0.30037977777745883,-38.58480760397386,-67.42284500832842,-26.843590507368972,0.8493691831694054,0.803477675956149,0.8973704586349585,-0.17734433955858694,-0.24458965062095445,-0.11436697116278734,-0.4487209386832225,-0.6188666516902199,-0.28937407747129945,-56.37197722151037,-77.74706679525376,-36.353527320515006,0.8356148509059067,0.7860880535094742,0.8877055708729119,-0.1967235849337528,-0.27212211855341173,-0.12649963322485974,-0.4977547741998287,-0.6885299681832541,-0.3200724325627002,-62.532006809023706,-86.49873972151433,-40.210104593304045,-0.04903383551660623,-0.06966331649303414,-0.03069835509140073,-6.160029587513345,-8.751672926260571,-3.856577272789037,0.803477675956149,0.7596237442373168,0.8973704586349585,-0.24458965062095445,-0.3164412086723639,-0.11436697116278734,-0.741400500722512,-0.9591970468223404,-0.346669327467216,-178.65072306566557,-231.13181851140732,-83.53477770294361,0.7860880535094742,-0.27212211855341173,-0.8248569571156081,0.7390237313002591,-0.3531365200418827,-1.070427927419538,0.8877055708729119,-0.12649963322485974,-0.3834458701585398,-198.76071255797785,-257.93444034205737,-92.39659521892526,-0.08345645639309618,-0.11123088059719775,-0.0367765426913238,-20.10998949231233,-26.802621830650065,-8.861817515981638,0.6046
53011041326,53011041326,Census Tract 413.26; Clark County; Washington,1840,1341,376,Vancouver city,Washington,116381,0.7364848770242242,0.2038465159503273,53011,1840,1341,376,0.011154,0.00730409985099999,0.00317867361099999,0.7711858980156461,0.6744703334923291,0.8237664289216488,-0.2967042091577661,-0.4826448997721161,-0.21393633545985816,-6.08936729806013,-9.905495030187057,-4.390692429723434,-330.9438748945723,-538.3421212058183,-238.62458857192576,0.7514065688119042,0.6484240840533989,0.8079500236988864,-0.3308374474036905,-0.5422005822930663,-0.23770031644022632,-6.789896034547005,-11.127777742610226,-4.8784091664166835,-369.0160888340763,-604.7705294896862,-330.9438748945723,-0.7005287364868753,-1.2222827124231692,-0.4877167366932494,-38.072213939504095,-66.4284082838679,-26.50634438550268,0.8508181403027228,0.8053152059494803,0.8983855312677237,-0.17533930299628772,-0.2417498050604708,-0.11310786426945987,-0.7474015430586856,-1.030483036311361,-0.4821337306722184,-55.734641540543294,-76.84437258101127,-35.953298334990194,0.8371830272401205,0.7880658159607007,0.8888101873951291,-0.194481932220516,-0.26892954845521183,-0.12509961539790546,-0.8289989395117295,-1.1463394461751475,-0.5332497847697171,-61.81945857656447,-85.48392588927275,-39.76508462115713,-0.08159739645304398,-0.11585640986378665,-0.05111605409749864,-6.084817036021176,-8.639553308261494,-3.8117862861669383,0.8053152059494803,0.7618072423533181,0.8983855312677237,-0.2417498050604708,-0.3126680141696666,-0.11310786426945987,-0.6639275328856704,-0.858693156786632,-0.3106328265936163,-176.57647151214638,-228.37583957091277,-82.61511345574901,0.7880658159607007,-0.26892954845521183,-0.738572391325255,0.741360779768875,-0.3488709239673533,-0.9581187119768348,0.8888101873951291,-0.12509961539790546,-0.34356627090268743,-196.42882748012104,-254.81880637681775,-91.37400821879984,-0.07464485843958457,-0.09942555519020269,-0.03293344430907113,-19.85235596797462,-26.44296680590497,-8.758894763050835,0.4316
53011041008,53011041008,Census Tract 410.08; Clark County; Washington,2423,1918,654,Vancouver city,Washington,96377,0.7230920841416082,0.17664703383134392,53011,2423,1918,654,0.011154,0.00730409985099999,0.00317867361099999,0.7754136760837045,0.680082787024535,0.8271337145690904,-0.289634205383878,-0.47040921940570096,-0.20899436498120175,-7.827695162761852,-12.71334636176763,-5.6483113851817865,-323.05799268517757,-524.6944433251189,-233.11231470003247,0.7559390875376323,0.6543618344342791,0.8115836620299268,-0.32285790811183296,-0.5282064866520498,-0.2321588602446822,-8.72560367045335,-14.275383513579404,-6.274358323530937,-360.1157107079385,-589.1615152116964,-323.05799268517757,-0.897908507691497,-1.5620371518117722,-0.62604693834915,-37.05771802276091,-64.46707188657747,-25.837678016886095,0.8537153747273432,0.8089925962438207,0.9004134564747893,-0.1713505807709938,-0.23610525565132856,-0.11060090540528145,-1.0446723979678088,-1.4394619643788755,-0.6743000960210637,-54.46675693262819,-75.05015455572867,-35.15641793644753,0.8403194446655214,0.7920252034991823,0.8910173781800524,-0.19002363487856383,-0.2625860838543788,-0.12231256593732212,-1.1585163319898872,-1.6009075233876668,-0.7457025297749562,-60.402311365479,-83.4675455363747,-38.87917256386633,-0.11384393402207849,-0.1614455590087911,-0.07140243375389255,-5.935554432850807,-8.417390980646044,-3.7227546274187984,0.8089925962438207,0.7661808446229323,0.9004134564747893,-0.23610525565132856,-0.3051748905209699,-0.11060090540528145,-1.1278467811555632,-1.457784228538585,-0.5283273970760325,-172.45363626231855,-222.9027872383157,-80.78400566911812,0.7920252034991823,-0.2625860838543788,-1.2543425542748587,0.7460439604687712,-0.34040358609921245,-1.6260675257596584,0.8910173781800524,-0.12231256593732212,-0.5842726092933973,-191.79549759554416,-248.6341782507123,-89.33831946382222,-0.1264957731192955,-0.1682832972210735,-0.05594521221736481,-19.34186133322561,-25.731391012396557,-8.5543137947041,0.065
53011041700,53011041700,Census Tract 417; Clark County; Washington,2961,1489,370,Vancouver city,Washington,63647,0.6765945790857365,0.20466230618710407,53011,2961,1489,370,0.011154,0.00730409985099999,0.00317867361099999,0.7902725385737795,0.6999333073962535,0.8389315683511077,-0.26538624485765344,-0.4287075488948973,-0.19199233611564645,-8.76490991659625,-14.15892164510648,-6.340929732937439,-296.01181751422666,-478.18040003736854,-214.14825170339205,0.7718885163747534,0.6754019755763724,0.8243263652900928,-0.29552387266569724,-0.4805997556442194,-0.21311175052381703,-9.760265169386749,-15.872765246063102,-7.038440505879604,-329.6273275713187,-536.0609674455624,-296.01181751422666,-0.995355252790496,-1.7138436009566205,-0.6975107729421648,-33.61551005709207,-57.88056740819386,-23.55659483087352,0.8638508814472964,0.8218907177293945,0.907489669827772,-0.15760719989612013,-0.21670676943847364,-0.10194091817021449,-0.745961970500751,-1.0256828930259756,-0.4824909537320002,-50.09818472133989,-68.88400893391373,-32.40369064687711,0.8513000498026928,0.8059265871841146,0.8987230058445452,-0.1746739592365484,-0.2408078054528175,-0.1126898872031022,-0.8267397105788639,-1.1397541811918666,-0.5333663079411315,-55.5231504754106,-76.54494165156927,-35.82043706790675,-0.08077774007811289,-0.11407128816589096,-0.05087535420913131,-5.424965754070711,-7.6609327176555375,-3.4167464210296377,0.8218907177293945,0.781561089684203,0.907489669827772,-0.21670676943847364,-0.27949051353626014,-0.10194091817021449,-0.5856537164755112,-0.7553278487621611,-0.27549705873061064,-158.28478823662465,-204.1426618276111,-74.45866452178666,0.8059265871841146,-0.2408078054528175,-0.6507871746931976,0.7625340173072863,-0.31141690377469355,-0.8416094593700595,0.8987230058445452,-0.1126898872031022,-0.3045463296818726,-175.8884255927561,-227.46201604596203,-82.30981883293855,-0.06513345821768635,-0.0862816106078984,-0.02904927095126197,-17.603637356131443,-23.31935421835092,-7.851154311151885,0.6975
53011041107,53011041107,Census Tract 411.07; Clark County; Washington,2222,1372,437,Vancouver city,Washington,82151,0.7341784594280313,0.18542009169716947,53011,2222,1372,437,0.011154,0.00730409985099999,0.00317867361099999,0.7719123312550131,0.675433560761718,0.8243453417715956,-0.2954839034300057,-0.4805305186083043,-0.21308382461518624,-7.323328613583106,-11.909558712925712,-5.281109569021804,-329.5827458858284,-535.9837404557026,-237.6736979757787,0.7521851873675541,0.649442789754018,0.8085746230669082,-0.3294598415314865,-0.5397815108221595,-0.2367442304917003,-8.165394650966569,-13.378046443140436,-5.867513516421632,-367.47950724422,-602.0722971710367,-329.5827458858284,-0.8420660373834625,-1.468487730214724,-0.5864039473998286,-37.89676135839166,-66.08855671533411,-26.390816714663757,0.8513163809644531,0.8059473080043483,0.8987344412047985,-0.1746514249697672,-0.24077590441508703,-0.1126757295063155,-0.7616793494260251,-1.0500574745616444,-0.4913946528711656,-55.515987567494534,-76.53480135288953,-35.81593679818991,0.8377223245335532,0.7887462617282814,0.8891899049983184,-0.1937129651603872,-0.2678348519951455,-0.12461915545688876,-0.8448093985164504,-1.1680653384682778,-0.5434816078417607,-61.575029046388515,-85.13595761430595,-39.61236208759189,-0.08313004909042532,-0.11800786390663331,-0.05208695497059512,-6.059041478893973,-8.601156261416422,-3.7964252894019768,0.8059473080043483,0.7625586515086812,0.8987344412047985,-0.24077590441508703,-0.3113745388916038,-0.1126757295063155,-0.7685305951848682,-0.9938737860049072,-0.3596487184659988,-175.86512475626276,-227.43107231233571,-82.29947790983954,0.7887462617282814,-0.2678348519951455,-0.8548998236145027,0.7421651853750041,-0.34740893227794856,-1.1088916648230085,0.8891899049983184,-0.12461915545688876,-0.3977708398495259,-195.62925025503495,-253.7509530487433,-91.02307548044072,-0.08636922842963446,-0.11501787881810122,-0.03812212138352711,-19.764125498772188,-26.3198807364076,-8.723597570601168,0.3967
53011041336,53011041336,Census Tract 413.36; Clark County; Washington,1749,1022,436,Vancouver city,Washington,51627,0.6799371279433347,0.20851543757597624,53011,1749,1022,436,0.011154,0.00730409985099999,0.00317867361099999,0.7891949509068981,0.6984871903672395,0.8380778751192995,-0.26711403671660183,-0.4316654819027331,-0.1932065380650348,-5.210953049724172,-8.421079577215256,-3.7691399940348695,-297.9389965536977,-481.4796785143085,-215.50257255773985,0.7707308234906232,0.6738671575299512,0.8234036981094012,-0.29746984228685924,-0.4839720096546674,-0.21447110608815292,-5.803144607897481,-9.441493418658592,-4.183976544570394,-331.7978620867628,-539.822379568816,-297.9389965536977,-0.592191558173309,-1.020413841443336,-0.414836550535524,-33.85886553306513,-58.342701054507486,-23.718499172985936,0.8631182767867708,0.8209566939707892,0.906979134747617,-0.15858976329734842,-0.2180910483392458,-0.10256119649132574,-0.5151954076705141,-0.7084915458746143,-0.3331807573131533,-50.41050955680177,-69.3240260151286,-32.60085687995629,0.8505059267201425,0.8049191746970414,0.8981668580432592,-0.17577076018313073,-0.2423607629627954,-0.11337886835258408,-0.5710096702730767,-0.7873342483262404,-0.3683230940487049,-55.87178769795271,-77.03857615716639,-36.03944168774021,-0.05581426260256261,-0.07884270245162617,-0.03514233673555161,-5.461278141150941,-7.714550142037785,-3.4385848077839154,0.8209566939707892,0.7804452293803539,0.906979134747617,-0.2180910483392458,-0.2813198958163469,-0.10256119649132574,-0.6945300340440959,-0.8958878335743644,-0.3266151079246538,-159.2958793679119,-205.47886091155144,-74.91172200106739,0.8049191746970414,-0.2423607629627954,-0.7718190647131328,0.7613365386299702,-0.3134795839426099,-0.9983031755119068,0.8981668580432592,-0.11337886835258408,-0.3610649308921268,-177.02272126448,-228.96861823667584,-82.813057544065785,-0.07728903066903692,-0.10241534193754231,-0.03444982296747301,-17.7268418965681,-23.489757325124383,-7.901335542998397,0.6351
