geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
72061040412,72061040412,Census Tract 404.12; Guaynabo Municipio; Puerto Rico,1249,947,328,San Juan zona urbana,Puerto Rico,34858,0.5094829554095077,0.22990923528514065,72061,1249,947,328,0.012828,0.0073709,0.002928,0.8460649835503001,0.7761812380996121,0.8827393904424069,-0.18194230873821307,-0.2883588921169772,-0.13283717802467726,-2.915110964680753,-4.620135767227653,-2.1283401143059995,-233.39559364937975,-369.9067868076584,-170.403531970056,0.8320397851781136,0.7567622413492743,0.8717977768037519,-0.20186560524378216,-0.32141899444803607,-0.14705500129430513,-3.23432544809998,-5.149830413113479,-2.3561405241975795,-258.9531984067238,-412.3162860779407,-233.39559364937975,-0.319214483419227,-0.5296946458858258,-0.22780040989158,-25.55760475734403,-42.40949927028229,-18.238623690278622,0.9012814282296412,0.8699676447082931,0.9333837368625872,-0.10953135022904968,-0.14946803606162587,-0.0713707133588294,-0.30371028041671266,-0.4144473618802532,-0.19789785593277592,-32.07077934706575,-43.764240958844056,-20.89734487146525,0.8919622293418569,0.8579330749011926,0.9269712238972534,-0.12112370580743072,-0.16559208317638188,-0.07878213931573048,-0.33585374944213686,-0.45915637770480255,-0.21844837640888656,-35.46502106041572,-48.48536195404462,-23.06741039164589,-0.0321434690254242,-0.04470901582454933,-0.02055052047611064,-3.394241713349968,-4.721120995200564,-2.170065520180638,0.8699676447082931,0.8394309296017589,0.9333837368625872,-0.14946803606162587,-0.19128324289220308,-0.0713707133588294,-0.3613621746181773,-0.4624569268511978,-0.17254977627968338,-110.1713947006638,-140.99296550341396,-52.60663910965957,0.8579330749011926,-0.16559208317638188,-0.40034456097021215,0.8248661158490049,-0.212317951708728,-0.5133116000019551,0.9269712238972534,-0.07878213931573048,-0.19046804878380025,-122.05626858847933,-156.4974390249863,-58.06952706823178,-0.03898238635203482,-0.05085467315075726,-0.01791827250411687,-11.884873887815496,-15.504473521572333,-5.4628879585722165,0.0131
72139060102,72139060102,Census Tract 601.02; Trujillo Alto Municipio; Puerto Rico,2324,1510,605,San Juan zona urbana,Puerto Rico,54104,0.6596831520987666,0.25095713482090237,72139,2324,1510,605,0.012828,0.0073709,0.002928,0.7957471250713589,0.7072958729426846,0.8432641266518582,-0.256680631941114,-0.4138354799661535,-0.18586806718608367,-7.65223281656038,-12.33737589200152,-5.541149375065801,-329.2699146540611,-530.8681537005817,-238.43155658630815,0.777772504487444,0.6832210467198149,0.8290104173098346,-0.2857230028451637,-0.46365514470179137,-0.2062574596408958,-8.518051877476795,-13.822613288049164,-6.149003488843409,-366.525468049776,-594.7768196234581,-329.2699146540611,-0.8658190609164151,-1.485237396047646,-0.6078541137776075,-37.25555339571494,-63.90866592287634,-26.155512641033024,0.867566993856303,0.8266326696718956,0.9100771001657996,-0.15264873730965403,-0.20972716986484063,-0.0988080018910686,-0.6749028092924272,-0.9272625415800226,-0.4368578426009438,-44.6955502842667,-61.40811533642534,-28.930982953704888,0.8553292485272636,0.811042890593015,0.9015420856844016,-0.16914042366940651,-0.23298041521432247,-0.10921055808598716,-0.7478171723610737,-1.0300716501787797,-0.48285045625441336,-49.524316050402234,-68.21666557475362,-31.976851407577044,-0.07291436306864651,-0.10280910859875704,-0.04599261365346957,-4.828765766135531,-6.80855023832828,-3.045868453872157,0.8266326696718956,0.7872312216595213,0.9100771001657996,-0.20972716986484063,-0.2702748220426927,-0.0988080018910686,-0.935256187795836,-1.2052620549056627,-0.44062386018902094,-154.58779963567537,-199.2168685794484,-72.83039011388776,0.811042890593015,-0.23298041521432247,-1.038951582214466,0.7686215220580838,-0.30103044385534555,-1.3424135056610869,0.9015420856844016,-0.10921055808598716,-0.4870129620705817,-171.72753425032494,-221.88652986133667,-80.49801025960028,-0.10369539441862984,-0.13715145075542412,-0.04638910188156076,-17.139734614649562,-22.669661281888285,-7.6676201457125215,0.2397
72127002500,72127002500,Census Tract 25; San Juan Municipio; Puerto Rico,1036,700,302,San Juan zona urbana,Puerto Rico,20572,0.35242129287796736,0.21036456568382245,72127,1036,700,302,0.012828,0.0073709,0.002928,0.9020878162952688,0.8553994774796431,0.9259958506057726,-0.1085395256825894,-0.16904443634500368,-0.07991844601227423,-1.4424694567326823,-2.246568102493321,-1.0621008031614902,-139.2345035456257,-216.85020294337073,-102.5193825445454,0.8928401236673345,0.842143069045779,0.9189035824385045,-0.1200213492786448,-0.18744669018423035,-0.08825345674057469,-1.5950606878141278,-2.491130522783906,-1.1728714954185435,-153.9633868546455,-240.4566141683307,-139.2345035456257,-0.15259123108144546,-0.24456242029058517,-0.11077069225705329,-14.728883309019832,-23.60641122495996,-10.69215176226383,0.9379381492544988,0.9177139802274576,0.95839371206837,-0.06616838305897868,-0.08966412362177122,-0.04341252181406425,-0.1356187179176827,-0.18377558777518227,-0.0889783047101061,-19.37410255966896,-26.25365539645461,-12.711186387158014,0.931947871039214,0.9098673531933248,0.9543295053148498,-0.0730213900106892,-0.0990613043652354,-0.04785610675432557,-0.1496646409659086,-0.20303604942698647,-0.09808587640366569,-21.3806629951298,-29.005149918140926,-14.012268057666526,-0.01404592304822588,-0.0192604616518042,-0.00910757169355959,-2.0065604354608406,-2.7514945216863143,-1.3010816705085135,0.9177139802274576,0.897720956909457,0.95839371206837,-0.08966412362177122,-0.1139318875239968,-0.04341252181406425,-0.1995933972187215,-0.2536137260246897,-0.09663678582586444,-66.09052888037135,-83.9780549750628,-31.998935703928627,0.9098673531933248,-0.0990613043652354,-0.22051163244040553,0.88808697397994385,-0.12601584000103075,-0.28051274682920646,0.9543295053148498,-0.04785610675432557,-0.10652825833718844,-73.01709683457136,-92.88501550635976,-35.27425772754584,-0.02091823522168404,-0.02689902080451678,-0.00989147251132398,-6.926567954200013,-8.906960531296948,-3.2753220236172123,0.6645
72127009614,72127009614,Census Tract 96.14; San Juan Municipio; Puerto Rico,920,628,294,San Juan zona urbana,Puerto Rico,36722,0.536581004200259,0.24825725617060257,72127,920,628,294,0.012828,0.0073709,0.002928,0.8367574180555838,0.7632754841688737,0.875483377344022,-0.1950894947830297,-0.3101429572166782,-0.14222614144168844,-2.302399395950569,-3.660232746761504,-1.678518787020861,-250.26080390767052,-397.8513855175548,-182.44769424139795,0.8219767401570699,0.7429326497077727,0.8639183427945081,-0.21657943728299656,-0.3460170318175448,-0.15751680507825536,-2.5560185397489783,-4.083609965423028,-1.8589755295003512,-277.82810214662805,-443.8706484155464,-250.26080390767052,-0.2536191437984092,-0.42337721866152345,-0.1804567424794901,-27.567298238957527,-46.01926289799168,-19.61486331298805,0.8951034970268574,0.8619848694259825,0.9291352302193032,-0.11718924495498333,-0.16011317074036954,-0.07626959722964181,-0.21548570859530403,-0.29441353654665964,-0.1402433150723097,-34.31301092281911,-46.8811363927802,-22.33173806883912,0.8852390821972999,0.8492774774735667,0.9223310311193982,-0.1296383317350222,-0.17747147018993495,-0.08420942835061934,-0.23837689018105107,-0.32633169984172933,-0.15484294950026525,-37.9581035320145,-51.96364647161295,-24.656520621061343,-0.02289118158574704,-0.03191816329506969,-0.01459963442795553,-3.6450926091953897,-5.082510078832754,-2.3247825522222185,0.8619848694259825,0.8297639774873551,0.9291352302193032,-0.16011317074036954,-0.20516198236050703,-0.07626959722964181,-0.3469723820417958,-0.4445951659996321,-0.16527961882067027,-118.01781702101896,-151.22284557810616,-56.21755742199669,0.8492774774735667,-0.17747147018993495,-0.3845885911291595,0.8144230085678837,-0.2278631491004199,-0.49378960679705985,0.9223310311193982,-0.08420942835061934,-0.18248558697629655,-130.81244596229914,-167.9556485704285,-62.06992754295801,-0.03761620908736368,-0.04919444079742774,-0.01720596815562627,-12.794628941280164,-16.73280299232236,-5.852370120961319,0.0261
72127005204,72127005204,Census Tract 52.04; San Juan Municipio; Puerto Rico,1134,830,320,San Juan zona urbana,Puerto Rico,34360,0.4171728622205165,0.22829666422907993,72127,1134,830,320,0.012828,0.0073709,0.002928,0.8785554200928716,0.8218051227470848,0.9079115289646226,-0.13823212187831083,-0.21683349533920543,-0.1014289036954896,-2.010856041821938,-3.1542664486916454,-1.47548139347091,-177.32416594549716,-278.1540078211327,-130.11299766057408,0.8672535347910151,0.8058342620095016,0.8991825787396484,-0.15306534927064122,-0.24094996594747545,-0.11212119056139164,-2.226634288703253,-3.5050875890395603,-1.6310215772794172,-196.3522300443786,-309.09061631742156,-177.32416594549716,-0.2157782468813152,-0.3508211403479149,-0.1555401838085071,-19.028064098881412,-30.93660849628879,-13.716065591579108,0.922648491009192,0.8977201402959859,0.9480027073556132,-0.08383637944955723,-0.11393290081504864,-0.05484930817278961,-0.20374252279349195,-0.27688429287676375,-0.13329698269384022,-24.547291902830356,-33.35955335864624,-16.059877432992796,0.915250349450388,0.8880860853450928,0.9429540613564772,-0.0925972337519506,-0.12601696671265786,-0.06049704962451729,-0.2250335013533404,-0.3062514731837696,-0.14702234987948692,-27.112470042571132,-36.89776785346622,-17.713536130058664,-0.02129097855984843,-0.02936718030700585,-0.0137253671856467,-2.5651781397407754,-3.5382144948199827,-1.6536586970658684,0.8977201402959859,0.8732148265026077,0.9480027073556132,-0.11393290081504864,-0.14519356480144882,-0.05484930817278961,-0.2687321659576455,-0.3424663189743998,-0.1293724049954608,-83.97880186176421,-107.02072467949992,-40.428876561081495,0.8880860853450928,-0.12601696671265786,-0.2972347071815456,0.8614562201757763,-0.1608250965974272,-0.3793362254431924,0.9429540613564772,-0.06049704962451729,-0.14269366498475347,-92.885845994233,-118.54257045099764,-44.59177030773546,-0.02850254122390011,-0.03686990646879262,-0.01332125998929267,-8.907044132468785,-11.521845771497697,-4.162893746653962,0.5969
72127007900,72127007900,Census Tract 79; San Juan Municipio; Puerto Rico,1576,1087,505,San Juan zona urbana,Puerto Rico,45641,0.5148657783692892,0.2581341983930826,72127,1576,1087,505,0.012828,0.0073709,0.002928,0.8442079020203199,0.7736003555380304,0.881293267475347,-0.18454233561051195,-0.29265711014896206,-0.1346960619189953,-3.730879111989557,-5.916627724569636,-2.7231405856998703,-236.73090812116473,-375.42054089908856,-172.7881082296872,0.8300310793906568,0.7539947583569317,0.8702268875568042,-0.20477416428083747,-0.32626916688273905,-0.14912560655019386,-4.139904535525863,-6.5961602554883205,-3.014861650581598,-262.6842979394583,-418.5380872771777,-236.73090812116473,-0.40902542353630666,-0.6795325309186842,-0.2917210648817279,-25.95338981829357,-43.117546378089095,-18.51021985290151,0.900050844365769,0.8683760642308205,0.932538259699868,-0.11104834383513223,-0.15157480864672124,-0.07234206167781686,-0.3534375616644535,-0.482422600173031,-0.23024568401620812,-32.514955074926725,-44.381103971759984,-21.181755659264777,0.8906226751689256,0.8562067129782174,0.9260476302989952,-0.12280994845581344,-0.1679422560489091,-0.07985806267559656,-0.3908716441084618,-0.5345158642480808,-0.2541671309678775,-35.95875290786218,-49.17349257112059,-23.382440751414673,-0.03743408244400836,-0.05209326407504983,-0.02392144695166939,-3.443797832935452,-4.79238859936061,-2.2006850921498984,0.8683760642308205,0.837501740136511,0.932538259699868,-0.15157480864672124,-0.1940273698261237,-0.07234206167781686,-0.5642075923123294,-0.7222289518269446,-0.2692791817226153,-111.72427570541176,-143.01563402513753,-53.32261024210204,0.8562067129782174,-0.1679422560489091,-0.6251322154310066,0.8227810675422499,-0.215390143804749,-0.8017477015400644,0.9260476302989952,-0.07985806267559656,-0.29725602605865514,-123.78855751109042,-158.76192109704246,-58.86257941755547,-0.06092462311867719,-0.07951874971311979,-0.02797684433603986,-12.06428180567865,-15.74628707190491,-5.539969175453438,0.2734
72127001301,72127001301,Census Tract 13.01; San Juan Municipio; Puerto Rico,1081,657,345,San Juan zona urbana,Puerto Rico,18369,0.3568821430984657,0.23167963760373272,72127,1081,657,345,0.012828,0.0073709,0.002928,0.9004466019215235,0.8530416857369705,0.9247385177391004,-0.11056002417692824,-0.17227565395713043,-0.08138677130580303,-1.533143373343108,-2.388958208167997,-1.1285958919980197,-141.82639901416357,-220.99520889620695,-104.40295023108412,0.8910534577671707,0.8395900437477555,0.9175312025036786,-0.1222671224528222,-0.19105747792840397,-0.08988119125680717,-1.6954865012176124,-2.6494070383416775,-1.2463885910791506,-156.84426468248034,-245.08853268655665,-141.82639901416357,-0.16234312787450422,-0.26044883017368026,-0.1177926990811311,-15.017865668316764,-24.0933237903497,-10.896641913148114,0.936876738835994,0.9163223992532312,0.957674218603586,-0.06737627112231678,-0.09131895151200388,-0.04419642982363104,-0.1296114632529163,-0.17566990174783584,-0.08502049526599974,-19.727772184614356,-26.738189002714737,-12.94071465235917,0.93078784197874,0.9083498173458008,0.9535414483195862,-0.07435868293479601,-0.10089745261577888,-0.04872211036267705,-0.14304350092693535,-0.1940960260071634,-0.0937265288162404,-21.772222363308273,-29.54277412590006,-14.265833914191845,-0.01343203767401904,-0.01842612425932754,-0.00870603355024066,-2.044450178693918,-2.804585123185319,-1.3251192618326728,0.9163223992532312,0.8960108456379836,0.957674218603586,-0.09131895151200388,-0.11605791924089193,-0.04419642982363104,-0.2322204865964412,-0.2951307043417782,-0.11238977528251572,-67.31028596998296,-85.54513169326904,-32.57674645870021,0.9083498173458008,-0.10089745261577888,-0.2565782365525474,0.8862262163864936,-0.12838006990744263,-0.32646544676186534,0.9535414483195862,-0.04872211036267705,-0.12389840212892844,-74.37050334856447,-94.6276657280769,-35.91258032722563,-0.0243577499561062,-0.03133474242008716,-0.01150862684641272,-7.060217378581508,-9.082534034807871,-3.3358338685254276,0.9706
72127002800,72127002800,Census Tract 28; San Juan Municipio; Puerto Rico,1095,741,596,San Juan zona urbana,Puerto Rico,25136,0.3684751670905416,0.23709952884074045,72127,1095,741,596,0.012828,0.0073709,0.002928,0.8961953026984408,0.8469445155334611,0.9214788920708524,-0.11582820953089532,-0.18071488941649805,-0.08521205271743758,-1.6269994776892462,-2.538440608571147,-1.1969447324239215,-148.58442718623252,-231.82106014348375,-109.31002122592892,0.8864269054771674,0.832991281820311,0.9139741876518244,-0.12812460206371523,-0.2004927564364537,-0.0941228029307834,-1.7997227228243062,-2.816253582125677,-1.3221110110157182,-164.3582395273339,-257.19210795668283,-148.58442718623252,-0.17272324513506,-0.2778129735545303,-0.1251662785917964,-15.773812341101369,-25.371047813199112,-11.430710373680038,0.9341239194429632,0.9127157665367484,0.9558068970602982,-0.07052177894804361,-0.09563134182994004,-0.0462364344467728,-0.15300743665106492,-0.20748634953864575,-0.10031678752457172,-20.64877687598717,-28.00085688780644,-13.538028006015075,0.9277798630845489,0.9044178142147804,0.9514964582419824,-0.07784188878097026,-0.10568366111652124,-0.05097606127471504,-0.16888949830985456,-0.2292963439741381,-0.11060010939256291,-22.79210503506809,-30.94417597491742,-14.925790741236565,-0.01588206165878963,-0.02180999443549233,-0.0102833218679912,-2.1433281590809226,-2.9433190871109765,-1.3877627352214852,0.9127157665367484,0.8915817633639141,0.9558068970602982,-0.09563134182994004,-0.12160212455111996,-0.0462364344467728,-0.4201138782666059,-0.5342049915128948,-0.20311926425957577,-70.48890574943051,-89.63170998538503,-34.08041346637177,0.9044178142147804,-0.10568366111652124,-0.4642742838433649,0.8814086218195223,-0.13454755858374226,-0.591075013340684,0.9514964582419824,-0.05097606127471504,-0.2239407122296791,-77.89836977237665,-99.1736599564906,-37.57394500497971,-0.04416040557675899,-0.05687002182778922,-0.02082144797010332,-7.409464022946139,-9.541949971105574,-3.4935315386079404,0.9532
72127980102,72127980102,Census Tract 9801.02; San Juan Municipio; Puerto Rico,0,0,0,San Juan zona urbana,Puerto Rico,21876,0.5060516337995736,0.2812070020962682,72127,0,0,0,0.012828,0.0073709,0.002928,0.8472509258718388,0.7778309333657326,0.8836624707861953,-0.18028788103238627,-0.28562642227781454,-0.13165380794128226,-0,-0,-0,NA,NA,NA,0.8333227863375601,0.758531693601948,0.8728006317903065,-0.20001518786613712,-0.318336476161491,-0.14573702581857614,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.9020667512735948,0.8709837319452622,0.933923092757046,-0.10856541224708352,-0.14812706979795337,-0.07075197921050187,-0,-0,-0,NA,NA,NA,0.8928171897115899,0.8590353737244659,0.927560456383668,-0.12005011946850376,-0.16409641626789193,-0.07809684330308354,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8709837319452622,0.8406630248086063,0.933923092757046,-0.14812706979795337,-0.18953727057005976,-0.07075197921050187,-0,-0,-0,NA,NA,NA,0.8590353737244659,-0.16409641626789193,-0,0.8261980026254038,-0.21036361359178649,-0,0.927560456383668,-0.07809684330308354,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
72061040446,72061040446,Census Tract 404.46; Guaynabo Municipio; Puerto Rico,2606,1863,767,San Juan zona urbana,Puerto Rico,58593,0.6305979994213197,0.24314973498506495,72061,2606,1863,767,0.012828,0.0073709,0.002928,0.8052514530930334,0.7201399907587496,0.8507678829935047,-0.2418481160871208,-0.3886188974818438,-0.17540873367411147,-8.084926412029516,-12.991439583233824,-5.863873271899335,-310.2427633165586,-498.5203216897093,-225.01432355715025,0.787997190194851,0.6968809963880702,0.8371286303202476,-0.2690400580650881,-0.4349652310552213,-0.19455955008663975,-8.993946723822424,-14.540786762242444,-6.504080621580747,-345.124586485895,-557.973398397638,-310.2427633165586,-0.909020311792908,-1.5493471790086204,-0.640207349681412,-34.88182316933645,-59.45307670792864,-24.56666729399125,0.8739955851738355,0.834852203266848,0.9145443638717174,-0.1441705392609078,-0.19781680648013455,-0.0934406678386893,-0.7864306844749126,-1.0790637762634527,-0.509706135129224,-42.213133895593806,-57.920760937383406,-27.359427543168223,0.8623035276189084,0.8199182579980456,0.9064111836708436,-0.15968445909216555,-0.2196337747639029,-0.10325205383072876,-0.8710570072613265,-1.1980723711437222,-0.5632259113673043,-46.75560962218607,-64.30876925087075,-30.232201361637376,-0.08462632278641391,-0.11900859488026948,-0.05351977623808024,-4.542475726592265,-6.388008313487358,-2.872773818469149,0.834852203266848,0.7970793893862549,0.9145443638717174,-0.19781680648013455,-0.25458017521942505,-0.0934406678386893,-1.118353418444353,-1.4392640053735677,-0.5282649748448736,-145.80878988844236,-187.648501352486,-68.8741818572195,0.8199182579980456,-0.2196337747639029,-1.2416952188423622,0.7792050120520586,-0.2833593015097163,-1.6019662289069412,0.9064111836708436,-0.10325205383072876,-0.5837334522665645,-161.88985904072518,-208.8613075497968,-76.10605635809185,-0.12334180039800911,-0.1627022235333735,-0.05546847742169092,-16.081069152282808,-21.212806197310755,-7.231874500872349,0.0643
72127003702,72127003702,Census Tract 37.02; San Juan Municipio; Puerto Rico,770,622,244,San Juan zona urbana,Puerto Rico,23798,0.4625585972736819,0.2613176334932154,72127,770,622,244,0.012828,0.0073709,0.002928,0.8624279664603649,0.7990477316387399,0.8954467928370842,-0.15951712941808638,-0.25148969254832115,-0.11676093766739085,-1.5756400168549134,-2.4841045275275953,-1.1533131674659132,-204.6285736175212,-322.6109776009864,-149.780930839729,0.8497577111958463,0.7813218959454958,0.885612553159669,-0.17680603167780715,-0.2798822165221374,-0.12916195285649684,-1.7464121862594408,-2.764553386630404,-1.275804939057219,-226.806777436291,-359.0329073545979,-204.6285736175212,-0.17077216940452744,-0.2804488591028087,-0.12249177159130586,-22.1782038187698,-36.42192975361152,-15.908022284585178,0.9120804657315524,0.8839662678677909,0.9407866642103188,-0.09639449321823822,-0.13126488685150092,-0.06294023718903793,-0.17555519336094694,-0.2390617121721431,-0.1146277670124709,-28.22430761430015,-38.43435887011947,-18.428901448950302,0.9037253608528824,0.873130706605132,0.935061698122962,-0.10653085917192724,-0.1453038960090586,-0.06944814658476002,-0.19401570521766065,-0.26462978027403367,-0.1264800757305103,-31.192235565540297,-42.54498075145236,-20.33441732001773,-0.01846051185671368,-0.02556806810189058,-0.01185230871803938,-2.967927951240142,-4.11062188133289,-1.9055158710674251,0.8839662678677909,0.8564378380815513,0.9407866642103188,-0.13126488685150092,-0.16762706589427745,-0.06294023718903793,-0.2360798464964697,-0.30147721096003166,-0.11319799140838986,-96.75403544937284,-123.55623400001298,-46.392619429667974,0.873130706605132,-0.1453038960090586,-0.2613289988507335,0.8432676329345242,-0.1858631363806244,-0.3342747764352984,0.935061698122962,-0.06944814658476002,-0.12490246385343227,-107.102048709317,-136.99785919479442,-51.18953436616077,-0.02524915235426381,-0.03279756547526674,-0.01170447244504241,-10.348013259944183,-13.441625194781452,-4.796914936492793,0.415
