geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
37119001507,37119001507,Census Tract 15.07; Mecklenburg County; North Carolina,2966,1889,523,Charlotte city,North Carolina,75457,0.7544260325051061,0.1742469720208526,37119,2966,1889,523,0.00804399999999999,0.009162065641,0.004054771124,0.7655584135193356,0.6670243348835239,0.8192770425194652,-0.30623605245603264,-0.49919567803267706,-0.2205883334955538,-7.306334082466464,-11.910062081125336,-5.262907637057003,-246.33628059563264,-401.55300340948537,-177.44125546382344,0.7453773080555269,0.6405541456953031,0.8031078370137565,-0.3416024195970089,-0.5611482756302025,-0.2451627962172045,-8.150122694364914,-13.388158378716287,-5.849217554199357,-274.7849863238339,-451.3876729169348,-246.33628059563264,-0.8437886118984501,-1.4780962975909515,-0.586309917142354,-28.448705728201283,-49.83466950744948,-19.767697813295825,0.8469523703799401,0.80041510929255,0.8956760524703207,-0.18070393917358452,-0.24935172810999767,-0.11647508855679296,-1.3840950733927004,-1.9099002489783845,-0.8921365908331114,-73.2713114554103,-101.10641868599176,-47.227982574542686,0.8329997798077308,0.7827927702955043,0.8858619723218765,-0.20048050940759607,-0.2774773068260453,-0.1288440312873614,-1.5355729745092106,-2.1253270687546006,-0.9868760457379154,-81.29025804707308,-112.51069712835366,-52.24330575637457,-0.15147790111651016,-0.21542681977621617,-0.09473945490480408,-8.018946591662793,-11.404278442361893,-5.015323181831873,0.80041510929255,0.7559874076406272,0.8956760524703207,-0.24935172810999767,-0.32277335560510917,-0.11647508855679296,-1.194833719035025,-1.546652561047979,-0.5581207088079808,-228.4576900640583,-295.72706712198453,-106.71524068986248,0.7827927702955043,-0.2774773068260453,-1.329604751391709,0.7351331678358659,-0.3602977579475386,-1.7264605036085101,0.8858619723218765,-0.1288440312873614,-0.6173897179113663,-254.22652990281244,-330.10717086204784,-118.0477472105863,-0.13477103235668397,-0.179807942560531,-0.0592690091033855,-25.768839838754104,-34.38010374006329,-11.332506520723806,0.9647
37119001605,37119001605,Census Tract 16.05; Mecklenburg County; North Carolina,1188,783,297,Charlotte city,North Carolina,0,NA,NA,37119,1188,783,297,0.00804399999999999,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8751
37119005520,37119005520,Census Tract 55.20; Mecklenburg County; North Carolina,3431,2547,1048,Charlotte city,North Carolina,135771,0.7492768611833333,0.19023307342893989,37119,3431,2547,1048,0.00804399999999999,0.009162065641,0.004054771124,0.7671693054939324,0.6691529105642151,0.820563002176012,-0.30349323524637434,-0.49442673597103814,-0.2186754671465172,-8.376098873808216,-13.645665686702184,-6.03521634545991,-244.12995843218349,-397.71686641510297,-175.9025457726584,0.7471027589239769,0.64280301994766,0.804494583820019,-0.3385039581974789,-0.555686530659773,-0.24301644798110825,-9.342358556149724,-15.336372554963967,-6.707002199238477,-272.292583974052,-446.9942452627214,-244.12995843218349,-0.9662596823415086,-1.6907068682617847,-0.6717858537785677,-28.16262554186851,-49.27737884761833,-19.57988498334502,0.848060058568061,0.8018183947290408,0.896452844726925,-0.17916177032141772,-0.24716520171370085,-0.11550764313165549,-1.8502935507827405,-2.5525991280858924,-1.192905421559496,-72.64599728240047,-100.21983227663496,-46.83570559715336,0.8341982424365162,0.7843025315632597,0.8867071178470354,-0.19875582221225024,-0.27501819738719374,-0.1277680982510266,-2.052651161908531,-2.8402509980812995,-1.3195252969734068,-80.590936863311,-111.51358453401257,-51.80703953566576,-0.20235761112579076,-0.28765186999540715,-0.12661987541391073,-7.944939580910512,-11.293752257377587,-4.971333938512396,0.8018183947290408,0.7576531555449149,0.896452844726925,-0.24716520171370085,-0.31986515555496614,-0.11550764313165549,-2.373241904780986,-3.0712955779335127,-1.1090864616130829,-226.4543802271933,-293.06255514632755,-105.828860840943,0.7843025315632597,-0.27501819738719374,-2.64068204622365,0.7369151412854823,-0.35700835004637005,-3.4279387665104255,0.8867071178470354,-0.1277680982510266,-1.2268094487457215,-251.9734776930964,-327.0933937509948,-117.06197030016428,-0.26744014144266437,-0.3566431885769128,-0.11772298713263885,-25.519097465903087,-34.03083860466725,-11.233109459221264,0.4264
37119005534,37119005534,Census Tract 55.34; Mecklenburg County; North Carolina,4038,1172,436,Charlotte city,North Carolina,94008,0.6826994738829001,0.23410427013787488,37119,4038,1172,436,0.00804399999999999,0.009162065641,0.004054771124,0.788305520971593,0.6972943468911516,0.8373730224503401,-0.26854369707761505,-0.434114595161204,-0.19421091101523327,-8.72274828614245,-14.100767890439014,-6.308295110417993,-216.01654992923352,-349.20178034767247,-156.22325682065363,0.7697753945866078,0.6726013872758764,0.8226419678581505,-0.29908023435463227,-0.48676470033778974,-0.2155956528739021,-9.714626073990296,-15.810931337550372,-7.002907281275944,-240.58014051486617,-391.553524951718,-216.01654992923352,-0.9918777878478462,-1.7101634471113591,-0.6946121708579511,-24.56359058563264,-42.35174460404555,-17.201886351113203,0.8625133072770913,0.8201856001012332,0.9065574356163684,-0.15940240175186038,-0.21923623125859903,-0.1030740697858817,-0.7575107797034772,-1.0418526110947697,-0.48982774483071806,-64.63402557196905,-88.89527398419537,-41.7941761800954,0.8498502074002552,0.8040875802928442,0.8977075066654968,-0.176677950175552,-0.243645623323526,-0.11394857743193558,-0.8396074985258652,-1.1578507228671029,-0.5415054904312956,-71.6388650619339,-98.7927237941214,-46.203540139189045,-0.082096718822388,-0.1159981117723332,-0.05167774560057753,-7.004839489964847,-9.897449809926044,-4.409363959093646,0.8201856001012332,0.7795242636452753,0.9065574356163684,-0.21923623125859903,-0.28283370593715457,-0.1030740697858817,-0.8757743393710588,-1.1298246669676066,-0.4117459274627826,-200.865674167674,-259.1340979283502,-94.43713932632627,0.8040875802928442,-0.243645623323526,-0.9732815765981724,0.7603483388195436,-0.3151866702997215,-1.2590637796300634,0.8977075066654968,-0.11394857743193558,-0.4551858949126647,-223.22971940325056,-288.77609624542737,-104.40043461299648,-0.09750723722711374,-0.1292391126624568,-0.0434399674498821,-22.364045235576548,-29.641998317077245,-9.963295286670206,0.6209
37119005525,37119005525,Census Tract 55.25; Mecklenburg County; North Carolina,3357,1846,956,Charlotte city,North Carolina,0,NA,NA,37119,3357,1846,956,0.00804399999999999,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435
37119005305,37119005305,Census Tract 53.05; Mecklenburg County; North Carolina,2597,2083,557,Charlotte city,North Carolina,43581,0.7515119255260609,0.16672339267618208,37119,2597,2083,557,0.00804399999999999,0.009162065641,0.004054771124,0.7664696610995452,0.6682281417478841,0.8200045670357111,-0.30468308238768643,-0.4964948907783206,-0.21950540301862745,-6.364911246144849,-10.371911328989846,-4.585526696507136,-245.0870714726549,-399.38049014208104,-176.5701461881839,0.7463533146313949,0.6418258988832006,0.8038923545825931,-0.33984800549036864,-0.5580549207192087,-0.24394764336231595,-7.099515913959272,-11.65791685254302,-5.096131647807201,-273.37373561645256,-448.89937822653144,-245.0870714726549,-0.7346046678144234,-1.286005523553175,-0.5106049513000652,-28.286664143797587,-49.51888808445034,-19.661338132463044,0.8475790743718759,0.8012089786256745,0.8961155852990866,-0.17983092107492188,-0.24811382133449705,-0.115927472309547,-1.5188678297099163,-2.095591231356458,-0.9791336618756435,-72.91732259769162,-100.60447582124138,-47.005936719906074,0.8336778226082536,0.7836468428553346,0.8863401725223825,-0.1995041404260809,-0.2760850236521726,-0.12823499487128037,-1.6850295765368308,-2.331838474626289,-1.083084083586811,-80.89436277181137,-111.94615816736864,-51.996355429035575,-0.16616174682691431,-0.2362472432698306,-0.10395042171116742,-7.977040174119747,-11.341682346127248,-4.9904187091294965,0.8012089786256745,0.7569296658074078,0.8961155852990866,-0.24811382133449705,-0.32112671120283276,-0.115927472309547,-1.2661919604508467,-1.638796491965174,-0.5916092567686706,-227.3235117506009,-294.2184007118804,-106.21351108952794,0.7836468428553346,-0.2760850236521726,-1.4089365738234212,0.7361411227481489,-0.3584351819211211,-1.8291917122964343,0.8863401725223825,-0.12823499487128037,-0.6544178743495709,-252.95091091982425,-328.40066648050885,-117.48974404839691,-0.1427446133725745,-0.19039522033126044,-0.06280861758090028,-25.627399169223423,-34.18226576862844,-11.276232958868992,0.9619
37119001801,37119001801,Census Tract 18.01; Mecklenburg County; North Carolina,966,556,146,Charlotte city,North Carolina,0,NA,NA,37119,966,556,146,0.00804399999999999,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4399
37119001509,37119001509,Census Tract 15.09; Mecklenburg County; North Carolina,1846,1421,473,Charlotte city,North Carolina,108090,0.7330386316747877,0.20461729443864576,37119,1846,1421,473,0.00804399999999999,0.009162065641,0.004054771124,0.7722715859634436,0.6759100938548496,0.8246315897357529,-0.29488125443907787,-0.4794867085011282,-0.2126627362413349,-4.378757800566861,-7.120005539555955,-3.1578766069004995,-237.20248107079425,-385.6991083183074,-171.06590503252977,0.7525702772039192,0.6499468231716596,0.8088834772942576,-0.32877955759211613,-0.538587411074839,-0.2362720071190397,-4.882121297306233,-7.997605110630364,-3.508455958640215,-264.4702761270982,-433.2397134686004,-237.20248107079425,-0.5033634967393716,-0.8775995710744082,-0.35057935173971533,-27.26779505630399,-47.54060515029297,-18.991297494025748,0.8515627183891811,0.8062598749521588,0.8989069219456145,-0.1743116254450446,-0.24029488638429045,-0.112462231168025,-1.0043539122589722,-1.3845382292759076,-0.6479882312301039,-70.67937454320705,-97.43407665558816,-45.60086074807205,0.8379889726153738,0.7890827537894815,0.8893776206993285,-0.1933331257080721,-0.2672942035516708,-0.12438178870937612,-1.1139525586913626,-1.5401036986251018,-0.7166666926837617,-78.39215754337526,-108.38168181738928,-50.43396852102475,-0.10959864643239035,-0.15556546934919413,-0.06867846145365786,-7.712783000168218,-10.947605161801134,-4.833107772952699,0.8062598749521588,0.7629302702672713,0.8989069219456145,-0.24029488638429045,-0.3107357762193364,-0.112462231168025,-1.0413556280240166,-1.34662228673865,-0.487372740756822,-220.1597522249507,-284.6981578728647,-103.0386344094761,0.7890827537894815,-0.2672942035516708,-1.1583614091628325,0.7425630434886845,-0.34668700357323723,-1.5024225765520711,0.8893776206993285,-0.12438178870937612,-0.5390280153072404,-244.89670383992228,-317.63690836196014,-113.95941127002968,-0.11700578113881588,-0.1558002898134212,-0.0516552745504184,-24.736951614971645,-32.93875048909539,-10.920776860553577,0.9158
37119005604,37119005604,Census Tract 56.04; Mecklenburg County; North Carolina,3106,566,287,Charlotte city,North Carolina,150703,0.6849336711496512,0.23479238613090372,37119,3106,566,287,0.00804399999999999,0.009162065641,0.004054771124,0.7875868795071368,0.6963310602173213,0.836803368233959,-0.2697011923634241,-0.43609851280783773,-0.19502387055451417,-6.738393671599517,-10.895774813403522,-4.8726058777840295,-216.9476391371383,-350.79764370262467,-156.87720147405116,0.7690035060130069,0.6715793662271241,0.8220263926474952,-0.3003841883434612,-0.4890272844711045,-0.2165059527824968,-7.504998016674095,-12.218182389342964,-5.409328484270548,-241.62904110348015,-393.3735476285565,-216.9476391371383,-0.7666043450745779,-1.322407575939442,-0.536722606486518,-24.68140196634185,-42.57590392593181,-17.280186944189246,0.8620243155231027,0.8195624658821294,0.9062165069722008,-0.16006008414411085,-0.220163247622203,-0.10348905841623147,-0.36733796612758374,-0.5052747537279068,-0.23750743627530385,-64.90070072925508,-89.27115790245703,-41.96244457160845,0.8493202286118618,0.8034156116639013,0.897336153148218,-0.1774122013253008,-0.24468579584726477,-0.11440957381645184,-0.40716108297417297,-0.5615540130912177,-0.26257002410057395,-71.93658709791042,-99.2144899454448,-46.390463622009534,-0.03982311684658923,-0.05627925936331091,-0.0250625878252701,-7.035886368655342,-9.943332042987793,-4.428019050401078,0.8195624658821294,0.7787801776286407,0.9062165069722008,-0.220163247622203,-0.2840593902183876,-0.10348905841623147,-0.5789220862912536,-0.7469378136083873,-0.27212580779808654,-201.71501264503613,-260.2570779123301,-94.81735463347962,0.8034156116639013,-0.24468579584726477,-0.643404441693241,0.7595500168923865,-0.31656899185044785,-0.8324222284895921,0.897336153148218,-0.11440957381645184,-0.3008414432511028,-224.1827322972965,-290.0425883238997,-104.82280252651664,-0.06448235540198732,-0.08548441488120484,-0.02871563545301625,-22.467719652260392,-29.78551041156963,-10.005447893037022,0.5704
37119001510,37119001510,Census Tract 15.10; Mecklenburg County; North Carolina,2129,1353,681,Charlotte city,North Carolina,72038,0.7471019255529032,0.180718421034632,37119,2129,1353,681,0.00804399999999999,0.009162065641,0.004054771124,0.7678507408379804,0.6700540294331865,0.8211067791327893,-0.3023364396427716,-0.4924169635184824,-0.217868400814019,-5.177715908315662,-8.43297337412135,-3.7311436429790255,-243.19943204864543,-396.1002054542672,-175.25334161479685,0.7478327637728921,0.6437552821259146,0.8050810447235814,-0.33719736342507733,-0.5533853123466972,-0.24211097324163497,-5.774732794072124,-9.477097562408336,-4.14631408378091,-271.24155913913216,-445.1431452516832,-243.19943204864543,-0.597016885756462,-1.044124188286986,-0.41517044080188414,-28.042127090486705,-49.042939797415976,-19.500725260774267,0.8485283651416291,0.8024118610385015,0.8967811529024253,-0.17851098570298066,-0.24624279444944272,-0.11509926001846456,-0.9793300702664866,-1.3509139072932816,-0.631446663955211,-72.38211901452229,-99.84581724266678,-46.67011559166378,0.8347049735710543,0.7849411073167184,0.8870643372821736,-0.19802808376925876,-0.27398092758633774,-0.12731394778403968,-1.0864029260090946,-1.503088227361265,-0.6984577276196482,-80.29585558086434,-111.09299537038174,-51.62289191571679,-0.10707285574260804,-0.15217432006798326,-0.06701106366443721,-7.913736566342059,-11.24717812771495,-4.9527763240530085,0.8024118610385015,0.758357845500152,0.8967811529024253,-0.24624279444944272,-0.31863869535163875,-0.11509926001846456,-1.536399092177333,-1.988103665593109,-0.7181464903289151,-225.6092646369065,-291.93886425743153,-105.4546975519699,0.7849411073167184,-0.27398092758633774,-1.709467476434032,0.7376691181162904,-0.3556213421995988,-2.2188519608703814,0.8870643372821736,-0.12731394778403968,-0.7943584064429204,-251.02312429280943,-325.8226080573247,-116.6458746612218,-0.17306838425669913,-0.23074829527727236,-0.07621191611400535,-25.413859655902954,-33.88374379989315,-11.191177109251887,0.8242
37119005517,37119005517,Census Tract 55.17; Mecklenburg County; North Carolina,2637,2134,676,Charlotte city,North Carolina,0,NA,NA,37119,2637,2134,676,0.00804399999999999,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0707
