geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
37063001100,37063001100,Census Tract 11; Durham County; North Carolina,2227,1325,498,Durham city,North Carolina,8276,0.6347360750363213,0.22782645791880143,37063,2227,1325,498,0.008917,0.009162065641,0.004054771124,0.8038923343669584,0.7182984661771481,0.8496962293641319,-0.24394767464410597,-0.39217894383388274,-0.17689118233271148,-4.8443517107629255,-7.787951823105315,-3.5127332244609764,-217.52814148014937,-349.70596421667335,-157.73386728607886,0.786534317402971,0.6949209952484315,0.8359687828777189,-0.27140034182089295,-0.43901250190678714,-0.19621691680594097,-5.389511140533643,-8.717980065852784,-3.896506732422148,-242.0076848016903,-391.4674479502822,-217.52814148014937,-0.5451594297707176,-0.9300282427474684,-0.38377350796117193,-24.47954332154098,-41.76148373360882,-17.23275742977871,0.8730780621884398,0.8336778051377073,0.9139074506640924,-0.14537295496054534,-0.1995041655628814,-0.09420269992694356,-0.7810266294795576,-1.0718504417757648,-0.5061107633932551,-58.945405998457176,-80.89437296420867,-38.197038746660766,0.8613078064095671,0.8186496178964929,0.9057168339076958,-0.16102512082014309,-0.22152380962380944,-0.10409784003408833,-0.8651190134356688,-1.190152559166952,-0.559273113489315,-65.29200101401273,-89.82283465410958,-42.20929158409925,-0.08409238395611118,-0.11830211739118712,-0.05316235009605985,-6.346595015555561,-8.928461689900915,-4.01225283743848,0.8336778051377073,0.7956707646316673,0.9139074506640924,-0.1995041655628814,-0.25680123544933936,-0.09420269992694356,-0.9102793897489454,-1.1717092283866182,-0.42981947750446126,-182.7870260540051,-235.2829775876743,-86.30913202900828,0.8186496178964929,-0.22152380962380944,-1.0107486110392294,0.7776904057403152,-0.28585873326810457,-1.3042901261712312,0.9057168339076958,-0.10409784003408833,-0.4749681192523601,-202.96156848177296,-261.90564782554844,-95.37512434786346,-0.10046922129028402,-0.13258089778461302,-0.04514864174789884,-20.174542427767875,-26.6226702378741,-9.065992318855187,0.9989
37183053717,37183053717,Census Tract 537.17; Wake County; North Carolina,3167,1738,547,Durham city,North Carolina,204632,0.6938325938572218,0.23390759838195593,37183,3167,1738,547,0.007559,0.009162065641,0.004054771124,0.7847309891406014,0.6925074278376989,0.8345382493541014,-0.2743220464571568,-0.4440278324846608,-0.1982674260574147,-6.567092305820276,-10.629739023675162,-4.74639390078985,-207.3600349169648,-335.6406385751551,-149.8703473567998,0.7659367075947392,0.6675239919585376,0.8195790927256396,-0.3055909059905049,-0.49807349555476904,-0.22013849410719136,-7.315648572096512,-11.923557230029548,-5.269973119320474,-230.99616583822265,-376.4937552898499,-207.3600349169648,-0.7485562662762355,-1.293818206354386,-0.5235792185306236,-23.63613092125783,-40.853116714694856,-16.53234033882613,0.8600793858252616,0.8170851848760503,0.9048598425278144,-0.16268337141981623,-0.22386260148835935,-0.10514352941821624,-1.1464609883376096,-1.577602782105306,-0.7409666618172233,-65.96438367880377,-90.7711612258519,-42.63329469604276,0.8472125736508899,0.8007446942315097,0.8958585568276657,-0.1803413111430864,-0.24883749739949193,-0.11624764018676197,-1.2708998836621035,-1.753605674103512,-0.8192194647632934,-73.12427408872863,-100.89790990238848,-47.13575746624243,-0.12443889532449393,-0.17600289199820596,-0.07825280294607018,-7.159890409924852,-10.126748676536591,-4.502462770199665,0.8170851848760503,0.7758234865595086,0.9048598425278144,-0.22386260148835935,-0.2889529865029372,-0.10514352941821624,-1.121920985622551,-1.4481312075380852,-0.5269425592860931,-205.1043849401373,-264.74062295028983,-96.33319182561118,0.8007446942315097,-0.24883749739949193,-1.2470864203586227,0.7563785690001185,-0.3220892830450401,-1.6141987249761434,0.8958585568276657,-0.11624764018676197,-0.582592474971347,-227.9865485116312,-295.1003153521286,-106.50685100024626,-0.12516543473607178,-0.16606751743805814,-0.0556499156852539,-22.88216357149393,-30.359692401838785,-10.173659174635082,0.1584
37063001709,37063001709,Census Tract 17.09; Durham County; North Carolina,5212,3358,773,Durham city,North Carolina,0,NA,NA,37063,5212,3358,773,0.008917,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9768
37063000900,37063000900,Census Tract 9; Durham County; North Carolina,1445,948,195,Durham city,North Carolina,8676,0.724909752517176,0.17614000410858913,37063,1445,948,195,0.008917,0.009162065641,0.004054771124,0.7748385259664429,0.6793183349220548,0.8266759008989037,-0.2905914800154227,-0.472063903758376,-0.2096639068740586,-3.744290108444923,-6.082574084080421,-2.701533068226192,-259.1204227297525,-420.939382981344,-186.95730575959809,0.7553223347330381,0.6535527856206654,0.811089548219207,-0.3239380778451904,-0.5300982904545666,-0.2329094884720887,-4.1739631890103395,-6.830350928895971,-3.001053898079614,-288.85558401455637,-472.68864559833713,-259.1204227297525,-0.4296730805654163,-0.74777684481555,-0.29952082985342177,-29.735161284803898,-51.74926261699307,-20.728085110963445,0.8533215845079603,0.80849251806032,0.9001379584398315,-0.17189113477847512,-0.23686982583231775,-0.11094081815331386,-0.6607362908632427,-0.9105093775753382,-0.4264479653731004,-69.69792097713531,-96.04529299317912,-44.9839625920992,0.8398930822608304,0.7914866713651948,0.8907174973227988,-0.1906277371736325,-0.263445154768243,-0.12269041868568668,-0.7327583482306007,-1.0126628963837594,-0.47161252540052634,-77.29518441251062,-106.82098063119824,-49.74815668781923,-0.072022057367358,-0.10215351880842116,-0.04516456002742591,-7.597263435375317,-10.775687638019113,-4.7641940957200335,0.80849251806032,0.7655857903387048,0.9001379584398315,-0.23686982583231775,-0.30618934235650774,-0.11094081815331386,-0.42319229406634695,-0.5470387363827643,-0.19820717634644663,-217.0216892647933,-280.53268532449454,-101.6447058186906,0.7914866713651948,-0.263445154768243,-0.4706718511540591,0.7454066287522306,-0.341549647437325,-0.61021355644883,0.8907174973227988,-0.12269041868568668,-0.21919904555640668,-241.37018007900463,-312.930028948118,-112.4097669520034,-0.04747955708771212,-0.06317482006606567,-0.02099186920996001,-24.348490814211345,-32.39734362362342,-10.76506113331283,0.6657
37063000200,37063000200,Census Tract 2; Durham County; North Carolina,2664,1894,682,Durham city,North Carolina,19882,0.6926108424471872,0.2393150259629574,37063,2664,1894,682,0.008917,0.009162065641,0.004054771124,0.7851224660738916,0.6930311361852044,0.8348488687032979,-0.2736866453467213,-0.44293661249407673,-0.1978215908146558,-6.501395607307088,-10.521909620896196,-4.699229733783978,-244.04638165567144,-394.9665773609683,-176.3975125294286,0.7663570292580378,0.6680793090530951,0.8199146555928793,-0.30487483225431855,-0.4968282753994493,-0.21963913338870755,-7.242267494220126,-11.802100037347074,-5.21750301406581,-271.85688792117594,-443.021773173689,-244.04638165567144,-0.7408718869130384,-1.2801904164508784,-0.5182732802818313,-27.810506265504447,-48.05519581272066,-19.454702713281957,0.8603461491262518,0.8174248519208546,0.905045981433062,-0.16232286390260184,-0.22335404612438048,-0.10491623687073512,-1.246596824134875,-1.7153002224221117,-0.8057290546679686,-65.81820613172518,-90.5649536653702,-42.541132770220095,0.8475016278989027,0.8011108634703358,0.8960612748863706,-0.1799387364944255,-0.2482666826762222,-0.1159951088465573,-1.381882084013659,-1.9066227068811512,-0.8908118722576317,-72.96103928266415,-100.6664575966817,-47.03336178762575,-0.13528525987878393,-0.19132248445903952,-0.08508281758966307,-7.142833150938961,-10.101503931311486,-4.492229017405653,0.8174248519208546,0.7762287510243334,0.905045981433062,-0.22335404612438048,-0.28828003173081607,-0.10491623687073512,-1.3956341824702196,-1.8013260712683783,-0.655572124229171,-204.63844317745156,-264.12405737072993,-96.12494490163796,0.8011108634703358,-0.2482666826762222,-1.5513015086302542,0.7568131981429418,-0.3213300223275529,-2.0078398882665223,0.8960612748863706,-0.1159951088465573,-0.7247987744778006,-227.46356431528653,-294.4046756989036,-106.27548012870976,-0.15566732616003454,-0.20651381699814397,-0.06922665024862962,-22.825121137834977,-30.2806183281736,-10.15053522707179,0.7516
37063002009,37063002009,Census Tract 20.09; Durham County; North Carolina,3218,2213,828,Durham city,North Carolina,51856,0.6486007781069343,0.26223100244884073,37063,3218,2213,828,0.008917,0.009162065641,0.004054771124,0.799355277321601,0.7121626545531158,0.8461154615910679,-0.2510081916900568,-0.40417360220538806,-0.18187179574707424,-7.202656465776161,-11.597723522965005,-5.218794083013496,-223.82400453002364,-360.4016010865446,-162.17508026766612,0.7816526978104009,0.6883940617255032,0.8320943907352879,-0.2793405598179894,-0.452656342638164,-0.20178673373382647,-8.015651105964583,-12.988931202305908,-5.79025135653918,-249.0879771897012,-403.63366073045086,-223.82400453002364,-0.812994640188422,-1.3912076793409032,-0.5714572735256844,-25.263972659677503,-43.232059643906254,-17.75815020278696,0.870010897930327,0.8297549885284005,0.9117766915751964,-0.1494108894255286,-0.20517503820439215,-0.09675977598460868,-1.340695062599038,-1.8410783962724833,-0.868245644072772,-60.582696005379034,-83.1937820276766,-39.233874562709985,0.857979995391255,0.8144133035284367,0.9033942757874932,-0.16552834025457805,-0.22787778105724824,-0.10693639178562994,-1.4853203093348843,-2.044794841354291,-0.9595625394533932,-67.11795342679098,-92.39922464321242,-43.3602593517123,-0.14462524673584642,-0.20371644508180783,-0.09131689538062128,-6.5352574214119485,-9.205442615535826,-4.126384789002317,0.8297549885284005,0.7909692579411592,0.9117766915751964,-0.20517503820439215,-0.26427163882820676,-0.09675977598460868,-1.5564968950405118,-2.0048149564549025,-0.7340380789149764,-187.98271679233233,-242.12741019986743,-88.65194189794401,0.8144133035284367,-0.22787778105724824,-1.7287242238063618,0.7726371121918149,-0.29426866017761266,-2.232378070366947,0.9033942757874932,-0.10693639178562994,-0.8112398235079535,-208.78311881719347,-269.610878063641,-97.97582409516347,-0.17222732876585,-0.22756311391204465,-0.07720174459297713,-20.80040202486111,-27.48346786377351,-9.32388219721946,0.9564
37063001808,37063001808,Census Tract 18.08; Durham County; North Carolina,8067,5391,1641,Durham city,North Carolina,345348,0.7805062903096317,0.16870829789309505,37063,8067,5391,1641,0.008917,0.009162065641,0.004054771124,0.7574511436273648,0.6563467716038724,0.8127946186689757,-0.32021716306492165,-0.5235848537143928,-0.23032310626956404,-23.034321766083597,-37.6632591359882,-16.567933115132202,-285.5376443049907,-466.880614057124,-205.37911386057024,0.7366990133377324,0.6292839987076273,0.7961206731420543,-0.357406460298271,-0.5891076239880869,-0.2560909843645863,-25.7094758100716,-42.37653733458199,-18.421505202239928,-318.69934064796826,-525.3072683101772,-285.5376443049907,-2.6751540439880053,-4.713278198593791,-1.8535720871077253,-33.16169634297763,-58.426654253053066,-22.977216897331417,0.8413641756888292,0.7933451809570006,0.8917519704599419,-0.18854596962283887,-0.2604853776179932,-0.12138804636924616,-4.121477470357089,-5.694020494617736,-2.653454217463728,-76.45107531732683,-105.62085873896748,-49.22007452167924,0.826956029266816,0.7751904376391253,0.8815937150818705,-0.20925413759496475,-0.29000559274897864,-0.13430935689818702,-4.574142928654686,-6.339310880966643,-2.935904647664102,-84.8477634697586,-117.59063032770624,-54.45937020337789,-0.45266545829759686,-0.6452903863489068,-0.2824504302003743,-8.396688152431773,-11.969771588738764,-5.239295681698652,0.7933451809570006,0.7476065722219528,0.8917519704599419,-0.2604853776179932,-0.33760193817974554,-0.12138804636924616,-3.916384554469287,-5.075828164854042,-1.8250631733920355,-238.65841282567257,-309.3131118131653,-111.21652488677852,0.7751904376391253,-0.29000559274897864,-4.360219504595163,0.7261735424177108,-0.3770812919878844,-5.669398264214364,0.8815937150818705,-0.13430935689818702,-2.019334427470866,-265.7050277023256,-345.4843549186084,-123.05511441016856,-0.443834950125876,-0.5935700993603223,-0.1942712540788305,-27.04661487665302,-36.17124310544317,-11.838589523390038,0.1848
37063002038,37063002038,Census Tract 20.38; Durham County; North Carolina,4956,2622,1208,Durham city,North Carolina,237119,0.6656277430498416,0.2570425944443612,37063,4956,2622,1208,0.008917,0.009162065641,0.004054771124,0.793818426185481,0.704699048018287,0.841738630638933,-0.2597339227879591,-0.41904548163097555,-0.1880172343295408,-11.478330862363148,-18.5187311418901,-8.308980206727853,-231.60473895002315,-373.662855970341,-167.65496785165158,0.7756991099508324,0.680462275746401,0.8273608850298958,-0.2891596589087036,-0.4695891831815324,-0.20866240850129875,-12.77873217859104,-20.75239135530572,-9.22134520437974,-257.843667848891,-418.73267464297254,-231.60473895002315,-1.300401316227893,-2.233660213415618,-0.9123649976518884,-26.238928898867893,-45.06981867263151,-18.409301808956588,0.8662589125506542,0.8249627004647778,0.9091667443220608,-0.15438927728379973,-0.21217601648729997,-0.09990824702422538,-1.6414065668369917,-2.2557726346978115,-1.0621855068683812,-62.60131833855803,-86.03251848580517,-40.5105075083288,0.8539107628020383,0.8092407506698327,0.9005501352778763,-0.17108255752460816,-0.23572620282934365,-0.11043234665823148,-1.818883010093769,-2.5061490286555905,-1.1740736285904003,-69.370061407085,-95.58158004025898,-44.777789038535495,-0.17747644325677747,-0.250376393957779,-0.11188812172201934,-6.768743068526983,-9.549061554453813,-4.267281530206687,0.8249627004647778,0.7852334217779703,0.9091667443220608,-0.21217601648729997,-0.2735066698202211,-0.09990824702422538,-2.3483164733270687,-3.027110363070169,-1.1057620281143403,-194.39705905025403,-250.58860621441792,-91.53659173131958,0.8092407506698327,-0.23572620282934365,-2.6089646439003604,0.7664761641918563,-0.3046720129312338,-3.37204137759349,0.9005501352778763,-0.11043234665823148,-1.2222403980386396,-215.9738943626126,-279.1424981451565,-101.17884089723836,-0.2606481705732917,-0.34493101452332153,-0.11647836992429904,-21.576835312358583,-28.553891930738537,-9.642249165918797,0.2024
37063001400,37063001400,Census Tract 14; Durham County; North Carolina,1872,1312,803,Durham city,North Carolina,32891,0.6288459812455224,0.2590579245526821,37063,1872,1312,803,0.008917,0.009162065641,0.004054771124,0.8058275819909418,0.7209210950170221,0.8512220171623189,-0.2409602529728758,-0.3871143553877952,-0.17478164314129893,-4.022258901821099,-6.46195437949084,-2.9175642510598823,-214.8642575759134,-345.189870699297,-155.85279118909628,0.7886173748675285,0.697712505338119,0.8376201824274656,-0.26804205926604074,-0.43325509052670513,-0.1938585303686803,-4.474325311513734,-7.232164322248251,-3.236007556636962,-239.01310424752853,-386.33356422266297,-214.8642575759134,-0.4520664096926357,-0.7702099427574112,-0.3184433055770799,-24.148846671615154,-41.14369352336598,-17.010860340655977,0.874384345350088,0.8353499295865296,0.914814160030994,-0.14366182939793792,-0.19710311162049973,-0.09311819131234246,-0.7642607787524701,-1.0485609031495486,-0.4953757146671407,-58.25158374637729,-79.9208005449351,-37.75729532523938,0.8627254524030548,0.8204559792426506,0.9067053245127844,-0.1591173034417585,-0.21883443511872944,-0.10289415200836872,-0.8464817324895972,-1.1641684955746336,-0.547382454146304,-64.51842473243882,-88.73235484562755,-41.721223639200005,-0.08222095373712712,-0.115607592425085,-0.05200673947916334,-6.266840986061519,-8.811554300692455,-3.9639283139606207,0.8353499295865296,0.797676537635545,0.914814160030994,-0.19710311162049973,-0.2536409845576976,-0.09311819131234246,-1.450114932310032,-1.866071905861691,-0.6850834498834267,-180.58716467123688,-232.3875349765493,-85.31549811748776,0.8204559792426506,-0.21883443511872944,-1.6099952936323707,0.7798471691252464,-0.28230253258686405,-2.076938890347656,0.9067053245127844,-0.10289415200836872,-0.757006548744892,-200.49754590689548,-258.64743341813903,-94.27229747757062,-0.15988036132233874,-0.2108669844859652,-0.0719230988614653,-19.910381235658623,-26.25989844158969,-8.956799360082853,0.9687
37063001001,37063001001,Census Tract 10.01; Durham County; North Carolina,2261,1380,647,Durham city,North Carolina,68498,0.6665866434103802,0.22957300493925303,37063,2261,1380,647,0.008917,0.009162065641,0.004054771124,0.7935077529218408,0.704281057548318,0.8414928170323188,-0.260227132397657,-0.419887684443925,-0.18836427330025976,-5.246526912812781,-8.46549710822363,-3.79767559276664,-232.04453395899077,-374.4138482186479,-167.96442250184165,0.775365176301987,0.6800183129775828,0.8270951125627293,-0.28971487315097433,-0.4705486321703893,-0.20905079090786807,-5.841039191509046,-9.48688954807626,-4.214743445610065,-258.3387523887239,-419.5882153063362,-232.04453395899077,-0.5945122786962651,-1.0213924398526313,-0.417067852843425,-26.29421842973309,-45.174367087688246,-18.446167750704337,0.8660480955162877,0.8246936399696756,0.9090199834463089,-0.1546702835295284,-0.21257149507879133,-0.10008582672601388,-0.8654705871670658,-1.1894616888427678,-0.5600386657798258,-62.71525993964245,-86.19287600309912,-40.58251201303085,0.8536821724631923,0.8089504293226322,0.9003902296207346,-0.1713961381138205,-0.2361696882185248,-0.1106295549444416,-0.9590615139928684,-1.321507364370529,-0.6190369842925766,-69.49721115890353,-95.76140321525573,-44.85775248496932,-0.09359092682580272,-0.13204567552776125,-0.05899831851275083,-6.7819512192610665,-9.568527212156614,-4.275240471938466,0.8246936399696756,0.7849116391422244,0.9090199834463089,-0.21257149507879133,-0.27402875703669116,-0.10008582672601388,-1.2600933123823543,-1.6244031402911978,-0.5932944154857768,-194.75939913173943,-251.0669459491805,-91.69929141974912,0.8089504293226322,-0.2361696882185248,-1.3999800142595906,0.7661306656110634,-0.30526037513771,-1.8095396897113651,0.9003902296207346,-0.1106295549444416,-0.6557961230204268,-216.3802185872628,-279.6815594607983,-101.359524423559,-0.13988670187723629,-0.18513654942016733,-0.06250170753465001,-21.620819455523385,-28.614613511617826,-9.660233003809894,0.9369
37063000101,37063000101,Census Tract 1.01; Durham County; North Carolina,3047,1897,861,Durham city,North Carolina,1542,0.5910965938884499,0.2897892667459989,37063,3047,1897,861,0.008917,0.009162065641,0.004054771124,0.8183416008129015,0.7379582704291738,0.8610659930745928,-0.22198358119231343,-0.35509017253567843,-0.1613511717369282,-6.031315877369694,-9.647835141721464,-4.383927309858342,-197.9427593491859,-316.6339068500645,-143.8768398378189,0.802099216748389,0.7158713548757458,0.8482816672791592,-0.2467285581625129,-0.3968990282808153,-0.17885372108473507,-6.703639351402735,-10.783785891393553,-4.85947330839064,-220.00785531351283,-353.91486351800296,-197.9427593491859,-0.6723234740330408,-1.1359507496720855,-0.47554599853229806,-22.065095964326908,-37.28095666793848,-15.607023253439383,0.8828027918863749,0.8461464260866663,0.9206466215990082,-0.13275581952249818,-0.1818285454739665,-0.08619309139826996,-1.0211445973406557,-1.3986071384357244,-0.6629887105967258,-53.829446354278105,-73.72731357067603,-34.94932580899978,0.8718666541878204,0.8321278873141303,0.913066187141557,-0.1469643840565747,-0.20173835686208352,-0.09521085555757776,-1.1304354665629983,-1.5517514330223858,-0.7323524581483637,-59.5906940729045,-81.80028640075834,-38.60582278062012,-0.10929086922234266,-0.15314429458666146,-0.06936374755163788,-5.761247718626392,-8.072972830082312,-3.6564969716203417,0.8461464260866663,0.8106520530769707,0.9206466215990082,-0.1818285454739665,-0.23357486877918365,-0.08619309139826996,-1.4343614844434698,-1.842564348944687,-0.6799375213860208,-166.59250690400344,-214.0028279842842,-78.97067611916619,0.8321278873141303,-0.20173835686208352,-1.591420798442865,0.7938125041461082,-0.25974332071738343,-2.0489951899868486,0.913066187141557,-0.09521085555757776,-0.7510745012930498,-184.8340067877892,-237.97853542239824,-87.2328108354297,-0.1570593139993952,-0.2064308410421616,-0.07113697990702894,-18.24149988378574,-23.975707438114007,-8.262134716263523,0.5424
