geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06019003102,06019003102,Census Tract 31.02; Fresno County; California,4341,2837,778,Fresno city,California,85186,0.42843279580004107,0.19646644449870057,06019,4341,2837,778,0.010848,0.009493868073,0.003212018401,0.8745263811064612,0.8160993994836963,0.9048030106905116,-0.1434760821449298,-0.225340933509629,-0.10521294490039051,-6.75645628826869,-10.61156775717877,-4.954600464079034,-155.64285391081984,-244.4498446712456,-114.13500262794363,0.8628796097182435,0.7996820800961625,0.8957966638824691,-0.15891022193296522,-0.2504969473365579,-0.11632476466914216,-7.483267957962551,-11.796193830513005,-5.477869035595038,-172.38580875288068,-271.73908847069805,-155.64285391081984,-0.7268116696938609,-1.1846260733342326,-0.5232685715160041,-16.742954842060836,-27.289243799452493,-12.054102085141768,0.9200152598647164,0.8942880534627901,0.946207303487263,-0.08693849289743849,-0.11820793773089182,-0.05685085743312602,-0.7922266864778306,-1.0771693838125107,-0.5180532225328692,-27.924803894178027,-37.968607113588675,-18.26060001878284,0.9123774312239472,0.8843520198775797,0.9409898209121262,-0.09603763286703362,-0.13077143210282863,-0.06271075178121867,-0.8751425649071279,-1.1916541785811996,-0.5714514875335774,-30.84746439573944,-42.004024623940765,-20.14280886618179,-0.08291587842929737,-0.11448479476868888,-0.05339826500070821,-2.922660501561416,-4.035417510352094,-1.88220884739895,0.8942880534627901,0.8690221479385724,0.946207303487263,-0.11820793773089182,-0.15071865817473495,-0.05685085743312602,-0.8731109403468219,-1.1132425782297015,-0.4199134723588692,-112.22505659984856,-143.09030568505165,-53.973454030702975,0.8843520198775797,-0.13077143210282863,-0.9659077913509918,0.8569074715379044,-0.16698714063641595,-1.2334053210437324,0.9409898209121262,-0.06271075178121867,-0.46319599604390194,-124.1526724101532,-158.53538830896304,-59.536760416953975,-0.0927968510041699,-0.1201627428140306,-0.04328252368503277,-11.927615810304614,-15.44508262391139,-5.563306386250999,0.9464
06019000501,06019000501,Census Tract 5.01; Fresno County; California,1747,1091,449,Fresno city,California,44038,0.4452988870721577,0.2062547650238043,06019,1747,1091,449,0.010848,0.009493868073,0.003212018401,0.8685258821562712,0.8076269033271108,0.9001667055193037,-0.1513761656904463,-0.23819550324585068,-0.11090533994267517,-2.8687987435312023,-4.514151599161596,-2.101817670088651,-164.21286454099612,-258.3944819210988,-120.310112769814,0.8563692046080441,0.7905545731671242,0.8907487882200026,-0.16772064504315634,-0.26493481151313103,-0.12265097996744496,-3.1785504248269953,-5.020900423259397,-2.324414650209915,-181.943355742816,-287.4012835294446,-164.21286454099612,-0.309751681295793,-0.5067488240978006,-0.22259698012126392,-17.730491201819863,-29.006801608345775,-12.741670298870288,0.9160850337182804,0.8891717116719406,0.9435243532148276,-0.0916017216667306,-0.1246421662691732,-0.05985605627745096,-0.32100101937248965,-0.43678504837242066,-0.2097543008043403,-29.422641555681913,-40.03529315970859,-19.225875417446407,0.9080909903625984,0.8787881685982544,0.9380552655337876,-0.10121123391027426,-0.1379306592111832,-0.06603527184612475,-0.3546757491671183,-0.4833520746541832,-0.2314082005387058,-32.50923457077161,-44.30358154483806,-21.210650828478993,-0.03367472979462865,-0.04656702628176257,-0.02165389973436551,-3.0865930150897025,-4.268288385129475,-1.9847754110325864,0.8891717116719406,0.8627796257202144,0.9435243532148276,-0.1246421662691732,-0.15904452329323315,-0.05985605627745096,-0.5313179910187149,-0.6779665271237298,-0.2551512102490141,-118.33362828924608,-150.9947721879131,-56.826550166818286,0.8787881685982544,-0.1379306592111832,-0.5879634713160301,0.8501388611563306,-0.1762784242562835,-0.7514302826984599,0.9380552655337876,-0.06603527184612475,-0.28149164142323796,-130.94954817728956,-167.35641040054787,-62.69301590717995,-0.0566454802973152,-0.07346375557473006,-0.02634043117422385,-12.615919888043472,-16.36163821263476,-5.866465740361661,0.9836
06019002906,06019002906,Census Tract 29.06; Fresno County; California,3085,2006,912,Fresno city,California,58133,0.4773343218853474,0.23487793455133024,06019,3085,2006,912,0.010848,0.009493868073,0.003212018401,0.8572416773739361,0.7917756994581462,0.891425828203904,-0.1665321768575089,-0.2629839494750251,-0.12179832394452542,-5.573179153287541,-8.801041891847149,-4.076112452993403,-180.65410545502564,-285.28498839050724,-132.12682181502117,0.8441382995167769,0.7735036822030734,0.8812390518059121,-0.18464000575787812,-0.29281866784631916,-0.13476587079375632,-6.17917720389361,-9.799492963638343,-4.510085413253512,-200.29747824614617,-317.649690879687,-180.65410545502564,-0.6059980506060683,-0.9984510717911944,-0.43397296026010945,-19.643372791120527,-32.36470248917973,-14.067194822045684,0.9086661384728548,0.8795341997016566,0.9384492902167572,-0.10051421271254242,-0.13696545323559467,-0.06558767791174537,-0.6476441225941971,-0.8825107255246344,-0.42260166963276313,-32.28535007947144,-43.99355560940351,-21.06688283313874,0.9000047027927177,0.8683164012386214,0.9325065503941636,-0.11110530522451333,-0.151653934641263,-0.07237852600317647,-0.7158858033686956,-0.9771531486754872,-0.4663572016630764,-35.68722848298582,-48.71152286517882,-23.248115735945984,-0.06824168077449844,-0.0946424231508527,-0.04375553203031329,-3.4018784035143788,-4.717967255775309,-2.1812329028072432,0.8795341997016566,0.8510457963367543,0.9384492902167572,-0.13696545323559467,-0.17502489796013912,-0.06558767791174537,-1.1859027325425766,-1.515436921140149,-0.5678848543133763,-130.0331943577387,-166.16632907238477,-62.26807613085266,0.8683164012386214,-0.151653934641263,-1.3130815927907902,0.8374294389457199,-0.19413045863177203,-1.6808606544393372,0.9325065503941636,-0.07237852600317647,-0.6266827855994299,-143.9782448235515,-184.30489632010276,-68.71521771923574,-0.12717886024821357,-0.16542373329918814,-0.05879793128605359,-13.94505046581289,-18.138567247717997,-6.44714158838307,0.9663
06019003401,06019003401,Census Tract 34.01; Fresno County; California,2796,1488,768,Fresno city,California,46130,0.4443032421243942,0.20905246088874233,06019,2796,1488,768,0.010848,0.009493868073,0.003212018401,0.8688789594101901,0.8081246027073269,0.9004397364781025,-0.15090829300184355,-0.23743293626980855,-0.11056849169196864,-4.577200642305261,-7.201580289463054,-3.3536538060570344,-163.7053162483999,-257.5672492654884,-119.94469978744758,0.8567521611811855,0.7910904861050412,0.8910459845619528,-0.16719868978366142,-0.2640778995125215,-0.12227653491038408,-5.071304797417753,-8.009748882737485,-3.7087705585791384,-181.3771386773159,-286.4717053911833,-163.7053162483999,-0.49410415511249184,-0.8081685932744307,-0.35511675252210395,-17.671822428916016,-28.904456125694946,-12.700885283337051,0.9163165771760056,0.8894729267141672,0.9436825225662928,-0.09132588551644248,-0.12426131247651873,-0.05967841523710221,-0.4364905520524518,-0.5939048778439997,-0.28523199381152753,-29.334042476643265,-39.9129622206989,-19.16881678840911,0.9083434687841816,0.8791156414186599,0.9382282447681348,-0.10090514696880108,-0.13750677713601445,-0.06583872908998907,-0.48227447296326487,-0.6572113560535497,-0.31467511149122235,-32.41091888193984,-44.16742984230845,-21.147520933549888,-0.04578392091081307,-0.06330647820955004,-0.02944311767969482,-3.0768764052965776,-4.254467621609546,-1.978704145140781,0.8894729267141672,0.863146887842579,0.9436825225662928,-0.12426131247651873,-0.1585513590849908,-0.05967841523710221,-0.9060253495525614,-1.156044046807874,-0.4351326728192728,-117.97205072298976,-150.52656859477523,-56.65790010667614,0.8791156414186599,-0.13750677713601445,-1.0026018825774596,0.8505369390447244,-0.17572788916510104,-1.2812831204968207,0.9382282447681348,-0.06583872908998907,-0.48004931180109583,-130.5471201272734,-166.83373964802354,-62.50642080743435,-0.0965765330248982,-0.12523907368894682,-0.04491663898182307,-12.57506940428362,-16.307171053248286,-5.848520700758213,0.9961
06019002400,06019002400,Census Tract 24; Fresno County; California,3019,2035,571,Fresno city,California,72424,0.42918601956602304,0.2228166762839044,06019,3019,2035,571,0.010848,0.009493868073,0.003212018401,0.87425752222795206,0.8157191366163151,0.9045954491752098,-0.14382773333377408,-0.22591214930680725,-0.10546653856348484,-4.710374375387235,-7.39864819195866,-3.4540409502064477,-156.02432512047812,-245.0694995680245,-114.41010103366835,0.8625878081088338,0.7992722151373512,0.8955706214668677,-0.15930226534552258,-0.25113819930316805,-0.11660652552680428,-5.217167031919583,-8.224804154657075,-3.818876770933699,-172.81109744682288,-272.4347186040767,-156.02432512047812,-0.5067926565323484,-0.8261559626984152,-0.3648358207272513,-16.786772326344764,-27.365219036052174,-12.08465785780892,0.9198393805020108,0.8940589356902771,0.9460873228676302,-0.08714632271369023,-0.11849449748850048,-0.05698488482961406,-0.5696282299964696,-0.7745342404228847,-0.3724792747559778,-27.991559213585727,-38.06065063503119,-18.303649865158615,0.9121855718954688,0.884102793708029,0.9408585708064748,-0.0962681616658966,-0.13109019348970127,-0.06285900030950568,-0.6292527421371511,-0.8568654713379268,-0.4108751806233848,-30.92151067013027,-42.10641136795709,-20.190426566259696,-0.05962451214068154,-0.08233123091504213,-0.03839590586740699,-2.9299514565445475,-4.045760732925903,-1.8867767011010803,0.8940589356902771,0.8687424016743183,0.9460873228676302,-0.11849449748850048,-0.151089204432419,-0.05698488482961406,-0.6423585132499167,-0.8190543762316062,-0.3089149848533768,-112.49711265322534,-143.44209741359126,-54.1006978727455,0.884102793708029,-0.13109019348970127,-0.7106397645161576,0.8566040453405381,-0.1674005107020661,-0.9074779458201552,0.9408585708064748,-0.06285900030950568,-0.34075855705543356,-124.45530026552672,-158.92783639582402,-59.677505613911315,-0.06828125126624096,-0.08842356958854891,-0.03184357220205675,-11.958187612301394,-15.485738982232734,-5.576807741165805,0.9498
06019002701,06019002701,Census Tract 27.01; Fresno County; California,2810,1909,406,Fresno city,California,56878,0.4754507398623371,0.18156193738062387,06019,2810,1909,406,0.010848,0.009493868073,0.003212018401,0.8579010774804877,0.7926990313898865,0.8919374074739624,-0.16563555665046267,-0.26151283198446745,-0.1211549057372528,-5.049048797109256,-7.9716642758426834,-3.693150452999989,-179.6814518544219,-283.6891201367503,-131.42884174377184,0.8448525799032326,0.774495966389417,0.8817953742789223,-0.18363845218361957,-0.2911623086455165,-0.13404994987384475,-5.597828901299014,-8.875465714964243,-4.086228536010425,-199.21099292879055,-315.8528724186563,-179.6814518544219,-0.548780104189758,-0.9038014391215592,-0.3930780830104359,-19.529541074368613,-32.16375228190602,-13.988543879374944,0.9091006787704098,0.8800979533811574,0.9387469310659696,-0.09998817881484227,-0.1362371610548614,-0.06524982069925508,-0.6131018282800501,-0.8353712760094831,-0.40009513964385185,-32.11638702357517,-43.75962682082154,-20.9583624747958,0.9004781521809947,0.8689286406225007,0.932831887191828,-0.11052111323074228,-0.15084248953239668,-0.0720045205684093,-0.677687076497248,-0.9249273985266216,-0.4415132241449241,-35.49958493961488,-48.4508852030708,-23.12798450209136,-0.06458524821719791,-0.08955612251713851,-0.04141808450107226,-3.383197916039702,-4.691258382249267,-2.169622027295561,0.8800979533811574,0.8517312713955929,0.9387469310659696,-0.1362371610548614,-0.17407923553336646,-0.06524982069925508,-0.5251275592801324,-0.6709902303394047,-0.2515061149392867,-129.34176336949076,-165.26852964024746,-61.94731895056323,0.8689286406225007,-0.15084248953239668,-0.5814239503419237,0.8381714273552828,-0.19307335869863948,-0.7442032763337313,0.932831887191828,-0.0720045205684093,-0.27754217608805365,-143.20786954234575,-183.30129958958895,-68.36014189360928,-0.05629639106179129,-0.07321304599432654,-0.02603606114876694,-13.866106172855,-18.03276994934151,-6.412822943046045,0.8454
06019002501,06019002501,Census Tract 25.01; Fresno County; California,2699,1518,487,Fresno city,California,57006,0.46966729916078537,0.20261854173141375,06019,2699,1518,487,0.010848,0.009493868073,0.003212018401,0.8599289025491005,0.7955408081560587,0.8935100204157922,-0.1628868352205451,-0.2570065416478714,-0.11918162880216276,-4.769123252487205,-7.524830795285698,-3.4894893526545805,-176.69963884724731,-278.8006963796109,-129.28823092458614,0.8470495198311505,0.7775506851527567,0.883505729164826,-0.1805685223684896,-0.28608979336638507,-0.1318545731959153,-5.28682098543346,-8.376352109705634,-3.8605373486690513,-195.88073306533752,-310.35020784385455,-176.69963884724731,-0.5176977329462549,-0.8515213144199354,-0.3710479960144708,-19.181094218090212,-31.549511464243626,-13.747610078342747,0.910436211180324,0.8818311888353527,0.9396614118659375,-0.09837458980631077,-0.13400389174340108,-0.0642131169505457,-0.4796591468407223,-0.6533820625176618,-0.3130931366842296,-31.598099264869717,-43.04229660854162,-20.625371323071786,0.9019334108674584,0.8708111887480279,0.933831526387856,-0.10872930080084668,-0.14835456057668242,-0.07085697124414886,-0.5301471016184787,-0.723353684078862,-0.345487533331557,-34.92405149001836,-47.651757844457315,-22.7593895475334,-0.05048795477775636,-0.06997162156120018,-0.0323943966473274,-3.32595222514864,-4.60946123591569,-2.134018224461621,0.8818311888353527,0.8538394390548151,0.9396614118659375,-0.13400389174340108,-0.17118038153283485,-0.0642131169505457,-0.6195688362369662,-0.7914548480128086,-0.2968902292508006,-127.22152694804235,-162.51639589585392,-60.96308608846008,0.8708111887480279,-0.14835456057668242,-0.685919350931597,0.8404537749939576,-0.1898334325492077,-0.8776974858953909,0.933831526387856,-0.07085697124414886,-0.327608180940576,-140.84586261429095,-180.22535644669216,-67.2706737044304,-0.06635051469463071,-0.08624263788258224,-0.03071795168977537,-13.624335666248609,-17.708960550838242,-6.307587615970302,0.9837
06019005203,06019005203,Census Tract 52.03; Fresno County; California,2842,1810,499,Fresno city,California,56933,0.4820480860678208,0.19270925376864223,06019,2842,1810,499,0.010848,0.009493868073,0.003212018401,0.8555937139423331,0.7894697229672062,0.8901468594713395,-0.16877904045400677,-0.26667302229339457,-0.12341013099108446,-5.203460517661676,-8.221533544073711,-3.8047363130172296,-183.09150308450657,-289.2868945838744,-133.87531009912843,0.8423534203814546,0.7710260064243003,0.8798483629833509,-0.18715016263263484,-0.2969731133163541,-0.13655948237403573,-5.769842508366734,-9.15568583511301,-4.210131026543239,-203.02049642388224,-322.1564333255809,-183.09150308450657,-0.5663819907050582,-0.9341522910392984,-0.4053947135260096,-19.92899333937573,-32.86953874170649,-14.264416380225532,0.9075795883546796,0.8781249582837115,0.937704841691579,-0.1018317432775965,-0.13879008968665726,-0.06643365325494455,-0.592024634116522,-0.8068913427294702,-0.3862288712279692,-32.7085433213548,-44.579632194998354,-21.338611670053545,0.8988209612009552,0.8667861295402788,0.93169287494963,-0.11256862397140238,-0.15368712756210628,-0.0733150664633588,-0.6544462097442235,-0.8934990459246387,-0.4262357100170321,-36.15724915713942,-49.36458817263197,-23.54893425508465,-0.06242157562770156,-0.08660770319516853,-0.04000683878906291,-3.4487058357846165,-4.78495597763362,-2.2103225850311,0.8781249582837115,0.8493327753647345,0.937704841691579,-0.13879008968665726,-0.17739480802511534,-0.06643365325494455,-0.657509745861156,-0.8403972892085777,-0.3147254574653254,-131.76548013249618,-168.41629042256065,-63.07123396098704,0.8667861295402788,-0.15368712756210628,-0.7280835714828866,0.83557545093539,-0.1967800141573618,-0.9322335434127196,0.93169287494963,-0.0733150664633588,-0.34732574081441114,-145.9085313592959,-186.8203493813065,-69.6043568766355,-0.07057382562173065,-0.09183625420414177,-0.03260028334908577,-14.143051226799727,-18.404058958745846,-6.533122915648451,0.9853
06019005304,06019005304,Census Tract 53.04; Fresno County; California,3628,1157,419,Fresno city,California,65647,0.488839894254294,0.2159515230692057,06019,3628,1157,419,0.010848,0.009493868073,0.003212018401,0.8532248217065517,0.786158970556494,0.8883072885600446,-0.17202403699400168,-0.2720073642257565,-0.1257365698541216,-6.770271581012055,-10.705269798475012,-4.94855684387281,-186.61167533109304,-295.0735887121007,-136.3990309777511,0.8397883187777333,0.7674700064522043,0.8778484528568045,-0.19077626782835724,-0.3029825160499962,-0.13914878672471845,-7.508294578942526,-11.924344724152382,-5.476415347277998,-206.95409534020192,-328.6754334110359,-186.61167533109304,-0.7380229979304715,-1.2190749256773703,-0.5278585034051879,-20.34242000910892,-33.60184469893523,-14.549572861223483,0.9060163212483368,0.8760984280200929,0.9366332443556846,-0.1037328760503669,-0.14142426012555925,-0.06765375457915306,-0.3855030360084324,-0.5255757260328706,-0.2514220060279591,-33.31919066624308,-45.42573258711069,-21.73051046049776,0.897118109124577,0.8645859847608183,0.9305217422649488,-0.11468043040154086,-0.15662295899538908,-0.07466591545291233,-0.4261874901557919,-0.5820587310432828,-0.27748133657714025,-36.835565268434905,-50.30758263122583,-23.982829436226467,-0.04068445414735949,-0.05648300501041214,-0.02605933054918113,-3.5163746021918323,-4.881850044115138,-2.2523189757287065,0.8760984280200929,0.8468706373634614,0.9366332443556846,-0.14142426012555925,-0.1808178910456407,-0.06765375457915306,-0.5625759092725976,-0.7192810439838428,-0.2691219488387739,-134.26632679536937,-171.66612028254005,-64.22958206175988,0.8645859847608183,-0.15662295899538908,-0.6230352804502421,0.8329113550220539,-0.20060795662165257,-0.7980045538406719,0.9305217422649488,-0.07466591545291233,-0.2970158390102234,-148.69577099051125,-190.4545474560076,-70.88683508597217,-0.06045937117764455,-0.07872350985682908,-0.02789389017144949,-14.429444195141896,-18.78842717346756,-6.657253024212292,0.8684
06019001202,06019001202,Census Tract 12.02; Fresno County; California,2348,1400,494,Fresno city,California,110847,0.4301721161044826,0.25939685065763574,06019,2348,1400,494,0.010848,0.009493868073,0.003212018401,0.8739056656912644,0.8152215764035647,0.9043237882271236,-0.14428826732573508,-0.22666036933370265,-0.10579862325688036,-3.6751814630336,-5.77328983997715,-2.694807736032818,-156.52391239495742,-245.8811686532006,-114.77034650906384,0.8622059398983246,0.7987359505150466,0.89527478015801365,-0.15981571655366317,-0.251978203003349,-0.11697550535658184,-4.070682737172876,-6.418163014431415,-2.9794952623900532,-173.3680893174138,-273.34595461803303,-156.52391239495742,-0.3955012741392761,-0.6448731744542648,-0.2846875263572346,-16.84417692245639,-27.4647859648324,-12.124681701756158,0.9196091756695982,0.8937590707334895,0.9459302710618394,-0.08741846695023082,-0.11886976339084404,-0.0571603749158651,-0.3931056142038925,-0.53453661426747,-0.2570402464529446,-28.078972443135186,-38.18118673339071,-18.360017603781756,0.911934456762082,0.8837766209155773,0.9406867700242376,-0.09657003591091833,-0.13150764156220526,-0.0630531138162325,-0.4342586252635406,-0.591366950397882,-0.2835388665453206,-31.01847323311004,-42.24049645699157,-20.252776181808617,-0.04115301105964808,-0.05683033613041199,-0.02649862009237602,-2.939500789974863,-4.059309723600856,-1.8927585780268588,0.8937590707334895,0.8683763028991281,0.9459302710618394,-0.11886976339084404,-0.15157449214290852,-0.0571603749158651,-0.5574957226416907,-0.7108799464285537,-0.2680804908764942,-112.8533851501398,-143.90282316367484,-54.26730584544417,0.8837766209155773,-0.13150764156220526,-0.6167670025939764,0.8562069718342135,-0.16794190294636965,-0.7876426256276932,0.9406867700242376,-0.0630531138162325,-0.29571726441660345,-124.85161995829483,-159.44182705014032,-59.86179441631649,-0.05927127995228576,-0.07676267919913948,-0.02763677354010924,-11.998234808155011,-15.539003886465483,-5.594488570872315,0.9391
06019001411,06019001411,Census Tract 14.11; Fresno County; California,4653,2613,730,Fresno city,California,81363,0.5463433302596,0.24086257149775295,06019,4653,2613,730,0.010848,0.009493868073,0.003212018401,0.8334294280183008,0.7586788318606441,0.8728839703712394,-0.19986163960848477,-0.3180807978357861,-0.14562763659721903,-10.088164956298137,-16.05536492287489,-7.350663304206258,-216.8099066472843,-345.0540494922607,-157.97686018066318,0.8183813321345859,0.7380125778840543,0.8610971860299395,-0.22192425551997597,-0.3549904567576426,-0.16130910218214445,-11.201791909016894,-17.91840741774184,-8.142196946615764,-240.74343238806992,-385.0936474906907,-216.8099066472843,-1.1136269527187572,-1.8630424948669493,-0.7915336424095054,-23.93352574078567,-40.03959799843003,-17.01125386652709,0.892888230682923,0.8591269828830801,0.9276094087542668,-0.11996100478909089,-0.1639722880594143,-0.078039949317623,-1.0068332028532283,-1.3762200829868814,-0.6549896131672894,-38.5316954785009,-52.66820065009114,-25.066575322131243,0.8828294421326585,0.8461806603434836,0.9206650555852158,-0.13272162467111617,-0.18178073178141144,-0.08617134313233528,-1.1139331376095307,-1.5256864238363403,-0.7232364346449986,-42.630430065424065,-58.388305542913905,-27.678393977994592,-0.1070999347563022,-0.14946634084945898,-0.06824682147770922,-4.098734586923161,-5.72010489282277,-2.611818655863346,0.8591269828830801,0.8263087119752289,0.9276094087542668,-0.1639722880594143,-0.21020144832985616,-0.078039949317623,-1.1364138274387436,-1.4568061180139418,-0.5408577177689369,-155.67312704640324,-199.56248191971807,-74.0900983245119,0.8461806603434836,-0.18178073178141144,-1.2598356685946663,0.8106932645837456,-0.23351216013057033,-1.618361558456246,0.9206650555852158,-0.08617134313233528,-0.5972125352612722,-172.58022857461182,-221.6933641720885,-81.80993633716056,-0.1234218411559227,-0.1615554404423043,-0.05635481749233528,-16.90710152820859,-22.13088225237045,-7.719838012648669,0.7614
