geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48439121608,48439121608,Census Tract 1216.08; Tarrant County; Texas,3607,2733,878,Arlington city,Texas,86562,0.6375719728271889,0.19259250854375248,48439,3607,2733,878,0.009366,0.006897320142,0.003436016044,0.8029622307758508,0.7170391563820846,0.8489625854689037,-0.2453885894903976,-0.3946239770860374,-0.17790821069891377,-8.2900024717056,-13.331645746981891,-6.010301903171538,-229.8309529167064,-369.60481693878273,-166.62883014060264,0.7855333529340159,0.6935809555365708,0.8351748466707135,-0.27302042143078686,-0.44179275975992743,-0.1973540678174573,-9.223493126504543,-14.925156373396712,-6.667244444436147,-255.710926712075,-413.7830987911481,-229.8309529167064,-0.9334906547989448,-1.5935106264148189,-0.656942541264609,-25.87997379536858,-44.178281852365366,-18.212989777227865,0.8724498234615075,0.832873923113713,0.913471218737046,-0.14619772175828752,-0.20066191562521657,-0.09472524091408996,-1.372888982085259,-1.8843421756014145,-0.8895298641611965,-50.23377175577238,-68.94775615080184,-32.54774475525783,0.8606260847881442,0.81778132973211215,0.9052412906944418,-0.1619447953941168,-0.2228207757293491,-0.10467784697808638,-1.5207639532866468,-2.092427873016242,-0.9829911236388672,-55.644491521648256,-76.56157603425693,-35.967476166808176,-0.14787497120138782,-0.20808569741482752,-0.0934612594776708,-5.410719765875881,-7.613819883455087,-3.419731411550341,0.832873923113713,0.794706846552767,0.913471218737046,-0.20066191562521657,-0.2583256383630538,-0.09472524091408996,-1.2151778767444692,-1.5643805639779658,-0.5736415740348234,-138.40294723741107,-178.17546286764986,-65.33503121125551,0.81778132973211215,-0.2228207757293491,-1.3493685451058235,0.7766541192550422,-0.28757444943340876,-1.741506891228614,0.9052412906944418,-0.10467784697808638,-0.6339130344524048,-153.68662244941044,-198.34930424016108,-72.1996622383149,-0.1341906683613543,-0.17712632725064825,-0.06027146041758136,-15.28367521199935,-20.17384137251119,-6.86463102705938,0.4101
48439111516,48439111516,Census Tract 1115.16; Tarrant County; Texas,4179,2759,1025,Arlington city,Texas,112396,0.48371181414083486,0.23320397154872372,48439,4179,2759,1025,0.009366,0.006897320142,0.003436016044,0.8550128202253796,0.7886574306440548,0.8896958843631216,-0.16957310620956778,-0.2679776556259071,-0.12397957276810184,-6.637178537619075,-10.488783181712996,-4.852624203643909,-158.8221712758812,-250.98787225922464,-116.1192678546042,0.841724346901912,0.7701534043683161,0.879358042067143,-0.18803739452309343,-0.29844261458560356,-0.1371932161435165,-7.359880272854663,-11.681197334384422,-5.369812997170334,-176.11582371032932,-279.5213528208763,-158.8221712758812,-0.7227017352355878,-1.1924141526714251,-0.517188793526425,-17.29365243444814,-28.53348056165172,-12.375898385413375,0.907196399631144,0.8776281043344426,0.9374422288202876,-0.10229714360263,-0.13943479597016695,-0.06673240148188911,-0.9697736749935898,-1.321837440889149,-0.6326210483219737,-35.14946266740086,-47.91001960453602,-22.929360214642035,0.8984035301916787,0.8662466626752714,0.9314058568879864,-0.11308556388535693,-0.15440560187747415,-0.07364581466257943,-1.0720475569075956,-1.463760205797824,-0.6981599858804883,-38.856381185487336,-53.054012533447775,-25.30482007540733,-0.10227388191400576,-0.1419227649086754,-0.06553893755851459,-3.706918518086472,-5.143992928911757,-2.3754598607652984,0.8776281043344426,0.848728986415365,0.9374422288202876,-0.13943479597016695,-0.17823241105919235,-0.06673240148188911,-0.9857695874092104,-1.2600591487246855,-0.471781605286691,-96.1726426740693,-122.9325998755791,-46.02747368650644,0.8662466626752714,-0.15440560187747415,-1.091609489563814,0.834922064380896,-0.1977165805787048,-1.3978074174736883,0.9314058568879864,-0.07364581466257943,-0.5206577298673633,-106.49848678671356,-136.37145536328666,-50.79587608462081,-0.1058399021546037,-0.1377482687490026,-0.04887612458067225,-10.325844112644264,-13.43885548770757,-4.768402398114366,0.7116
48439111406,48439111406,Census Tract 1114.06; Tarrant County; Texas,2668,2162,771,Arlington city,Texas,165146,0.6508395796029247,0.20799293234382912,48439,2668,2162,771,0.009366,0.006897320142,0.003436016044,0.7986250615410284,0.7111768017911522,0.8455386742103446,-0.25215203999533664,-0.4061201061134515,-0.18267801402923187,-6.30089822559899,-10.148327398174713,-4.5648473614332925,-236.1656006596323,-380.3720913858588,-171.09622793977857,0.7808672848895772,0.6873458896417968,0.831470459694604,-0.2806273477591143,-0.45487157931669553,-0.20268854815034112,-7.012453111950456,-11.366553001296296,-5.064880353192222,-262.83557391118654,-426.0327211880171,-236.1656006596323,-0.7115548863514656,-1.2182256031215832,-0.5000329917589292,-26.669973251554183,-45.66062980215829,-18.74186625783093,0.8695166393214733,0.8291232853455686,0.9114330936309598,-0.15006424808655683,-0.20609325256522265,-0.0971732395805468,-1.1147772806895164,-1.5309980797731266,-0.7218676077523158,-51.56231640562056,-70.81397223742492,-33.388881024621455,0.8574438444677953,0.8137313038000962,0.9030197998588548,-0.166257133282807,-0.22890688281258895,-0.10739543048369884,-1.2350688275153885,-1.7004729348041925,-0.7978048567840245,-57.12621773891713,-78.65277219260834,-36.90124221942759,-0.12029154682587184,-0.16947485503106563,-0.07593724903170862,-5.56390133329657,-7.838799955183424,-3.5123611948061337,0.8291232853455686,0.7902126920552539,0.9114330936309598,-0.20609325256522265,-0.26548207850105904,-0.0971732395805468,-1.095969670519319,-1.4117895781741276,-0.516751140761791,-142.14911420484032,-183.11148873853796,-67.0234942622297,0.8137313038000962,-0.22890688281258895,-1.2172887652220572,0.7718242168710455,-0.2956318007926376,-1.5721207913257718,0.9030197998588548,-0.10739543048369884,-0.5711110533579962,-157.88440534657033,-203.90671742227912,-74.07406658339768,-0.12131909470273829,-0.16033121315164411,-0.05435991259620521,-15.735291141729997,-20.79522868374113,-7.050572321167991,0.2015
48439122701,48439122701,Census Tract 1227.01; Tarrant County; Texas,1343,648,311,Arlington city,Texas,48785,0.5798814515361864,0.24490738696344297,48439,1343,648,311,0.009366,0.006897320142,0.003436016044,0.8220967584449023,0.743097078368747,0.8640124617122418,-0.216401828285546,-0.3457191921615523,-0.15739071403931754,-2.722018620359216,-4.348641995933388,-1.9797450773906895,-202.68195237224245,-323.8005953785099,-147.41214276922483,0.806148832484098,0.7213567652368631,0.8514752073844145,-0.24046573002972865,-0.3862765945941357,-0.17443231620545727,-3.024707322876683,-4.858794823612931,-2.1941035178183603,-225.22020274584384,-361.7866584968676,-202.68195237224245,-0.30268870251746716,-0.5101528276795433,-0.21435844042767083,-22.538250373601425,-37.986063118357656,-15.961164588806463,0.8853194495420682,0.8493808133138625,0.9223865691142652,-0.12953578566160537,-0.17732821877444602,-0.08414414680849519,-0.2884164004979129,-0.3948280878863841,-0.1873501737108572,-44.50870378054211,-60.930260476293846,-28.912063844268086,0.8746010730616384,0.8356274369063171,0.9149645496297816,-0.1433784279493149,-0.19670556019824753,-0.09293851920779428,-0.31923757506067896,-0.4379724825888007,-0.20693118153112197,-49.265057879734414,-67.58834607851863,-31.93382431035833,-0.03082117456276606,-0.0431443947024166,-0.01958100782026478,-4.7563540991922935,-6.658085602224784,-3.0217604660902446,0.8493808133138625,0.8145475243937004,0.9223865691142652,-0.17732821877444602,-0.2276754517722452,-0.08414414680849519,-0.3803808329754683,-0.48837899907712107,-0.18049479588884168,-122.30894950979688,-157.03504793476563,-58.03691186136388,0.8356274369063171,-0.19670556019824753,-0.42194652016601625,0.7980095172882535,-0.2531178868619738,-0.5429547158989598,0.9149645496297816,-0.09293851920779428,-0.19935931007536728,-135.67412223987662,-174.58350993535686,-64.10267204995732,-0.04156568719054793,-0.05457571682183876,-0.0188645141865256,-13.36517273007972,-17.548462000591243,-6.0657601885934405,0.8825
48439113118,48439113118,Census Tract 1131.18; Tarrant County; Texas,2377,1110,210,Arlington city,Texas,39435,0.484581566797632,0.2414430847076901,48439,2377,1110,210,0.009366,0.006897320142,0.003436016044,0.8547093014824426,0.7882331186054014,0.8894602175551007,-0.16998843731495525,-0.2686602178924832,-0.12427737661920948,-3.784449520150978,-5.981177595056431,-2.7667849986806816,-159.2111703891871,-251.6271600780997,-116.3981909415516,0.8413956710832491,0.7696976244418765,0.8791018241416776,-0.18850147958636015,-0.29921149324726115,-0.13752465589109988,-4.196605047004504,-6.661340088356897,-3.0617089386597507,-176.55048578058495,-280.2414845753848,-159.2111703891871,-0.41215552685352685,-0.6801624933004655,-0.29492393997906907,-17.339315391397847,-28.614324497285043,-12.407401766052548,0.9069961431884008,0.8773684742507302,0.9373049710918188,-0.1025405207178266,-0.1397719764822833,-0.06688861239597502,-0.39108727052468895,-0.5330872166011348,-0.25511168334234885,-35.23308743465666,-48.0258753694716,-22.983034535346743,0.8981853855646909,0.8659647774416451,0.9312558466969156,-0.11335590187909604,-0.15478137916225712,-0.07381876156473442,-0.4323368942679167,-0.5903327453464986,-0.2815431184839482,-38.949269753866375,-53.183130211396275,-25.364244908463803,-0.04124962374322777,-0.05724552874536381,-0.02643143514159934,-3.7161823192097088,-5.157254841924668,-2.3812103731170584,0.8773684742507302,0.8484135125264489,0.9373049710918188,-0.1397719764822833,-0.17867052473286185,-0.06688861239597502,-0.2024509344224646,-0.2587930398945522,-0.09688395644532977,-96.40520686784028,-123.23478090216771,-46.13521735491893,0.8659647774416451,-0.15478137916225712,-0.22419111206149875,0.8345806947082124,-0.19820648421495277,-0.28708965092866773,0.9312558466969156,-0.07381876156473442,-0.106921842509567,-106.7576724102375,-136.70935758507986,-50.915163099793816,-0.02174017763903416,-0.02829661103411551,-0.01003788606423725,-10.352465542397216,-13.474576682912147,-4.779945744874881,0.8953
48439121614,48439121614,Census Tract 1216.14; Tarrant County; Texas,1964,1095,218,Arlington city,Texas,49004,0.5947429159175416,0.2224784305927775,48439,1964,1095,218,0.009366,0.006897320142,0.003436016044,0.8171244043357309,0.7362951831535616,0.8601101889335191,-0.22380385984547255,-0.3581509466311967,-0.16264173226448486,-4.116832612378135,-6.588123628714257,-2.991766040060321,-209.61469513126963,-335.4441766147789,-152.33024643891653,0.8007869729745591,0.7140969123649521,0.8472459502328231,-0.2487715631604934,-0.4003701496036325,-0.18029481253371596,-4.576109120542161,-7.364738436812491,-3.3164913446706996,-232.9994460561182,-374.9866821187623,-209.61469513126963,-0.45927650816402554,-0.776614808098234,-0.32472530461037863,-23.38475092484855,-39.542505503983406,-16.533874980161844,0.8819861058864051,0.8450975016717691,0.9200816286660186,-0.1338047088564844,-0.183295416235172,-0.08686008810962906,-0.5034318634010241,-0.6896375601184014,-0.3268056586790933,-45.97551263936293,-62.9805990975709,-29.84526563279391,0.870979469431223,0.8309932566869352,0.9124498310843024,-0.14813268865342086,-0.20337919947373967,-0.09595066592500558,-0.5573399928651418,-0.7652015406863721,-0.3610083901681295,-50.89862948540108,-69.88141924076457,-32.968802755080326,-0.05390812946411771,-0.07556398056797076,-0.03420273148903624,-4.923116846038148,-6.900820143193677,-3.123537122286415,0.8450975016717691,0.8093895557892062,0.9200816286660186,-0.183295416235172,-0.23549901632340248,-0.08686008810962906,-0.2756058822610574,-0.35410003969847276,-0.13060420008546775,-126.4247166335126,-162.43121087085908,-59.91018352544392,0.8309932566869352,-0.20337919947373967,-0.3058041758807052,0.7924527112990069,-0.26190495122513596,-0.3938044203916754,0.9124498310843024,-0.09595066592500558,-0.14427293643758218,-140.27714489940604,-180.64422953746575,-66.1802460722854,-0.03019829361964776,-0.03970438069320264,-0.01366873635211443,-13.85242826589347,-18.21301866660672,-6.270062546841484,0.8563
48439111311,48439111311,Census Tract 1113.11; Tarrant County; Texas,4922,3494,1081,Arlington city,Texas,129692,0.6149276454644712,0.19667042532407744,48439,4922,3494,1081,0.009366,0.006897320142,0.003436016044,0.8104191182364711,0.7271564977477992,0.85483836053129,-0.23392942922678112,-0.3752197815700899,-0.16981179854690967,-10.784018494027396,-17.297426309940846,-7.828230856146933,-219.09830341380328,-351.43084741854625,-159.04573051903563,0.7935616020177714,0.7043535019241524,0.8415354257332699,-0.2601416165516607,-0.4197416457335709,-0.18830410392842628,-11.992385965425688,-19.34985984989576,-8.6807160004515,-243.64863806228541,-393.1300253940626,-219.09830341380328,-1.208367471398292,-2.052433539954915,-0.8524851443045671,-24.550334648482163,-41.69917797551635,-17.319893220328467,0.8774788733028261,0.8393145104035167,0.9169602970219378,-0.1396285773080837,-0.19144848278535145,-0.09055975841893568,-1.6763025152191555,-2.298423284224039,-1.0872097513415853,-47.976603183146985,-65.78200584499253,-31.1164782868227,0.8660846387363255,0.8247402775688195,0.9090454239742868,-0.15462156384515244,-0.21250292631252768,-0.100055039744951,-1.8562999163763776,-2.5511911439385413,-1.2012047821324023,-53.12821741203141,-73.01634642067948,-34.37907218467093,-0.17999740115722165,-0.2527678597145022,-0.11399503079081708,-5.15161422888442,-7.234340575686956,-3.2625938978482276,0.8393145104035167,0.8024363079037662,0.9169602970219378,-0.19144848278535145,-0.2462048266638591,-0.09055975841893568,-1.427440476064875,-1.8357039443167609,-0.675213837107183,-132.04814764707447,-169.8153510006254,-62.461964579757904,0.8247402775688195,-0.21250292631252768,-1.5844224717143751,0.784967413404178,-0.27393823351632846,-2.0424843110474535,0.9090454239742868,-0.100055039744951,-0.7460106838577194,-146.57007138893388,-188.94396956960716,-69.0111640941461,-0.15698199564950044,-0.2067803667306929,-0.07079684675053644,-14.521923741859432,-19.128618568981764,-6.5491995143882,0.1849
48439113116,48439113116,Census Tract 1131.16; Tarrant County; Texas,2994,1670,546,Arlington city,Texas,45967,0.49783706214984574,0.23566110368531487,48439,2994,1670,546,0.009366,0.006897320142,0.003436016044,0.8500968254336916,0.7817945565628025,0.885876245222588,-0.1763365890583496,-0.2791084199876605,-0.1288258437822056,-4.944796068402784,-7.826703608043659,-3.6125090614752287,-165.15684931205024,-261.41294616044286,-120.6582852864138,0.8364023296668638,0.7627845825001345,0.8752061522242706,-0.1955968611401365,-0.3109861197277459,-0.14258794623252508,-5.4848888431069245,-8.720611816125986,-3.998423241015007,-183.19602014385185,-291.2695997370069,-165.15684931205024,-0.5400927747041404,-0.8939082080823271,-0.38591417953977825,-18.039170831801616,-29.856653576564028,-12.889585154969213,0.9039495929315544,0.8734210650654911,0.9352155753576094,-0.1062563751557754,-0.14492315333042455,-0.06927218317297407,-0.6097146783869205,-0.8315903275839859,-0.3974939557513603,-36.50986098125272,-49.795827999041066,-23.802033278524572,0.8948672925393419,0.8616800303355578,0.9289725989363798,-0.11748413238160228,-0.16052358740468572,-0.07645801517175257,-0.6741411975102709,-0.9211079083441038,-0.4387273145936372,-40.36773637786054,-55.15616217629364,-26.27109668225372,-0.0644265191233504,-0.08951758076011795,-0.04123335884227686,-3.857875396607808,-5.3603341772525726,-2.469063403729153,0.8734210650654911,0.8436200083074202,0.9352155753576094,-0.14492315333042455,-0.18536780796170252,-0.06927218317297407,-0.545771435941418,-0.6980834490808208,-0.26087466365648004,-99.95813845080914,-127.85411155326388,-47.77924242792675,0.8616800303355578,-0.16052358740468572,-0.6045216846791502,0.8293952782291455,-0.20569772489555915,-0.7746446313528004,0.9289725989363798,-0.07645801517175257,-0.287936052801563,-110.71825726724364,-141.8763061085715,-52.735540806147064,-0.05875024873773227,-0.07656118227197961,-0.02706138914508293,-10.76011881643448,-14.02219455530762,-4.956298378220318,0.6238
48439122300,48439122300,Census Tract 1223; Tarrant County; Texas,4005,653,182,Arlington city,Texas,79274,0.5223540542472666,0.2529781329420039,48439,4005,653,182,0.009366,0.006897320142,0.003436016044,0.8416312139387675,0.7700242461026128,0.879285443215725,-0.18816885999282168,-0.29866040590459647,-0.13728710934050883,-7.058370118484536,-11.202999713618317,-5.14975341966324,-176.2389542692768,-279.7253361702451,-128.58310660832058,0.8272447456650432,0.7501616188973176,0.8680462628970669,-0.20883209623298893,-0.33304607275153114,-0.15201233245627166,-7.833465260339289,-12.49283461715032,-5.70210876067069,-195.59214133181743,-311.9309517390841,-176.2389542692768,-0.7750951418547531,-1.289834903532002,-0.5523553410074502,-19.353187062540652,-32.205615568839,-13.791643970223474,0.8983417204111107,0.8661667900674234,0.9313633537768968,-0.11316214896750772,-0.15451205410699123,-0.07369481088639074,-0.2539040045050961,-0.3466815506776707,-0.16535040882506544,-38.88269594258745,-53.09058969030179,-25.321655256518444,0.888762509217654,0.8538108730848367,0.9247643099680328,-0.12515997201576878,-0.17121956574174194,-0.08135661078287927,-0.28082374175904046,-0.38416850323277574,-0.18254133081784008,-43.00516719127725,-58.8313174935338,-27.954261993543657,-0.02691973725394436,-0.03748695255510503,-0.01719092199277463,-4.122471248689796,-5.740727803232011,-2.6326067370252124,0.8661667900674234,0.8348253338736326,0.9313633537768968,-0.15451205410699123,-0.1978553589886264,-0.07369481088639074,-0.19396087674125784,-0.2483702590013906,-0.09251000003474023,-106.57191029739444,-136.46717527548932,-50.82967034875837,0.8538108730848367,-0.17121956574174194,-0.21493402102809175,0.8198892304197587,-0.21967695500528772,-0.27576317614139817,0.9247643099680328,-0.08135661078287927,-0.10212795142324456,-118.09561594950098,-151.51822864911986,-56.11425902376075,-0.02097314428683391,-0.02739291714000757,-0.00961795138850434,-11.523705652106548,-15.051053373630536,-5.284588675002385,0.8033
48439111514,48439111514,Census Tract 1115.14; Tarrant County; Texas,3739,2744,1023,Arlington city,Texas,105114,0.5411206903086191,0.2371304560399676,48439,3739,2744,1023,0.009366,0.006897320142,0.003436016044,0.8352081831862569,0.7611344905579439,0.8742736371716191,-0.19730627660408528,-0.31382825559114724,-0.14380664986664918,-6.909562023573573,-10.990100437139535,-5.036033236032225,-184.79705866738627,-293.9315441866686,-134.68930826510362,0.8203028395105955,0.7406406464941668,0.8626052979479631,-0.21906197544874337,-0.35018244641786056,-0.15927875979765338,-7.671435153615907,-12.263205077586662,-5.5778583874861685,-205.17344620529303,-327.9808793149682,-184.79705866738627,-0.7618731300423347,-1.273104640447125,-0.5418251514539438,-20.376387537906783,-34.04933512829967,-14.491178161378546,0.8940726689504878,0.8606547117073415,0.928425379335432,-0.11847731703269224,-0.16190614702640663,-0.07709248611428665,-1.1170548562065674,-1.5265204540007995,-0.7268609565765112,-40.70899621744051,-55.63121188049562,-26.489101916053613,0.8841177320804509,0.8478359853861951,0.9215559429440762,-0.1310710821813993,-0.17947340905150796,-0.08512131863131411,-1.2357942644715805,-1.6921521195961453,-0.8025602260859647,-45.036234127973046,-61.66735129723562,-29.247821650363143,-0.11873940826501306,-0.1656316655953456,-0.07569926950945349,-4.327237910532546,-6.036139416739999,-2.7587197343095298,0.8606547117073415,0.8281554130934404,0.928425379335432,-0.16190614702640663,-0.20750282397438177,-0.07709248611428665,-1.1424030551658213,-1.4641313156887523,-0.5439613830902018,-111.67185289988478,-143.12134073203836,-53.17315572729245,0.8478359853861951,-0.17947340905150796,-1.2663569270660715,0.8126864698460257,-0.2304868323813283,-1.6263055252928522,0.9215559429440762,-0.08512131863131411,-0.6006124921760779,-123.78855592043708,-158.97414714495133,-58.710898550936264,-0.1239538719002502,-0.1621742096040999,-0.05665110908587612,-12.116703020552317,-15.852806412912992,-5.5377428236438035,0.6685
48439113110,48439113110,Census Tract 1131.10; Tarrant County; Texas,3995,2165,496,Arlington city,Texas,63490,0.4838156957626413,0.24392314560679468,48439,3995,2165,496,0.009366,0.006897320142,0.003436016044,0.8549765628502817,0.7886067396031968,0.8896677334795081,-0.1696227048215753,-0.2680591602643035,-0.12401513775146168,-6.346801582168703,-10.03001516966669,-4.64029549181986,-158.86862533588743,-251.0642095035467,-116.152578018019,0.8416850837295501,0.7700989526814693,0.8793274359534302,-0.188092814439515,-0.2985344240737113,-0.1372327976048284,-7.037900813661789,-11.170313296418149,-5.134862917555457,-176.1677300040498,-279.607341587438,-158.86862533588743,-0.6910992314930864,-1.1402981267514587,-0.49456742573559787,-17.29910466816236,-28.543132083891333,-12.379660218663274,0.907172479053292,0.8775970905657287,0.9374258339583856,-0.1023262092822536,-0.1394750629304916,-0.06675105781690276,-0.7612020856056119,-1.0375514693387256,-0.4965594326518191,-35.159449681552516,-47.92385539670788,-22.935770561284947,0.8983774726217977,0.8662129900084009,0.9313879386822204,-0.1131178490948022,-0.15445047757861674,-0.07366646965050452,-0.8414808215231869,-1.148953200556171,-0.5480030065659007,-38.86747443525113,-53.069431896358935,-25.31191716239726,-0.08027873591757506,-0.11140173121744534,-0.05144357391408161,-3.7080247536986177,-5.145576499651055,-2.3761466011123145,0.8775970905657287,0.8486913006394816,0.9374258339583856,-0.1394750629304916,-0.1782847299677852,-0.06675105781690276,-0.47715406378516984,-0.6099246820728464,-0.2283600941278436,-96.20041608571972,-122.96868590178356,-46.040341558032985,0.8662129900084009,-0.15445047757861674,-0.5283860174124783,0.8348812844875615,-0.19777508321292175,-0.6766025602549849,0.9313879386822204,-0.07366646965050452,-0.2520182075555864,-106.52943899445128,-136.41180650302115,-50.81012249104564,-0.05123195362730842,-0.06667787818213844,-0.02365811342774279,-10.329022908731536,-13.443120601237588,-4.76978093301266,0.3332
