geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059088903,06059088903,Census Tract 889.03; Orange County; California,5662,3919,1786,Santa Ana city,California,71736,0.34753340491758095,0.17333137293130715,06059,5662,3919,1786,0.009319,0.009493868073,0.003212018401,0.9038895791655618,0.8579904641245552,0.9273755110529824,-0.10632982506907966,-0.1655141191112693,-0.07831184679931481,-5.610405816653781,-8.733216442300213,-4.132060224027777,-99.08876398187532,-154.24260759979182,-72.97881003228147,0.8948019408911138,0.8449494102085742,0.9204096974621884,-0.11756574757104549,-0.183502808473648,-0.08647269010448598,-6.203260031541711,-9.68237484980347,-4.562660412811936,-109.55952016145729,-171.00626721659253,-99.08876398187532,-0.5928542148879297,-0.9491584075032566,-0.43060018878415907,-10.470756179581944,-16.763659616800716,-7.605089876088997,0.939102549353245,0.919241204022001,0.9591827033931496,-0.06484643310647464,-0.08785375984524088,-0.04255424588293512,-0.8162804226622945,-1.1058943535289787,-0.5356685965805146,-20.82879363772122,-28.218789321994866,-13.668502081666611,0.9332206098440092,0.9115330740324736,0.955193750921438,-0.07155798902378857,-0.0970528974622536,-0.04690802157712955,-0.9007648181557396,-1.2216921789824502,-0.5904734901357009,-22.984557748296492,-31.173569251912483,-15.06694284602452,-0.08448439549344511,-0.1157978254534715,-0.05480489355518636,-2.1557641105752774,-2.954779929917619,-1.3984407643579069,0.919241204022001,0.8995985250953662,0.9591827033931496,-0.08785375984524088,-0.1116069803404694,-0.04255424588293512,-1.489652602158307,-1.8924133580176816,-0.7215518518964408,-83.40720056877419,-105.9581947378321,-40.400439635858945,0.9115330740324736,-0.0970528974622536,-1.6456336246317316,0.8901303482688755,-0.1234309693460052,-2.092901487620956,0.955193750921438,-0.04690802157712955,-0.7953746831958078,-92.14074046090322,-117.18373390934804,-44.53385684187054,-0.1559810224734246,-0.20048812960327456,-0.07382283129936706,-8.733539892129038,-11.225539171515932,-4.133417206011594,0.9268
06059074102,06059074102,Census Tract 741.02; Orange County; California,4204,2801,1088,Santa Ana city,California,50194,0.41693199261610026,0.1793771875843076,06059,4204,2801,1088,0.009319,0.009493868073,0.003212018401,0.8786418107412814,0.8219276129214654,0.9079781421284434,-0.13812020754661403,-0.21665215315688544,-0.10134809815558214,-5.411145868189471,-8.48779786979094,-3.9705221438967016,-128.7142214126896,-201.89814152690153,-94.446292671187,0.8673473424871873,0.8059663836808513,0.8992551490019076,-0.15294063982766204,-0.2407465376322478,-0.11203144192158378,-5.991767070016943,-9.431745401555432,-4.389064314551474,-142.52538225539826,-224.3516984194917,-128.7142214126896,-0.5806212018274719,-0.9439475317644916,-0.4185421706547725,-13.811160842708656,-22.45355689259019,-9.955808055536927,0.9227049026724364,0.8977937023310314,0.948041151368029,-0.08377011664692945,-0.11384162909987026,-0.05480653298329302,-0.7536683083029145,-1.0242176023195495,-0.493086898417019,-26.907115612385383,-36.56614074686003,-17.60395924373506,0.915311904905276,0.8881661355220973,0.9429961246459068,-0.09252375571744388,-0.1259154791036505,-0.060449745088293,-0.8324236045092583,-1.1328443832204895,-0.5438581076597575,-29.718800589405863,-40.444283585165635,-19.416569355935646,-0.0787552962063438,-0.10862678090094002,-0.05077120924273848,-2.811684977020486,-3.878142838305606,-1.812610112200588,0.8977937023310314,0.8733047358416238,0.948041151368029,-0.11384162909987026,-0.14507566369289987,-0.05480653298329302,-1.175907579783848,-1.4985341823331984,-0.5661146811259149,-108.0797407889566,-137.73292117033074,-52.0325993681907,0.8881661355220973,-0.1259154791036505,-1.300622342291007,0.8615537891717422,-0.16069363581042753,-1.6598573462677393,0.9429961246459068,-0.060449745088293,-0.62440527254723,-119.5424946958646,-152.56041785549075,-57.39019049147335,-0.12471476250715918,-0.16132316393454094,-0.0582905914213151,-11.462753906908013,-14.827496685160014,-5.357591123282638,0.8002
06059099203,06059099203,Census Tract 992.03; Orange County; California,3674,2658,1238,Santa Ana city,California,54033,0.4302872475987118,0.2281787162462834,06059,3674,2658,1238,0.009319,0.009493868073,0.003212018401,0.8738645939882915,0.8151635036547662,0.9042920758293236,-0.14434204896210556,-0.2267477573720165,-0.1058374022385444,-4.941983938416864,-7.763391077389644,-3.623661612867696,-134.51235542778616,-211.30623509498216,-98.62987514609952,0.8621613659781833,0.7986733625129978,0.895240245639943,-0.15987567926501672,-0.25207631421878773,-0.11701859346724498,-5.473824465929718,-8.63059035868074,-4.006483305243094,-148.9881455070691,-234.9099172204883,-134.51235542778616,-0.5318405275128546,-0.8671992812910956,-0.38282169237539776,-14.475790079282923,-23.60368212550614,-10.419752106026069,0.9195823019089652,0.8937240666208285,0.9459119362109653,-0.0874502455344077,-0.11891358568982138,-0.05718086612343114,-0.7466103986281148,-1.0152300782190975,-0.48818421251337135,-28.089179782848564,-38.19526253645966,-18.366599417357836,0.9119051423745596,0.8837385465255971,0.940666713505268,-0.09660528659378466,-0.13155639066722027,-0.06307577980901931,-0.8247719728241396,-1.1231685935002171,-0.5385123028438169,-31.0297958173115,-42.25615475922563,-20.260056540399432,-0.07816157419602476,-0.10793851528111942,-0.05032809033044555,-2.9406160344629333,-4.060892222765967,-1.8934571230415933,0.8937240666208285,0.8683335691726914,0.9459119362109653,-0.11891358568982138,-0.151631165144006,-0.05718086612343114,-1.3976399695476625,-1.7821830517089967,-0.672070087903354,-112.89498946265446,-143.9566277632469,-54.28675992757302,0.8837385465255971,-0.13155639066722027,-1.5462360232374412,0.8561606236015514,-0.16800512945032378,-1.974632945820762,0.940666713505268,-0.06307577980901931,-0.7413554175502318,-124.89790171546376,-159.5018534588661,-59.88331321084263,-0.1485960536897788,-0.19244989411176536,-0.06928532964687784,-12.002912252809272,-15.545225695619177,-5.596553283269616,0.7074
06059074601,06059074601,Census Tract 746.01; Orange County; California,4913,2944,1235,Santa Ana city,California,55265,0.4204996974618564,0.1894737371875169,06059,4913,2944,1235,0.009319,0.009493868073,0.003212018401,0.8773630809382849,0.8201151828322621,0.9069919830889426,-0.1397789828705382,-0.21934091812141177,-0.10254557773961796,-6.3996754771534885,-10.04235877247749,-4.69497205998837,-130.26003413705453,-204.40380159734357,-95.56222389554996,0.865958921909968,0.8040116419330691,0.8981808539096471,-0.15478918768385636,-0.2437630848176776,-0.1133615191719456,-7.0869064018470365,-11.160509284774498,-5.190171794063592,-144.24804400258571,-227.1628187415937,-130.26003413705453,-0.687230924693548,-1.1181505122970083,-0.49519973407522233,-13.988009865531202,-22.75901714425012,-10.079375820786126,0.921869698855234,0.8967047348079296,0.9474718869857998,-0.08475200046360905,-0.11519428991773514,-0.05544028665727314,-0.8014303558714208,-1.089298190698952,-0.5242534503292353,-27.22249850106728,-37.0006178905894,-17.80752208998761,0.9144005830675715,0.88698118853955,0.9423732848204732,-0.09361260099514042,-0.12741962616652558,-0.0611506248190227,-0.8852178086557216,-1.20490319738812,-0.5782514482535691,-30.068539696186196,-40.927418389542126,-19.64169321513482,-0.08378745278430089,-0.11560500668916808,-0.05399799792433379,-2.8460411951189157,-3.926800498952719,-1.834171125147208,0.8967047348079296,0.8719739659257338,0.9474718869857998,-0.11519428991773514,-0.14682322990956148,-0.05544028665727314,-1.350644648183736,-1.7214916628942083,-0.6500333178050149,-109.36393912418914,-139.39203748131243,-52.63427674534534,0.88698118853955,-0.12741962616652558,-1.493985824108926,0.8601097494652865,-0.16264232630973027,-1.9069694145019391,0.9423732848204732,-0.0611506248190227,-0.7169866162974514,-120.97051207359726,-154.4104789070396,-58.0555964613321,-0.1433411759251901,-0.1854777516077306,-0.06695329849243647,-11.606572949408108,-15.018441425727175,-5.421319715986759,0.7358
06059063909,06059063909,Census Tract 639.09; Orange County; California,3207,1405,372,Santa Ana city,California,51117,0.40634201148000415,0.24374775672906612,06059,3207,1405,372,0.009319,0.009493868073,0.003212018401,0.8824484379448302,0.8273310544669356,0.9109116671933084,-0.133210686313798,-0.20870598849250036,-0.09780128635435038,-3.981138967126816,-6.237394059384485,-2.922892471428565,-124.13903857582837,-194.49311067616105,-91.14101875361912,0.8714817012791526,0.811796657485196,0.9024515415604532,-0.14747102381175586,-0.2318355720973587,-0.10809273844318897,-4.407323884181921,-6.928645558275541,-3.2304631481735133,-137.4282470901753,-216.04756963752857,-124.13903857582837,-0.42618491705510575,-0.6912514988910559,-0.3075706767449482,-13.289208514346925,-21.554458961367505,-9.590604201588656,0.9251884886255038,0.9010338681069976,0.9497329080787342,-0.08086083246197653,-0.10983619528189596,-0.05292760890317444,-0.36491570691220576,-0.4956782118794974,-0.23885625747368852,-25.97264817880468,-35.27958803412793,-17.00044537179278,0.918022324696908,0.8916927326419164,0.9448473190930348,-0.08929812826736826,-0.12146254353468793,-0.0583720563020771,-0.4029922597933514,-0.5481465944362821,-0.26342642711980396,-28.68272311696451,-39.01399248656812,-18.749211894647967,-0.03807655288114564,-0.05246838255678471,-0.02457016964611544,-2.710074938159832,-3.734404452440193,-1.7487665228551914,0.9010338681069976,0.8772668197057516,0.9497329080787342,-0.10983619528189596,-0.13990404918701352,-0.05292760890317444,-0.3879105693245297,-0.49410177793992344,-0.18692543792074115,-104.27703476465852,-132.82305858600094,-50.24877363460783,0.8916927326419164,-0.12146254353468793,-0.4289715634561168,0.8658544114747576,-0.15492857314979813,-0.5471641735307006,0.9448473190930348,-0.0583720563020771,-0.2061536958255731,-115.3149364129346,-147.08714342223135,-55.417660168164815,-0.04106099413158703,-0.05306239559077713,-0.01922825790483198,-11.037901648276083,-14.264084836230412,-5.168886533556985,0.3966
06059075806,06059075806,Census Tract 758.06; Orange County; California,3740,2618,832,Santa Ana city,California,68030,0.4446799653687824,0.20854881734010108,06059,3740,2618,832,0.009319,0.009493868073,0.003212018401,0.8687453483147937,0.8079362516007207,0.9003364197242649,-0.1510853001283014,-0.2377214143055887,-0.11069593331152572,-5.265785030489696,-8.285318716077542,-3.858092005462605,-140.79639118956408,-221.53258599137817,-103.15754025301082,0.8566072413570237,0.7908876694421283,0.8909335224043842,-0.16739615511049818,-0.26440206193298493,-0.12241819939749876,-5.8342682378354995,-9.21522092867404,-4.266648848692988,-155.99647694747324,-246.39628151534865,-140.79639118956408,-0.5684832073458033,-0.9299022125964972,-0.4085568432303828,-15.20008575790918,-24.86369552397051,-10.923979765518256,0.9162289609483816,0.8893589436580039,0.9436226727415036,-0.09143024573782033,-0.12440540136350416,-0.05974562596583596,-0.7688428038372808,-1.0461330036352918,-0.5024048028516417,-29.36756317178307,-39.95924383633658,-19.190404998152857,0.9082479299992648,0.8789917208285011,0.9381627906791636,-0.10102095140564708,-0.13766714327802945,-0.06591309092110825,-0.849491663270236,-1.157651842451147,-0.5542674114502999,-32.44811548014652,-44.21893974221341,-21.171406090538575,-0.08064885943295519,-0.11151883881585524,-0.05186260859865821,-3.0805523083634525,-4.259695905876823,-1.9810010923857224,0.8893589436580039,0.8630079080985693,0.9436226727415036,-0.12440540136350416,-0.15873793347184947,-0.05974562596583596,-0.9826656054706172,-1.2538547828039082,-0.47192461959423027,-118.10884681137227,-150.70369985623896,-56.721709085844985,0.8789917208285011,-0.13766714327802945,-1.0874187552953092,0.8503862959715457,-0.17593616540765664,-1.389701866716632,0.9381627906791636,-0.06591309092110825,-0.5206407976545616,-130.69936962684002,-167.03147436497983,-62.57701894886558,-0.10475314982469186,-0.13584708391272393,-0.04871617806033135,-12.590522815467772,-16.32777450874086,-5.8553098630205955,0.9101
06059075505,06059075505,Census Tract 755.05; Orange County; California,2470,1613,836,Santa Ana city,California,63818,0.3888286175116992,0.20518188596713513,06059,2470,1613,836,0.009319,0.009493868073,0.003212018401,0.888779947336735,0.8363451659823815,0.9157838553905838,-0.12513789605238093,-0.195678579459938,-0.0919607220783531,-2.88041533168098,-4.5041158445082905,-2.1167454635489857,-116.61600533121376,-182.3528681987162,-85.69819690481724,0.8783622696407591,0.8215312841800507,0.9077625905945916,-0.1384824172934812,-0.21723909881055148,-0.10160961727337985,-3.187578587492139,-5.000394369684356,-2.3388430577254473,-129.0517646757951,-202.4451161815529,-116.61600533121376,-0.307163255811159,-0.4962785251760655,-0.2220975941764616,-12.435759344581337,-20.09224798283666,-8.991805432245407,0.9293104464900064,0.9064180380746024,0.952537311848382,-0.07606667263559479,-0.10324371095282112,-0.04982764198445665,-0.3941003417121066,-0.5349041880805625,-0.2581562996301466,-24.43275522083736,-33.162069936798666,-16.00473029325149,0.922522359372044,0.8975556674351802,0.9479167469801296,-0.08398456670545582,-0.11413702378768402,-0.05494496556348124,-0.4351228375102508,-0.5913422858946037,-0.2846690798171597,-26.975997365793603,-36.66102206414158,-17.648424043221308,-0.04102249579814415,-0.05643809781404119,-0.02651278018701314,-2.54324214495624,-3.498952127342913,-1.6436937499698163,0.9064180380746024,0.8838586792614466,0.952537311848382,-0.10324371095282112,-0.13140259123279896,-0.04982764198445665,-0.819432295083932,-1.0429257716537552,-0.3954757016492937,-98.01821711530286,-124.75188656145396,-47.30570593891073,0.8975556674351802,-0.11413702378768402,-0.9058911433271728,0.873013810539792,-0.14545725156591893,-1.1544758357410136,0.9479167469801296,-0.05494496556348124,-0.43609125262424303,-108.36018460851346,-138.09519566280068,-52.1640254335219,-0.08645884824324068,-0.11155006408725844,-0.04061555097494934,-10.341967493210609,-13.3433091013467,-4.858319494611165,0.7625
06059074107,06059074107,Census Tract 741.07; Orange County; California,4612,2992,1228,Santa Ana city,California,61814,0.39701741721589445,0.21680113945326696,06059,4612,2992,1228,0.009319,0.009493868073,0.003212018401,0.8858138661674712,0.8321182457069802,0.9135025137623116,-0.1289053357524897,-0.2017522811921819,-0.09468773750982191,-5.540251815722806,-8.671157292878897,-4.069605859238789,-120.12688238774514,-188.01295084299431,-88.23950258540305,0.8751383619714298,0.8169651846995931,0.9052754051325445,-0.14267645375217422,-0.2240423689140569,-0.10463621824961278,-6.132123836046151,-9.629168055217365,-4.497183881207868,-132.96018725165118,-208.7850835910096,-120.12688238774514,-0.5918720203233452,-0.958010762338466,-0.42757802196907946,-12.83330486390601,-20.772132748015306,-9.27098920141109,0.9273808471111809,0.9038965495440316,0.9512250175583914,-0.07830564229898643,-0.10632129363083376,-0.05127596682308088,-0.7525453385876734,-1.0217858070686037,-0.4927804521026856,-25.151916396646836,-34.15059515603622,-16.469934896480133,0.920415523038962,0.8948095312227266,0.9464803244957344,-0.08646581350374424,-0.11755626768250252,-0.05654599902304329,-0.8309675138221307,-1.1297579416876469,-0.5434273537799098,-27.77297840314608,-37.75928949490798,-18.162678936494313,-0.07842217523445738,-0.1079721346190432,-0.05064690167722424,-2.621062006499244,-3.6086943388717647,-1.692744040014179,0.9038965495440316,0.8807703572434824,0.9512250175583914,-0.10632129363083376,-0.13536972693956983,-0.05127596682308088,-1.2395436114804883,-1.5782038995727568,-0.5977993206019737,-100.94003350818308,-128.518232864231,-48.68072643338549,0.8948095312227266,-0.11755626768250252,-1.3705262193412375,0.8696589259444296,-0.14987608379230163,-1.7473258256574222,0.9464803244957344,-0.05654599902304329,-0.6592398328707731,-111.60636965319524,-142.2903766822005,-53.68402547807599,-0.13098260786074922,-0.16912192608466547,-0.06144051226879943,-10.666336145012153,-13.772143817969502,-5.0032990446905075,0.4807
06059075202,06059075202,Census Tract 752.02; Orange County; California,4198,2658,756,Santa Ana city,California,51354,0.3915717456584541,0.1912480052780259,06059,4198,2658,756,0.009319,0.009493868073,0.003212018401,0.8877852489232823,0.8349268232866667,0.9150190054150716,-0.12639853074019114,-0.1977097538482801,-0.0928734748480762,-4.944857397648997,-7.734635309278689,-3.6333182550345144,-117.79079079678412,-184.24571961121225,-86.5487912109222,0.8772809870173712,0.8199988720861755,0.9069286596301176,-0.13988564074533943,-0.2195138725689708,-0.10262255953829992,-5.472488813072225,-8.587637770018063,-4.014713776552476,-130.35942861058183,-204.5649778470239,-117.79079079678412,-0.5276314154232278,-0.8530024607393738,-0.3813955215179616,-12.568637813797707,-20.31925823581167,-9.085172022819476,0.9286636121289176,0.905572593792544,0.952097510922376,-0.07681617642748716,-0.10427370136279558,-0.0503125872382723,-0.6558215560532471,-0.8902414083019887,-0.4295459730778982,-24.67349721795512,-33.492904751767824,-16.160495601124843,0.921816063396256,0.8966348145138109,0.947435323800717,-0.0848151162778508,-0.11528125365312478,-0.05548101794264468,-0.7241128642569795,-0.9842188803282844,-0.4736716823299665,-27.242771416741142,-37.02855080241853,-17.820605053798587,-0.06829130820373241,-0.0939774720262958,-0.04412570925206821,-2.56927419878602,-3.535646050650708,-1.6601094526737477,0.905572593792544,0.8828229322549067,0.952097510922376,-0.10427370136279558,-0.13272997728525196,-0.0503125872382723,-0.7484103377516668,-0.9526513956209224,-0.3611117656325042,-98.99607642217812,-126.01208936784688,-47.76610656514605,0.8966348145138109,-0.11528125365312478,-0.8274155501854488,0.8718885341699745,-0.14693560106509007,-1.054610332074626,0.947435323800717,-0.05548101794264468,-0.3982074754668301,-109.44650134728155,-139.4987211738923,-52.67294649032144,-0.079005212433782,-0.1019589364537038,-0.03709570983432592,-10.45042492510344,-13.486631806045477,-4.906839925175386,0.4667
06059074801,06059074801,Census Tract 748.01; Orange County; California,3612,2172,751,Santa Ana city,California,43878,0.38454137104020686,0.17763059984174245,06059,3612,2172,751,0.009319,0.009493868073,0.003212018401,0.8903367982025813,0.8385667268313378,0.9169805232558652,-0.1231704698927503,-0.1925109451679109,-0.09053570347313662,-4.1459460994571105,-6.479962306847378,-3.04745242104617,-114.782560893054,-179.40094980197614,-84.37022206661601,0.880054880558633,0.8239320349891834,0.9090674808117613,-0.13629277229305217,-0.21369234054982217,-0.10002834894835266,-4.587645790136219,-7.192932904760658,-3.3669770320651105,-127.01123449989532,-199.13989215837924,-114.782560893054,-0.4416996906791084,-0.7129705979132801,-0.31952461101894025,-12.22867360684132,-19.738942356403104,-8.846196318353828,0.9303222890643617,0.907740967577915,0.9532250854725064,-0.07489631470155825,-0.10163585837516588,-0.04907016741413992,-0.5225144366270045,-0.7090629691409491,-0.3423382176247273,-24.05683409884919,-32.645624730246276,-15.7614280674368,0.9236273163039476,0.8989967667742937,0.948669655266392,-0.0826877706493899,-0.11235105281648317,-0.05410771225648008,-0.5768715599555395,-0.7838175656676755,-0.3774826692011128,-26.559464086350808,-36.08736490182668,-17.379496740382727,-0.05435712332853504,-0.07475459652672634,-0.03514445157638551,-2.502629987501613,-3.441740171580402,-1.6180686729459262,0.907740967577915,0.8854798868405391,0.9532250854725064,-0.10163585837516588,-0.12933112864717627,-0.04907016741413992,-0.7246529906058525,-0.9221173575044704,-0.34986513750815085,-96.49174308999368,-122.78526731084824,-46.5865695749868,0.8989967667742937,-0.11235105281648317,-0.8010512010500619,0.874775419050889,-0.14315054838300875,-1.0206483681153422,0.948669655266392,-0.05410771225648008,-0.3857823029030451,-106.6646073302346,-135.90524209258885,-51.369148189486694,-0.07639821044420936,-0.09853101061087188,-0.03591716539489426,-10.172864240240926,-13.119974781740597,-4.782578614499901,0.7666
06059074502,06059074502,Census Tract 745.02; Orange County; California,3482,2178,826,Santa Ana city,California,42240,0.3750677095713785,0.21170376222305723,06059,3482,2178,826,0.009319,0.009493868073,0.003212018401,0.8937866978117389,0.8434967282391586,0.9196303856597324,-0.1188351789619419,-0.1855410537128577,-0.08739338716239942,-3.856053964022744,-6.020576750993521,-2.835806870833005,-110.74250327463363,-172.90570795501208,-81.44189749664001,0.8838066713227132,0.8292619576888196,0.9119575930660824,-0.1314691690473334,-0.20589156505747944,-0.09654221600141664,-4.266011250878012,-6.680925568791407,-3.1326750038136963,-122.51611863521,-191.8703494770651,-110.74250327463363,-0.4099572868552688,-0.6603488177978862,-0.29686813298069126,-11.773615360576358,-18.964641522053025,-8.525793595080163,0.9325620976895268,0.9106711373097364,0.9547466418017548,-0.0723146506571029,-0.09809124175622284,-0.04739828999329621,-0.5058971031109077,-0.6862243624784857,-0.3315878232437267,-23.22759885725013,-31.507087349792737,-15.224417963440162,0.9260736696126656,0.9021894194727236,0.950335501494704,-0.0798276992566417,-0.10841468367523203,-0.05225996337838866,-0.5584567087717396,-0.7584448504916915,-0.3655990016071818,-25.640803892182713,-34.82299589034397,-16.78599640069705,-0.05255960566083184,-0.0722204880132058,-0.03401117836345507,-2.4132050349325915,-3.3159085405512303,-1.5615784372568906,0.9106711373097364,0.8890728729285289,0.9547466418017548,-0.09809124175622284,-0.12476719338661948,-0.04739828999329621,-0.7692251446973712,-0.9784162242009616,-0.3716943105798561,-93.12653083503284,-118.45232738510433,-44.999311208215026,0.9021894194727236,-0.10841468367523203,-0.8501809054946493,0.8786807162155001,-0.138069814832201,-1.0827345172832554,0.950335501494704,-0.05225996337838866,-0.4098192373945566,-102.92747039886795,-131.08166068804545,-49.61491978142333,-0.08095576079727806,-0.1043182930822938,-0.03812492681470059,-9.800939563835117,-12.629333302941138,-4.615608573208304,0.708
