geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06097151504,06097151504,Census Tract 1515.04; Sonoma County; California,2614,1965,764,Santa Rosa city,California,7502,0.6888541651686584,0.17471291325971344,06097,2614,1965,764,0.011422,0.009493868073,0.003212018401,0.786327414785906,0.6946439325215937,0.8358046947162042,-0.27173487938516155,-0.43958646031780313,-0.19645176238157885,-8.113217641169742,-13.124780421046362,-5.865481486217136,-310.3755792337315,-502.0956549749947,-224.3872029922393,0.76765089226778,0.669789710217773,0.8209473151513862,-0.3026754870899955,-0.4930059162522273,-0.21810496428214243,-9.0370147069986,-14.719730886181706,-6.511983473908069,-345.71594135419286,-563.111357543294,-310.3755792337315,-0.9237970658288592,-1.5949504651353443,-0.6465019876909333,-35.34036212046133,-61.015702568299325,-24.732287210823763,0.8611669192444031,0.8184701550109298,0.9056185667440326,-0.16121506487663328,-0.22179164857470712,-0.1042176438534124,-1.0175276083827345,-1.3998637528458164,-0.6577817648902394,-51.7825754902155,-71.23988564100847,-33.47489897660252,0.8483910384007851,0.8022378207671115,0.8966848857716191,-0.17870174805829794,-0.2465131587087049,-0.11521897588301128,-1.127896840501344,-1.5558964356568523,-0.7272179498873937,-57.3993303054119,-79.18048018609936,-37.00854706806075,-0.11036923211860938,-0.15603268281103588,-0.06943618499715432,-5.616754815196407,-7.940594545090885,-3.533648091458235,0.8184701550109298,0.7774761968527661,0.9056185667440326,-0.22179164857470712,-0.28621301082658623,-0.1042176438534124,-1.608724737563746,-2.07599318409069,-0.7559234210801221,-210.56606512614476,-271.726856556373,-98.94285616231964,0.8022378207671115,-0.2465131587087049,-1.7880376429777618,0.7581511738594526,-0.31899815561768385,-2.313794173392965,0.8966848857716191,-0.11521897588301128,-0.835719549996161,-234.03634070389552,-302.8526404964614,-109.38737565394776,-0.17931290541401568,-0.2378009893022752,-0.07979612891603893,-23.470275577750744,-31.125783940088382,-10.444519491628132,0.2577
06097151405,06097151405,Census Tract 1514.05; Sonoma County; California,4757,3108,916,Santa Rosa city,California,186349,0.6907611299411887,0.2505069638426956,06097,4757,3108,916,0.011422,0.009493868073,0.003212018401,0.7857155277130876,0.6938247762386975,0.8353193615699845,-0.27272526089768284,-0.4412860915995432,-0.19714691889877645,-14.818378142883148,-23.97703884485517,-10.7118701961473,-311.5067929973334,-504.0369738249983,-225.1812107661825,0.7669938286762922,0.66892092972754,0.8204229540017435,-0.30379145517485967,-0.4949450010591127,-0.21888349798398607,-16.506342846791476,-26.89256639257631,-11.892915352569984,-346.99060010072475,-565.3261802097185,-311.5067929973334,-1.687964703908328,-2.9155275477211404,-1.1810451564226838,-35.483807103391385,-61.28920638472021,-24.82752063112642,0.8607501820546761,0.8179393712436562,0.9053278656935192,-0.16177727388093485,-0.22258450339604657,-0.10457220847163264,-1.6150149524090098,-2.222050678290685,-1.0439394621794384,-51.963158056917955,-71.49455206855485,-33.58878578440921,0.8479394391966681,0.8016655566469227,0.896368274153719,-0.17932950606400966,-0.24740297460531863,-0.11561288907075833,-1.7902380646780631,-2.469812314627855,-1.154158059789652,-57.600967331984016,-79.46629068944193,-37.13507270880475,-0.1752231122690533,-0.2477616363371702,-0.11021859761021346,-5.637809275066065,-7.971738620887072,-3.5462869243955426,0.8179393712436562,0.7768427179878883,0.9053278656935192,-0.22258450339604657,-0.28726185731664533,-0.10457220847163264,-1.935680125868038,-2.498139177004569,-0.9093999922200506,-211.31879103362863,-272.722617576918,-99.2794751331933,0.8016655566469227,-0.24740297460531863,-2.151511060821928,0.7574716951901967,-0.32018134321033054,-2.7844196395973277,0.896368274153719,-0.11561288907075833,-1.0054139810005651,-234.8811201770664,-303.97594318748116,-109.76135163761629,-0.21583093495389005,-0.28628046259275886,-0.09601398878051448,-23.56232914343778,-31.25332561056319,-10.48187650442298,0.9495
06097152803,06097152803,Census Tract 1528.03; Sonoma County; California,2824,1567,452,Santa Rosa city,California,8945,0.5953507716193287,0.18941468879312187,06097,2824,1567,452,0.011422,0.009493868073,0.003212018401,0.8169216692034729,0.7360183049105757,0.8599509559682481,-0.22410757077240331,-0.3586618611632184,-0.16285701301891792,-7.228752845575391,-11.568899437654537,-5.253071514830675,-255.97566733623904,-409.6635778206281,-186.01528027020805,0.80056842583331,0.7138015340934303,0.8470734152929698,-0.24911246525754757,-0.4009496368903977,-0.18053521919837243,-8.035303920756904,-12.932922429235433,-5.823294924883078,-284.5362578171708,-457.96467525621216,-255.97566733623904,-0.8065510751815133,-1.364022991580896,-0.5702234100524031,-28.560590480931772,-48.30109743558413,-20.19204709817291,0.8818500347259896,0.8449227684899884,0.9199874759270894,-0.1339796571088442,-0.18354012614331527,-0.08697131881309624,-0.6743508092974668,-0.9238001893283956,-0.4377468974982764,-43.03451239932781,-58.95342624941899,-27.93534763869026,0.8708316601865411,0.8308042599691343,0.9123471226622129,-0.14832756515282147,-0.20365295194460312,-0.09607404370610356,-0.7465671711688915,-1.0250327245433415,-0.4835630313119707,-47.643086864638896,-65.41370290640342,-30.85915962424829,-0.07221636187142466,-0.10123253521494602,-0.04581613381369431,-4.608574465311082,-6.460276656984431,-2.923811985558029,0.8449227684899884,0.8091792839956881,0.9199874759270894,-0.18354012614331527,-0.2358200707537253,-0.08697131881309624,-0.7876125961552988,-1.01195777759703,-0.373213790579754,-174.25057437064132,-223.88446407013936,-82.56942269463585,0.8308042599691343,-0.20365295194460312,-0.8739213248144599,0.7922262553041419,-0.26226566376052773,-1.1254418565427426,0.9123471226622129,-0.09607404370610356,-0.4122756618757931,-193.3454258439071,-248.9915611820227,-91.2114296185383,-0.08630872865916117,-0.11348407894571276,-0.03906187129603911,-19.094851473265745,-25.107097111883355,-8.642006923902457,0.9051
06097152203,06097152203,Census Tract 1522.03; Sonoma County; California,2161,1477,748,Santa Rosa city,California,34641,0.5666001770009926,0.2074881491938744,06097,2161,1477,748,0.011422,0.009493868073,0.003212018401,0.826566009433598,0.7492288935626701,0.8675147919765032,-0.20982473097974003,-0.3347056001069103,-0.1527180968541747,-5.179091664938526,-8.261518914514062,-3.7695319270019767,-239.66180772505905,-382.30073644211296,-174.43461022683834,0.8109709475087646,0.7279071227273367,0.8552726366152552,-0.2330897957219268,-0.3738016414143337,-0.16921781100995337,-5.753341908596167,-9.226524234534796,-4.1767934145256405,-266.2351646735848,-426.9562348234519,-239.66180772505905,-0.5742502436576409,-0.9650053200207348,-0.40726148752366376,-26.57335694852572,-44.65549838133896,-18.845973508730392,0.888309023849548,0.8532270555254496,0.9244513153271868,-0.1257343707558339,-0.1720209685382773,-0.08172272938578133,-0.5965028631712067,-0.8160934805792192,-0.387704982907567,-40.38611125058949,-55.25345163027889,-26.249491056707313,0.8778503392012167,0.8397907372830745,0.917217746986802,-0.1391463388963671,-0.19077283852313143,-0.0902536538190086,-0.6601312676281308,-0.905055186662762,-0.4281769781092542,-44.69406009669133,-61.27658677472999,-28.98963968241396,-0.06362840445692408,-0.08896170608354292,-0.0404719952016872,-4.307948846101834,-6.023135144451112,-2.740148625706649,0.8532270555254496,0.8191848635318043,0.9244513153271868,-0.1720209685382773,-0.22072568051201016,-0.08172272938578133,-1.221591997056882,-1.56746428734592,-0.580346878892858,-163.31443810920882,-209.5540491104171,-77.58648113540882,0.8397907372830745,-0.19077283852313143,-1.3547567763160555,0.803008441849744,-0.24531692057493512,-1.7420968470497638,0.917217746986802,-0.0902536538190086,-0.6409284992829823,-181.1172160850342,-232.90064800130529,-85.685628246388,-0.1331647792591737,-0.17463255970384362,-0.06058162039012438,-17.80277797582536,-23.346598890888185,-8.099147110979194,0.4942
06097153006,06097153006,Census Tract 1530.06; Sonoma County; California,4553,3652,1683,Santa Rosa city,California,109765,0.6199787609366378,0.20681240745715368,06097,4553,3652,1683,0.011422,0.009493868073,0.003212018401,0.8087497831506856,0.7248873919945875,0.853524177503113,-0.23647637481181352,-0.3795246145038024,-0.17161297401719203,-12.29780394606673,-19.736936958664646,-8.924623911138545,-270.1033153100534,-433.4930146862431,-196.01633892243672,0.7917637149213399,0.701936136082884,0.8401124301898983,-0.2630030666400871,-0.4246310292278797,-0.19031687196195968,-13.67730773667348,-22.082667458923353,-9.897308265484888,-300.40210271630747,-485.0135615840842,-270.1033153100534,-1.3795037906067478,-2.345730500258707,-0.9726843543463436,-30.298787406254068,-51.520546897841136,-21.363592232513582,0.8763545714080324,0.8378735503858777,0.9161808591404964,-0.1410906414207521,-0.19349751467802737,-0.09148754858089644,-1.6550343095239768,-2.269782193736996,-1.0731755860694143,-45.318573645234856,-62.15175776935914,-29.38596895042208,0.8648640440914016,0.8231828789414133,0.9081954790507772,-0.15625109730462652,-0.21479688849453216,-0.101084538589836,-1.83287087177343,-2.5196300509918803,-1.1857510735221035,-50.1881399718902,-68.99315583219825,-32.46853980071478,-0.1778365622494531,-0.24984785725488431,-0.11257548745268942,-4.869566326655343,-6.841398062839111,-3.0825708502927007,0.8378735503858777,0.8007056610252552,0.9161808591404964,-0.19349751467802737,-0.2488983763641192,-0.09148754858089644,-3.0917381126654617,-3.9769430510049006,-1.4618045159523188,-183.7039876806573,-236.3008348784849,-86.8570716549209,0.8231828789414133,-0.21479688849453216,-3.43206334068698,0.7831053462486904,-0.27696740264933706,-4.425435004484608,0.9081954790507772,-0.101084538589836,-1.6151469494553028,-203.9253321857979,-262.9491981274277,-95.96832735919804,-0.3403252280215181,-0.44849195347970694,-0.15334243350298404,-20.221344505140703,-26.64836324894278,-9.111255704277124,0.7064
06097151900,06097151900,Census Tract 1519; Sonoma County; California,1998,1406,469,Santa Rosa city,California,49789,0.5358602722051795,0.23103999188541052,06097,1998,1406,469,0.011422,0.009493868073,0.003212018401,0.8370036426797144,0.7636159472323196,0.8756755926542257,-0.194737930648,-0.3095588215835987,-0.14197541691088994,-4.444144694435189,-7.064490158535473,-3.240043137488457,-222.4296643861456,-353.57808601278646,-162.16432119561847,0.8222428068518436,0.7432971857747559,0.8641269888696906,-0.2161857685672472,-0.34535690318493106,-0.15723731914453473,-4.933609149453045,-7.881443763260208,-3.5883373892192134,-246.9273848575098,-394.4666548178282,-222.4296643861456,-0.4894644550178562,-0.816953604724735,-0.34829425173075634,-24.497720471364172,-40.88856880504179,-17.432144731269087,0.8952672631751484,0.862196237631354,0.9292479778448388,-0.11698488388082824,-0.1598287679232094,-0.07613901115959706,-0.5283151851276805,-0.7218023586713811,-0.3438512262592696,-37.575759966406864,-51.33729435785072,-24.45599048785701,0.8854172413415184,0.8495065577158236,0.9224541460195588,-0.12941103166782056,-0.17715395003992346,-0.0840647248592852,-0.5844328847032633,-0.8000445767573248,-0.3796445250309749,-41.56706150094333,-56.90217473380688,-27.001744312302623,-0.05611769957558277,-0.07824221808594367,-0.03579329877170523,-3.9913015345364697,-5.5648803759561645,-2.5457538244456064,0.862196237631354,0.8300196444575061,0.9292479778448388,-0.1598287679232094,-0.20479076209526545,-0.07613901115959706,-0.7116574281216165,-0.9118562881358404,-0.33901839803705003,-151.73932369330842,-194.42564779015788,-72.28537271578892,0.8495065577158236,-0.17715395003992346,-0.7887999520059473,0.8146990469400626,-0.22744712143203236,-1.012736540331424,0.9224541460195588,-0.0840647248592852,-0.37430862207392857,-168.18762302898662,-215.9352964459326,-79.8099407407097,-0.07714252388433085,-0.1008802521955834,-0.03529022403687854,-16.448299335678218,-21.50964865577471,-7.524568024920797,0.7413
06097152204,06097152204,Census Tract 1522.04; Sonoma County; California,2542,2089,847,Santa Rosa city,California,0,NA,NA,06097,2542,2089,847,0.011422,0.009493868073,0.003212018401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8111
06097153601,06097153601,Census Tract 1536.01; Sonoma County; California,1427,1116,625,Santa Rosa city,California,43516,0.8334411646688299,0.12632900891296636,06097,1427,1116,625,0.011422,0.009493868073,0.003212018401,0.7412589073729423,0.6351972606269704,0.7997945745308548,-0.3490563014534945,-0.5743140941964261,-0.25032105973784846,-5.6893363743129886,-9.360856838241824,-4.080031514952781,-398.69210752018137,-655.9815583911579,-285.9167144325705,0.7193941760958154,0.6070150769028979,0.782125236144216,-0.39005851482847015,-0.6474055390883916,-0.27856761780233624,-6.3576394045411115,-10.552188478276278,-4.540427644678132,-445.52483563707864,-739.4666067467609,-398.69210752018137,-0.668303030228123,-1.1913316400344556,-0.4603961297253516,-46.832728116897194,-83.48504835560306,-32.263218621258,0.8301349743028731,0.7791868315885272,0.8838400751243907,-0.20462338168534025,-0.2833892456335553,-0.13142640636572303,-0.7334955390489458,-1.0158406423284652,-0.4711127437563906,-65.72540672481593,-91.02514716204884,-42.21440356240059,0.8148235689864085,0.7599863021283321,0.8729935971085527,-0.22725954189560305,-0.3158131892634283,-0.14548377366352505,-0.8146374026946023,-1.132067917114972,-0.5215029587884444,-72.99618303715074,-101.43977751926272,-46.729655805416165,-0.08114186364565645,-0.11622727478650696,-0.05039021503205382,-7.270776312334808,-10.414630357213886,-4.515252243015575,0.7791868315885272,0.7308806419081025,0.8838400751243907,-0.2833892456335553,-0.368212458588738,-0.13142640636572303,-1.681537569594978,-2.184850315422784,-0.7798406020904135,-269.04601113519647,-349.5760504676454,-124.77449633446616,0.7599863021283321,-0.3158131892634283,-1.87393047161273,0.7083226105592524,-0.4117860775479909,-2.4434016840867323,0.8729935971085527,-0.14548377366352505,-0.8632523462023116,-299.8288754580368,-390.9442694538772,-138.12037539236985,-0.19239290201775192,-0.25855136866394846,-0.08341174411189811,-30.78286432284031,-41.36821898623175,-13.345879057903698,0.1051
06097152804,06097152804,Census Tract 1528.04; Sonoma County; California,2026,1226,376,Santa Rosa city,California,2795,0.5079142766609814,0.20500653340529548,06097,2026,1226,376,0.011422,0.009493868073,0.003212018401,0.8466069482689479,0.7769349857741087,0.8831612703842514,-0.1811856754125323,-0.2871089837763423,-0.13229602965369355,-4.192812641522499,-6.643980954516792,-3.0614587179272923,-206.95027845619444,-327.93588126933815,-151.1085250704488,0.8326260825933178,0.7575706595170103,0.8722561035371258,-0.2010193061516584,-0.3200088829173383,-0.14645228155452747,-4.651782135114955,-7.405316599341405,-3.389048146789437,-229.60425148642423,-365.51414606818383,-206.95027845619444,-0.45896949359245554,-0.7613356448246131,-0.3275894288621446,-22.65397303022979,-37.578264798845666,-16.169270921132508,0.9016403652500324,0.8704320166503298,0.933630272619824,-0.10908965319303526,-0.14885479953768788,-0.07108780566201926,-0.42958791540646846,-0.5861804594656614,-0.27993912668444254,-35.03979734147377,-47.81243551922198,-22.83353398731179,0.892352985316875,0.8584368312764322,0.9272405536676552,-0.12063277251759232,-0.1649080789241927,-0.07846879220774834,-0.4750439639205285,-0.6493972231571106,-0.3090049686870036,-38.74746850901537,-52.96877839780674,-25.20432044755331,-0.04545604851405999,-0.06321676369144913,-0.02906584200256107,-3.7076711675415974,-5.156342878584757,-2.370786460241523,0.8704320166503298,0.8399939756796208,0.933630272619824,-0.14885479953768788,-0.1904847284064411,-0.07108780566201926,-0.53136614364522,-0.6799722674109072,-0.25376174145640673,-141.320782884367,-180.84368814119873,-67.48982485542733,0.8584368312764322,-0.1649080789241927,-0.5886714450997871,0.8254747407001668,-0.21142410626859529,-0.7547194472096069,0.9272405536676552,-0.07846879220774834,-0.28010960776157295,-156.56155454781572,-200.7232572365976,-74.49723610680131,-0.05730530145456714,-0.07474717979869971,-0.02634786630516622,-15.240771663448706,-19.87956909539886,-7.007411251373995,0.9022
06097152201,06097152201,Census Tract 1522.01; Sonoma County; California,2805,1835,637,Santa Rosa city,California,12498,0.6103263747964665,0.17966792219129823,06097,2805,1835,637,0.011422,0.009493868073,0.003212018401,0.8119427836772151,0.729229702009183,0.8560372654802496,-0.23161387736102648,-0.3713100237754814,-0.16817344328927686,-7.420609848745493,-11.896294171835754,-5.388060179246588,-264.5493707217645,-424.1103091563549,-192.087706925012,0.7952029250765819,0.706562825977019,0.8428337891772665,-0.2575406458718637,-0.4153023103320256,-0.18647355248553996,-8.25127006630134,-13.305750283057774,-5.9743720707539945,-294.16292571484274,-474.35829886123975,-264.5493707217645,-0.8306602175558462,-1.4094561112220203,-0.5863118915074068,-29.613554993078292,-50.247989704884866,-20.902384723971725,0.8785043019353784,0.8406292974789709,0.917670896465857,-0.13829835300403415,-0.1895849966197686,-0.08971528229914413,-0.8151379283322057,-1.117424163272563,-0.5287866974882206,-44.421685467695134,-60.89504976962196,-28.816713759576057,0.8671980283311286,0.8261615410049643,0.9098203663775464,-0.15313915314641682,-0.21041703149673863,-0.09911806435099307,-0.9026104022994208,-1.2402092968891745,-0.5842072004502467,-49.18857778198479,-67.58633770513211,-31.836904656689192,-0.08747247396721525,-0.12278513361661124,-0.05542050296202605,-4.7668923142896595,-6.691287935510149,-3.020190897113136,0.8406292974789709,0.8040160815022608,0.917670896465857,-0.1895849966197686,-0.24375621707908357,-0.08971528229914413,-1.146533080938485,-1.4741386267295489,-0.5425615995763768,-179.9894946528234,-231.41893669223688,-85.17450542800265,0.8261615410049643,-0.21041703149673863,-1.2725167692870591,0.7866675010705947,-0.27118509235360044,-1.6400173272379102,0.9098203663775464,-0.09911806435099307,-0.5994258075438513,-199.7671537342322,-257.45954901694034,-94.10138265994526,-0.1259836883485741,-0.1658787005083613,-0.05686420796747449,-19.777659081408807,-26.0406123247035,-8.926877231942619,0.6633
06097153102,06097153102,Census Tract 1531.02; Sonoma County; California,3425,2385,744,Santa Rosa city,California,55772,0.5454489264175946,0.2242145890577999,06097,3425,2385,744,0.011422,0.009493868073,0.003212018401,0.833733779901351,0.7590988130574727,0.8731218010810172,-0.19942363390664336,-0.31735155265522486,-0.14531557769133027,-7.801522356699756,-12.414903812915826,-5.684796259737032,-227.7816746481681,-362.4789434427978,-165.97945283903744,0.8187100804152978,0.7384619854163289,0.8613552706858757,-0.2214335989276464,-0.35416584705605614,-0.16096114348232288,-8.662559891809153,-13.855091894879386,-6.29685626942869,-252.92145669515773,-404.5282305074273,-227.7816746481681,-0.8610375351093964,-1.4401880819635604,-0.6120600096916577,-25.139782046989676,-42.0492870646295,-17.87036524647176,0.8930909603962733,0.8593884216945917,0.927749096987762,-0.11970677606712092,-0.16361819028017882,-0.0778776322680604,-0.9170333763729696,-1.253423961435035,-0.5965943650731015,-38.45003674519789,-52.55446379182537,-25.014438787132136,0.8830499350944824,0.846463913715693,0.920817563468995,-0.13243878999096975,-0.18138527088571924,-0.08599144898225125,-1.0145690556403493,-1.38953159419639,-0.6587515877562503,-42.53958304571695,-58.26128277552998,-27.62061164596437,-0.0975356792673796,-0.13610763276135485,-0.06215722268314883,-4.0895463005190615,-5.706818983704606,-2.606172858832236,0.8593884216945917,0.8266246765218703,0.927749096987762,-0.16361819028017882,-0.20973886747202933,-0.0778776322680604,-1.1557069175700931,-1.4814774543445488,-0.5500838151433864,-155.33695128630285,-199.12331375598777,-73.93599665905732,0.846463913715693,-0.18138527088571924,-1.2812035871377434,0.811034263952591,-0.2329935299237307,-1.6457353172091072,0.920817563468995,-0.08599144898225125,-0.6073952552004409,-172.20478321743863,-221.20098349584777,-81.63914720436034,-0.1254966695676503,-0.16425786286455837,-0.05731144005705446,-16.86783193113579,-22.077669739859992,-7.70315054530302,0.8354
