geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08041007900,08041007900,Census Tract 79; El Paso County; Colorado,1552,1328,911,Colorado Springs city,Colorado,162199,0.5755356178326598,0.20864332530727545,08041,1552,1328,911,0.01065599999999999,0.007069502844,0.002896537907,0.8235564985762873,0.7450979569871778,0.8651569179229057,-0.21424577637203657,-0.34210541127172717,-0.15585968196478106,-3.5432206451676937,-5.657777607417886,-2.577624876617929,-228.3002993020421,-364.5475262511525,-166.0840771016707,0.8077235369592274,0.7234936268740123,0.8527159240524667,-0.2380473692330677,-0.38218218219928835,-0.1727234965281018,-3.9368540536818273,-6.320571733616236,-2.8565205306133583,-253.66327665475688,-407.2533333515616,-228.3002993020421,-0.39363340851413353,-0.6627941261983503,-0.27889565399542926,-25.36297735271479,-42.70580710040917,-17.970080798674566,0.8862965742990644,0.8506374495821248,0.9230616771620234,-0.1282904943989646,-0.17558896624084613,-0.08335122640398794,-0.49348251601844617,-0.675420928507312,-0.32061902256879204,-37.15982801343721,-50.86000967675542,-24.14299868740904,0.8756629560431388,0.8369874548257684,0.915701219922848,-0.14199189665245565,-0.19476103761694383,-0.0920592637020343,-0.5461863619948021,-0.7491682631347658,-0.35411537922058356,-41.12849111406642,-56.41327282641309,-26.665314700345142,-0.05270384597635591,-0.07374733462745386,-0.03349635665179151,-3.9686631006292106,-5.5532631496576705,-2.522316012936108,0.8506374495821248,0.8160620349833007,0.9230616771620234,-0.17558896624084613,-0.2253970373961378,-0.08335122640398794,-1.130848620251575,-1.4516283921769664,-0.5368083279557453,-124.13266962146815,-159.34449969011706,-58.92517321138806,0.8369874548257684,-0.19476103761694383,-1.2543228392027053,0.7996418060580778,-0.25055992873810584,-1.6136853913427005,0.915701219922848,-0.0920592637020343,-0.5928908493944085,-137.68637093333757,-177.13341288064763,-65.08132265580774,-0.1234742189511302,-0.1620569991657339,-0.05608252143866321,-13.553701311869396,-17.788913190530614,-6.156149444419672,0.1961
08041000102,08041000102,Census Tract 1.02; El Paso County; Colorado,2225,1590,604,Colorado Springs city,Colorado,67723,0.534601758339474,0.19437710297935648,08041,2225,1590,604,0.01065599999999999,0.007069502844,0.002896537907,0.837433764165342,0.7642108146,0.8760113326583614,-0.1941242911272934,-0.3085394512814057,-0.14153774354194726,-4.6026092929116755,-7.315346974101616,-3.3558032842821524,-206.85884462524385,-328.7796392854659,-150.82261951829898,0.8227076085585718,0.743934153227431,0.8644914392650012,-0.21549866513578744,-0.3442049886561481,-0.1567494535865034,-5.109387150903466,-8.16096259904181,-3.716466844754561,-229.6353775686951,-366.7848359119914,-206.85884462524385,-0.5067778579917901,-0.8456156249401934,-0.36066356047240866,-22.77653294345124,-38.005196626525546,-16.20959822347904,0.8955532970243145,0.8625654447548604,0.9294448861187192,-0.11662812623518232,-0.15933232206420958,-0.07591102488703004,-0.5371302839735129,-0.7338042559642116,-0.3496078662197596,-33.781778866258676,-46.151211066931545,-21.98791611445029,0.8857284218048211,0.8499067167872101,0.9226691638194736,-0.12901423888185864,-0.1765997141194127,-0.08381209561660045,-0.5941744672078504,-0.8133291484364646,-0.38599621010956087,-37.36946334640569,-51.152776631224185,-24.276491201859173,-0.05704418323433746,-0.07952489247225303,-0.03638834388980128,-3.5876844801470105,-5.001565564292643,-2.2885750874088853,0.8625654447548604,0.8304662689558376,0.9294448861187192,-0.15933232206420958,-0.20414282600221756,-0.07591102488703004,-0.6803457836003283,-0.8716857265589439,-0.3241385366232074,-112.64003039740534,-144.3188289004874,-53.66532063298136,0.8499067167872101,-0.1765997141194127,-0.754077197454932,0.8151812786292923,-0.22672100821730823,-0.968094106681632,0.9226691638194736,-0.08381209561660045,-0.3578759483871867,-124.84721812167749,-160.2804812386808,-59.25098483231568,-0.07373141385460369,-0.09640838012268804,-0.03373741176397932,-12.207187724272131,-15.961652338193383,-5.585664199334324,0.217
08041000900,08041000900,Census Tract 9; El Paso County; Colorado,1664,1257,597,Colorado Springs city,Colorado,52133,0.6307474497289173,0.1862533218836992,08041,1664,1257,597,0.01065599999999999,0.007069502844,0.002896537907,0.8052023273307111,0.7200734003458888,0.8507291557474913,-0.24192388180875443,-0.3887473131484204,-0.17546224111874031,-4.289693631898,-6.893105637865521,-3.1112234672251975,-257.79408845540866,-414.2491368909568,-186.97256413612965,0.7879443099064786,0.696810113063674,0.8370867133948469,-0.26912522551078566,-0.43511120354336863,-0.1946193673824426,-4.7720165426634384,-7.715210854970338,-3.4509096607686405,-286.7798403042932,-463.6544984958136,-257.79408845540866,-0.4823229107654381,-0.8221052171048173,-0.339686193543443,-28.985751848884497,-49.405361604856814,-20.413833746601146,0.8739624312322452,0.834809760044854,0.9145213534566126,-0.14421394360172657,-0.19787770562992751,-0.09346818007070493,-0.525075491030974,-0.7204624660612414,-0.3403127972280851,-41.77211543603612,-57.31602753072724,-27.07341266730987,0.8622675462275226,0.8198724057232983,0.9063860973443676,-0.15973285133490878,-0.21970198413714337,-0.10328258887676332,-0.5815790294181419,-0.79992353249751,-0.3760465508050043,-46.267225888475885,-63.63751252963485,-29.916193381464147,-0.05650353838716793,-0.0794610664362686,-0.03573375357691921,-4.495110452439771,-6.321484998907605,-2.842780714154273,0.834809760044854,0.7970284722618881,0.9145213534566126,-0.19787770562992751,-0.25466032243753944,-0.09346818007070493,-0.8351415106208356,-1.074792158614507,-0.3944818182055115,-139.88970027149676,-180.03218737261426,-66.07735648333525,0.8198724057232983,-0.21970198413714337,-0.927250729608917,0.779150259379311,-0.28344948610634224,-1.1962966280509977,0.9063860973443676,-0.10328258887676332,-0.4359034638125768,-155.3183801689978,-200.3846948159125,-73.0156555799961,-0.09210921898808132,-0.12150446943649064,-0.04142164560706529,-15.42867989750106,-20.35250744329826,-6.938299096660853,0.0809
08041005700,08041005700,Census Tract 57; El Paso County; Colorado,3782,2271,1050,Colorado Springs city,Colorado,100485,0.5541256329215699,0.19156215083595263,08041,3782,2271,1050,0.01065599999999999,0.007069502844,0.002896537907,0.8307859147311022,0.7550343238167472,0.8708173124153297,-0.20367953075331904,-0.3244430994142565,-0.1483464852419673,-8.208487139453263,-13.075378753949153,-5.978510514964642,-217.04090797073673,-345.7265667358316,-158.07801467384033,0.8155264241254482,0.7341137602697512,0.8588548252467023,-0.22620183775452407,-0.3621866992828857,-0.16434113263874875,-9.116158453730373,-14.59648327030598,-6.6231106717451516,-241.04067831122083,-385.94614675584296,-217.04090797073673,-0.907671314277108,-1.5211045163568286,-0.64460015678051,-23.99977034048408,-40.219580020011335,-17.04389626601031,0.8911261990691894,0.8568555301734571,0.9263948539573336,-0.12217551346210316,-0.1670578817383201,-0.0794533192064302,-0.8036751197399374,-1.0989130252453578,-0.5226469201356779,-35.38860060501706,-48.38894871181672,-23.013955091839627,0.880913231650155,0.8437200397214464,0.9193391339129746,-0.13518558249689114,-0.18522727080199416,-0.08773787943053103,-0.8892558428575966,-1.2184319494353442,-0.5771430686798965,-39.15701641821209,-53.65178112881304,-25.413609365032872,-0.08558072311765919,-0.11951892418998632,-0.05449614854421858,-3.768415813195032,-5.262832416996315,-2.3996542731932444,0.8568555301734571,0.8235645631832685,0.9263948539573336,-0.1670578817383201,-0.21423388608995933,-0.0794533192064302,-1.2400669785647531,-1.5902534203438463,-0.589780239399853,-118.10161700616696,-151.45270669941394,-56.169546609509815,0.8437200397214464,-0.18522727080199416,-1.374937953607109,0.8077322374839435,-0.23803403354924096,-1.766921391002408,0.9193391339129746,-0.08773787943053103,-0.6512763475687017,-130.9464717721056,-168.27822771451503,-62.026318816066826,-0.13487097504235557,-0.17666797065856144,-0.06149610816884865,-12.844854765938626,-16.82552101510109,-5.8567722065570145,0.3324
08041004708,08041004708,Census Tract 47.08; El Paso County; Colorado,3347,1958,748,Colorado Springs city,Colorado,85248,0.5083795670859897,0.18868494166005276,08041,3347,1958,748,0.01065599999999999,0.007069502844,0.002896537907,0.8464461583117584,0.7767113381318025,0.8830361143032368,-0.18141005211070435,-0.28747959622331015,-0.13245651429449634,-6.4701041596812034,-10.253141486409168,-4.724145294830246,-193.31055152916653,-306.33825773555924,-141.14566163221528,0.8324521361059211,0.7573307821761626,0.8721201327646044,-0.20127026723463196,-0.32042698320875884,-0.14663102298764596,-7.17843128373204,-11.42823086599377,-5.229688105660921,-214.4735967652238,-341.44699330725336,-193.31055152916653,-0.7083271240508369,-1.1750893795846018,-0.5055428108306756,-21.163045236057272,-35.108735571694105,-15.104356463420247,0.9015338849737164,0.8702942520691936,0.933557140130456,-0.10922064790626727,-0.14903665929359025,-0.07117171195354911,-0.6194363004059275,-0.8452496723596418,-0.4036447575727394,-31.636174688760335,-43.1690333176528,-20.615156157954,0.8922370641818753,0.858287379765527,0.92716065880888765,-0.12077836725706576,-0.16511092155775026,-0.07856172552089105,-0.6849849952088795,-0.9364135844910816,-0.4455566373487357,-34.98391191056586,-47.82500431517271,-22.755701601059023,-0.065548694802952,-0.09116391213143991,-0.04191187977599631,-3.3477372218055157,-4.655970997519915,-2.140545443105021,0.8702942520691936,0.8398269295386434,0.933557140130456,-0.14903665929359025,-0.19072152228953565,-0.07117171195354911,-0.788104084878749,-1.0085331454899356,-0.3763551678108373,-105.36150867362954,-134.83063442378818,-50.314862006796425,0.858287379765527,-0.16511092155775026,-0.8731045928869263,0.8252941678591872,-0.211689163627558,-1.119409783943134,0.92716065880888765,-0.07856172552089105,-0.4154334718156161,-116.72521295279763,-149.6537144309003,-55.53923419994867,-0.08500050800817738,-0.1108766384531985,-0.0390783040047788,-11.3637042791681,-14.823080007112098,-5.224372193152246,0.2218
08041005119,08041005119,Census Tract 51.19; El Paso County; Colorado,3631,2234,789,Colorado Springs city,Colorado,103706,0.4617022286169536,0.21399536974796832,08041,3631,2234,789,0.01065599999999999,0.007069502844,0.002896537907,0.8627295125693671,0.7994712444961425,0.8956803944251313,-0.15911184841911355,-0.25082672689527247,-0.11646967626418071,-6.1563454558740425,-9.70497166412136,-4.506437259954399,-169.5495856754074,-267.28096017960235,-124.11008702711096,0.8500845444882147,0.7817774375680527,0.8858666961401936,-0.1763535832804024,-0.279136429302427,-0.12883801181046328,-6.823461557656,-10.800328857838029,-4.984992107337689,-187.9223783435968,-297.4477790646662,-169.5495856754074,-0.6671161017819571,-1.0953571937166675,-0.4785548473832897,-18.3727926681894,-30.166818885063822,-13.179698358118692,0.912278745532064,0.8842238244727493,0.940922311634034,-0.09615619666418376,-0.1309353721568026,-0.06278699913425367,-0.6222138333211071,-0.8472652065423857,-0.4062862381141231,-27.85200686307552,-37.92592688193311,-18.186492305914197,0.9039414730079725,0.8734105501364159,0.9352100033578464,-0.10626631243323909,-0.14493693698091054,-0.0692785539178652,-0.6876350345147607,-0.9378674518883396,-0.448292217200746,-30.78044021999824,-41.981533208967754,-20.06679575652399,-0.06542120119365358,-0.09060224534595396,-0.04200597908662285,-2.9284333569227203,-4.055606327034645,-1.8803034506097964,0.8842238244727493,0.8567513943204053,0.940922311634034,-0.1309353721568026,-0.16719973451951345,-0.06278699913425367,-0.7303362608299017,-0.9326129899756772,-0.3502156935982614,-92.56479858427144,-118.20189987017454,-44.38728689458319,0.8734105501364159,-0.14493693698091054,-0.8084347175796975,0.8436072469973944,-0.1853857391093377,-1.0340515727878286,0.9352100033578464,-0.0692785539178652,-0.3864245328869882,-102.46320881871958,-131.0585009870505,-48.97649339505554,-0.07809845674979587,-0.10143858281215146,-0.03620883928872681,-9.898410234448146,-12.85660111687598,-4.589206500472346,0.0318
08041001901,08041001901,Census Tract 19.01; El Paso County; Colorado,1277,771,254,Colorado Springs city,Colorado,50700,0.5009884951460585,0.1833589883765745,08041,1277,771,254,0.01065599999999999,0.007069502844,0.002896537907,0.8490038978998928,0.7802715723354111,0.8850262992701111,-0.17785089382229352,-0.281605066050177,-0.12990992564255852,-2.420143742076349,-3.832000636551786,-1.7677768540853511,-189.51791245703595,-300.0783583830686,-138.43201676471034,0.8352195524169169,0.7611501950208852,0.8742825170567636,-0.1972899785526447,-0.3138011479752179,-0.14379503248727785,-2.6846652086305665,-4.270115646916148,-1.9567213891175208,-210.23220114569824,-334.38650328239214,-189.51791245703595,-0.26452146655421727,-0.43811501036436207,-0.18894453503216943,-20.714288688662275,-34.30814489932358,-14.795969853732924,0.9032267965724864,0.8724852027954357,0.9347195168184536,-0.1071416434883721,-0.14615124336322022,-0.06983964922840641,-0.23927201030419148,-0.3263894473652539,-0.15596805057068178,-31.03398317823495,-42.33326165567495,-20.22931914016625,0.8940802364285574,0.8606644747131739,0.928430591471078,-0.118467850262012,-0.1618929668652366,-0.07708643940256413,-0.2645660432834773,-0.36154434797482854,-0.17215180505463798,-34.31466190447177,-46.89291154018528,-22.328379384518545,-0.02529403297928584,-0.03515490060957466,-0.0161837544839562,-3.2806787262368147,-4.559649884510332,-2.0990602443522963,0.8724852027954357,0.8424843653328575,0.9347195168184536,-0.14615124336322022,-0.18696564725555417,-0.06983964922840641,-0.26243702417504705,-0.33572556045087404,-0.12540782610642212,-103.32166306104214,-132.1754175003441,-49.37315988441816,0.8606644747131739,-0.1618929668652366,-0.29070370857805655,0.8281672172088758,-0.20748561307490815,-0.37257231345742536,0.928430591471078,-0.07708643940256413,-0.13842055185792623,-114.4502789677388,-146.6820131722147,-54.49628025902607,-0.0282666844030095,-0.03684675300655132,-0.01301272575150411,-11.128615906696654,-14.5065956718706,-5.123120374607918,0.6005
08041000500,08041000500,Census Tract 5; El Paso County; Colorado,1428,880,324,Colorado Springs city,Colorado,64269,0.5770051315395294,0.20807416430661868,08041,1428,880,324,0.01065599999999999,0.007069502844,0.002896537907,0.8230626077004476,0.7444207715196876,0.86476975841121,-0.21497440248670427,-0.34332629912860135,-0.15637716313905395,-3.271215608578802,-5.224316642138528,-2.3795550119851354,-229.07672328983205,-365.8485043514375,-166.63550504097586,0.8071907175911811,0.7227703544443823,0.8522961820904041,-0.23886459322054696,-0.3835653245196165,-0.1733010437138491,-3.634747098451436,-5.836624556059714,-2.6370817763515,-254.53411053581485,-408.7272098081032,-229.07672328983205,-0.36353148987263406,-0.6123079139211862,-0.2575267643663648,-25.457387245982776,-42.8787054566657,-18.034087140501736,0.8859660456782881,0.8502123187862077,0.9228333387551252,-0.12871142734867283,-0.1761767947888997,-0.08361928205689906,-0.32807942497396647,-0.44906643270703095,-0.2131416498058611,-37.281752837950734,-51.03027644398079,-24.220642023393307,0.8753037434409544,0.8365273266302903,0.9154520535948996,-0.14246055440005925,-0.19541821069756604,-0.0923564987080298,-0.3631253085433664,-0.4981119044031794,-0.23541240752973225,-41.26423960720072,-56.6036255003613,-26.75140994656048,-0.03504588356939991,-0.04904547169614842,-0.02227075772387116,-3.9824867692499906,-5.573349056380503,-2.530767923167178,0.8502123187862077,0.8155495988189724,0.9228333387551252,-0.1761767947888997,-0.22616699394878875,-0.08361928205689906,-0.4035362819854455,-0.5180397790485253,-0.19153154774989348,-124.54823518069306,-159.8888206939893,-59.11467523144861,0.8365273266302903,-0.19541821069756604,-0.4476091091998503,0.7990894855921767,-0.2514242998191068,-0.5758921160494905,0.9154520535948996,-0.0923564987080298,-0.2115443078101689,-138.15095962958344,-177.74448026218843,-65.29145302782989,-0.04407282721440481,-0.05785233700096526,-0.02001276006027538,-13.602724448890372,-17.855659568199155,-6.176777796381293,0.113
08041005400,08041005400,Census Tract 54; El Paso County; Colorado,4210,2405,1124,Colorado Springs city,Colorado,102572,0.4574474393754142,0.20750354561206813,08041,4210,2405,1124,0.01065599999999999,0.007069502844,0.002896537907,0.8642292807757113,0.8015787598517663,0.8968419263944173,-0.15710034622111418,-0.24753804627374007,-0.11502369656190156,-7.047798028088531,-11.10499242280142,-5.160165469472853,-167.40612893321926,-263.7765421092974,-122.5692510563623,0.8517102505343725,0.7840446954039797,0.8871304640042605,-0.1741082127080058,-0.2754374920995405,-0.12722991778038792,-7.810800852535506,-12.35661066557148,-5.707758036283495,-185.52971146165095,-293.5061915812703,-167.40612893321926,-0.7630028244469749,-1.2516182427700606,-0.5475925668106427,-18.123582528431708,-29.729649471972937,-13.006949330419069,0.913264519846702,0.8855045839475967,0.94159655347748,-0.09497300975609696,-0.12929963111199327,-0.06202597737515695,-0.6615984795754996,-0.9007236853191972,-0.43208373021950885,-27.50929229004156,-37.45212828770051,-17.966059468586646,0.9050159729457756,0.8748022574894436,0.9359471931616636,-0.10495287364382848,-0.1431154771706418,-0.06843634695026304,-0.7311199445838227,-0.9969672683110928,-0.476739477945088,-30.39999769579304,-41.45394047031571,-19.822847315804076,-0.06952146500832312,-0.0962435829918955,-0.04465574772557917,-2.8907054057514814,-4.001812182615198,-1.8567878472174293,0.8855045839475967,0.8583109726845988,0.94159655347748,-0.12929963111199327,-0.16507889544069398,-0.06202597737515695,-1.0274305394988117,-1.311736910181858,-0.4928659335640402,-91.40841098743874,-116.7025720802365,-43.849282345555174,0.8748022574894436,-0.1431154771706418,-1.1372129267151747,0.8452966173705712,-0.18301668248792735,-1.4542727400589806,0.9359471931616636,-0.06843634695026304,-0.5438035071231894,-101.17552728782692,-129.38369573478474,-48.38109493978553,-0.10978238721636324,-0.14253582987712243,-0.05093757355914918,-9.767116300388189,-12.68112365454826,-4.531812594230354,0.9409
08041006000,08041006000,Census Tract 60; El Paso County; Colorado,4014,2350,834,Colorado Springs city,Colorado,114442,0.4537063706450088,0.22040942838200517,08041,4014,2350,834,0.01065599999999999,0.007069502844,0.002896537907,0.865550121797521,0.8034364046814203,0.8978644601458708,-0.15533459567108812,-0.24465358324971764,-0.1137538508179016,-6.644155242205055,-10.46461273259949,-4.865614391742655,-165.52454514711147,-260.70285831089905,-121.21610343155594,0.853142238283167,0.7860436377764293,0.8882431347666768,-0.1721374878969353,-0.2721940003595899,-0.12581787672660075,-7.362868443113386,-11.642604061076804,-5.381631191716211,-183.42970710297425,-290.04992678317893,-165.52454514711147,-0.718713200908331,-1.1779913284773134,-0.5160167999735563,-17.905161955862756,-29.347068472279854,-12.855426008309822,0.9141321524069485,0.8866322379257642,0.9421897869485896,-0.09393373525584664,-0.1278633431370086,-0.06135729112351857,-0.6393941685494561,-0.8703483977334202,-0.4176507410837495,-27.208262491466215,-37.03610203120937,-17.772371961010617,0.9059617936330692,0.8760277629882821,0.9365958552200546,-0.103799307021349,-0.1415163334422498,-0.06769637557818199,-0.7065477746430212,-0.9632824470465516,-0.460800027367476,-30.065862750766858,-40.990742427512835,-19.60851180287132,-0.06715360609356513,-0.09293404931313144,-0.04314928628372649,-2.857600259300644,-3.954640396303465,-1.8361398418607016,0.8866322379257642,0.8596845938839217,0.9421897869485896,-0.1278633431370086,-0.16321730913212604,-0.06135729112351857,-0.7538778434706588,-0.96232360273706,-0.36176046377760734,-90.39302679504304,-115.38652310995924,-43.37655440978505,0.8760277629882821,-0.1415163334422498,-0.8343754015331927,0.8467848090431657,-0.18093757625383197,-1.0668016840673853,0.9365958552200546,-0.06769637557818199,-0.3991354862118271,-100.04501217424372,-127.9138709912932,-47.857971967844975,-0.08049755806253389,-0.10447808133032532,-0.03737502243421975,-9.651985379200706,-12.527347881333972,-4.481417558059922,0.9002
08041006100,08041006100,Census Tract 61; El Paso County; Colorado,3046,1840,505,Colorado Springs city,Colorado,59684,0.4523764211068036,0.22833007207001696,08041,3046,1840,505,0.01065599999999999,0.007069502844,0.002896537907,0.8660201668675797,0.8040978339672675,0.8982282516154735,-0.1547075209772878,-0.2436297646347187,-0.11330276931446868,-5.021523944404499,-7.907777779352273,-3.6776012276964223,-164.85633435339787,-259.6118771947562,-120.7354309814978,0.8536518896575366,0.7867554888227855,0.8886390252587649,-0.17143769271239423,-0.2710429278304626,-0.12531632257407063,-5.5645548030928085,-8.797559055076452,-4.067539253781957,-182.68400535432727,-288.8233438961409,-164.85633435339787,-0.5430308586883097,-0.8897812757241788,-0.3899380260855345,-17.827671000929406,-29.21146670138473,-12.801642353431864,0.9144407942520882,0.88703346469623,0.9424007714250976,-0.09356451099482034,-0.1273531831659317,-0.06111967468766065,-0.49866420123740435,-0.6787453136157132,-0.32574523645722414,-27.10131528464154,-36.88833226172355,-17.703545459631744,0.9062982708948076,0.8764638435858928,0.9368265628136212,-0.1033895044428129,-0.14094837718425604,-0.06743343933016444,-0.5510277786003767,-0.7512026640975701,-0.359395264323339,-29.94716188045525,-40.82623174443316,-19.5323513219206,-0.05236357736297231,-0.07245735048185686,-0.03365002786611487,-2.845846595813713,-3.937899482709613,-1.8288058622888517,0.88703346469623,0.8601734455544333,0.9424007714250976,-0.1273531831659317,-0.16255623231363542,-0.06111967468766065,-0.4546634637449235,-0.580341832058841,-0.21820328558452975,-90.0323690584007,-114.91917466511704,-43.208571402877176,0.8764638435858928,-0.14094837718425604,-0.5031996514474478,0.8473144920603978,-0.18019933492264475,-0.6433294539148855,0.9368265628136212,-0.06743343933016444,-0.24074405001827595,-99.64349533612828,-127.39197107225456,-47.67208911252989,-0.04853618770252427,-0.06298762185604445,-0.02254076443374619,-9.611126277727578,-12.472796407137515,-4.463517709652712,0.9153
