geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
37183052002,37183052002,Census Tract 520.02; Wake County; North Carolina,3744,2171,822,Raleigh city,North Carolina,0,NA,NA,37183,3744,2171,822,0.007559,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8387
37183052705,37183052705,Census Tract 527.05; Wake County; North Carolina,3459,1532,372,Raleigh city,North Carolina,46740,0.6738867153547096,0.21887890818236633,37183,3459,1532,372,0.007559,0.009162065641,0.004054771124,0.7911465919883439,0.7011070297959896,0.8396237993690465,-0.2639882546757316,-0.42631575137819294,-0.1910095935244709,-6.9023902839276445,-11.146699324985782,-4.994247808864653,-199.5487217093855,-322.25207646677603,-144.38415174514753,0.7728276607379342,0.6766479242090667,0.8250745938946793,-0.29394954503200676,-0.47787344676908494,-0.21201162585749175,-7.685775589092512,-12.494756783697069,-5.543379148424602,-222.19646108969388,-361.22453841275126,-199.5487217093855,-0.7833853051648676,-1.3480574587112848,-0.5491313395599491,-22.6477393803084,-38.97246194597528,-15.875436240530473,0.8644448346101156,0.8226481676073009,0.9079034749092176,-0.15681181720638418,-0.2155864917423116,-0.1014386745242839,-0.9741007953715526,-1.3392037463679023,-0.630127851943024,-63.58360283104129,-87.41538814411895,-41.13106083179008,0.8519439279555271,0.8067436359885165,0.8991738044602701,-0.17378616970693603,-0.23955114783729684,-0.1121320428148493,-1.0795439345830755,-1.4880700179206845,-0.696554086538159,-70.46631426782477,-97.1325076971726,-45.46697692807826,-0.10544313921152292,-0.1488662715527822,-0.06642623459513497,-6.882711436783481,-9.717119553053667,-4.335916096288184,0.8226481676073009,0.7824662394550668,0.9079034749092176,-0.2155864917423116,-0.27801041064267557,-0.1014386745242839,-0.7347809429800183,-0.9475396628025158,-0.34573225956423875,-197.5217588655963,-254.71496311895584,-92.93877945275236,0.8067436359885165,-0.23955114783729684,-0.8164594028007417,0.7635054988704957,-0.3097482617733157,-1.0557114132376302,0.8991738044602701,-0.1121320428148493,-0.3821783428632146,-219.47833408622088,-283.79339065527694,-102.73611367290717,-0.08167845982072341,-0.1081717504351144,-0.03644608329897592,-21.956575220624575,-29.078427536321072,-9.797334220154816,0.6537
37183054212,37183054212,Census Tract 542.12; Wake County; North Carolina,5581,4053,764,Raleigh city,North Carolina,0,NA,NA,37183,5581,4053,764,0.007559,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5235
37183054117,37183054117,Census Tract 541.17; Wake County; North Carolina,4046,2714,899,Raleigh city,North Carolina,96913,0.7475912467520278,0.1607565696453282,37183,4046,2714,899,0.007559,0.009162065641,0.004054771124,0.7676973774533926,0.6698511882401508,0.8209844077396251,-0.3025966082067418,-0.4928688902190711,-0.2180499295391608,-9.254528122765045,-15.07376117795747,-6.668776682745845,-228.73277614347612,-372.5595941165959,-164.82394173865163,0.7476684637163118,0.6435409174362701,0.8049490643610524,-0.33749121238772817,-0.5539027479150619,-0.2423146311670962,-10.321734717179536,-16.94040322604835,-7.4108813776299565,-255.10960744388376,-418.6950871489953,-228.73277614347612,-1.0672065944144933,-1.8666420480908792,-0.7421046948841115,-26.376831300407645,-46.135493032399395,-18.34168796055639,0.848422982087859,0.8022783035636077,0.896707279017032,-0.1786573691569853,-0.24645025991372344,-0.11519112579993468,-1.9660616085600569,-2.71209856454485,-1.2676378878223764,-72.44147415475523,-99.92993974004604,-46.70736506346265,0.8345909413970939,0.7847973940027697,0.8869839568226099,-0.19819177323685497,-0.27421422094639475,-0.12741610748207982,-2.181030865572812,-3.0176312058540833,-1.402169518194119,-80.36222791351554,-111.18759048835972,-51.66431533508176,-0.21496925701275504,-0.3055326413092332,-0.13453163037174254,-7.920753758760318,-11.257650748313678,-4.956950271619106,0.8022783035636077,0.7581992458790844,0.896707279017032,-0.24645025991372344,-0.3189145273292416,-0.11519112579993468,-2.0299361192553698,-2.6268023340998408,-0.9487944015998814,-225.79934585710456,-292.19158332589996,-105.538865583969,0.7847973940027697,-0.27421422094639475,-2.2586194541138847,0.7374994197320418,-0.35593327024356636,-2.931714503222825,0.8869839568226099,-0.12741610748207982,-1.0494878716839025,-251.23686920065455,-326.10839857873475,-116.73947404715268,-0.2286833348585149,-0.30491216912298436,-0.10069347008402108,-25.43752334355004,-33.916815252834745,-11.200608463183658,0.5894
37183052001,37183052001,Census Tract 520.01; Wake County; North Carolina,2391,1524,508,Raleigh city,North Carolina,7493,0.7531903813363522,0.2161878279014906,37183,2391,1524,508,0.007559,0.009162065641,0.004054771124,0.7659446719535028,0.6675345127836426,0.8195854514882014,-0.305577330343654,-0.4980498848366124,-0.22012902764952977,-5.522872964801824,-9.001538959036568,-3.978517170126684,-230.98590400676807,-376.47590794799527,-166.39553200027956,0.7457910022710188,0.6410930915047621,0.8034403977217913,-0.34085822563544715,-0.5598358697842432,-0.2446473974118883,-6.1605246602398225,-10.118232221220532,-4.4216516177941845,-257.6547327578345,-423.1799339699093,-230.98590400676807,-0.6376516954379987,-1.116693262183965,-0.44313444766750054,-26.66882875106645,-46.70402602191405,-18.533435703366816,0.8472180512797525,0.8007516328079761,0.8958623985870161,-0.1803336797291619,-0.2488266761234373,-0.11624285334135372,-1.114366779009716,-1.53761727714875,-0.7183193636122294,-73.12117972504699,-100.8935221226214,-47.1338165099888,0.8332872188309803,0.7831548037950972,0.8860647091491479,-0.20006640855826544,-0.2768867600046513,-0.12858574512042076,-1.2363046083679683,-1.711013757165202,-0.7945919077989944,-81.12234963044412,-112.2712439084778,-52.1385766272306,-0.12193782935825248,-0.17339648001645205,-0.07627254418676499,-8.001169905397143,-11.377721785856432,-5.004760117241798,0.8007516328079761,0.7563868043561623,0.8958623985870161,-0.2488266761234373,-0.3220748884576346,-0.11624285334135372,-1.1581213006563882,-1.4990426048382337,-0.5410325235261945,-227.976633987478,-295.0871269366601,-106.50246526106191,0.7831548037950972,-0.2768867600046513,-1.2887221725055056,0.7355603962219809,-0.3595076694398529,-1.6732670958522378,0.8860647091491479,-0.12858574512042076,-0.5984804069434168,-253.6854670286428,-329.3832865850862,-117.81110372901904,-0.1306008718491174,-0.17422449101400428,-0.05744788341722229,-25.708833041164837,-34.29615964842604,-11.308638467957143,0.9656
37183054215,37183054215,Census Tract 542.15; Wake County; North Carolina,2919,2142,668,Raleigh city,North Carolina,382495,0.8073613443780293,0.14592282779053015,37183,2919,2142,668,0.007559,0.009162065641,0.004054771124,0.7491927321747655,0.6455305852348521,0.8061732094100597,-0.334770022524362,-0.5491132765400846,-0.24042822104170225,-7.386607146163763,-12.116031244252811,-5.304981617811489,-253.0526600261652,-415.0747257366499,-181.7396922854227,0.7278684772941724,0.6178862151616942,0.7889894532159262,-0.3738745820089198,-0.6184209575517245,-0.26744406522038217,-8.249438341018434,-13.645285888931644,-5.9010786821935355,-282.61179654054246,-467.46440181334856,-253.0526600261652,-0.8628311948546719,-1.5292546446788329,-0.5960970643820467,-29.559136514377247,-52.38967607669862,-20.421276614664155,0.8356484937881343,0.7861304702054878,0.8877292760945253,-0.196675405309274,-0.2720534795434256,-0.12646955206816912,-1.708188781601445,-2.362871458283984,-1.0984284980488075,-79.74737542490405,-110.3114593036407,-51.28050877912266,0.8207785500217842,0.7674394013986267,0.8772201455941867,-0.21835542604452693,-0.30303447826309315,-0.1399646998788977,-1.896486693821888,-2.63195133826453,-1.2156381718262173,-88.53812762940655,-122.8735452037596,-56.752482344828074,-0.18829791222044312,-0.2690798799805463,-0.11720967377740976,-8.79075220450248,-12.562085900118872,-5.4719735657054045,0.7861304702054878,0.739073837723643,0.8877292760945253,-0.2720534795434256,-0.3530447824807505,-0.12646955206816912,-1.6650379874094632,-2.1607258068292032,-0.774026521541137,-249.2571837439316,-323.4619471301202,-115.87223376364328,0.7674394013986267,-0.30303447826309315,-1.854649749930208,0.7170618413044292,-0.3945798568514946,-2.4149312547919712,0.8772201455941867,-0.1399646998788977,-0.8566203328325014,-277.6421781332647,-361.5166549089777,-128.23657677133252,-0.18961176252074496,-0.254205447962768,-0.08259381129136434,-28.384994389333077,-38.05470777885749,-12.364343007689271,0.2864
37183054008,37183054008,Census Tract 540.08; Wake County; North Carolina,5086,3351,1099,Raleigh city,North Carolina,77925,0.6864242227259338,0.2148226055755462,37183,5086,3351,1099,0.007559,0.009162065641,0.004054771124,0.7871078000163348,0.695689140722719,0.8364235372017624,-0.27047400620251383,-0.4374236156124941,-0.19556654675869023,-10.398393183532102,-16.81678327156989,-7.518570362062307,-204.45130128848015,-330.64851104148426,-147.82875269489395,0.7684889686691286,0.6708983855278767,0.8216159659407056,-0.301254853055084,-0.49053868897475333,-0.2171136412314655,-11.58176511856183,-18.858796197497377,-8.346950003553143,-227.718543424338,-370.798194996016,-204.45130128848015,-1.1833719350297276,-2.0420129259274873,-0.8283796414908364,-23.2672421358578,-40.149683954531795,-16.287448711970832,0.8616982373535345,0.819147003276549,0.9059891266840744,-0.1604990664379456,-0.22078210138112897,-0.10376600617714486,-2.180787170052178,-2.9998852002997873,-1.40992455583014,-65.07869800215393,-89.5220889376242,-42.07474054998926,0.8489668354463366,0.8029676180512997,0.8970884889413954,-0.17790231402179466,-0.24538023392135397,-0.11471723506344934,-2.417254458556772,-3.3341132618175537,-1.558724794869483,-72.13531657883533,-99.49606869046714,-46.51521321603947,-0.23646728850459375,-0.3342280615177664,-0.1488002390393426,-7.056618576681402,-9.973979752842924,-4.440472666050211,0.819147003276549,0.7782841533879363,0.9059891266840744,-0.22078210138112897,-0.2848777604515214,-0.10376600617714486,-2.22307929562779,-2.8684655462687862,-1.0448313449294544,-202.282010521182,-261.0068740917913,-95.07109598994126,0.8029676180512997,-0.24538023392135397,-2.4707606014003263,0.7590178801562802,-0.31749201981131464,-3.196862115879426,0.8970884889413954,-0.11471723506344934,-1.1551004747480793,-224.81898101913796,-290.8882726004937,-105.10468378053496,-0.24768130577253625,-0.3283965696106397,-0.11026912981862493,-22.53697049795598,-29.881398508702425,-10.033587790593714,0.8989
37183054015,37183054015,Census Tract 540.15; Wake County; North Carolina,3429,2146,638,Raleigh city,North Carolina,122330,0.6607034507878219,0.2413703607048829,37183,3429,2146,638,0.007559,0.009162065641,0.004054771124,0.7954157604130242,0.7068494881226584,0.8430021020491678,-0.2572041563279363,-0.41472833581011487,-0.18623666248186335,-6.666683120434563,-10.749680080542708,-4.827219092800689,-194.42062176828705,-313.4931490388658,-140.7762931700405,0.7774162442637649,0.6827467517621223,0.8287270665570338,-0.28631220067575025,-0.4646719261850297,-0.2066698921208447,-7.421158128509519,-12.04420850372192,-5.356844543162683,-216.42339249079964,-351.2455090032639,-194.42062176828705,-0.754475008074956,-1.2945284231792122,-0.5296254503619942,-22.002770722512572,-37.75235996439814,-15.445478284105985,0.8673423412467808,0.82634580471356045,0.90992078664626,-0.15294728787542816,-0.2101471252058138,-0.09899676397738898,-1.3308767647130273,-1.82860337043341,-0.8614241860018845,-62.01662463714014,-85.20984950761463,-40.14092199449602,0.8550856196120262,0.8107332956159806,0.9013717548336312,-0.1694735323156587,-0.23345125383091356,-0.10942016391957282,-1.4746805224585362,-2.031385150613062,-0.952123805361348,-68.71763851158137,-94.65914028951826,-44.36737210444305,-0.1438037577455089,-0.20278178017965187,-0.09069961935946336,-6.7010138744412355,-9.449290781903628,-4.226450109947034,0.82634580471356045,0.7868879687029089,0.90992078664626,-0.2101471252058138,-0.270828935977228,-0.09899676397738898,-1.2283935599471851,-1.5831028879217406,-0.5786754741771353,-192.53817554031116,-248.13524889055492,-90.7014849807422,0.8107332956159806,-0.23345125383091356,-1.3646154639833077,0.7682528775796982,-0.30165474049429836,-1.7632919802629976,0.9013717548336312,-0.10942016391957282,-0.6396043940907077,-213.88957115725825,-276.37805333275827,-100.25147242801062,-0.13622190403612255,-0.18018909234125705,-0.06092891991357241,-21.35139561694711,-28.242804442203298,-9.549987447268403,0.7517
37183054111,37183054111,Census Tract 541.11; Wake County; North Carolina,1619,1269,660,Raleigh city,North Carolina,367474,0.8403129319452084,0.0988645396201286,37183,1619,1269,660,0.007559,0.009162065641,0.004054771124,0.739182447271093,0.6325021776773109,0.7981222865536142,-0.3528459769192179,-0.5810222245751361,-0.2529408298045623,-4.318136475302904,-7.110562185817232,-3.095495186905659,-266.7162739532368,-439.19469955634537,-191.19797324926864,0.7171777544423922,0.6041826192705436,0.7803265467915806,-0.394354459275585,-0.6551287112617443,-0.28151477623263854,-4.826118154058253,-8.017478926124163,-3.445183743345331,-298.0925357664147,-495.21179284275246,-266.7162739532368,-0.5079816787553497,-0.9069167403069311,-0.3496885564396721,-31.37626181317787,-56.01709328640712,-21.599046104982836,0.8286882832145545,0.7773674847364924,0.8828181495576127,-0.20672636533596492,-0.28639288320500605,-0.13273611388835632,-1.0637114547551223,-1.4736358854392904,-0.6829942788055264,-83.82280967337451,-116.12575929387631,-53.82145617064826,0.8132616967737932,0.7580345637215328,0.8718833383652255,-0.229616498560054,-0.3192010600289122,-0.14694243598575044,-1.1814927395552688,-1.6424505087724328,-0.7560929738867288,-93.10423479552944,-129.42872409554238,-59.581794632523945,-0.11778128480014628,-0.16881462333314246,-0.07309869508120237,-9.281425122154946,-13.302964801666072,-5.760338461875679,0.7773674847364924,0.7287369785739816,0.8828181495576127,-0.28639288320500605,-0.3722372123297978,-0.13273611388835632,-1.731807260726078,-2.2509047704363843,-0.8026504123284057,-262.3950395039512,-341.0461773388461,-121.61369883763724,0.7580345637215328,-0.3192010600289122,-1.9301971026767053,0.7060376949685756,-0.4163549724416741,-2.5176832477284603,0.8718833383652255,-0.14694243598575044,-0.8885555210069248,-292.45410646616745,-381.4671587467364,-134.6296243949886,-0.19838984195062737,-0.26677847729207604,-0.08590510867851908,-30.059066962216267,-40.42098140789031,-13.015925557351377,0.475
37183052811,37183052811,Census Tract 528.11; Wake County; North Carolina,6184,3371,1284,Raleigh city,North Carolina,6291,0.827925413025049,0.13467123348749677,37183,6184,3371,1284,0.007559,0.009162065641,0.004054771124,0.7429298359146049,0.6373688248419928,0.8011394021703045,-0.3460221297599679,-0.5689502859633988,-0.24822221612240972,-16.17475462844301,-26.5954991885179,-11.60311174864292,-261.5581278855597,-430.0695211597332,-187.6311731669295,0.7211781827424355,0.6092982055192762,0.7835719866720824,-0.3866198727716421,-0.6412324719514759,-0.27620693058095597,-18.072490279448733,-29.97431956389578,-12.911253196208785,-292.24596182808426,-484.70762554812063,-261.5581278855597,-1.8977356510057213,-3.378820375377881,-1.3081414475658626,-30.6878339425246,-54.63810438838747,-21.153645659215112,0.831298014751905,0.7806502441983517,0.884661198430931,-0.2029380345608583,-0.2809833948452782,-0.13037624095375525,-2.7738856093030577,-3.840659032206701,-1.7820650493596664,-82.28672824986822,-113.93233557421244,-52.8645817074953,0.8160794045702306,0.7615565362000235,0.8738857896762413,-0.22537095581602976,-0.31310014748182674,-0.14431429348505792,-3.080512987354697,-4.279651151889183,-1.9725791805423856,-91.38276438311172,-126.95494369294522,-58.516143000367414,-0.3066273780516391,-0.4389921196824824,-0.1905141311827192,-9.09603613324352,-13.02260811873279,-5.651561292872121,0.7806502441983517,0.7326058543155686,0.884661198430931,-0.2809833948452782,-0.3649904571595901,-0.13037624095375525,-3.3055145869628424,-4.2937814204558356,-1.5337581300963572,-257.438830760346,-334.4066526834763,-119.4515677645138,0.7615565362000235,-0.31310014748182674,-3.683339028810897,0.7101619891250133,-0.40812943428878046,-4.801272328399755,0.8738857896762413,-0.14431429348505792,-1.697726666320517,-286.86441034352777,-373.93086669780024,-132.22170298446397,-0.3778244418480541,-0.5074909079439198,-0.16396853622415986,-29.425579583181783,-39.524214014323974,-12.770135219950143,0.8618
37183054220,37183054220,Census Tract 542.20; Wake County; North Carolina,3768,2738,899,Raleigh city,North Carolina,125199,0.7691252015828672,0.20533601659594053,37183,3768,2738,899,0.007559,0.009162065641,0.004054771124,0.7609784396508736,0.6609851404055453,0.8156171333254152,-0.3140976772729411,-0.5128933146461555,-0.22606546520525295,-8.946228042563217,-14.608387410465973,-6.438867112401159,-237.42643425061615,-387.69605654102895,-170.8828851486507,0.7404736141137211,0.634177552909275,0.7991622745081194,-0.35048701390515863,-0.5768454676652033,-0.25131031818975097,-9.982680481995066,-16.42989258582623,-7.157898891499762,-264.9331338109094,-436.0374890081271,-237.42643425061615,-1.0364524394318495,-1.82150517536026,-0.7190317790986036,-27.506699560293253,-48.34143246709819,-19.082584370982048,0.8437982432578179,0.7964226944227405,0.8934622706710277,-0.18511742349581484,-0.25561464659770333,-0.11924144177790295,-2.055166848785219,-2.837824435058789,-1.3238141149303504,-75.06087833401092,-103.64588878958322,-48.349675490516816,0.8295880328638805,0.7784988755960806,0.8834537926836319,-0.20541758123948353,-0.28452337099950287,-0.13192111266209,-2.280538455801139,-3.158768033501806,-1.4645833562183133,-83.2921276771782,-115.36771488319232,-53.49099182681933,-0.22537160701592016,-0.3209435984430171,-0.1407692412879629,-8.231249343167281,-11.7218260936091,-5.141316336302515,0.7964226944227405,0.7512523741353487,0.8934622706710277,-0.25561464659770333,-0.3311106020143317,-0.11924144177790295,-2.105420395665329,-2.727257706007614,-0.9821556271102674,-234.1958170929175,-303.36570700863336,-109.24979166966266,0.7784988755960806,-0.28452337099950287,-2.343532799544941,0.7300698998678699,-0.3697318574303404,-3.0453692850637233,0.8834537926836319,-0.13192111266209,-1.0865942343857986,-260.68218014960416,-338.7507547345632,-120.86698936438248,-0.23811240387961252,-0.3181115790561093,-0.10443860727553124,-26.4863630566866,-35.385047725929844,-11.617197694719826,0.8057
