geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
41051003100,41051003100,Census Tract 31; Multnomah County; Oregon,3822,2657,893,Portland city,Oregon,0,NA,NA,41051,3822,2657,893,0.010325,0.007941291117,0.00365738419599999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.132
41051009302,41051009302,Census Tract 93.02; Multnomah County; Oregon,3480,2267,751,Portland city,Oregon,99857,0.7056413434234108,0.21947879821722377,41051,3480,2267,751,0.010325,0.007941291117,0.00365738419599999,0.7809572438553536,0.6874659167361149,0.8315419310600252,-0.28047983147361244,-0.45461756816644033,-0.20258517658301303,-10.07792082467837,-16.33486384178837,-7.279087979804242,-289.5954259965049,-469.3926391318497,-209.169194821961,0.7618859825982703,0.6621803494465842,0.8163428044475383,-0.31253235108708277,-0.5101626027346595,-0.22497557956274525,-11.229599906909971,-18.330652478859054,-8.083597549269001,-322.689652497413,-526.742887323536,-289.5954259965049,-1.1516790822316023,-1.9957886370706852,-0.8045095694647593,-33.094226500908114,-57.350248191686354,-23.118091076573545,0.8575052640113875,0.8138094239079029,0.90306270248789,-0.16617359912407512,-0.22878891620351635,-0.10734282043212807,-1.3777934960837614,-1.896955246698921,-0.8900104506507379,-60.77606952288317,-83.67689663427089,-39.259393500253104,0.8444238172447328,0.7972141272698502,0.8939015624340529,-0.18423945367019148,-0.2543681374847344,-0.11869141080483836,-1.5275827347235844,-2.1090399876079458,-0.9841049042080944,-67.38344661330324,-93.03220060026229,-43.41000900785595,-0.14978923863982296,-0.2120847409090247,-0.09409445355735636,-6.607377090420069,-9.355303965991386,-4.150615507602838,0.8138094239079029,0.7719173216410958,0.90306270248789,-0.22878891620351635,-0.295475528226262,-0.10734282043212807,-1.3644764203241964,-1.7621893478831667,-0.6401828803649099,-181.6879387915042,-234.64571875940968,-85.24405863713847,0.7972141272698502,-0.2543681374847344,-1.5170285844221725,0.7521905365051534,-0.32945038719341657,-1.9648123364167784,0.8939015624340529,-0.11869141080483836,-0.7078648477627842,-202.0011430655356,-261.6261433311289,-94.25630462886608,-0.1525521640979759,-0.2026229885336115,-0.06768196739787435,-20.31320427403141,-26.980424571719244,-9.01224599172761,0.7799
41051009102,41051009102,Census Tract 91.02; Multnomah County; Oregon,4373,3230,868,Portland city,Oregon,151530,0.8104345115167789,0.1735179016046968,41051,4373,3230,868,0.010325,0.007941291117,0.00365738419599999,0.7482534381328058,0.6443042528346792,0.8054189340964443,-0.3364455798497946,-0.5520617714385755,-0.24158988281278196,-15.190930076053544,-24.9262652561217,-10.908079156603552,-347.38006119491297,-570.0037790103293,-249.4415540041974,0.7268647254122393,0.6165951406938783,0.7881774736642492,-0.37577181150571415,-0.6218097321926044,-0.26874978467855043,-16.96655760995209,-28.075471125418023,-12.134381996722784,-387.9843953796499,-642.0185484888641,-347.38006119491297,-1.7756275338985468,-3.1492058692963276,-1.2263028401192315,-40.60433418473695,-72.01476947853482,-28.042598676405937,0.8349968987125438,0.7853090473364797,0.8872700963678184,-0.19760923847965117,-0.27338403064587663,-0.12705252221804775,-2.334427285731,-3.229581498987318,-1.500916034435792,-72.27329057990711,-99.98704331230088,-46.46798868222267,0.8200745771787427,0.7665573655417572,0.8767210402607353,-0.21940129328267297,-0.30453380914715933,-0.140613666238239,-2.591864477107849,-3.597564764533677,-1.6611185880715738,-80.24348226340089,-111.37971407225008,-51.42782006413541,-0.25743719137684895,-0.3679832655463589,-0.16020255363578162,-7.970191683493775,-11.39267075994919,-4.9598313819127435,0.7853090473364797,0.7381036223726007,0.8872700963678184,-0.27338403064587663,-0.3548233197739163,-0.12705252221804775,-1.884447247116852,-2.445811580804945,-0.8757782053597208,-217.1022174097756,-281.7755277425052,-100.89610660826276,0.7665573655417572,-0.30453380914715933,-2.0991639377968503,0.7160264581568925,-0.39659643663737987,-2.7337553750743773,0.8767210402607353,-0.140613666238239,-0.9692557228878282,-241.83916334065097,-314.9487759302278,-111.66540586265302,-0.2147166906799982,-0.2879437942694323,-0.0934775175281074,-24.73694593087537,-33.17324818772261,-10.769299254390251,0.758
41051000702,41051000702,Census Tract 7.02; Multnomah County; Oregon,3792,2722,636,Portland city,Oregon,68017,0.6235123317542084,0.18368937380548617,41051,3792,2722,636,0.010325,0.007941291117,0.00365738419599999,0.8075840235379741,0.7233042214370494,0.8526060256131891,-0.23826124694624812,-0.3825441223240973,-0.1728746571792125,-9.328499644938285,-14.977520494881986,-6.768457727743398,-246.0047374720012,-394.9768062996305,-178.49308353753685,0.7905084025955476,0.7002499714132326,0.839118386590312,-0.26500869151625683,-0.4280614649391801,-0.1917269553148717,-10.375726293721094,-16.759633699884755,-7.506570445269983,-273.62147399053515,-441.9734625497035,-246.0047374720012,-1.047226648782809,-1.7821132050027693,-0.7381127175265849,-27.61673651853399,-46.99665625007303,-19.464997825068167,0.8755689084798409,0.8368669797509611,0.9156359875480868,-0.14211456153256494,-0.1949330349939064,-0.0921370649463279,-1.4148072748309706,-1.9406362939878068,-0.9172613162358296,-51.97675513706725,-71.29450014650281,-33.698064520052526,0.8640111846553117,0.8220951299413916,0.9076013619461673,-0.15739242472762624,-0.21640423787851845,-0.10180531004900951,-1.566904510745054,-2.1543907024940734,-1.0135125614186709,-57.564456676893975,-79.14734395643178,-37.23411320421275,-0.15209723591408353,-0.2137544085062666,-0.09625124518284124,-5.587701539826727,-7.852843809928971,-3.5360486841602214,0.8368669797509611,0.7994971848108445,0.9156359875480868,-0.1949330349939064,-0.2507861428387556,-0.0921370649463279,-0.984540706775626,-1.2666358286973776,-0.4653530944374056,-154.8019979206959,-199.15657683921032,-73.1687255404726,0.8220951299413916,-0.21640423787851845,-1.09298447703755,0.7818053404405786,-0.2790907765307154,-1.4095929424620015,0.9076013619461673,-0.10180531004900951,-0.5141841243701808,-171.85290519458334,-221.63411045000024,-80.84656043556302,-0.10844377026192407,-0.14295711376462394,-0.04883102993277516,-17.050907273887436,-22.477533610789926,-7.677834895090434,0.504
41051002501,41051002501,Census Tract 25.01; Multnomah County; Oregon,2763,2376,837,Portland city,Oregon,4158,0.6313106674824615,0.19196188304011683,41051,2763,2376,837,0.010325,0.007941291117,0.00365738419599999,0.8050172191328314,0.7198225033405112,0.8505832242628405,-0.24220945370237548,-0.389231366565031,-0.1756639109202416,-6.909745239985026,-11.10398269458304,-5.01133565913488,-250.08126094770267,-401.8813859783945,-181.37298802514948,0.7877450573750315,0.6965430472660047,0.8369287643177643,-0.2694462385232303,-0.43566144824083974,-0.19484482148867924,-7.686755556434751,-12.42853890387847,-5.5585281963085045,-278.2032412752353,-449.820445308667,-250.08126094770267,-0.7770103164497257,-1.3245562092954302,-0.5471925371736246,-28.1219803275326,-47.939059330272535,-19.804290161911855,0.8738374987380517,0.8346498280980539,0.914434641712323,-0.14437753179984297,-0.1981072377127728,-0.093571868764127,-1.2546327888758655,-1.7215409700496112,-0.8131343790432553,-52.804410306223296,-72.45542803239104,-34.2228274008104,0.8621319604088389,0.8196996300872601,0.9062915633662928,-0.15991524026760537,-0.21995907195120515,-0.1033976707072505,-1.3896546185513756,-1.911432204446287,-0.8985200560330344,-58.48714724542827,-80.44748335211645,-37.81650067479101,-0.13502182967551013,-0.18989123439667588,-0.08538567698977917,-5.682736939204972,-7.992055319725416,-3.5936732739806048,0.8346498280980539,0.7968366154412576,0.914434641712323,-0.1981072377127728,-0.25496241089051647,-0.093571868764127,-1.3167912057907685,-1.6946996199836393,-0.6219591738321743,-157.322724706185,-202.47307287737624,-74.30814502176514,0.8196996300872601,-0.21995907195120515,-1.4620373032467533,0.7789439532720541,-0.2837894123182696,-1.8863086818616237,0.9062915633662928,-0.1033976707072505,-0.6872699102693048,-174.67590241896696,-225.3654339141725,-82.11110039059795,-0.14524609745598482,-0.19160906187798443,-0.06531073643713059,-17.35317771278194,-22.892361036796228,-7.802955368832807,0.086
41005021000,41005021000,Census Tract 210; Clackamas County; Oregon,3317,2266,651,Portland city,Oregon,92023,0.7343475843264597,0.18579145721956747,41005,3317,2266,651,0.01204,0.007941291117,0.00365738419599999,0.7718590401462858,0.6753628825574535,0.8243028774539229,-0.2955733469293512,-0.4806854593684744,-0.21314631715075896,-11.804218172846484,-19.196981371451766,-8.512356261228373,-355.87030970293887,-578.7452930796433,-256.6281658495138,0.7521280654550392,0.6493680357975709,0.8085288060683439,-0.3295608100928899,-0.539958767406489,-0.2368143132249407,-13.161564613220516,-21.56416050710738,-9.457577446684226,-396.7912153518394,-650.1103559574128,-355.87030970293887,-1.357346440374032,-2.367179135655615,-0.9452211854558534,-40.92090564890057,-71.36506287776952,-28.49626727331485,0.8512798360819089,0.8059009403977956,0.898708851747409,-0.17470185198158672,-0.24084729260446877,-0.11270741136647876,-1.4478647616903098,-1.9960538709531217,-0.934077615365279,-63.89517924493865,-88.08710816209717,-41.22143051038301,0.8376827671623795,0.7886963460727022,0.8891620555701413,-0.19376933512368205,-0.26791509175803857,-0.1246543796325048,-1.6058890563524728,-2.220381845307367,-1.0330896988962233,-70.86889039507824,-97.986842246574,-45.59089580301074,-0.15802429466216306,-0.22432797435424523,-0.09901208353094426,-6.973711150139587,-9.899734084476842,-4.3694652926277255,0.8059009403977956,0.7625035270356538,0.898708851747409,-0.24084729260446877,-0.3114693434765464,-0.11270741136647876,-1.2451276409190024,-1.6102281435998462,-0.5826725794227484,-191.2638465313368,-247.34687305681203,-89.50423647046827,0.7886963460727022,-0.26791509175803857,-1.385062221625717,0.7421061703097819,-0.3475160832884113,-1.7965818767866133,0.8891620555701413,-0.1246543796325048,-0.6444357832036622,-212.75917382883517,-275.9726385232893,-98.99167176707562,-0.1399345807067145,-0.18635373318676707,-0.06176320378091382,-21.495327297498385,-28.625765466477276,-9.487435296607346,0.4119
41051008204,41051008204,Census Tract 82.04; Multnomah County; Oregon,1681,1305,599,Portland city,Oregon,44468,0.6671710298871231,0.21110981482791044,41051,1681,1305,599,0.010325,0.007941291117,0.00365738419599999,0.7933184777057845,0.7040264415463661,0.8413430450705616,-0.26052780579613183,-0.4204011965850882,-0.1885758203612799,-4.521805268934548,-7.296619798319681,-3.2729832253319917,-268.9949594845061,-434.0642354741035,-194.70453452302152,0.7751617362897992,0.6797478890419608,0.8269331836574895,-0.29005335684699424,-0.4711336601712786,-0.2092875455511938,-5.034260328777408,-8.177148924372268,-3.632462659038824,-299.4800909445216,-486.44550412684526,-268.9949594845061,-0.5124550598428597,-0.8805291260525872,-0.35947943370683255,-30.48513146001545,-52.38126865274165,-21.38485625858611,0.8659196416111165,0.8245297083956453,0.9089305539982696,-0.1548415718338664,-0.2128125764513465,-0.10019406389314084,-0.7390412286102211,-1.015730246739271,-0.47821488248960264,-56.63151177089817,-77.83373538231962,-36.64481858157875,0.853542891751496,0.8087735487066993,0.9002927916025535,-0.17158728596282907,-0.2364400413429554,-0.11074975755383323,-0.8189666194290537,-1.1285014520146517,-0.5285960089496288,-62.756062791498366,-86.47520705093116,-40.50544129882213,-0.07992539081883254,-0.11277120527538063,-0.05038112646002613,-6.124551020600195,-8.641471668611544,-3.860622717243382,0.8245297083956453,0.7847155985377354,0.9089305539982696,-0.2128125764513465,-0.27434703969620655,-0.10019406389314084,-1.0123139671524175,-1.3050231558795242,-0.47660646751286706,-169.00066229589612,-217.8669709314732,-79.56702295707296,0.8087735487066993,-0.2364400413429554,-1.1247058808119348,0.7659201834126701,-0.3056190731837785,-1.4537790086050075,0.9002927916025535,-0.11074975755383323,-0.5268181434574235,-187.7639200019925,-242.7010031060113,-87.94960658721594,-0.11239191365951706,-0.14875585272548353,-0.05021167594455644,-18.763257706096336,-24.83403217453815,-8.38258363014298,0.9102
41051000202,41051000202,Census Tract 2.02; Multnomah County; Oregon,2532,1386,368,Portland city,Oregon,63896,0.6216769722125691,0.273764401063518,41051,2532,1386,368,0.010325,0.007941291117,0.00365738419599999,0.8081893167396692,0.7241260984293233,0.8530827963040608,-0.23733385147197647,-0.3809749464479531,-0.1722191612964776,-6.204595145646734,-9.959789927494194,-4.502308311857685,-245.04720164481571,-393.3566322075116,-177.81628403861313,0.7911601713319474,0.7011252700921441,0.8396345523775517,-0.2639665597883461,-0.4262786447114891,-0.1909943405358312,-6.9008513758907535,-11.144159980827988,-4.993145945194182,-272.54547298146736,-440.13270066461246,-245.04720164481571,-0.6962562302440194,-1.1843700533337935,-0.490837633336497,-27.498271336651637,-46.77606845710086,-19.385372564632583,0.875976898935373,0.837389648032001,0.9159189569210492,-0.1415826161801295,-0.19418720108393892,-0.09179965371783266,-0.7177013236639177,-0.984361039629483,-0.4653447913503411,-51.782202284553954,-71.02172003098723,-33.57466027058738,0.8644540603418712,0.822659934291111,0.9079099016888742,-0.15679947133861982,-0.21556910494456452,-0.10143087782149068,-0.794837609063222,-1.0927487860721803,-0.5141667616895874,-57.3475908415023,-78.84190375701156,-37.09716895307268,-0.07713628539930428,-0.10838774644269732,-0.04882197033924629,-5.565388556948361,-7.820183726024339,-3.5225086824853022,0.837389648032001,0.8001246473549255,0.9159189569210492,-0.19418720108393892,-0.24980526884883256,-0.09179965371783266,-0.5674917309610954,-0.7300297013959632,-0.268274861057621,-154.20970950029766,-198.37763624890303,-72.90077746131004,0.822659934291111,-0.21556910494456452,-0.6299781026960952,0.7824803022850719,-0.27798744208602666,-0.812389147246916,0.9079099016888742,-0.10143087782149068,-0.2964211034842603,-171.18970181959108,-220.75792044753155,-80.54921290333161,-0.06248637173499982,-0.08235944585095278,-0.02814624242663932,-16.97999231929343,-22.380284198628473,-7.6484354420215555,0.3883
41051002001,41051002001,Census Tract 20.01; Multnomah County; Oregon,1803,1085,268,Portland city,Oregon,48133,0.6588724376947023,0.2188368390924347,41051,1803,1085,268,0.010325,0.007941291117,0.00365738419599999,0.7960105209979869,0.7076507647645439,0.843472385631733,-0.25626480256349404,-0.4131264315565733,-0.18557526841976335,-4.770619157901941,-7.690751321696379,-3.454664557520605,-264.59340864680763,-426.55304058216194,-191.60646464340573,0.778055700043637,0.6835981494554108,0.8292356327425177,-0.2852550272993506,-0.46284772829863735,-0.20592984733750055,-5.310300456829029,-8.616361738814227,-3.8335848897887272,-294.5258156865795,-477.8902794683432,-264.59340864680763,-0.5396812989270874,-0.9256104171178476,-0.3789203322681223,-29.932407039771903,-51.33723888618123,-21.01610273256363,0.8677455410173474,0.8268606793687727,0.9102013237456053,-0.15241156851995705,-0.2093935834068228,-0.098658037416228625,-0.6048090132618212,-0.8309285692250747,-0.39150092633712297,-55.74276619924619,-76.58327826959214,-36.08303468544912,0.8555228819869173,0.8112889745196136,0.901677451033632,-0.1688758080643506,-0.23260642188823952,-0.1090440365938581,-0.6701434269788944,-0.9230431906628388,-0.4327152906754681,-61.76437115012852,-85.07310513021555,-39.88159361064222,-0.06533441371707316,-0.09211462143776404,-0.04121436433834513,-6.021604950882319,-8.489826860623415,-3.7985589251931,0.8268606793687727,0.7875040721869377,0.9102013237456053,-0.2093935834068228,-0.26983470348661254,-0.098658037416228625,-0.44564524823592727,-0.5742800302735594,-0.2099705485693122,-166.28554038654002,-214.2835933856565,-78.347219615415,0.8112889745196136,-0.23260642188823952,-0.49504834358872585,0.7689145676811427,-0.30053460037277496,-0.639617577614112,0.901677451033632,-0.1090440365938581,-0.23207471769612037,-184.71953118982307,-238.66327522914628,-86.59504391646283,-0.04940309535279857,-0.06533754734055253,-0.02210416912680818,-18.433990803283052,-24.37968184348975,-8.24782430104783,0.4288
41051005602,41051005602,Census Tract 56.02; Multnomah County; Oregon,2179,368,37,Portland city,Oregon,10,0.4422124668955803,0.15930188273462426,41051,2179,368,37,0.010325,0.007941291117,0.00365738419599999,0.8696208608162467,0.8091707303276492,0.9010133493541168,-0.14992641627913156,-0.23583313449200055,-0.1098614695518561,-3.373070750570751,-5.305815130599565,-2.47168256773483,-154.79902480820337,-243.4977113629906,-113.43196731229146,0.8575568970210479,0.7922170434018514,0.8916703960318226,-0.16610338447952103,-0.26228034138966494,-0.1214906365068009,-3.737023012112549,-5.9008290196444255,-2.733317600991396,-171.50174447510548,-270.8044524848291,-154.79902480820337,-0.3639522615417974,-0.5950138890448606,-0.2616350332565651,-16.702719666902127,-27.306741121838485,-12.0071148809805,0.916802990526815,0.8901057865121472,0.9440147519348128,-0.0907468783728314,-0.12346196952439772,-0.05930548007903727,-0.122137801157343,-0.16616961106156822,-0.07982027661243304,-33.189619879712765,-45.15478561455658,-21.69029255772637,0.9088738818958526,0.8798037055413075,0.938591591234548,-0.10026266561215748,-0.13661717233248138,-0.06542612286210701,-0.13494526462641537,-0.1838754272126975,-0.0880581561362042,-36.669908865873744,-49.96614869910258,-23.928846776142446,-0.01280746346907238,-0.01770581615112929,-0.00823787952377115,-3.4802889861609736,-4.811363084546002,-2.2385542184160747,0.8901057865121472,0.8639186180124065,0.9440147519348128,-0.12346196952439772,-0.15751643632900525,-0.05930548007903727,-0.0362765553492427,-0.04628270343423794,-0.01742559703921992,-98.04474418714244,-125.08838766010255,-47.09620821410791,0.8798037055413075,-0.13661717233248138,-0.04014191927172293,0.8513734777581654,-0.17457264775642012,-0.05129429202527148,0.938591591234548,-0.06542612286210701,-0.01922401186727024,-108.49167370735928,-138.63322168992292,-51.956788830460106,-0.00386536392248022,-0.00501158859103353,-0.00179841482805031,-10.44692952021683,-13.544834029820358,-4.8605806163522,0.7324
41051002802,41051002802,Census Tract 28.02; Multnomah County; Oregon,2029,1454,515,Portland city,Oregon,53136,0.6450591326563753,0.1974397130753747,41051,2029,1454,515,0.010325,0.007941291117,0.00365738419599999,0.8005117972797553,0.7137250043263262,0.8470287071798079,-0.24920082801794044,-0.4010998548998353,-0.1805975305482996,-5.220614056499742,-8.402811327734982,-3.7834144214068113,-257.29985492852353,-414.13560018408,-186.46695029111933,0.7828967861055018,0.690055470414661,0.8330823673402639,-0.2773075809577301,-0.4491588616768597,-0.20036149989903743,-5.809434369205396,-9.409619885784746,-4.197458215022392,-286.3200773388563,-463.7565246813576,-257.29985492852353,-0.5888203127056535,-1.006808558049764,-0.41404379361558075,-29.02022241033285,-49.62092449727768,-20.406298354636803,0.870793358300159,0.830755286931827,0.912320506817787,-0.14837807439420542,-0.2037239073051623,-0.09610602033713224,-0.7890503577645939,-1.083370454837342,-0.5110761144458348,-54.26756243222791,-74.50965989252697,-35.1496639921482,0.8588288377213162,0.8154933524201504,0.9039869907065816,-0.1643763647402031,-0.22625156542636032,-0.10621060953363048,-0.8741266520396751,-1.2031688601792565,-0.5648106689149724,-60.11875185967504,-82.74888997106301,-38.8453004755827,-0.08507629427508123,-0.11979840534191433,-0.05373455446913766,-5.851189427447128,-8.239230078536062,-3.695636483434502,0.830755286931827,0.7921675779333133,0.912320506817787,-0.2037239073051623,-0.2623591621976008,-0.09610602033713224,-0.8331828905325535,-1.0729872993750351,-0.39305103108064704,-161.78308554030164,-208.34704842233697,-76.32058855934893,0.8154933524201504,-0.22625156542636032,-0.9253157165647652,0.7739248111139968,-0.2921151843686053,-1.1946824351651193,0.9039869907065816,-0.10621060953363048,-0.43437642556059614,-179.67295467276992,-231.9771718767222,-84.3449370020575,-0.09213282603221172,-0.12169513579008416,-0.04132539447994909,-17.8898691324683,-23.630123454385277,-8.024348442708563,0.2817
