geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
22017023600,22017023600,Census Tract 236; Caddo Parish; Louisiana,1884,1175,363,Shreveport city,Louisiana,0,NA,NA,22017,1884,1175,363,0.016469,0.00721975350599999,0.003708017999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8344
22017023906,22017023906,Census Tract 239.06; Caddo Parish; Louisiana,1795,1046,281,Shreveport city,Louisiana,66408,0.6489430136841858,0.21639373321619235,22017,1795,1046,281,0.016469,0.00721975350599999,0.003708017999,0.7992436092838558,0.7120118632084645,0.8460272652131674,-0.2511829789868791,-0.40447098099434,-0.18199500313744285,-7.425434803278167,-11.956912491862434,-5.380109893473631,-413.6732480934912,-666.1232585995785,-299.72757066705464,0.7815325841171444,0.688233728909426,0.8319989828797584,-0.2795371815874402,-0.4529947574417753,-0.2019245462761838,-8.263637629196577,-13.391365335253932,-5.969264157957336,-460.3697843563553,-746.0370660308598,-413.6732480934912,-0.83820282591841,-1.4344528433914991,-0.5891542644837049,-46.696536262864065,-79.91380743128128,-32.821964595192476,0.8699353246388508,0.8296583917326967,0.9117241589075272,-0.1495107414049945,-0.20531535625349853,-0.09682297022626804,-0.5798903921015377,-0.7963334361361869,-0.3755362968661625,-55.43885201735542,-76.13130364590697,-35.902131631564295,0.8578980146943668,0.8143090122803994,0.9033370212727824,-0.16563971809196718,-0.2280350394251313,-0.1070065506570533,-0.642448028611878,-0.8844536999982501,-0.4150341977762329,-61.41950560343001,-84.55580305910613,-39.6782215847259,-0.0625576365103403,-0.08812026386206318,-0.03949790091007033,-5.980653586074598,-8.424499413199156,-3.7760899531615992,0.8296583917326967,0.7908535582123492,0.9117241589075272,-0.20531535625349853,-0.2644565983371269,-0.09682297022626804,-0.4165336799442606,-0.5365165183012349,-0.19642967202943343,-148.23262631468347,-190.9311453029306,-69.90379787524321,0.8143090122803994,-0.2280350394251313,-0.4626262538819035,0.7725127931053576,-0.294476944491995,-0.5974203176334617,0.9033370212727824,-0.1070065506570533,-0.2170896183152148,-164.63567753804395,-212.6050952432248,-77.25609192712271,-0.04609257393764288,-0.06090379933222678,-0.02065994628578138,-16.403051223360457,-21.67394994029423,-7.352294051879496,0.2536
22017023701,22017023701,Census Tract 237.01; Caddo Parish; Louisiana,1806,902,663,Shreveport city,Louisiana,88282,0.6543206879015657,0.22844129641369204,22017,1806,902,663,0.016469,0.00721975350599999,0.003708017999,0.7974909751290125,0.709646611219921,0.8446426094755832,-0.25393268536766456,-0.40915208244417,-0.18393269387732425,-7.552723415948043,-12.169416116266104,-5.470712689050969,-418.2017395320068,-673.8325645773036,-302.91875354656526,0.7796476150756936,0.6857192580223456,0.8305012396254275,-0.282630743253044,-0.4583227586229071,-0.20409212206717445,-8.406290153405694,-13.631900226239749,-6.070314843933679,-465.4645710634382,-754.8117511760659,-418.2017395320068,-0.8535667374576512,-1.4624841099736443,-0.5996021548827102,-47.2628315314314,-80.97918659876215,-33.20056228586435,0.8687486752044336,0.8281420063627677,0.910899090998491,-0.15108089202516534,-0.20752237214972272,-0.09781644298693962,-0.5053100215747284,-0.694086015395966,-0.32716002833674396,-56.021066693428864,-76.94966911263481,-36.27051311937294,0.856610849804699,0.8126719979176965,0.9024378362376744,-0.16739123748898654,-0.23050874468702337,-0.10810956704682176,-0.5598621287786092,-0.7709669779521932,-0.3615867428672886,-62.06897214840457,-85.47305742263782,-40.08722204737124,-0.05455210720388082,-0.07688096255622712,-0.03442671453054463,-6.047905454975701,-8.523388310003007,-3.8167089279982966,0.8281420063627677,0.7890377463124746,0.910899090998491,-0.20752237214972272,-0.267366491240053,-0.09781644298693962,-0.9933466278966264,-1.2798022677489638,-0.4682176325732064,-149.82603739013973,-193.0320162517291,-70.62106071994064,0.8126719979176965,-0.23050874468702337,-1.1033754185805986,0.7705619459002309,-0.29775419785585394,-1.4252589989130606,0.9024378362376744,-0.10810956704682176,-0.5174876942513214,-166.4216317617796,-214.9711913896019,-78.05244257184334,-0.11002879068397232,-0.14545673116409685,-0.04927006167811493,-16.595594371639866,-21.93917513787283,-7.431381851902704,0.8529
22017024107,22017024107,Census Tract 241.07; Caddo Parish; Louisiana,3082,2278,622,Shreveport city,Louisiana,150196,0.6962036630098575,0.22463246982967525,22017,3082,2278,622,0.016469,0.00721975350599999,0.003708017999,0.7839718015859386,0.6914921891422108,0.8339357560149261,-0.2755560824726685,-0.4461479329802555,-0.19913313799930368,-13.986526282751008,-22.645334970032135,-10.10749188840786,-453.81331222423773,-734.7610308251828,-327.95236497105316,0.7651216414935662,0.6664475975292532,0.8189282532609821,-0.3069817212958926,-0.5004930675830155,-0.22110819356639377,-15.581611825443971,-25.40375585713607,-11.2228898484021,-505.56819680220553,-824.2620330024682,-453.81331222423773,-1.595085542692965,-2.7584208871039344,-1.115397959994242,-51.75488457796772,-89.50100217728534,-36.190719013440685,0.8595619107565324,0.8164263912452534,0.9044987095220776,-0.1633833322370727,-0.22485016496680263,-0.10558477250717543,-1.380076950938047,-1.8992789890895032,-0.8918603196056393,-60.58283366716624,-83.37484587750234,-39.15102368769268,0.8466518835320591,0.8000345422585501,0.8954652700626697,-0.1811229850788305,-0.2499460300513204,-0.11673789417875952,-1.5299214036697892,-2.1112603735598534,-0.9860692327132902,-67.16072887049118,-92.68043782088908,-43.28662127801976,-0.14984445273174218,-0.21198138447035,-0.0942089131076509,-6.5778952033249425,-9.30559194338674,-4.13559759032708,0.8164263912452534,0.7750375881128263,0.9044987095220776,-0.22485016496680263,-0.29026000201479873,-0.10558477250717543,-1.0097316409768136,-1.3034667249971,-0.474148131586091,-162.33627668437515,-209.560566719791,-76.22960314888923,0.8000345422585501,-0.2499460300513204,-1.1224293080533048,0.7555357905854446,-0.323564035563592,-1.4530247048693177,0.8954652700626697,-0.11673789417875952,-0.5242333065252571,-180.4548726773802,-233.6052580175752,-84.28188207801561,-0.1126976670764912,-0.14955797987221753,-0.05008517493916614,-18.118595993005016,-24.04469129778417,-8.05227892912639,0.7395
22017023000,22017023000,Census Tract 230; Caddo Parish; Louisiana,2364,1440,770,Shreveport city,Louisiana,77025,0.6191572180820804,0.2470045138099047,22017,2364,1440,770,0.016469,0.00721975350599999,0.003708017999,0.8090210591966882,0.7252559698189497,0.8537377862286015,-0.23606176703600645,-0.3788235348819486,-0.17131983160486997,-9.190525734471,-14.748629097674996,-6.669946349040226,-388.770124131599,-623.8844795970809,-282.14663067006035,0.7920558561372641,0.7023287448390386,0.8403437105158568,-0.26253722165106863,-0.42383464630823614,-0.18998927163521695,-10.221287089970106,-16.501033915679006,-7.396798355620757,-432.3725503371449,-698.0132790050341,-388.770124131599,-1.0307613554991055,-1.7524048180040117,-0.7268520065805308,-43.602426205545925,-74.12879940795311,-30.74670078597846,0.8765373362750487,0.8381077479460775,0.9163075863282348,-0.14085271512748196,-0.193164008387545,-0.09133659365097238,-0.7520895401770407,-1.0314080925984055,-0.4876959358442228,-52.22844029007227,-71.62556198600038,-33.86777332251547,0.8650624515132854,0.8234359829180934,0.9083336649113136,-0.15598590396642853,-0.21442348979722609,-0.1009170293139322,-0.8328938968768356,-1.14492406979017,-0.5388511119864065,-57.83985394978025,-79.5086159576507,-37.42021611016711,-0.08080435669979491,-0.11351597719176464,-0.05115517614218368,-5.61141365970798,-7.883053971650323,-3.5524427876516445,0.8381077479460775,0.8009868891333601,0.9163075863282348,-0.193164008387545,-0.24845988563179244,-0.09133659365097238,-1.0738393256275234,-1.3812407304006793,-0.507759323023033,-139.45965267889915,-179.38191303904927,-65.94276922377051,0.8234359829180934,-0.21442348979722609,-1.192025251518854,0.7834079026362706,-0.2764742309017672,-1.5369783643611992,0.9083336649113136,-0.1009170293139322,-0.5610189786773624,-154.8084742232278,-199.6075797871687,-72.85960762043668,-0.1181859258913307,-0.15573763396051987,-0.05325965565432944,-15.348821544328665,-20.225666748119465,-6.916838396666161,0.3544
22017024002,22017024002,Census Tract 240.02; Caddo Parish; Louisiana,4225,3484,1566,Shreveport city,Louisiana,1469352,0.779321674635859,0.1918136811432011,22017,4225,3484,1566,0.016469,0.00721975350599999,0.003708017999,0.7578175232688628,0.6568280407819919,0.8130879478352236,-0.31957888184807043,-0.522468496943952,-0.22987925557427524,-22.23678595678356,-36.354154781818025,-15.995349168722822,-526.3144605155873,-860.4533676169948,-378.5881460052739,0.7370909988202233,0.6297915851203478,0.79643672172732,-0.3566845906415691,-0.5878268678501134,-0.2555925319857048,-24.818657760841106,-40.90188990098436,-17.78451815417662,-587.4238523276001,-968.0920686623516,-526.3144605155873,-2.5818718040575455,-4.547735119166333,-1.7891689854537989,-61.10939181201291,-107.638701045357,-42.3471949219834,0.8416172010999049,0.7936649527462135,0.8919298365614288,-0.1881886428807604,-0.2599775214211396,-0.12116442236667822,-2.431159152532202,-3.3585806294172382,-1.5652910286656982,-69.78068750092429,-96.40013287649938,-44.9279858974081,0.8272295950370407,0.7755341441841452,0.881787140974614,-0.20885423587295995,-0.28943387921622815,-0.13406053857252756,-2.6981324659925954,-3.7391195012511145,-1.7318925326992598,-77.4435265784327,-107.3226033654166,-49.70988899825659,-0.2669733134603933,-0.38053887183387625,-0.16660150403356155,-7.662839077508419,-10.922470488917227,-4.781903100848495,0.7936649527462135,0.7479852239044773,0.8919298365614288,-0.2599775214211396,-0.3369248055195629,-0.12116442236667822,-2.9393406916784506,-3.8093169958922912,-1.369901194146598,-187.69736217614627,-243.25140459082317,-87.47772631842899,0.7755341441841452,-0.28943387921622815,-3.272378219778767,0.7265781284483124,-0.3763144813285395,-4.254661948426841,0.881787140974614,-0.13406053857252756,-1.5157064119256478,-208.96412642265437,-271.6897795930294,-96.7884043375254,-0.3330375281003164,-0.4453449525345494,-0.14580521777904987,-21.26676424650807,-28.43837500220622,-9.310678019096416,0.1617
22017023801,22017023801,Census Tract 238.01; Caddo Parish; Louisiana,2091,1522,831,Shreveport city,Louisiana,92552,0.672427717234921,0.2131217839486701,22017,2091,1522,831,0.016469,0.00721975350599999,0.003708017999,0.7916179330237678,0.7017402476422665,0.8399970104891781,-0.2632356573584288,-0.42502871020985034,-0.19048042732633427,-9.0649618338062,-14.63657725928064,-6.559513331619803,-433.52280410359646,-699.9797828446026,-313.70221576373996,0.7733341457139491,0.6773201944235983,0.825478021289163,-0.29310208988223446,-0.47640659208604186,-0.21141929186471017,-10.093462583503657,-16.405860885150965,-7.280578288352336,-482.709831827052,-784.5940165065024,-433.52280410359646,-1.0285007496974554,-1.7692836258703242,-0.7210649567325333,-49.18702772345554,-84.61423366189977,-34.48421600825123,0.8647650261024038,0.8230565712634615,0.9081265114782862,-0.1563834912555563,-0.21498331331577283,-0.1011681603394205,-0.8825664020901782,-1.2132805567850231,-0.5709529731046481,-57.98728003220619,-79.71619952595421,-37.51333594642892,0.8522910516376523,0.8071842055598033,0.899416788676059,-0.17330810651892836,-0.2388745878723852,-0.1118315919719482,-0.9780822182407788,-1.3481134349711266,-0.6311331520627655,-64.26295783447956,-88.57512713345116,-41.467355588880785,-0.09551581615060067,-0.13483287818610346,-0.06018017895811745,-6.275677802273369,-8.858927607496941,-3.954019642451869,0.8230565712634615,0.7829543690242853,0.9081265114782862,-0.21498331331577283,-0.2772136404912028,-0.1011681603394205,-1.2898171464657722,-1.663175161016177,-0.6069700288343701,-155.2126530043047,-200.14141528473849,-73.04091803061011,0.8071842055598033,-0.2388745878723852,-1.433155599570631,0.7640294465317995,-0.3088500771002407,-1.852981605814424,0.899416788676059,-0.1118315919719482,-0.6709465149516796,-172.4615643285958,-222.98214269728328,-80.73965282210344,-0.14333845310485893,-0.1898064447982475,-0.06397648611730944,-17.24891132429109,-22.840727412544823,-7.6987347914933135,0.5134
22017023401,22017023401,Census Tract 234.01; Caddo Parish; Louisiana,1976,1356,411,Shreveport city,Louisiana,21251,0.6269121535920358,0.23902789506681457,22017,1976,1356,411,0.016469,0.00721975350599999,0.003708017999,0.8064639752165631,0.7217842393072388,0.8517235589528386,-0.23998099199839135,-0.3854555773617195,-0.1740898669392938,-7.809639987469698,-12.543782177454633,-5.665361972799501,-395.2246957221507,-634.8067903570159,-286.70860186232295,0.789302483737859,0.698631453152121,0.8381630787351413,-0.2669414078926391,-0.4313698524281278,-0.19308524244361164,-8.687005900049733,-14.03795867688634,-6.283523615020388,-439.6258046583873,-710.4230099638837,-395.2246957221507,-0.8773659125800357,-1.494176499431708,-0.6181616422208869,-44.401108936236625,-75.61621960686782,-31.283483918061076,0.8748136485105791,0.8358996502222686,0.915112045740627,-0.14310059256912366,-0.19631584931767407,-0.09276236134633188,-0.7195201408712162,-0.9870903049410784,-0.4664158694606312,-53.06195729138763,-72.79427027589072,-34.39645055019404,0.8631914006348465,0.8210499100544286,0.9070300996033384,-0.15849161525999414,-0.21795275506906575,-0.1024992449945366,-0.7969073173732136,-1.095882233714808,-0.5153736254588727,-58.76897620746413,-80.81727387277346,-38.00690453236524,-0.07738717650199745,-0.10879192877372967,-0.04895775599824142,-5.707018916076508,-8.02300359688272,-3.610453982171197,0.8358996502222686,0.7983361722519848,0.915112045740627,-0.19631584931767407,-0.2526051490052771,-0.09276236134633188,-0.5825316890131991,-0.74955998007761,-0.27525548864111254,-141.73520413946449,-182.37469101645013,-66.97213835550183,0.8210499100544286,-0.21795275506906575,-0.6467352838639734,0.7805565782292982,-0.2811371115063968,-0.8342234056971236,0.9070300996033384,-0.1024992449945366,-0.30414792548219166,-157.35651675522467,-202.9740646465021,-74.00192834116586,-0.06420359485077431,-0.08466342561951357,-0.02889243684107911,-15.621312615760177,-20.59937363005196,-7.029789985664019,0.8113
22015011002,22015011002,Census Tract 110.02; Bossier Parish; Louisiana,3461,2244,1009,Shreveport city,Louisiana,591548,0.707484696790496,0.25651554427137474,22015,3461,2244,1009,0.012924,0.00721975350599999,0.003708017999,0.7803697995710335,0.6866822522555124,0.831075175571567,-0.28144374698982005,-0.45627762580924114,-0.2032605826690179,-12.58896867087976,-20.40928177645283,-9.091838545404194,-363.7378986096435,-589.6932035958633,-262.6939770414387,0.7612555977653519,0.6613500720731925,0.8158387721769756,-0.3136192402860179,-0.512058503093848,-0.22573238010202737,-14.02817732770093,-22.904358409281713,-10.097001235598,-405.3215061456495,-661.7844093984892,-363.7378986096435,-1.4392086568211706,-2.4950766328288836,-1.0051626901938064,-41.583607536006085,-72.09120580262594,-29.04255100242145,0.8571041377027282,0.8132992618872659,0.9027824900291712,-0.16671937050761593,-0.22955970435715625,-0.10768652587367676,-1.3872372693446815,-1.9101186410096629,-0.8960372249689521,-61.81984266241897,-85.1211515601454,-39.93035761893726,0.8439893196743732,0.796664409893046,0.8935964603473043,-0.18484911679429625,-0.25523368131162316,-0.11907336742509138,-1.538091124275098,-2.1237464730671625,-0.9907847694933204,-68.54238521725036,-94.64110842545288,-44.15261896137791,-0.15085385493041636,-0.2136278320574996,-0.09474754452436827,-6.7225425548313895,-9.519956865307469,-4.222261342440654,0.8132992618872659,0.7713093439489498,0.9027824900291712,-0.22955970435715625,-0.29649667522527307,-0.10768652587367676,-1.672280760692222,-2.1598986066692833,-0.7844674042799662,-165.73644803689018,-214.06329104750083,-77.74701727254373,0.796664409893046,-0.25523368131162316,-1.8593087838883675,0.751538877650229,-0.33060315272925433,-2.408355130450792,0.8935964603473043,-0.11907336742509138,-0.8674174851959763,-184.2724265498878,-238.68732710116868,-85.96803619385295,-0.18702802319614564,-0.24845652378150884,-0.08295008091601008,-18.535978512997584,-24.624036053667876,-8.221018921309225,0.3992
22017024201,22017024201,Census Tract 242.01; Caddo Parish; Louisiana,2619,1827,661,Shreveport city,Louisiana,152,0.8606434464454651,0.05742288127551778,22017,2619,1827,661,0.016469,0.00721975350599999,0.003708017999,0.7330731211803554,0.6245953972083013,0.7931951747925426,-0.3641204009633488,-0.6010364541103111,-0.2607237559930271,-15.70535437579586,-25.924091261023168,-11.24561812857936,-599.6698883465391,-989.8469362742716,-429.3859537449164,0.7106602520300983,0.5958797919146335,0.7750292083628618,-0.407142157090344,-0.6781908256812664,-0.29027395252929467,-17.56098214083157,-29.25193761063117,-12.520186395692775,-670.5224185120875,-1116.9124708144775,-599.6698883465391,-1.8556277650357096,-3.327846349608002,-1.2745682671134162,-70.85253016554829,-127.06553454020629,-48.66621867557909,0.8244229120344848,0.772009681405311,0.8798016385305989,-0.21296968510037112,-0.29532054336374614,-0.13661984270698843,-1.4427735425593944,-2.0006634575182303,-0.9255378029665192,-78.96954255935383,-109.50538902672304,-50.6588835778062,0.8086583183361006,0.7522895365012351,0.868606836285948,-0.23661622878944105,-0.32927543383206187,-0.1512688574682101,-1.602968208722731,-2.2306925228525754,-1.0247782695713872,-87.73772352067493,-122.0959235277819,-56.09076461802886,-0.16019466616333666,-0.23002906533434508,-0.09924046660486796,-8.768180961321109,-12.590534501058846,-5.431881040222658,0.772009681405311,0.722431575608325,0.8798016385305989,-0.29532054336374614,-0.38421413703844254,-0.13661984270698843,-1.4093455502355368,-1.8335686309020576,-0.6519850099145188,-213.2141528344231,-277.393136293806,-98.63615883729484,0.7522895365012351,-0.32927543383206187,-1.5713870162479904,0.6993207128031685,-0.4299590755600298,-2.0518752370625,0.868606836285948,-0.1512688574682101,-0.7218938741401726,-237.7287467848699,-310.4198543211044,-109.2123864054724,-0.16204146601245362,-0.21830660616044265,-0.06990886422565379,-24.51459395044684,-33.02671802729843,-10.57622756817758,0.6856
22017023905,22017023905,Census Tract 239.05; Caddo Parish; Louisiana,2557,1428,503,Shreveport city,Louisiana,107024,0.6231091204416284,0.2400892917819869,22017,2557,1428,503,0.016469,0.00721975350599999,0.003708017999,0.8077169619203023,0.723484700127272,0.8527107448273149,-0.23805744728023967,-0.38219923631292385,-0.17273061945819987,-10.024892629803391,-16.0948810927956,-7.273899362238589,-392.0568099258268,-629.4439222837544,-284.47005718570944,0.7906515440484606,0.7004421726303353,0.8392317561777555,-0.2647796713070202,-0.42766960510779967,-0.1915659680878337,-11.150198432073342,-18.009694387712543,-8.06707911701733,-436.06564067553154,-704.3290726520353,-392.0568099258268,-1.125305802269951,-1.914813294916943,-0.7931797547787411,-44.00883074970477,-74.88515036828092,-31.019935658143964,0.8756585238735518,0.8369817771107907,0.9156981457765808,-0.14199767687569903,-0.19476914234852055,-0.09206292992100032,-0.7518847567065852,-1.0313122892627375,-0.4874777896960998,-52.652994167127815,-72.22074854781076,-34.13710011877449,0.8641084608465557,0.822219178924077,0.9076691362512362,-0.15726213237203251,-0.21622071782436383,-0.10172303988444446,-0.8327108072423693,-1.144899447605802,-0.5386285520848474,-58.31308173966171,-80.17503134494413,-37.7190862804515,-0.08082605053578418,-0.11358715834306454,-0.05115076238874766,-5.660087572533906,-7.954282797133371,-3.581986161677007,0.8369817771107907,0.7996349902692692,0.9156981457765808,-0.19476914234852055,-0.25057058804200133,-0.09206292992100032,-0.7073111547606662,-0.9099561144029104,-0.3343298455180965,-140.61851983313443,-180.90578815167208,-66.46716610697743,0.822219178924077,-0.21622071782436383,-0.7852133236478905,0.7819535733189763,-0.27884830266269234,-1.0126476534279345,0.9076691362512362,-0.10172303988444446,-0.3694108827448879,-156.10602855822873,-201.32160107911216,-73.44152738466956,-0.07790216888722434,-0.1026915390250238,-0.0350810372267914,-15.487508725094305,-20.41581292744012,-6.974361277692127,0.468
