geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
05119002209,05119002209,Census Tract 22.09; Pulaski County; Arkansas,2179,1210,386,Little Rock city,Arkansas,87131,0.6085715497805345,0.23923067280431137,05119,2179,1210,386,0.013695,0.008033274155,0.004224436285,0.8125246309819844,0.7300219333383862,0.8564949446625176,-0.2307319210636612,-0.3698218564845109,-0.16754921465885275,-6.885364702888745,-11.036003797206169,-4.999903972066762,-315.987365896684,-506.47103245553774,-229.45864947529884,0.7958297839994505,0.7074072385970298,0.8433294843833263,-0.25655010670056866,-0.4136129027789661,-0.18577616283775128,-7.655815636844883,-12.342790145052756,-5.543821714587286,-351.34537112642874,-566.4428703557942,-315.987365896684,-0.7704509339561385,-1.3067863478465878,-0.5439177425205237,-35.35800522974477,-59.97183790025644,-24.96180553100155,0.8788956937945851,0.8411312711607687,0.9179420487429486,-0.1377914433538223,-0.18887507133100764,-0.08939338966923183,-0.7043303194103548,-0.9654477526418332,-0.45694038153899497,-58.20911730664089,-79.7890704662672,-37.76366789578471,0.8676230279451544,0.8267042250450344,0.9101160866192884,-0.1525742952770193,-0.20962246194583728,-0.09876093248125498,-0.7798938708431188,-1.0714994486179823,-0.5048232127242408,-64.45403891265444,-88.55367343950267,-41.72092667142486,-0.07556355143276394,-0.10605169597614916,-0.04788283118524583,-6.244921606013549,-8.764602973235467,-3.957258775640151,0.8411312711607687,0.8046193918711125,0.9179420487429486,-0.18887507133100764,-0.2428236382353862,-0.08939338966923183,-0.5856720984122058,-0.7529581789021276,-0.2771949402470661,-151.72852290471653,-195.06688572593976,-71.81216068576842,0.8267042250450344,-0.20962246194583728,-0.6500065164607888,0.7873168471732275,-0.2701366719007569,-0.8376516306534533,0.9101160866192884,-0.09876093248125498,-0.3062422275201912,-168.39547058569656,-217.00819446980657,-79.33736464253658,-0.06433441804858298,-0.0846934517513257,-0.02904728727312511,-16.666947680980044,-21.941308743866763,-7.525203956768164,0.433
05119004700,05119004700,Census Tract 47; Pulaski County; Arkansas,2279,1865,763,Little Rock city,Arkansas,0,NA,NA,05119,2279,1865,763,0.013695,0.008033274155,0.004224436285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.704
05119002206,05119002206,Census Tract 22.06; Pulaski County; Arkansas,2864,1366,541,Little Rock city,Arkansas,56375,0.6533779971352438,0.21255632651377585,05119,2864,1366,541,0.013695,0.008033274155,0.004224436285,0.7977979287894189,0.7100606643754356,0.8448851717136772,-0.25345023334092026,-0.4083303725599179,-0.18359279281905735,-9.940946708209578,-16.01572987112393,-7.200964644489622,-347.1000945603903,-559.2084452208077,-251.4303297656991,0.779977715769006,0.6861593725097268,0.8307635946646255,-0.2820879106963546,-0.4573873651865395,-0.20371186992575704,-11.064187435529554,-17.939866783281744,-7.990084743925608,-386.3193936986576,-626.391996622966,-347.1000945603903,-1.1232407273199758,-1.9241369121578131,-0.7891200994359862,-39.21929913826732,-67.18355140215827,-27.553076097625212,0.8689565743582974,0.8284076238596518,0.9110436690313192,-0.1508054942083554,-0.20713519672945355,-0.09764222505740584,-0.8702351635374088,-1.19529021635753,-0.5634522676845561,-63.706820171113385,-87.50294409645169,-41.24833584806414,0.8568363464153693,0.8129587237422292,0.9025953960554012,-0.1670840110641491,-0.2300747513930084,-0.1079161320457478,-0.9641716467704132,-1.3276647509121733,-0.6227386695169407,-70.58357589827331,-97.1936128046979,-45.58848239509083,-0.09393648323300452,-0.1323745345546432,-0.05928640183238454,-6.876755727159922,-9.690668708246209,-4.340146547026686,0.8284076238596518,0.7893557512637102,0.9110436690313192,-0.20713519672945355,-0.2668559117977684,-0.09764222505740584,-0.90020983796036,-1.1597561443504991,-0.4243532387777803,-166.397382247756,-214.3726699353973,-78.43867629903518,0.8129587237422292,-0.2300747513930084,-0.999905172759176,0.7709035673217558,-0.29717910564892364,-1.2915407847891924,0.9025953960554012,-0.1079161320457478,-0.46900365208863415,-184.82535540835048,-238.7321228815513,-86.69198744706732,-0.0996953347988161,-0.1317846404386931,-0.04465041331085384,-18.427973160594473,-24.35945294615399,-8.253311148032132,0.4997
05119001200,05119001200,Census Tract 12; Pulaski County; Arkansas,1440,976,294,Little Rock city,Arkansas,5066,0.7183233603123286,0.1319864327350082,05119,1440,976,294,0.013695,0.008033274155,0.004224436285,0.7769246349274609,0.6820924484069532,0.8283360120645896,-0.2871261317300963,-0.46607692598786166,-0.20723955669577343,-5.662357018622884,-9.191409842021422,-4.086929849686009,-393.21923740436694,-638.2923501403766,-283.8145728948617,0.7575595573760259,0.6564891692935797,0.8128814201319953,-0.3200282278316439,-0.5232543761172143,-0.23019172936394647,-6.311212675422284,-10.31899490053236,-4.539565056440516,-438.2786580154363,-716.596868092525,-393.21923740436694,-0.6488556567993999,-1.1275850585109382,-0.45263520675450675,-45.05942061106944,-78.30451795214849,-31.43300046906297,0.8547493627209446,0.8103060415885265,0.9011366371651848,-0.16993360113972533,-0.23410162170282833,-0.10970962533031824,-0.700644702598684,-0.9652126478564008,-0.4523382503297318,-71.7873670695373,-98.89473850987714,-46.34613220591515,0.8414390521190567,0.7934398058710451,0.8918046072816675,-0.18844020548086976,-0.26033505327123246,-0.12132185888579966,-0.7769483541881722,-1.0733743930092887,-0.500216067732642,-79.6053641586242,-109.97688452964024,-51.25164628408217,-0.07630365158948815,-0.1081617451528878,-0.04787781740291025,-7.817997089086901,-11.082146019763092,-4.905514078167034,0.8103060415885265,0.76774419207092,0.9011366371651848,-0.23410162170282833,-0.30251717997708466,-0.10970962533031824,-0.5528971371370619,-0.714479812345899,-0.259110284329909,-188.06025072689175,-243.0203443353398,-88.1327497720779,0.7934398058710451,-0.26033505327123246,-0.614854799394796,0.7477186164366479,-0.33740150106952316,-0.7968689949696016,0.8918046072816675,-0.12132185888579966,-0.28653585550661237,-209.134285508434,-271.04387584000057,-97.46117534238516,-0.06195766225773413,-0.08238918262370265,-0.02742557117670335,-21.07403478154222,-28.023531504660767,-9.328425570307264,0.7082
05119001501,05119001501,Census Tract 15.01; Pulaski County; Arkansas,2766,1739,637,Little Rock city,Arkansas,92424,0.6531710529535149,0.2322628105691363,05119,2766,1739,637,0.013695,0.008033274155,0.004224436285,0.797865328602118,0.7101515917237681,0.8449384295103867,-0.2533443479139863,-0.4081500508541788,-0.18351818910576276,-9.596777636390527,-15.460874941875108,-6.951736905056262,-346.95508446820423,-558.9614946447979,-251.3281599803421,0.7800501998270916,0.6862560264441738,0.8308211992451328,-0.2819687761398731,-0.4571821032763621,-0.20362841115342223,-10.681081568625563,-17.31822722948681,-7.713519557003762,-386.15623892355615,-626.1108904369779,-346.95508446820423,-1.0843039322350343,-1.8573522876117003,-0.7617826519474997,-39.201154455351926,-67.14939579218006,-27.540949094269692,0.8690022200774254,0.8284659449411343,0.9110754105942088,-0.15074504632554683,-0.20705021866777373,-0.09760398356903728,-1.1074175348145825,-1.521051923953193,-0.7170276271545282,-63.68128434816459,-87.46704565573278,-41.232180974958496,0.8568858565020544,0.8130216807663386,0.9026299880550512,-0.16701657800977193,-0.22997949951029495,-0.1078736727490712,-1.2269530017810226,-1.6894971782725905,-0.7924717903445048,-70.55508923410136,-97.15337425374298,-45.57054573573921,-0.11953546696644037,-0.1684452543193975,-0.0754441631899766,-6.873804885936766,-9.686328598010206,-4.338364760780713,0.8284659449411343,0.7894255784518263,0.9110754105942088,-0.20705021866777373,-0.2667438543873123,-0.09760398356903728,-1.0595164755517594,-1.3649804877966307,-0.4994586788474322,-166.32911704109253,-214.28265114546795,-78.40795586301918,0.8130216807663386,-0.22997949951029495,-1.1768500914325806,0.7709785820322417,-0.29705289265503987,-1.5200777661738805,0.9026299880550512,-0.1078736727490712,-0.5520106875101265,-184.7488369595888,-238.63073252337213,-86.65787873000416,-0.11733361588082114,-0.15509727837724974,-0.05255200866269427,-18.419719918496252,-24.348081377904197,-8.249922866984972,0.01
05119002406,05119002406,Census Tract 24.06; Pulaski County; Arkansas,2135,1673,637,Little Rock city,Arkansas,18824,0.7831061606553074,0.1337012134804094,05119,2135,1673,637,0.013695,0.008033274155,0.004224436285,0.7566476728348484,0.6552917683094618,0.8121512214760661,-0.3216190783398703,-0.5260377870758627,-0.2312977848909998,-9.403763948240758,-15.380726799698412,-6.762875455315588,-440.4573277864524,-720.408749400394,-316.76231640822425,0.7358394553117608,0.6281714349356109,0.795427482429445,-0.35899209098038865,-0.5919221161377745,-0.257185629223844,-10.496506924559664,-17.307107167382064,-7.519805605390862,-491.6396685976423,-810.6373380506823,-440.4573277864524,-1.0927429763189045,-1.9263803676836524,-0.7569301500752736,-51.1823408111899,-90.22858865028816,-35.453402813830145,0.8408091286771279,0.7926438309355658,0.8913617329142868,-0.18933056967796277,-0.2616006849125282,-0.1218789892746718,-1.338090375225424,-1.8488581069038872,-0.8613775512746655,-79.98149284073067,-110.5115425525336,-51.487002467104936,0.8263559528940033,0.7744366404453593,0.8811693529323407,-0.21013226382392863,-0.29126121850965725,-0.13485562868501577,-1.485105972191326,-2.0584833913884575,-0.953089715492451,-88.7690359946997,-123.04144598855096,-56.968901105346745,-0.14701559696590194,-0.2096252844845703,-0.0917121642177855,-8.787543153969034,-12.529903436017351,-5.481898638241811,0.7926438309355658,0.7467762190386421,0.8913617329142868,-0.2616006849125282,-0.3390892405322494,-0.1218789892746718,-1.338661883401277,-1.735185982115412,-0.6236786321260224,-210.15100210381112,-272.3996832206298,-97.90873345777432,0.7744366404453593,-0.29126121850965725,-1.4904406365077376,0.7252863890115943,-0.37876570572733337,-1.9382182166927635,0.8811693529323407,-0.13485562868501577,-0.6900826346961181,-233.97812190074376,-304.27287546197226,-108.33322365716138,-0.15177875310646072,-0.20303223457735164,-0.06640400257009571,-23.82711979693261,-31.873192241342487,-10.424490199387082,0.7373
05119980100,05119980100,Census Tract 9801; Pulaski County; Arkansas,0,0,0,Little Rock city,Arkansas,177144,0.7242875265692578,0.23580586188696784,05119,0,0,0,0.013695,0.008033274155,0.004224436285,0.7750353638569053,0.6795799261071909,0.8268325915734275,-0.29026370490189646,-0.4714972611511025,-0.20943466693426083,-0,-0,-0,NA,NA,NA,0.7555334054686266,0.6538296273064037,0.8112586598504055,-0.32356821387631535,-0.5294504229178509,-0.23265248124981255,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8534563666947963,0.8086636704872556,0.9002322576961497,-0.17170606374726247,-0.23660804422864176,-0.1108244471922982,-0,-0,-0,NA,NA,NA,0.8400390106828967,0.7916709809598623,0.8908201414568732,-0.19042090579467916,-0.26315101102676386,-0.1225610574594451,-0,-0,-0,NA,NA,NA,0,0,0,NA,NA,NA,0.8086636704872556,0.7657894378393925,0.9002322576961497,-0.23660804422864176,-0.3058419855220412,-0.1108244471922982,-0,-0,-0,NA,NA,NA,0.7916709809598623,-0.26315101102676386,-0,0.7456247394322104,-0.3411572163787043,-0,0.8908201414568732,-0.1225610574594451,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
05119004901,05119004901,Census Tract 49.01; Pulaski County; Arkansas,1842,1288,466,Little Rock city,Arkansas,68929,0.7059027918882823,0.20785002166752653,05119,1842,1288,466,0.013695,0.008033274155,0.004224436285,0.7808738979251026,0.6873547127934002,0.8314757137465753,-0.2806165024303512,-0.4548529040210018,-0.20268094842369516,-7.078885207443501,-11.474205778885558,-5.112868114316335,-384.30430007836594,-622.921052056762,-277.57155886625054,0.7617965414241612,0.662062525253302,0.8162712970573247,-0.31268645317097776,-0.5104313593605146,-0.22508289046181237,-7.887887878117188,-12.87623845318662,-5.677983760538867,-428.224097617654,-699.0357466442249,-384.30430007836594,-0.8090026706736868,-1.4020326743010632,-0.565115646222532,-43.9197975392881,-76.11469458746271,-30.67945962120152,0.8574483596133191,0.8137370465922523,0.9030229538024778,-0.16625099201422108,-0.2288982100394409,-0.10739156273843116,-0.9045839393297715,-1.2454520844320691,-0.5843254328635864,-70.23167230821208,-96.69659040621654,-45.36688143350826,0.8443621775105246,0.7971361360887819,0.893858282529934,-0.1843259049669305,-0.2544908638900595,-0.11874557694945498,-1.0029308770755987,-1.3847036062281948,-0.646103463645716,-77.8673041207763,-107.50804396181636,-50.16331239485373,-0.09834693774582703,-0.13925152179612563,-0.06177803078212962,-7.635631812564211,-10.811453555599815,-4.796430961345467,0.8137370465922523,0.7718310611427562,0.9030229538024778,-0.2288982100394409,-0.29562031167730124,-0.10739156273843116,-0.8568817668733907,-1.106656338422484,-0.4020209332818523,-183.88020748356024,-237.47990094903085,-86.27058654117002,0.7971361360887819,-0.2544908638900595,-0.9526880138803832,0.752098075353196,-0.3296138266679991,-1.2339112574646522,0.893858282529934,-0.11874557694945498,-0.4445247508371371,-204.43948795716375,-264.78782349026875,-95.39157743286204,-0.09580624700699247,-0.12725491904216835,-0.04250381755528487,-20.559280473603533,-27.307922541237843,-9.120990891692031,0.1941
05119002211,05119002211,Census Tract 22.11; Pulaski County; Arkansas,3705,2751,944,Little Rock city,Arkansas,101419,0.7094416987582836,0.1977727886304574,05119,3705,2751,944,0.013695,0.008033274155,0.004224436285,0.7797466210565803,0.6858512499796787,0.8305799298420069,-0.28246788507396114,-0.45804210465407663,-0.2039780448225136,-14.332413426955664,-23.241044939095232,-10.34984089484322,-386.8397686087898,-627.288662323758,-279.3479323844324,0.7605869184995455,0.6604697447291726,0.8153040052834708,-0.31477412466251553,-0.5140738966174032,-0.22653635149543117,-15.971631216022924,-26.084096662519624,-11.49444881146939,-431.08316372531505,-704.0242014175336,-386.8397686087898,-1.63921778906726,-2.8430517234243915,-1.1446079166261691,-44.243395116525235,-76.73553909377574,-30.89360098856058,0.856678486028327,0.8127579967451694,0.9024850967337256,-0.16729906996512803,-0.23037854318834608,-0.10805153860069328,-1.9442534636820687,-2.6773267815854243,-1.2557127677061437,-70.67442616074405,-97.32194771302888,-45.64568403148468,0.8435282786146322,0.7960812155168346,0.8932726617095909,-0.18549671107926455,-0.25615324229296943,-0.11947901560778644,-2.1557359708733994,-2.9768654940240085,-1.388516325770269,-78.36190370314065,-108.21030512628164,-50.47314888296144,-0.21148250719133063,-0.2995387124385842,-0.13280355806412558,-7.687477542396607,-10.88835741325279,-4.827464851476757,0.8127579967451694,0.7706644065390578,0.9024850967337256,-0.23037854318834608,-0.2975816600780295,-0.10805153860069328,-1.7470551330372484,-2.2566839756080475,-0.8193992050317939,-185.0693996861492,-239.05550589068295,-86.80076324489342,0.7960812155168346,-0.25615324229296943,-1.9425152646537969,0.7508476597893964,-0.3318280838492429,-2.5163886755754956,0.8932726617095909,-0.11947901560778644,-0.9060584576106476,-205.77492210315643,-266.56659698892963,-95.98076881468724,-0.19546013161654852,-0.25970469996744816,-0.08665925257885376,-20.70552241700726,-27.511091098246627,-9.180005569793831,0.582
05119004222,05119004222,Census Tract 42.22; Pulaski County; Arkansas,1476,782,245,Little Rock city,Arkansas,74893,0.6792855346201696,0.21888862570881384,05119,1476,782,245,0.013695,0.008033274155,0.004224436285,0.7894048994690218,0.6987688604157062,0.8382442250783662,-0.26677703757936005,-0.4310883850850018,-0.192969745668706,-5.39258301776242,-8.713943020198911,-3.9006557043930026,-365.3511529649336,-590.37554337391,-264.27206669329286,0.7709563667207121,0.674166079581162,0.8235834809056491,-0.29709026757705165,-0.48331402348404745,-0.21420599512311173,-6.005329192554359,-9.769622674182308,-4.329921428339459,-406.86512144677226,-661.898555161403,-365.3511529649336,-0.6127461747919387,-1.0556796539833968,-0.4292657239464561,-41.51396848183867,-71.523011787493,-29.08304362780868,0.8632610412795194,0.8211386883527769,0.9070786354322206,-0.15839815789417191,-0.21782107478825893,-0.10244025262870694,-0.5232697678859038,-0.7195739190430578,-0.338412314434934,-66.9142925685299,-92.01712519732196,-43.275232024927625,0.8506606741748993,0.8051154598746991,0.8982752459591842,-0.17555687051120916,-0.24205787845091303,-0.1132445255487292,-0.579953732445244,-0.7996404223121585,-0.37410432915402697,-74.16288138685984,-102.25580847981566,-47.83942828056611,-0.0566839645593401,-0.0800665032691007,-0.03569201471909294,-7.248588818329936,-10.238683282493694,-4.5641962556384845,0.8211386883527769,0.7806626290521161,0.9070786354322206,-0.21782107478825893,-0.2809630726325458,-0.10244025262870694,-0.42870502057515647,-0.5529780805226624,-0.2016180052990963,-174.98164105108427,-225.7053389888418,-82.29306338738624,0.8051154598746991,-0.24205787845091303,-0.4764067382485936,0.7615698263402296,-0.3130772325967287,-0.616183634078865,0.8982752459591842,-0.1132445255487292,-0.22288245847003169,-194.45172989738512,-251.50352411382244,-90.97243202858436,-0.04770171767343711,-0.06320555355620261,-0.02126445317093536,-19.470088846300865,-25.798185124980655,-8.679368641198108,0.6101
05119002102,05119002102,Census Tract 21.02; Pulaski County; Arkansas,2725,1604,443,Little Rock city,Arkansas,79616,0.7014026068839944,0.21482652561872423,05119,2725,1604,443,0.013695,0.008033274155,0.004224436285,0.7823097327051023,0.6892713244136764,0.8326162161852595,-0.27826608591735075,-0.4508074898526246,-0.2010335380946954,-10.384577277088871,-16.823628362873865,-7.502345478963676,-381.08540466381186,-617.3808573531694,-275.31543042068535,0.763337514848467,0.6640935040425463,0.8175029933443199,-0.31003649178504444,-0.5058120489248653,-0.22323711122953055,-11.5702130823646,-18.87633662732093,-8.330957849335947,-424.59497549961833,-692.709601002603,-381.08540466381186,-1.1856358052757263,-2.052708264447066,-0.8286123703722712,-43.50957083580648,-75.32874364943362,-30.40779340815674,0.858428354385654,0.8149837406830884,0.9037073727312458,-0.16491958227039655,-0.2270183441473789,-0.10655288445609566,-1.1174943969899698,-1.5382753467243948,-0.7220018976738597,-69.66922674501059,-95.90245303768047,-45.01258713677429,0.8454237802988052,0.79847962549635,0.8946035308921461,-0.1828387411181664,-0.2523801084822686,-0.11781360733368332,-1.238914542102419,-1.7101265553671097,-0.798304508610195,-77.23906122833037,-106.61636878847318,-49.76960776871539,-0.12142014511244924,-0.17185120864271486,-0.07630261093633528,-7.569834483319778,-10.713915750792696,-4.757020631941103,0.8149837406830884,0.7733171669589641,0.9037073727312458,-0.2270183441473789,-0.29313048090275323,-0.10655288445609566,-0.8078993643602653,-1.0431752997115122,-0.3791940600489416,-182.37005967500343,-235.4797516278809,-85.59685328418546,0.79847962549635,-0.2523801084822686,-0.8981553009990703,0.7536911511086553,-0.3268034240935858,-1.163008564737673,0.8946035308921461,-0.11781360733368332,-0.4192680500571416,-202.74386027067047,-262.53015005365074,-94.64290069009968,-0.09025593663880492,-0.11983326502616044,-0.0400739900082,-20.373800595667028,-27.05039842576985,-9.04604740591422,0.9198
