geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
13215002800,13215002800,Census Tract 28; Muscogee County; Georgia,1564,1265,644,Columbus city,Georgia,65734,0.6665296974306935,0.2049095336960018,13215,1564,1265,644,0.01419799999999999,0.007021009193,0.003623783249,0.7935261994020912,0.704305873719342,0.8415074130993053,-0.2601978368874063,-0.41983765479498025,-0.18834366095119728,-5.777867821031244,-9.322777255626558,-4.182297558361495,-369.4288888127394,-596.085502277913,-267.4103298185099,0.7753850035216728,0.6800446703931837,0.827110893542058,-0.28968189410184914,-0.4704916361182959,-0.2090277226522234,-6.432581124764396,-10.447582950386233,-4.641601048122243,-411.29035324580536,-668.0040249607565,-369.4288888127394,-0.6547133037331516,-1.124805694759674,-0.45930348976074775,-41.86146443306596,-71.91852268284362,-29.367230803116865,0.8660606138225329,0.824709616147829,0.9090286984365958,-0.15465359357043,-0.2125480052857177,-0.10007528004326186,-0.7089453437493957,-0.9743382949708752,-0.4587536711765917,-56.04311017781784,-77.02279011627472,-36.26511234597563,0.853695745992093,0.8089676676556019,0.9003997251055548,-0.17137751323556685,-0.23614334661607936,-0.1106178424063479,-0.7856092265736785,-1.0825013643451389,-0.5070816817060964,-62.1034961718323,-85.57323038301492,-40.085508435264536,-0.07666388282428283,-0.10816306937426334,-0.04832801052950464,-6.060385994014453,-8.550440266740186,-3.820396089288904,0.824709616147829,0.7849307450849156,0.9090286984365958,-0.2125480052857177,-0.27399774599454346,-0.10007528004326186,-0.9610421653977548,-1.2388890066068958,-0.4524933729972094,-149.23014990648366,-192.37406934889688,-70.2629461175791,0.8089676676556019,-0.23614334661607936,-1.0677292072024875,0.7661511792997944,-0.30522542680666,-1.380085899740209,0.9003997251055548,-0.1106178424063479,-0.5001618841584472,-165.79646074572787,-214.29905275469085,-77.66488884447938,-0.10668704180473276,-0.14119689313331318,-0.04766851116123782,-16.56631083924422,-21.924983405793977,-7.401942726900284,0.9111
13215010401,13215010401,Census Tract 104.01; Muscogee County; Georgia,3933,2684,1217,Columbus city,Georgia,126427,0.6424528370017506,0.21023247570618253,13215,3933,2684,1217,0.01419799999999999,0.007021009193,0.003623783249,0.8013639485370764,0.714876925784057,0.8477013938223139,-0.24787245773352057,-0.3988421837832127,-0.17966067684632037,-13.841379978223763,-22.27164029261749,-10.032384066035334,-351.9293154900525,-566.2761325354053,-255.0822289864056,0.7838135748133961,0.6912806610620031,0.8338101681641868,-0.27581357625513414,-0.44659044629386335,-0.19931375051675845,-15.401632545251662,-24.93793831843691,-11.129826125148671,-391.60011556703944,-634.0691156480273,-351.9293154900525,-1.5602525670278968,-2.666298025819419,-1.0974420591133374,-39.67080007698695,-67.7929831126219,-27.90343399728801,0.8713696200614099,0.8314921763307733,0.9127209074249888,-0.1476186189845875,-0.20265713673076471,-0.09562517070113688,-1.4357732664760563,-1.971090782315165,-0.9300728095094596,-53.49378787168616,-73.438553737524785,-34.65248917695453,0.8594540368515802,0.8162890747781176,0.904423417781218,-0.16352935366186525,-0.22505620974018103,-0.10567681059525844,-1.5905247988827784,-2.188949413170688,-1.0278374136189914,-59.25949325196641,-81.55549229398987,-38.29498560428433,-0.1547515324067219,-0.2178586308555226,-0.0977646041095317,-5.76570538028025,-8.116938556465074,-3.642496427329795,0.8314921763307733,0.793050580619976,0.9127209074249888,-0.20265713673076471,-0.26095361939996187,-0.09562517070113688,-1.7316177235567425,-2.2297359948373203,-0.8170757915336243,-142.28576200137573,-183.21577607537552,-67.13852025748761,0.8162890747781176,-0.22505620974018103,-1.923008130231025,0.7748737988771658,-0.2905327311996538,-2.4824767325467434,0.904423417781218,-0.10567681059525844,-0.9029627140089712,-158.0121717527547,-203.98329766201672,-74.19578586762293,-0.1913904066742824,-0.25274073770942307,-0.0858869224753468,-15.726409751378998,-20.767521586641173,-7.057265610135315,0.4492
13215010204,13215010204,Census Tract 102.04; Muscogee County; Georgia,4436,2963,791,Columbus city,Georgia,140784,0.697328889696081,0.1771770657524589,13215,4436,2963,791,0.01419799999999999,0.007021009193,0.003623783249,0.783611774690967,0.6910109131806377,0.8336499859088424,-0.27614213096066614,-0.4471551475173146,-0.19954419349003327,-17.392074266783627,-28.162872167823892,-12.56775784488474,-392.06659753795367,-634.8708784450832,-283.3128459171492,0.7647351430933351,0.6659373857667951,0.8186195684226603,-0.3076422720093969,-0.5016426789863251,-0.22156864870311951,-19.376026482361056,-31.59462374671543,-13.95490930713665,-436.7904977989418,-712.2322756247843,-392.06659753795367,-1.9839522155774283,-3.4317515788915394,-1.387151462251909,-44.72390026098801,-77.36139717970106,-31.27032151153988,0.8593164440922952,0.8161139366510077,0.9043273788313646,-0.16371565664184426,-0.22531910691733095,-0.10579423271721608,-1.7578591704101556,-2.419312034582905,-1.135941216454992,-59.32700541377508,-81.65076053266638,-38.33753683614553,0.8463859294132781,0.7996977493085294,0.8952786903016068,-0.18149412135573725,-0.25047244520153383,-0.11697062694870362,-1.948751342082528,-2.689390213275643,-1.2559451763384362,-65.76953567608936,-90.76578512573889,-42.38761985617402,-0.1908921716723724,-0.27007817869273776,-0.12000395988344414,-6.442530262314289,-9.115024593072484,-4.05008302002849,0.8161139366510077,0.7746649067295693,0.9043273788313646,-0.22531910691733095,-0.29088072960699346,-0.10579423271721608,-1.2513363091308782,-1.6154405348200631,-0.5875407838548987,-158.19675210251305,-204.22762766372483,-74.27822804739553,0.7996977493085294,-0.25047244520153383,-1.3910283482193475,0.7551361659830339,-0.32426447712010076,-1.8008411249854404,0.8952786903016068,-0.11697062694870362,-0.6496102110701969,-175.85693403531576,-227.66638748235655,-82.12518471178215,-0.1396920390884695,-0.18540059016537705,-0.06206942721529818,-17.66018193280272,-23.438759818631738,-7.846956664386621,0.616
13215010303,13215010303,Census Tract 103.03; Muscogee County; Georgia,3027,2172,1061,Columbus city,Georgia,180604,0.7006618660105056,0.2034393654935918,13215,3027,2172,1061,0.01419799999999999,0.007021009193,0.003623783249,0.7825463273586956,0.6895873149647056,0.8328040954137628,-0.27787961560725627,-0.45014268432588833,-0.20076258691207463,-11.942528386300053,-19.34593789364248,-8.628243161575302,-394.5334782391824,-639.1125832058962,-285.0427208977635,0.7635914612432068,0.6644284045117073,0.8177059114686943,-0.3096008150377892,-0.5050530549411212,-0.22293355835459772,-13.305821349761068,-21.705839890561577,-9.581092672416736,-439.57123719065305,-717.0743274054039,-394.5334782391824,-1.3632929634610154,-2.3599019969190955,-0.9528495108414335,-45.03775895147061,-77.96174419950762,-31.478345254094272,0.8585897711157716,0.8151891324104533,0.9038200793811848,-0.16470057487461115,-0.22670918961232317,-0.10641489696120296,-1.2963347083675536,-1.7843956611813814,-0.8375764597250924,-59.68391843312862,-82.15449637115016,-38.56245210520684,0.8455986504634334,0.7987009838922959,0.8947262600394627,-0.18259412955773568,-0.2520330138154043,-0.11766027740808029,-1.4371723223799304,-1.9837158656678864,-0.9260872435713732,-66.16815480570583,-91.33130136592476,-42.63753423440945,-0.14083761401237682,-0.1993202044865048,-0.08851078384628075,-6.484236372577202,-9.176804994774622,-4.075082129202613,0.8151891324104533,0.7735620575299522,0.9038200793811848,-0.22670918961232317,-0.2927211078489073,-0.10641489696120296,-1.6888226699744489,-2.1805646421330542,-0.7927155079967958,-159.1727304405701,-205.51975891923223,-74.71399698367539,0.7987009838922959,-0.2520330138154043,-1.8774671994606345,0.7539536983079976,-0.32634139502753656,-2.43101193655201,0.8947262600394627,-0.11766027740808029,-0.8764856165823787,-176.952610693745,-229.12459345447783,-82.60938893330619,-0.18864452948618535,-0.25044729441895575,-0.08377010858558287,-17.77988025317487,-23.60483453524559,-7.895391949630808,0.2304
13215010206,13215010206,Census Tract 102.06; Muscogee County; Georgia,2146,1432,515,Columbus city,Georgia,204551,0.7842864505342543,0.1525417615615595,13215,2146,1432,515,0.01419799999999999,0.007021009193,0.003623783249,0.7562831942781963,0.654813377457662,0.81185929995011,-0.3222560114593175,-0.5271526734571891,-0.23174052457297903,-9.818788765600887,-16.061766309521136,-7.060880723085838,-457.5390850699389,-748.4513657745171,-329.0251967887157,0.7354495639833376,0.6276670023122779,0.7951129867454281,-0.35971254722595236,-0.5932014847300805,-0.25768289119917337,-10.960048507873198,-18.074201463704227,-7.851316305121623,-510.7198745514072,-842.2274680197684,-457.5390850699389,-1.1412597422723092,-2.012435154183091,-0.7904355820357845,-53.180789481468274,-93.7761022452512,-36.83297213587066,0.8405572691398477,0.7923256365180243,0.8911846291279246,-0.18968693355458327,-0.2621073380821388,-0.1221019386056484,-0.9843343639528016,-1.3601424994526734,-0.6336184144186715,-68.73843323692749,-94.98201811820346,-44.2470959789575,0.8260836737836265,0.7740946733406429,0.8809767683060516,-0.2105311262475415,-0.29183165113958454,-0.1351037121249032,-1.0925002495625695,-1.514389617264378,-0.7010879666303497,-76.29191686889452,-105.75346489276384,-48.95865688759425,-0.1081658856097678,-0.15424711781170464,-0.06746955221167816,-7.553483631967025,-10.77144677456038,-4.711560908636743,0.7923256365180243,0.746399559507286,0.8911846291279246,-0.2621073380821388,-0.33976499217137934,-0.1221019386056484,-0.9477328855671396,-1.228528963749836,-0.44149859921819007,-184.02580302274552,-238.5493133494827,-85.72788334333788,0.7740946733406429,-0.29183165113958454,-1.0552106433115866,0.7248839966385148,-0.3795310761960166,-1.3723159551257291,0.8809767683060516,-0.1351037121249032,-0.488510668491246,-204.89527054593916,-266.46911750014164,-94.85644048373707,-0.10747775774444712,-0.14378699137589335,-0.04701206927305595,-20.869467523193617,-27.9198041506589,-9.128557140399217,0.2524
13215003200,13215003200,Census Tract 32; Muscogee County; Georgia,1034,908,292,Columbus city,Georgia,70117,0.6342774937126855,0.24489056157344904,13215,1034,908,292,0.01419799999999999,0.007021009193,0.003623783249,0.8040428387410713,0.71850231160032485,0.8498149234241164,-0.24371482689373652,-0.3917839704268919,-0.1767268053739872,-3.577912058053338,-5.751675471733125,-2.5944788669116656,-346.0263112237271,-556.254881212101,-250.916718269987,0.7866962989942552,0.6951379305879423,0.8360972378952641,-0.2711385591599211,-0.4385634217287032,-0.19603313427674257,-3.9805125218929462,-6.438432059402068,-2.877909907436871,-384.96252629525594,-622.6723461704128,-346.0263112237271,-0.4026004638396081,-0.6867565876689428,-0.2834310405252052,-38.936215071528835,-66.41746495831168,-27.411125776132028,0.8731796945621034,0.8338078704394507,0.913978011492752,-0.1452396410815491,-0.19931705546621825,-0.09411822541195798,-0.4778958164254176,-0.6558318806093448,-0.3096861561955012,-52.63169784420899,-72.22818068384855,-34.10640486734595,0.8614180955086718,0.8187901117580642,0.9057937554982668,-0.1608764724282869,-0.22131421183488803,-0.10400407811368872,-0.5293471710770035,-0.7282112181205176,-0.34221451837523403,-58.298146594383645,-80.19947336129047,-37.68882360960728,-0.05145135465158584,-0.07237933751117276,-0.03252836217973282,-5.666448750174652,-7.971292677441933,-3.5824187422613236,0.8338078704394507,0.7958267456233428,0.913978011492752,-0.19931705546621825,-0.25655490406613013,-0.09411822541195798,-0.4086268085950026,-0.5259721072675995,-0.19295503834709132,-139.9406878750009,-180.12743399575325,-66.08049258462032,0.8187901117580642,-0.22131421183488803,-0.45372394182361503,0.7778581091756346,-0.28558150670922355,-0.5854805521152249,0.9057937554982668,-0.10400407811368872,-0.21322236785534401,-155.3849115834298,-200.50703839562496,-73.02135885456985,-0.04509713322861242,-0.05950844484762541,-0.02026732950825266,-15.44422370842891,-20.379604399871713,-6.940866269949542,0.9807
13215010602,13215010602,Census Tract 106.02; Muscogee County; Georgia,3560,1975,784,Columbus city,Georgia,108045,0.7157123499721588,0.19040928757688463,13215,3560,1975,784,0.01419799999999999,0.007021009193,0.003623783249,0.7777531743450549,0.683195309315466,0.8289950439708278,-0.28575495798149453,-0.4637102836697743,-0.20627982914116172,-14.443450060579682,-23.438180642854704,-10.426389210360522,-405.7148893421259,-658.3758607543456,-292.8761014146214,0.7584482813555137,0.6576568734985742,0.8135928581220728,-0.3184814635122916,-0.5205497582352389,-0.22911600073308208,-16.097607355453157,-26.31112506402916,-11.580640763133546,-452.1799818947515,-739.0765467423921,-405.7148893421259,-1.6541572948734746,-2.8729444211744557,-1.1542515527730242,-46.46509255262569,-80.70068598804652,-32.42279642620854,0.8553160306728335,0.8110260930430261,0.9015328449657132,-0.1691584912928044,-0.2330059520624432,-0.10922192750285412,-1.2106625716666295,-1.6676170553523275,-0.7816982678339619,-61.29937071729771,-84.43630660011786,-39.57965913083351,0.8420527005221107,0.7942154105410454,0.8922359319704137,-0.1875741261561834,-0.2591042514760164,-0.12077978947967284,-1.3424627532134157,-1.8544018513308569,-0.8644175614200151,-67.97279763105902,-93.89376462434718,-43.76797779341849,-0.13180018154678597,-0.18678479597852915,-0.08271929358605323,-6.673426913761315,-9.457458024229323,-4.188318662584973,0.8110260930430261,0.7686015197606536,0.9015328449657132,-0.2330059520624432,-0.30106430222959363,-0.10922192750285412,-1.2825745542600384,-1.6571997831722758,-0.601208955146579,-163.59369314541306,-211.37752336381067,-76.68481570747181,0.7942154105410454,-0.2591042514760164,-1.42623189194186,0.7486371296948997,-0.3357606246534165,-1.8481846909538224,0.8922359319704137,-0.12077978947967284,-0.6648288736160639,-181.91733315584943,-235.73784323390592,-84.79960122653877,-0.14365733768182154,-0.19098490778154664,-0.06361991846948489,-18.32364001043642,-24.360319870095235,-8.11478551906695,0.705
13215000800,13215000800,Census Tract 8; Muscogee County; Georgia,1488,1160,435,Columbus city,Georgia,66538,0.6302550204717221,0.21097498710658988,13215,1488,1160,435,0.01419799999999999,0.007021009193,0.003623783249,0.8053642049248981,0.7202928348042187,0.8508567662252992,-0.2416742560507169,-0.38832423658887005,-0.1752859467009387,-5.105761138063221,-8.2039801365001,-3.703200288434772,-343.12910874080785,-551.3427511088777,-248.8709871259927,0.7881185605111614,0.6970436963721923,0.8372248349338313,-0.26884462580276713,-0.4346302896139263,-0.19442228452173593,-5.679779323755759,-9.182270707684523,-4.107486502311735,-381.7055997147688,-617.0880851938525,-343.12910874080785,-0.5740181856925384,-0.9782905711844254,-0.40428621387696273,-38.576490973960915,-65.74533408497483,-27.16977243796792,0.8740716761161456,0.8349496159203681,0.9145971734997296,-0.14407093528462675,-0.1976770585105261,-0.09337753163337956,-0.6056149366645444,-0.8309530234767634,-0.39252072456056986,-52.20818419521934,-71.63388133420374,-33.83799349660085,0.8623861083002848,0.8200234957475647,0.9064687578195448,-0.15957340960761127,-0.21947725301256377,-0.10318198103753608,-0.6707809605173777,-0.9225920718840176,-0.4337345959996523,-57.825944872187726,-79.53379930034633,-37.39091344824589,-0.06516602385283332,-0.09163904840725412,-0.0412138714390825,-5.617760676968389,-7.8999179661425964,-3.552919951645044,0.8349496159203681,0.7971962532464453,0.9145971734997296,-0.1976770585105261,-0.2543962618083956,-0.09337753163337956,-0.6037332135957071,-0.7769615443773873,-0.2851879609876587,-138.78924450476023,-178.611849282158,-65.56045080176062,0.8200234957475647,-0.21947725301256377,-0.6703140378091846,0.779330680500833,-0.2831523575555308,-0.864786657856397,0.9064687578195448,-0.10318198103753608,-0.3151321122761742,-154.09518110555967,-198.8015305417005,-72.44416374164925,-0.06658082421347755,-0.08782511347900968,-0.02994415128851552,-15.305936600799438,-20.189681259542457,-6.883712939888625,0.6752
13215002000,13215002000,Census Tract 20; Muscogee County; Georgia,1450,1112,379,Columbus city,Georgia,74198,0.6517811240847516,0.2207744258310111,13215,1450,1112,379,0.01419799999999999,0.007021009193,0.003623783249,0.7983181632022304,0.7107626019106342,0.8452962194894299,-0.25263340619581953,-0.4069395284893341,-0.18301723933417471,-5.200989196693956,-8.37770476696277,-3.7677942078965887,-358.68891011682456,-577.7727425491565,-259.84787640666127,0.780537209480173,0.6869055500218578,0.831208200664678,-0.2811689024614037,-0.4558042222372192,-0.20306801496947108,-5.788452311863164,-9.383687103619856,-4.180581530977998,-399.20360771470104,-647.1508347324038,-358.68891011682456,-0.587463115169208,-1.0059823366570857,-0.412787323081409,-40.51469759787642,-69.37809218324729,-28.468091246993723,0.869308859103254,0.8288577615920762,0.9112886296622942,-0.15033913381667602,-0.2064796233302955,-0.09734717130244512,-0.6058136354909724,-0.8320399891159797,-0.39227473415810754,-54.47964347940399,-74.82374002841543,-35.27650487033341,0.8572184623353898,0.8134446544111642,0.9028623576174204,-0.16656376867527897,-0.22933993674576345,-0.10758853945236777,-0.671193186235155,-0.9241589818698912,-0.4335438323216749,-60.35909948157869,-83.10782211060172,-38.98775470518659,-0.06537955074418256,-0.09211899275391144,-0.04126909816356738,-5.879456002174691,-8.28408208218628,-3.711249834853182,0.8288577615920762,0.789894728897975,0.9112886296622942,-0.2064796233302955,-0.2659914839476829,-0.09734717130244512,-0.5494345314227199,-0.7077933598873731,-0.2590371707736379,-144.9695333569182,-186.75286540563937,-68.3475384627013,0.8134446544111642,-0.22933993674576345,-0.6102649677971225,0.771482603274771,-0.2962055084006091,-0.7881917454517099,0.9028623576174204,-0.10758853945236777,-0.28628906720692004,-161.01978042140436,-207.96615974979153,-75.53801245565172,-0.06083043637440255,-0.08039838556433676,-0.02725189643328213,-16.05024706448616,-21.213294344152175,-7.19047399295043,0.975
13215001800,13215001800,Census Tract 18; Muscogee County; Georgia,1221,801,254,Columbus city,Georgia,53392,0.5463191747019591,0.234212668360747,13215,1221,801,254,0.01419799999999999,0.007021009193,0.003623783249,0.8334376463234024,0.7586901714238427,0.8728903927184778,-0.19984980809466055,-0.31806109748764555,-0.14561920756815713,-3.464547909475476,-5.5138302152602305,-2.5244193425533403,-283.746757532799,-451.5831462129591,-206.75015090526944,0.8183902090492036,0.7380247116365568,0.8611041552195369,-0.2219110015524118,-0.3549681795647704,-0.16129970333850252,-3.8469954204502352,-6.153642458635404,-2.7962526225480717,-315.06924000411425,-503.9838213460609,-283.746757532799,-0.3824475109747594,-0.6398122433751734,-0.2718332799947314,-31.322482471315265,-52.400675133101835,-22.26316789473639,0.8928937052886945,0.8591340426308596,0.9276131810994206,-0.11995413796390848,-0.1639627233694262,-0.07803556522858537,-0.34818492443727905,-0.4759264616956445,-0.22650996325537723,-43.46877958018465,-59.416537040654745,-28.278397410159453,0.8828353963595396,0.8461883090462626,0.9206691741007652,-0.13271398510254626,-0.18177004965608456,-0.08616648426044982,-0.3852222996142368,-0.5276149041520075,-0.2501111784928804,-48.09267161226426,-65.86952611136174,-31.22486622882402,-0.03703737517695771,-0.051688442456363,-0.02360121523750316,-4.623892032079614,-6.452989070706991,-2.946468818664565,0.8591340426308596,0.8263172437815618,0.9276131810994206,-0.1639627233694262,-0.21018895288157813,-0.07803556522858537,-0.2924006821738585,-0.37483759689394536,-0.13916365889611565,-115.11837880860573,-147.57385704486038,-54.7888420850849,0.8461883090462626,-0.18177004965608456,-0.3241571341704487,0.8107024722195109,-0.2334981503907808,-0.4164057357523108,0.9206691741007652,-0.08616648426044982,-0.15366382224276143,-127.6209189647436,-163.93926604421682,-60.4975678121108,-0.03175645199659022,-0.04156813885836541,-0.01450016334664577,-12.50254015613788,-16.36540899935646,-5.708725727025897,0.7051
13215002500,13215002500,Census Tract 25; Muscogee County; Georgia,470,311,181,Columbus city,Georgia,105175,0.5972982953525309,0.25590677193503086,13215,470,311,181,0.01419799999999999,0.007021009193,0.003623783249,0.8162724598467789,0.735131908935311,0.859440984080423,-0.22508114531722448,-0.3603000874336914,-0.16354702477910227,-1.501979987570558,-2.4043041014502684,-1.0913591091724362,-319.5702101213953,-511.554064138355,-232.20406578136945,0.799868618907912,0.7128559870073324,0.8465208629688342,-0.2502053166747986,-0.4028078857808821,-0.18130579380276457,-1.6696350904899315,-2.687961190288973,-1.209864440393476,-355.2415086148791,-571.9066362316964,-319.5702101213953,-0.16765510291937358,-0.28365708883870466,-0.1185053312210398,-35.67129849348374,-60.352572093341415,-25.213900259795697,0.8814142143714412,0.8443631798481486,0.9196858825471148,-0.13454035990686325,-0.1843244990619337,-0.08732777024961103,-0.15162652689147085,-0.2077330819771759,-0.09841809932195196,-48.754510254492224,-66.79520320809516,-31.645691100306102,0.8703582594436985,0.8301990181990679,0.9120181304922814,-0.14895215751633564,-0.20453045363662015,-0.09646943033931624,-0.16786857365944313,-0.2305051238894129,-0.10872071907400203,-53.97703333101066,-74.11740317987552,-34.958430570418656,-0.0162420467679723,-0.02277204191223697,-0.01030261975205006,-5.222523076518427,-7.322199971780377,-3.312739470112559,0.8443631798481486,0.8085059568737765,0.9196858825471148,-0.1843244990619337,-0.23684926684605676,-0.08732777024961103,-0.2342400644360211,-0.3009886792585469,-0.11097636306853469,-129.41440024089565,-166.29208798814744,-61.312907772671096,0.8301990181990679,-0.20453045363662015,-0.25991784533684187,0.7915011431325465,-0.2634220540001644,-0.33475744796211143,0.9120181304922814,-0.09646943033931624,-0.12259360906330204,-143.60101952311706,-184.9488662774096,-67.73127572558124,-0.02567778090082076,-0.03376876870356454,-0.01161724599476737,-14.186619282221416,-18.65677828926218,-6.418367952910153,0.9369
