geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
21067001000,21067001000,Census Tract 10; Fayette County; Kentucky,1227,416,203,Lexington-Fayette urban county,Kentucky,121110,0.5679688348684556,0.2555896782135602,21067,1227,416,203,0.0112,0.007511568745,0.003668935501,0.8261043248820559,0.7485946682368512,0.8671532157529884,-0.21050086518161185,-0.3358363910810083,-0.1531987448511676,-2.8927870896717827,-4.615198020791649,-2.1053184312426856,-235.76096900340525,-376.1367580107293,-171.5825942333077,0.8104726902308198,0.72722935742693,0.8548805236643282,-0.23384786687285353,-0.37508200100472056,-0.16975410284660253,-3.2136309257135025,-5.154526890607272,-2.3328287829591505,-261.909610897596,-420.0918411252871,-235.76096900340525,-0.32084383604171984,-0.5393288698156233,-0.22751035171646497,-26.148641894190696,-43.95508311455773,-18.54200095488712,0.8880004771607153,0.8528298901391399,0.92423832629774,-0.1261255210102938,-0.17256678214790194,-0.08197201040746899,-0.192502503072584,-0.26338473961936054,-0.12511200793407867,-46.274640161678846,-63.31363933157706,-30.07500190723045,0.8775149396791501,0.8393607452297445,0.9169852949687832,-0.13958173790822836,-0.19138285377675887,-0.09053002865661312,-0.21304041969715504,-0.2921032801457649,-0.1381739157946348,-51.21163935027766,-70.21713465042427,-33.214883604479525,-0.02053791662457108,-0.02871854052640438,-0.01306190786055613,-4.936999188598817,-6.903495318847207,-3.1398816972490717,0.8528298901391399,0.8187057602628911,0.92423832629774,-0.17256678214790194,-0.2214400441971903,-0.08197201040746899,-0.26313819118310305,-0.33766250932125574,-0.1249948934423364,-129.62472472074043,-166.33621148830332,-61.57383913415587,0.8393607452297445,-0.19138285377675887,-0.2918298489399566,0.802491850286996,-0.24611857384267388,-0.3752935271286425,0.9169852949687832,-0.09053002865661312,-0.13804457434941678,-143.7585462758407,-184.87365868406033,-68.00225337409694,-0.02869165775685356,-0.03763101780738676,-0.01304968090708036,-14.133821555100276,-18.53744719575702,-6.428414239941066,0.7044
21067002500,21067002500,Census Tract 25; Fayette County; Kentucky,2669,1015,369,Lexington-Fayette urban county,Kentucky,75410,0.612357335198686,0.2247981025487027,21067,2669,1015,369,0.0112,0.007511568745,0.003668935501,0.8112698983121822,0.7283138801645896,0.8555078722262496,-0.23263540540634375,-0.3730343842602763,-0.1688963158196839,-6.954123646730753,-11.151042241815588,-5.048783789534647,-260.551654055105,-417.7985103715095,-189.163873718046,0.794478041417115,0.7055867967195659,0.842260456198631,-0.25868802895583415,-0.4172600800485897,-0.1872811938878075,-7.732909511970959,-12.473072120876484,-5.598359272649453,-289.7305924305343,-467.3312896544205,-260.551654055105,-0.7787858652402067,-1.3220298790608958,-0.5495754831148059,-29.178938375429247,-49.53277928291104,-20.59106343629846,0.878051539106684,0.8400487083045074,0.9173571762574864,-0.1388853107841306,-0.1904071634349948,-0.0900879459837758,-0.5172046660128646,-0.7090704755949319,-0.33548476618052603,-50.956124730331496,-69.85916015713615,-33.05268632320453,0.8667064116101499,0.8255339061258948,0.9094782322069428,-0.15379324140711026,-0.21133728436769852,-0.09953153862011264,-0.5727213454605962,-0.7870136082811052,-0.370652417445171,-56.425748321241,-77.53828653015815,-36.51747955124838,-0.05551667944773153,-0.07794313268617337,-0.03516765126464499,-5.469623590909511,-7.679126373022006,-3.464793228043842,0.8400487083045074,0.8033184002679493,0.9173571762574864,-0.1904071634349948,-0.24483641812069404,-0.0900879459837758,-0.5277646476448107,-0.6786299612314749,-0.24970296396124905,-143.02564976824138,-183.9105585993157,-67.67017993529785,0.8255339061258948,-0.21133728436769852,-0.5857781052266355,0.7859166438658259,-0.27239957036807966,-0.755028648504541,0.9094782322069428,-0.09953153862011264,-0.27587842002238083,-158.74745399095815,-204.61480989282956,-74.76379946405984,-0.05801345758182486,-0.07639868727306609,-0.02617545606113178,-15.721804222716765,-20.704251293513845,-7.093619528762001,0.2947
21067003102,21067003102,Census Tract 31.02; Fayette County; Kentucky,1725,1261,619,Lexington-Fayette urban county,Kentucky,77407,0.6718701426489542,0.20635946068224184,21067,1725,1261,619,0.0112,0.007511568745,0.003668935501,0.7917981361168512,0.7019823908661155,0.8401396816482576,-0.26294816113639213,-0.424537157928116,-0.19027826186963911,-5.080158473155096,-8.202057891171203,-3.676176019321428,-294.5019404727592,-475.48161687949,-213.11165329399583,0.7735277930074316,0.6775772873549175,0.8256322482628368,-0.29277837078362434,-0.47584639960960834,-0.21119300039943928,-5.656478123539622,-9.193352440457634,-4.080248767717167,-327.9117752776593,-532.9479675627614,-294.5019404727592,-0.5763196503845256,-0.9912945492864312,-0.4040727483957389,-33.409834804900036,-57.46635068327138,-23.42450715337617,0.8648874226515479,0.8232127014288891,0.9082117621942664,-0.1562198429643336,-0.2147528801052909,-0.10106479746966768,-0.7227554255715483,-0.9935601413237364,-0.4675790816290147,-57.316052781248864,-78.79144657602986,-37.08002233378387,0.8524237466941271,0.8073526383304338,0.8995096655082305,-0.17312546005223767,-0.2386161294622776,-0.11171679232039336,-0.800969730752404,-1.103964124692652,-0.5168608305120926,-63.51861465126122,-87.54671884953625,-40.98817054021353,-0.0782143051808557,-0.11040398336891576,-0.04928174888307796,-6.202561870012347,-8.755272273506405,-3.908148206429656,0.8232127014288891,0.7831409943263811,0.9082117621942664,-0.2147528801052909,-0.27690927590905934,-0.10106479746966768,-0.9985281026784362,-1.2875342754517052,-0.4699170526397118,-161.3131022097635,-208.00230621190715,-75.91551738929107,0.8073526383304338,-0.2386161294622776,-1.1094841238153434,0.7642297747045009,-0.30850698716451164,-1.4344529228450191,0.8995096655082305,-0.11171679232039336,-0.5194452182355385,-179.2381460121718,-231.73714423990617,-83.91683654855225,-0.11095602113690728,-0.14691864739331395,-0.04952816559582673,-17.925043802408286,-23.73483802799902,-8.001319159261184,0.4278
21067000500,21067000500,Census Tract 5; Fayette County; Kentucky,2087,1301,546,Lexington-Fayette urban county,Kentucky,65000,0.6225487633740386,0.21475532608808856,21067,2087,1301,546,0.0112,0.007511568745,0.003668935501,0.8079017474461756,0.7237355925486818,0.8528562981929003,-0.23777427535100415,-0.3817200788459707,-0.17253047449949005,-5.557831021764512,-8.92247781097726,-4.0327963231408805,-266.30718839312465,-427.5264883074873,-193.2341314394289,0.790850515845847,0.7007093690858529,0.8393893353508047,-0.2644614626450096,-0.4271252021427976,-0.19134227453827668,-6.181628012449512,-9.983795324966607,-4.4725108619674945,-296.19683816241076,-478.3802263999334,-266.30718839312465,-0.6237969906850003,-1.0613175139893496,-0.43971453882661393,-29.88964976928607,-50.85373809244608,-21.069216043441013,0.8757830807970193,0.8371413412246381,0.915784536279148,-0.14183525798412924,-0.19454141225079036,-0.0919599102022635,-0.6770201217182166,-0.9286016218619028,-0.4389508679520235,-52.03844133114655,-71.3759893821601,-33.73949792098566,0.8642436672076456,0.8223916052798814,0.9077633330118172,-0.1570810848183366,-0.21596571946970908,-0.1016087163183338,-0.749792799581889,-1.0308659480050106,-0.4850073702912961,-57.63203686255873,-79.23642951614225,-37.27958265113728,-0.07277267786367247,-0.10226432614310776,-0.04605650233927261,-5.593595531412181,-7.860440133982149,-3.540084730151623,0.8371413412246381,0.7998265428480673,0.915784536279148,-0.19454141225079036,-0.25027108557705996,-0.0919599102022635,-0.7978759107616734,-1.0264409414520337,-0.37715670024850767,-146.13111918711968,-187.9928464197864,-69.07631872683291,0.8223916052798814,-0.21596571946970908,-0.8857437762046171,0.7821596244812413,-0.278511404450516,-1.142263428194916,0.9077633330118172,-0.1016087163183338,-0.41672950831313665,-162.22413483601045,-209.20575607965495,-76.32408577163676,-0.08786786544294367,-0.11582248674288231,-0.03957280806462898,-16.09301564889078,-21.21290965986856,-7.247767044803843,0.1067
21067001800,21067001800,Census Tract 18; Fayette County; Kentucky,2239,346,112,Lexington-Fayette urban county,Kentucky,45855,0.5334082643326692,0.22957065444088673,21067,2239,346,112,0.0112,0.007511568745,0.003668935501,0.8378418680510108,0.7647753768508841,0.8763298459116593,-0.1935426458529719,-0.30757347878758906,-0.14112283709758253,-4.853430221525805,-7.712958612860613,-3.5389091613286574,-216.76776335532853,-344.4822962420998,-158.05757754929243,0.8231486394825632,0.7445387166626878,0.8648372026967793,-0.2148474188435842,-0.34311349782102546,-0.15628698312439518,-5.387685752856792,-8.60418856215829,-3.919177418413833,-240.62910910481432,-384.2871175595485,-216.76776335532853,-0.5342555313309871,-0.891229949297677,-0.3802682570851754,-23.861345749485803,-39.80482131744873,-16.983843550030166,0.8958246376469607,0.862915723220492,0.9296316598707864,-0.11628990538446674,-0.1588617208965611,-0.0756948619187457,-0.14762441614645838,-0.20166727901138193,-0.09609096988339476,-42.66601622730011,-58.28534075473466,-27.77195661369791,0.8860236264756314,0.8502863761778416,0.9228731192418778,-0.12863807478558628,-0.17607435331981022,-0.0835725725996662,-0.16329982057895115,-0.22351788421589147,-0.10609134296820208,-47.19647993611304,-64.60054457106689,-30.66223785208152,-0.01567540443249276,-0.02185060520450954,-0.01000037308480729,-4.530463708812939,-6.315203816332238,-2.8902812383836105,0.862915723220492,0.8308900410649109,0.9296316598707864,-0.1588617208965611,-0.20352868680234648,-0.0756948619187457,-0.13364968259591442,-0.17122780891948478,-0.06368176180194539,-119.33007374635216,-152.88197224953998,-56.8587158945941,0.8502863761778416,-0.17607435331981022,-0.14813059622963545,0.8156388599985533,-0.22603280574661885,-0.19016042740698735,0.9228731192418778,-0.0835725725996662,-0.07030924591923635,-132.25946091931735,-169.78609589909584,-62.7761124278896,-0.014480913633721,-0.01893261848750257,-0.00662748411729095,-12.929387172965182,-16.904123649555874,-5.9173965332954985,0.5144
21067003804,21067003804,Census Tract 38.04; Fayette County; Kentucky,3973,2513,764,Lexington-Fayette urban county,Kentucky,111604,0.6668696198854788,0.22412111213609295,21067,3973,2513,764,0.0112,0.007511568745,0.003668935501,0.7934160948656075,0.7041577537754516,0.8414202898795239,-0.2603727180117069,-0.4201363183723306,-0.1884667056735485,-11.585961056997728,-18.69505784040462,-8.386316082379293,-291.6174441731117,-470.55267657701035,-211.0827103543743,0.7752666582224609,0.6798873526208674,0.8270166980436009,-0.28987876544673025,-0.47083189023173416,-0.20916542841953512,-12.898909353342424,-20.950889118775613,-9.307359567641107,-324.66421730033784,-527.3317170595423,-291.6174441731117,-1.312948296344695,-2.2558312783709944,-0.921043485261814,-33.04677312722615,-56.779040482531954,-23.182569475505005,0.8659858921197016,0.8246142555912657,0.9089766780772416,-0.15475322300259164,-0.21268822751915573,-0.10013823689657245,-1.4268301191399346,-1.9609928835261563,-0.9232780404141028,-56.77795937683783,-78.03393885897957,-36.74007323573827,0.8536147259618577,0.8088647738909959,0.9003430460571913,-0.1714886934186785,-0.2363005934719589,-0.11068775882618229,-1.5811317406786871,-2.1786997220134534,-1.0205450009312511,-62.91809553038947,-86.69716362966389,-40.61062478835062,-0.1543016215387527,-0.21770683848729688,-0.09726696051714834,-6.14013615355164,-8.663224770684316,-3.8705515526123495,0.8246142555912657,0.7848167046168273,0.9089766780772416,-0.21268822751915573,-0.2741828685823298,-0.10013823689657245,-1.2205833930884271,-1.573491208067908,-0.5746771713450983,-159.7622242262339,-205.95434660574713,-75.21952504516995,0.8088647738909959,-0.2363005934719589,-1.356090948394573,0.7660287369500428,-0.30543405457805406,-1.7528367180927311,0.9003430460571913,-0.11068775882618229,-0.6352191741747764,-177.4988152348917,-229.4288898027135,-83.14387096528486,-0.13550755530614556,-0.17934551002482313,-0.06054200282967803,-17.736591008657793,-23.474543196966376,-7.924345920114926,0.8398
21067001900,21067001900,Census Tract 19; Fayette County; Kentucky,3497,838,238,Lexington-Fayette urban county,Kentucky,84079,0.6369401604619211,0.22717019084762355,21067,3497,838,238,0.0112,0.007511568745,0.003668935501,0.8031693562265876,0.7173195279258041,0.8491259798286995,-0.24506742226590028,-0.3940788742941276,-0.17768154991764284,-9.598408687435157,-15.43465082215352,-6.959146656694367,-274.47551293780833,-441.3683392094229,-199.00333590776,0.7857562484153634,0.6938792803618351,0.8353516631669187,-0.27265930371753644,-0.441172878772995,-0.19710062730812036,-10.67908335312252,-17.27915343917463,-7.719722009400766,-305.37842016364084,-494.1136242257545,-274.47551293780833,-1.0806746656873631,-1.844502617021112,-0.7605753527063994,-30.90290722583252,-52.745285016331486,-21.74936667733484,0.872589750215062,0.8330529536170945,0.9135683892317374,-0.14601391977562872,-0.20040388267999737,-0.09460880191021818,-0.44892971797236497,-0.6161553547110145,-0.290881190125729,-53.57156539049702,-73.52689197028812,-34.71135920354761,0.8607779194657845,0.8179746967109063,0.9053472157975768,-0.16173983717033472,-0.22253170424589092,-0.10454860030583696,-0.49728011957592794,-0.6841888456972449,-0.3214417757007496,-59.34130305202004,-81.64544698057816,-38.358207124194465,-0.04835040160356296,-0.06803349098623046,-0.03056058557502061,-5.769737661523027,-8.11855501029003,-3.646847920646852,0.8330529536170945,0.7949214976278717,0.9135683892317374,-0.20040388267999737,-0.2579858551870894,-0.09460880191021818,-0.3582727148807401,-0.4612150797811539,-0.1691372036245045,-150.53475415157146,-193.78784864754363,-71.06605194306911,0.8179746967109063,-0.22253170424589092,-0.39783180226363424,0.776884874889034,-0.28719200530559247,-0.5134284728264322,0.9053472157975768,-0.10454860030583696,-0.1869071116170157,-167.15621943850178,-215.72624908673623,-78.53239983908223,-0.03955908738289415,-0.052213393045278327,-0.01776990799251121,-16.621465286930317,-21.938400439192577,-7.466347896013114,0.9309
21067004107,21067004107,Census Tract 41.07; Fayette County; Kentucky,3976,2993,1221,Lexington-Fayette urban county,Kentucky,102852,0.7349082356167359,0.16252672445041175,21067,3976,2993,1221,0.0112,0.007511568745,0.003668935501,0.7716824057233749,0.6751286362612898,0.8241621233198168,-0.295869897490536,-0.48119920603246,-0.2133535037643913,-13.175441579130556,-21.428378083672683,-9.500887546832862,-331.3742851894003,-538.9431107563552,-238.95592421611823,0.7519387365780787,0.6491202869721429,0.8083769406754479,-0.3298955770662886,-0.5405465212997036,-0.23704666682406783,-14.69064592145431,-24.07118524930136,-10.55597252967593,-369.4830463142432,-605.4121038556681,-331.3742851894003,-1.515204342323754,-2.6428071656286782,-1.0550849828430682,-38.10876112484291,-66.46899309931283,-26.536342626837733,0.8511587005294631,0.8057472502430161,0.8986240275663969,-0.17486903368073453,-0.2410839747804248,-0.11281244360685946,-1.9202585346505572,-2.647373010505709,-1.2388074268561753,-64.15832056968117,-88.45215537940892,-41.39015793037672,0.8375516473092858,0.7885308976016887,0.8890697405831859,-0.19395622134180615,-0.2681811239629203,-0.12477115613455626,-2.1298573082994543,-2.944930164492081,-1.370127531458962,-71.16128661207667,-98.393924640564,-45.77773242428874,-0.20959877364889712,-0.29755715398637195,-0.13132010460278676,-7.002966042395493,-9.941769261155091,-4.38757449391202,0.8057472502430161,0.7623208171725062,0.8986240275663969,-0.2410839747804248,-0.31178367096029225,-0.11281244360685946,-2.21113191570471,-2.859563047621755,-1.0346734774675643,-181.09188498810073,-234.19844779866955,-84.73984254443606,0.7885308976016887,-0.2681811239629203,-2.459656818434547,0.741910568143838,-0.3478713512625484,-3.1905457342675283,0.8890697405831859,-0.12477115613455626,-1.1443543094880722,-201.44609487588428,-261.3059569424675,-93.72271166978476,-0.2485249027298373,-0.33098268664577324,-0.10968083202050782,-20.35420988778356,-27.10750914379797,-8.982869125348715,0.0738
21067002200,21067002200,Census Tract 22; Fayette County; Kentucky,1145,749,259,Lexington-Fayette urban county,Kentucky,53609,0.5524759238786691,0.2475695259165699,21067,1145,749,259,0.0112,0.007511568745,0.003668935501,0.8313455910671165,0.7558054292632072,0.8712549978831959,-0.2028691927221247,-0.3230918451787845,-0.14776959951977706,-2.601594527468527,-4.143329822572732,-1.894997344241621,-227.21349584877964,-361.8628666002386,-165.50195146215032,0.8161307805840573,0.7349385159112188,0.8593296774202762,-0.22529381784174124,-0.3606580392104539,-0.16369773589342188,-2.88916792000249,-4.625078694834861,-2.099259765097242,-252.32907598275025,-403.9370039157083,-227.21349584877964,-0.28757339253396275,-0.4817488722621288,-0.20426242085562096,-25.115580133970543,-42.07413731546976,-17.83951273848218,0.8914994276142242,0.8573365354079114,0.9266521849684736,-0.12170571177610104,-0.16640310858117208,-0.07915355536988453,-0.33445127455074836,-0.4572811821401147,-0.21751655770587697,-44.65304066098109,-61.052227255022,-29.040928932693852,0.8813190863239609,0.844241048973647,0.9196200460194138,-0.13466282021766354,-0.1844958276024493,-0.08740561314263619,-0.37005783211926335,-0.5070005654660745,-0.24019348222722187,-49.40692017613663,-67.69032916770021,-32.06855570456901,-0.03560655756851499,-0.04971938332595976,-0.0226769245213449,-4.75387951515554,-6.638101912678207,-3.0276267718751537,0.8573365354079114,0.8241455114838098,0.9266521849684736,-0.16640310858117208,-0.21337796064626735,-0.07915355536988453,-0.32373663287769594,-0.41512603399614656,-0.15399294949616135,-124.99483894891736,-160.2803220062342,-59.45673725720515,0.844241048973647,-0.1844958276024493,-0.3589359508801798,0.8083590176571696,-0.2370740947484632,-0.4612267753336867,0.9196200460194138,-0.08740561314263619,-0.1700472974013249,-138.58530922014666,-178.07983603617248,-65.65532718197873,-0.03519931800248388,-0.04610074133754016,-0.01605434790516355,-13.590470271229298,-17.799514029938287,-6.198589924773572,0.5749
21067002303,21067002303,Census Tract 23.03; Fayette County; Kentucky,2790,1722,833,Lexington-Fayette urban county,Kentucky,115429,0.672867510750838,0.1967315569118812,21067,2790,1722,833,0.0112,0.007511568745,0.003668935501,0.7914758246460236,0.7015493132497387,0.8398844940256383,-0.2634624695545639,-0.42541654750935287,-0.1906399119323116,-8.232675248641014,-13.29341627657226,-5.957115968060872,-295.0779659011116,-476.4665332104752,-213.51670136418895,0.7731814383322303,0.6771174781665869,0.8253563932727673,-0.29335748431444814,-0.47684860049348254,-0.2115978117461746,-9.166834669857876,-14.900565068220343,-6.612008421444464,-328.56038243218194,-534.0704325527005,-295.0779659011116,-0.9341594212168616,-1.6071487916480844,-0.6548924533835914,-33.48241653107031,-57.603899342225255,-23.472847791526572,0.8646684966034144,0.8229334426480953,0.9080592746180834,-0.156512587110776,-0.2151651010586312,-0.1012496958643867,-0.9888319591654277,-1.3593930836581556,-0.6396861554376028,-57.423458720408114,-78.94268778502645,-37.147860362230126,0.8521864014226395,0.8070513770192653,0.8993435377469569,-0.17345219112931232,-0.23907848803054424,-0.11192214991082115,-1.0958548008317035,-1.5104756369928691,-0.7071137268467279,-63.63849017605713,-87.71635522606674,-41.063514915605566,-0.10702284166627608,-0.15108255333471354,-0.06742757140912514,-6.215031455649017,-8.773667441040276,-3.915654553375444,0.8229334426480953,0.7828071974956463,0.9080592746180834,-0.2151651010586312,-0.2774537628156665,-0.1012496958643867,-1.346317464289608,-1.7360661397863535,-0.6335331943961039,-161.62274481267806,-208.4113012948804,-76.05440508956829,0.8070513770192653,-0.23907848803054424,-1.4959467970773133,0.7638714723738149,-0.30912075678437057,-1.934210851971823,0.8993435377469569,-0.11192214991082115,-0.7003121989783928,-179.5854498292093,-232.19818150922245,-84.07109231433287,-0.14962933278770518,-0.1981447121854696,-0.06677900458228891,-17.962705016531235,-23.786880214342087,-8.016687224764576,0.684
21067002700,21067002700,Census Tract 27; Fayette County; Kentucky,2426,1415,600,Lexington-Fayette urban county,Kentucky,91101,0.6438909072818518,0.2010275380790436,21067,2426,1415,600,0.0112,0.007511568745,0.003668935501,0.800893646714346,0.7142411027893294,0.8473301608905687,-0.248605235042736,-0.4000874439943248,-0.18017751067537935,-6.7549025623931875,-10.870855958258597,-4.895639178062867,-278.4378632478643,-448.09793727364377,-201.79881195642483,0.7833075875548402,0.6906043714379194,0.8334085124414076,-0.2766377038700508,-0.4480070520229731,-0.19989175184997235,-7.516578379393924,-12.172889211926606,-5.431298767865968,-309.8342283344569,-501.76789826572985,-278.4378632478643,-0.7616758170007367,-1.302033253668009,-0.5356595898031014,-31.39636508659261,-53.669960992086104,-22.07995011554416,0.8710516101778583,0.8310855036238315,0.9124999574971464,-0.14803759997161595,-0.20324562952865932,-0.09589046200380492,-0.7685436745164582,-1.0551585744251208,-0.49781952715806776,-54.31404060186984,-74.56951056007921,-35.18159202530514,0.8591090157808807,0.8158499247586649,0.904182585282282,-0.16399663096429906,-0.22571562447077284,-0.10597131185379356,-0.8513956818658774,-1.171812535867952,-0.5501547000293143,-60.16930613893128,-82.81360677512029,-38.880190814792535,-0.08285200734941922,-0.11665396144283124,-0.05233517287124656,-5.855265537061429,-8.244096215041077,-3.6985987894873897,0.8310855036238315,0.7925632464391632,0.9124999574971464,-0.20324562952865932,-0.2617289591623267,-0.09589046200380492,-0.9160161109951958,-1.1795970415830686,-0.43217267839883455,-152.6693518325326,-196.5995069305114,-72.02877973313909,0.8158499247586649,-0.22571562447077284,-1.0172870580196884,0.7743500340861291,-0.2914056382527031,-1.3133480906494686,0.904182585282282,-0.10597131185379356,-0.4776064763925621,-169.5478430032814,-218.8913484415781,-79.60107939876035,-0.10127094702449269,-0.1337510490664,-0.04543379799372754,-16.87849117074878,-22.291841511066668,-7.572299665621258,0.3477
