geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06061021003,06061021003,Census Tract 210.03; Placer County; California,5147,3188,930,Roseville city,California,187602,0.5947215909717676,0.25956167448205547,06061,5147,3188,930,0.011656,0.009493868073,0.003212018401,0.8171315176537812,0.7363048985562392,0.8601157757195378,-0.22379320635102487,-0.35813302608853925,-0.1626341804548821,-13.426122507282178,-21.485629347597005,-9.7569826459957,-260.85336132275455,-417.43985520880136,-189.56640073821055,0.8007946411831774,0.7141072771183409,0.8472520037847634,-0.2487596052372376,-0.4003498242383565,-0.1802863794159179,-14.92394246114706,-24.018359956655793,-10.815998644015073,-289.95419586452414,-466.6477551322283,-260.85336132275455,-1.4978199538648802,-2.532730609058788,-1.0590159980193743,-29.10083454176958,-49.207899923427014,-20.575403108983373,0.8819908799500864,0.845103632361009,0.9200849319309016,-0.13379857176821597,-0.18328683217968084,-0.08685618609293796,-1.370085956855928,-1.876841520259363,-0.8893999334921763,-42.97634745470289,-58.872067762213376,-27.898366797119703,0.8709846553676054,0.8309998878976305,0.9124534345367838,-0.1481258525478187,-0.2033695967516044,-0.0959463378069918,-1.5167960893831318,-2.0824873156606887,-0.9824823113122476,-47.57829640474065,-65.3226886970103,-30.818140254461973,-0.14671013252720377,-0.205645795401326,-0.09308237782007144,-4.60194895003776,-6.450620934796925,-2.9197734573422665,0.845103632361009,0.8093969335888658,0.9200849319309016,-0.18328683217968084,-0.23548775452607695,-0.08685618609293796,-1.6182939339357425,-2.0791913970781524,-0.76687909004397,-174.01010042319808,-223.5689674277583,-82.46011720902904,0.8309998878976305,-0.2033695967516044,-1.7956106331056154,0.7924606570600599,-0.2618922984894768,-2.312324966010262,0.9124534345367838,-0.0959463378069918,-0.8471387421011773,-193.07641216189413,-248.637093119383,-91.09018732270724,-0.17731669916987314,-0.23313356893210943,-0.08025965205720731,-19.066311738696037,-25.068125691624672,-8.630070113678205,0.4238
06061021326,06061021326,Census Tract 213.26; Placer County; California,2531,2051,588,Roseville city,California,88739,0.632237488387733,0.27847941872043014,06061,2531,2051,588,0.011656,0.009493868073,0.003212018401,0.8047127010711487,0.7194098220652454,0.8503431365503735,-0.2426795285682772,-0.39002828336323025,-0.17599585040075283,-7.159370312614343,-11.506355437001863,-5.192112717278343,-282.86725849918383,-454.6169670881811,-205.14076322711745,0.7874172807012646,0.6961037914308423,0.8366689110573386,-0.26997466846220564,-0.4365673801955576,-0.19521591729308072,-7.964613405792131,-12.879320969788887,-5.759130368611385,-314.68247355954685,-508.8629383559418,-282.86725849918383,-0.8052430931777881,-1.372965532787024,-0.5670176513330416,-31.81521506036302,-54.24597126776073,-22.402909969697415,0.8736319509684642,0.8343867136836136,0.9142919683372256,-0.14464678047941187,-0.19848504728130695,-0.09374251839775775,-0.9529112552383664,-1.3075896672155627,-0.6175616254958917,-46.46081205452786,-63.7537624190913,-30.110269404967905,0.8619088892552078,0.8194153928906998,0.9061360214307064,-0.1602154386226593,-0.22038224894975592,-0.10358707340768893,-1.0554752357465291,-1.4518451415436573,-0.6824160746629221,-51.461493698026786,-70.7871838880379,-33.272358589123456,-0.10256398050816308,-0.1442554743280946,-0.06485444916703043,-5.000681643498931,-7.033421468946592,-3.1620891841555547,0.8343867136836136,0.7965209998657915,0.9142919683372256,-0.19848504728130695,-0.25545968049617446,-0.09374251839775775,-1.1080218217709146,-1.4260766967056298,-0.5233077122694634,-188.43908533518956,-242.5300504601411,-88.99791024990874,0.8194153928906998,-0.22038224894975592,-1.2302606383300947,0.7786045785911033,-0.28434898470481,-1.587348187517629,0.9061360214307064,-0.10358707340768893,-0.5782639012924498,-209.2279997160025,-269.9571747478961,-98.34420090007649,-0.12223881655918012,-0.1612714908119992,-0.05495618902298638,-20.788914380812944,-27.427124287754964,-9.346290650167752,0.0197
06061020806,06061020806,Census Tract 208.06; Placer County; California,2628,1824,882,Roseville city,California,82539,0.5348031757660019,0.2513951939045227,06061,2628,1824,882,0.011656,0.009493868073,0.003212018401,0.8373649110055454,0.7641155785870748,0.8759575908786248,-0.19422247918073737,-0.30870254189699786,-0.14160777920419082,-5.9494167671450136,-9.456166384907498,-4.337724961133839,-226.3857217330675,-359.8236828351407,-165.05802744040483,0.8226332022391887,0.7438321738157558,0.8644331008843257,-0.2156086057285592,-0.34438927919740114,-0.1568275196507257,-6.604515911201842,-10.549321379917858,-4.803935563460401,-251.31339083720863,-401.4201438324908,-226.3857217330675,-0.6550991440568286,-1.0931549950103605,-0.4662106023265622,-24.927669104141113,-41.5964609973501,-17.740129464481058,0.8955075129190435,0.8625063447938882,0.9294133693526876,-0.11668521544877636,-0.1594117608943137,-0.07594750944509672,-0.6836261878825214,-0.9339491210149063,-0.4449553112743361,-37.47950591461192,-51.20335093283478,-24.394479784777197,0.8856786119300128,0.849842661114428,0.9226347481707134,-0.12907773376266304,-0.17668839863683183,-0.08385252342021243,-0.7562305021532161,-1.0351681311004624,-0.49126858710951454,-41.46000560050527,-56.75263876647272,-26.93358481960058,-0.07260431427069469,-0.101219010085556,-0.04631327583517847,-3.980499685893349,-5.549287833637939,-2.539105034823381,0.8625063447938882,0.8303947732937674,0.9294133693526876,-0.1594117608943137,-0.2042465007739537,-0.07594750944509672,-1.334848988403837,-1.7102767914588712,-0.6359534301975986,-151.3434227215235,-193.90893327198089,-72.10356351446697,0.849842661114428,-0.17668839863683183,-1.479516497778564,0.8151040812232455,-0.22683718930627475,-1.8994419921036787,0.9226347481707134,-0.08385252342021243,-0.7021467891367621,-167.74563466877143,-215.35623493238987,-79.60847949396396,-0.14466750937472694,-0.18916520064480744,-0.06619335893916345,-16.402211947247952,-21.447301660409007,-7.504915979496989,0.5625
06061021108,06061021108,Census Tract 211.08; Placer County; California,1852,1220,437,Roseville city,California,81014,0.6188915154137745,0.24616245563876252,06061,1852,1220,437,0.011656,0.009493868073,0.003212018401,0.8091088145291024,0.725375215037588,0.8538068828150707,-0.23592770470804392,-0.3785968685850141,-0.17122503944090817,-5.09295059989453,-8.172737285620263,-3.6962198586074138,-274.99733260769597,-441.2925100226924,-199.57990597232256,0.7921503632594593,0.7024557690075379,0.8404185246210025,-0.26238659524853625,-0.4235771761300307,-0.18988333872217153,-5.66411634160977,-9.143723226327474,-4.098994923261709,-305.83781542169385,-493.7215564971638,-274.99733260769597,-0.57116574171524,-0.9709859407072106,-0.4027750646542958,-30.840482813997845,-52.42904647447141,-21.748113642240597,0.8765964540845531,0.8381835059237688,0.9163485760752316,-0.14077577583212977,-0.19305616602165412,-0.09128777640824404,-0.5516527465131794,-0.7565219483794381,-0.3577259814837774,-45.2174382387852,-62.0099957688064,-29.321801760965357,0.8651266300078136,0.8235178582373472,0.9083783613604526,-0.1559001483874889,-0.2143027500829115,-0.10086285906494766,-0.6109200573138787,-0.8397801395144836,-0.3952474983387795,-50.07541453392448,-68.83443766512161,-32.39733592940816,-0.05926731080069925,-0.08325819113504551,-0.0375215168550021,-4.857976295139282,-6.824441896315206,-3.075534168442795,0.8381835059237688,0.8010778648180237,0.9163485760752316,-0.19305616602165412,-0.24831810229479295,-0.09128777640824404,-0.8009553498783921,-1.0302271955527988,-0.3787365842771597,-183.28497708887693,-235.74993033244823,-86.66741058973906,0.8235178582373472,-0.2143027500829115,-0.8891036101551257,0.7835057801716139,-0.2763147704934183,-1.1463803422486885,0.9083783613604526,-0.10086285906494766,-0.4184618820361256,-203.4562036968251,-262.3295977685786,-95.75786774282052,-0.08814826027673361,-0.1161531466958896,-0.03972529775896588,-20.171226607948196,-26.579667436130347,-9.090457153081438,0.5787
06061021045,06061021045,Census Tract 210.45; Placer County; California,2429,1591,624,Roseville city,California,65623,0.5425675109400306,0.233414266815858,06061,2429,1591,624,0.011656,0.009493868073,0.003212018401,0.8347150373069296,0.76045340799817,0.8738884383196226,-0.1980136397522381,-0.31500495557303954,-0.14431082521571523,-5.60624612644862,-8.918553864285059,-4.085789271297221,-230.80469849520873,-367.1697762159349,-168.2086978714377,0.819770075666391,0.7399116605603403,0.8621872435093308,-0.219854236795726,-0.351512691721459,-0.1598408669672897,-6.224606370356995,-9.952176369399236,-4.5254823981055,-256.2620984090982,-409.7231934705326,-230.80469849520873,-0.6183602439083753,-1.0336225051141774,-0.43969312680827866,-25.457399913889475,-42.55341725459768,-18.101816665635184,0.8937443884232126,0.860231215285065,0.9281992602963882,-0.11888814402991524,-0.16247815962899953,-0.07735487709900211,-0.6075566118991583,-0.8303155960359384,-0.39530827424069953,-38.18709062848261,-52.1882838488962,-24.84652886490883,0.8837606507737756,0.8473770889983151,0.9213090553726756,-0.1315280886566415,-0.1801121519371034,-0.08541210375436234,-0.6721507898524657,-0.9204309621087032,-0.4364832910430687,-42.2470641013492,-57.8523546265684,-27.43452489271331,-0.06459417795330735,-0.09011536607276482,-0.04117501680236918,-4.059973472866584,-5.664070777672208,-2.587996027804474,0.860231215285065,0.8276434111604637,0.9281992602963882,-0.16247815962899953,-0.2082498169083107,-0.07735487709900211,-0.9625488364512108,-1.2337080836832377,-0.4582637267401783,-154.2546212261556,-197.70962879539067,-73.4396997981055,0.8473770889983151,-0.1801121519371034,-1.0670156695130342,0.812133804743277,-0.23132419086545625,-1.3704046825061504,0.9213090553726756,-0.08541210375436234,-0.5059961368059337,-170.99610088349908,-219.6161350170113,-81.08912448813041,-0.10446683306182324,-0.13669659882291274,-0.0477324100657554,-16.74147965734347,-21.90650622162063,-7.649424690024904,0.5732
06061020805,06061020805,Census Tract 208.05; Placer County; California,2891,2024,727,Roseville city,California,82773,0.5083711597300536,0.23381116035294075,06061,2891,2024,727,0.011656,0.009493868073,0.003212018401,0.8464490633626024,0.7767153786610455,0.8830383755973661,-0.18140599745884456,-0.28747289866188525,-0.1324536142877263,-6.1129278737454245,-9.687116852767284,-4.4633551376462,-211.4468306380292,-335.0784106802934,-154.38793281377377,0.83245527883129,0.7573351158579302,0.8721225894392437,-0.20126573214110827,-0.320419427359013,-0.14662779305255555,-6.7821512037620675,-10.797332371752631,-4.9409894698773185,-234.5953373836758,-373.4808845296656,-211.4468306380292,-0.669223330016643,-1.110215518985347,-0.4776343322311183,-23.148506745646596,-38.4024738493721,-16.521422768284964,0.9015358088595892,0.8702967411508515,0.9335584615142392,-0.1092182808189999,-0.14903337300520414,-0.07117019578826593,-0.7100417224976152,-0.9688846233865642,-0.4626863564327582,-35.08111277162131,-47.86979364558123,-22.85999784746829,0.892239158633059,0.8582900799815081,0.92716210237201,-0.12077573633064288,-0.16510725607075066,-0.0785600462331719,-0.7851781882764186,-1.0733829503470491,-0.5107286997067424,-38.793388748834914,-53.03275446378701,-25.233631408435887,-0.0751364657788034,-0.10449832696048487,-0.04804234327398427,-3.712275977213606,-5.162960818205775,-2.373633560967602,0.8702967411508515,0.8398299476089888,0.9335584615142392,-0.14903337300520414,-0.1907172432312259,-0.07117019578826593,-1.0286346131581363,-1.3163384398935123,-0.491219686818035,-141.49031817856073,-181.06443464835107,-67.5680449543377,0.8582900799815081,-0.16510725607075066,-1.1395772306113443,0.8252974302884277,-0.21168437377845295,-1.46105445741752,0.92716210237201,-0.0785600462331719,-0.5422247456207161,-156.7506507030735,-200.9703517768253,-74.58387147465146,-0.11094261745320776,-0.14471601752400765,-0.05100505880268108,-15.260332524512762,-19.90591712847423,-7.015826520313766,0.371
06061022900,06061022900,Census Tract 229; Placer County; California,3493,2405,515,Roseville city,California,73648,0.5348426310095451,0.2218765825397105,06061,3493,2405,515,0.011656,0.009493868073,0.003212018401,0.8373514241654212,0.7640969243914485,0.8759470638986057,-0.1942417139813058,-0.30873449176154233,-0.14162149884864955,-7.908436393654188,-12.569942061252071,-5.766035485695448,-226.40814181661003,-359.86092359725376,-165.0740190579859,0.8226186277272419,0.7438121989169727,0.8644216735605962,-0.2156301429288481,-0.3444253824500988,-0.15684281246784326,-8.779253616303437,-14.02307554662936,-6.385762258683258,-251.33849459786535,-401.4622257838351,-226.40814181661003,-0.870817222649249,-1.453133485377288,-0.6197267729878098,-24.93035278125534,-41.60130218658139,-17.7419631545322,0.8954985446394196,0.8624947682989429,0.929407195723684,-0.11669639887874844,-0.15942732264017334,-0.07595465647470986,-0.9014685081721868,-1.2315608029314735,-0.5867424489433566,-37.48309805289758,-51.208349394240074,-24.39677542384019,0.8856688551046458,0.8498301139465139,0.9226280067107444,-0.12909017206193335,-0.17670577164665813,-0.0838604429157683,-0.9972092193631024,-1.365035167171188,-0.6478138922563063,-41.4640008051186,-56.758219009197,-26.93612857614579,-0.09574071119091564,-0.13347436423971426,-0.06107144331294967,-3.980902752221025,-5.549869614956934,-2.539353152305599,0.8624947682989429,0.8303807688772058,0.929407195723684,-0.15942732264017334,-0.2042668104562968,-0.07595465647470986,-0.7794947137143671,-0.998730307334758,-0.3713682963719793,-151.3581968377412,-193.92821501645787,-72.11034881009307,0.8498301139465139,-0.17670577164665813,-0.8639749611317836,0.8150889600391779,-0.22685994906854615,-1.1091958901647023,0.9226280067107444,-0.0838604429157683,-0.4100223905166106,-167.7621283751036,-215.3778427504276,-79.61599815856516,-0.08448024741741655,-0.11046558282994424,-0.03865409414463128,-16.403931537362435,-21.449627733969756,-7.505649348472094,0.244
06061021034,06061021034,Census Tract 210.34; Placer County; California,2850,2229,795,Roseville city,California,91841,0.5296658165362474,0.26145001339833396,06061,2850,2229,795,0.011656,0.009493868073,0.003212018401,0.8391228523809504,0.7665483845782591,0.877329361351992,-0.19172061297409823,-0.30454909320587986,-0.13982278953820568,-6.368882074754355,-10.116999056662047,-4.644857139343377,-223.46954648260896,-354.9824230407736,-162.97744348573252,0.8245331169487075,0.7464376381439689,0.8659223125594869,-0.2128075627824758,-0.33969664563876845,-0.15483800971037137,-7.069382112608733,-11.284586689461632,-5.143656747374653,-248.0484951792538,-395.9504101565485,-223.46954648260896,-0.7005000378543782,-1.1675876327995844,-0.498799608031276,-24.57894869664485,-40.967987115774896,-17.501740632676352,0.8966760155978873,0.8640150165454342,0.93021757107988,-0.11523000794575518,-0.1573872917142928,-0.07501731969985302,-0.8249994991823173,-1.1268283249887254,-0.5370931781200002,-37.01209058691419,-50.55308770698634,-24.095701126962773,0.8869499400215005,0.851477976922233,0.9235129561166,-0.12745934677639084,-0.17442849621856013,-0.08282184172600049,-0.9125565391449876,-1.2488363455739735,-0.5929703482922011,-40.94017672252075,-56.02675395127741,-26.60252796286232,-0.08755703996267017,-0.12200802058524808,-0.05587717017220084,-3.928086135606558,-5.473666244291075,-2.506826835899544,0.8640150165454342,0.832220269005824,0.93021757107988,-0.1573872917142928,-0.2016049563351861,-0.07501731969985302,-1.187900276202298,-1.5216386323558,-0.5662026064542725,-149.42141839022617,-191.40108583091825,-71.22045364204685,0.851477976922233,-0.17442849621856013,-1.3165208993602773,0.8170753673497281,-0.2238773067454079,-1.6897419837496672,0.9235129561166,-0.08282184172600049,-0.6251082129330805,-165.60011312707888,-212.54616147794556,-78.62996389095353,-0.12862062315797915,-0.16810335139386723,-0.05890560647880805,-16.178694736852727,-21.145075647027323,-7.409510248906673,0.0876
06061022500,06061022500,Census Tract 225; Placer County; California,3197,2460,1262,Roseville city,California,282771,0.6787176374050815,0.20449163878993265,06061,3197,2460,1262,0.011656,0.009493868073,0.003212018401,0.7895879260294145,0.6990144430383042,0.8383892345834721,-0.2664833985350822,-0.4305856051463626,-0.1927634071981127,-9.930299187159765,-16.04544188603445,-7.183180326940941,-310.6130493324918,-501.89058135860023,-224.68502743012013,0.7711529931168317,0.6744267137215243,0.8237402029069317,-0.2967595391910738,-0.4827407925198338,-0.21397498443205468,-11.058516316629266,-17.98896488832295,-7.973613462072474,-345.9029188811156,-562.6826677611182,-310.6130493324918,-1.128217129469503,-1.9435230022885008,-0.7904331351315328,-35.289869548623805,-60.79208640251802,-24.724214423882792,0.8633854871630897,0.8212973387554596,0.9071653643174976,-0.15823118973866235,-0.21758582770441545,-0.1023348546296696,-1.2502740729096564,-1.7192686186631592,-0.8086055328900308,-50.82414930527059,-69.8889682383398,-32.87014361341589,0.850795567532613,0.8052865715764798,0.8983697222902977,-0.17537048635560465,-0.24179395918938143,-0.1131274520813177,-1.385701343749643,-1.910550749570663,-0.8938839460488581,-56.32932291665216,-77.66466461669363,-36.336745774343825,-0.13542727083998662,-0.1912821309075039,-0.08527841315882734,-5.50517361138157,-7.7756963783538176,-3.4666021609279407,0.8212973387554596,0.780852153477347,0.9071653643174976,-0.21758582770441545,-0.2806521638529496,-0.1023348546296696,-2.6069527021886483,-3.3625669679436156,-1.2261006547141302,-206.57311427802284,-266.44746180218823,-97.15536091237163,0.8052865715764798,-0.24179395918938143,-2.8969966561331244,0.7617732069212622,-0.3127266631515451,-3.746859931782293,0.8983697222902977,-0.1131274520813177,-1.3554095871342602,-229.5559949392333,-296.89856828702796,-107.40171054946596,-0.29004395394447613,-0.3842929638386767,-0.12930893242012995,-22.98288066121047,-30.451106484839677,-10.246349637094292,0.2912
06061021047,06061021047,Census Tract 210.47; Placer County; California,2791,2053,805,Roseville city,California,96260,0.609329352734052,0.23056566494313224,06061,2791,2053,805,0.011656,0.009493868073,0.003212018401,0.812273315134072,0.7296797109382865,0.8562972706510292,-0.23111270722335903,-0.3704643078455776,-0.1678187403770607,-7.518534555668764,-12.051906334544311,-5.459461808797539,-269.3849715395473,-431.8131972248052,-195.60952378350197,0.7955590208871145,0.7070424640492277,0.8431153878036463,-0.25697776499965624,-0.41434220834913704,-0.1860772730112841,-8.359973925281256,-13.479337630424457,-6.0534464935667005,-299.53328288359927,-482.9572780517541,-269.3849715395473,-0.841439369612492,-1.4274312958801438,-0.5939846847691612,-30.148311344052026,-51.1440808269489,-21.28214563845078,0.8787266538990297,0.8409144622791026,0.9178249446214216,-0.13801031932155916,-0.18918159320239675,-0.08953238399123407,-0.9100778296924706,-1.2475152191935093,-0.5904010519683411,-44.32916851887339,-60.76547584965949,-28.757966486524168,0.8674394707309846,0.8264698288622714,0.909988371115223,-0.1528181893283086,-0.20996552454505496,-0.09891514193139034,-1.0077249785749496,-1.384570152634627,-0.652273526611426,-49.0854836130029,-67.44131284143336,-31.77172560211525,-0.09764714888247894,-0.13705493344111774,-0.06187247464308487,-4.756315094129515,-6.6758369917738785,-3.01375911559108,0.8409144622791026,0.804358803038835,0.9178249446214216,-0.18918159320239675,-0.2432262769078183,-0.08953238399123407,-1.445832395601324,-1.858872338804084,-0.6842569567085325,-179.6065087703508,-230.91581848497935,-85.00086418739534,0.8264698288622714,-0.20996552454505496,-1.604674916876741,0.7870363680759043,-0.2705893152621847,-2.067996105155382,0.909988371115223,-0.09891514193139034,-0.7559652828745456,-199.3384989908995,-256.8939261062587,-93.90873079186902,-0.15884252127541698,-0.20912376635129837,-0.07170832616601308,-19.731990220548695,-25.978107621279303,-8.907866604473675,0.4309
06061021129,06061021129,Census Tract 211.29; Placer County; California,2239,1285,556,Roseville city,California,70025,0.5614381730657567,0.2475002204510268,06061,2239,1285,556,0.011656,0.009493868073,0.003212018401,0.8283096130195291,0.7516257644996727,0.8688798631189225,-0.2072780326122123,-0.3304493369325361,-0.1509070959596301,-5.409497323058472,-8.62399541820855,-3.938340794421699,-241.60327481279467,-385.1717471285641,-175.89731105054483,0.8128529230189835,0.7304690581715295,0.8567531413866393,-0.23023485759999643,-0.3689833796699694,-0.16719735439956288,-6.008619582915466,-9.629648542216854,-4.363480440491242,-268.3617500185558,-430.0870273433165,-241.60327481279467,-0.5991222598569932,-1.0056531240083046,-0.4251396460695429,-26.758475205761194,-44.91528021475233,-18.98792523758566,0.8894736976542894,0.8547266619624946,0.9252550624446356,-0.12426033803718917,-0.16996467350620684,-0.08078306251886841,-0.5128775425925624,-0.7015196115861332,-0.3334275380401643,-39.912649228993175,-54.592965882189354,-25.947668329973876,0.8791164795780709,0.8414144701677216,0.9180949889378932,-0.13750569262442527,-0.1884749258004406,-0.08921191385311815,-0.5675469972131966,-0.7779196347905905,-0.3682171469167654,-44.167081495190395,-60.53849297981248,-28.655030888464232,-0.05466945462063422,-0.07640002320445727,-0.0347896088766011,-4.254432266197215,-5.945527097623134,-2.707362558490358,0.8547266619624946,0.8209943644759051,0.9252550624446356,-0.16996467350620684,-0.2180351574500344,-0.08078306251886841,-0.8971739361601759,-1.1509183431791636,-0.4264207183763985,-161.3622187338446,-206.99970201064093,-76.69437380870477,0.8414144701677216,-0.1884749258004406,-0.9948819808235227,0.8049598028566569,-0.2422980581777881,-1.2789922640683034,0.9180949889378932,-0.08921191385311815,-0.4709131742077077,-178.93560806178465,-230.03457986839987,-84.69661406613447,-0.09770804466334682,-0.12807392088913971,-0.04449245583130917,-17.573389327940074,-23.03487785775894,-8.002240257429706,0.5713
