geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013420212,04013420212,Census Tract 4202.12; Maricopa County; Arizona,1653,1397,771,Mesa city,Arizona,58897,0.3570394004926821,0.20213625224009135,04013,1653,1397,771,0.010697,0.00781773244399999,0.00314654663299999,0.9003887990626428,0.852958685707606,0.9246942244204616,-0.11063131953780218,-0.17238972620392506,-0.08143857027628278,-1.9561985910834732,-3.048219445689198,-1.440008282463641,-118.342322509587,-184.40529012033863,-87.11483862453969,0.8909905381014959,0.8395001838658013,0.9174828597081934,-0.12234637432938315,-0.19118496841193725,-0.08993861783755966,-2.1633458417309335,-3.380559568540421,-1.590307321948845,-130.8739166201412,-204.5105607102493,-118.342322509587,-0.2071472506474603,-0.33234012285122283,-0.15029903948520396,-12.531594110554162,-20.10527058991064,-9.09250087629788,0.9368393430886528,0.9162733806721856,0.9576488643138956,-0.0674188775026397,-0.09137733464044533,-0.04422407550855992,-0.29635488888317885,-0.40166969336963426,-0.1943969028969288,-21.21366420065704,-28.752304464540742,-13.915311588899698,0.9307469740826108,0.9082963661913972,0.9535136789936473,-0.0744058566353635,-0.10096223790163088,-0.04875265245844728,-0.32706773224706276,-0.4438022984521417,-0.21430328473679625,-23.41214976714837,-31.76823897295216,-15.340249444294646,-0.03071284336388391,-0.04213260508250743,-0.01990638183986742,-2.1984855664913323,-3.0159345084114126,-1.4249378553949483,0.9162733806721856,0.8959506189345304,0.9576488643138956,-0.09137733464044533,-0.11613294177887358,-0.04422407550855992,-0.5507742998756028,-0.6999880216733964,-0.26655936421997367,-71.43635536648544,-90.7896266761863,-34.57319899091747,0.9082963661913972,-0.10096223790163088,-0.6085470331669305,0.8861606906901912,-0.1284635061177724,-0.7743101494477612,0.9535136789936473,-0.04875265245844728,-0.29385523369155936,-78.92957628624261,-100.42933196469016,-38.11351928554596,-0.0577727332913277,-0.07432212777436487,-0.02729586947158568,-7.49322091975716,-9.639705288503873,-3.540320294628494,0.1796
04013422640,04013422640,Census Tract 4226.40; Maricopa County; Arizona,2652,1995,1145,Mesa city,Arizona,79831,0.38126064225293255,0.22639975712418484,04013,2652,1995,1145,0.010697,0.00781773244399999,0.00314654663299999,0.8915299885235617,0.8402707161845737,0.9178973051968302,-0.12166726063368044,-0.19009264602330872,-0.08944649291193203,-3.451510869919968,-5.3926325835240565,-2.537457825168541,-130.14746869984796,-203.34210345113337,-95.6809134678937,0.8813523194970034,0.8257738983994779,0.9100672884472324,-0.13462003545949705,-0.21098523692527535,-0.0988198484819864,-3.818960937210756,-5.985322878541406,-2.8033653377497165,-144.003051931024,-225.69090793896703,-130.14746869984796,-0.36745006729078833,-0.5926902950173494,-0.2659075125811756,-13.855583231176032,-22.34880448783369,-10.026678453287166,0.9310973251929424,0.9087546166080072,0.9537517257378167,-0.0740015817280749,-0.10040706448631082,-0.04849089444782483,-0.464534608507181,-0.6302913438241862,-0.3043948270086434,-23.284942782314836,-31.593551068881514,-15.25788606559616,0.9244737560745456,0.9001011014965321,0.9492462070064211,-0.08169647156469875,-0.11098630846843018,-0.05346746989238737,-0.5128382062721167,-0.6967010724647744,-0.33563458529301604,-25.706175752988305,-34.922359522043834,-16.82378873649203,-0.04830359776493576,-0.06640972864058825,-0.03123975828437264,-2.421232970673471,-3.328808453162318,-1.565902670895872,0.9087546166080072,0.8867224913482064,0.9537517257378167,-0.10040706448631082,-0.12774854563524407,-0.04849089444782483,-0.8987741226594399,-1.1435160226199992,-0.4340567203840239,-78.49555656414321,-99.8703949886462,-37.90888387633396,0.9001011014965321,-0.11098630846843018,-0.9934721479136872,0.8761258548386127,-0.14138852823171802,-1.265611648599656,0.9492462070064211,-0.05346746989238737,-0.4786035583173748,-86.76612645534385,-110.5337684366512,-41.79943740763099,-0.0946980252542472,-0.12209562597965684,-0.04454683793335096,-8.270569891200628,-10.663373448004965,-3.890553531297027,0.5234
04013422653,04013422653,Census Tract 4226.53; Maricopa County; Arizona,2734,1967,1005,Mesa city,Arizona,103176,0.3558158140148126,0.17547300827731852,04013,2734,1967,1005,0.010697,0.00781773244399999,0.00314654663299999,0.9008386487681764,0.8536047044571212,0.9250389173263828,-0.11007670615311496,-0.17150244695052824,-0.08103559890244987,-3.2192590973181265,-5.015691619531475,-2.36993454919029,-117.74905257198706,-183.4561675029801,-86.68378014595062,0.8914802199222965,0.8401996183651488,0.917859071963231,-0.121729879870091,-0.1901933518439214,-0.0894918735847713,-3.560063131268974,-5.562318310299884,-2.6172433591270403,-130.21445249703635,-203.44982846744273,-117.74905257198706,-0.34080403395084735,-0.5466266907684085,-0.2473088099367504,-12.46539992504928,-19.99366096446264,-9.04567702767924,0.9371303508594144,0.9166548530548272,0.9578461583809706,-0.06708741114075518,-0.09092315026470246,-0.04400898959628464,-0.415221244251086,-0.5627467648875091,-0.27238295691665754,-21.109366764162992,-28.609393232715256,-13.847633803592148,0.9310650058683796,0.9087123412899716,0.9537297675727932,-0.07403886269716092,-0.10045825786897548,-0.04851503434244561,-0.4582455660354823,-0.621761998538537,-0.30027202692751986,-23.2966734130901,-31.609659305467055,-15.265481796010162,-0.04302432178439625,-0.0590152336510279,-0.02788907001086232,-2.18730664892711,-3.0002660727517996,-1.4178479924180136,0.9166548530548272,0.8964193369713156,0.9578461583809706,-0.09092315026470246,-0.11554934031058152,-0.04400898959628464,-0.7143669260437268,-0.9078504957619744,-0.34577075832350557,-71.08128617350515,-90.333382662883,-34.405050579453295,0.9087123412899716,-0.10045825786897548,-0.7892825607190579,0.8866706600890477,-0.1278144693538982,-1.0042154205000169,0.9537297675727932,-0.04851503434244561,-0.3811739457907148,-78.53557818100079,-99.92193238806136,-37.927755800071125,-0.07491563467533113,-0.09636492473804235,-0.03540318746720922,-7.454292007495635,-9.588549725178344,-3.5227052206178326,0.5316
04013814801,04013814801,Census Tract 8148.01; Maricopa County; Arizona,2259,1486,413,Mesa city,Arizona,0,NA,NA,04013,2259,1486,413,0.010697,0.00781773244399999,0.00314654663299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.036
04013422626,04013422626,Census Tract 4226.26; Maricopa County; Arizona,1075,927,735,Mesa city,Arizona,68706,0.3550875069778422,0.22919833094860817,04013,1075,927,735,0.010697,0.00781773244399999,0.00314654663299999,0.9011065164370606,0.8539894620608127,0.92524414753276,-0.10974671890506382,-0.17097463660364212,-0.08079581229082354,-1.2620077010370276,-1.9660843643303465,-0.9290932643805598,-117.39606521274676,-182.89156877491595,-86.42728040749394,0.8917718176536292,0.8406162146213212,0.9180830754532412,-0.12136308885734198,-0.18960351062283237,-0.0892260479873435,-1.3955875336200112,-2.1803029096173705,-1.0260348629696594,-129.8220961506987,-202.81887531324375,-117.39606521274676,-0.13357983258298356,-0.214218545287024,-0.09694159858909956,-12.42603093795196,-19.927306538327812,-9.017823124567402,0.9373036083445688,0.9168819896562712,0.9579636116799988,-0.06689016354707426,-0.0906528989351058,-0.04388098650874768,-0.19510848851090565,-0.2644207930200823,-0.12799419971613568,-21.047301888986585,-28.52435739159464,-13.807357035181845,0.93125435734935,0.9089600297499576,0.9538584117529828,-0.07382047891439922,-0.10015838680506804,-0.04837362409188062,-0.21532317008020815,-0.29214686323011996,-0.14109854393941568,-23.22795793745503,-31.515303476819845,-15.220986401231466,-0.02021468156930253,-0.02772607021003764,-0.01310434422327999,-2.1806560484684505,-2.9909460852252043,-1.413629366049622,0.9168819896562712,0.8966984452199088,0.9579636116799988,-0.0906528989351058,-0.115202112070973,-0.04388098650874768,-0.5208945802235077,-0.6619551775286086,-0.2521416117495598,-70.87001091476294,-90.06192891545695,-34.3049811904163,0.9089600297499576,-0.10015838680506804,-0.575513430497541,0.8869743450173809,-0.12742832486367375,-0.7322074039349158,0.9538584117529828,-0.04837362409188062,-0.277956457115262,-78.30114700646817,-99.6200549571314,-37.81720504969551,-0.05461885027403335,-0.07025222640630724,-0.02581484536570222,-7.431136091705217,-9.558126041674454,-3.5122238592792137,0.6082
04013010102,04013010102,Census Tract 101.02; Maricopa County; Arizona,3573,3247,2516,Mesa city,Arizona,1014064,0.5075497774847634,0.15201075017534968,04013,3573,3247,2516,0.010697,0.00781773244399999,0.00314654663299999,0.8467329292281559,0.7771102318291696,0.8832593275360917,-0.18100993298035015,-0.2868187279508472,-0.1321703250953079,-6.918268603293448,-10.962321060216729,-5.051600182036529,-193.62632530908056,-306.8099932890212,-141.38259675445084,0.8327623741681742,0.7577586276817078,0.8723626351181074,-0.2008227449023202,-0.3196814440231545,-0.1463122785682035,-7.675521823632485,-12.218346589195136,-5.592111031854872,-214.82009022201188,-341.9632406715683,-193.62632530908056,-0.7572532203390363,-1.2560255289784106,-0.5405108498183431,-21.19376491293133,-35.15324738254717,-15.127647629956426,0.9017237885453844,0.8705399538901407,0.9336875671454176,-0.10898704537134356,-0.1487123543627691,-0.07102207974914021,-1.1135028686629511,-1.5193698721197235,-0.7256210063280625,-34.29328206538193,-46.7930357905674,-22.34742859033146,0.89244380612669,0.8585539267672956,0.9273031465049038,-0.12051872973393848,-0.16474920074652724,-0.07839599570981486,-1.23132020717795,-1.6832157162911905,-0.800959103140527,-37.921780325776105,-51.83910428984263,-24.667665634140036,-0.11781733851499876,-0.16384584417146675,-0.0753380968124645,-3.628498260394172,-5.046068499275231,-2.3202370438085773,0.8705399538901407,0.8401248594816435,0.9336875671454176,-0.1487123543627691,-0.1902992617275953,-0.07102207974914021,-2.9250849881740195,-3.743075120592306,-1.3969627486115452,-116.2593397525445,-148.77087124770694,-55.52316170952088,0.8585539267672956,-0.16474920074652724,-3.240520372246775,0.8256162254358718,-0.2112165061582516,-4.15450507838065,0.9273031465049038,-0.07839599570981486,-1.5420033605570058,-128.7965171799195,-165.1234132901689,-61.28789191403044,-0.3154353840727553,-0.4114299577883438,-0.14504061194546058,-12.537177427375012,-16.352542042461994,-5.764730204509562,0.0467
04013420112,04013420112,Census Tract 4201.12; Maricopa County; Arizona,2417,2024,1075,Mesa city,Arizona,71062,0.3519880721849435,0.16057548932621976,04013,2417,2024,1075,0.010697,0.00781773244399999,0.00314654663299999,0.9022473640265254,0.8556288040774747,0.9261180489965528,-0.10834349854703566,-0.1687311077356542,-0.07977595413835001,-2.801183126365617,-4.3624835658865235,-2.0625792928871367,-115.89504039576406,-180.4916659448293,-85.33633814179301,0.8930138285556074,0.8423914222870761,0.9190369720296596,-0.11980348794535003,-0.18709660799372785,-0.08809550696479217,-3.097477129802756,-4.837317128768427,-2.2776784110517565,-128.1537910551409,-200.13724157089064,-115.89504039576406,-0.2962940034371391,-0.4748335628819031,-0.2150991181646198,-12.258750659376876,-19.64557562606136,-8.899425658445171,0.9380412934101134,0.9178492377775505,0.9584636153094414,-0.06605115043991788,-0.08950354681490684,-0.04333642302858681,-0.4206540426455401,-0.570013217756934,-0.2759927937569317,-20.78330250225001,-28.1627083872003,-13.63600759668635,0.9320606056105888,0.9100148654602024,0.9544060730810034,-0.07289160595399752,-0.09888314790801932,-0.0477720419064505,-0.4642182386719515,-0.6297482426874884,-0.30424152220724804,-22.93568372885136,-31.114043611041915,-15.03169576122767,-0.04356419602641143,-0.05973502493055438,-0.02824872845031634,-2.152381226601355,-2.9513352238416197,-1.3956881645413213,0.9178492377775505,0.8978872101484222,0.9584636153094414,-0.08950354681490684,-0.1137256313459442,-0.04333642302858681,-0.7521933904220677,-0.955757299729139,-0.3642020023413038,-69.97147817879699,-88.90765578875711,-33.87925603174918,0.9100148654602024,-0.09888314790801932,-0.8310201430827763,0.8882678916382178,-0.12578649911088924,-1.057117584750104,0.9544060730810034,-0.0477720419064505,-0.4014792200727996,-77.30419935653732,-98.3365195116376,-37.34690419281856,-0.0788267526607086,-0.10136028502096496,-0.03727721773149584,-7.332721177740335,-9.42886372288046,-3.46764816106938,0.0769
04013422621,04013422621,Census Tract 4226.21; Maricopa County; Arizona,2704,2084,894,Mesa city,Arizona,0,NA,NA,04013,2704,2084,894,0.010697,0.00781773244399999,0.00314654663299999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3023
04013422660,04013422660,Census Tract 4226.60; Maricopa County; Arizona,3436,2191,774,Mesa city,Arizona,131372,0.3908204049307498,0.22730914009216896,04013,3436,2191,774,0.010697,0.00781773244399999,0.00314654663299999,0.888057585315188,0.8353150669221139,0.9152284337021986,-0.1260531034652236,-0.1971530738511647,-0.0926233967129836,-4.63306820412912,-7.246339936867583,-3.404362942858867,-134.83900477674968,-210.89464309859088,-99.07924746387854,0.87757701708031155,0.8204183141362695,0.9071569964809238,-0.13950112700875905,-0.2188903913643039,-0.10234502283423497,-5.127348857085222,-8.045292694432723,-3.761680261009839,-149.22435556126956,-234.1470516423959,-134.83900477674968,-0.4942806529561023,-0.7989527575651394,-0.35731731815097234,-14.385350784519858,-23.252408543804982,-10.39922346190257,0.9288407347890884,0.9058040818968168,0.9522179518674952,-0.07661083600846774,-0.10399149218441418,-0.050179738828484,-0.5281615136934267,-0.7169260483893897,-0.34594331816798823,-24.105956809375932,-32.721407959351424,-15.789288825558568,0.9220094635413548,0.8968869414468736,0.9475671609275615,-0.0845875661179124,-0.1149677331535038,-0.05533416652083266,-0.5831537585041029,-0.7925971720442394,-0.38147837396496825,-26.615872136198213,-36.17513336577998,-17.411153535598732,-0.05499224481067621,-0.07567112365484974,-0.03553505579698002,-2.509915326822283,-3.453725406428559,-1.621864710040165,0.9058040818968168,0.8831065018246215,0.9522179518674952,-0.10399149218441418,-0.13236625246656006,-0.050179738828484,-0.6292447106589519,-0.8009382545124556,-0.30363383173766567,-81.29776623500672,-103.48039463985214,-39.229177227088584,0.8968869414468736,-0.1149677331535038,-0.6956611205751554,0.8721966022090222,-0.1465304926289425,-0.8866450081656938,0.9475671609275615,-0.05533416652083266,-0.33482288666662774,-89.87869774872809,-114.55361862605864,-43.258770887161205,-0.06641640991620346,-0.08570675365323821,-0.03118905492896206,-8.580931513721378,-11.073223986206488,-4.029593660072619,0.6764
04013422651,04013422651,Census Tract 4226.51; Maricopa County; Arizona,2967,2131,706,Mesa city,Arizona,79952,0.40727382039918536,0.20282709680971048,04013,2967,2131,706,0.010697,0.00781773244399999,0.00314654663299999,0.8821128334062526,0.8268541855202866,0.9106531674611272,-0.13364182237155492,-0.20940308159746912,-0.0981129103058732,-4.241524024786587,-6.646034794337393,-3.1139074491748926,-142.95665739085229,-223.9984763848127,-104.95138015419256,0.8711171310635555,0.8112819658126864,0.9021698367609328,-0.1479512505730316,-0.23261707043896737,-0.10843874318643563,-4.695676642735626,-7.382800348974875,-3.441628722812351,-158.2634527379719,-248.83048024856336,-142.95665739085229,-0.4541526179490392,-0.7367655546374818,-0.32772127363745884,-15.30679534711962,-24.83200386375065,-11.045543432337675,0.924969690761095,0.9007482984091846,0.949583929917017,-0.0811165057496831,-0.11018805338417434,-0.05309280043038301,-0.5439097658089891,-0.7388429488824325,-0.3560026702499551,-25.523686804739047,-34.671184837279796,-16.705897243076258,0.9177835140691568,0.8913818674931561,0.9446842874000396,-0.0895815676251599,-0.12185364821511573,-0.05855470799900823,-0.6006704679582823,-0.8170641554528927,-0.3926263492295307,-28.18725799898087,-38.34181865100389,-18.42451193005775,-0.05676070214929318,-0.07822120657046017,-0.03662367897957563,-2.66357119424182,-3.6706338137240815,-1.718614686981494,0.9007482984091846,0.8769174772025504,0.949583929917017,-0.11018805338417434,-0.14035815911674432,-0.05309280043038301,-0.6081630282371605,-0.7746814692208029,-0.2930361077780002,-86.14207198826635,-109.72825343070863,-41.50653084674224,0.8913818674931561,-0.12185364821511573,-0.6725491686641775,0.8654751413495146,-0.15543468809597924,-0.8578936436599759,0.9446842874000396,-0.05855470799900823,-0.3231821185737918,-95.2619219071073,-121.51468040509576,-45.776504047279296,-0.06438614042701696,-0.08321217443917295,-0.0301460107957916,-9.119849918840927,-11.786426974387105,-4.269973200537054,0.0567
04013422648,04013422648,Census Tract 4226.48; Maricopa County; Arizona,3652,2928,1095,Mesa city,Arizona,52082,0.3723337167356049,0.1895580093597705,04013,3652,2928,1095,0.010697,0.00781773244399999,0.00314654663299999,0.8947847835574679,0.8449248532111547,0.9203965291685812,-0.11758717668869988,-0.1835372059414265,-0.08648823448229077,-4.593595266050511,-7.169962440621264,-3.378701280826799,-125.78300290390226,-196.3297491955439,-92.51646442570645,0.8848923671456403,0.8308065148438454,0.9127933543106068,-0.1300809421892263,-0.20364968513511897,-0.09553821275929048,-5.081669762560457,-7.955665370263621,-3.732242700408148,-139.14758385981537,-217.84406818903673,-125.78300290390226,-0.48807449650994617,-0.7857029296423574,-0.3535414195813491,-13.364580955913096,-21.51431899349281,-9.680761762906602,0.9332094835147268,0.9115185088892876,0.9551861973749848,-0.07157076483376652,-0.09707042725718172,-0.04691630045343132,-0.6593877933909261,-0.8943184410742728,-0.4322440301135137,-22.520074910892287,-30.543662604995657,-14.762432722456069,0.9267808638584196,0.9031128897790835,0.9508167897742924,-0.07900372029343673,-0.10728128378791786,-0.05172732618382017,-0.7278682701653287,-0.9883919663757224,-0.47656843614265526,-24.85888900837871,-33.756556228679045,-16.27624440377921,-0.06848047677440261,-0.09407352530144952,-0.04432440602914156,-2.338814097486428,-3.2128936236833856,-1.5138116813231406,0.9115185088892876,0.8901124767518799,0.9551861973749848,-0.09707042725718172,-0.12345352538941146,-0.04691630045343132,-0.8309633382309455,-1.0568136606854628,-0.4016230972069299,-75.88706285214114,-96.51266307629795,-36.67790842072419,0.9031128897790835,-0.10728128378791786,-0.9183725283285404,0.8798109796316571,-0.13660777502306393,-1.1694195232160034,0.9508167897742924,-0.05172732618382017,-0.4428074837827407,-83.86963729027767,-106.796303490046,-40.43903961486216,-0.08740919009759496,-0.1126058625305406,-0.0411843865758108,-7.982574438136525,-10.283640413748,-3.7611311941379735,0.0307
