geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
12071010203,12071010203,Census Tract 102.03; Lee County; Florida,5014,3206,1433,Cape Coral city,Florida,231376,0.7016818033509314,0.20976044852124315,12071,5014,3206,1433,0.012461,0.008241179256,0.003436880739,0.7822205751557084,0.6891522603605962,0.8325454126543246,-0.27841178276465117,-0.4510581442143917,-0.2011356795682725,-17.395016174302015,-28.181866572768453,-12.56684743934462,-346.9289225030318,-562.0635535055535,-250.6351703100243,0.7632418205183795,0.6639673187852975,0.8174265234937885,-0.3102007425652053,-0.5060982245774707,-0.22335154446159688,-19.381173025868584,-31.620740741969747,-13.954882548017297,-386.54114531050226,-630.6489976459862,-346.9289225030318,-1.9861568515665695,-3.438874169201295,-1.3880351086726763,-39.612222807470474,-68.58544414043268,-27.68318924357153,0.8583675218475144,0.814906338855955,0.9036648955330456,-0.16500214016443884,-0.2271348893958753,-0.10660489850070928,-1.818099123824352,-2.502717498021771,-1.174640961422481,-56.709267742493815,-78.06355265195792,-36.63883223401376,0.8453578784666342,0.7983962080808862,0.8945572767841639,-0.1829309520529528,-0.252510958692691,-0.11787140516579472,-2.0156502413627893,-2.782327261317374,-1.298782538470751,-62.87118656777259,-86.78500503173343,-40.5109962093185,-0.19755111753843743,-0.27960976329560294,-0.12414157704826968,-6.161918825278772,-8.721452379775512,-3.872163975304731,0.814906338855955,0.7732248841081537,0.9036648955330456,-0.2271348893958753,-0.29328481345166646,-0.10660489850070928,-2.6823744325049024,-3.463579228788469,-1.25896226193454,-187.1859338803142,-241.70127207177035,-87.85500781120307,0.7983962080808862,-0.252510958692691,-2.9820559110320284,0.7535922168141468,-0.3269776116154117,-3.861478030660603,0.8945572767841639,-0.11787140516579472,-1.3920153102903077,-208.09880746908783,-269.4681110021356,-97.13993791279186,-0.299681478527126,-0.3978988018721341,-0.13305304835576748,-20.91287358877362,-27.766838930365253,-9.2849301015888,0.6992
12071010418,12071010418,Census Tract 104.18; Lee County; Florida,3746,2971,1588,Cape Coral city,Florida,110453,0.5964191231682713,0.1969451807779976,12071,3746,2971,1588,0.012461,0.008241179256,0.003436880739,0.8165654690347766,0.7355319231186052,0.8596711636371497,-0.22464154794844893,-0.3595602972065009,-0.16323548154056772,-10.48602170038014,-16.783881314634318,-7.619653698696896,-279.9258328985622,-448.0480863490208,-203.4077335477014,0.8001844575270812,0.713282680890072,0.8467702574597589,-0.2497118515528731,-0.4019687100101,-0.18095787043810177,-11.656276045722516,-18.763459629502716,-8.44691542414033,-311.1659382200351,-500.8932095435856,-279.9258328985622,-1.170254345342375,-1.979578314868398,-0.8272617254434351,-31.240105321472903,-52.84512319456482,-22.08386880521717,0.8816109304241658,0.844615749488558,0.9198220188419578,-0.1342872070777005,-0.18397034462775785,-0.08716684262351654,-1.371203002148876,-1.8785161621090476,-0.8900582482443506,-46.15291154994534,-63.2284133998333,-29.95820424922082,0.8705719352431325,0.8304721883574933,0.9121666329966636,-0.14867015523619076,-0.2041342431680929,-0.09629092298057984,-1.5180668927893453,-2.0844091791373542,-0.9832239834600196,-51.0961592995404,-70.15850485147608,-33.094041853248726,-0.14686389064046934,-0.20589301702830665,-0.09316573521566908,-4.943247749595064,-6.930091451642768,-3.1358376040279055,0.844615749488558,0.808809848068237,0.9198220188419578,-0.18397034462775785,-0.23638454995126723,-0.08716684262351654,-2.407618549530333,-3.0935628698016795,-1.1407518294810266,-151.6132587865449,-194.80874494972792,-71.83575752399412,0.8304721883574933,-0.2041342431680929,-2.671503341695001,0.7918283988814835,-0.26289989271990544,-3.4405689659532013,0.9121666329966636,-0.09629092298057984,-1.2601586021297333,-168.2306890236147,-216.66051422879104,-79.35507570086482,-0.2638847921646681,-0.3470060961515218,-0.1194067726487067,-16.61743023706978,-21.851769279063085,-7.519318176870699,0.328
12071010416,12071010416,Census Tract 104.16; Lee County; Florida,2489,1953,1275,Cape Coral city,Florida,99535,0.6630231782090372,0.21271073319566064,12071,2489,1953,1275,0.012461,0.008241179256,0.003436880739,0.7946628908239212,0.7058356460570618,0.8424066719394518,-0.258395240984742,-0.4167604109911403,-0.187075118597678,-8.014239250700156,-12.926002937106531,-5.802215058532861,-321.986309791087,-519.32514813606,-233.11430528456657,0.7766068664422979,0.6816696306795942,0.8280832072140268,-0.2876527921792464,-0.4669862863085813,-0.20760811388068573,-8.921674752487172,-14.483780006977474,-6.439054715890323,-358.444144334559,-581.9116113691231,-321.986309791087,-0.9074355017870168,-1.5577770698709408,-0.636839657357462,-36.457834543471954,-62.58646323306311,-25.586165422155965,0.8668317927456634,0.8256939656098274,0.9095654957604052,-0.15362635331190425,-0.21110246852953135,-0.099426049757957,-1.031175123030062,-1.416967917710909,-0.6673703233936611,-52.79954547004925,-72.55340080445,-34.1715475367978,0.8545319687748275,0.8100298473805596,0.900984614312126,-0.17023123363510334,-0.23452241078987135,-0.10989686628940842,-1.1426308670547265,-1.5741679118592542,-0.7376528321708057,-58.50644480566957,-80.60255565075546,-37.77024230265262,-0.11145574402466464,-0.1571999941483455,-0.07028250877714459,-5.706899335620308,-8.049154846305454,-3.5986947658548174,0.8256939656098274,0.7861081136092548,0.9095654957604052,-0.21110246852953135,-0.2720896562289687,-0.099426049757957,-2.218159937783358,-2.8589830291250937,-1.0447195709334065,-173.9733284535967,-224.2339630686348,-81.93878987712992,0.8100298473805596,-0.23452241078987135,-2.464245064257463,0.767415393883345,-0.30307524187091067,-3.184564180300008,0.900984614312126,-0.10989686628940842,-1.15474171282369,-193.27412268685984,-249.7697396313732,-90.56797747636784,-0.24608512647410485,-0.3255811511749145,-0.1100221418902836,-19.30079423326313,-25.53577656273839,-8.629187599237929,0.3196
12071010207,12071010207,Census Tract 102.07; Lee County; Florida,3791,2618,1131,Cape Coral city,Florida,219833,0.698556437208174,0.1860133993573776,12071,3791,2618,1131,0.012461,0.008241179256,0.003436880739,0.7832191978520467,0.6904862551333127,0.8333383414080797,-0.2767817780034856,-0.4482547517284456,-0.1999927884157046,-13.075074596044136,-21.175398030743416,-9.447589527274728,-344.8977735701434,-558.570246128816,-249.2110136448095,0.7643137217048408,0.6653812241369861,0.8182829464900441,-0.30836326969172934,-0.5028978331888185,-0.22207117267861431,-14.566973241456171,-23.756718128496004,-10.490564694498476,-384.2514703628639,-626.6609899365868,-344.8977735701434,-1.4918986454120358,-2.581320097752588,-1.0429751672237495,-39.35369679272055,-68.09074380777072,-27.511874630011864,0.8590487362286189,0.8157732058429853,0.9041405054516845,-0.16407830874669924,-0.22583089618228216,-0.10602278514269936,-1.4763362218723333,-2.031970798568465,-0.9539669152221424,-56.39175790192258,-77.61538573599942,-36.438766815207885,0.8460958864321846,0.7993304922931037,0.8950751885247165,-0.18189913937154092,-0.2510469819951689,-0.11722457824825087,-1.6366836678953276,-2.258858929874576,-1.0547578914210494,-62.51656485467255,-86.28185370032759,-40.28868951188118,-0.16034744602299433,-0.22688813130611107,-0.10079097619890698,-6.1248069527499744,-8.666467964328154,-3.8499226966733,0.8157732058429853,0.7742585405031975,0.9041405054516845,-0.22583089618228216,-0.2915582427416184,-0.10602278514269936,-2.104918686485865,-2.717548412199781,-0.9882143914445172,-186.11128969813132,-240.2783741998038,-87.3752777581359,0.7993304922931037,-0.2510469819951689,-2.33995211691929,0.7547004431822789,-0.3250290350743509,-3.029522094382706,0.8950751885247165,-0.11722457824825087,-1.0926237704472552,-206.89231802999913,-267.8622541452437,-96.6068762552834,-0.23503343043342495,-0.3119736821829253,-0.10440937900273815,-20.781028331867812,-27.583879945439904,-9.231598497147496,0.5093
12071010106,12071010106,Census Tract 101.06; Lee County; Florida,3657,2333,787,Cape Coral city,Florida,160795,0.6925636515669563,0.1760239083873083,12071,3657,2333,787,0.012461,0.008241179256,0.003436880739,0.7851375910217501,0.6930513726763428,0.8348608688805694,-0.2736621089542225,-0.44289448001281606,-0.19780437348903276,-12.470748644604518,-20.182646978162985,-9.013920969957285,-341.01035396785664,-551.89081154397,-246.4840298046837,0.7663732690600452,0.6681007677727036,0.8199276196652047,-0.3048471813565436,-0.4967801987921271,-0.2196198493817333,-13.891848558214384,-22.638212554992784,-10.008049523084113,-379.870072688389,-619.0378057148696,-341.01035396785664,-1.4210999136098668,-2.455565576829798,-0.9941285531268278,-38.859718720532314,-67.14699417089959,-27.184264509894117,0.8603564546780754,0.8174379745959254,0.9050531719278162,-0.16230894132615745,-0.2233344071081581,-0.10490745849764992,-1.3014324943350832,-1.790749493766649,-0.8411734699975386,-55.78364742113515,-76.75737221460133,-36.055442348801485,0.847512794770406,0.8011250103348062,0.8960691059129119,-0.1799231895618795,-0.24824463984975323,-0.11598535581829228,-1.4426678127959938,-1.990485787198667,-0.929998740030078,-61.83745447046694,-85.31872212596086,-39.86278354179503,-0.14123531846091053,-0.19973629343201793,-0.08882527003253937,-6.053807049331784,-8.561349911359533,-3.807341192993543,0.8174379745959254,0.7762444088527682,0.9050531719278162,-0.2233344071081581,-0.28825404549828054,-0.10490745849764992,-1.448504100929509,-1.8695604157919672,-0.6804096413963941,-184.0538883010812,-237.55532602185104,-86.45611707705135,0.8011250103348062,-0.24824463984975323,-1.6100670895819231,0.7568299909626676,-0.3213007041753547,-2.083894701474055,0.8960691059129119,-0.11598535581829228,-0.7522587572867881,-204.58285763429777,-264.7896698188126,-95.58561083694894,-0.16156298865241436,-0.2143342856820878,-0.071849115890394,-20.528969333216565,-27.2343437969616,-9.129493759897588,0.2711
12071010803,12071010803,Census Tract 108.03; Lee County; Florida,957,786,590,Cape Coral city,Florida,71557,0.5477383335019966,0.24610933999382067,12071,957,786,590,0.012461,0.008241179256,0.003436880739,0.832954951618552,0.7580242502365573,0.8725131547080316,-0.20054511718413492,-0.3192190087427007,-0.1461145251553591,-2.3915360189065504,-3.806743181021253,-1.74244157474861,-249.89927052315053,-397.7788067942793,-182.073309796093,0.8178688463547473,0.7373121820558616,0.8606948052933294,-0.22268992694490533,-0.35627760443572354,-0.16185202216852537,-2.655616794935065,-4.248673494031988,-1.9301140121675888,-277.4939179660465,-443.9575228873551,-249.89927052315053,-0.26408077602851465,-0.4419303130107348,-0.18767243741897888,-27.59464744289599,-46.17871609307574,-19.610495028106463,0.8925721246521304,0.8587193750646543,0.9273915787547006,-0.1203576410026678,-0.16452479009770615,-0.07829316429937595,-0.32513271850868686,-0.4444453365894118,-0.2115002349434477,-41.36548581535456,-56.54520821748242,-26.90842683758876,0.8824856487698146,0.845739058759197,0.9204272391906724,-0.13316290343531414,-0.18239779710200776,-0.08645198384099918,-0.3597247041213924,-0.4927272678969935,-0.2335403742756149,-45.76650179661481,-62.68794756959205,-29.712515811146933,-0.03459198561270554,-0.04828193130758168,-0.02204013933216722,-4.401015981260247,-6.142739352109629,-2.804088973558171,0.8587193750646543,0.8258161425844927,0.9273915787547006,-0.16452479009770615,-0.21092328962034776,-0.07829316429937595,-0.7999681894780725,-1.0255714170256292,-0.380684520891264,-135.587828725097,-173.825663902649,-64.52280015106169,0.845739058759197,-0.18239779710200776,-0.8868720356721265,0.8101616934466276,-0.2343215040762461,-1.1393404559904488,0.9204272391906724,-0.08645198384099918,-0.4203551145635889,-150.3172941817163,-193.10855186278792,-71.24662958704897,-0.086903846194054,-0.1137690389648196,-0.03967059367232495,-14.729465456619325,-19.282887960138915,-6.723829435987279,0.234
12071010602,12071010602,Census Tract 106.02; Lee County; Florida,1665,1451,706,Cape Coral city,Florida,69601,0.5733757828546554,0.2346853602876769,12071,1665,1451,706,0.012461,0.008241179256,0.003436880739,0.8242829384243023,0.7460943764861998,0.8657262647654038,-0.2131756626087616,-0.3403130106804881,-0.1550995282221014,-4.42287591639335,-7.06066630943912,-3.217937543257383,-265.63819317677775,-424.0640426089562,-193.26952211756057,0.8085072928760066,0.7245579788397798,0.8533332199307759,-0.2368472230384208,-0.3801518017940814,-0.17187515573473391,-4.914003155059133,-7.887224217589821,-3.5659909654915145,-295.13532462817614,-473.70716021560486,-265.63819317677775,-0.4911272386657828,-0.8265579081507006,-0.3480534222341314,-29.497131451398364,-49.64311760664869,-20.904109443491375,0.8867825964295463,0.8512626764021498,0.9233973827564204,-0.1276721081652945,-0.1747255315204074,-0.08295736881440376,-0.6366898175276575,-0.8713411909602311,-0.4137012599857345,-43.87938094608253,-60.05108138940256,-28.511458303634353,0.8761911805456145,0.837664193024687,0.9160675581440418,-0.14130343035099746,-0.19379580543981637,-0.0916225458589602,-0.7046680483236862,-0.9664430060429048,-0.45691375228828734,-48.56430381279712,-66.60530710150962,-31.489576312080448,-0.06797823079602872,-0.09510181508267355,-0.04321249230255286,-4.684922866714591,-6.554225712107069,-2.9781180084460965,0.8512626764021498,0.816815778481522,0.9233973827564204,-0.1747255315204074,-0.224266262166264,-0.08295736881440376,-1.0166007646568465,-1.3048422381152025,-0.48266858218595754,-143.99444258595557,-184.82184675852727,-68.36665470056056,0.837664193024687,-0.19379580543981637,-1.1275568160134413,0.8004542784865428,-0.24929059270036985,-1.4504406136624326,0.9160675581440418,-0.0916225458589602,-0.5330849439662287,-159.71059716904267,-205.4448461278233,-75.50778243147715,-0.1109560513565948,-0.1455983755472301,-0.0504163617802712,-15.716154583087082,-20.62299936929605,-7.141127730916601,0.9241
12071010307,12071010307,Census Tract 103.07; Lee County; Florida,5526,3757,1632,Cape Coral city,Florida,137092,0.6191231800759612,0.2175223691314968,12071,5526,3757,1632,0.012461,0.008241179256,0.003436880739,0.8090323006167364,0.7252712447072573,0.8537466375776289,-0.23604459208573791,-0.37879449557335193,-0.17130768776711305,-16.25390928410358,-26.08359426481029,-11.796159327491893,-294.135166198038,-472.01582093395393,-213.46650972659955,0.7920679624014109,0.7023450160665281,0.8403532942515268,-0.26251792455810957,-0.4238016603299669,-0.1899757005066124,-18.076849350858204,-29.182764496268113,-13.08162908937527,-327.12358579186036,-528.0992489371718,-294.135166198038,-1.8229400667546225,-3.0991702314578227,-1.2854697618833768,-32.988419593822336,-56.083428003217925,-23.262210674690134,0.8765449093762602,0.8381174525866673,0.9163128372429512,-0.14084285848124897,-0.19315019262958608,-0.09133033976567556,-1.818613824027432,-2.4940250021728447,-1.1792903115005493,-48.406010753990735,-66.3834176782764,-31.389148562697613,0.8650706728734766,0.8234464711523329,0.9083393906549948,-0.15597491783917852,-0.21440802169034456,-0.10091008965152276,-2.0140044361683955,-2.76851376373014,-1.302987499707265,-53.60671908885801,-73.68948000346393,-34.68159434940817,-0.19539061214096365,-0.2744887615572953,-0.12369718820671571,-5.2007083348672785,-7.306062325187525,-3.292445786710559,0.8381174525866673,0.8009985430531844,0.9163128372429512,-0.19315019262958608,-0.24844172148962615,-0.09133033976567556,-2.5977937088114813,-3.3414429067112663,-1.2283569528811582,-159.1785360791349,-204.74527614652368,-75.26697015203175,0.8234464711523329,-0.21440802169034456,-2.8837031031807276,0.7834204406161274,-0.276453802014078,-3.718194312270025,0.9083393906549948,-0.10091008965152276,-1.3572008004933986,-176.69749406744654,-227.83053384007505,-83.16181375572296,-0.28590939436924634,-0.37675140555875863,-0.12884384761224044,-17.518957988311666,-23.085257693551387,-7.8948436036912035,0.7457
12071010411,12071010411,Census Tract 104.11; Lee County; Florida,3192,2538,956,Cape Coral city,Florida,117746,0.6303905832015354,0.2032694795194756,12071,3192,2538,956,0.012461,0.008241179256,0.003436880739,0.8053196377780242,0.7202324191849239,0.8508216339404401,-0.24174297147294568,-0.3884406940910614,-0.1753344768264353,-9.615450462737808,-15.450427489107344,-6.974018587023599,-301.2359167524376,-484.0359489068717,-218.484291573421,0.7880705865534626,0.6969793845218795,0.8371868086548886,-0.26892186697816833,-0.4347626661669333,-0.19447653697112596,-10.69650494705254,-17.29290764527485,-7.735403830013464,-335.1035384414956,-541.7577583106155,-301.2359167524376,-1.0810544843147305,-1.8424801561675055,-0.7613852429898653,-33.86762168905797,-57.721809403743904,-23.85292114629904,0.8740416003129512,0.8349111121255003,0.9145763000836266,-0.14411030280703951,-0.1977322920690559,-0.093402485838046,-1.2570458271347704,-1.7247798928575893,-0.8147315131517084,-49.528992400897174,-67.95823060904607,-32.10132045515006,0.8623534672686034,0.8199818988207942,0.9064460011498596,-0.1596173007425537,-0.21953911597083745,-0.10320967683840362,-1.3923103201413969,-1.914996528690362,-0.900277711326174,-54.85856265332532,-75.45297591372585,-35.471935040432385,-0.13526449300662624,-0.1902166358327726,-0.08554619817446552,-5.329570252428142,-7.494745304679771,-3.3706145852823295,0.8349111121255003,0.79715006065588,0.9145763000836266,-0.1977322920690559,-0.25446895052258905,-0.093402485838046,-1.55784718404064,-2.004850769943766,-0.7358777770824556,-162.95472636408368,-209.71242363428513,-76.97466287473385,0.8199818988207942,-0.21953911597083745,-1.729653715248988,0.7792810075144719,-0.2832341483459407,-2.23147931887006,0.9064460011498596,-0.10320967683840362,-0.8131443920768345,-180.92612084194437,-233.41833879393937,-85.05694477791155,-0.1718065312083481,-0.22662854892629403,-0.07726661499437892,-17.97139447786068,-23.705915159654182,-8.08228190317771,0.4823
12071020103,12071020103,Census Tract 201.03; Lee County; Florida,690,636,534,Cape Coral city,Florida,169126,0.7201755331204975,0.17861127984021813,12071,690,636,534,0.012461,0.008241179256,0.003436880739,0.7763374289834033,0.681311191346052,0.8278688321674769,-0.2880996879275522,-0.4677580710575462,-0.2079208216860388,-2.477107045773007,-4.021825993179176,-1.7877219377305131,-359.00102112652274,-582.8733323448081,-259.0901359029729,0.7569297545554086,0.6556620920269012,0.812377124464785,-0.3211265563042393,-0.5251758675091605,-0.23095538991059816,-2.761075032493917,-4.515509374671837,-1.9857752284364143,-400.15580181071255,-654.4216485031648,-359.00102112652274,-0.28396798672090995,-0.49368338149266133,-0.1980532907059014,-41.154780684189845,-71.54831615835671,-28.70337546462339,0.8543476130226635,0.809795646199258,0.900855684751771,-0.1704837524646689,-0.2348794472944602,-0.11005571361360504,-0.3726529588006562,-0.5134126843781363,-0.2405659584453775,-58.59323251582644,-80.7252648393296,-37.82483623354992,0.8410040194066517,0.79289007433079,0.8914987648442546,-0.189054959220675,-0.26120887670843107,-0.1217065456896069,-0.4132469453012679,-0.5709650295887607,-0.2660330013913701,-64.97593479579685,-89.77437572150325,-41.82908826908335,-0.04059398650061174,-0.05755234521062447,-0.02546704294599255,-6.382702279970401,-9.04911088217366,-4.004252035533421,0.809795646199258,0.7671366092489849,0.900855684751771,-0.2348794472944602,-0.30354879162784953,-0.11005571361360504,-1.0336550577278565,-1.3358544025350585,-0.4843320533956078,-193.56836287038507,-250.16000047473003,-90.69888640367188,0.79289007433079,-0.26120887670843107,-1.1495253400975198,0.7470677338743109,-0.33856671176785585,-1.4899609055976677,0.8914987648442546,-0.1217065456896069,-0.5356049154566269,-215.2669176212584,-279.01889617933847,-100.30054596566046,-0.11587028236966355,-0.1541065030626092,-0.05127286206101911,-21.698554750873328,-28.858895704608464,-9.601659561988598,0.2264
12071010421,12071010421,Census Tract 104.21; Lee County; Florida,4959,3668,1903,Cape Coral city,Florida,144614,0.6407046464501638,0.19079028269957177,12071,4959,3668,1903,0.012461,0.008241179256,0.003436880739,0.8019360430270384,0.7156506265077758,0.8481529022883395,-0.24698223592162905,-0.3973298743267916,-0.17903269245671732,-15.262044737782505,-24.55264158980732,-11.063163921906945,-307.764564181942,-495.1127563986151,-223.0926380703155,0.7844291185672686,0.6921036847013968,0.8342987017619822,-0.2748124417238154,-0.444870215409188,-0.19861147798512443,-16.98178723031318,-27.490354133146692,-12.2730173331491,-342.4437836320464,-554.3527754213892,-307.764564181942,-1.7197424925306777,-2.93771254333937,-1.2098534112421555,-34.679219450104405,-59.24001902277413,-24.39712464694809,0.8717563652293151,0.8319868161273914,0.9129895773200034,-0.14710949054779826,-0.2019421228988355,-0.09530275573945504,-1.854532637188162,-2.5457790407973,-1.2014321460474668,-50.55977745878304,-69.40509925837786,-32.754420557455475,0.8598736484260796,0.8168232459815675,0.9047162722679002,-0.16296156049253158,-0.22425506977131995,-0.10531890566447648,-2.0543714169298775,-2.8270667269471126,-1.3277005252373644,-56.00794484541651,-77.07379299201506,-36.19685183307973,-0.1998387797417156,-0.2812876861498128,-0.12626837918989753,-5.448167386633467,-7.668693733637208,-3.442431275624251,0.8319868161273914,0.7936434121277244,0.9129895773200034,-0.2019421228988355,-0.26001171901502,-0.09530275573945504,-3.1670510685807627,-4.077754461175809,-1.4946296991962194,-166.4241234146486,-214.28031850634835,-78.54070936396319,0.8168232459815675,-0.22425506977131995,-3.5169842138864027,0.775510990826249,-0.28947237605823584,-4.53978488865898,0.9047162722679002,-0.10531890566447648,-1.6517126191326188,-184.81262290522344,-238.5593740756164,-86.79519806267045,-0.34993314530564,-0.462030427483171,-0.15708291993639945,-18.38849949057488,-24.27905556926805,-8.254488698707275,0.2698
