geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
27053107600,27053107600,Census Tract 1076; Hennepin County; Minnesota,2419,2037,865,St. Paul city,Minnesota,75643,0.6772484915433221,0.20646068637198975,27053,2419,2037,865,0.009929,0.007945813797,0.00334071359299999,0.7900616112910253,0.6996501639849754,0.8387644894934192,-0.2657240722858541,-0.4292857366091813,-0.19222977668494373,-6.382227464903787,-10.310692572599203,-4.617023026092927,-263.8374313726245,-426.2378078792561,-190.86494527048063,0.7716618968440144,0.6751014399057257,0.8241457799417364,-0.29590433853201176,-0.48125887591003313,-0.21337756539952885,-7.10710467485083,-11.55899647758503,-5.124955923534799,-293.80341772843445,-477.8419378910719,-263.8374313726245,-0.7248772099470431,-1.2483039049858249,-0.5079328974418722,-29.965986355809967,-51.604130011815826,-20.997639414711543,0.8637075109791381,0.8217079083992672,0.9073897697740576,-0.15779935601851433,-0.21697745607445315,-0.10206223754209018,-1.0738299180192492,-1.476538876629624,-0.6945369546363988,-52.71624536176972,-72.4859536882486,-34.096070428885554,0.8511446348994092,0.8057294050241082,0.8986141779604586,-0.17488844903332207,-0.24111146219130364,-0.11282464101518176,-1.1901217699895528,-1.6407715988904992,-0.7677754717685222,-58.42522189443068,-80.54843391705936,-37.691481186476295,-0.11629185197030356,-0.16423272226087504,-0.07323851713212348,-5.70897653266095,-8.062480228810754,-3.5954107575907455,0.8217079083992672,0.7813426652626109,0.9073897697740576,-0.21697745607445315,-0.2798481952395342,-0.10206223754209018,-1.491314031458914,-1.923432727941862,-0.7014869179606562,-172.40624641143512,-222.36216507998404,-81.09675352146314,0.8057294050241082,-0.24111146219130364,-1.657190167203746,0.7622996030063195,-0.31182017681269864,-2.143180279582642,0.8986141779604586,-0.11282464101518176,-0.7754583046753027,-191.58267828945043,-247.76650631013203,-89.64835892200031,-0.16587613574483218,-0.21974755164078008,-0.07397138671464654,-19.17643187801528,-25.40434123014799,-8.551605400537172,0.0657
27123031000,27123031000,Census Tract 310; Ramsey County; Minnesota,2891,1788,664,St. Paul city,Minnesota,56630,0.6520508297012717,0.18506747866657333,27123,2891,1788,664,0.011923,0.007945813797,0.00334071359299999,0.7982302738399027,0.7106439987213994,0.8452267810938024,-0.2527713277391497,-0.407174340174847,-0.18311442842109965,-8.712874234972551,-14.035052351002488,-6.311843197217253,-301.37925406338815,-485.47396579046995,-218.3273330064771,0.7804426850193087,0.686779466629386,0.8311330917525218,-0.28132407311276075,-0.4560714881413897,-0.20317673537869432,-9.697070036484485,-15.720507360840395,-7.003378740225218,-335.4226923723446,-543.7740353109788,-301.37925406338815,-0.984195801511932,-1.6854550098379093,-0.6915355430079648,-34.04343830895649,-58.30006952050879,-23.920288585540117,0.8692493495645423,0.8287817179252673,0.9112472521469582,-0.15041788699750927,-0.2065903221216708,-0.09739699916124243,-0.8984755065445758,-1.234004465961876,-0.5817713564794854,-50.250307972291715,-69.01590972941142,-32.537547901537216,0.8571539124919861,0.8133625622396148,0.9028172633119282,-0.16665161930220948,-0.22946401325194293,-0.10764386176175124,-0.995442769858254,-1.370633504137075,-0.6429778741966055,-55.67353298983524,-76.65735481750978,-35.96073121904952,-0.09696726331367822,-0.1366290381751989,-0.06120651771712004,-5.423225017543524,-7.641445088098371,-3.423183317512307,0.8287817179252673,0.7898036718597626,0.9112472521469582,-0.2065903221216708,-0.2661374410241534,-0.09739699916124243,-1.0899747459424547,-1.4041465577232266,-0.5138685506952736,-164.15282318410462,-211.4678550787992,-77.38984197217975,0.8133625622396148,-0.22946401325194293,-1.2106568060817533,0.7713847758494997,-0.29636989386876883,-1.5636535945006784,0.9028172633119282,-0.10764386176175124,-0.5679312064140587,-182.32783224122792,-235.48999917178892,-85.53180819488836,-0.1206820601392986,-0.15950703677745182,-0.0540626557187851,-18.175009057123283,-24.02214409298973,-8.1419662227086,0.8814
27123032500,27123032500,Census Tract 325; Ramsey County; Minnesota,2843,1662,370,St. Paul city,Minnesota,52735,0.6042312142288808,0.20218869901844025,27123,2843,1662,370,0.011923,0.007945813797,0.00334071359299999,0.8139655476399755,0.7319851153296107,0.8576280070327239,-0.22855322672982373,-0.36614799817302696,-0.16600669730908602,-7.747289067698014,-12.411351281242933,-5.6271437932821495,-272.50401222996885,-436.5582582217001,-197.92978520162328,0.7973823629260862,0.7095001227134501,0.844556775798353,-0.2541034847201599,-0.4094430261344377,-0.18405301888047465,-8.6133684367694,-13.878926697308362,-6.238861561710129,-302.96758483184664,-488.17892006009015,-272.50401222996885,-0.8660793690713868,-1.4675754160654293,-0.6117177684279795,-30.463572601877836,-51.620661838390056,-21.51662920956664,0.8798645007488785,0.8423741268906827,0.91861305347093,-0.1365386365160439,-0.18712098113831657,-0.08859763773392278,-0.758098828062822,-1.0389454598827377,-0.49191765092314393,-45.61364789788339,-62.51176052242705,-29.59793326854055,0.8686751051089834,0.8280480164291928,0.9108479258076826,-0.15117837971716788,-0.20765943539399928,-0.09787811078700429,-0.8393825763636823,-1.152980420965899,-0.543445305841413,-50.50436680888581,-69.37306985354387,-32.69827351633051,-0.08128374830086027,-0.11403496108316125,-0.0515276549182691,-4.8907189110024225,-6.861309331116801,-3.100340247789958,0.8423741268906827,0.806113548319016,0.91861305347093,-0.18712098113831657,-0.2405200260996658,-0.08859763773392278,-0.5501265352456945,-0.7071171164798841,-0.2604727229464902,-148.68284736370123,-191.11273418375245,-70.398033228781145,0.8280480164291928,-0.20765943539399928,-0.6105085865274218,0.7889252251114003,-0.2675472505759907,-0.7865758349411656,0.9108479258076826,-0.09787811078700429,-0.28775685995279904,-165.00232068308696,-212.5880634976123,-77.77212431156731,-0.06038205128172724,-0.0794587184612815,-0.02728413700630883,-16.319473319385743,-21.475329313859863,-7.37409108278617,0.8713
27123033400,27123033400,Census Tract 334; Ramsey County; Minnesota,2327,1006,289,St. Paul city,Minnesota,85156,0.5780390913418572,0.22479424774105344,27123,2327,1006,289,0.011923,0.007945813797,0.00334071359299999,0.8227152802600668,0.7439446681371784,0.8644974541973145,-0.21548733078580004,-0.3441859896704128,-0.15674140524624167,-5.978657420419811,-9.549378674113452,-4.348762231845436,-256.9255444959094,-410.3729554840332,-186.88277747509397,0.8068160329394127,0.7222618884541344,0.8520009726386486,-0.23943992084140236,-0.3845393422880331,-0.17370758028948974,-6.6432177439988775,-10.668975219239208,-4.81948572147502,-285.48421761920406,-458.4862578100218,-256.9255444959094,-0.6645603235790665,-1.1195965451257557,-0.4707234896295845,-28.55867312329465,-48.11330232598864,-20.228770504064652,0.8857335573804652,0.8499133212251003,0.9226727121584772,-0.1290076927394226,-0.17659057109324808,-0.08380792758097871,-0.43356361925257336,-0.5934781523743278,-0.2816581525681608,-43.09777527361564,-58.99385212468467,-27.99782828709352,0.875051087338644,0.8362037289252378,0.91527677911361,-0.14279042043290538,-0.1958808187632547,-0.09256568375791133,-0.4798840298813343,-0.6583080041334766,-0.311090850603246,-47.702189849039186,-65.43817138503744,-30.923543797539363,-0.04632041062876091,-0.0648298517591488,-0.02943269803508519,-4.60441457542355,-6.444319260352763,-2.925715510445844,0.8499133212251003,0.815189238125899,0.9226727121584772,-0.17659057109324808,-0.22670903053010924,-0.08380792758097871,-0.4055120251055107,-0.5206010576375939,-0.19245151212129516,-140.315579621284,-180.13877426906365,-66.59221872709175,0.8362037289252378,-0.1958808187632547,-0.44980899605375374,0.7987010978272473,-0.25203283521251907,-0.5787531280259832,0.91527677911361,-0.09256568375791133,-0.2125622995812493,-155.6432512296726,-200.26059793286615,-73.55096871323505,-0.04429697094824297,-0.05815207038838932,-0.02011078745995415,-15.327671608388572,-20.121823663802537,-6.958749986143304,0.7711
27123032700,27123032700,Census Tract 327; Ramsey County; Minnesota,1767,1073,290,St. Paul city,Minnesota,46559,0.539252202477235,0.2347233354791439,27123,1767,1073,290,0.011923,0.007945813797,0.00334071359299999,0.8358454845901306,0.7620149731972568,0.874771351159134,-0.1963933746562799,-0.31231017128732713,-0.14315586430091615,-4.1376040300494,-6.5797322623813015,-3.0159993028957075,-234.15982060268252,-372.3674172258801,-170.6847370059823,0.8209913865251752,0.7415831538164656,0.8631454917901269,-0.2180395755824846,-0.3484664462152683,-0.15855323292721218,-4.593644914036826,-7.341470529342945,-3.340390156669763,-259.9685859669964,-415.4765438224643,-234.15982060268252,-0.45604088398742615,-0.7617382669616433,-0.32439085377405563,-25.80876536431387,-43.109126596584225,-18.358282613132747,0.894496803291065,0.8612019421265746,0.9287174809205304,-0.11794698015774216,-0.16116784122744768,-0.07675371740479739,-0.4227910566965083,-0.5777199365928393,-0.2751302767019539,-39.40270798662705,-53.841559794300025,-25.641218704748734,0.8845790960804188,0.8484289921064393,0.9218748823128964,-0.13048115700564555,-0.17864901989882193,-0.084745901191163,-0.4677208876023835,-0.6403827194202267,-0.3037789442967589,-43.590017483912725,-59.68152091521218,-28.31117840603531,-0.04492983090587527,-0.06266278282738746,-0.028648667594805,-4.187309497285672,-5.839961120912158,-2.669959701286579,0.8612019421265746,0.8288171036053583,0.9287174809205304,-0.16116784122744768,-0.2065388077176439,-0.07675371740479739,-0.37137680037275017,-0.47592448331384773,-0.17686251655056265,-128.06096564577592,-164.11189079787852,-60.98707467260781,0.8484289921064393,-0.17864901989882193,-0.4116584356684502,0.8134007623990405,-0.229406273299529,-0.5286176641355076,0.9218748823128964,-0.084745901191163,-0.19527879376794308,-141.95118471325867,-182.28195315017504,-67.33751509239417,-0.0402816352957,-0.05269318082165986,-0.01841627721738042,-13.89021906748276,-18.170062352296505,-6.350440419786354,0.9694
27123034500,27123034500,Census Tract 345; Ramsey County; Minnesota,2126,1363,484,St. Paul city,Minnesota,57068,0.6621331300608265,0.21490123438930755,27123,2126,1363,484,0.011923,0.007945813797,0.00334071359299999,0.7949516724473398,0.7062244715460477,0.842635080705917,-0.25793810449055105,-0.4159803862514517,-0.18675334423799525,-6.538291938181626,-10.5443947928569,-4.733879422241286,-307.539601984084,-495.9734145276059,-222.66601233496172,0.7769173141247959,0.6820827064586709,0.8283301882002574,-0.28713826017188027,-0.4660978654508558,-0.20724804461459476,-7.278466186038352,-11.814787590612196,-5.253385194808043,-342.3549476029328,-555.7284849770554,-307.539601984084,-0.7401742478567259,-1.2703927977552958,-0.5195057725667569,-34.81534561884882,-59.75507044944947,-24.43583125901961,0.8670276477821702,0.8259440066719602,0.9097017996794426,-0.15336575777943057,-0.21073582703187957,-0.09926131876662914,-0.6983345107468487,-0.9595629611062882,-0.4519757570439745,-51.23510717144892,-70.40080418974969,-33.160363686278394,0.8547443547419254,0.8102996787928103,0.9011331352488716,-0.16994045582428194,-0.23411131236014615,-0.1097139378010149,-0.7738056186233192,-1.0660007236586184,-0.49957063549069375,-56.77223907727948,-78.20988434766093,-36.6522843353407,-0.07547110787647049,-0.10643776255233016,-0.04759487844671922,-5.537131905830557,-7.809080157911238,-3.4919206490623056,0.8259440066719602,0.7864072420741501,0.9097017996794426,-0.21073582703187957,-0.27160578705061095,-0.09926131876662914,-0.8104423387048233,-1.0445344408844257,-0.3817365867835196,-167.44676419521144,-215.8129010091788,-78.87119561642967,0.8102996787928103,-0.23411131236014615,-0.9003391695599526,0.7677366170928748,-0.3025300314404931,-1.1634620921481296,0.9011331352488716,-0.1097139378010149,-0.42193499602001194,-186.0204895785026,-240.3847297826714,-87.17665207025041,-0.08989683085512934,-0.11892765126370408,-0.04019840923649231,-18.573725383291187,-24.57182877349258,-8.305456453820726,0.8719
27123030601,27123030601,Census Tract 306.01; Ramsey County; Minnesota,3168,1640,679,St. Paul city,Minnesota,68656,0.6703790353189618,0.20356158214693756,27123,3168,1640,679,0.011923,0.007945813797,0.00334071359299999,0.7922802501628321,0.7026303588239421,0.8405213425128883,-0.2621796388266357,-0.42322344521775745,-0.18973778465912808,-9.903066097256568,-15.986023059065628,-7.166787745362804,-312.5967833729977,-504.60931373313224,-226.2243606490784,0.774045897235334,0.6782653038892243,0.8260448350614904,-0.29191305524867206,-0.4743493353794226,-0.21058804262792885,-11.026158605288376,-17.917153454309016,-7.954345023776857,-348.04793577299165,-565.5667125728855,-312.5967833729977,-1.1230925080318084,-1.931130395243388,-0.7875572784140532,-35.45115239999395,-60.9573988397534,-24.859762576201177,0.8652148297032521,0.8236303818271212,0.9084397853051543,-0.15578231633289957,-0.21413685321032572,-0.10078842447888774,-0.8534955268246432,-1.1732066299024484,-0.5521966258648257,-52.04241017223435,-71.53698962819807,-33.67052596736742,0.85277871116969,0.8078032464379556,0.8997580907465957,-0.17263715299409632,-0.23792520568535036,-0.11140984480642584,-0.9458393052092848,-1.303537548750608,-0.6103889480197094,-57.67312836641982,-79.48399687503706,-37.21883829388472,-0.0923437783846417,-0.13033091884815962,-0.05819232215488379,-5.630718194185469,-7.947007246839001,-3.5483123265173044,0.8236303818271212,0.7836403001366202,0.9084397853051543,-0.21413685321032572,-0.27609567785839945,-0.10078842447888774,-1.1553127710629587,-1.4895934907187305,-0.5437744705317201,-170.149156268477,-219.3804846419338,-80.08460538022388,0.8078032464379556,-0.23792520568535036,-1.283655870370341,0.7647657652665716,-0.3075899123850473,-1.6595114231904011,0.8997580907465957,-0.11140984480642584,-0.6010792378674941,-189.050938198872,-244.405216964713,-88.52418819845273,-0.12834309930738197,-0.16991793247167086,-0.05730476733577394,-18.90178193039499,-25.02473232277921,-8.439582818228857,0.9539
27123034602,27123034602,Census Tract 346.02; Ramsey County; Minnesota,2981,1619,324,St. Paul city,Minnesota,72167,0.6819632359215864,0.18632913114598515,27123,2981,1619,324,0.011923,0.007945813797,0.00334071359299999,0.788542479453746,0.6976120718422688,0.837560826290151,-0.26816249733652753,-0.4334614327403749,-0.193943136559226,-9.531155639571129,-15.406286935101765,-6.893216755260237,-319.73014557434175,-516.816066256349,-231.23840171956513,0.7700299257296995,0.6729385158114577,0.8228449201308458,-0.2986508271771063,-0.4860198614046601,-0.21529582979133385,-10.614785974861691,-17.274342941240256,-7.65214406441278,-356.08138124326376,-579.4814807527762,-319.73014557434175,-1.0836303352905663,-1.8680560061384937,-0.7589273091525426,-36.35123566892205,-62.665414496427154,-25.458816140642153,0.8626745061290196,0.8203910461095204,0.9066698103751611,-0.1591857564994998,-0.21893090464873527,-0.1029373522277319,-0.8609745192702346,-1.1841130420731754,-0.556748538927858,-53.179402054986696,-73.13854490878168,-34.388421181461275,0.8500249244421423,0.8043091380935901,0.8978299129404442,-0.17643609174905542,-0.2433030443620786,-0.11379670646630932,-0.9542749465530188,-1.3159325699927396,-0.6154826084874907,-58.94224500018646,-81.2805787518678,-38.016220413063046,-0.09330042728278408,-0.1318195279195642,-0.05873406955963267,-5.7628429451997585,-8.142033843086114,-3.627799231601771,0.8203910461095204,0.7797696189936544,0.9066698103751611,-0.21893090464873527,-0.28243006093334067,-0.1029373522277319,-0.5636252816902264,-0.7271002826519473,-0.26500641487271454,-173.95842027476124,-224.41366748516893,-81.79210335577609,0.8043091380935901,-0.2433030443620786,-0.6263699825051555,0.7606115946583839,-0.3147314700732815,-0.8102584409517128,0.8978299129404442,-0.11379670646630932,-0.29296321065498376,-193.32406867443072,-250.07976572583732,-90.420744029315955,-0.06274470081492911,-0.08315815829976558,-0.02795679578226922,-19.36564839966948,-25.66609824066839,-8.628640673539886,0.886
27123042503,27123042503,Census Tract 425.03; Ramsey County; Minnesota,1834,1465,785,St. Paul city,Minnesota,151483,0.759572314796857,0.19465800422836743,27123,1834,1465,785,0.011923,0.007945813797,0.00334071359299999,0.7639518050478528,0.6649037187830923,0.8179938179914034,-0.30898309735306084,-0.5039771500003059,-0.22250312655848145,-6.756466031504159,-11.020358472037987,-4.865427362772723,-368.40054697405446,-600.8919559453648,-265.29047779567736,0.7436568068973386,0.6383143943810313,0.8017242566582681,-0.34470630904619615,-0.5666261152855443,-0.24731164324275423,-7.5376177139378,-12.390289738455865,-5.40790978885108,-410.99333227577966,-675.5883172549545,-368.40054697405446,-0.7811516824336406,-1.3699312664178755,-0.5424824260783563,-42.59278530172523,-74.69636130958972,-29.57919444265847,0.8458467492618421,0.7990150650576714,0.8949003685841738,-0.18224725799642208,-0.2515408579033762,-0.11744282950973065,-0.8919445818907908,-1.2310775360772914,-0.5747822854222842,-60.883589207562515,-84.03259631926903,-39.234285694353865,0.831803709936612,0.7812867599103646,0.885018105834303,-0.20220670821028852,-0.27993977539658804,-0.12992038626972957,-0.989629033615857,-1.3700659678820168,-0.6358492626139759,-67.55146987138956,-93.51986128887486,-43.40268004190962,-0.09768445172506612,-0.13898843180472542,-0.06106697719169174,-6.66788066382704,-9.487264969605832,-4.16839434755575,0.7990150650576714,0.7543262535034929,0.8949003685841738,-0.2515408579033762,-0.3256863265138491,-0.11744282950973065,-1.5689770031017225,-2.0314566817657713,-0.7325454012355521,-199.86968192378632,-258.7842906707989,-93.31788550771364,0.7812867599103646,-0.27993977539658804,-1.7461142237951028,0.733356499652994,-0.3635932871300317,-2.2678999775388946,0.885018105834303,-0.12992038626972957,-0.8103737102208655,-222.43493296752905,-288.9044557374388,-103.23231977335864,-0.17713722069338034,-0.23644329577312329,-0.07782830898531334,-22.565251043742716,-30.12016506663991,-9.914434265645012,0.1498
27053109000,27053109000,Census Tract 1090; Hennepin County; Minnesota,1253,1017,446,St. Paul city,Minnesota,52736,0.6832285348160457,0.196079198332192,27053,1253,1017,446,0.009929,0.007945813797,0.00334071359299999,0.788135286469544,0.6970661189563501,0.837238092529455,-0.2688176981384821,-0.43458414174139415,-0.19440337094411267,-3.344370928795687,-5.406677387017929,-2.4185795308404305,-266.9090924816989,-431.49859433503025,-193.02310701040943,0.7695925403457985,0.6723592308533957,0.8224961571738275,-0.29938889422014575,-0.4873001724550498,-0.2158111515512632,-3.7247083103819194,-6.062519475619656,-2.684914521461873,-297.2632330711827,-483.840341230619,-266.9090924816989,-0.3803373815862323,-0.6558420886017267,-0.2663349906214423,-30.354140589483823,-52.34174689558872,-21.255785364839767,0.8623974883091061,0.8200379982764281,0.9064766916642408,-0.15955810813026566,-0.21945568632407225,-0.10317232554987772,-0.5420995856961127,-0.7456019504681599,-0.3505285666224579,-53.30379407041423,-73.31385943639724,-34.466919038589765,0.8497246778304776,0.803928406443947,0.8976195557658424,-0.17685178045341268,-0.24389185900688015,-0.11405772476381416,-0.6008549364043859,-0.8286239870326315,-0.3875117727607138,-59.08111469069675,-81.47728486063241,-38.103419150512664,-0.0587553507082732,-0.0830220365644716,-0.0369832061382559,-5.777320620282517,-8.163425424235163,-3.636500111922901,0.8200379982764281,0.7793479988532995,0.9064766916642408,-0.21945568632407225,-0.28312384386866807,-0.10317232554987772,-0.7777142930198673,-1.003343607812616,-0.3656254871689661,-174.37540202239177,-224.9649344871337,-81.9788087822794,0.803928406443947,-0.24389185900688015,-0.8643120070296898,0.760159219319438,-0.3155138747054713,-1.1181284664557298,0.8976195557658424,-0.11405772476381416,-0.4042015236149034,-193.79192982728472,-250.7014498779663,-90.62814430827432,-0.08659771400982252,-0.11478485864311372,-0.03857603644593738,-19.41652780489294,-25.736515390832675,-8.649335525994928,0.0154
27123030400,27123030400,Census Tract 304; Ramsey County; Minnesota,3783,2134,899,St. Paul city,Minnesota,85501,0.6901743211985579,0.1845171196518424,27123,3783,2134,899,0.011923,0.007945813797,0.00334071359299999,0.7859037660814168,0.6940767430105456,0.8354686776347849,-0.2724204198512565,-0.44076286962522,-0.19693296322131892,-12.287443763048747,-19.88048097245049,-8.882603998605292,-324.8068665886531,-525.5215694541498,-234.80317204877852,0.7671959595114216,0.6691881496430895,0.820584274055088,-0.30344794912219886,-0.4943480402833621,-0.21864387561108353,-13.686931441803583,-22.29742450170132,-9.86186838407012,-361.80098973839773,-589.4111684298525,-324.8068665886531,-1.3994876787548378,-2.4169435292508332,-0.9792643854648267,-36.99412314974459,-63.8895989757027,-25.885920842316335,0.8608783984007249,0.818102666666303,0.9054173099055488,-0.16160424266391718,-0.22234047234549756,-0.10446309017917714,-1.1520900279882489,-1.5850836388012668,-0.7447260202107242,-53.98734901538187,-74.27758382386443,-34.89812653283619,0.8480783791113916,0.8018416095303968,0.8964656895634907,-0.179136297576399,-0.24712909396864025,-0.11549165979450086,-1.2770774992443028,-1.761803775035494,-0.8233496062462264,-59.84430643131691,-82.55875234468107,-38.582455775362064,-0.12498747125605392,-0.17672013623422722,-0.07862358603550224,-5.856957415935048,-8.281168520816646,-3.684329242525878,0.818102666666303,0.7770375962910674,0.9054173099055488,-0.22234047234549756,-0.28693901655874837,-0.10446309017917714,-1.588241717522122,-2.0496876330064326,-0.7462097926374419,-176.66759927943514,-227.99639966701145,-83.0044263222961,0.8018416095303968,-0.24712909396864025,-1.7653139462820218,0.7576807186016273,-0.3198171412433409,-2.284545500614184,0.8964656895634907,-0.11549165979450086,-0.8249900262263841,-196.36417644961307,-254.1207453408436,-91.76752238335752,-0.1770722287598998,-0.2348578676077513,-0.07878023358894215,-19.696577170177957,-26.124345673832178,-8.763096061061418,0.8475
