geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
36055013902,36055013902,Census Tract 139.02; Monroe County; New York,2845,1721,700,Rochester city,New York,61655,0.6612946279332442,0.23479675159964425,36055,2845,1721,700,0.01269,0.00825263846,0.002817342485,0.7952238256481893,0.7065909746385007,0.842850318119557,-0.25750759439947246,-0.4152459285396482,-0.18645028482762172,-9.296809555983875,-14.991644520363348,-6.731423955645869,-326.7771372929306,-526.9470833168136,-236.60541144625196,0.7772098961472749,0.6824720884591785,0.8285629329804344,-0.2866537147263861,-0.46526138857591415,-0.20690892652280152,-10.349073395452455,-16.797355174825658,-7.47004331969903,-363.763563987784,-590.4167021028351,-326.7771372929306,-1.05226383946858,-1.8057106544623096,-0.7386193640531618,-36.98642669485343,-63.46961878602143,-25.962016311183188,0.8672122006022253,0.8261796361876349,0.9098302284139576,-0.15312030816167232,-0.21039052065535116,-0.09910615054330411,-0.7424262334897954,-1.02010924408006,-0.4805306817032357,-43.13923495001716,-59.27421522835908,-27.921596845045652,0.8549444889317357,0.8105539654839523,0.9012730771788944,-0.16966658414222083,-0.23372414741433825,-0.10954163096731365,-0.822653275232363,-1.1332457498532875,-0.5311286364674959,-47.800887578870594,-65.8480970280818,-30.861629080040434,-0.08022704174256756,-0.11313650577322788,-0.05059795476426021,-4.661652628853432,-6.573881799722712,-2.9400322349947827,0.8261796361876349,0.7866891510157021,0.9098302284139576,-0.21039052065535116,-0.27115010892026425,-0.09910615054330411,-1.2153938316658428,-1.566392672115993,-0.572521060717355,-173.62769023797753,-223.77038173085617,-81.78872295962213,0.8105539654839523,-0.23372414741433825,-1.350188621587594,0.7680393600647747,-0.30201660487251886,-1.7447036942507006,0.9012730771788944,-0.10954163096731365,-0.6328052336843856,-192.8840887982277,-249.2433848929572,-90.40074766919794,-0.1347947899217512,-0.1783110221347073,-0.06028417296703059,-19.256398560250172,-25.473003162101037,-8.612024709575799,0.847
36055004702,36055004702,Census Tract 47.02; Monroe County; New York,1594,948,301,Rochester city,New York,52118,0.6035323232652361,0.22657795964402416,36055,1594,948,301,0.01269,0.00825263846,0.002817342485,0.8141978061428554,0.7323017246005195,0.8578105954424144,-0.22820276897742536,-0.3655573466599626,-0.1657585081287689,-4.616053662487703,-7.394442830209191,-3.3529398962375994,-289.5893138323528,-463.8922729114925,-210.34754681540772,0.7976326457839248,0.7098377021071737,0.8447545640126034,-0.25370996947747254,-0.4087727335861017,-0.183775788378079,-5.132009743194588,-8.268597626796964,-3.717390918701409,-321.95795126691263,-518.7325989207632,-289.5893138323528,-0.5159560807068848,-0.8741547965877734,-0.3644510224638098,-32.3686374345599,-54.8403260092706,-22.863928636374514,0.8800206000994609,0.8425744260131207,0.9187211460587016,-0.1363370356182331,-0.1868387754560543,-0.08846955824406945,-0.3641345003444435,-0.49901660130095565,-0.2362880947265485,-38.41081227262063,-52.63888199377169,-24.92490450701988,0.8688446322403732,0.8282646009410027,0.9109658232586934,-0.15095376422069157,-0.2073436421934323,-0.097736023095592,-0.4031734536427266,-0.5537818334345932,-0.26103734597268063,-42.52884532096272,-58.41580521461953,-27.535585018215254,-0.03903895329828305,-0.05476523213363754,-0.02474925124613214,-4.1180330483420935,-5.776923220847842,-2.6106805111953735,0.8425744260131207,0.8063544001012233,0.9187211460587016,-0.1868387754560543,-0.24014949242475517,-0.08846955824406945,-0.4641157721085292,-0.5965419481375379,-0.2197622909501695,-154.19128641479375,-198.1866937334013,-73.01072789042176,0.8282646009410027,-0.2073436421934323,-0.5150507669166015,0.7891845168374843,-0.2671307896502089,-0.6635646823837626,0.9109658232586934,-0.097736023095592,-0.24278059900096535,-171.1132116001998,-220.4533828517484,-80.65800631261308,-0.05093499480807223,-0.06702273424622474,-0.02301830805079588,-16.921925185406057,-22.266689118347088,-7.647278422191324,0.7925
36055006300,36055006300,Census Tract 63; Monroe County; New York,1953,968,422,Rochester city,New York,48091,0.6626277857075805,0.19340429216762212,36055,1953,968,422,0.01269,0.00825263846,0.002817342485,0.7947911654127376,0.706008350371831,0.8425081319674707,-0.25819214344273284,-0.4164138419514918,-0.1869321636869496,-6.3989230604630105,-10.320221600973731,-4.632846363986974,-327.64583002882796,-528.4291654364431,-237.21691571873907,0.7767447635364765,0.6818531034186468,0.8281929162649587,-0.2874241925327628,-0.4665915502712263,-0.20744814446115847,-7.123397595329204,-11.563804347555456,-5.141305609623234,-364.741300324076,-592.1046772941862,-327.64583002882796,-0.7244745348661938,-1.2435827465817226,-0.50845924563626,-37.09547029524802,-63.675511857743096,-26.03477960247107,0.8669187933775364,0.8258050338066872,0.909626044511102,-0.1535105798133364,-0.21093957903154423,-0.09935286707569094,-0.4186521382961329,-0.57527178856483,-0.2709538997094969,-43.2491878405096,-59.428903777358464,-27.991105341890176,0.8546263120077698,0.8101497054390147,0.9010505898159076,-0.17010205039288387,-0.23433976867041725,-0.10981559892692432,-0.4639001898900432,-0.6390884938418308,-0.29948773149662283,-47.92357333574826,-66.02153862002383,-30.938815237254424,-0.04524805159391026,-0.06381670527700078,-0.02853383178712593,-4.674385495238664,-6.592634842665371,-2.947709895364249,0.8258050338066872,0.786240983554122,0.909626044511102,-0.21093957903154423,-0.2718746808130025,-0.09935286707569094,-0.734621010879115,-0.9468344147089508,-0.3460076291987284,-174.08080826519313,-224.3683447177608,-81.99232919401148,0.8101497054390147,-0.23433976867041725,-0.816114825582809,0.7675580765895751,-0.3028330109471509,-1.0546503110082248,0.9010505898159076,-0.10981559892692432,-0.3824452796595781,-193.3921387636988,-249.91713531000588,-90.62684352122704,-0.08149381470369399,-0.10781589629927411,-0.03643765046084968,-19.311330498505683,-25.548790592245055,-8.634514327215564,0.8128
36055006000,36055006000,Census Tract 60; Monroe County; New York,2589,1642,634,Rochester city,New York,54179,0.693099029538087,0.17068209157008837,36055,2589,1642,634,0.01269,0.00825263846,0.002817342485,0.7849660164072898,0.692821825455326,0.8347247376431439,-0.2739405007326292,-0.4433725429229874,-0.19799971763567584,-9.000153526675101,-14.566743307934429,-6.505163903086725,-347.6304954297065,-562.639756969271,-251.26164167967264,0.7661890495816346,0.6678573602062347,0.8197805549971559,-0.30516091367533144,-0.49732571591514624,-0.2198386432860309,-10.025881773863947,-16.33934297421974,-7.222668920363006,-387.2491994539956,-631.1063334963206,-347.6304954297065,-1.0257282471888465,-1.7725996662853127,-0.7175050172762809,-39.61870402428916,-68.46657652704954,-27.713596650300538,0.8602395459963021,0.8172891109219723,0.9049715995078986,-0.16246690198580876,-0.2235572291816223,-0.1050070527558826,-0.7515842946190997,-1.0341928131069211,-0.4857706444261139,-45.77249053709499,-62.983727960226624,-29.584083095378436,0.8473861158539362,0.8009645295850973,0.8959802673583774,-0.18009958068792553,-0.24849473736122096,-0.11609600839570318,-0.8331544127329616,-1.149555630183096,-0.5370689999726795,-50.74022002027781,-70.00947808666845,-32.708221679213125,-0.08157011811386194,-0.1153628170761749,-0.05129835554656559,-4.967729483182822,-7.025750126441833,-3.124138583834689,0.8172891109219723,0.7760667901729337,0.9049715995078986,-0.2235572291816223,-0.2885488886557902,-0.1050070527558826,-1.169690050110054,-1.509737641974394,-0.5494150435195785,-184.49369875552904,-238.12896561110313,-86.65852421444455,0.8009645295850973,-0.24849473736122096,-1.30016740169915,0.756639499199155,-0.3216333551954709,-1.6828412873645595,0.8959802673583774,-0.11609600839570318,-0.607434375417239,-205.07372266548109,-265.43237971049837,-95.80983839388628,-0.130477351589096,-0.17310364539016576,-0.05801933189766051,-20.580023909952057,-27.30341409939523,-9.15131417944172,0.3908
36055008100,36055008100,Census Tract 81; Monroe County; New York,2725,1736,659,Rochester city,New York,68504,0.6082772482591692,0.22281420390689255,36055,2725,1736,659,0.01269,0.00825263846,0.002817342485,0.812622253352817,0.7301548826229146,0.8565717259474982,-0.2305840701187751,-0.3695724342864468,-0.1674445580069181,-7.973654790724773,-12.779907170733903,-5.790274677018729,-292.6111849807256,-468.98741910950105,-212.48714411077904,0.795934962820415,0.707548953732052,0.843412645916639,-0.25638405989413454,-0.4133297699408357,-0.18565924383689847,-8.865824887154146,-14.293046776996585,-6.420143066690908,-325.35137200565674,-524.5154780549204,-292.6111849807256,-0.8921700964293731,-1.5131396062626798,-0.6298683896721791,-32.74018702493112,-55.528058945419446,-23.114436318245104,0.8789613511548942,0.8412154864608774,0.9179875315077508,-0.13770645169559442,-0.1887560513265791,-0.08933941440092057,-0.6735093871205589,-0.9231882085327758,-0.4369507274204108,-38.79662368205984,-53.179044270321185,-25.16997277767343,0.8676943249784987,0.826795273428147,0.9101656912412466,-0.1524795901192275,-0.20948925585132228,-0.09870104929602552,-0.7457634266592642,-1.0245923744274354,-0.4827376088846603,-42.95872273382858,-59.020298066096515,-27.807465949577207,-0.07225403953870535,-0.1014041658946596,-0.04578688146424947,-4.162099051768742,-5.841253795775324,-2.6374931719037717,0.8412154864608774,0.8047206173094977,0.9179875315077508,-0.1887560513265791,-0.2426673040183799,-0.08933941440092057,-1.0265476607166686,-1.319743401717426,-0.485871399716805,-155.77354487354606,-200.26455261265943,-73.72858872789149,0.826795273428147,-0.20948925585132228,-1.13930496017517,0.7874258014124763,-0.26996092610403455,-1.468179458244363,0.9101656912412466,-0.09870104929602552,-0.5367845457299432,-172.88390897954022,-222.78899214633736,-81.45440754627363,-0.11275729945850156,-0.14843605652693714,-0.05091314601313823,-17.110364105994165,-22.524439533677867,-7.7258188183821295,0.9556
36055012700,36055012700,Census Tract 127; Monroe County; New York,2372,1807,509,Rochester city,New York,89863,0.7581574995036579,0.17891408656011268,36055,2372,1807,509,0.01269,0.00825263846,0.002817342485,0.7643931573006871,0.6654860454286811,0.8183464014612988,-0.3082273048221871,-0.5026611104307043,-0.22197641269556187,-9.27785146971511,-15.130441233519292,-6.681640966097046,-391.14044981935535,-637.8769491365638,-281.68806771066807,0.7441294106565136,0.638929364814747,0.8021043926519352,-0.3438522731116657,-0.5651182353935834,-0.2467205131414104,-10.350187240206854,-17.010443165746928,-7.426455215505389,-436.34853457870383,-717.1350407144573,-391.14044981935535,-1.072335770491744,-1.8800019322276356,-0.7448142494083436,-45.2080847593484,-79.25809157789358,-31.40026346578177,0.846150562551494,0.7993997207855269,0.895113552523224,-0.18182276802438835,-0.25093864058065224,-0.11717669471221048,-0.9256484154354035,-1.277513028477482,-0.5965392726381059,-51.22570090954088,-70.69800932360167,-33.01268802645854,0.832132362042523,0.781700503080647,0.8852500213520954,-0.2017318946056069,-0.27926232113072,-0.12962437264066945,-1.0270045419142169,-1.4217071264187924,-0.6599096276025777,-56.83478372519186,-78.67776017812908,-36.51962521320297,-0.1013561264788132,-0.14419409794131033,-0.06337035496447174,-5.6090828156509795,-7.979750854527411,-3.506937186744424,0.7993997207855269,0.7547825736499528,0.895113552523224,-0.25093864058065224,-0.3248848541431379,-0.11717669471221048,-1.0540910910652077,-1.3647090363679333,-0.4922116007754124,-207.0905876356007,-268.11572423731496,-96.70168973976668,0.781700503080647,-0.27926232113072,-1.1730673446422557,0.7338445126451222,-0.36268648571824535,-1.5234983044489616,0.8852500213520954,-0.12962437264066945,-0.54449922925095,-230.46509717922504,-299.3120440960632,-106.97430830077602,-0.11897625357704776,-0.1587892680810283,-0.05228762847553758,-23.374509543624317,-31.196319858748197,-10.272618561009349,0.1667
36055003200,36055003200,Census Tract 32; Monroe County; New York,1466,782,351,Rochester city,New York,47757,0.5360838897826935,0.25938883613139585,36055,1466,782,351,0.01269,0.00825263846,0.002817342485,0.8369272401595177,0.7635102973716981,0.875615950545193,-0.1948469974634841,-0.30974003028170316,-0.14205320195156398,-3.624843911191825,-5.762261042946876,-2.6426924246339984,-247.26083978116137,-393.0600984274813,-180.2655132765347,0.8221602465785085,0.7431840640265728,0.8640622480009216,-0.21630789637614703,-0.34556168303986223,-0.15732402649644917,-4.024092602549506,-6.428670592899398,-2.926783819887752,-274.49472050133056,-438.51777577758514,-247.26083978116137,-0.399248691357681,-0.6664095499525224,-0.2840913952537534,-27.233880720169232,-45.45767735010385,-19.3786763474593,0.8952164491415388,0.8621306520281333,0.9292129947913448,-0.11704828587426278,-0.15991700057008026,-0.07617952569050152,-0.25787631491736895,-0.35232303054784764,-0.16783582271612912,-32.97651085899859,-45.05409597798563,-21.462381421499888,0.8853619610412234,0.8494354756300393,0.9224159460739714,-0.12948154992333002,-0.17725245611891202,-0.08410961915418462,-0.28526880760890927,-0.39051584440202786,-0.18530710189027869,-36.47938716226461,-49.938087519440906,-23.696560344025407,-0.02739249269154031,-0.03819281385418022,-0.01747127917414956,-3.5028763032660253,-4.883991541455271,-2.2341789225255195,0.8621306520281333,0.8299403116358958,0.9292129947913448,-0.15991700057008026,-0.20490592634173835,-0.07617952569050152,-0.4632277534486827,-0.5935460994718247,-0.2206674113358748,-131.97371893124864,-169.1014528409757,-62.86820835779909,0.8494354756300393,-0.17725245611891202,-0.5134429532102349,0.8146133920133705,-0.22757618497829304,-0.6592144958329094,0.9224159460739714,-0.08410961915418462,-0.2436383235386096,-146.2800436496396,-187.8103976731935,-69.41262778877767,-0.0502151997615522,-0.06566839636108468,-0.02297091220273481,-14.30632471839094,-18.708944832217856,-6.544419430978579,0.8693
36055004100,36055004100,Census Tract 41; Monroe County; New York,768,441,143,Rochester city,New York,43914,0.6151177446062396,0.23210717560461372,36055,768,441,143,0.01269,0.00825263846,0.002817342485,0.810356230320501,0.7270709712774076,0.854788864521965,-0.23402518865622063,-0.37538155077636665,-0.16987953576026443,-2.280790766628434,-3.6584385633424072,-1.6556323651566762,-296.97796440474406,-476.3591879352093,-215.57713087977555,0.7934938645167121,0.7042623735820207,0.8414818275569651,-0.26024918996577645,-0.41992535383339874,-0.18837979294603815,-2.53636778547126,-4.092558904431997,-1.8359343916686524,-330.2562220665703,-532.8852740145829,-296.97796440474406,-0.2555770188428257,-0.43412034108959,-0.18030202651197613,-33.27825766182627,-56.52608607937369,-23.47682636874689,0.8774365340001901,0.8392602349052485,0.9169309508090036,-0.13968356827023046,-0.19152553452374504,-0.09059466159115354,-0.17354957504275612,-0.23796052419085173,-0.11255915935559496,-39.35364513441181,-53.9593025376081,-25.52361890149545,0.866038670376855,0.8246816114208655,0.9090134218278751,-0.15468284986033243,-0.21258918126848236,-0.10009376758064344,-0.1921854029940643,-0.2641310107174261,-0.12436130493490014,-43.57945646123907,-59.89365322390615,-28.199842388866244,-0.01863582795130822,-0.02617048652657438,-0.01180214557930518,-4.2258113268272615,-5.934350686298047,-2.67622348737079,0.8392602349052485,0.8023711071780375,0.9169309508090036,-0.19152553452374504,-0.2463060933450471,-0.09059466159115354,-0.22602451189642836,-0.290672544858651,-0.10691323335805088,-158.05909922827158,-203.26751388716852,-74.76449885178384,0.8246816114208655,-0.21258918126848236,-0.250882296452815,0.7848972542398336,-0.2740521063084768,-0.3234163722168442,0.9090134218278751,-0.10009376758064344,-0.11812338765975164,-175.44216535161888,-226.1652952565344,-82.60376759423191,-0.02485778455638665,-0.0327438273581932,-0.01121015430170074,-17.38306612334731,-22.897781369365877,-7.839268742448074,0.9586
36055009404,36055009404,Census Tract 94.04; Monroe County; New York,542,245,110,Rochester city,New York,39374,0.4186288673985846,0.25617192563277014,36055,542,245,110,0.01269,0.00825263846,0.002817342485,0.8780333879523999,0.8210650844519615,0.9075089706963752,-0.13890885440248446,-0.2179302456485197,-0.10191748212984818,-0.9554123224032,-1.4989198709656055,-0.7009864037394532,-176.2753362367528,-276.5534817279715,-129.33328482277736,0.8666867033409671,0.8050360758302427,0.8987440317239972,-0.15381947841720325,-0.2421803569097059,-0.11266385611681964,-1.0579672961639557,-1.6657116512178192,-0.7748997490943632,-195.19691811143088,-307.3268729184168,-176.2753362367528,-0.1025549737607554,-0.16679178025221364,-0.07391334535491001,-18.92158187467812,-30.77339119044532,-13.637148589466792,0.9223075680109252,0.8972756018656128,0.9477703547240126,-0.0842370101728954,-0.11448477805570874,-0.05510791197008528,-0.05814450435452147,-0.07902299313002527,-0.03803817610497552,-23.732450756947536,-32.2542829102144,-15.52578616529613,0.9148783480392744,0.8876023527645095,0.9426998377263144,-0.09304149796872375,-0.12663063238331773,-0.06078304034918183,-0.06422179244835503,-0.08740665582640478,-0.04195542727608871,-26.212976509532663,-35.67618605159379,-17.124664194321923,-0.00607728809383356,-0.00838366269637951,-0.00391725117111319,-2.480525752585129,-3.4219031413793917,-1.5988780290257918,0.8972756018656128,0.8726715408566854,0.9477703547240126,-0.11448477805570874,-0.14590651027569732,-0.05510791197008528,-0.10392816307138164,-0.13245250460921654,-0.05002642411520822,-94.4801482467106,-120.41136782656048,-45.478567377462014,0.8876023527645095,-0.12663063238331773,-0.11495405097227585,0.8608666717105655,-0.16162006598881656,-0.146717116973575,0.9426998377263144,-0.06078304034918183,-0.05517825021515288,-104.50368270206894,-133.37919724870454,-50.16204565013898,-0.01102588790089417,-0.01426461236435847,-0.00515182609994466,-10.023534455358345,-12.967829422144062,-4.6834782726769655,0.7539
36055980200,36055980200,Census Tract 9802; Monroe County; New York,22,22,0,Rochester city,New York,106896,0.5491251738024021,0.28415838027169743,36055,22,22,0,0.01269,0.00825263846,0.002817342485,0.8324835194010866,0.7573740587555244,0.8721446650429001,-0.2012249812698151,-0.32035153361754326,-0.14659876977039216,-0.05617799027090699,-0.08943574115534572,-0.04092744454449808,-255.3545012313954,-406.52609616066235,-186.0338388386276,0.8173596775322503,0.7366165435090362,0.8602949654916854,-0.2234515935740461,-0.35755843228320444,-0.1623920168223568,-0.06238321589400218,-0.099823163124825,-0.04533660325646557,-283.5600722454645,-453.7416505673864,-255.3545012313954,-0.00620522562309519,-0.01038742196947928,-0.00440915871196748,-28.20557101406907,-47.21555440672401,-20.04163050894313,0.892257979263633,0.8583143440801363,0.92717507410476,-0.12075209551534057,-0.16507431909658876,-0.07854495653429504,-0.00748440019465923,-0.01023155963221185,-0.00486833694658405,-34.02000088481469,-46.50708923732663,-22.128804302654775,0.882143999841713,0.8453002696747867,0.9201908752845762,-0.13360177043593158,-0.1830115710062782,-0.08673105423996103,-0.00828084276624807,-0.0113433380333368,-0.00537572384533979,-37.6401943920367,-51.56062742425818,-24.435108387908155,-7.964425715888419e-4,-0.00111177840112494,-5.073868987557437e-4,-3.620193507222009,-5.053538186931552,-2.3063040852533807,0.8583143440801363,0.825326746544748,0.92717507410476,-0.16507431909658876,-0.2116413337947984,-0.07854495653429504,-0,-0,-0,NA,NA,NA,0.8453002696747867,-0.1830115710062782,-0,0.8096335783266693,-0.2351266384810464,-0,0.9201908752845762,-0.08673105423996103,-0,NA,NA,NA,0,0,0,NA,NA,NA,-999
36055004602,36055004602,Census Tract 46.02; Monroe County; New York,1296,1045,531,Rochester city,New York,46120,0.6592271616425549,0.2409975349502429,36055,1296,1045,531,0.01269,0.00825263846,0.002817342485,0.795895262728819,0.7074954617538325,0.8433812566504002,-0.2564467296505626,-0.4134366283015709,-0.1857033721280833,-4.217584463048269,-6.799478013838427,-3.054122226827769,-325.43089992656394,-524.6510813146934,-235.65757923053772,0.7779317765880607,0.6834331244740607,0.8291370833522709,-0.2854597666467755,-0.46320095440143455,-0.206073181477924,-4.6947398326168654,-7.617914064315049,-3.389129000149493,-362.24844387475815,-587.8020111354205,-325.43089992656394,-0.4771553695685968,-0.8184360504766222,-0.33500677332172435,-36.8175439481942,-63.15092982072702,-25.849288064947867,0.8676674140976618,0.8267609071523665,0.910146968266243,-0.1525153345074721,-0.209539531137636,-0.0987236510878236,-0.4490238884403726,-0.6169101314122891,-0.2906545616258237,-42.968793152188766,-59.03446233610422,-27.813833648404184,0.8554381532619931,0.8111812925677894,0.9016182201154788,-0.16899158190075753,-0.23277004679743807,-0.10911689414608372,-0.4975319856446974,-0.6853036244713642,-0.32125354648591486,-47.61071632963612,-65.57929420778605,-30.741966170900945,-0.04850809720432481,-0.06839349305907505,-0.03059898486009116,-4.6419231774473495,-6.544831871681822,-2.928132522496762,0.8267609071523665,0.7873846761971754,0.910146968266243,-0.209539531137636,-0.2700272563465304,-0.0987236510878236,-0.9182338705786728,-1.183300217437011,-0.4326219485357457,-172.92539935568223,-222.84373209736555,-81.47305998789936,0.8111812925677894,-0.23277004679743807,-1.020033498524901,0.76878633331966,-0.30075153089929063,-1.3179386285765862,0.9016182201154788,-0.10911689414608372,-0.47816670922809695,-192.0967040536537,-248.1993650803364,-90.05022772657193,-0.10179962794622845,-0.1346384111395751,-0.0455447606923513,-19.171304697971458,-25.355632982970825,-8.577167738672562,0.9669
