geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
13051010200,13051010200,Census Tract 102; Chatham County; Georgia,2678,1676,817,Savannah city,Georgia,98788,0.6519080553154276,0.20119240615961817,13051,2678,1676,817,0.012262,0.007021009193,0.003623783249,0.7982767987317028,0.7107067813684491,0.8452635390700294,-0.25269831415468147,-0.4070500327498264,-0.18306297832296636,-8.298015258025078,-13.36656080922688,-6.01135544724546,-309.8586728164704,-499.1247501578372,-224.47182401962135,0.780492722120543,0.6868462086629932,0.8311728514019978,-0.2812419278978943,-0.4559299991574364,-0.20311918070137824,-9.2353200562493,-14.971663353812204,-6.669953720490083,-344.8588519883981,-559.0613649668485,-309.8586728164704,-0.937304798224222,-1.6051025445853249,-0.658598273244623,-35.000179171927634,-59.93661480901138,-24.592915356408625,0.8692808516929723,0.8288219723833018,0.9112691559778608,-0.15037619666008398,-0.2065317201044644,-0.09737062144600336,-0.913303924438618,-1.2543622905880736,-0.5913766451526922,-54.4930742505142,-74.84261877017146,-35.28500269407471,0.8571880827145295,0.8134060184389085,0.902841134657966,-0.16660511288632943,-0.22939832916309535,-0.10761457538024308,-1.011869609753293,-1.3932417426270067,-0.6535928970443253,-60.37408172752347,-83.1289822569813,-38.99718956111727,-0.09856568531467524,-0.13887945203893315,-0.06221625189163315,-5.881007477009263,-8.286363486809853,-3.712186867042551,0.8288219723833018,0.7898518735256909,0.9112691559778608,-0.2065317201044644,-0.2660601734553888,-0.09737062144600336,-1.1846999231931299,-1.526164924680432,-0.5585339031215187,-145.00611054995474,-186.80109237214592,-68.36400283005125,0.8134060184389085,-0.22939832916309535,-1.3158665545548658,0.771436561325633,-0.29628287033946726,-1.6995272859639523,0.902841134657966,-0.10761457538024308,-0.6172949081281556,-161.06077779129325,-208.02047563818263,-75.55629230454781,-0.13116663136173567,-0.17336236128352023,-0.05876100500663683,-16.054667241338517,-21.219383266036747,-7.192289474496553,0.773
13051002300,13051002300,Census Tract 23; Chatham County; Georgia,1085,812,326,Savannah city,Georgia,37516,0.622260330331388,0.22535534422681647,13051,1085,812,326,0.012262,0.007021009193,0.003623783249,0.807996878727639,0.7238647685220849,0.8529312286788353,-0.23762854328683825,-0.3814735064972157,-0.17242746704088885,-3.161474299594784,-5.075226528285712,-2.2940215769280865,-291.3801197783211,-467.7628136668859,-211.43056008553793,0.7909529522780088,0.7008469430643044,0.8394704577391009,-0.26429770205663783,-0.4268450621011663,-0.19122714894964188,-3.516287988541065,-5.678861954360685,-2.5441376209562523,-324.0818422618493,-523.39741514845025,-291.3801197783211,-0.3548136889462814,-0.6036354260749732,-0.2501160440281658,-32.70172248352824,-55.63460148156435,-23.052169956512977,0.875847200988891,0.8372234856473006,0.9158290073090988,-0.14175166498326652,-0.19442420947717257,-0.0919068865685021,-0.4171059749763875,-0.5720955691247973,-0.270437116443921,-51.367730908422104,-70.45511935034449,-33.3050636014681,0.8643132703333749,0.8224803725320703,0.9078118227967678,-0.1569879051079353,-0.2158344848052989,-0.10154987508228394,-0.4619387943504989,-0.6350955611623176,-0.2988117258441131,-56.88901408257375,-78.21373905939872,-36.7994736261223,-0.04483281937411132,-0.06299999203752027,-0.02837460940019209,-5.52128317415164,-7.758619709054221,-3.4944100246541994,0.8372234856473006,0.7999251587481623,0.9158290073090988,-0.19442420947717257,-0.2501169503968891,-0.0919068865685021,-0.44500765683840154,-0.5724799310281087,-0.21036098513217244,-136.50541620809864,-175.6073408061683,-64.52790954974616,0.8224803725320703,-0.2158344848052989,-0.4940125440469217,0.7822657065270671,-0.2783380271641745,-0.6370737142788558,0.9078118227967678,-0.10154987508228394,-0.2324323297192338,-151.53759019844222,-195.4213847481153,-71.29826065007173,-0.04900488720852014,-0.06459378325074716,-0.02207134458706136,-15.0321739903436,-19.814043941946984,-6.770351100325572,0.8321
13051004211,13051004211,Census Tract 42.11; Chatham County; Georgia,3077,2195,1094,Savannah city,Georgia,0,NA,NA,13051,3077,2195,1094,0.012262,0.007021009193,0.003623783249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4543
13051003800,13051003800,Census Tract 38; Chatham County; Georgia,1644,834,347,Savannah city,Georgia,75680,0.6570574592435674,0.2078328046990086,13051,1644,834,347,0.012262,0.007021009193,0.003623783249,0.7966005120128322,0.708445920843941,0.8439388097420821,-0.25533436762828904,-0.41154034567485864,-0.1849200302870442,-5.147216066070683,-8.296129889485451,-3.727752592308286,-313.091001585808,-504.6307718665116,-226.7489411379736,0.7786900750360349,0.6844431390439814,0.8297400532904403,-0.2842079693307041,-0.46104174759759176,-0.20519673123452592,-5.729271149170006,-9.294015186464506,-4.136505091445912,-348.49581199330936,-565.329390904167,-313.091001585808,-0.5820550830993225,-0.9978852969790548,-0.4087524991376257,-35.40481040750137,-60.698619037655405,-24.863290701802047,0.868145394845677,0.8273713617399103,0.910479489470346,-0.15188078625673265,-0.2086471036380355,-0.09832238020181076,-0.459019462934469,-0.6305806271826441,-0.29715336131052733,-55.03830490820971,-75.60918791158802,-35.62989943771311,0.8559565358177543,0.8118401630781559,0.9019805724926604,-0.168283619733835,-0.23176955942709376,-0.10867132895829344,-0.5085926841353127,-0.7004621276647304,-0.3284303188323774,-60.982336227255715,-83.98826470800124,-39.38013415256324,-0.04957322120084367,-0.0698815004820863,-0.03127695752185006,-5.944031319046005,-8.379076796413225,-3.7502347148501265,0.8273713617399103,0.7881152563644139,0.910479489470346,-0.2086471036380355,-0.268849945391253,-0.09832238020181076,-0.5083248917592085,-0.6549964845309487,-0.2395418503402704,-146.4913232735471,-188.75979381295352,-69.03223352745546,0.8118401630781559,-0.23176955942709376,-0.5646579039661291,0.7695710256386368,-0.29942522091465085,-0.7294867283442633,0.9019805724926604,-0.10867132895829344,-0.2647548926722017,-162.7256207395185,-210.2267228657819,-76.29823996317052,-0.05633301220692066,-0.0744902438133146,-0.02521304233193128,-16.234297465971373,-21.466929052828416,-7.266006435715066,0.6268
13051010503,13051010503,Census Tract 105.03; Chatham County; Georgia,1354,946,340,Savannah city,Georgia,4639,0.7007519224312098,0.21008182377098927,13051,1354,946,340,0.012262,0.007021009193,0.003623783249,0.782517559272147,0.689548890317254,0.8327812515176233,-0.27792659493819255,-0.4502234925501959,-0.20079552484838575,-4.614345218256887,-7.474947190490781,-3.333757498585487,-340.79359071321176,-552.0640465650503,-246.21547256909065,0.763560582908585,0.6643876795867162,0.8176812387758755,-0.30965377519981546,-0.5051453100726555,-0.22297045912055913,-5.1411035968911865,-8.386800286518161,-3.7019223442229454,-379.6974591500138,-619.4091792110902,-340.79359071321176,-0.5267583786342991,-0.9118530960273804,-0.368164845637458,-38.903868436802,-67.34513264603993,-27.190904404539,0.8585701450711635,0.815164158912038,0.903806376190499,-0.16472719875102804,-0.22674677126954884,-0.10643167203018924,-0.564701137660281,-0.7773103693108886,-0.3648583035116943,-59.69356634886691,-82.16811514914257,-38.56853102660616,0.8455773884914561,0.7986740687151301,0.894711338203699,-0.18262386578718712,-0.2520752071101466,-0.1176789175463986,-0.6260526831990423,-0.8641387537112013,-0.4034149740961765,-66.17893057072328,-91.34659130139548,-42.644289016509134,-0.06135154553876132,-0.08682838440031271,-0.03855667058448214,-6.4853642218563765,-9.17847615225293,-4.075757989902975,0.815164158912038,0.7735322805375543,0.903806376190499,-0.22674677126954884,-0.2927708709261176,-0.10643167203018924,-0.5412769962926339,-0.6988859719130619,-0.25406763423510864,-159.19911655665703,-205.5546976214888,-74.72577477503195,0.7986740687151301,-0.2520752071101466,-0.6017395977922241,0.7539217739483092,-0.32639755814846994,-0.7791576871532742,0.894711338203699,-0.1176789175463986,-0.28091641905128817,-176.98223464477178,-229.16402563331593,-82.62247619155534,-0.06046260149959015,-0.08027171524021226,-0.02684878481617952,-17.78311808811475,-23.609328011827134,-7.89670141652339,0.6797
13051002600,13051002600,Census Tract 26; Chatham County; Georgia,1306,635,315,Savannah city,Georgia,31970,0.6149801667299603,0.18808698274168217,13051,1306,635,315,0.012262,0.007021009193,0.003623783249,0.8104017428519701,0.7271328671852894,0.854824685311662,-0.23395588523883812,-0.3752644738381467,-0.16983051283247427,-3.7466097866270154,-6.009549829533583,-2.7196950433474507,-286.87670647986334,-460.1492978203356,-208.24617483518,0.7935428866825138,0.7043283234835976,0.841520617097617,-0.26017133639821405,-0.41979239888297343,-0.188325015076843,-4.166428530550861,-6.722627680004545,-3.015869183343157,-319.0220926914901,-514.7494395103021,-286.87670647986334,-0.41981874392384544,-0.7130778504709623,-0.2961741399957063,-32.14538621162676,-54.60014168996648,-22.677958652044893,0.8774671754457979,0.8392995146253414,0.9169521890521902,-0.13964377014097332,-0.19146977041490895,-0.0905694014795388,-0.3213346094656816,-0.4405915411668336,-0.2084094637704779,-50.60387550640655,-69.3844946719423,-32.82038799535085,0.8660719381909144,0.8247240686600514,0.9090365821950754,-0.15463849583770123,-0.2125267565244258,-0.10006573947252234,-0.35583900820068337,-0.4890458216635225,-0.2302615095670711,-56.03763908672179,-77.01509002575158,-36.26165504993245,-0.03450439873500177,-0.04845428049668887,-0.02185204579659319,-5.43376358031524,-7.630595353809272,-3.4412670545816053,0.8392995146253414,0.802418293486212,0.9169521890521902,-0.19146977041490895,-0.24623280415924753,-0.0905694014795388,-0.4234579707533727,-0.5445728762103773,-0.20030490912359017,-134.43110182646754,-172.88027816202455,-63.58886003923497,0.8247240686600514,-0.2125267565244258,-0.4700279780646868,0.7849480289543304,-0.273969693677875,-0.6059162774434625,0.9090365821950754,-0.10006573947252234,-0.22130718017339052,-149.21523113164662,-192.3543737915754,-70.25624767409222,-0.04657000731131411,-0.06134340123308524,-0.02100227104980037,-14.784129305179082,-19.474095629550867,-6.6673876348572625,0.7398
13051004002,13051004002,Census Tract 40.02; Chatham County; Georgia,2679,1249,476,Savannah city,Georgia,165746,0.6322055064825601,0.2431888045870428,13051,2679,1249,476,0.012262,0.007021009193,0.003623783249,0.8047232071883754,0.7194240585588344,0.850351420152989,-0.2426633046832372,-0.3900007764589098,-0.17598439456958545,-7.971464807187266,-12.81148572659599,-5.781069411202637,-297.5537442025855,-478.2189520939153,-215.7920646212257,0.7874285890526941,0.6961189442621384,0.8366778764966342,-0.26995643021170623,-0.43653610958679606,-0.1952031099319056,-8.86804119689867,-14.340166673243074,-6.412402250545887,-331.02057472559426,-535.2805775753294,-297.5537442025855,-0.8965763897114041,-1.528680946647084,-0.6313328393432505,-33.46683052300874,-57.061625481414104,-23.565988777276985,0.8736390430211978,0.8343957916181749,0.91429689121135,-0.1446374884320918,-0.19847200818290645,-0.09373662932956282,-0.6546444997892993,-0.8983052037721105,-0.42426185275055767,-52.41349077576455,-71.92195386486073,-33.96812271821919,0.8619165858330919,0.8194251994510915,0.9061413882877076,-0.16020507835273004,-0.22036764389217,-0.10358053712749236,-0.7251050506948552,-0.9974071561209956,-0.46881641579092176,-58.05484793393556,-79.85645765580428,-37.53534153650294,-0.07046055090555592,-0.09910195234888496,-0.04455456304036409,-5.64135715817101,-7.934503790943553,-3.5672188182837545,0.8343957916181749,0.7965318887624745,0.91429689121135,-0.19847200818290645,-0.25544251788041045,-0.09373662932956282,-0.6632935259465501,-0.853688990769,-0.31326785045199834,-139.34737940053574,-179.34642663214285,-65.8125736243694,0.8194251994510915,-0.22036764389217,-0.7364687487167777,0.7786162869649825,-0.2843296714200046,-0.9502298687560804,0.9061413882877076,-0.10358053712749236,-0.3461661940126888,-154.72032536066757,-199.62812368825217,-72.72399033880016,-0.07317522277022759,-0.09654087798708032,-0.03289834356069043,-15.372945960131847,-20.281697056109316,-6.911416714430763,0.682
13051001100,13051001100,Census Tract 11; Chatham County; Georgia,1147,674,313,Savannah city,Georgia,64520,0.624191423291277,0.23337872936386744,13051,1147,674,313,0.012262,0.007021009193,0.003623783249,0.807360177165347,0.7230003596248484,0.8524296857904446,-0.23860456371654856,-0.3831251764783099,-0.1731172865861842,-3.3558572268552895,-5.388469408331661,-2.4348105008334,-292.5769160292319,-469.7880913977036,-212.27641681197903,0.7902673812543932,0.6999263838771953,0.8389274832913626,-0.2653945028234592,-0.4287216813582123,-0.19199814038360255,-3.732644700483582,-6.029762089566116,-2.7003605333991434,-325.4267393621257,-525.69852568144,-292.5769160292319,-0.37678747362829235,-0.6412926812344555,-0.2655500325657436,-32.84982333289384,-55.910434283736315,-23.15170292639439,0.8754179982872476,0.8366736727597772,0.9155313097275144,-0.14231144659636497,-0.1952091150442073,-0.09226193509168534,-0.3475857336775673,-0.4767845812546364,-0.2253433098063573,-51.570583631686546,-70.73955211493121,-33.433725490557464,0.8638473761118329,0.8218862480105841,0.90748722738855,-0.1576118972554949,-0.21671338633606413,-0.1019438839681209,-0.3849560120012432,-0.5293072566468803,-0.24899079132756977,-57.11513531175715,-78.53223392386947,-36.942253906167615,-0.0373702783236759,-0.05252267539224387,-0.02364748152121243,-5.544551680070608,-7.792681808938259,-3.508528415610153,0.8366736727597772,0.7992651454964317,0.9155313097275144,-0.1952091150442073,-0.2511492658407991,-0.09226193509168534,-0.4289868422715082,-0.5519195682407202,-0.2027526029605626,-137.05649912827735,-176.3321304283451,-64.7771894442692,0.8218862480105841,-0.21671338633606413,-0.4762441101237517,0.7815557490217895,-0.27949925677294246,-0.6142208244379623,0.90748722738855,-0.1019438839681209,-0.22402942025772457,-152.15466777116666,-196.2366851239496,-71.5748946510302,-0.04725726785224354,-0.06230125619724214,-0.02127681729716193,-15.098168642889313,-19.904554695604517,-6.797705206761002,0.6164
13051011700,13051011700,Census Tract 117; Chatham County; Georgia,1788,396,219,Savannah city,Georgia,87884,0.44860625917121166,0.28634688312311,13051,1788,396,219,0.012262,0.007021009193,0.003623783249,0.8673540459877916,0.8059758253813458,0.8992603347986083,-0.1529317291200777,-0.24073200275808773,-0.1120250291301379,-3.352944966097062,-5.277918202261573,-2.4560878220624267,-187.5248862470393,-295.1855817819672,-137.3650907193751,0.8550983128914807,0.7887769613974516,0.8897622612199666,-0.16945617237688143,-0.26778550710752397,-0.1238957231439382,-3.715234395205352,-5.871051568016596,-2.7163463306574545,-207.787158568532,-328.35858881524587,-187.5248862470393,-0.3622894291082903,-0.5931333657550226,-0.26025850859502775,-20.26227232149275,-33.17300703327867,-14.55584499972191,0.9153163035634144,0.8881718558547522,0.9429991303874132,-0.0925185054684418,-0.125908227566643,-0.0604463649814493,-0.1327657360942655,-0.18068059388304325,-0.08674163185355561,-33.52670103390543,-45.626412596728095,-21.90445248827162,0.9072528013674362,0.8777012320306409,0.93748088528165,-0.10222861642617433,-0.13933986134029902,-0.06668841541186982,-0.14669992171835222,-0.1999552323554115,-0.09569908761806736,-37.04543477736167,-50.493745544295834,-24.16643626718873,-0.01393418562408671,-0.01927463847236824,-0.00895745576451174,-3.5187337434562407,-4.867332947567737,-2.261983778917108,0.8881718558547522,0.861560761473961,0.9429991303874132,-0.125908227566643,-0.16068424273314943,-0.0604463649814493,-0.19359661828512228,-0.2470682544425311,-0.09294239204378336,-88.40028232197365,-112.81655453996856,-42.43944842181888,0.8777012320306409,-0.13933986134029902,-0.21424911198532703,0.8488178474608217,-0.17810906426087647,-0.27386067767956085,0.93748088528165,-0.06668841541186982,-0.10254017511046164,-97.83064474215846,-125.05053775322416,-46.82199776733408,-0.02065249370020475,-0.02679242323702971,-0.0095977830666783,-9.430362420184816,-12.233983213255575,-4.382549345515206,0.9106
13051002100,13051002100,Census Tract 21; Chatham County; Georgia,1453,734,304,Savannah city,Georgia,38758,0.648943538833422,0.18248295543039697,13051,1453,734,304,0.012262,0.007021009193,0.003623783249,0.7992434379449125,0.7120116318486418,0.8460271298857911,-0.25118324721100127,-0.4044714373607007,-0.18199519220499985,-4.475253044018785,-7.206340595424273,-3.2425511930261295,-308.00089773012974,-495.9628764916913,-223.16250468177077,0.7815323998208167,0.6882334829126904,0.8319988364879486,-0.2795374833202971,-0.4529952767887354,-0.20192475775714008,-4.980431565547971,-8.070874606027989,-3.59763000458503,-342.7688620473483,-555.4628083983474,-308.00089773012974,-0.505178521529186,-0.8645340106037152,-0.35507881155889987,-34.76796431721858,-59.499931906656244,-24.4376332800344,0.8699352086791654,0.8296582435167326,0.9117240783002024,-0.14951089463123785,-0.20531557157948252,-0.096823067198551,-0.39767758542263987,-0.5461100407216645,-0.2575355038286883,-54.17950755076837,-74.40191290485892,-35.08658090309105,0.8578978889037033,0.8143088522591724,0.9033369334204012,-0.1656398890057733,-0.22803528074839985,-0.10700665831695068,-0.4405784024766799,-0.6065412160288847,-0.28462239898027736,-60.024305514534056,-82.63504305570635,-38.77689359404324,-0.04290081705404008,-0.0604311753072202,-0.02708689515158907,-5.8447979637656795,-8.233130150847439,-3.69031269095219,0.8296582435167326,0.7908533806879263,0.9117240783002024,-0.20531557157948252,-0.2644568821722009,-0.096823067198551,-0.4382228447197812,-0.5644532770684747,-0.2066578760482269,-144.15225155255962,-185.67542008831404,-67.97956448954832,0.8143088522591724,-0.22803528074839985,-0.4867154919487068,0.7725126023571801,-0.29447726412317926,-0.6285283838756525,0.9033369334204012,-0.10700665831695068,-0.22839359845367824,-160.1037802462851,-206.75275785383303,-75.12947317555206,-0.04849264722892554,-0.06407510680717776,-0.02173572240545135,-15.951528693725509,-21.077337765519,-7.149908686003734,0.7212
13051002800,13051002800,Census Tract 28; Chatham County; Georgia,2419,1271,417,Savannah city,Georgia,55584,0.6253434357644317,0.20739848037864808,13051,2419,1271,417,0.012262,0.007021009193,0.003623783249,0.8069805855501286,0.7224851796611101,0.8521306259117728,-0.23918718480480872,-0.384111436678966,-0.17352899847955608,-7.09471717612521,-11.393428162032546,-5.14717862946293,-293.29132600765644,-470.9974436557481,-212.7812579356317,0.7898586801443368,0.6993777911773883,0.8386037338144425,-0.26604926316345917,-0.4298423721984656,-0.192458320512641,-7.891494181018104,-12.74988901914426,-5.708655977298804,-326.2296064910337,-527.0727167897586,-293.29132600765644,-0.7967770048928946,-1.3564608571117134,-0.5614773478358739,-32.938280483377206,-56.07527313401048,-23.21113467696874,0.875162053369028,0.8363458484446401,0.9153537613966316,-0.14264552050719667,-0.19567760378043245,-0.09247379775248486,-0.6570008051015178,-0.9012574861584516,-0.42591845406818984,-51.69164477588653,-70.90932227839902,-33.51049992668685,0.863569561941354,0.8215320215915353,0.9072936420832358,-0.15798430615356857,-0.217238006210303,-0.1021790009504544,-0.7276486213323647,-1.0005610023457896,-0.4706189556476847,-57.25008822441894,-78.7223447951054,-37.02745520438118,-0.07064781623084693,-0.099303516187338,-0.04470050157949484,-5.55844344853241,-7.813022516706375,-3.5169552776943234,0.8363458484446401,0.7988716674743954,0.9153537613966316,-0.19567760378043245,-0.2517655096737436,-0.09247379775248486,-0.5728972243377638,-0.7371091984441683,-0.2707411631829685,-137.3854255006628,-176.76479578996842,-64.9259384131819,0.8215320215915353,-0.217238006210303,-0.6360209261260273,0.7811325237814055,-0.2801925019829836,-0.8203366331408268,0.9072936420832358,-0.1021790009504544,-0.2991556769869582,-152.52300386715285,-196.72341322321984,-71.7399705004696,-0.06312370178826354,-0.0832274346966585,-0.02841451380398973,-15.13757836649006,-19.958617433251437,-6.814032087287706,0.9661
