geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06073013104,06073013104,Census Tract 131.04; San Diego County; California,3852,2400,948,Chula Vista city,California,45471,0.3635550684261329,0.2042040715532829,06073,3852,2400,948,0.009244,0.009493868073,0.003212018401,0.8979971040347413,0.849526823608547,0.922860876866903,-0.113589337322977,-0.1771258684361324,-0.08358694692420272,-4.0446764013907845,-6.3070780851765385,-2.9763546443389552,-105.00198342135994,-163.7351527823608,-77.267773736733,0.888387480588409,0.8357854489317079,0.9154821032726554,-0.12563495304736427,-0.19647931329528337,-0.09232064332575252,-4.473595336995806,-6.996213382135361,-3.287343127631343,-116.13695059698355,-181.62547721015991,-105.00198342135994,-0.42891893560502137,-0.6891352969588223,-0.31098848329238793,-11.134967175623608,-17.890324427799122,-8.073428953592625,0.9352912312307142,0.9142446903199072,0.95659894629652,-0.06918568955697142,-0.09379907872375592,-0.04537016674700252,-0.5333416990628778,-0.7230824804581238,-0.349751545074745,-22.222570794286572,-30.12843668575516,-14.572981044781042,0.929055265191206,0.9060844796631358,0.9523638192011268,-0.07636223319200823,-0.10364984992545084,-0.05001888967057998,-0.5886645555700402,-0.7990205405314478,-0.3855878256467801,-24.52768981541834,-33.292522522143656,-16.06615940194917,-0.0553228565071624,-0.07593806007332393,-0.03583628057203514,-2.305119021131767,-3.164085836388497,-1.4931783571681307,0.9142446903199072,0.8934587928330382,0.95659894629652,-0.09379907872375592,-0.1192457984873974,-0.04537016674700252,-0.8442092426761212,-1.0732344773857512,-0.40833998191365867,-89.05160787722798,-113.21038790988936,-43.07383775460534,0.9060844796631358,-0.10364984992545084,-0.932868024927598,0.8834500099168251,-0.13192595933543294,-1.1873582953611657,0.9523638192011268,-0.05001888967057998,-0.4501793572265264,-98.4038000978479,-125.24876533345628,-47.48727396904286,-0.08865878225147694,-0.11412381797541447,-0.04183937531286769,-9.35219222061993,-12.038377423566928,-4.41343621443752,0.981
06073012302,06073012302,Census Tract 123.02; San Diego County; California,1039,707,308,Chula Vista city,California,30859,0.39821381797819866,0.19190493343277135,06073,1039,707,308,0.009244,0.009493868073,0.003212018401,0.8853813450402258,0.8315024749900594,0.913169681131354,-0.12945682174336606,-0.20264224109730403,-0.0950867299504176,-1.2433701157433072,-1.9462806468949143,-0.9132620191964652,-119.66988601956758,-187.32248767034787,-87.89817316616603,0.8746683340533632,0.8163001961781213,0.904912593130642,-0.1432905034595552,-0.22503951938508948,-0.10507910663547385,-1.376235933125353,-2.161395664566402,-1.0092339609461147,-132.45774139801279,-208.0265317195767,-119.66988601956758,-0.13286581738204584,-0.21511501767148777,-0.09597194174964964,-12.78785537844522,-20.704044049228852,-9.236953007665988,0.9270992642514062,0.9035287425284918,0.9510334400442296,-0.07863315025652413,-0.10677165310927128,-0.05148773733286729,-0.17856778576565527,-0.24246742774596292,-0.11692334873549028,-25.257112555255343,-34.29525144921682,-16.537955973902445,0.9201081129484564,0.8944090190412773,0.9462706424854784,-0.08682880405818022,-0.118056704159699,-0.05678011670466264,-0.19717927147479075,-0.26809461642851307,-0.1289417972240769,-27.889571637169837,-37.92003061223664,-18.23787796663039,-0.01861148570913548,-0.02562718868255015,-0.01201844848858658,-2.6324590819144955,-3.6247791630198223,-1.6999219927279476,0.9035287425284918,0.880320051304465,0.9510334400442296,-0.10677165310927128,-0.13595049722903885,-0.05148773733286729,-0.31221220447510684,-0.397534394226584,-0.15055587796957984,-101.36759885555416,-129.06960851512468,-48.88177856155189,0.8944090190412773,-0.118056704159699,-0.3452109505230147,0.8691698508750708,-0.15052311006095162,-0.44014633704775075,0.9462706424854784,-0.05678011670466264,-0.16603138464639208,-112.08147744253723,-142.90465488563336,-53.90629371636107,-0.03299874604790787,-0.0426119428211667,-0.01547550667681224,-10.713878586983071,-13.83504637050867,-5.024515154809171,0.9818
06073013102,06073013102,Census Tract 131.02; San Diego County; California,4112,2302,657,Chula Vista city,California,67116,0.45757925683532913,0.23200469043760533,06073,4112,2302,657,0.009244,0.009493868073,0.003212018401,0.8641827774031394,0.8015133836817974,0.896805918417441,-0.15716261206337617,-0.24763980285200363,-0.11506846627937256,-5.973959596477748,-9.413117772062844,-4.3739052142021695,-145.2811185913849,-228.91823375639217,-106.36929022865198,0.8516598379612702,0.7839743549757086,0.8870912842122807,-0.17417771207085575,-0.27555192801043216,-0.12727970367556932,-6.620726143814857,-10.474094716636923,-4.8380705641548705,-161.00987703829907,-254.72020225284345,-145.2811185913849,-0.6467665473371094,-1.0609769445740778,-0.464165349952701,-15.72875844691414,-25.801968496451305,-11.288067849044284,0.9132339636278336,0.8854648769555293,0.9415756575666676,-0.095009646846124,-0.12935027241088745,-0.06204954637880049,-0.7025076335350869,-0.9564244977740224,-0.458798463477028,-30.51727339422619,-41.54754551581331,-19.93042847424101,0.9049826647407446,0.874759107789315,0.9359243455927868,-0.10499354182267737,-0.14317186422579,-0.06846242937149977,-0.7763292155140277,-1.058622264841833,-0.5062157458782032,-33.724118832060284,-45.98706623987112,-21.990258291842014,-0.07382158197894073,-0.1021977670678106,-0.04741728240117515,-3.20684543783409,-4.439520724057801,-2.0598298176010057,0.8854648769555293,0.8582626128601837,0.9415756575666676,-0.12935027241088745,-0.16514454319229005,-0.06204954637880049,-0.8068186149094541,-1.030084352470548,-0.38703226620255615,-122.80344214755767,-156.78605060434518,-58.909020730982675,0.874759107789315,-0.14317186422579,-0.8930303975064029,0.8452442283060638,-0.1830900070197213,-1.14201866848933,0.9359243455927868,-0.06846242937149977,-0.4270324399734351,-135.92547907251185,-173.8232372129878,-64.99732724100991,-0.08621178259694884,-0.111934316018782,-0.04000017377087894,-13.122036924954164,-17.037186608642617,-6.088306510027237,0.9578
06073013323,06073013323,Census Tract 133.23; San Diego County; California,4763,3409,1372,Chula Vista city,California,69827,0.57262869024565,0.25752799318014696,06073,4763,3409,1372,0.009244,0.009493868073,0.003212018401,0.8245343650098008,0.7464393507018802,0.8659232905417255,-0.21280572700946615,-0.33969357196896927,-0.15483670542502162,-9.369659957084831,-14.956426707516128,-6.817331935071611,-196.7176140475505,-314.0127379281152,-143.13105049489002,0.8087785731007493,0.7249265053516473,0.8535468482056742,-0.2364323601775616,-0.379450182353203,-0.17158185529265274,-10.409921052623812,-16.70687734426054,-7.554607018759318,-218.55807374813796,-350.76374856730087,-196.7176140475505,-1.0402610955389804,-1.7504506367444126,-0.7372750836877078,-21.840459700587452,-36.75101063918565,-15.479216537638203,0.8869507747973167,0.8514790509607595,0.9235135326236822,-0.12745828563994097,-0.17442701481810752,-0.08282116577005796,-1.3956390052698937,-1.9099358212037327,-0.9068727766913828,-40.93983588354044,-56.0262781227261,-26.60231084456975,0.8763739689544785,0.8378984058960117,0.9161943096121214,-0.1410653846702092,-0.19346211063696195,-0.09147152466310164,-1.5446336199382518,-2.1183657562249065,-1.0015922232938552,-45.310461130485535,-62.14038592622196,-29.380822038540774,-0.14899461466835806,-0.2084299350211738,-0.09471944660247245,-4.370625246945088,-6.114107803495858,-2.778511193971031,0.8514790509607595,0.8170766623653329,0.9235135326236822,-0.17442701481810752,-0.22387536697612595,-0.08282116577005796,-2.272014255993051,-2.9161080688438785,-1.0787942998609474,-165.5987067050329,-212.5443198865801,-78.62932214729938,0.8378984058960117,-0.19346211063696195,-2.5199575525617046,0.8007355069558298,-0.2488518259939758,-3.2414411086368067,0.9161943096121214,-0.09147152466310164,-1.1914703021702595,-183.67037555114464,-236.25664057119585,-86.84185875876527,-0.24794329656865344,-0.32533303979292816,-0.11267600230931207,-18.071668846111766,-23.71232068461575,-8.212536611465895,0.2926
06073013424,06073013424,Census Tract 134.24; San Diego County; California,4253,3105,924,Chula Vista city,California,89746,0.5558114925843696,0.2543872998156089,06073,4253,3105,924,0.009244,0.009493868073,0.003212018401,0.8302143632797182,0.754247133638937,0.8703702629569213,-0.20450818996861553,-0.32582538984988235,-0.14893631200437124,-8.040184680421207,-12.809737880743644,-5.855391191520238,-189.04737080698817,-301.19299037723124,-137.67672681684078,0.8149092865538392,0.7332718876716624,0.858369838563153,-0.22713045059148712,-0.36375063167261446,-0.1649989958569902,-8.929572794043558,-14.300758599039549,-6.48689130238668,-209.9593885267707,-336.2510839181648,-189.04737080698817,-0.8893881136223509,-1.4910207182959034,-0.6315001108664422,-20.91201771978253,-35.05809354093354,-14.848344953360971,0.8907449532697602,0.8563642633124183,0.9261319577932948,-0.1226558133494719,-0.1677273828919465,-0.07975973789168382,-1.2232853249985287,-1.6727983818225671,-0.7954691606066139,-39.39727294681252,-53.87434402005048,-25.61897457670254,0.8804986764356616,0.8431879455977915,0.9190521547365084,-0.13572004906139165,-0.18597520899214717,-0.0880775316681558,-1.3535790908812688,-1.8547897385461147,-0.8784251558037716,-43.59352949698128,-59.735579341259736,-28.29066524327767,-0.1302937658827401,-0.18199135672354735,-0.08295599519715768,-4.196256550168764,-5.861235321209255,-2.6716906665751265,0.8563642633124183,0.8229713074435968,0.9261319577932948,-0.1677273828919465,-0.2151091914811818,-0.07975973789168382,-1.4713606403548642,-1.8870096955359208,-0.6996790684705717,-159.23816454056973,-204.22182852120352,-75.72284290807053,0.8431879455977915,-0.18597520899214717,-1.6314366674945244,0.8070922245465086,-0.23901577736284468,-2.09672625406711,0.9190521547365084,-0.0880775316681558,-0.7726455344481264,-176.56240990200482,-226.91842576483876,-83.61964658529507,-0.16007602713966018,-0.2097165585311893,-0.07296646597755474,-17.324245361435086,-22.696597243635207,-7.896803677224539,0.3694
06073013306,06073013306,Census Tract 133.06; San Diego County; California,2768,1789,608,Chula Vista city,California,56771,0.4713168596478324,0.2220023270701347,06073,2768,1789,608,0.009244,0.009493868073,0.003212018401,0.8593500355437642,0.7947292360055361,0.8930611952787135,-0.1636701677300075,-0.25829018827367506,-0.11974409512655196,-4.187892740413452,-6.608972297112327,-3.063939101688375,-151.29670304961894,-238.76345004018523,-110.69144153498463,0.8464223240690544,0.7766781882231407,0.8830175616333863,-0.18144331920812637,-0.2875345479802487,-0.13248030780975883,-4.64266133435946,-7.357259192713432,-3.389825568208961,-167.72620427599202,-265.7969361529419,-151.29670304961894,-0.4547685939460075,-0.7482868956011046,-0.32588646652058584,-16.429501226373105,-27.033486112756673,-11.773355004356423,0.9100550890176414,0.8813364855129664,0.9394004916913532,-0.09883457833244973,-0.13464041990496697,-0.0645087040560727,-0.5679332283391799,-0.7736843686868327,-0.3706864254260035,-31.745848425890436,-43.24675062531205,-20.720314445276884,0.9015181005213212,0.8702738305565575,0.9335462988489146,-0.10924006897002927,-0.14906362214807728,-0.07118415148024734,-0.6277263087565971,-0.856564428996951,-0.4090455550968712,-35.088111165824316,-47.87950972593354,-22.86448044141259,-0.05979308041741715,-0.0828800603101183,-0.03835912967086769,-3.342262739933882,-4.632759100621481,-2.1441659961357007,0.8813364855129664,0.8532376133918356,0.9394004916913532,-0.13464041990496697,-0.17200646608246298,-0.0645087040560727,-0.7771810973936162,-0.9928680715874304,-0.37236177252808095,-127.82583838710792,-163.30066966898528,-61.243712586855416,0.8702738305565575,-0.14906362214807728,-0.8604357407996789,0.8398021680554663,-0.1907566305948774,-1.101099117229999,0.9335462988489146,-0.07118415148024734,-0.41089426936948487,-141.51903631573666,-181.10182849177616,-67.58129430419159,-0.0832546434060627,-0.10823104564256868,-0.03853249684140392,-13.693197928628734,-17.801158822790903,-6.33758171733617,0.8534
06073010107,06073010107,Census Tract 101.07; San Diego County; California,3928,2537,1081,Chula Vista city,California,73022,0.4605487898948021,0.2559899185634604,06073,3928,2537,1081,0.009244,0.009493868073,0.003212018401,0.8631358301848815,0.8000420266767597,0.8959951275737985,-0.15856620131944071,-0.24993433676707227,-0.11607749777370877,-5.7576072705078625,-9.075223739645878,-4.214824089642403,-146.578596499691,-231.03930090748165,-107.30203894201637,0.8505249533277125,0.7823914241438824,0.8862091153399587,-0.17574445768752636,-0.27813261896912,-0.12840184409115443,-6.381357180239803,-10.099115548060142,-4.662326428546464,-162.45817668634936,-257.10579297505456,-146.578596499691,-0.6237499097319406,-1.0238918084142643,-0.4475023389040613,-15.879580186658364,-26.06649206757292,-11.392625735846776,0.9125458757469448,0.8845708448044288,0.94110504539302,-0.09583531806712896,-0.1304917021327914,-0.06258063846888069,-0.7809515305318654,-1.063362615762691,-0.509962781776343,-30.782480509730604,-41.914174842833695,-20.101016230837327,0.9042326350872476,0.8737876117727995,0.935409792124942,-0.1059100956951327,-0.14444286749629265,-0.06905017289623458,-0.8630497920813971,-1.17704913721502,-0.5626823105969351,-34.01851762244372,-46.39531482912968,-22.179042593493698,-0.0820982615495317,-0.11368652145232903,-0.05271952882059205,-3.236037112713114,-4.4811399862959815,-2.078026362656368,0.8845708448044288,0.8571739031202467,0.94110504539302,-0.1304917021327914,-0.16662441117239346,-0.06258063846888069,-1.339219556048199,-1.7100449017823836,-0.6422570439170227,-123.88710046699345,-158.19101774120105,-59.41323255476619,0.8737876117727995,-0.14444286749629265,-1.4823985718713677,0.8440648876885036,-0.1847430388184127,-1.8959940470208456,0.935409792124942,-0.06905017289623458,-0.7086530436781614,-137.13215280956223,-175.3926037947128,-65.55532318946914,-0.14317901582316872,-0.18594914523846184,-0.06639599976113875,-13.2450523425688,-17.201586053511733,-6.142090634702936,0.9018
06073012304,06073012304,Census Tract 123.04; San Diego County; California,3072,2141,898,Chula Vista city,California,52207,0.48320063500350574,0.21768953213075856,06073,3072,2141,898,0.009244,0.009493868073,0.003212018401,0.8551912573766398,0.7889069178332114,0.8898344217884253,-0.16932907273581274,-0.26757666512365064,-0.1238045815199635,-4.808533857392188,-7.598526543062097,-3.515749022424707,-156.5277948369853,-247.34786924030263,-114.44495515705424,0.8419175792184638,0.7704214055098036,0.879508663694836,-0.1877647226801953,-0.2979909343747783,-0.13699846434596458,-5.332061480311989,-8.462217822291304,-3.890423207160104,-173.56970964557257,-275.46281973604505,-156.5277948369853,-0.5235276229198007,-0.8636912792292071,-0.3746741847353974,-17.041914808587265,-28.11495049574242,-12.196425284355383,0.907314116843014,0.87778073239239,0.937522908589618,-0.10215412880324765,-0.13923667163951256,-0.0666406024193805,-0.702506935653347,-0.9575210387476338,-0.4582828510622439,-32.81209414541555,-44.72307514001092,-21.40508412247753,0.8985317649039899,0.8664123777022323,0.9314940335497656,-0.11292670894818305,-0.15418480360593245,-0.07354418169397146,-0.7765892302738076,-1.060318316787145,-0.5057582921241883,-36.272266710593534,-49.524442633682625,-23.622526488752374,-0.07408229462046056,-0.10279727803951122,-0.0474754410619444,-3.4601725651779804,-4.801367493671706,-2.2174423662748435,0.87778073239239,0.8489144543989228,0.937522908589618,-0.13923667163951256,-0.17797499479267784,-0.0666406024193805,-1.1870613431392991,-1.5173246665273816,-0.5681440247320091,-132.18945914691528,-168.96711208545454,-63.26770876748431,0.8664123777022323,-0.15418480360593245,-1.3145015454979314,0.835122762491385,-0.19742874331043744,-1.683177473641112,0.9314940335497656,-0.07354418169397146,-0.6270004451682974,-146.38101842961373,-187.43624428074745,-69.82187585393066,-0.12744020235863207,-0.1658528071137304,-0.05885642043628836,-14.19155928269845,-18.46913219529292,-6.554167086446364,0.734
06073013302,06073013302,Census Tract 133.02; San Diego County; California,3620,2660,851,Chula Vista city,California,59178,0.43548409754062334,0.19851846353587663,06073,3620,2660,851,0.009244,0.009493868073,0.003212018401,0.8720126921908389,0.8125464966550617,0.9028617867585408,-0.14677229925129492,-0.2306988019966999,-0.10758923975529572,-4.911482546089873,-7.719938606880129,-3.600288854918593,-135.67631342789704,-213.2579725657494,-99.45549322979538,0.8601517688429149,0.7958533420730103,0.8936827995790917,-0.162585529929457,-0.25651291153120725,-0.1189652530752318,-5.4406451119778,-8.583763382184019,-3.980967573927344,-150.29406386679003,-237.1205354194481,-135.67631342789704,-0.5291625658879271,-0.8638247753038897,-0.3806787190087508,-14.617750438893014,-23.86256285369861,-10.51598671294892,0.918370081121622,0.8921454641806238,0.945084700572846,-0.08888564703532374,-0.12089344187658166,-0.05810621989105113,-0.7594362080735875,-1.0329098132483594,-0.49645773835693846,-28.55023338622509,-38.83119598678043,-18.663824750260844,0.910582918984896,0.8820216369488854,0.9397618397421976,-0.09819762610393018,-0.1337590350495582,-0.0640993895584517,-0.8389974680677088,-1.1428330417986317,-0.5476631938872735,-31.541258198034168,-42.96364818791848,-20.58884187546141,-0.07956125999412134,-0.10992322855027226,-0.05120545553033501,-2.9910248118090728,-4.1324522011380544,-1.9250171252005643,0.8921454641806238,0.8664068259444867,0.945084700572846,-0.12089344187658166,-0.15419219938610343,-0.05810621989105113,-0.97673217624515285,-1.245762219427628,-0.46945652077227895,-114.77463880671596,-146.38803988573773,-55.16527858663678,0.8820216369488854,-0.1337590350495582,-1.0806769281147772,0.8540711496181919,-0.17086263884109057,-1.3804473963494273,0.9397618397421976,-0.0640993895584517,-0.5178770269716356,-126.98906323322882,-162.21473517619592,-60.8551148027774,-0.10394475186962436,-0.13468517692179915,-0.04842050619935667,-12.214424426512853,-15.826695290458185,-5.68983621614062,0.5232
06073013312,06073013312,Census Tract 133.12; San Diego County; California,1701,1216,394,Chula Vista city,California,45474,0.4966399582279763,0.22982963408804763,06073,1701,1216,394,0.009244,0.009493868073,0.003212018401,0.8505123537155518,0.7823738563848792,0.8861993197290606,-0.175761875334786,-0.2781613187085616,-0.12841431688949148,-2.7636874612866897,-4.373820814471446,-2.0191923690003075,-162.47427755947618,-257.13232301419436,-118.70619453264594,0.8368520584930461,0.7634063405703145,0.8755572601221455,-0.1949543409150969,-0.3099183840324597,-0.1421297561515211,-3.0654706345399836,-4.873170306935294,-2.2348545394357884,-180.21579274191555,-286.48855419960574,-162.47427755947618,-0.30178317325329385,-0.499349492463848,-0.2156621704354809,-17.74151518243938,-29.356231185411403,-12.678552053820155,0.9042243060530688,0.8737768249066342,0.935404077232972,-0.10592028250710422,-0.14445699576302348,-0.06905670430484952,-0.4137049620855557,-0.5642222107095168,-0.2697226684065446,-34.02178964519372,-46.399852854401054,-22.18114049395926,0.89516644536461,0.8620661134584997,0.929178568908428,-0.11711068391609594,-0.16000383774293955,-0.07621939792990583,-0.457412592777709,-0.6249452896101033,-0.2976988201354226,-37.616167169219494,-51.39352710609403,-24.481810866399886,-0.04370763069215339,-0.06072307890058648,-0.02797615172887801,-3.5943775240257723,-4.993674251692967,-2.3006703724406266,0.8737768249066342,0.844051794936942,0.935404077232972,-0.14445699576302348,-0.1847614162999424,-0.06905670430484952,-0.5403535300384495,-0.6911156014649202,-0.2583124046492065,-137.1455659996065,-175.41005113322848,-65.56152402264125,0.8620661134584997,-0.16000383774293955,-0.5985077987218355,0.8298622468249062,-0.20501927136226433,-0.7668918104059542,0.929178568908428,-0.07621939792990583,-0.285105061968706,-151.90553267051664,-194.6425914735925,-72.36169085500153,-0.05815426868338591,-0.07577620894103398,-0.02679265731949948,-14.759966670910131,-19.23254034036396,-6.800166832360275,0.7971
06073010019,06073010019,Census Tract 100.19; San Diego County; California,2589,1926,650,Chula Vista city,California,106702,0.5757618317429879,0.2478148462282912,06073,2589,1926,650,0.009244,0.009493868073,0.003212018401,0.8234804507380291,0.7449936723507735,0.8650973081003412,-0.21435791111224137,-0.3422932799476974,-0.15593932686704373,-5.130167009002517,-8.192007857696739,-3.732051623140128,-198.15245303215593,-316.41590798365155,-144.15031375589524,0.8076414929465473,0.7233822406929052,0.8526512963813024,-0.23817313589432396,-0.3823950101983859,-0.1728123844343559,-5.700130020188262,-9.151751178895074,-4.135869717950261,-220.1672468207131,-353.48594742738794,-198.15245303215593,-0.5699630111857452,-0.959743321198335,-0.40381809481013287,-22.014793788557174,-37.070039443736384,-15.597454415223362,0.8862456853757245,0.8505719919833861,0.9230265235395898,-0.12835528172534835,-0.17567943622052942,-0.08339248602004956,-0.7940503685539314,-1.086814030580787,-0.5158948924325554,-41.22795267673579,-56.42855818176464,-26.785819960153447,0.8756076499974639,0.836916607162041,0.9156628593561692,-0.14206402833837323,-0.19486217795458727,-0.09210501417861452,-0.8788574380734957,-1.2054851358057104,-0.569793618705062,-45.631227314304034,-62.59009012490708,-29.584300036607576,-0.0848070695195643,-0.1186711052249234,-0.05389872627250658,-4.40327463756824,-6.161531943142442,-2.798480076454132,0.8505719919833861,0.8159831306542037,0.9230265235395898,-0.17567943622052942,-0.2255155314280373,-0.08339248602004956,-1.0841203039008709,-1.391659557463676,-0.5146162193600008,-166.78773906167245,-214.1014703790271,-79.17172605538474,0.836916607162041,-0.19486217795458727,-1.2024972764468953,0.7995567581306797,-0.25069294935102004,-1.547029762180406,0.9156628593561692,-0.09210501417861452,-0.5683813547578145,-184.99958099183004,-238.0045787969855,-87.44328534735608,-0.11837697254602464,-0.1553702047167298,-0.05376513539781369,-18.211841930157636,-23.90310841795843,-8.271559291971336,0.164
