geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
26081000100,26081000100,Census Tract 1; Kent County; Michigan,1491,931,543,Grand Rapids city,Michigan,85219,0.7044281551646774,0.21817888018614465,26081,1491,931,543,0.010376,0.007665406738,0.003496039015,0.7813441068794221,0.6879821671712599,0.8318492654757593,-0.27984583385911566,-0.4535260472108563,-0.20214087035115705,-4.329387434834176,-7.016327322397029,-3.1272437831085353,-290.3680372122184,-470.57862658598447,-209.74136707636052,0.7623011501359982,0.6627273585269187,0.8166746991504906,-0.31181751440568495,-0.508916128380087,-0.22447775232929995,-4.82400902744482,-7.873245998375029,-3.472809106829705,-323.54185294733867,-528.0513748071783,-290.3680372122184,-0.4946215926106437,-0.8569186759780001,-0.34556532372116955,-33.17381573512029,-57.47274822119384,-23.176748740521095,0.8577693645071649,0.8141453575576656,0.9032471695295496,-0.16581454337035495,-0.22828189182319375,-0.10711667164242934,-0.5396952190886458,-0.7430147146158942,-0.34864466285677465,-57.96941128771706,-79.8082400231895,-37.44840632188772,0.8447099003876384,0.797576126317057,0.8941024197680768,-0.18383837994688923,-0.25379881243144725,-0.11844010025092226,-0.5983594244850569,-0.8260675022557572,-0.3855002978299118,-64.27061487487185,-88.72905502210067,-41.40712114177355,-0.05866420539641104,-0.08305278763986301,-0.03685563497313715,-6.301203587154784,-8.920814998911172,-3.9587148198858384,0.8141453575576656,0.772317718759363,0.9032471695295496,-0.22828189182319375,-0.29480390739497947,-0.10711667164242934,-0.9501813385974788,-1.2270669789668724,-0.4458534211120862,-174.98735517448964,-225.97918581342037,-82.10928565600115,0.797576126317057,-0.25379881243144725,-1.0563908219112688,0.7526197288513363,-0.3286922487751159,-1.368120959719606,0.8941024197680768,-0.11844010025092226,-0.4929851075844585,-194.5471126908414,-251.95597784891453,-90.78915425128147,-0.10620948331379,-0.14105398075273357,-0.04713168647237231,-19.55975751635175,-25.97679203549421,-8.679868595280352,0.4125
26081013300,26081013300,Census Tract 133; Kent County; Michigan,3287,2072,519,Grand Rapids city,Michigan,54722,0.534324455052807,0.2549379675631157,26081,3287,2072,519,0.010376,0.007665406738,0.003496039015,0.837528567646666,0.7643419510736498,0.8760853275403897,-0.1939891230335644,-0.3083149480351405,-0.14144132833213957,-6.6161759591399205,-10.515362485971073,-4.823985497259058,-201.28311405962643,-319.90759008126173,-146.759522277428,0.8228100591513579,0.7440745771919441,0.8645717636064985,-0.2153473196856574,-0.34395130629767023,-0.15664198403678195,-7.344616734634898,-11.730772984873386,-5.34241772306389,-223.44437890583808,-356.8838754144626,-201.28311405962643,-0.7284407754949775,-1.2154104989023136,-0.5184322258048315,-22.16126484621167,-36.9762853332009,-15.772200359136948,0.8956163345403637,0.8626468177930572,0.929488278863597,-0.11654953291266922,-0.15922296283238926,-0.07586079646169554,-0.844260671910912,-1.1533781579823623,-0.5495198941761356,-40.746171424271814,-55.66496901459278,-26.521230413906157,0.8857970025893731,0.8499949139207679,0.9227165479794792,-0.1289268275652178,-0.17647762783344706,-0.08375643873489905,-0.9339192302822268,-1.278367376757749,-0.6067142911347044,-45.0733219248179,-61.697267218038085,-29.28157775746643,-0.08965855837131476,-0.12498921877538673,-0.05719439695856887,-4.327150500546079,-6.032298203445305,-2.7603473435602734,0.8626468177930572,0.8305647113348551,0.929488278863597,-0.15922296283238926,-0.20400010541362193,-0.07586079646169554,-0.6334440527405147,-0.8115830231643594,-0.3018005035203668,-122.05087721397202,-156.3743782590288,-58.15038603475275,0.8499949139207679,-0.17647762783344706,-0.7020890819028952,0.8152875728272742,-0.22656107283982704,-0.901338359869443,0.9227165479794792,-0.08375643873489905,-0.3332121011414479,-135.27727975007616,-173.6682774314919,-64.20271698293794,-0.06864502916238047,-0.08975533670508362,-0.03141159762108109,-13.226402536104136,-17.293899172463128,-6.0523309481851815,0.7913
26081011804,26081011804,Census Tract 118.04; Kent County; Michigan,2296,1851,712,Grand Rapids city,Michigan,0,NA,NA,26081,2296,1851,712,0.010376,0.007665406738,0.003496039015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3597
26081003300,26081003300,Census Tract 33; Kent County; Michigan,2960,1496,345,Grand Rapids city,Michigan,25047,0.6468050021761648,0.1759846513942708,26081,2960,1496,345,0.010376,0.007665406738,0.003496039015,0.7999414767722093,0.71295440932906,0.8465783956749828,-0.2500914492333034,-0.4026142301876919,-0.1812255133237756,-7.681048676644478,-12.365474747185372,-5.565971941692586,-259.49488772447563,-417.7525252427491,-188.03959262474953,0.7822832601042231,0.6892359712629001,0.8325951934612811,-0.2783093426628746,-0.4508819064792585,-0.20106386375205984,-8.547703708831161,-13.847917958421208,-6.175266404862463,-288.7737739469987,-467.83506616287866,-259.49488772447563,-0.8666550321866833,-1.482443211235836,-0.6092944631698769,-29.27888622252308,-50.08254092012959,-20.584272404387733,0.8704075531514113,0.8302620348692066,0.9120523902063724,-0.14888708901868358,-0.2044390300919067,-0.09642824330927684,-0.7786905477704874,-1.069231330783537,-0.5043268835326883,-52.05150720390959,-71.47268253900648,-33.71169007571446,0.858410292302177,0.8149607587369913,0.9036947607264362,-0.16494409371315025,-0.22705294614403104,-0.10656832755802272,-0.8626698764248243,-1.1875037934525787,-0.5573602782355962,-57.66509869149895,-79.37859581902265,-37.25670309061472,-0.08397932865433688,-0.11827246266904168,-0.05303339470290791,-5.613591487589364,-7.905913280016155,-3.5450130149002614,0.8302620348692066,0.7915766341681,0.9120523902063724,-0.2044390300919067,-0.2633015640373728,-0.09642824330927684,-0.5406523699779567,-0.6963181861688155,-0.2550107885687698,-156.71083187766862,-201.8313583098016,-73.91617059964342,0.8149607587369913,-0.22705294614403104,-0.6004563482230463,0.7732897663439456,-0.29317630146319257,-0.775323880846967,0.9036947607264362,-0.10656832755802272,-0.28182690376162717,-174.04531832552067,-224.73155966578756,-81.68895761206585,-0.05980397824508954,-0.07900569467815155,-0.02681611519285737,-17.33448644785204,-22.900201355985956,-7.772787012422426,0.4936
26081012400,26081012400,Census Tract 124; Kent County; Michigan,2352,1920,625,Grand Rapids city,Michigan,12752,0.6771329095373292,0.19217146531110216,26081,2352,1920,625,0.010376,0.007665406738,0.003496039015,0.7900988895527852,0.6997002025380732,0.8387940190215563,-0.26566435318751536,-0.429183522275151,-0.1921878045416784,-6.483366389040446,-10.473945750202626,-4.690218832142318,-275.6533328673659,-445.32082271269667,-199.4140659924455,0.7717019480372344,0.6751545512232984,0.8241776963462292,-0.2958370813283866,-0.4811423520557197,-0.2133305771719277,-7.219712267390574,-11.741967321675704,-5.206194497666887,-306.96055558633395,-499.2333044930147,-275.6533328673659,-0.7363458783501278,-1.2680215714730796,-0.5159756655245689,-31.307222718968017,-53.91248178031801,-21.937740881146635,0.8637328506312307,0.8217402178225868,0.9074074267635164,-0.15776538922791106,-0.2169296065972755,-0.10204079281865366,-1.0589835954382807,-1.456117186891539,-0.6849380982058465,-55.155395595743784,-75.83943681726767,-35.673859281554506,0.8511721031271616,0.80576425435886,0.8986334128259347,-0.1748505341352853,-0.24105778407319864,-0.11280082147768974,-1.1736658351306497,-1.6180750425395485,-0.7571636597953024,-61.12842891305467,-84.2747417989348,-39.43560728100533,-0.114682239692369,-0.16195785564800924,-0.07222556158945592,-5.973033317310886,-8.435304981667148,-3.7617479994508294,0.8217402178225868,0.7813812683324521,0.9074074267635164,-0.2169296065972755,-0.27978496609485237,-0.10204079281865366,-1.039283542551528,-1.3404159776841142,-0.48886511301435615,-166.2853668082445,-214.46655642945828,-78.21841808229699,0.80576425435886,-0.24105778407319864,-1.1548787264262788,0.7623410315583461,-0.3117488874445617,-1.4935512639884667,0.8986334128259347,-0.11280082147768974,-0.5404151106293863,-184.78059622820464,-238.96820223815467,-86.46641770070181,-0.11559518387475064,-0.15313528630435247,-0.05154999761503015,-18.495229419960104,-24.501645808696395,-8.247999618404824,0.0381
26081012500,26081012500,Census Tract 125; Kent County; Michigan,2780,2231,797,Grand Rapids city,Michigan,0,NA,NA,26081,2780,2231,797,0.010376,0.007665406738,0.003496039015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8e-4
26081000300,26081000300,Census Tract 3; Kent County; Michigan,3740,2365,1024,Grand Rapids city,Michigan,146496,0.7653807700012943,0.1635532901242593,26081,3740,2365,1024,0.010376,0.007665406738,0.003496039015,0.7621425239590991,0.6625183405202354,0.8165478950685544,-0.3120905454865627,-0.5093921765467817,-0.22466790501743147,-12.111060609882468,-19.767595057196782,-8.718516642403651,-323.8251499968575,-528.5453223849406,-233.11541824608696,0.7417196987929976,0.6357958603416323,0.8001655139885265,-0.3482182037598605,-0.5728318826465304,-0.24974143788748543,-13.51303918747405,-22.229451517633095,-9.691526176606857,-361.3112082212313,-594.37036143404,-323.8251499968575,-1.4019785775915814,-2.461856460436312,-0.9730095342032036,-37.486058224373835,-65.82503904909926,-26.01629770596801,0.8446006014122183,0.79743781850421,0.8940256842885899,-0.1839915793665615,-0.2540162716081675,-0.11853609753475698,-1.5212667148563292,-2.100240132509232,-0.9800721332432965,-64.32417398969679,-88.80507959869902,-41.44068216673558,0.8304558045174842,0.7795904512596575,0.8840666245457807,-0.20415799920987393,-0.28272479272187856,-0.1311364689440505,-1.6880053415427685,-2.3376059823671196,-1.0842536707124466,-71.37443304620584,-98.84169058634755,-45.84582117177364,-0.16673862668643902,-0.23736584985788767,-0.10418153746915026,-7.0502590565090495,-10.036610987648528,-4.405139005038066,0.79743781850421,0.752455742810845,0.8940256842885899,-0.2540162716081675,-0.32898181661081893,-0.11853609753475698,-1.9938693529056104,-2.582302140137525,-0.930434458356891,-194.7138039946885,-252.17794337280515,-90.86274007391512,0.7795904512596575,-0.28272479272187856,-2.21921334387706,0.7313563849013531,-0.3673224444945293,-2.8832521636321236,0.8840666245457807,-0.1311364689440505,-1.0293395175846427,-216.72005311299415,-281.56759410469954,-100.52143726412528,-0.22534399097144964,-0.30095002349459854,-0.09890505922775172,-22.00624911830563,-29.38965073189439,-9.658697190210129,0.2298
26081000800,26081000800,Census Tract 8; Kent County; Michigan,2080,1145,285,Grand Rapids city,Michigan,84832,0.5328510819103637,0.24284876843009415,26081,2080,1145,285,0.010376,0.007665406738,0.003496039015,0.8380324593533673,0.7650390854034146,0.8764785834065949,-0.19327120189545896,-0.3071227589276535,-0.14092918975078256,-4.171194541003947,-6.628347952997332,-3.0415450475365695,-200.53819908672824,-318.6705746633333,-146.228127285412,0.8233546156191621,0.7448211251708152,0.8649986696288483,-0.2145435041352148,-0.342604239065672,-0.15607114220080565,-4.630295069726537,-7.394112095854458,-3.3683398766691637,-222.61033989069887,-355.4861584545413,-200.53819908672824,-0.4591005287225895,-0.765764142857126,-0.32679482913259417,-22.07214080397065,-36.815583791207985,-15.71128986214395,0.8959513411067263,0.8630792993482215,0.9297188680077266,-0.11613204213160434,-0.15864208625462117,-0.07559396115395314,-0.4648724619603509,-0.6350386667973877,-0.30259995592904376,-40.60021501837126,-55.461892296715085,-26.427943749261463,0.8861614763994553,0.8504636781484388,0.9229683512234844,-0.12846250557300198,-0.17582916906824245,-0.08346076945585676,-0.5142308715078111,-0.7038379521180599,-0.33409051164433695,-44.91099314478699,-61.470563503760694,-29.17821062395956,-0.04935840954746018,-0.06879928532067214,-0.03149055571529319,-4.3107781264157365,-6.008671207045602,-2.750266874698095,0.8630792993482215,0.8310879530184161,0.9297188680077266,-0.15864208625462117,-0.20324208330552107,-0.07559396115395314,-0.3465759933183668,-0.4440109719223601,-0.16514566086676247,-121.60561169065502,-155.79332348152985,-57.94584591816226,0.8504636781484388,-0.17582916906824245,-0.3841235977341044,0.815852569700179,-0.22571165077961824,-0.4930989084883887,0.9229683512234844,-0.08346076945585676,-0.18233181219549288,-134.78020973126468,-173.01716087311885,-63.97607445455891,-0.03754760441573757,-0.04908793656602861,-0.01718615132873041,-13.174598040609672,-17.223837391588987,-6.0302285363966375,0.7353
26081001500,26081001500,Census Tract 15; Kent County; Michigan,2551,1276,449,Grand Rapids city,Michigan,64623,0.506792371799501,0.23878988770983428,26081,2551,1276,449,0.010376,0.007665406738,0.003496039015,0.8469947694568177,0.7774745082015188,0.8834631187654669,-0.18064483519928387,-0.2862158044425598,-0.1319091637887265,-4.78151993638084,-7.575896501771697,-3.4915268723366286,-187.43708100277695,-296.97751868960006,-136.86894834718262,0.8330456505821384,0.7581493625138825,0.8725840424545755,-0.2004144062227474,-0.3190013069247802,-0.14602141609993674,-5.304804191245396,-8.443701737222026,-3.865066562518459,-207.9499878967227,-330.99575606515197,-187.43708100277695,-0.5232842548645564,-0.8678052354503292,-0.37353969018183086,-20.51290689394576,-34.018237375551905,-14.642872998111756,0.9018971614352004,0.8707642832894772,0.9338066327035696,-0.10877386331795004,-0.14841641899034994,-0.07088551845555689,-0.48523430688405605,-0.662077598443741,-0.3162164546400092,-38.02776699718308,-51.88695912568504,-24.781853811912946,0.892632555448917,0.858797294695321,0.9274332238798332,-0.1202817933265794,-0.16441913147243217,-0.07824474501419104,-0.5365705587287214,-0.7334648312094877,-0.3490455653239201,-42.05098422638883,-57.48156984400374,-27.35466812883386,-0.05133625184466534,-0.07138723276574666,-0.03282911068391092,-4.0232172292057475,-5.5946107183187035,-2.5728143169209186,0.8707642832894772,0.8403968927670439,0.9338066327035696,-0.14841641899034994,-0.18991396637302627,-0.07088551845555689,-0.5108148259531483,-0.6536397410667694,-0.24397148252733628,-113.76722181584596,-145.5767797476101,-54.336633079584914,0.858797294695321,-0.16441913147243217,-0.5658924436919553,0.8259102991088069,-0.21078524033305251,-0.7254738160824487,0.9274332238798332,-0.07824474501419104,-0.26930023024454747,-126.03395182448894,-161.57546015199304,-59.977779564487186,-0.05507761773880704,-0.07183407501567929,-0.02532874771721119,-12.266730008642991,-15.998680404382911,-5.6411464849022694,0.7069
26081011702,26081011702,Census Tract 117.02; Kent County; Michigan,2996,1514,632,Grand Rapids city,Michigan,358396,0.8182187595198388,0.1610010743636179,26081,2996,1514,632,0.010376,0.007665406738,0.003496039015,0.7458794980017542,0.6412084005539576,0.8035115316321755,-0.34069913796939905,-0.5595553631800091,-0.244537210273382,-10.591142389689171,-17.394615559273902,-7.601805009014648,-353.5094255570484,-580.5946448355775,-253.73180937966117,0.7243284386483363,0.6133369423886947,0.7861244888197098,-0.38058917287037947,-0.630425188649834,-0.2720631582173502,-11.83118380007836,-19.59771010526231,-8.457490279671024,-394.8993257703057,-654.1291757430677,-353.5094255570484,-1.240041410389189,-2.2030945459884066,-0.8556852706563758,-41.38990021325731,-73.53453090749021,-28.56092358666141,0.8333486987503349,0.7832322441360022,0.8861080691803754,-0.19997787420748417,-0.27676051067473384,-0.1285305199003225,-1.0584835018543162,-1.464894232299113,-0.6803124362552986,-69.9130450366127,-96.75655431301936,-44.93477121897613,0.818294133741995,0.76432772622413,0.8754580904049124,-0.22205446521665545,-0.3083392969925598,-0.14225913377245175,-1.1753349658125152,-1.632040845185503,-0.7529780316096135,-77.63110738523879,-107.79662121436613,-49.73434819085954,-0.116851463958199,-0.1671466128863901,-0.07266559535431494,-7.71806234862609,-11.04006690134677,-4.799576971883417,0.7832322441360022,0.7356517885749568,0.8861080691803754,-0.27676051067473384,-0.35933877349379717,-0.1285305199003225,-1.340776550269885,-1.740830004716453,-0.6226708667945874,-212.14818833384257,-275.44778555640085,-98.5238713282575,0.76432772622413,-0.3083392969925598,-1.493761150846393,0.7134105455180857,-0.4017174350482726,-1.946135001103179,0.8754580904049124,-0.14225913377245175,-0.6891796454588016,-236.35461247569512,-307.9327533391106,-109.0474122561395,-0.1529846005765081,-0.20530499638672572,-0.06650877866421423,-24.206424141852544,-32.48496778270977,-10.523540927882,0.0976
26081011701,26081011701,Census Tract 117.01; Kent County; Michigan,3286,2027,1072,Grand Rapids city,Michigan,139854,0.7598414721470131,0.17487637727351793,26081,3286,2027,1072,0.010376,0.007665406738,0.003496039015,0.7638678701499361,0.6647929934774158,0.8179267589929983,-0.30912693029452154,-0.5042276465177152,-0.2226033553800877,-10.539848380426353,-17.191911874040034,-7.589780717082574,-320.7501028735956,-523.1866060267813,-230.973241542379,0.7435669317817382,0.6381974681817777,0.8016519592099305,-0.3448688440242977,-0.5669131418665706,-0.24742413276897843,-11.758488086708828,-19.329207437384767,-8.436058426093485,-357.83591255961124,-588.2290760007537,-320.7501028735956,-1.2186397062824756,-2.1372955633447326,-0.846277709010911,-37.08580968601569,-65.04246997397239,-25.754038618713057,0.845788963552793,0.7989419083245533,0.8948598177850405,-0.1823280310958815,-0.2516554577754997,-0.11749346671437626,-1.292062320055132,-1.783349124507127,-0.8326140543604353,-63.7425910239335,-87.97972987208321,-41.07617436410633,0.8317412011862723,0.7812080733616377,0.8849739926318437,-0.20229705895745975,-0.28006869629095466,-0.12997670928845928,-1.433572258559915,-1.9846987176327875,-0.9210761918888049,-70.72384107350346,-97.91310891133637,-45.440364671376656,-0.14150993850478333,-0.2013495931256608,-0.08846213752836951,-6.981250049569972,-9.933379039253124,-4.364190307270325,0.7989419083245533,0.7542394734663271,0.8948598177850405,-0.2516554577754997,-0.3258388551373595,-0.11749346671437626,-2.0679324254882387,-2.6775208452805144,-0.9654809466458404,-192.90414416867895,-249.76873556721216,-90.06352114233584,0.7812080733616377,-0.28006869629095466,-2.301412985610472,0.7332636958141936,-0.3637658671886525,-2.989179089119276,0.8849739926318437,-0.12997670928845928,-1.0680596958705462,-214.68404716515596,-278.841332940231,-99.63243431628229,-0.23348056012223317,-0.3116582438387616,-0.10257874922470588,-21.779902996476977,-29.07259737301881,-9.568913173946443,0.2428
