geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06059087504,06059087504,Census Tract 875.04; Orange County; California,4410,2632,747,Garden Grove city,California,46225,0.3295810825579179,0.20448556472313695,06059,4410,2632,747,0.009319,0.009493868073,0.003212018401,0.9105380623115442,0.8675742138678227,0.9324604154526152,-0.09825172762283278,-0.15263914488859243,-0.07243158361269547,-4.037830617252758,-6.272978883266056,-2.976705581098387,-91.56078497171788,-142.24441912167927,-67.49899276867092,0.9020444013970124,0.8553370785145787,0.9259625979724684,-0.1085928790769967,-0.16912972104126495,-0.07995722741895561,-4.462818746922728,-6.950688628391448,-3.2859853842190607,-101.19770401185322,-157.6119870383548,-91.56078497171788,-0.4249881296699698,-0.6777097451253917,-0.3092798031206736,-9.63691904013537,-15.36756791667555,-7.013147463053824,0.943391597076464,0.9248722607881816,0.9620861027040404,-0.06000520155040941,-0.08123039515510411,-0.03940800848219174,-0.507285919961775,-0.6867243950592871,-0.3331565817665964,-19.27378115356288,-26.09135239586957,-12.657924839156395,0.937910081268149,0.9176771742959328,0.9583746892801552,-0.06620028931547378,-0.08970782755627267,-0.0434332325190162,-0.5596593928431968,-0.7583928835140386,-0.36718595631769,-21.26365474328255,-28.81431928244827,-13.950834206599165,-0.0523734728814218,-0.07166848845475149,-0.03402937455109356,-1.989873589719673,-2.722966886578704,-1.2929093674427643,0.9248722607881816,0.9065282515203714,0.9620861027040404,-0.08123039515510411,-0.10310958133170556,-0.03940800848219174,-0.5760794193748019,-0.7312448453824307,-0.27947842186154626,-77.11906551202166,-97.89087622254762,-37.41344335495934,0.9176771742959328,-0.08970782755627267,-0.6362006871112109,0.8976757175998099,-0.11398802529022732,-0.8083938936833825,0.9583746892801552,-0.0434332325190162,-0.3080249865010465,-85.16742799346866,-108.21872740072054,-41.23493795194732,-0.06012126773640902,-0.07714904830095182,-0.02854656463950022,-8.04836248144699,-10.327851178172931,-3.8214945969879826,0.9636
06059110001,06059110001,Census Tract 1100.01; Orange County; California,3234,2323,1008,Garden Grove city,California,53165,0.504500229894515,0.2614498447321024,06059,3234,2323,1008,0.009319,0.009493868073,0.003212018401,0.8477876717055928,0.7785779608850087,0.8840801400399776,-0.17954062482199587,-0.2843928935045902,-0.13111917654295524,-5.410931793504124,-8.570932349357037,-3.951623326463088,-167.31390827161795,-265.0257374569275,-122.18996062037996,0.8339035190979833,0.7593330738893103,0.8732544313755952,-0.19917949390797615,-0.31694513828825044,-0.14514162662163496,-6.002801077857742,-9.551980379152337,-4.37422696298701,-185.615370372843,-295.36117437082055,-167.31390827161795,-0.591869284353618,-0.9810480297953,-0.4226036365239221,-18.301462101225045,-30.33543691389301,-13.067521228321649,0.902422044086156,0.8714435251036249,0.9341670541127112,-0.1081289586765989,-0.1475212921928455,-0.07047234817097894,-0.8068062520993246,-1.1007328870606925,-0.525830746918783,-34.73122049502043,-47.38411050627174,-22.63584790868631,0.8932040120324425,0.8595342210584268,0.927826989088404,-0.1195650562793022,-0.16342081036471617,-0.07778714325017246,-0.8921369087375259,-1.2193674399448893,-0.5804102275218447,-38.40451608857193,-52.491064999779994,-24.98537354807769,-0.08533065663820139,-0.11863455288419678,-0.05457948060306172,-3.6732955935515017,-5.106954493508256,-2.3495256393913784,0.8714435251036249,0.8412206856891385,0.9341670541127112,-0.1475212921928455,-0.18874870412962735,-0.07047234817097894,-1.4117520675256587,-1.8062909383240433,-0.6744076177404352,-140.05476860373597,-179.1955295956392,-66.9055176329797,0.8595342210584268,-0.16342081036471617,-1.5639075788972492,0.8268008945426228,-0.20948103297975867,-2.0046955732328353,0.927826989088404,-0.07778714325017246,-0.7444088827990312,-155.14956139853663,-198.87852909055908,-73.85008757926897,-0.15215551137159045,-0.198404634908792,-0.07000126505859594,-15.09479279480064,-19.68299949491984,-6.944569946289279,0.2094
06059088107,06059088107,Census Tract 881.07; Orange County; California,3916,2879,1232,Garden Grove city,California,53721,0.4146534451966824,0.19670838663043708,06059,3916,2879,1232,0.009319,0.009493868073,0.003212018401,0.8794594583138307,0.8230872333860625,0.9086085226412732,-0.13706207892434202,-0.21493805205329675,-0.10058399748778173,-5.001834406850114,-7.843778180943577,-3.670632339457106,-127.72815134959434,-200.30077070846724,-93.73422725886378,0.8682352346542173,0.8072172835168254,0.899941929692608,-0.1517615964966675,-0.2388238215654562,-0.11118280747466527,-5.538266900318573,-8.715446440447792,-4.057416874465685,-141.42663177524446,-222.55991931684864,-127.72815134959434,-0.5364324934684586,-0.8716682595042151,-0.3867845350085788,-13.698480425650118,-22.259148608381388,-9.877031026776782,0.9232387091594046,0.8984898733288078,0.9484048962473636,-0.08314349266235314,-0.1129785985178755,-0.05440197953088092,-0.768861215233719,-1.0447584022554308,-0.5030769186362588,-26.70584283548867,-36.288933735860745,-17.474015930401485,0.9158944041616166,0.8889237409914394,0.9433941224012738,-0.09182892204191512,-0.1249558920371216,-0.06000236407520119,-0.8491788633594199,-1.155517238040883,-0.554865920140064,-29.495618734262585,-40.136062453660394,-19.272869751304757,-0.08031764812570097,-0.11075883578545188,-0.05178900150380516,-2.789775898773913,-3.847128717799648,-1.7988538209032707,0.8984898733288078,0.8741557068055531,0.9484048962473636,-0.1129785985178755,-0.14396095823056804,-0.05440197953088092,-1.3214480163822089,-1.6838314971677293,-0.6363097868219152,-107.26039094011436,-136.67463451036764,-51.648521657622986,0.8889237409914394,-0.1249558920371216,-1.4615397768595793,0.8624773067391271,-0.1594507961963911,-1.865007542211164,0.9433941224012738,-0.06000236407520119,-0.7018143792328282,-118.63147539444635,-151.38048232233473,-56.965452859807485,-0.1400917604773706,-0.18117604504343457,-0.065504592410913,-11.37108445433203,-14.70584781196709,-5.316931202184496,0.9141
06059088903,06059088903,Census Tract 889.03; Orange County; California,5662,3919,1786,Garden Grove city,California,71736,0.34753340491758095,0.17333137293130715,06059,5662,3919,1786,0.009319,0.009493868073,0.003212018401,0.9038895791655618,0.8579904641245552,0.9273755110529824,-0.10632982506907966,-0.1655141191112693,-0.07831184679931481,-5.610405816653781,-8.733216442300213,-4.132060224027777,-99.08876398187532,-154.24260759979182,-72.97881003228147,0.8948019408911138,0.8449494102085742,0.9204096974621884,-0.11756574757104549,-0.183502808473648,-0.08647269010448598,-6.203260031541711,-9.68237484980347,-4.562660412811936,-109.55952016145729,-171.00626721659253,-99.08876398187532,-0.5928542148879297,-0.9491584075032566,-0.43060018878415907,-10.470756179581944,-16.763659616800716,-7.605089876088997,0.939102549353245,0.919241204022001,0.9591827033931496,-0.06484643310647464,-0.08785375984524088,-0.04255424588293512,-0.8162804226622945,-1.1058943535289787,-0.5356685965805146,-20.82879363772122,-28.218789321994866,-13.668502081666611,0.9332206098440092,0.9115330740324736,0.955193750921438,-0.07155798902378857,-0.0970528974622536,-0.04690802157712955,-0.9007648181557396,-1.2216921789824502,-0.5904734901357009,-22.984557748296492,-31.173569251912483,-15.06694284602452,-0.08448439549344511,-0.1157978254534715,-0.05480489355518636,-2.1557641105752774,-2.954779929917619,-1.3984407643579069,0.919241204022001,0.8995985250953662,0.9591827033931496,-0.08785375984524088,-0.1116069803404694,-0.04255424588293512,-1.489652602158307,-1.8924133580176816,-0.7215518518964408,-83.40720056877419,-105.9581947378321,-40.400439635858945,0.9115330740324736,-0.0970528974622536,-1.6456336246317316,0.8901303482688755,-0.1234309693460052,-2.092901487620956,0.955193750921438,-0.04690802157712955,-0.7953746831958078,-92.14074046090322,-117.18373390934804,-44.53385684187054,-0.1559810224734246,-0.20048812960327456,-0.07382283129936706,-8.733539892129038,-11.225539171515932,-4.133417206011594,0.9268
06059099203,06059099203,Census Tract 992.03; Orange County; California,3674,2658,1238,Garden Grove city,California,54033,0.4302872475987118,0.2281787162462834,06059,3674,2658,1238,0.009319,0.009493868073,0.003212018401,0.8738645939882915,0.8151635036547662,0.9042920758293236,-0.14434204896210556,-0.2267477573720165,-0.1058374022385444,-4.941983938416864,-7.763391077389644,-3.623661612867696,-134.51235542778616,-211.30623509498216,-98.62987514609952,0.8621613659781833,0.7986733625129978,0.895240245639943,-0.15987567926501672,-0.25207631421878773,-0.11701859346724498,-5.473824465929718,-8.63059035868074,-4.006483305243094,-148.9881455070691,-234.9099172204883,-134.51235542778616,-0.5318405275128546,-0.8671992812910956,-0.38282169237539776,-14.475790079282923,-23.60368212550614,-10.419752106026069,0.9195823019089652,0.8937240666208285,0.9459119362109653,-0.0874502455344077,-0.11891358568982138,-0.05718086612343114,-0.7466103986281148,-1.0152300782190975,-0.48818421251337135,-28.089179782848564,-38.19526253645966,-18.366599417357836,0.9119051423745596,0.8837385465255971,0.940666713505268,-0.09660528659378466,-0.13155639066722027,-0.06307577980901931,-0.8247719728241396,-1.1231685935002171,-0.5385123028438169,-31.0297958173115,-42.25615475922563,-20.260056540399432,-0.07816157419602476,-0.10793851528111942,-0.05032809033044555,-2.9406160344629333,-4.060892222765967,-1.8934571230415933,0.8937240666208285,0.8683335691726914,0.9459119362109653,-0.11891358568982138,-0.151631165144006,-0.05718086612343114,-1.3976399695476625,-1.7821830517089967,-0.672070087903354,-112.89498946265446,-143.9566277632469,-54.28675992757302,0.8837385465255971,-0.13155639066722027,-1.5462360232374412,0.8561606236015514,-0.16800512945032378,-1.974632945820762,0.940666713505268,-0.06307577980901931,-0.7413554175502318,-124.89790171546376,-159.5018534588661,-59.88331321084263,-0.1485960536897788,-0.19244989411176536,-0.06928532964687784,-12.002912252809272,-15.545225695619177,-5.596553283269616,0.7074
06059088002,06059088002,Census Tract 880.02; Orange County; California,2918,1993,864,Garden Grove city,California,52929,0.43741649292561025,0.20124144704813152,06059,2918,1993,864,0.009319,0.009493868073,0.003212018401,0.8713250829031338,0.8115755337301868,0.9023305256085234,-0.14767727868930303,-0.23217120087858156,-0.10824135017000466,-4.015764906388185,-6.313394782441529,-2.94338993303961,-137.6204560105615,-216.36034209875015,-100.87011422342736,0.8594057160288863,0.7948072878522081,0.8931043705363627,-0.16359477409664808,-0.25816662137344015,-0.11968996344675824,-4.448606844035844,-7.0202841446817805,-3.2547102649934723,-152.45396998066636,-240.58547445790887,-137.6204560105615,-0.4328419376476589,-0.7068893622402515,-0.31132033195386244,-14.833513970104828,-24.22513235915872,-10.668962712606664,0.9179197369291016,0.8915591884730686,0.9447772860307382,-0.08941986948172373,-0.12163052428706712,-0.05845050975057539,-0.5724260045172977,-0.7786242078917407,-0.37417401694328944,-28.721826619031496,-39.0679482133337,-18.77441128666781,0.9100917528961976,0.8813840728135194,0.9394255937611824,-0.09879031077656296,-0.1345791588992975,-0.06448025968325545,-0.6324113780372738,-0.8615155744078635,-0.4127737787435228,-31.731629605482876,-43.22707347756465,-20.711178060387496,-0.05998537351997601,-0.08289136651612283,-0.03859976180023333,-3.0098029864513807,-4.15912526423095,-1.9367667737196856,0.8915591884730686,0.8656914771417762,0.9447772860307382,-0.12163052428706712,-0.15514594564528422,-0.05845050975057539,-0.9976989466637892,-1.2726159609748238,-0.4794521141130303,-115.47441512312376,-147.29351400171572,-55.49214283715628,0.8813840728135194,-0.1345791588992975,-1.1039127378899625,0.8532955014115471,-0.17192695654174892,-1.4102655928702,0.9394255937611824,-0.06448025968325545,-0.5289123560362052,-127.76767799652345,-163.22518435997685,-61.2167078745608,-0.10621379122617336,-0.13764963189537616,-0.04946024192317494,-12.293262873399694,-15.931670358261128,-5.724565037404507,0.9072
06059088701,06059088701,Census Tract 887.01; Orange County; California,4003,2673,1143,Garden Grove city,California,54885,0.3790087820471169,0.1910661271303641,06059,4003,2673,1143,0.009319,0.009493868073,0.003212018401,0.892349908053874,0.8414423214019782,0.9185271057966504,-0.12063663701260424,-0.18843558799590596,-0.08869949911024887,-4.500223919742796,-7.029393071868991,-3.308842300730262,-112.42128203204584,-175.60312445338474,-82.65906322084092,0.8822439757852026,0.8270405178957349,0.9107541829812092,-0.13347331061115353,-0.20913060286856489,-0.0979911140530354,-4.979082639686115,-7.80139901679302,-3.655456305016528,-124.38377815853396,-194.8888088132156,-112.42128203204584,-0.47885871994331897,-0.7720059449240289,-0.3466140042862662,-11.962496126488109,-19.28568435983085,-8.658855965182768,0.931629676079868,0.9094510304356572,0.9541133748599948,-0.07338787683086939,-0.09956442571841025,-0.04809347227391965,-0.630088142444541,-0.8548327975075364,-0.41291733617827686,-23.57232107910741,-31.98027674925314,-15.447711791181328,0.9250551929717016,0.900859891097811,0.9496421492749512,-0.08101657890005604,-0.11005053047857906,-0.05302823886186684,-0.6955860819354782,-0.9448636112486204,-0.4552858859588195,-26.022674221304836,-35.34843289370073,-17.03276789969396,-0.06549793949093718,-0.09003081374108413,-0.04236854978054266,-2.4503531421974256,-3.3681561444475916,-1.5850561085126325,0.9094510304356572,0.8875764120223348,0.9541133748599948,-0.09956442571841025,-0.12666355984101588,-0.04809347227391965,-1.080422490257042,-1.3744885059177072,-0.5218858915156505,-94.5251522534595,-120.25271267871452,-45.65930809410765,0.900859891097811,-0.11005053047857906,-1.194212363862298,0.8770539871470766,-0.140180666931175,-1.5211692746565804,0.9496421492749512,-0.05302823886186684,-0.575435467755523,-104.48052177272947,-133.08567582297292,-50.344310389809536,-0.11378987360525604,-0.14668076873887315,-0.05354957623987255,-9.955369519269995,-12.832963144258368,-4.685002295701885,0.9336
06059088203,06059088203,Census Tract 882.03; Orange County; California,2666,1970,849,Garden Grove city,California,54922,0.4009109705299674,0.1857265186990333,06059,2666,1970,849,0.009319,0.009493868073,0.003212018401,0.8844070487829873,0.8301159593851648,0.9124197917344482,-0.1307010740993953,-0.2046509751970819,-0.0959867476121575,-3.247196823213018,-5.0844417393390415,-2.384738335659857,-121.80033095322648,-190.7142437861606,-89.45005009976957,0.8736096342020238,0.8148030383926735,0.9040952071028954,-0.14467602101643975,-0.22729046515665485,-0.10607820077315118,-3.5943967490459707,-5.646907506223114,-2.635454979511319,-134.8235839852202,-211.81198447948665,-121.80033095322648,-0.3471999258329528,-0.5624657668840722,-0.2507166438514621,-13.023253031993727,-21.09774069332604,-9.40422520073001,0.926464780582682,0.9027001114180438,0.9506016913567108,-0.0793718454910606,-0.10778761113600462,-0.05196530691291671,-0.5022393416300727,-0.6820451070262984,-0.32881963837526496,-25.49438282386156,-34.62157903686794,-16.6913522017901,0.9194154676470002,0.893506766328776,0.9457981080851358,-0.08764757086285975,-0.11918570478070512,-0.05730809932005623,-0.5546054525164803,-0.7541685534768038,-0.36262709899844175,-28.1525610414457,-38.282667689177856,-18.40746695423562,-0.05236611088640763,-0.07212344645050539,-0.0338074606231768,-2.658178217584144,-3.6610886523099184,-1.7161147524455227,0.9027001114180438,0.8793057309723802,0.9506016913567108,-0.10778761113600462,-0.13726086931578402,-0.05196530691291671,-0.8687998346646664,-1.106362960554076,-0.41885565120535406,-102.33213600290534,-130.31365848693474,-49.33517682041862,0.893506766328776,-0.11918570478070512,-0.9606718204118334,0.8680682942009846,-0.1519830947407798,-1.225028425725145,0.9457981080851358,-0.05730809932005623,-0.46192012875568667,-113.153335737554,-144.29074507952237,-54.407553445899495,-0.09187198574716704,-0.11866546517106902,-0.0430644775503326,-10.82119973464865,-13.977086592587636,-5.072376625480872,0.8801
06059088302,06059088302,Census Tract 883.02; Orange County; California,4215,3000,1179,Garden Grove city,California,71683,0.41995826739059994,0.18591037500285823,06059,4215,3000,1179,0.009319,0.009493868073,0.003212018401,0.8775570193988335,0.8203899773218611,0.9071415722863378,-0.13952709384632986,-0.21893249264754608,-0.1023637660873859,-5.48056634253989,-8.599577454211161,-4.020806250949591,-130.0252987553948,-204.02318989824815,-95.39279361683492,0.8661694836031726,0.8043079854735169,0.8983438048395644,-0.1545084639095189,-0.2433048260875766,-0.11315956609573366,-6.069028341353379,-9.55691259721718,-4.444860795020488,-143.98643751728065,-226.73576743101265,-130.0252987553948,-0.5884619988134885,-0.95733514300602,-0.4240545440708967,-13.961138761885849,-22.71257753276441,-10.06060602777928,0.9219963995829464,0.8968699099944702,0.9475582557738425,-0.08460293386431596,-0.1149889062575035,-0.05534408455270126,-0.8152385410523068,-1.108039448429896,-0.533298653909329,-27.174618035076893,-36.934648280996534,-17.77662179697763,0.9145388256165052,0.8871609126890383,0.9424677796668428,-0.09344728948591538,-0.12719122956954856,-0.06104423044944242,-0.9004632400570023,-1.225621709469616,-0.5882255744354807,-30.015441335233408,-40.85405698232053,-19.60751914784936,-0.08522469900469554,-0.11758226103971992,-0.05492692052615178,-2.8408233001565177,-3.9194087013239978,-1.830897350871726,0.8968699099944702,0.8721757911735142,0.9475582557738425,-0.1149889062575035,-0.14655785005738134,-0.05534408455270126,-1.2871019274175497,-1.6404616534450995,-0.6194813066525132,-109.16895058673023,-139.1400893507294,-52.542943736430296,0.8871609126890383,-0.12719122956954856,-1.4236858324660455,0.8603287390989215,-0.1623463852287038,-1.8171869977544148,0.9424677796668428,-0.06104423044944242,-0.6832845813251778,-120.75367535759504,-154.12951634897496,-57.95458705048158,-0.13658390504849627,-0.1767253443093153,-0.06380327467266456,-11.584724770864824,-14.989426998245571,-5.411643314051277,0.6916
06059089105,06059089105,Census Tract 891.05; Orange County; California,3726,2254,656,Garden Grove city,California,51189,0.369733901729531,0.23845727625760196,06059,3726,2254,656,0.009319,0.009493868073,0.003212018401,0.8957349194714349,0.8462851320329345,0.9211256642332188,-0.11640171468372694,-0.18163484403632815,-0.08562820343567278,-4.041769479866888,-6.306832945726743,-2.9732333428462705,-108.4747579137651,-169.2655111574542,-79.79692278170344,0.8859260167158574,0.8322779372715559,0.9135888088500208,-0.1287624261301376,-0.20152169752124496,-0.09458433631509708,-4.470965444971759,-6.997356085220993,-3.284213508628572,-119.99370491067522,-187.7980699200481,-108.4747579137651,-0.4291959651048707,-0.6905231394942497,-0.3109801657823015,-11.51894699691011,-18.53255876259393,-8.34622023033552,0.9338255140601144,0.912325024864158,0.9556043683235886,-0.0708638658331042,-0.09610059216439502,-0.04645817154885381,-0.5130465564634209,-0.695757665834341,-0.33635202726396646,-22.761604102192585,-30.867687037903323,-14.922450189173311,0.9274538516371312,0.9039919151621166,0.9512746836681248,-0.07822076347498165,-0.10620458350080028,-0.05122107964020428,-0.5663096822757846,-0.7689094463749012,-0.3708349554289946,-25.124653162190977,-34.11310764751114,-16.452305032342263,-0.0532631258123637,-0.07315178054056026,-0.03448292816502812,-2.3630490599983895,-3.2454206096078204,-1.5298548431689498,0.912325024864158,0.8911021868801547,0.9556043683235886,-0.09610059216439502,-0.12220575229548958,-0.04645817154885381,-0.5985123214973391,-0.7610946702761422,-0.2893404450480388,-91.23663437459436,-116.02052900550947,-44.106775159762016,0.9039919151621166,-0.10620458350080028,-0.6614397517549586,0.8808871209946485,-0.13521923089402862,-0.8421423216105244,0.9512746836681248,-0.05122107964020428,-0.3190037292654361,-100.82923045045102,-128.37535390404335,-48.628617266072574,-0.06292743025761949,-0.08104765133438219,-0.02966328421739728,-9.59259607585663,-12.354824898533872,-4.521842106310561,0.9763
06059088501,06059088501,Census Tract 885.01; Orange County; California,4874,3259,1220,Garden Grove city,California,57289,0.37567860382178936,0.19797849632708583,06059,4874,3259,1220,0.009319,0.009493868073,0.003212018401,0.8935638337744763,0.8431779523923941,0.9194592826910803,-0.11911422799637024,-0.18598926497383647,-0.08759574113297597,-5.410264241662901,-8.447782322459222,-3.9786691644271217,-111.0025490698174,-173.3233960291182,-81.63047116182031,0.8835642612551948,0.8289172283662316,0.911770951864972,-0.13177959300820533,-0.20639307011505464,-0.09676668022222118,-5.985535328784651,-9.374539597440297,-4.395220609637545,-122.80540272434654,-192.33770204021943,-111.0025490698174,-0.5752710871217497,-0.9267572749810729,-0.4165514452104233,-11.802853654529128,-19.01430601110121,-8.546398137267609,0.9324175046189246,0.9104819049268804,0.954648453404654,-0.07248093804147973,-0.09831946641521508,-0.04750601798348318,-0.7587281377710636,-1.0292050251497795,-0.4972914745791416,-23.28101067109738,-31.580393530217236,-15.25902039211849,0.9259157250881548,0.9019832046932756,0.9502279938280142,-0.08001189838825967,-0.10866809359277982,-0.05237901482093601,-0.8375619894559033,-1.137534122966191,-0.5483018493859491,-25.69996899220323,-34.9043916221599,-16.82423594310982,-0.0788338516848397,-0.10832909781641133,-0.05101037480680748,-2.418958321105851,-3.323998091942661,-1.5652155509913313,0.9104819049268804,0.8888407457229455,0.954648453404654,-0.09831946641521508,-0.12506093449467406,-0.04750601798348318,-1.138787092647643,-1.448520656077807,-0.5502393582386808,-93.3432043153806,-118.73120131785303,-45.10158674087547,0.9019832046932756,-0.10866809359277982,-1.258650264063407,0.8784283641903109,-0.1383967558034712,-1.6029830604218098,0.9502279938280142,-0.05237901482093601,-0.6066809369344873,-103.1680544314268,-131.39205413293524,-49.727945650367815,-0.11986317141576364,-0.15446240434400282,-0.05644157869580657,-9.8248501160462,-12.6608528150822,-4.626358909492342,0.9001
