geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06071003405,06071003405,Census Tract 34.05; San Bernardino County; California,3498,1923,612,Fontana city,California,46298,0.3917065659735816,0.21355395558866605,06071,3498,1923,612,0.010125,0.009493868073,0.003212018401,0.8877363898155332,0.8348571760832366,0.914981430748564,-0.12646052530052826,-0.19780967169922056,-0.09291835483686328,-4.478884039700135,-7.005874594989219,-3.290912602845896,-128.04128186678486,-200.2822925954608,-94.07983427232406,0.8772278780552547,0.8199236302478452,0.9068876930284004,-0.13995465148339956,-0.2196257835595269,-0.1026723680201972,-4.956808880250433,-7.778541282773654,-3.6363729262633298,-141.70408462694203,-222.37110585402095,-128.04128186678486,-0.4779248405502985,-0.7726666877844348,-0.3454603234174338,-13.66280276015719,-22.088813258560172,-9.87593834812561,0.9286318328755834,0.9055310619093992,0.9520759006537688,-0.0768530267839509,-0.10432434851147351,-0.05033642728833155,-0.4746989655175924,-0.6443813911963583,-0.3109135835182536,-24.685333620259616,-33.509172709119,-16.168153069071952,0.9217813640355084,0.8965895804465251,0.9474116689342764,-0.08485595284987603,-0.11533752098922873,-0.05550737107225941,-0.5241307300632898,-0.712406579026032,-0.3428530108602718,-27.255888198819022,-37.04662397431264,-17.829069727523233,-0.04943176454569742,-0.0680251878296737,-0.03193942734201821,-2.5705545785594084,-3.5374512651936403,-1.6609166584512849,0.9055310619093992,0.8827720582676112,0.9520759006537688,-0.10432434851147351,-0.13279525630029776,-0.05033642728833155,-0.6061502601605974,-0.7715732741495723,-0.29246708876424504,-99.04416015696034,-126.0740644035249,-47.78873999415769,0.8965895804465251,-0.11533752098922873,-0.6701395153808267,0.8718332660652836,-0.14700830872530532,-0.8541546230678169,0.9474116689342764,-0.05550737107225941,-0.3225115507199215,-109.49992081386056,-139.56774886729033,-52.697965803908744,-0.06398925522022936,-0.08258134891824453,-0.03004446195567645,-10.45576065690022,-13.493684463765447,-4.909225809751054,0.9351
06071002804,06071002804,Census Tract 28.04; San Bernardino County; California,3623,2100,481,Fontana city,California,46951,0.3834362423744101,0.20861764226539128,06071,3623,2100,481,0.010125,0.009493868073,0.003212018401,0.8907385514114144,0.8391403372227452,0.9172892431747776,-0.12266388202852112,-0.1916957815538255,-0.09016867628247438,-4.4996638514669876,-7.031952392766287,-3.3076462809854728,-124.19718055387769,-194.09197882324833,-91.29578473600532,0.8804917153989144,0.8245520158866783,0.9094041478959666,-0.13572902789544294,-0.21277976493048112,-0.0996211115966862,-4.978930964160047,-7.805373519474223,-3.654388784062291,-137.425640744136,-215.43951199211216,-124.19718055387769,-0.47926711269305944,-0.7734211267079365,-0.3467425030768183,-13.228460190258334,-21.347533168863823,-9.57059075563948,0.9305832914861892,0.908082293594708,0.9534024541938096,-0.07459483653843464,-0.10122178028758738,-0.04887500089937665,-0.5031599739201824,-0.6827650638179905,-0.32967354469914767,-23.959998758103925,-32.51262208657097,-15.698740223768937,0.9239123568599242,0.8993686156181485,0.9488638302632532,-0.08235374554213429,-0.1118911452260163,-0.05389200020677306,-0.5554956667524749,-0.7547324764873481,-0.3635144022947869,-26.452174607260705,-35.939641737492764,-17.310209633085087,-0.05233569283229244,-0.07196741266935758,-0.03384085759563921,-2.492175849156783,-3.42701965092179,-1.6114694093161526,0.908082293594708,0.8858982693036581,0.9534024541938096,-0.10122178028758738,-0.1287977803433674,-0.04887500089937665,-0.4622343757471469,-0.5881615737787531,-0.22319016190169677,-96.09862281645464,-122.27891346751623,-46.40128106064382,0.8993686156181485,-0.1118911452260163,-0.5109565700014003,0.8752300869429693,-0.142556700139081,-0.6509923764445174,0.9488638302632532,-0.05389200020677306,-0.24610054281368543,-106.22797713126825,-135.34145040426554,-51.16435401531921,-0.04872219425425339,-0.06283080266576424,-0.02291038091198866,-10.129354314813597,-13.062536936749323,-4.763072954675397,0.9209
06071002315,06071002315,Census Tract 23.15; San Bernardino County; California,2577,1917,717,Fontana city,California,85114,0.4125113939867693,0.23116234608783465,06071,2577,1917,717,0.010125,0.009493868073,0.003212018401,0.8802288186393515,0.8241788788129708,0.9092015393641534,-0.13606823455949726,-0.21332883638107392,-0.0998661536575776,-3.5503093846557223,-5.566202664959528,-2.6057201645027215,-137.76908749149095,-215.99544683583733,-101.11448057829728,0.8690707665727276,0.8083950187264145,0.900588047150502,-0.15065428324508673,-0.2370190028823402,-0.11038560101262895,-3.930890390216209,-6.184329450581381,-2.8801948998216416,-152.5374617856503,-239.98174041836947,-137.76908749149095,-0.3805810055604862,-0.6181267856218531,-0.2744747353189201,-14.768374294159338,-23.986293582532134,-10.650940446989528,0.9237408196302008,0.899144832537357,0.9487469782880136,-0.08255473694485833,-0.11216787753540557,-0.05402180231917144,-0.5083257795782012,-0.690666894498153,-0.33263596729106415,-26.51673341565995,-36.02852866448372,-17.351902310436312,0.9164423468943824,0.8896365514804545,0.9437684313151096,-0.0911761153211391,-0.12405453478264623,-0.05958195550844356,-0.5614113933945083,-0.7638582646774121,-0.3668722729121313,-29.28593601431968,-39.84654484493543,-19.1378337460684,-0.05308561381630705,-0.07319137017925914,-0.03423630562106716,-2.7692025986597315,-3.8180161804517025,-1.78593143563209,0.899144832537357,0.8749564565897401,0.9487469782880136,-0.11216787753540557,-0.14291401871315274,-0.05402180231917144,-0.7635383414776351,-0.9728305038820114,-0.36773199469155565,-106.49070313495608,-135.68068394449253,-51.28758642838991,0.8896365514804545,-0.12405453478264623,-0.8444520465391083,0.8633464037985638,-0.1582836224256982,-1.0774529856985302,0.9437684313151096,-0.05958195550844356,-0.405580532417148,-117.7757387083833,-150.2723829426123,-56.56632251285187,-0.08091370506147322,-0.1046224818165188,-0.03784853772559232,-11.285035573427228,-14.591698998119774,-5.278736084461969,0.2244
06071002404,06071002404,Census Tract 24.04; San Bernardino County; California,2379,1227,459,Fontana city,California,55076,0.3145745659729316,0.22204643987467423,06071,2379,1227,459,0.010125,0.009493868073,0.003212018401,0.9161331014874948,0.8756674538848926,0.9367323228036616,-0.09154444739125056,-0.1419860308425383,-0.06754082853357381,-2.205065433480824,-3.420070769665786,-1.6268812646988924,-92.6887529836412,-143.76085622807005,-68.38508889024348,0.9081434036464808,0.864118154297013,0.930630017998291,-0.10114767776177884,-0.15724915050943597,-0.07454088161793676,-2.436382044627128,-3.7877192567522258,-1.7954941683618495,-102.41202373380108,-159.2147648908039,-92.6887529836412,-0.23131661114630384,-0.3676484870864392,-0.16861290366295711,-9.723270750159896,-15.453908662733886,-7.087553747917491,0.9469918800592,0.9296057743042953,0.9645198242331332,-0.05597526341776675,-0.07572481544489865,-0.03678532558423694,-0.22060671787309136,-0.2984425972623884,-0.1449763600479245,-17.979357609868895,-24.322950062134343,-11.815514266334516,0.9418481318578176,0.922844852168596,0.9610417926514772,-0.06174229812132929,-0.08360576282145014,-0.04053747469299816,-0.24333544696039985,-0.32950256604709527,-0.15976412966816583,-19.831739768573744,-26.85432486121396,-13.020711464398191,-0.02272872908730847,-0.03105996878470685,-0.01478776962024133,-1.8523821587048468,-2.5313747990796127,-1.2051971980636786,0.9296057743042953,0.9123618187452808,0.9645198242331332,-0.07572481544489865,-0.09605638843506518,-0.03678532558423694,-0.32998492612793845,-0.4185835258314504,-0.16029887790666558,-71.89214076861404,-91.19466793713516,-34.923502811909714,0.922844852168596,-0.08360576282145014,-0.3643276158075434,0.9040320188323536,-0.10615551127447728,-0.46259232644114384,0.9610417926514772,-0.04053747469299816,-0.1766495634672864,-79.37420823693758,-100.78264192617512,-38.48574367479007,-0.03434268967960502,-0.04400880060969342,-0.01635068556062083,-7.482067468323533,-9.58797398903996,-3.5622408628803557,0.742
06071002313,06071002313,Census Tract 23.13; San Bernardino County; California,4000,2661,802,Fontana city,California,70703,0.3696002169264072,0.2003104192087352,06071,4000,2661,802,0.010125,0.009493868073,0.003212018401,0.8957838035705995,0.8463551379516743,0.9211631726182012,-0.1163407911752748,-0.1815371055939624,-0.08558399828091558,-4.71180204259863,-7.352252776555478,-3.4661519303770807,-117.79505106496576,-183.80631941388697,-86.65379825942702,0.8859792005247422,0.8323536695306513,0.9136297305646592,-0.1286946684614337,-0.20141237626054004,-0.09453530959632904,-5.212134072688065,-8.157201238551872,-3.828680038651327,-130.30335181720162,-203.9300309637968,-117.79505106496576,-0.5003320300894352,-0.8049484619963945,-0.3625281082742462,-12.50830075223588,-20.123711549909864,-9.063202706856154,0.9338572018900104,0.9123665159191512,0.95562587599439075,-0.0708275290656052,-0.09605074556310687,-0.04643461957268055,-0.6053757082318456,-0.8209631041569044,-0.3968850965314642,-22.74993266560863,-30.85167621784684,-14.91488525108847,0.9274884704757024,0.9040371385515716,0.9512982349400582,-0.07818051849971444,-0.10614924692383552,-0.05119505458034468,-0.6682230395593587,-0.907276822762967,-0.4375733960143811,-25.11172640208037,-34.09533343716524,-16.44394573522665,-0.06284733132751308,-0.08631371860606252,-0.04068829948291691,-2.3617937364717427,-3.243657219318396,-1.5290604841381776,0.9123665159191512,0.8911531083939482,0.95562587599439075,-0.09605074556310687,-0.12214162816782129,-0.04643461957268055,-0.7313382715649203,-0.9299963962454662,-0.35355701009886414,-91.18931066894268,-115.9596504046716,-44.084415224297274,0.9040371385515716,-0.10614924692383552,-0.8082290909672428,0.8809424927106589,-0.13514787659180938,-1.029027040788396,0.9512982349400582,-0.05119505458034468,-0.3898033535290131,-100.77669463431955,-128.3076110708723,-48.60390941758268,-0.07689081940232256,-0.09903064454292976,-0.03624634343014893,-9.587383965376878,-12.347960666200718,-4.519494193285403,0.689
06071002503,06071002503,Census Tract 25.03; San Bernardino County; California,2505,1671,593,Fontana city,California,54865,0.3694185323026408,0.21498973160384208,06071,2505,1671,593,0.010125,0.009493868073,0.003212018401,0.8958502438890091,0.8464502889317558,0.9212141509191688,-0.11625799827754968,-0.18140428690978216,-0.08552392405416294,-2.948666142563277,-4.600979604428668,-2.1691539762762413,-117.71122325601904,-183.6718404961544,-86.59297310483997,0.8860514852144993,0.8324566046697748,0.9136853482486924,-0.1286025887738516,-0.20126381890703793,-0.09446868324719385,-3.2617635343947953,-5.104679396916566,-2.3960210217839832,-130.21012113352475,-203.77961664337587,-117.71122325601904,-0.3130973918315183,-0.5036997924878985,-0.22686704550774195,-12.49889787750572,-20.107776147221497,-9.056568682943787,0.9339002690281758,0.9124229074529526,0.9556551068173708,-0.070778147478861,-0.0959830050645272,-0.04640261205772399,-0.3798863299037156,-0.5151679271908481,-0.24905593916285337,-22.73407120907933,-30.82991784505375,-14.904604378387392,0.927535521355368,0.9040986031244858,0.9513302432823256,-0.07812582588615341,-0.10607404606542628,-0.05115968619871869,-0.41932339745755,-0.569329397465051,-0.2745885011311089,-25.094159033964697,-34.07117878306708,-16.43258534596702,-0.03943706755383436,-0.05416147027420281,-0.02553256196825551,-2.3600878248853596,-3.241260938013334,-1.527980967579624,0.9124229074529526,0.8912223180532041,0.9556551068173708,-0.0959830050645272,-0.12205448600570408,-0.04640261205772399,-0.5403712424882982,-0.6871501283985956,-0.261240384331348,-91.1249987332712,-115.87691878559792,-44.054027711863064,0.9040986031244858,-0.10607404606542628,-0.5971824285934876,0.8810177513418765,-0.13505090956101828,-0.7603182224770004,0.9513302432823256,-0.05115968619871869,-0.28802206367604144,-100.70529993144817,-128.2155518510962,-48.57033114267141,-0.05681118610518942,-0.07316809407840486,-0.02678167934469344,-9.580301198176969,-12.33863306549829,-4.516303430808338,0.8715
06065040502,06065040502,Census Tract 405.02; Riverside County; California,3876,2225,594,Fontana city,California,202268,0.5148432968484078,0.2523932715509819,06065,3876,2225,594,0.010586,0.009493868073,0.003212018401,0.8442156496938803,0.7736111168052296,0.8812993023218282,-0.1845314646353789,-0.29263912872618114,-0.1346882918952151,-7.571572528026349,-12.00737441751119,-5.526440560018648,-195.34500846301216,-309.7877816695353,-142.58102580027472,0.8300394587176709,0.7540062957600774,0.8702334425328018,-0.20476200197145009,-0.3262488730176294,-0.14911695083736906,-8.40165850292323,-13.386427128407687,-6.118467713103572,-216.76105528697704,-345.3670569764625,-195.34500846301216,-0.8300859748968801,-1.379052710896497,-0.5920271530849233,-21.416046823964916,-35.579275306927165,-15.27417835616417,0.9000559804403804,0.8683827054554049,0.9325417892673928,-0.11104200375483188,-0.1515660016231798,-0.07233800298172441,-0.7935884345413593,-1.08320294924972,-0.516980967588284,-35.66689593444311,-48.68327861796494,-23.235099666889173,0.8906282656713159,0.8562139159514778,0.926051485800954,-0.12280290054150092,-0.1679324306341579,-0.0798535668187899,-0.8776405171239294,-1.200169577540496,-0.5706927553665455,-39.44451762354739,-53.94020573215713,-25.649112600743617,-0.08405208258257013,-0.1169666282907762,-0.05371178777826146,-3.777621689104276,-5.256927114192188,-2.414012933854448,0.8683827054554049,0.8375097882267996,0.9325417892673928,-0.1515660016231798,-0.1940158957631164,-0.07233800298172441,-0.8547348885149683,-1.0941250231533284,-0.40793986944182664,-143.89476237625726,-184.19613184399464,-68.67674569727721,0.8562139159514778,-0.1679324306341579,-0.9470310349216376,0.8227897648393442,-0.215377296526358,-1.2145896016495423,0.926051485800954,-0.0798535668187899,-0.4503228217504325,-159.43283416189186,-204.4763639140644,-75.81192285360815,-0.0922961464066694,-0.12046457849621416,-0.04238295230860584,-15.538071785634578,-20.28023207006973,-7.135177156330949,0.9293
06071002803,06071002803,Census Tract 28.03; San Bernardino County; California,2430,1559,495,Fontana city,California,46903,0.3908376021099833,0.2161008946561895,06071,2430,1559,495,0.010125,0.009493868073,0.003212018401,0.8880513509671799,0.8353061785287262,0.9152236396342692,-0.12606100864651174,-0.19716581261419452,-0.09262912002536149,-3.1015735414866135,-4.851018362106489,-2.2790237118239873,-127.63677125459314,-199.63038527187192,-93.78698402567848,0.8775702402332148,0.820408711272823,0.9071517695145608,-0.1395099265606926,-0.2189046584458497,-0.10235137449505773,-3.432467355617641,-5.3858754902370745,-2.5182276302327766,-141.2538006427013,-221.64096667642283,-127.63677125459314,-0.3308938141310276,-0.5348571281305858,-0.2392039184087893,-13.61702938810813,-22.01058140455086,-9.84378265056746,0.9288366803117596,0.9057987827836448,0.9522151949658038,-0.07661553553672608,-0.10399795076657298,-0.05018277936208769,-0.3836551050064899,-0.5207735538529696,-0.2512921087192596,-24.60905099464336,-33.404333152852445,-16.11880107243487,0.9220050364183164,0.8968811698075966,0.9475641431478212,-0.08459277390139672,-0.11497490823062434,-0.05533752752397968,-0.4236014187797904,-0.5757410710675906,-0.2771046992529992,-27.17135463629188,-36.930152089005176,-17.77451566728667,-0.03994631377330049,-0.05496751721462101,-0.02581259053373957,-2.562303641648524,-3.5258189361527266,-1.6557145948518008,0.9057987827836448,0.8831000102799389,0.9522151949658038,-0.10399795076657298,-0.13237457633253147,-0.05018277936208769,-0.4887346980978955,-0.6220896481405592,-0.2358321999660631,-98.7342824440193,-125.67467639203215,-47.642868680012754,0.8968811698075966,-0.11497490823062434,-0.5403205221711804,0.8721895497286761,-0.14653976341620192,-0.6886584447544161,0.9475641431478212,-0.05533752752397968,-0.2600567569703413,-109.15566104468292,-139.12291813220529,-52.53671857986693,-0.05158582407328493,-0.06656879661385684,-0.02422455700427817,-10.421378600663624,-13.4482417401731,-4.8938498998541755,0.9073
06071004001,06071004001,Census Tract 40.01; San Bernardino County; California,2899,1764,414,Fontana city,California,99664,0.42451095402986344,0.2456429031940866,06071,2899,1764,414,0.010125,0.009493868073,0.003212018401,0.8759275964887924,0.8180821963310001,0.9058844997382064,-0.1416468712808675,-0.222371058171024,-0.1038934878441922,-4.157672083412754,-6.5271186885827115,-3.0495206152606715,-143.41745717187837,-225.15069639816184,-105.19215644224462,0.8644005411928302,0.8018195397567434,0.8969745306250894,-0.15687109429622667,-0.24716342071606384,-0.1148588570325554,-4.604539186443207,-7.254833411140675,-3.371380243690954,-158.8319829749295,-250.25296347501464,-143.41745717187837,-0.44686710303045274,-0.7277147225579634,-0.3218596284302824,-15.414525803051149,-25.10226707685283,-11.102436303217743,0.9209315618614072,0.8954819596670308,0.9468322575164532,-0.08585701849416234,-0.1167170809022578,-0.05615328592944886,-0.4864659062275473,-0.6613190340078179,-0.3181645438710553,-27.577432325824677,-37.48974115690578,-18.036538768200412,0.9133770454800942,0.8856508119062592,0.9416735022514644,-0.0948381119807697,-0.12911317480488463,-0.06193919400841331,-0.5373527860482556,-0.7315553077544208,-0.3509475017043058,-30.46217607983309,-41.471389328481905,-19.894983089813252,-0.05088687982070833,-0.0702362737466029,-0.03278295783325047,-2.8847437540084084,-3.9816481715761287,-1.8584443216128383,0.8954819596670308,0.8704801707859221,0.9468322575164532,-0.1167170809022578,-0.14879124598224858,-0.05615328592944886,-0.4587519791320051,-0.5848182463459223,-0.2207083218305687,-110.80965679517033,-141.2604459772759,-53.311188847963464,0.8856508119062592,-0.12911317480488463,-0.5074743475066775,0.8584890710112231,-0.16483719335190808,-0.6478862228235356,0.9416735022514644,-0.06193919400841331,-0.24344961009602475,-122.57834480837622,-156.4942567206608,-58.80425364638279,-0.04872236837467242,-0.06306797647761331,-0.02274128826545601,-11.7686880132059,-15.233810743384856,-5.4930647984193275,0.7119
06071002314,06071002314,Census Tract 23.14; San Bernardino County; California,4016,2960,719,Fontana city,California,114023,0.408852585680534,0.2185447214789745,06071,4016,2960,719,0.010125,0.009493868073,0.003212018401,0.8815445094179718,0.8260468530214448,0.9102153583940752,-0.1343726712792266,-0.210585085267602,-0.09864109716225276,-5.4638615595559115,-8.562810737151233,-4.010944292811522,-136.05232967021692,-213.21739883344705,-99.87411087678092,0.8704997872598385,0.8104106676374803,0.901692744583568,-0.14876535828664894,-0.23394229608947897,-0.109025226172618,-6.049096998651719,-9.512561643590391,-4.433183746630993,-150.62492526523206,-236.86657479059744,-136.05232967021692,-0.5852354390958077,-0.94975090643916,-0.42223945381947114,-14.572595595015132,-23.6491759571504,-10.5139306229948,0.924599099300804,0.9002646637977445,0.9493315693268302,-0.08154983144177322,-0.11078446173986704,-0.0533727438444913,-0.7753410952006949,-1.053291519773867,-0.507445336607482,-26.193955918942397,-35.584172965333345,-17.143423534036557,0.9173790386426544,0.8908554155383004,0.9444081267579412,-0.09006196771139535,-0.12251660882113947,-0.05886424699975866,-0.8562708646570385,-1.164835781806392,-0.5596562117917323,-28.928069751926976,-39.352560196161896,-18.90730445242339,-0.08092976945634356,-0.1115442620325251,-0.05221087518425027,-2.73411383298458,-3.76838723082855,-1.7638809183868334,0.9002646637977445,0.87632590315925,0.9493315693268302,-0.11078446173986704,-0.1411279712204004,-0.0533727438444913,-0.7562248332292651,-0.9633523945869912,-0.36432721411385505,-105.17730642966136,-133.98503401766223,-50.671378875362315,0.8908554155383004,-0.12251660882113947,-0.836309538526558,0.8648329225481175,-0.15629270570971132,-1.066868254392973,0.9444081267579412,-0.05886424699975866,-0.401812715171948,-116.3156520899246,-148.38223287802128,-55.884939523219465,-0.08008470529729284,-0.10351585980598176,-0.03748550105809295,-11.138345660263258,-14.39719886035908,-5.213560647857156,0.0863
06071002310,06071002310,Census Tract 23.10; San Bernardino County; California,3231,2460,1003,Fontana city,California,65338,0.3854117764674333,0.19951559922801576,06071,3231,2460,1003,0.010125,0.009493868073,0.003212018401,0.8900205027267198,0.83811522416534,0.9167374468913192,-0.12356962220121943,-0.19315336503507305,-0.09082486309578187,-4.042441174487918,-6.3187950395867505,-2.971233218207522,-125.11424247873468,-195.56778209801143,-91.96017388447918,0.8797109796031974,0.8234440627977863,0.9088024077026982,-0.1367369774685092,-0.2144115735103317,-0.10034919749809448,-4.473196388782626,-7.0142334143703025,-3.2828111033029757,-138.44618968686555,-217.09171817921083,-125.11424247873468,-0.43075521429470864,-0.695438374783552,-0.3115778850954536,-13.331947208130876,-21.52393608119938,-9.64338858234149,0.930116773652506,0.9074722276444014,0.9530854121193644,-0.07513382010418677,-0.1019620981633569,-0.0492239072008377,-0.5936747832716963,-0.8056601733429659,-0.38894591541758944,-24.13312127120717,-32.75041355052707,-15.81080956982071,0.9234028786986692,0.8987040048083721,0.9485167499418476,-0.08295092323003937,-0.11271341248026032,-0.05427763933668934,-0.6554421338152691,-0.8906123851182042,-0.4288783097282275,-26.64398917948248,-36.20375549260993,-17.43407763122876,-0.06176735054357274,-0.08495221177523826,-0.03993239431063805,-2.5108679082753147,-3.453341942082856,-1.623268061408051,0.9074722276444014,0.8851505056072964,0.9530854121193644,-0.1019620981633569,-0.1297513741054761,-0.0492239072008377,-0.9709187525344136,-1.235537955332002,-0.4687272568453548,-96.8014708409186,-123.18424280478584,-46.73252810023478,0.8987040048083721,-0.11271341248026032,-1.0732965269496588,0.8744174863907589,-0.14361848380639647,-1.3675854229165214,0.9485167499418476,-0.05427763933668934,-0.516850661417933,-107.0086268145223,-136.34949381022147,-51.53047471764038,-0.10237777441524532,-0.13204746758451935,-0.04812340457257819,-10.20715597360372,-13.165251005435628,-4.797946617405602,0.4242
