geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
36047005602,36047005602,Census Tract 56.02; Kings County; New York,1235,810,278,New York city,New York,9974,0.3907643557304499,0.23595087731048123,36047,1235,810,278,0.008036,0.00825263846,0.002817342485,0.8880779046617294,0.8353440367097752,0.915244058745552,-0.12602733921288348,-0.1971115565016375,-0.09260474345019588,-1.2507532869246936,-1.9562257580382416,-0.9190520721817308,-101.27556979147316,-158.3988468047159,-74.41717183657741,0.8775991046041883,0.8204496126548283,0.9071740324654644,-0.13947244790207083,-0.21884389312364808,-0.10232432169851542,-1.384188730306186,-2.1719074635499203,-1.0155136377240483,-112.08005913410412,-175.86295251416357,-101.27556979147316,-0.13343544338149238,-0.21568170551167887,-0.09646156554231744,-10.804489342630962,-17.46410570944768,-7.810653080349589,0.928853949300686,0.9058213530290136,0.9522269372415356,-0.07659551940633746,-0.10397044257795264,-0.05016982915528093,-0.17479460689713436,-0.23726547949788632,-0.11448992882693534,-21.579581098411648,-29.292034505911893,-14.134559114436463,0.9220238926078842,0.8969057526830001,0.9475769965689784,-0.08457059303698247,-0.11494434839848468,-0.05532321238362327,-0.19299410304323605,-0.262308452884491,-0.12625019369059856,-23.826432474473588,-32.38375961536926,-15.586443665505996,-0.01819949614610169,-0.02504297338660469,-0.01176026486366321,-2.2468513760619375,-3.0917251094573692,-1.4518845510695328,0.9058213530290136,0.883127659456292,0.9522269372415356,-0.10397044257795264,-0.13233912367285816,-0.05016982915528093,-0.23853247152792537,-0.30361684981632053,-0.1151013023299432,-85.80304731220336,-109.21469417853255,-41.403346161850074,0.8969057526830001,-0.11494434839848468,-0.2637091737981268,0.872219588111825,-0.14650027771652455,-0.3361058437069719,0.9475769965689784,-0.05532321238362327,-0.1269243667288989,-94.8594150352974,-120.90138262840716,-45.65624702478378,-0.02517670227020146,-0.03248899389065135,-0.01182306439895568,-9.056367723094054,-11.686688449874588,-4.252900862933698,0.4243
36047015300,36047015300,Census Tract 153; Kings County; New York,1745,1343,435,New York city,New York,23087,0.517913594727715,0.2446829206209069,36047,1745,1343,435,0.008036,0.00825263846,0.002817342485,0.8431582090552686,0.772142837093084,0.8804755066981804,-0.18601703602040184,-0.2950971659139373,-0.135749935566114,-2.608483413047611,-4.138094440121278,-1.9035969114552147,-149.48329014599489,-237.14008252844,-109.08864822092922,0.8288958780327819,0.7524322675401975,0.8693386873880374,-0.20642414385423108,-0.32902327975531237,-0.15029966399463904,-2.8946486129219884,-4.613834227818389,-2.107625134257304,-165.88244200126007,-264.40310761136897,-149.48329014599489,-0.2861651998743775,-0.475739787697111,-0.20402822280208932,-16.399151855265185,-27.26302508292899,-11.692161765162712,0.8993548187638376,0.8674761844548418,0.9320598804171688,-0.11190820256514454,-0.15276939922960736,-0.07289244072218058,-0.423426054099589,-0.5780321944256213,-0.27580246882005,-31.52837335067677,-43.040371885749906,-20.536297008194342,0.8898650963784006,0.8552307677364293,0.9255250890570866,-0.12376584278878865,-0.16927505151239683,-0.08046773860964425,-0.4682917001893601,-0.6404844817132577,-0.3044650549361167,-34.86907670806851,-47.690579427643904,-22.67051786568255,-0.04486564608977111,-0.06245228728763641,-0.0286625861160667,-3.3407033573917437,-4.650207541893999,-2.134220857488213,0.8674761844548418,0.8364113774062658,0.9320598804171688,-0.15276939922960736,-0.1955839279721743,-0.07289244072218058,-0.5484265195231081,-0.7021262990713504,-0.26167640749000487,-126.0750619593352,-161.40834461410356,-60.15549597471376,0.8552307677364293,-0.16927505151239683,-0.6076801231869139,0.8216028269723987,-0.2171331051586005,-0.7794856413384244,0.9255250890570866,-0.08046773860964425,-0.288870952181042,-139.69658004296872,-179.19210145710906,-66.40711544391769,-0.05925360366380583,-0.07735934226707397,-0.0271945446910371,-13.621518083633523,-17.783756843005513,-6.2516194692039315,0.3409
36047020000,36047020000,Census Tract 200; Kings County; New York,1294,1042,403,New York city,New York,23064,0.3167900498381432,0.1682731233090161,36047,1294,1042,403,0.008036,0.00825263846,0.002817342485,0.9153049209644328,0.8744678766768308,0.9361004114329228,-0.09253209186980696,-0.14355258400139148,-0.06826146830687073,-0.9622027300039044,-1.4927436031555257,-0.709822612152333,-74.35878902657686,-115.3588565035182,-54.85491593140131,0.9072403908190972,0.8628161121236624,0.9299394670051154,-0.10224369430593291,-0.1589955101078083,-0.07533881019214682,-1.063189643710565,-1.6533281674788936,-0.7834169462430948,-82.16303274424769,-127.76879192263472,-74.35878902657686,-0.10098691370666046,-0.1605845643233681,-0.07359433409076177,-7.804243717670825,-12.409935419116543,-5.687351939007865,0.946459489809499,0.9289054217272336,0.9641601352924964,-0.05656925707541639,-0.07653586318892523,-0.0371721080301987,-0.16606872009820267,-0.2246841040258155,-0.10912507469732896,-15.937497130345744,-21.562773898830663,-10.472655921048846,0.941265699903734,0.9220800960965804,0.9606475688995518,-0.06239927801711349,-0.0845044852754942,-0.04096448309917389,-0.1831837427445599,-0.2480773557543744,-0.12025823971304447,-17.58001369909404,-23.807807653970674,-11.541097861136706,-0.01711502264635722,-0.02339325172855891,-0.01113316501571549,-1.6425165687482943,-2.245033755140011,-1.0684419400878598,0.9289054217272336,0.9114982251363012,0.9641601352924964,-0.07653586318892523,-0.09709484058563558,-0.0371721080301987,-0.2545439916732557,-0.3229193121208878,-0.12362749125282492,-63.16228081222226,-80.12886156845852,-30.676796836929263,0.9220800960965804,-0.0845044852754942,-0.2810461409865,0.9030907834279388,-0.10730838842603922,-0.3568876653623561,0.9606475688995518,-0.04096448309917389,-0.13624022269345976,-69.73849652270472,-88.55773334053501,-33.806506871826244,-0.02650214931324429,-0.03396835324146829,-0.01261273144063482,-6.576215710482455,-8.4288717720765,-3.1297100348969784,0.8243
36047020500,36047020500,Census Tract 205; Kings County; New York,2514,1478,308,New York city,New York,23717,0.4388782503860465,0.2376979247686606,36047,2514,1478,308,0.008036,0.00825263846,0.002817342485,0.8708053021595671,0.8108418212223872,0.9019288616269132,-0.14836232338047842,-0.2332861648557381,-0.1087348931224848,-2.997290431543409,-4.712964678642708,-2.1967171132465713,-119.22396306855244,-187.4687620780711,-87.37936011322877,0.8588417954587787,0.7940169152718685,0.8926670675213381,-0.16435879726349018,-0.2594190133312257,-0.12023848127016996,-3.320459259150849,-5.240913654500139,-2.4291183988145333,-132.0787294809407,-208.46911911297292,-119.22396306855244,-0.32316882760744026,-0.5279489758574316,-0.232401285567962,-12.854766412388235,-21.000357034901818,-9.244283435479794,0.9175792214851032,0.8911159570952455,0.9445448092136898,-0.08982415532633663,-0.1221884111016055,-0.05871102169570473,-0.374030674472628,-0.5087964774178318,-0.24447458441485503,-25.306540898012717,-34.42466017711988,-16.540905576106567,0.909720387089664,0.8809020946038992,0.9391713209428674,-0.09923885865540986,-0.13519993439186176,-0.06476845885377394,-0.4132338022208327,-0.5629768792762162,-0.26969794774709993,-27.958985265279615,-38.09045191314048,-18.247493081671173,-0.03920312774820472,-0.05418040185838435,-0.02522336333224487,-2.6524443672668965,-3.665791736020593,-1.7065875055646054,0.8911159570952455,0.8651507450599164,0.9445448092136898,-0.1221884111016055,-0.15586792904020969,-0.05871102169570473,-0.3105800484936073,-0.3961870730903579,-0.14923241738693513,-100.83767808234003,-128.63216658777853,-48.45208356718673,0.8809020946038992,-0.13519993439186176,-0.3436529029323405,0.8527092315482061,-0.17273270067027194,-0.4390541628861554,0.9391713209428674,-0.06476845885377394,-0.16462928775572735,-111.57561783517548,-142.5500528851154,-53.45106745315824,-0.0330728544387332,-0.04286708979579751,-0.01539687036879222,-10.737939752835455,-13.917886297336851,-4.998983885971502,0.2182
36047022800,36047022800,Census Tract 228; Kings County; New York,2232,1212,497,New York city,New York,24708,0.34771082022070393,0.19530795719007135,36047,2232,1212,497,0.008036,0.00825263846,0.002817342485,0.9038241178166136,0.8578962821596586,0.9273253976879556,-0.10640995331671443,-0.16564207211926718,-0.07837011958611231,-1.9086063789921577,-2.971014511540562,-1.4056740511786048,-85.51103848531172,-133.1099691550431,-62.97822809939985,0.8947306576232614,0.8448473852811919,0.9203549869677192,-0.1176547841295315,-0.18364572989377065,-0.08653727546442293,-2.1102976226312906,-3.293934454671593,-1.552163033850853,-94.54738452649153,-147.5777085426341,-85.51103848531172,-0.20169124363913293,-0.3229199431310308,-0.1464889826722482,-9.03634604117979,-14.467739387590983,-6.563126463810403,0.9390602599388146,0.919185726068918,0.9591540540772328,-0.06489438714524667,-0.08791941784899178,-0.0425853863090466,-0.2215896132981177,-0.30021132272886736,-0.14541287312340057,-18.28297139423413,-24.769911116243183,-11.997761808861434,0.933174382953538,0.9114725601870104,0.9551623677790786,-0.07161107105721874,-0.097125732227008807,-0.04694241914615714,-0.24452453041765773,-0.33164737956934126,-0.16029048063268486,-20.175291288585623,-27.363645178988552,-13.225287180914592,-0.02293491711954007,-0.0314360568404739,-0.01487760750928429,-1.892319894351491,-2.5937340627453715,-1.2275253720531598,0.919185726068918,0.8995303065126926,0.9591540540772328,-0.08791941784899178,-0.111691282394708,-0.0425853863090466,-0.36060688305333577,-0.45810864305043214,-0.17466657305333372,-72.55671691213999,-92.1747772737288,-35.14417968879954,0.9114725601870104,-0.097125732227008807,-0.39836714595644024,0.890056097901966,-0.12352468833952485,-0.5066440830938872,0.9551623677790786,-0.04694241914615714,-0.19253721038455532,-80.15435532322742,-101.9404593750276,-38.739881365101674,-0.03776026290310447,-0.04853544004345506,-0.0178706373312216,-7.597638411087419,-9.765682101298804,-3.595701676302133,0.9036
36047023100,36047023100,Census Tract 231; Kings County; New York,2774,1490,384,New York city,New York,24665,0.47726541235740905,0.23473533649010211,36047,2774,1490,384,0.008036,0.00825263846,0.002817342485,0.8572657921304221,0.7918094599486452,0.8914445388009162,-0.16649936248460817,-0.2629300994520293,-0.12177477843445192,-3.711581144593587,-5.861202018491111,-2.7145867994909354,-133.79888769263113,-211.29062791965077,-97.85821194992558,0.8441644203186139,0.7735399618102209,0.8812593982869176,-0.184603349691721,-0.29275803367653097,-0.1347396713656644,-4.115152765272287,-6.526122271624648,-3.003598429488085,-148.347251812267,-235.26035586246027,-133.79888769263113,-0.403571620678699,-0.6649202531335368,-0.28901162999714947,-14.548364119635869,-23.969727942809545,-10.41858795952233,0.908682032164044,0.8795548178694838,0.9384601775353127,-0.10049496369866628,-0.13693880095190267,-0.06557531575427077,-0.42186180882761,-0.5748472176324632,-0.27527470333227727,-28.31287307567852,-38.58035017667538,-18.47481230417968,0.9000220192190609,0.8683387919832973,0.9325184506130147,-0.1110839275551157,-0.15162423841043277,-0.07236484097727441,-0.4663125880675175,-0.6364943388579267,-0.3037760459492607,-31.29614685016896,-42.717740862948105,-20.38765409055441,-0.04445077923990753,-0.06164712122546356,-0.02850134261698345,-2.9832737744904385,-4.137390686272722,-1.912841786374728,0.8795548178694838,0.8510708642364858,0.9384601775353127,-0.13693880095190267,-0.1749902881437749,-0.06557531575427077,-0.4339608635143513,-0.5545465275117307,-0.2078090391630101,-113.01064154019566,-144.41315820617987,-54.11693728203388,0.8683387919832973,-0.15162423841043277,-0.48049920820767233,0.8374565724925119,-0.1940917688707273,-0.6150793714759659,0.9325184506130147,-0.07236484097727441,-0.22932513400352209,-125.13000213741466,-160.17691965519947,-59.72008698008388,-0.04653834469332102,-0.06053284396423519,-0.02151609484051198,-12.119360597219016,-15.76376144901958,-5.603149698049995,0.4253
36047018000,36047018000,Census Tract 180; Kings County; New York,2060,1562,761,New York city,New York,4546,0.3134292022419747,0.1905941559716565,36047,2060,1562,761,0.008036,0.00825263846,0.002817342485,0.9165615491278726,0.8762882579923791,0.937059176416852,-0.09103420381481292,-0.14117699384795,-0.06716846189354088,-1.5069947754230233,-2.3370665444779797,-1.111917465139579,-73.15508618558366,-113.44983225621262,-53.97657597764945,0.9086105967806614,0.8647920560387496,0.930987221001876,-0.10058148511930688,-0.15634734733871325,-0.07412859966418918,-1.6650419977026252,-2.5881990034206335,-1.227136699416934,-80.827281441875,-125.64072832138996,-73.15508618558366,-0.15804722227960188,-0.2511324589426538,-0.11521923427735524,-7.672195256291353,-12.19089606517737,-5.593166712492974,0.9472672332836166,0.9299680505212315,0.9647058293039376,-0.0556683107612516,-0.07530575855752958,-0.03658542285530521,-0.24497892067628832,-0.33139722042677594,-0.1610010665137124,-15.683669697585678,-21.216211294928037,-10.307366614194136,0.9421493795929686,0.9232404654396208,0.9612456623930092,-0.06140281112536978,-0.08314143219862918,-0.04031678802119346,-0.2702146731287824,-0.36587958292562794,-0.17742164401082364,-17.299274848193495,-23.42378891969449,-11.35861997508474,-0.02523575245249407,-0.034482362498852,-0.01642057749711123,-1.6156051506078148,-2.207577624766454,-1.0512533608906038,0.9299680505212315,0.9128086012835348,0.9647058293039376,-0.07530575855752958,-0.09551991358742888,-0.03658542285530521,-0.47293958269115177,-0.5998896888638615,-0.22976588974333267,-62.14711993313426,-78.82913125674922,-30.192626773105477,0.9232404654396208,-0.08314143219862918,-0.5221496337272179,0.9045190045433767,-0.1055599661002416,-0.6629438076531892,0.9612456623930092,-0.04031678802119346,-0.2531998251850074,-68.61361809818895,-87.114823607515,-33.271987540736845,-0.04921005103606613,-0.06305411878932765,-0.02343393544167471,-6.4664981650546824,-8.285692350765789,-3.079360767631368,0.8292
36047018300,36047018300,Census Tract 183; Kings County; New York,2337,1364,418,New York city,New York,22391,0.526538195529814,0.25139362951697164,36047,2337,1364,418,0.008036,0.00825263846,0.002817342485,0.8401948928101491,0.7680332669004823,0.8781655461468673,-0.19020004591477624,-0.3020269343744125,-0.13873745603856422,-3.571981968685558,-5.672105695106804,-2.605507737748433,-152.84475689711417,-242.7088444632779,-111.4894196725902,0.8256919320191762,0.748028310437424,0.866830199789691,-0.2111054513449885,-0.33684779846798935,-0.1536284733072503,-3.9645882421784617,-6.326046119138237,-2.8851630076686368,-169.64434070083274,-270.6908908488762,-152.84475689711417,-0.3926062734929032,-0.6539404240314326,-0.27965526992020395,-16.79958380371858,-27.982046385598316,-11.96642147711613,0.897388145835862,0.8649347869758526,0.930707509312084,-0.11434500738647638,-0.1561565277035368,-0.07445141464382556,-0.4394113004593101,-0.600086916619822,-0.2861060021545628,-32.21490472575587,-43.99464198092537,-20.97551335444009,0.8877248172680959,0.8524750967805134,0.924048017865668,-0.12647521005149118,-0.17305479512144606,-0.08219484341275148,-0.486025912235526,-0.6650245105850386,-0.31586287727432594,-35.63239825773651,-48.75546265286207,-23.157102439466712,-0.04661461177621595,-0.06493759396521659,-0.02975687511976316,-3.4174935319806417,-4.7608206719367,-2.1815890850266246,0.8649347869758526,0.8333335943363548,0.930707509312084,-0.1561565277035368,-0.19999962415576683,-0.07445141464382556,-0.538678007116018,-0.6899192787426521,-0.2568278140984555,-128.8703366306263,-165.0524590293426,-61.4420607891042,0.8524750967805134,-0.17305479512144606,-0.5969703190049864,0.8182778190511723,-0.22207883034094983,-0.7660837719050387,0.924048017865668,-0.08219484341275148,-0.28353956825201165,-142.8158657906666,-183.27362964235377,-67.83243259617504,-0.05829231188896844,-0.0761644931623866,-0.02671175415355614,-13.945529160040298,-18.22117061301115,-6.3903718070708475,0.1517
36047006800,36047006800,Census Tract 68; Kings County; New York,2298,1553,777,New York city,New York,24589,0.4252240407806374,0.24034030548822927,36047,2298,1553,777,0.008036,0.00825263846,0.002817342485,0.875672654372058,0.8177213173839878,0.9056877624723207,-0.1419792487605962,-0.22291051821805116,-0.10413328018281738,-2.621892168506267,-4.116427908271795,-1.9230009608838787,-114.0945243040151,-179.13089244002592,-83.68150395491205,0.8641237993856293,0.8014304728019055,0.8967602505038947,-0.15724159051165504,-0.24776887570030817,-0.11512525163564535,-2.9037376822661143,-4.5754804344234,-2.125986707887018,-126.359342135166,-199.1070685127676,-114.0945243040151,-0.28184551375984723,-0.45905252615160475,-0.20298574700313932,-12.26481783115088,-19.976176072741723,-8.833148259492573,0.920764887893482,0.8952647598236482,0.9467185948945094,-0.08605357692102207,-0.11698800720915552,-0.05628008723270893,-0.3765130444757444,-0.5118614744148897,-0.24624411611379693,-24.244239824581097,-32.95952829458401,-15.856028082021696,0.9131952097330148,0.8854145179522058,0.941549155325634,-0.09505611652558246,-0.12941450555024606,-0.06207944040282285,-0.41590215200392266,-0.5662315411800495,-0.2716182167171181,-26.78056355466341,-36.46049846619765,-17.489904489189833,-0.03938910752817826,-0.05437006676515976,-0.02537410060332118,-2.536323730082309,-3.500970171613636,-1.6338764071681378,0.8952647598236482,0.8702148847372905,0.9467185948945094,-0.11698800720915552,-0.1491414563678607,-0.05628008723270893,-0.7501622083864075,-0.9563397731090134,-0.3608848080571844,-96.5459727653034,-123.08105188018192,-46.44592124288087,0.8854145179522058,-0.12941450555024606,-0.8298446447356008,0.8582012805692957,-0.16522781151834315,-1.0594903095823758,0.941549155325634,-0.06207944040282285,-0.3980720008736879,-106.8011125785844,-136.35653919979094,-51.231917744361375,-0.07968243634919336,-0.10315053647336236,-0.03718719281650351,-10.255139813281,-13.275487319609056,-4.785996501480503,0.974
36047010200,36047010200,Census Tract 102; Kings County; New York,2720,2098,588,New York city,New York,23181,0.33236723264766815,0.20778429288256384,36047,2720,2098,588,0.008036,0.00825263846,0.002817342485,0.9095030395956074,0.8660798550391593,0.931669428636114,-0.09950154805928992,-0.1546279412708261,-0.07334207741893639,-2.1748968773561144,-3.3798451700624152,-1.603105260856918,-79.95944402044537,-124.25901360523586,-58.937693413857275,0.90091656090017,0.8537166091730793,0.9250986122903287,-0.10998070565028646,-0.1713488870371312,-0.08096584160280247,-2.4039494656475093,-3.7453302649466504,-1.7697448884867282,-88.3804950605702,-137.6959656230386,-79.95944402044537,-0.22905258829139497,-0.3654850948842352,-0.1666396276298101,-8.421051040124814,-13.436952017802763,-6.126456898154784,0.9427246669931704,0.9239960805776004,0.9616349278116666,-0.06075510168786582,-0.08225567296225833,-0.03989567254554536,-0.3591103153896797,-0.48619555954041827,-0.23581472423698696,-17.11679291657196,-23.174240206883617,-11.239977323021304,0.9371807466325254,0.916720919287738,0.9578803230258576,-0.06703002979222157,-0.09084452962736694,-0.04397175300677466,-0.3962000633779183,-0.5369624406772483,-0.25990755758464495,-18.88465507044415,-25.59401528490221,-12.388348788591276,-0.03708974798823866,-0.05076688113683003,-0.02409283334765799,-1.7678621538721957,-2.4197750780185907,-1.148371465569971,0.9239960805776004,0.9054492883554912,0.9616349278116666,-0.08225567296225833,-0.1044240830055045,-0.03989567254554536,-0.3991498821820109,-0.5067232316941378,-0.19359580224251705,-67.88263302415152,-86.17742035614589,-32.92445616369338,0.916720919287738,-0.09084452962736694,-0.4408277507410497,0.8965005181412518,-0.11544832352505228,-0.5602189256208371,0.9578803230258576,-0.04397175300677466,-0.2133751922501896,-74.97070590834178,-95.27532748653692,-36.28829800173292,-0.04167786855903876,-0.05349569392669928,-0.01977939000767253,-7.088072884190267,-9.097907130391036,-3.3638418380395474,0.9239
36047012100,36047012100,Census Tract 121; Kings County; New York,1598,931,302,New York city,New York,22961,0.30789412648907155,0.2168188419446755,36047,1598,931,302,0.008036,0.00825263846,0.002817342485,0.9186348874068132,0.8792945593708347,0.9386403346542612,-0.08857176415634513,-0.137275318427461,-0.06537079547976181,-1.1373967894231023,-1.7628248452951565,-0.8394609005356347,-71.17626967603894,-110.31444588830765,-52.53197124753659,0.9108717401445764,0.8680561624961015,0.9327153706308302,-0.0978494072516475,-0.15199919452733687,-0.07213843739238765,-1.2565359030054344,-1.9519019125002433,-0.926367763650593,-78.63178366742393,-122.14655272216793,-71.17626967603894,-0.11913911358233208,-0.189077067205087,-0.08690686311495832,-7.455513991384986,-11.832106833860262,-5.438477040986128,0.9485990318834902,0.9317207744300526,0.965605221603684,-0.05418619078120994,-0.07328292707835647,-0.03561991756754681,-0.14212744442843103,-0.19221714971508289,-0.0934291150870554,-15.266105738821809,-20.646310388301057,-10.035350707524747,0.94360654551557,0.9251546944771668,0.9622314913686564,-0.05976373813051258,-0.08090031426055774,-0.03925095880786694,-0.15675704912117952,-0.21219714383940833,-0.10295313965236769,-16.837491849750755,-22.792389241612064,-11.058339382638849,-0.01462960469274848,-0.01997999412432546,-0.00952402456531227,-1.5713861109289462,-2.146078853311006,-1.0229886751141004,0.9317207744300526,0.9149708044425644,0.965605221603684,-0.07328292707835647,-0.09293104779363812,-0.03561991756754681,-0.18264280574540245,-0.2316117544232626,-0.08877540710130986,-60.477750246822005,-76.69263391498762,-29.39583016599665,0.9251546944771668,-0.08090031426055774,-0.2016275955576151,0.9068761074964596,-0.10268645489031564,-0.2559251244585599,0.9622314913686564,-0.03925095880786694,-0.0978250396194029,-66.76410448927652,-84.7434186948874,-32.39239722496785,-0.01898478981221266,-0.02431337003529732,-0.00904963251809304,-6.286354242454523,-8.050784779899775,-2.996567058971206,0.2565
