geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
39061021304,39061021304,Census Tract 213.04; Hamilton County; Ohio,2618,1850,798,Cincinnati city,Ohio,166621,0.751049382485709,0.2279190180870075,39061,2618,1850,798,0.012964,0.007698481651,0.00363660615,0.7666143990245022,0.6684194162618073,0.8201201031120989,-0.30443675630470174,-0.4960666546650984,-0.21933360273125024,-10.332508008666014,-16.836379234803086,-7.4441280819651565,-394.6718108734154,-643.1008111078337,-284.3440825807929,0.7465083492282942,0.6420279905860705,0.8040169479679943,-0.3395697463179798,-0.5575644904315735,-0.2437548767191003,-11.52491297673515,-18.92360052925398,-8.272980064636839,-440.2182191266291,-722.826605395492,-394.6718108734154,-1.1924049680691358,-2.087221294450895,-0.828851982671682,-45.54640825321374,-79.72579428765833,-31.65973959784882,0.8476785909019178,0.8013350583064965,0.8961853701921375,-0.17969241022828528,-0.2479174468085204,-0.11584057635933644,-1.2089204696673346,-1.667919506748902,-0.7793431219546288,-65.34705241445052,-90.15781117561632,-42.126655240790754,0.8337854960218483,0.7837824916014003,0.8864160988153686,-0.1993492388284436,-0.2758641724145058,-0.12813835549289782,-1.341166135654473,-1.8559372900394164,-0.8620791535272632,-72.49546679213368,-100.3209345967252,-46.59887316363584,-0.1322456659871385,-0.18801778329051455,-0.08273603157263432,-7.148414377683162,-10.163123421108894,-4.472217922845098,0.8013350583064965,0.7570793341528349,0.8961853701921375,-0.2479174468085204,-0.32086553533916123,-0.11584057635933644,-1.523053156344094,-1.971201594124966,-0.7116536481318055,-190.85879152181627,-247.01774362468248,-89.1796551543616,0.7837824916014003,-0.2758641724145058,-1.6947407450620957,0.7363012379210999,-0.3581397782562975,-2.2001917440966534,0.8864160988153686,-0.12813835549289782,-0.7872036812840083,-212.3735269501373,-275.7132511399315,-98.64707785513887,-0.17168758871800183,-0.22899014997168732,-0.07555003315220277,-21.514735428321032,-28.695507515249037,-9.467422700777288,0.179
39061000200,39061000200,Census Tract 2; Hamilton County; Ohio,547,336,169,Cincinnati city,Ohio,30668,0.444591442005228,0.2265291848709088,39061,547,336,169,0.012964,0.007698481651,0.00363660615,0.868776742734968,0.807980506865342,0.9003606962860922,-0.15104370410737786,-0.23765362097610607,-0.11066598544884412,-1.0710974272862817,-1.6852750236568288,-0.784766587941272,-195.81305800480467,-308.0941542334239,-143.46738353588154,0.8566412927737402,0.7909353231311099,0.8909599477655814,-0.16734975121509146,-0.2643258819713054,-0.12238490911727032,-1.186728629589588,-1.874416241430174,-0.867869085102572,-216.95221747524465,-342.6720733876004,-195.81305800480467,-0.11563120230330635,-0.1891412177733451,-0.08310249716130003,-21.13915947043992,-34.57791915417644,-15.19241264374772,0.9162495484741036,0.8893857263666686,0.9436367360607856,-0.0914057220168588,-0.12437154133922798,-0.05972983223873114,-0.11168862123945092,-0.15196954487205647,-0.07298386208663354,-33.24066108316992,-45.229031211921566,-21.721387525783793,0.9082703790369702,0.8790208384263754,0.9381781708331002,-0.10099373829661804,-0.13762945801171422,-0.06589561672704682,-0.12340421513312648,-0.1681693888313264,-0.08051783209600076,-36.72744498009717,-50.05041334265667,-23.96364050476213,-0.01171559389367556,-0.01619984395926993,-0.00753397000936721,-3.48678389692725,-4.821382130735099,-2.2422529789783385,0.8893857263666686,0.8630405638924532,0.9436367360607856,-0.12437154133922798,-0.1586940890586156,-0.05972983223873114,-0.16181277288522125,-0.20646789703304513,-0.07771110395871342,-95.74720289066346,-122.1703532739912,-45.982901750718,0.8790208384263754,-0.13762945801171422,-0.17906189785670343,0.8504216920566454,-0.17588722082290367,-0.22883690762343603,0.9381781708331002,-0.06589561672704682,-0.08573305716701027,-105.9537857140257,-135.4064542150509,-50.729619625449864,-0.01724912497148217,-0.02236901059039089,-0.00802195320829685,-10.206582823362234,-13.236100941059703,-4.746717874731864,0.9199
39061000700,39061000700,Census Tract 7; Hamilton County; Ohio,2869,993,282,Cincinnati city,Ohio,45343,0.4179072794299993,0.2523058007192206,39061,2869,993,282,0.012964,0.007698481651,0.00363660615,0.8782920653600409,0.8214317599326073,0.9077084539931624,-0.13857341929881492,-0.2173865788705844,-0.10167531832586948,-5.1540604025490415,-8.085414676724117,-3.781682914021985,-179.64658077898366,-281.8199608478256,-131.8118826776572,0.8669675754950288,0.8054315535392105,0.8989613464155227,-0.15344567463092398,-0.24157042967316208,-0.1123948810339334,-5.707214843650992,-8.984901955261565,-4.180383285029906,-198.9269725915299,-313.17190502828737,-179.64658077898366,-0.5531544411019507,-0.8994872785374479,-0.3987003710079211,-19.28039181254621,-31.351944180461764,-13.896841094734093,0.9224765117811244,0.8974958850880376,0.9478855002610974,-0.08403844133569606,-0.11421123663637472,-0.05497974146091223,-0.3034754096096219,-0.412433896552089,-0.19854008826070824,-30.56147125978065,-41.53412855509456,-19.993966592216346,0.9150626909419102,0.8878420549659216,0.9428258209581506,-0.09282130055008636,-0.12632646134157657,-0.06064129531767162,-0.3351916308444224,-0.456183789118957,-0.21898480794373737,-33.75545124314425,-45.93995862225146,-22.052850749621086,-0.0317162212348005,-0.04374989256686801,-0.0204447196830291,-3.1939799833635956,-4.4058300671568995,-2.058884157404744,0.8974958850880376,0.8729407479023291,0.9478855002610974,-0.11421123663637472,-0.14555312305330395,-0.05497974146091223,-0.2479493769024482,-0.3159917292741927,-0.119359469689423,-87.92531095831497,-112.05380470716054,-42.32605308135567,0.8878420549659216,-0.12632646134157657,-0.2742511883980364,0.8611587981642058,-0.16122601561032873,-0.3500171374408674,0.9428258209581506,-0.06064129531767162,-0.13165054360146275,-97.2521944673888,-124.11955228399552,-46.68458992959672,-0.02630181149558821,-0.03402540816667465,-0.01229107391203976,-9.326883509073836,-12.065747576834983,-4.358536848241051,0.3012
39061003300,39061003300,Census Tract 33; Hamilton County; Ohio,2325,470,141,Cincinnati city,Ohio,36666,0.510896591122476,0.2395262909605723,39061,2325,470,141,0.012964,0.007698481651,0.00363660615,0.8455768820468058,0.7755026147923859,0.8823593803615101,-0.18262457410069816,-0.2894863033669016,-0.13332506261824018,-5.504542075341374,-8.725493515672794,-4.018590709895164,-236.7544978641451,-375.29004368485136,-172.8426111782866,0.8315117891288464,0.7560344635895532,0.8713849558771958,-0.2026287697588442,-0.32269102555474816,-0.14759842163367567,-6.107494537932252,-9.726327008553332,-4.448808305987109,-262.6879371153657,-418.33664552917554,-236.7544978641451,-0.6029524625908778,-1.0008334928805382,-0.43021759609194543,-25.93343925122055,-43.04660184432423,-18.50398262761055,0.9009580897666654,0.8695493819835062,0.9331616236543212,-0.10992954207113564,-0.15002094270819483,-0.07162572340248549,-0.18789211091841057,-0.2564165289542669,-0.1224230367251285,-39.977044876257565,-54.5567082881419,-26.047454622367763,0.8916102409787613,0.8574793613862319,0.9267285808085852,-0.1215663011028836,-0.1662088267446625,-0.07906459421752612,-0.2077817163650442,-0.2840849395162443,-0.13513759110199366,-44.20887582234983,-60.4436041523924,-28.75267895787099,-0.01988960544663365,-0.02766841056197738,-0.01271455437686516,-4.231830946092266,-5.886895864250508,-2.705224335503227,0.8695493819835062,0.8389238564482026,0.9331616236543212,-0.15002094270819483,-0.19200329364068183,-0.07162572340248549,-0.16284561993337118,-0.20841687045643392,-0.07774871374686265,-115.49334747047602,-147.8133833024354,-55.14093173536359,0.8574793613862319,-0.1662088267446625,-0.18041734001285115,0.8243180298853587,-0.2131240173638736,-0.23134311852590925,0.9267285808085852,-0.07906459421752612,-0.08582350322366136,-127.95556029280225,-164.0731337063186,-60.86773278273855,-0.01757172007947996,-0.02292624806947532,-0.00807478947679871,-12.462212822326215,-16.259750403883206,-5.7268010473749715,0.6659
39061002200,39061002200,Census Tract 22; Hamilton County; Ohio,1513,656,271,Cincinnati city,Ohio,39992,0.6031759809171675,0.2468838172417055,39061,1513,656,271,0.012964,0.007698481651,0.00363660615,0.8143162528995115,0.7324632063400816,0.8579037064469437,-0.22802412016133777,-0.3652562904787077,-0.1656319846682515,-4.472586401676406,-7.164331197795909,-3.248793863498929,-295.6104693771583,-473.5182549765968,-214.72530492392124,0.7977602873164853,0.7100098849595602,0.8448554277821322,-0.2535093760605844,-0.4084310953740548,-0.18363446231877184,-4.972467769040367,-8.011184790009452,-3.601904037454345,-328.6495551249417,-529.4900720429248,-295.6104693771583,-0.4998813673639617,-0.8468535922135425,-0.35311017395541633,-33.039085747783325,-55.97181706632799,-23.338412026134588,0.880100200869696,0.8426765705180502,0.9187762639384918,-0.1362342594761615,-0.18669491354818665,-0.08840426037273622,-0.32500230687871823,-0.4453819312336833,-0.21089840888424713,-49.54303458517046,-67.89358707830537,-32.14914769576938,0.8689310814850691,0.8283750523225996,0.9110259413055304,-0.1508392567692758,-0.2071826610376521,-0.09766358416420828,-0.3598441875515468,-0.4942577809826964,-0.2329875779665072,-54.854296882857746,-75.34417393028909,-35.51639908026024,-0.03484188067282856,-0.04887584974901315,-0.02208916908226008,-5.311262297687281,-7.450586851983712,-3.367251384490866,0.8426765705180502,0.8064772304882215,0.9187762639384918,-0.18669491354818665,-0.2399606116525132,-0.08840426037273622,-0.3894994562634372,-0.5006270711235642,-0.1844367941907785,-143.7267366285746,-184.73323657696096,-68.05785763497362,0.8283750523225996,-0.2071826610376521,-0.4322428088034073,0.7893167542701314,-0.2669185020970245,-0.5568690086814203,0.9110259413055304,-0.09766358416420828,-0.203754415188603,-159.4991914403717,-205.4867190706348,-75.18613106590516,-0.04274335253997013,-0.05624193755785611,-0.01931762099782449,-15.772454811797097,-20.753482493673843,-7.128273430931549,0.9053
39061007400,39061007400,Census Tract 74; Hamilton County; Ohio,1745,1038,278,Cincinnati city,Ohio,46636,0.6769030288316182,0.24591644130548268,39061,1745,1038,278,0.012964,0.007698481651,0.00363660615,0.7901730374041803,0.6997997347038484,0.8388527533017589,-0.2655455864263961,-0.42898025021857833,-0.19210433066346735,-6.00722005434349,-9.70446843688972,-4.345818747048479,-344.2532982431799,-556.1299963833651,-249.04405427211913,0.7717816119143371,0.6752601965834815,0.8242411784614398,-0.2957033240524959,-0.4809106253553202,-0.21323712783512988,-6.689453823313892,-10.879246730700618,-4.823888688569319,-383.3497893016557,-623.4525347106372,-344.2532982431799,-0.6822337689704021,-1.174778293810899,-0.4780699415208405,-39.09649105847576,-67.32253832727216,-27.396558253343297,0.8637832507991139,0.821804481713973,0.9074425457182508,-0.15769783574162566,-0.2168344445072611,-0.10199814271270362,-0.5952773462330737,-0.8185060504551633,-0.3850223018545443,-57.34849192996856,-78.85414744269396,-37.09270730775956,0.8512267372379585,0.805833570576641,0.8986716702160725,-0.1747751289448187,-0.24095103072513696,-0.11275344838628834,-0.659740664521706,-0.9095412721908592,-0.42562139942102456,-63.55883087877707,-87.6244000183872,-41.00398838352838,-0.06446331828863228,-0.09103522173569588,-0.04059909756648028,-6.210338948808504,-8.770252575693247,-3.911281075768813,0.821804481713973,0.7814580515314447,0.9074425457182508,-0.2168344445072611,-0.2796592191228598,-0.10199814271270362,-0.46406428587161186,-0.5985204800121902,-0.21829417077053223,-166.92959923439275,-215.29513669503245,-78.52308301098282,0.805833570576641,-0.24095103072513696,-0.5156780706939071,0.7624234353737419,-0.3116071117486013,-0.6668946537287244,0.8986716702160725,-0.11275344838628834,-0.24131243826989096,-185.4957088827004,-239.89016321177132,-86.80303534888165,-0.05161378482229528,-0.0683741737165342,-0.02301826749935873,-18.566109648307656,-24.595026516738923,-8.279952337898823,0.2517
39061008502,39061008502,Census Tract 85.02; Hamilton County; Ohio,979,251,26,Cincinnati city,Ohio,52826,0.7969239367808847,0.18004268801427495,39061,979,251,26,0.012964,0.007698481651,0.00363660615,0.7523916711829192,0.6497130341551799,0.8087402346067857,-0.32909498908698454,-0.5391410475553985,-0.23649097350301357,-4.176793302314671,-6.842646625157515,-3.0014857319027137,-426.6387438523667,-698.9424540508187,-306.5868980493068,0.731287882674311,0.6222913114873242,0.7917534321306509,-0.36745052624557656,-0.6069644257283987,-0.2630194697217118,-4.6635924211804545,-7.703444392024959,-3.3381789329573546,-476.36286222476554,-786.8686815142961,-426.6387438523667,-0.4867991188657834,-0.860797766867444,-0.33669320105464084,-49.72411837239871,-87.92622746347743,-34.39154249792041,0.8378653067151975,0.7889266911568188,0.8892905645164904,-0.19350925737746816,-0.26754489512033147,-0.1244918589051967,-0.1766329558206692,-0.2442118081599213,-0.11363469278961222,-70.37169554608334,-97.29554109957024,-45.272785971957056,0.8231739699004915,0.770442646535282,0.8789173808609391,-0.21481003598897072,-0.2979551488966096,-0.13776336863478006,-0.19607605398776223,-0.27196992725229563,-0.12574876951911151,-78.11794979592122,-108.35455269015762,-50.09911136219582,-0.01944309816709305,-0.02775811909237432,-0.01211407672949929,-7.74625424983787,-11.059011590587382,-4.826325390238764,0.7889266911568188,0.7423785143033108,0.8892905645164904,-0.26754489512033147,-0.3470217425923964,-0.1244918589051967,-0.05355192611346737,-0.06946005346398582,-0.02491835557849398,-205.96894659025912,-267.15405178456086,-95.83982914805378,0.770442646535282,-0.2979551488966096,-0.05963885841163956,0.7205895066970487,-0.3877526534957183,-0.07761277388964705,0.8789173808609391,-0.13776336863478006,-0.02757478790598488,-229.38022466015215,-298.5106688063348,-106.05687656148032,-0.00608693229817219,-0.00815272042566123,-0.00265643232749089,-23.411278069893072,-31.356617021773964,-10.217047413426537,0.8938
39061009902,39061009902,Census Tract 99.02; Hamilton County; Ohio,2699,1716,743,Cincinnati city,Ohio,73406,0.7531979909343859,0.16040514529312294,39061,2699,1716,743,0.012964,0.007698481651,0.00363660615,0.7659422926345646,0.6675313697251454,0.819583551836185,-0.30558138598191453,-0.4980569383754173,-0.22013185569624005,-10.69224258015989,-17.42693059241796,-7.702377529187106,-396.1557087869541,-645.681014909891,-285.37893772460563,0.7457884538861425,0.6410897710893628,0.8034383492682821,-0.3408628073942632,-0.5598439486887523,-0.24465057077588237,-11.92673372922486,-19.58884795021186,-8.560283348754519,-441.89454350592285,-725.7816950800986,-396.1557087869541,-1.2344911490649686,-2.1619173577939,-0.8579058195674127,-45.738834718968825,-80.10068017020748,-31.786062229248344,0.8472164148632493,0.8007495599384773,0.895861250879904,-0.18033595956873877,-0.2488299089128833,-0.11624428338407562,-1.1253714351316466,-1.5528021830290075,-0.7254127037703927,-65.58108596338268,-90.48963770565312,-42.273467585687214,0.8332854483714093,0.783152573746263,0.8860634604786205,-0.20006895830764976,-0.2768903959753752,-0.12858733556153526,-1.2485135592169687,-1.7279112997660535,-0.8024384859608709,-72.75720042056928,-100.69413168799846,-46.762149531519285,-0.1231421240853221,-0.175109116737046,-0.07702578219047818,-7.1761144571866025,-10.204493982345335,-4.488681945832061,0.8007495599384773,0.7563843440774953,0.895861250879904,-0.2488299089128833,-0.3220791887484454,-0.11624428338407562,-1.4233000785734744,-1.842283898488412,-0.6649140306208011,-191.56124879858336,-247.9520724748872,-89.49044826659504,0.783152573746263,-0.2768903959753752,-1.5838052751366307,0.735557764431512,-0.35951253369321245,-2.0564015784486944,0.8860634604786205,-0.12858733556153526,-0.735515941824994,-213.163563275455,-276.7700643941715,-98.99272433714587,-0.16050519656315632,-0.2141176799602822,-0.0706019112041929,-21.602314476871644,-28.81799191928428,-9.50227607055086,0.8087
39061010700,39061010700,Census Tract 107; Hamilton County; Ohio,928,710,266,Cincinnati city,Ohio,52091,0.6652425232963537,0.2225639828543768,39061,928,710,266,0.012964,0.007698481651,0.00363660615,0.7939432674308695,0.704867037480128,0.8418374017380407,-0.25953583967770383,-0.4187072835395463,-0.18787784664285528,-3.122369796539867,-5.0372964956925985,-2.260281718798762,-336.4622625581753,-542.8121223806679,-243.5648403877976,0.7758333018532884,0.6806407108381549,0.8274676780443543,-0.28893667958210695,-0.46920391930212274,-0.20850641847837537,-3.4760793058870596,-5.644800917924765,-2.508455650094595,-374.57751141024346,-608.2759609832721,-336.4622625581753,-0.3537095093471927,-0.6075044222321662,-0.24817393129583332,-38.11524885206818,-65.46383860260411,-26.742880527568246,0.8663436186826692,0.8250708150514775,0.9092257093487782,-0.15427640769209322,-0.21201717689845617,-0.0998369158701394,-0.3983401984392112,-0.5474263082843401,-0.25777795499777084,-56.10425330129735,-77.10229694145636,-36.30675422503815,0.8540026118017147,0.809357411014331,0.900614382291796,-0.1709566061985107,-0.23554808591515244,-0.11035313188680944,-0.4414083102940888,-0.6081828886804379,-0.28493072344484593,-62.170184548463205,-85.65956178597717,-40.13108780913323,-0.04306811185487758,-0.06075658039609777,-0.02715276844707509,-6.065931247165856,-8.557264844520814,-3.824333584095083,0.8250708150514775,0.7853627288947583,0.9092257093487782,-0.21201717689845617,-0.27329699157903875,-0.0998369158701394,-0.4341679520491898,-0.5596565187352984,-0.20444564886837385,-163.22103460495856,-210.3971874944731,-76.85926649186987,0.809357411014331,-0.23554808591515244,-0.4823544562140286,0.7666150054583498,-0.30443572442482014,-0.6234222950126365,0.900614382291796,-0.11035313188680944,-0.2259807152156221,-181.3362617345973,-234.369283839337,-84.95515609609853,-0.04818650416483894,-0.06376577627733804,-0.02153506634724825,-18.115227129638697,-23.972096344863925,-8.095889604228665,0.3495
39061010005,39061010005,Census Tract 100.05; Hamilton County; Ohio,858,443,120,Cincinnati city,Ohio,44858,0.724825268737127,0.2125867477896809,39061,858,443,120,0.012964,0.007698481651,0.00363660615,0.7748652490304897,0.6793538469988016,0.8266971740978548,-0.2905469709103597,-0.4719869541001715,-0.2096327788845588,-3.231786498696673,-5.249963752995067,-2.3317688784041826,-376.6650930881903,-611.8838872954624,-271.767934545942,0.7553509897590632,0.6535903673901626,0.8111125075684019,-0.3238878528761487,-0.5300103090458296,-0.23287458973830336,-3.602640862980924,-5.895364028671376,-2.590290143613199,-419.8882124686391,-687.1053646470135,-376.6650930881903,-0.3708543642842512,-0.6454002756763089,-0.2585212652090165,-43.223119380448864,-75.22147735155114,-30.13068359079447,0.8533398835383391,0.8085157544449809,0.9001507615012231,-0.17186600473136293,-0.23683427874137916,-0.11092501697410524,-0.27687897361342756,-0.3815439366085592,-0.17870203532018025,-62.50089697820035,-86.12729946017137,-40.33905989168854,0.8399128944516434,0.7915116937942764,0.8907314333097044,-0.19059965218521044,-0.2634052128861058,-0.12267285357190633,-0.3070591892247965,-0.4243501505857865,-0.1976279942057763,-69.31358673245971,-95.79010171236716,-44.6112853737644,-0.03018021561136896,-0.04280621397722733,-0.01892595888559603,-6.81268975425936,-9.662802252195789,-4.2722254820758545,0.8085157544449809,0.7656134377447026,0.9001507615012231,-0.23683427874137916,-0.306142173974557,-0.11092501697410524,-0.2187917219061992,-0.2828195890728452,-0.10247450493744152,-182.32643492183269,-235.6829908940377,-85.39542078120127,0.7915116937942764,-0.2634052128861058,-0.24333842378177212,0.7454362393548396,-0.34149635771059417,-0.31548041324620096,0.8907314333097044,-0.12267285357190633,-0.11332736547589568,-202.78201981814345,-262.90034437183414,-94.43947122991308,-0.02454670187557289,-0.03266082417335575,-0.01085286053845416,-20.455584896310747,-27.21735347779646,-9.044050448711802,0.4131
39061027700,39061027700,Census Tract 277; Hamilton County; Ohio,3260,2155,807,Cincinnati city,Ohio,88935,0.7224777729495377,0.2316204627791003,39061,3260,2155,807,0.012964,0.007698481651,0.00363660615,0.7756081541198528,0.6803413407490239,0.8272884976127433,-0.289310839098621,-0.46985041199914,-0.20876816598519132,-12.227039840922943,-19.857118816171333,-8.823093842492387,-375.0625718074523,-609.1140741156851,-270.64705038320204,0.756147643224611,0.6546354922877715,0.8117507240402481,-0.32249304611394985,-0.5275676491436085,-0.23190527631782956,-13.629407510417265,-22.29640163140264,-9.800929207120957,-418.07998498212464,-683.9387003497742,-375.0625718074523,-1.4023676694943177,-2.439282815231305,-0.9778353646285698,-43.01741317467232,-74.82462623408911,-29.9949498352322,0.8538485037499872,0.8091616758893622,0.9005065846704873,-0.17116794795345447,-0.23584696334126856,-0.11048604976710892,-1.3414237383134389,-1.8483058248799444,-0.8658666045957512,-62.24704122104125,-85.76825173456818,-40.179424807227434,0.8404635898456373,0.7922072922039248,0.8911187507175246,-0.18981953779064217,-0.26229587866831516,-0.12218489308501788,-1.4875941263097523,-2.0555829658198492,-0.9575491089727975,-69.02988985196066,-95.38668054848488,-44.433833363006855,-0.14617038799631343,-0.2072771409399048,-0.0916825043770465,-6.782848630919417,-9.618428813916696,-4.25440855577942,0.8091616758893622,0.7663820576456954,0.9005065846704873,-0.23584696334126856,-0.3048322178522452,-0.11048604976710892,-1.4652404604195484,-1.8938234052656993,-0.6864138852466135,-181.56635197268255,-234.6745235769144,-85.05748268235608,0.7922072922039248,-0.26229587866831516,-1.629558967312184,0.7462594804803604,-0.3400164770520693,-2.1124117619657756,0.8911187507175246,-0.12218489308501788,-0.7590949930576364,-201.92800090609464,-261.7610609623018,-94.06381574444067,-0.1643185068926356,-0.21858835670007637,-0.07268110781102288,-20.361648933412095,-27.08653738538741,-9.00633306208462,0.3506
