geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
37051000800,37051000800,Census Tract 8; Cumberland County; North Carolina,1761,1081,461,Fayetteville city,North Carolina,8969,0.5242205749304581,0.2564681785042619,37051,1761,1081,461,0.012567,0.009162065641,0.004054771124,0.8409901764686482,0.7691354451945771,0.8787856874180145,-0.189074531404208,-0.300161117587057,-0.1379338720662699,-4.184311459271917,-6.642711710665836,-3.052543762622249,-237.60996361566816,-377.2124764716545,-173.34149702568138,0.8265516842180326,0.749209211979677,0.8675035737075665,-0.2098456988156281,-0.3347406625682625,-0.1527330034228744,-4.643987509645172,-7.40797388133832,-3.3800557467208776,-263.7130897015998,-420.6685906495354,-237.60996361566816,-0.45967605037325576,-0.765262170672484,-0.3275119840986287,-26.103126085931613,-43.45611417788098,-18.5980683758449,0.897916211308499,0.8656169841157617,0.931070728360862,-0.11368965991018053,-0.1552453548742602,-0.07403226150228882,-0.498325379659376,-0.6804726170277047,-0.3244987701547932,-46.098555010118034,-62.94843820792828,-30.018387618389756,0.8882994511979158,0.8532147327758549,0.9244447077235124,-0.12574650209616872,-0.1720378957200995,-0.08173046115710464,-0.551173021780678,-0.7540778094353487,-0.358241577272965,-50.98732856435504,-69.75742917995827,-33.13983138510315,-0.05284764212130199,-0.07360519240764407,-0.03374280711817179,-4.8887735542370025,-6.808990972029979,-3.1214437667133943,0.8656169841157617,0.8341595480587128,0.931070728360862,-0.1552453548742602,-0.1988114292130771,-0.07403226150228882,-0.6557117087682415,-0.8397222710950004,-0.3126909705798335,-142.23681318183114,-182.15233646312373,-67.82884394356476,0.8532147327758549,-0.1720378957200995,-0.7266385694237768,0.8191699976562532,-0.22074783361344263,-0.9323753313121326,0.9244447077235124,-0.08173046115710464,-0.34520595084566363,-157.62224933270647,-202.25061416749077,-74.88198499905936,-0.07092686065553533,-0.09265306021713215,-0.03251498026583011,-15.38543615087534,-20.09827770436706,-7.0531410554946,0.6649
37051001500,37051001500,Census Tract 15; Cumberland County; North Carolina,1724,1198,433,Fayetteville city,North Carolina,252130,0.8152431438324955,0.1599949037436103,37051,1724,1198,433,0.012567,0.009162065641,0.004054771124,0.7467860725583821,0.6423900644211875,0.8042401235995374,-0.3390715718279844,-0.5566865918155656,-0.24340973629156937,-7.346157852011771,-12.06089780847287,-5.273595588902886,-426.111244316228,-699.5880399346212,-305.8930155976152,0.7252969159822079,0.6145803873158812,0.786908633065168,-0.378745694300637,-0.6271264437308205,-0.27079556378076336,-8.205717869836004,-13.58701298366164,-5.866923453456638,-475.9697140276105,-788.109801836522,-426.111244316228,-0.8595600178242329,-1.526115175188771,-0.5933278645537525,-49.85846971138242,-88.52176190190087,-34.4157694056701,0.8339783571106723,0.7840254760864122,0.8865520872498711,-0.19907188414878255,-0.275468757713919,-0.12796531008352818,-0.9670147310812148,-1.3381213916823762,-0.6216063129520746,-80.71909274467568,-111.69627643425513,-51.88700442003961,0.8189742712698771,0.7651792640109163,0.8759406521359799,-0.22103957972871333,-0.3068832978538918,-0.141629855357782,-1.073725356363809,-1.4907211584218705,-0.6879834240656353,-89.62649051450826,-124.43415345758515,-57.42766478010311,-0.10671062528259424,-0.15259976673949405,-0.0663771111135607,-8.907397769832574,-12.737877023330055,-5.540660360063498,0.7840254760864122,0.7365880663250577,0.8865520872498711,-0.275468757713919,-0.35761091676266465,-0.12796531008352818,-1.0928326098151089,-1.418704882206573,-0.5076607051374366,-252.38628402196508,-327.64546933177206,-117.24265707562046,0.7651792640109163,-0.3068832978538918,-1.2174595699546735,0.7144093770471928,-0.3997576629427998,-1.5859083756462389,0.8759406521359799,-0.141629855357782,-0.5618703396452738,-281.1684919063911,-366.2605948374685,-129.76220315133344,-0.12462696013956465,-0.16720349343966556,-0.05420963450783722,-28.782207884426015,-38.61512550569644,-12.519546075712984,0.8741
37051003800,37051003800,Census Tract 38; Cumberland County; North Carolina,1572,1059,458,Fayetteville city,North Carolina,167690,0.6698203223322969,0.25130088051616767,37051,1572,1059,458,0.012567,0.009162065641,0.004054771124,0.7924609722957986,0.7028733042872584,0.8406643942268102,-0.26189179651705824,-0.4227315134895328,-0.18953533284793944,-5.173757293136558,-8.351198013996092,-3.7443319098588863,-329.11942068298714,-531.2466930022958,-238.18905279000552,0.7742401185389086,0.6785232812985715,0.826199483066089,-0.29158897356950386,-0.47378878155246174,-0.21036144477956345,-5.7604346476929855,-9.359850887134105,-4.155758498728385,-366.4398630847955,-595.4103617769787,-329.11942068298714,-0.5866773545564277,-1.008652873138013,-0.41142658886949857,-37.32044240180837,-64.16366877468278,-26.17217486447192,0.8653375399612983,0.8237869398655555,0.908525239554554,-0.1556184191948086,-0.2139061104357918,-0.1006848863002373,-0.6682258997919418,-0.9185133987128936,-0.4323411655994374,-63.099707251363725,-86.73403198422037,-40.82541695934254,0.8529117532507585,0.8079721525711383,0.8998511925312892,-0.17245423830617224,-0.237666418103382,-0.11129485441586329,-0.7405189511713035,-1.0205402220970403,-0.47790039648940474,-69.92624656952819,-96.36829292701042,-45.12751619352264,-0.0722930513793617,-0.1020268233841466,-0.04555923088996727,-6.826539318164467,-9.634260942790046,-4.302099234180101,0.8237869398655555,0.7838274703499759,0.908525239554554,-0.2139061104357918,-0.2757909588872968,-0.1006848863002373,-0.8975983957692636,-1.1572812097820435,-0.4224965441014432,-195.98218248237197,-252.68148685197457,-92.24815373393956,0.8079721525711383,-0.237666418103382,-0.9973020180826376,0.7649666959599327,-0.3072464530565365,-1.2892755742577329,0.8998511925312892,-0.11129485441586329,-0.46701836884196457,-217.75153233245365,-281.5012170868412,-101.9690761663678,-0.09970362231337417,-0.13199436447568935,-0.04452182474052135,-21.769349850081692,-28.819730234866668,-9.720922432428242,0.9674
37051002702,37051002702,Census Tract 27.02; Cumberland County; North Carolina,3973,3128,1437,Fayetteville city,North Carolina,640529,0.8146300064318343,0.13299018532953477,37051,3973,3128,1437,0.012567,0.009162065641,0.004054771124,0.7469730127098663,0.6426338213971683,0.8043903349319067,-0.33873645096253646,-0.5560961261358325,-0.24317754275932724,-16.912667590545137,-27.765151648133003,-12.141536390569737,-425.6900979246197,-698.8460017149006,-305.60121798564654,0.7254966354185703,0.6148369171373069,0.7870703062570552,-0.37836614421107106,-0.6264475540213496,-0.2705345279197999,-18.891326299176008,-31.277706352437768,-13.507434849338564,-475.4927334300531,-787.2566411386299,-425.6900979246197,-1.978658708630871,-3.512554704304766,-1.365898458768827,-49.80263550543344,-88.41063942372931,-34.37952325116605,0.8341081598139118,0.7841890244678369,0.8866436065744605,-0.19888528631958036,-0.27520274933536065,-0.12784888154045443,-2.5225265403138293,-3.4904856563913467,-1.6215487973153528,-80.64343159571065,-111.58841612504304,-51.83979531059312,0.819114486529294,0.7653548445922004,0.8760401189388431,-0.22083056330396983,-0.30658348485769926,-0.1415002331300886,-2.8008656002416163,-3.888497694760395,-1.7946933136003536,-89.54173913815909,-124.312586149629,-57.375105933515144,-0.27833905992778707,-0.39801203836904886,-0.17314451628500072,-8.898307542448435,-12.72417002458596,-5.535310622922018,0.7841890244678369,0.7367811380806295,0.8866436065744605,-0.27520274933536065,-0.3572551580311563,-0.12784888154045443,-3.623288664789728,-4.703581514567485,-1.6832440969805842,-252.14256539942437,-327.31952084672827,-117.13598448020768,0.7653548445922004,-0.30658348485769926,-4.036443924268251,0.7146153639415677,-0.3993541847244241,-5.257852598649267,0.8760401189388431,-0.1415002331300886,-1.8629762675102677,-280.893801271277,-365.8909254453213,-129.6434424154675,-0.4131552594785224,-0.5542710840817815,-0.1797321705296835,-28.751235871852636,-38.571404598593006,-12.507457935259811,0.4958
37051001402,37051001402,Census Tract 14.02; Cumberland County; North Carolina,1441,933,380,Fayetteville city,North Carolina,252284,0.7975554292212164,0.17853343110981876,37051,1441,933,380,0.012567,0.009162065641,0.004054771124,0.7521977387799816,0.6494592158523154,0.8085846903293424,-0.32943765773869294,-0.5397425667255391,-0.23672883244016493,-5.965802027559905,-9.774223508733424,-4.286933552914071,-414.00430448021547,-678.294483603985,-297.4971237275553,0.7310805432615283,0.6220239004708633,0.7915859287983424,-0.3678383445122976,-0.6076552673346058,-0.26328673062447944,-6.66120186917539,-11.004057795959945,-4.767871779355038,-462.2624475486044,-763.6403744593993,-414.00430448021547,-0.695399841615485,-1.2298342872265184,-0.4809382264409665,-48.25814306838896,-85.34589085541418,-33.37531064822807,0.8377310163325714,0.7887572296233686,0.8891960241937552,-0.19370057990428913,-0.26781722238856664,-0.12461141614607656,-0.7327889463854025,-1.013179724681026,-0.471417630191898,-78.54115180979662,-108.5937539851046,-50.52707719098586,0.823028841791439,0.7702606082158562,0.878814600100734,-0.21502424851036592,-0.29826189906853207,-0.13789643445315447,-0.8134585481937163,-1.1283550254384096,-0.5216762023281544,-87.18741138196317,-120.9383735732486,-55.91384805232094,-0.08066960180831384,-0.11517530075738348,-0.05025857213625634,-8.646259572166542,-12.344619588143996,-5.386770861335085,0.7887572296233686,0.7421781527986426,0.8891960241937552,-0.26781722238856664,-0.3473853901912227,-0.12461141614607656,-0.93242840909945,-1.2094517441094246,-0.4338452302523619,-245.37589713143427,-318.27677476563804,-114.16979743483206,0.7702606082158562,-0.29826189906853207,-1.038424137040579,0.7203755806590487,-0.3881647668916426,-1.3514286080381832,0.878814600100734,-0.13789643445315447,-0.480098149965469,-273.2695097475207,-355.63910737846925,-126.34161841196554,-0.10599572794112876,-0.14197686392875863,-0.04625291971310713,-27.89361261608652,-37.36233261283122,-12.171820977133455,0.979
37051000200,37051000200,Census Tract 2; Cumberland County; North Carolina,1341,787,456,Fayetteville city,North Carolina,148466,0.6873975003087073,0.25397400529385866,37051,1341,787,456,0.012567,0.009162065641,0.004054771124,0.7867951352928724,0.6952703093292648,0.8361756139879511,-0.2709788801982938,-0.4382895207544694,-0.1959210281566636,-4.566630118773077,-7.386207090218021,-3.3017291510928657,-340.5391587451959,-550.7984407321418,-246.21395608447915,0.7681531797470049,0.6704541018497316,0.8213480823783282,-0.30182368096081436,-0.4915264105940681,-0.21751060415744827,-5.0864374043689375,-8.283373630995712,-3.6655641774409617,-379.3018198634555,-617.7012401935654,-340.5391587451959,-0.5198072855958609,-0.8971665407776905,-0.3638350263480956,-38.76266111825957,-66.9027994614236,-27.131620160186102,0.8614853863831173,0.818875834521383,0.9058406861694024,-0.16078579602891005,-0.2211863604260352,-0.10394688080171846,-0.5130843374723667,-0.7058288729478992,-0.33170539802458154,-65.19496028873782,-89.68600672781439,-42.14808107046779,0.8487361615369939,0.8026752288505702,0.896926809843561,-0.17822245041271628,-0.24583388655458896,-0.1149181728377778,-0.568726530273037,-0.7844817137232623,-0.36671594152137904,-72.26512455820038,-99.68001445022392,-46.59668888454625,-0.05564219280067029,-0.07865284077536305,-0.0350105434967975,-7.070164269462552,-9.994007722409536,-4.448607814078462,0.818875834521383,0.7779604375703509,0.9058406861694024,-0.2211863604260352,-0.28541240878919377,-0.10394688080171846,-0.924094922621452,-1.1924250541816284,-0.4342798741576415,-202.65239531172193,-261.49672240825186,-95.23681450825472,0.8026752288505702,-0.24583388655458896,-1.027069869660253,0.7586706148544725,-0.31809507369916923,-1.3289700230615975,0.896926809843561,-0.1149181728377778,-0.4801168563548775,-225.23462053952915,-291.44079453105206,-105.28878428835034,-0.10297494703880096,-0.13654496887996914,-0.04583698219723603,-22.582225227807225,-29.94407212280025,-10.051969780095622,0.998
37051001200,37051001200,Census Tract 12; Cumberland County; North Carolina,3653,2314,958,Fayetteville city,North Carolina,51531,0.7819111529814413,0.2093371584629174,37051,3653,2314,958,0.012567,0.009162065641,0.004054771124,0.7570168752635791,0.6557764805912942,0.8124468900979528,-0.32097451546482203,-0.5249098276570237,-0.23084968653081417,-14.735057646046966,-24.097167210617727,-10.597674502841404,-403.36867358464184,-659.6541804165817,-290.10880106327414,0.7362344190260829,0.6286825706636197,0.7957460264936883,-0.35826303981119983,-0.590627840922054,-0.2566823668681326,-16.446871292635745,-27.114100540796805,-11.783581843089449,-450.2291621307349,-742.2420076867453,-403.36867358464184,-1.7118136465887783,-3.0169333301790786,-1.1859073402480451,-46.86048854609303,-82.58782727016366,-32.463929379908166,0.8410642056964314,0.7929661233100607,0.891541080978513,-0.188969870822126,-0.26108792116581536,-0.12165330497440188,-1.773055237743021,-2.4497201808971307,-1.1414413770576428,-76.62295755155667,-105.86517635683364,-49.327630814937024,0.8266317186575716,0.7747830256646412,0.8813643819108524,-0.20972856161867828,-0.2906839294035363,-0.13460450697126905,-1.9678286441351969,-2.7274118425037095,-1.262959143015307,-85.04013155294713,-117.86568031563137,-54.57904680273584,-0.19477340639217555,-0.27769166160657877,-0.1215177659576645,-8.417174001390473,-12.0005039587977,-5.251415987798812,0.7929661233100607,0.7471577690264893,0.891541080978513,-0.26108792116581536,-0.3384054097475985,-0.12165330497440188,-2.2916362755781092,-2.9702718891271647,-1.0677825518640192,-239.21046717934337,-310.04925773769986,-111.45955656200616,0.7747830256646412,-0.2906839294035363,-2.551408101815891,0.7256940266435379,-0.37799122396690427,-3.3177268286670274,0.8813643819108524,-0.13460450697126905,-1.1814586046505104,-266.32652419790094,-346.3180405706709,-123.32553284452094,-0.25977182623778194,-0.34745493953986273,-0.11367605278649127,-27.116057018557616,-36.268782832971056,-11.865976282514747,0.932
37051001401,37051001401,Census Tract 14.01; Cumberland County; North Carolina,2116,1540,769,Fayetteville city,North Carolina,1049884,0.823473116368916,0.15025940319876788,37051,2116,1540,769,0.012567,0.009162065641,0.004054771124,0.7442813508270453,0.6391271180873292,0.8022265917946395,-0.3435779344582532,-0.5646339698315879,-0.2465306064748202,-9.136346097344813,-15.014617789216462,-6.555685678400142,-431.7743902336868,-709.5755098873565,-309.8150131569065,0.7226214534142658,0.6111474014319411,0.7847417506635372,-0.383850417497525,-0.6362664680516725,-0.27430457109546097,-10.207262784198996,-16.91945284967536,-7.294244613128288,-482.3848196691397,-799.5960704005367,-431.7743902336868,-1.0709166868541828,-1.9048350604588968,-0.7385589347281458,-50.61042943545288,-90.02056051318037,-34.903541338759254,0.8322380055756413,0.7818335105088027,0.8853245628543923,-0.2015793478553305,-0.27904468989723735,-0.1295292618741768,-1.25873150307296,-1.7424520203873128,-0.8088257265710871,-81.73581188785455,-113.14623509008524,-52.52115107604461,0.8170945225461463,0.7628263900281259,0.8746066296104222,-0.2238486153155235,-0.3109142697110011,-0.14337116384017348,-1.397788548354304,-1.9414567524101212,-0.8952593729362489,-90.7654901528769,-126.0686202863715,-58.13372551534084,-0.139057045281344,-0.19900473202280833,-0.08643364636516182,-9.029678265022335,-12.922385196286257,-5.612574439296222,0.7818335105088027,0.7340014099219229,0.8853245628543923,-0.27904468989723735,-0.36239520317320906,-0.1295292618741768,-1.9660452137548423,-2.553301963742028,-0.9126150561858232,-255.6625765610978,-332.02886394564734,-118.67555997214863,0.7628263900281259,-0.3109142697110011,-2.1905864328703273,0.7116502127983972,-0.4051847129613507,-2.8547809524619803,0.8746066296104222,-0.14337116384017348,-1.0101399548661507,-284.86169478157706,-371.2328936881638,-131.3576014130235,-0.22454121911548497,-0.3014789887199525,-0.09752489868032764,-29.19911822047919,-39.20402974251658,-12.682041440874857,0.7265
37051002501,37051002501,Census Tract 25.01; Cumberland County; North Carolina,4962,2955,1295,Fayetteville city,North Carolina,0,NA,NA,37051,4962,2955,1295,0.012567,0.009162065641,0.004054771124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8265
37051002600,37051002600,Census Tract 26; Cumberland County; North Carolina,2974,2298,1075,Fayetteville city,North Carolina,656228,0.8352231978108613,0.13826284700456817,37051,2974,2298,1075,0.012567,0.009162065641,0.004054771124,0.7407198661669824,0.6344972525912479,0.7993605692948498,-0.3500380449828079,-0.5760509535952462,-0.25099990969299735,-13.082412203003068,-21.529476960814755,-9.380935382842782,-439.89281112989465,-723.9232333831458,-315.4315865111897,0.7188187416594363,0.6062792720744333,0.7816583900667963,-0.3911712954109125,-0.6494048964900606,-0.27933124329996056,-14.619736916881658,-24.271026147882814,-10.439797954553496,-491.5849669428937,-816.1071334190591,-439.89281112989465,-1.5373247138785917,-2.7415491870680633,-1.058862571710714,-51.692155812999054,-92.18390003591335,-35.60398694387067,0.8297595662163035,0.7787146177359402,0.8835749489249322,-0.205168389392594,-0.28416749502845084,-0.1317659030699378,-1.9117311582716263,-2.6478340841013432,-1.2277767703024718,-83.19108608666781,-115.2234153220776,-53.428057889576664,0.8144182458838407,0.7594796820400388,0.8727055415991685,-0.22787032959306827,-0.3166909183322712,-0.14586186558134356,-2.123264750570872,-2.950882920657718,-1.359121032538299,-92.3962032450336,-128.41091908867355,-59.143648065200125,-0.2115335922992456,-0.3030488365563748,-0.13134426223582718,-9.20511715836578,-13.187503766595944,-5.715590175623463,0.7787146177359402,0.730324127787417,0.8835749489249322,-0.28416749502845084,-0.3692550498497024,-0.1317659030699378,-2.7988283356758985,-3.636874430368228,-1.2977914421603447,-260.35612424892076,-338.31390049937,-120.72478531724136,0.7594796820400388,-0.3166909183322712,-3.119158705294002,0.7077293616052907,-0.4129694968875861,-4.067427661080919,0.8727055415991685,-0.14586186558134356,-1.4366256859981126,-290.1542981668839,-378.36536382148086,-133.63959869749883,-0.32033036961810346,-0.43055323071269136,-0.13883424383776788,-29.798173917963116,-40.05146332211082,-12.914813380257478,0.7346
37051002505,37051002505,Census Tract 25.05; Cumberland County; North Carolina,2381,1147,486,Fayetteville city,North Carolina,7378,0.8656831194582785,0.13111087183696868,37051,2381,1147,486,0.012567,0.009162065641,0.004054771124,0.7315665237724387,0.6226507437240664,0.7919785189834425,-0.3669296878749202,-0.6060367872027461,-0.2626605091304332,-10.979280027694935,-18.133849109673825,-7.859334846034569,-461.12053875241224,-761.6064304776911,-330.08546182421543,0.7090538288095936,0.5938393364852326,0.7737216379003837,-0.4103301602346131,-0.6839571556824069,-0.2924544836482258,-12.27791013345442,-20.465384479172183,-8.75083095599327,-515.6619123668384,-859.5289575460808,-461.12053875241224,-1.298630105759484,-2.331535369498358,-0.8914961099587018,-54.541373614426035,-97.92252706838966,-37.44208777650994,0.8233689814213285,0.7706872722322625,0.8790554798010222,-0.21452231328142188,-0.29754316183728197,-0.1375846268842487,-0.9977051969052284,-1.383820425613406,-0.6398816755094608,-86.98388813471911,-120.64694207614698,-55.78741721965657,0.8075212359331297,0.7508721653268413,0.8677965397825974,-0.23835752609583297,-0.3317846181776065,-0.15234384346649105,-1.1085585404596747,-1.5430713604824913,-0.7085241717659483,-96.648521400146,-134.53106891739245,-61.7719417407104,-0.11085334355444644,-0.15925093486908537,-0.06864249625648744,-9.66463326542689,-13.884126841245454,-5.984524521053831,0.7706872722322625,0.7208770039850387,0.8790554798010222,-0.29754316183728197,-0.3871991955242815,-0.1375846268842487,-1.3248894501749575,-1.7241066005304282,-0.6126318599951062,-272.61099797838637,-354.75444455358604,-126.05593827059798,0.7508721653268413,-0.3317846181776065,-1.4773585709028334,0.6976655667097729,-0.4333515192903271,-1.9296120017674163,0.8677965397825974,-0.15234384346649105,-0.6783511668073189,-303.9832450417353,-397.0395065365054,-139.57842938422198,-0.15246912072787588,-0.20550540123698835,-0.06571930681221272,-31.372247063348947,-42.285061982919416,-13.522491113624016,0.9782
