geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48085031643,48085031643,Census Tract 316.43; Collin County; Texas,2967,2104,750,Plano city,Texas,71455,0.5569014749429965,0.1949030182934633,48085,2967,2104,750,0.006619,0.006897320142,0.003436016044,0.8298450394629813,0.753738617500567,0.8700813480024586,-0.20504425819925529,-0.32671986917168633,-0.14931782217353573,-4.026776632876924,-6.4163120012786115,-2.932388950956,-135.7187945020871,-216.25588140473917,-98.83346649666328,0.8145105285959429,0.7327280940003122,0.8580564191431557,-0.2277312138908809,-0.3647627383038132,-0.16542453117312192,-4.472316068374679,-7.163419663859332,-3.2487017314341307,-150.7352904743741,-241.43645648329397,-135.7187945020871,-0.4455394354977553,-0.7471076625807207,-0.3163127804781305,-15.016495972287002,-25.18057507855479,-10.661030686826104,0.8904985479291196,0.8560467876308753,0.925962023582629,-0.1229664577505816,-0.16816044922908688,-0.07995789733461367,-0.888970974466997,-1.2156954111925884,-0.5780458444534434,-42.251472170484654,-57.780200151738995,-27.47366180862374,0.8802307521192385,0.842844101992594,0.9188666577724284,-0.13606573911716413,-0.18645903511203185,-0.08829718821690631,-0.9836706278056992,-1.3479828009515464,-0.6383337284635069,-46.752406264529434,-64.06762361937007,-30.33905553533778,-0.09469965333870224,-0.13228738975895804,-0.06028788401006346,-4.500934094044783,-6.2874234676310845,-2.8653937267140432,0.8560467876308753,0.8225879690278822,0.925962023582629,-0.16816044922908688,-0.2156754507141403,-0.07995789733461367,-0.8698923401666618,-1.115686972759176,-0.4136214118484992,-115.98564535555492,-148.75826303455682,-55.149521579799895,0.842844101992594,-0.18645903511203185,-0.9645507439020768,0.8066786980119117,-0.2396509322293194,-1.2397119014357711,0.9188666577724284,-0.08829718821690631,-0.4567604810778247,-128.60676585361023,-165.29492019143615,-60.90139747704329,-0.0946584037354149,-0.12402492867659508,-0.04313906922932548,-12.62112049805532,-16.536657156879343,-5.751875897243397,0.557
48085032008,48085032008,Census Tract 320.08; Collin County; Texas,3003,2018,838,Plano city,Texas,117293,0.6934937721097258,0.20419131038637317,48085,3003,2018,838,0.006619,0.006897320142,0.003436016044,0.7848395357684924,0.6926526253865046,0.8346243801646213,-0.2741458023273874,-0.44372512764532374,-0.19814376834134664,-5.449156910011746,-8.819860909512848,-3.9384753487620743,-181.4571065604977,-293.7016619884398,-131.15136026513736,0.7660532500343975,0.6676779487905966,0.8196721388064491,-0.3053922817442492,-0.497728061577228,-0.2199999886004813,-6.070238713134152,-9.893269504857756,-4.372908313413397,-202.13915128651857,-329.44620395796727,-181.4571065604977,-0.6210818031224061,-1.07340859534491,-0.4344329646513226,-20.682044726020848,-35.74454196952747,-14.466632189521231,0.8601533575670856,0.8171793687645997,0.9049114595927076,-0.1625833826057087,-0.22372154538334213,-0.10508049091354298,-1.1273337262421894,-1.5512584333991368,-0.7286155539290856,-55.86391111210056,-76.87108193256377,-36.105825269032984,0.847292725630255,0.8008462252023157,0.8959147709404777,-0.1802296535192773,-0.24867917027063785,-0.11617760130269968,-1.2496908578533381,-1.7243116188564922,-0.805561589895554,-61.927198109679786,-85.44656188585195,-39.91881020295114,-0.1223571316111487,-0.17305318545735535,-0.07694603596646843,-6.063286997579222,-8.575479953288175,-3.812984933918158,0.8171793687645997,0.7759358551665607,0.9049114595927076,-0.22372154538334213,-0.28876632435723976,-0.10508049091354298,-1.293100303542046,-1.6690561520985747,-0.607360433094733,-154.3079121171893,-199.1713785320495,-72.47737865092279,0.8008462252023157,-0.24867917027063785,-1.437354234302948,0.7564990773444469,-0.32187867764534367,-1.860444040173778,0.8959147709404777,-0.11617760130269968,-0.6715012237730303,-171.5219850003518,-222.01002866035537,-80.1314109514356,-0.14425393076090187,-0.19138788807520335,-0.06414079067829737,-17.214072883162515,-22.83865012830589,-7.654032300512812,0.2913
48085032012,48085032012,Census Tract 320.12; Collin County; Texas,2440,1721,537,Plano city,Texas,61649,0.5507616291810341,0.22370040971291943,48085,2440,1721,537,0.006619,0.006897320142,0.003436016044,0.831927578049088,0.7566075576555374,0.8717100516924593,-0.20202770816307145,-0.3216891503154564,-0.14717043592472143,-3.2628202168085423,-5.195395585688734,-2.3768555215411844,-133.72214003313698,-212.9260485938006,-97.41211153857311,0.816759271946373,0.7357965422361589,0.8598233980874759,-0.22435096159601148,-0.3590713500241528,-0.16302952702185358,-3.62334879612176,-5.799131568576076,-2.6329855520326633,-148.49790148039995,-237.66932658098673,-133.72214003313698,-0.36052857931321736,-0.6037359828873416,-0.25613003049147887,-14.775761447263008,-24.743277987186133,-10.497132397191756,0.8918874335729998,0.8578366579480842,0.926919666151146,-0.12121772586691716,-0.16572309044470734,-0.07884214405796992,-0.7168069135918803,-0.9799842071199866,-0.4662238425855821,-41.65060508959211,-56.94271976292775,-27.09028719265439,0.8817410282071344,0.8447827964681062,0.919912046699388,-0.13411984699557924,-0.18373622685124588,-0.0870604462545792,-0.7931021052305887,-1.0865027927421609,-0.5148218161112068,-46.08379460956355,-63.13206233249045,-29.914109012853388,-0.07629519163870835,-0.10651858562217408,-0.04859797352562473,-4.433189519971433,-6.189342569562701,-2.8238218201989964,0.8578366579480842,0.8247496379390828,0.926919666151146,-0.16572309044470734,-0.2124891651954401,-0.07884214405796992,-0.61381527761897825,-0.7870303140948302,-0.29202033592998233,-114.30452097187676,-146.5605799059274,-54.37995082495016,0.8447827964681062,-0.18373622685124588,-0.6805334295343084,0.8090108514070149,-0.23607736319089012,-0.8743977187350386,0.919912046699388,-0.0870604462545792,-0.32245978423396787,-126.72875782761795,-162.83011522067758,-60.04837695232177,-0.06671815191533015,-0.08736740464020842,-0.03043944830398554,-12.424236855741182,-16.269535314750172,-5.6684261273716094,0.7905
48085031659,48085031659,Census Tract 316.59; Collin County; Texas,1919,1054,242,Plano city,Texas,53968,0.5490082776089183,0.23449635903661845,48085,1919,1054,242,0.006619,0.006897320142,0.003436016044,0.8325232459277815,0.7574288415960667,0.8721757188770246,-0.20116766095291297,-0.3202560360558535,-0.14655794509798595,-2.5552036671190277,-4.067847654392439,-1.8615586470802488,-133.1528747847331,-211.97747026536945,-97.0067038603569,0.8174025829250225,0.7366751532558733,0.8603286606530132,-0.22338737470288428,-0.3574504251708686,-0.16234649121298897,-2.8374353826309524,-4.540285614911274,-2.062102565225107,-147.86010331583913,-236.5964364205979,-133.1528747847331,-0.2822317155119247,-0.47243796051883447,-0.20054391814485828,-14.707228531106033,-24.61896615522847,-10.450438673520493,0.8922844541805639,0.8583484765997932,0.927193321241082,-0.12071884174913422,-0.1650279895192872,-0.07852373080240009,-0.4371906384245308,-0.5976589159609907,-0.28437847401086,-41.479187706312224,-56.70388196973347,-26.980879887178368,0.8821727921828733,0.8453372462372791,0.9202107959574553,-0.13356477195989208,-0.18295982396510696,-0.0867075287456569,-0.4837129571332296,-0.6626001466413055,-0.3140165967405744,-45.89306993673905,-62.86528905515232,-29.792845990566832,-0.04652231870869877,-0.06494123068031477,-0.02963812272971439,-4.413882230426829,-6.161407085418859,-2.8119661033884618,0.8583484765997932,0.8253679863386542,0.927193321241082,-0.1650279895192872,-0.21158079372089084,-0.07852373080240009,-0.275456712017445,-0.3531603937863303,-0.13106800104138794,-113.82508761051446,-145.93404701914477,-54.160331008837986,0.8453372462372791,-0.18295982396510696,-0.3053876599207362,0.8096780796420744,-0.2350587537729305,-0.39234866542225144,0.9202107959574553,-0.0867075287456569,-0.14472799944427212,-126.19324790113066,-162.1275476951452,-59.80495844804633,-0.0299309479032912,-0.03918827163592114,-0.01365999840288417,-12.3681602906162,-16.193500676000472,-5.644627439208338,0.4044
48085031639,48085031639,Census Tract 316.39; Collin County; Texas,4562,3150,1079,Plano city,Texas,86685,0.5551392033253961,0.20880727655971829,48085,4562,3150,1079,0.006619,0.006897320142,0.003436016044,0.8304422401421286,0.7545609519054381,0.8705485103895867,-0.20417766782774907,-0.32527398545441877,-0.14870106382983914,-6.165323948051236,-9.821933581355404,-4.490159181876035,-135.1451983351871,-215.2988509722798,-98.42523414897052,0.8151553334553279,0.7336074948988658,0.8585632093300932,-0.2267600529105806,-0.3631267495949708,-0.16473660778018306,-6.847218892961437,-10.964931029306287,-4.974366510664258,-150.0924790215133,-240.35359555691116,-135.1451983351871,-0.6818949449102014,-1.1429974479508829,-0.4842073287882229,-14.947280686326204,-25.054744584631365,-10.613926540732637,0.8908969673975343,0.8565601375617773,0.9262367869149908,-0.12246425411142065,-0.1674603523420181,-0.07963753343320731,-1.325485797121503,-1.8124988407503613,-0.8619529041304231,-42.07891419433343,-57.53964573810671,-27.36358425810867,0.8806639698991459,0.8434000945300233,0.9191665859167109,-0.13550688364657473,-0.18567688868619409,-0.08794207200501278,-1.4666520527885267,-2.0096646208561597,-0.9518366666082556,-46.5603826282072,-63.7988768525765,-30.217037035182717,-0.14116625566702368,-0.19716578010579844,-0.08988376247783236,-4.481468433873768,-6.259231114469791,-2.853452777074043,0.8565601375617773,0.8232078354743474,0.9262367869149908,-0.1674603523420181,-0.21476006046976184,-0.07963753343320731,-1.2462748464294244,-1.598289133146469,-0.5926791229172959,-115.5027661195018,-148.1268890775226,-54.92855634080592,0.8434000945300233,-0.18567688868619409,-1.3818461068340733,0.8073473889045245,-0.2386241830259493,-1.775890907285475,0.9191665859167109,-0.08794207200501278,-0.6544832299103707,-128.06729442391782,-164.5867383953174,-60.65646245693889,-0.13557126040464884,-0.1776017741390059,-0.06180410699307481,-12.56452830441602,-16.459849317794802,-5.727906116132976,0.2225
48085031681,48085031681,Census Tract 316.81; Collin County; Texas,1609,1145,456,Plano city,Texas,56876,0.5464687325155079,0.17962745873817654,48085,1609,1145,456,0.006619,0.006897320142,0.003436016044,0.8333867644393744,0.7586199658624662,0.8728506298663328,-0.1999230641402225,-0.3181830758476172,-0.1456713964371415,-2.1291748353245095,-3.388640530467923,-1.5513961475850602,-132.32907615441326,-210.6053779035378,-96.41989730174394,0.8183352496654339,0.7379495893777647,0.8610610067699107,-0.2219930650779585,-0.3551061134720529,-0.16135789698721778,-2.3642197052813705,-3.781869810400072,-1.7184569235348566,-146.9372097751007,-235.0447365071518,-132.32907615441326,-0.23504486995686105,-0.3932292799321493,-0.1670607759497964,-14.608133620687449,-24.439358603614,-10.382894714095489,0.8928598101060351,0.859090333521047,0.9275898250773404,-0.1199966542129845,-0.16402194388734884,-0.07806270936253763,-0.4720954413219445,-0.645301425225923,-0.3071173064699176,-41.23104291021349,-56.35820307649983,-26.82247218077883,0.8827985317349519,0.8461409536325779,0.9206436748331628,-0.1327612859014543,-0.1818361890024209,-0.08619656804921623,-0.5223145450944909,-0.715386911896994,-0.3391178454142972,-45.61699083794681,-62.47920627921344,-29.617279075484472,-0.05021910377254646,-0.07008548667107095,-0.0320005389443796,-4.385947927733316,-6.12100320271362,-2.794806894705642,0.859090333521047,0.8262644209851648,0.9275898250773404,-0.16402194388734884,-0.21026631983946276,-0.07806270936253763,-0.5158782069307174,-0.6613250000939009,-0.2455211149171472,-113.1311857304205,-145.02741230129408,-53.84234976253228,0.8461409536325779,-0.1818361890024209,-0.571907178481618,0.8106454653270861,-0.23358489348547884,-0.7346660645611689,0.9206436748331628,-0.08619656804921623,-0.2711035481895725,-125.41824089509169,-161.11097907043177,-59.45253249771327,-0.05602897155090058,-0.07334106446726796,-0.02558243327242532,-12.28705516467118,-16.08356676913771,-5.610182735180991,0.0133
48085032016,48085032016,Census Tract 320.16; Collin County; Texas,1432,1075,367,Plano city,Texas,92501,0.5383725108217975,0.24647390267655725,48085,1432,1075,367,0.006619,0.006897320142,0.003436016044,0.8361456970234891,0.7624298605769804,0.8750057750167692,-0.1959638177410939,-0.311596058479707,-0.14284960002788014,-1.8574250177877265,-2.953434573462523,-1.3539867917010593,-129.70845096283006,-206.2454311077181,-94.55215025845386,0.8213157573299479,0.7420273052629307,0.8633999343564848,-0.2175585224992453,-0.3476593016286092,-0.158211809160406,-2.0621084401250265,-3.2952567058310223,-1.4995960776404655,-144.00198604225045,-230.1156917479764,-129.70845096283006,-0.2046834223373002,-0.34182213236849934,-0.14560928593940625,-14.293535079420405,-23.870260640258333,-10.168246224818873,0.8946965571168973,0.8614597008850573,0.9288550353496554,-0.11769738247617303,-0.1608204063087425,-0.07659426061415815,-0.43474085161430515,-0.5940251085003959,-0.28291754147470705,-40.4410094524935,-55.2581496279438,-26.31791083485647,0.884796391473714,0.8487083256656451,0.9220250784772808,-0.13020352437740304,-0.17826109366335746,-0.08456919810846605,-0.4809350036520596,-0.6584460761869042,-0.3123747056435716,-44.7381398746102,-61.2507977848283,-29.058112152890384,-0.04619415203775445,-0.06442096768650829,-0.02945716416886457,-4.297130422116694,-5.992648156884492,-2.7402013180339133,0.8614597008850573,0.8291288132056202,0.9288550353496554,-0.1608204063087425,-0.20608521145676864,-0.07659426061415815,-0.40708734675779423,-0.5216668945413194,-0.1938843150938963,-110.92298276779134,-142.14356799490992,-52.829513649563026,0.8487083256656451,-0.17826109366335746,-0.45123524629233513,0.8137372715660249,-0.2288978702862108,-0.5794129540652565,0.9220250784772808,-0.08456919810846605,-0.2140714058968162,-122.9523831859224,-157.8781891185985,-58.33008335063112,-0.0441478995345409,-0.05774605952393708,-0.02018709080291988,-12.029400418131036,-15.734621123688578,-5.500569701068089,0.1637
48085031674,48085031674,Census Tract 316.74; Collin County; Texas,3618,2527,1226,Plano city,Texas,89894,0.5483182538240663,0.20126551064807932,48085,3618,2527,1226,0.006619,0.006897320142,0.003436016044,0.832757785332021,0.7577522986750164,0.8723590483508611,-0.20082936192700904,-0.31969246645450095,-0.1463169917139462,-4.80936957958025,-7.655848767502752,-3.503932304383378,-132.9289546594873,-211.60444354623417,-96.84721681546095,0.8176558940459024,0.7370212143695942,0.8605275859157856,-0.223008367311862,-0.35681304758010635,-0.162077795490758,-5.340502242552242,-8.544795443072594,-3.881364814782338,-147.60923832372146,-236.17455619327237,-132.9289546594873,-0.5311326629719924,-0.8889466755698425,-0.3774325103989602,-14.680283664234173,-24.57011264703821,-10.432076019871758,0.8924407483488989,0.858549984301003,0.927301039148462,-0.12052256897737593,-0.16475454928132097,-0.0783984464401088,-1.0464748736540004,-1.4305328670471391,-0.6807190141166292,-41.41174806703603,-56.609927465260746,-26.93783197928885,0.8823427689617996,0.8455555472725282,0.920328394014155,-0.1333463991285843,-0.18265441368773053,-0.08656867103528658,-1.157821786942625,-1.5859540342364764,-0.751659542712302,-45.81803668154432,-62.760349593845525,-29.745134258500276,-0.11134691328862469,-0.1554211671893373,-0.07094052859567279,-4.406288614508297,-6.1504221285847755,-2.807302279211428,0.858549984301003,0.8256114617321073,0.927301039148462,-0.16475454928132097,-0.2112234947683877,-0.0783984464401088,-1.3931833321453728,-1.7861300556037287,-0.6629462392564992,-113.63648712441864,-145.6876064929632,-54.07391837328704,0.8455555472725282,-0.18265441368773053,-1.544546634994694,0.8099408152456526,-0.2346581147373132,-1.9842958851864976,0.920328394014155,-0.08656867103528658,-0.7320345938757691,-125.98259665535842,-161.8512141261417,-59.70918383978541,-0.1513633028493213,-0.19816582958276885,-0.06908835461926988,-12.346109530939748,-16.163607633178536,-5.635265466498359,0.2555
48085031811,48085031811,Census Tract 318.11; Collin County; Texas,1859,631,123,Plano city,Texas,44031,0.4253089409964976,0.2257420376637065,48085,1859,631,123,0.006619,0.006897320142,0.003436016044,0.8756423058688575,0.8176783616887521,0.905664341750382,-0.14201882811926084,-0.22297476227045904,-0.1041618333645498,-1.7475020567544592,-2.7436422397793248,-1.2816822983992764,-94.00226233213874,-147.58699514681683,-68.9447175039955,0.864090856367314,0.8013841630100654,0.8967347416908077,-0.15728570975054132,-0.24784098083984715,-0.11515697285741826,-1.9353567757673904,-3.0496141216006647,-1.4169744222151044,-104.10741128388332,-164.04594521789485,-94.00226233213874,-0.18785471901293116,-0.30597188182133994,-0.135292123815828,-10.10514895174455,-16.458950071077993,-7.27768283032964,0.9207450456754313,0.8952389034874133,0.9467050631146432,-0.08607698156706321,-0.11702026811445376,-0.05629518522909078,-0.18662575239030205,-0.2537147003088146,-0.122055061737325,-29.57618896835215,-40.20835187144447,-19.343115964710776,0.9131735627533052,0.8853863889586434,0.9415343516558288,-0.09508207507114512,-0.12945038739093404,-0.06209613939348125,-0.20614993086343952,-0.280664766633654,-0.13463226200389752,-32.670353544126705,-44.479360797726464,-21.3363331226462,-0.01952417847313747,-0.02695006632483937,-0.01257720026657253,-3.09416457577456,-4.271008926281993,-1.9932171579354263,0.8952389034874133,0.8701833051268181,0.9467050631146432,-0.11702026811445376,-0.1491831595806849,-0.05629518522909078,-0.09927652903143164,-0.12656257340503616,-0.04775916754232214,-80.71262522880622,-102.8964011423058,-38.82859149782288,0.8853863889586434,-0.12945038739093404,-0.10982187401396663,0.8581670226235957,-0.16527432730145156,-0.14021384343817167,0.9415343516558288,-0.06209613939348125,-0.05268052521642904,-89.28607643411921,-113.99499466518022,-42.82969529790979,-0.01054534498253498,-0.01365127003313551,-0.0049213576741069,-8.573451205312994,-11.098593522874404,-4.001103800086914,0.4561
48085031422,48085031422,Census Tract 314.22; Collin County; Texas,2794,2102,947,Plano city,Texas,63732,0.5908815570971536,0.176805541194314,48085,2794,2102,947,0.006619,0.006897320142,0.003436016044,0.8184134398797188,0.7380564659128748,0.8611223934546821,-0.22187631736224753,-0.35490988316610295,-0.1612751074654599,-4.103266568870282,-6.563520955593961,-2.982538942060978,-146.85993446207166,-234.91485166764355,-106.7479936313879,0.8021766716196695,0.7159761377406997,0.848342786777642,-0.2466081791943746,-0.39669459258174794,-0.17876878967571008,-4.560644909416658,-7.336265894186259,-3.306058109104689,-163.22995380875656,-262.57215082985897,-146.85993446207166,-0.4573783405463762,-0.7727449385922984,-0.323519167043711,-16.370019346684906,-27.65729916221541,-11.579068254964602,0.8828509784187645,0.8462083255885697,0.9206799521061912,-0.13269399303499213,-0.18174209560566823,-0.0861537689751499,-0.9583831243004016,-1.312633325892384,-0.6222460896092368,-45.593868901065726,-62.44687563712579,-29.602573244968447,0.8719190028894739,0.8321948489385154,0.9131025488843056,-0.14689552204513875,-0.2016416603341443,-0.09516724186332852,-1.060953748872668,-1.456358046058622,-0.6873459491416244,-50.47353705388525,-69.28439800469182,-32.69961699056253,-0.1025706245722664,-0.14372472016623794,-0.06509985953238762,-4.879668152819525,-6.837522367566029,-3.0970437455940827,0.8462083255885697,0.8107265685674787,0.9206799521061912,-0.18174209560566823,-0.2334614884608504,-0.0861537689751499,-1.187096145586741,-1.5249149195249807,-0.5627359293802556,-125.35334166702653,-161.0258626742324,-59.4230126061516,0.8321948489385154,-0.2016416603341443,-1.317075369768698,0.7938927688659979,-0.2596159572386673,-1.6957496893813864,0.9131025488843056,-0.09516724186332852,-0.6216097906519078,-139.0787085289016,-179.06543710468705,-65.63989341625214,-0.12997922418195684,-0.1708347698564057,-0.05887386127165217,-13.725366861875065,-18.039574430454664,-6.2168808101005455,0.3472
48085031622,48085031622,Census Tract 316.22; Collin County; Texas,3916,3065,1125,Plano city,Texas,103850,0.5186473384988841,0.2242777434645764,48085,3916,3065,1125,0.006619,0.006897320142,0.003436016044,0.8429056966724962,0.7717923584671811,0.880278748980595,-0.1863723355384339,-0.2956852824845933,-0.13600379556821968,-4.8307716826455485,-7.664163704741788,-3.5252189251434363,-123.3598488928894,-195.7140884765523,-90.0209122866046,0.828622816974778,0.752056590953403,0.869124993876242,-0.20682170405457037,-0.32968716986081087,-0.1505824904885819,-5.36081939638128,-8.545492761540897,-3.9030987557940047,-136.8952859137201,-218.2199377308707,-123.3598488928894,-0.5300477137357316,-0.8813290567991094,-0.3778798306505684,-13.535437020830733,-22.505849254318424,-9.649638167787751,0.8991873351184587,0.8672596830286049,0.931944750088558,-0.1121153078387834,-0.15305717487966855,-0.0730249834069831,-1.1807299393094597,-1.6119046746623953,-0.7690545197466329,-38.522999651205865,-52.590690853585485,-25.091501459922767,0.8896828100268499,0.8549959808789714,0.9253993343851744,-0.12399609021311855,-0.16959614122625277,-0.08061456588834645,-1.3058510821954006,-1.786082965808186,-0.84898336653257,-42.60525553655467,-58.27350622538943,-27.699294177245353,-0.1251211428859409,-0.17417829114579075,-0.07992884678593715,-4.082255885348806,-5.682815371803939,-2.6077927173225826,0.8672596830286049,0.8361490911083205,0.931944750088558,-0.15305717487966855,-0.19595896310129832,-0.0730249834069831,-1.1876448770720485,-1.5205406661045222,-0.5666362750374754,-105.56843351751542,-135.15917032040198,-50.36766889222003,0.8549959808789714,-0.16959614122625277,-1.3159787409959736,0.8213194246065031,-0.2175530859739539,-1.688099942072711,0.9253993343851744,-0.08061456588834645,-0.6255275276703128,-116.975888088531,-150.05332818424097,-55.60244690402781,-0.1283338639239251,-0.16755927596818876,-0.05889125263283745,-11.407454571015563,-14.894157863839,-5.234778011807774,0.5186
