geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48215021703,48215021703,Census Tract 217.03; Hidalgo County; Texas,3237,1788,562,McAllen city,Texas,17214,0.542521106846396,0.23890698011226624,48215,3237,1788,562,0.008518,0.006897320142,0.003436016044,0.8347308495275533,0.760475242997628,0.8739007902250141,-0.19799094590308589,-0.31496719874563894,-0.14429465127559568,-5.459158021504446,-8.684516868688995,-3.978602654673601,-168.64868772024855,-268.2890598915352,-122.9101839565524,0.819787157708399,0.7399350302935873,0.8622006486861852,-0.21982881848913183,-0.3514700062290949,-0.1598228341903853,-6.061288572257305,-9.691000237773377,-4.4067576085882925,-187.25018758904247,-299.382151305943,-168.64868772024855,-0.6021305507528592,-1.0064833690843802,-0.4281549539146914,-18.60149986879392,-31.093091414407795,-13.226906206817777,0.893754915542239,0.860244794913724,0.928206511791106,-0.118874965172418,-0.1624598090131919,-0.07734646040174631,-0.7303198421615166,-0.9980875443708116,-0.4751854578499757,-40.84562875623694,-55.82145102745032,-26.576367888701103,0.8837721012567964,0.8473918033943854,0.9213169728077656,-0.13151342815406597,-0.18009166007307853,-0.08540277615036597,-0.8079654614601958,-1.1064105261222252,-0.5246802125899789,-45.18822491388119,-61.8797833401692,-29.3445309054798,-0.07764561929867919,-0.10832298175141351,-0.0494947547400032,-4.34259615764425,-6.0583323127188775,-2.7681630167787024,0.860244794913724,0.8276598277602462,0.928206511791106,-0.1624598090131919,-0.20822585132122273,-0.07734646040174631,-0.6297419698903548,-0.8071446014224672,-0.29981761417365005,-112.05373129721616,-143.62003584029668,-53.34832992413701,0.8473918033943854,-0.18009166007307853,-0.698088206948683,0.8121515246182298,-0.23129732529908456,-0.8965764157237693,0.9213169728077656,-0.08540277615036597,-0.33104626192604564,-124.21498344282617,-159.53317005761022,-58.90502881246364,-0.06834623705832821,-0.08943181430130209,-0.03122864775239559,-12.161252145610002,-15.91313421731354,-5.556698888326617,0.8594
48215020806,48215020806,Census Tract 208.06; Hidalgo County; Texas,2887,1724,664,McAllen city,Texas,60712,0.4747298443434685,0.2033783794612196,48215,2887,1724,664,0.008518,0.006897320142,0.003436016044,0.8581535811325027,0.7930526992239318,0.8921332797570548,-0.16529257930766073,-0.26095025082013257,-0.12090875062111728,-4.064786844096642,-6.417149220734761,-2.973323430001684,-140.7962190542654,-222.2774236485889,-102.99007377906769,0.8451261133644181,0.774876075927395,0.8820083861841327,-0.1832553558415492,-0.2905289388411816,-0.13377606796499866,-4.506517852495358,-7.144532521528995,-3.2897496269749533,-156.09691210583162,-247.47255010491844,-140.7962190542654,-0.44173100839871626,-0.7273833007942336,-0.3164261969732691,-15.300693051566205,-25.195126456329536,-10.960380913518154,0.909267043552674,0.8803138120848121,0.938860870888066,-0.09978691858534282,-0.1359585482723938,-0.06512054235906407,-0.5911069373867249,-0.8053765184873084,-0.3857540136576872,-34.28694532405597,-46.71557531828935,-22.375522833972575,0.9006594193920628,0.8691630746649253,0.9329564320237004,-0.11029760913952488,-0.15053207982347183,-0.07186141353983021,-0.6533690273618604,-0.8917056257910777,-0.4256848560513552,-37.89843546182485,-51.72306414101379,-24.69169698673754,-0.06226208997513549,-0.0863291073037693,-0.03993084239366801,-3.61149013776888,-5.007488822724437,-2.3161741527649657,0.8803138120848121,0.8519937664828623,0.938860870888066,-0.1359585482723938,-0.17371750749788475,-0.06512054235906407,-0.6226657566282373,-0.7955950149528425,-0.29824039970483485,-93.7749633476261,-119.81852634831964,-44.91572284711368,0.8691630746649253,-0.15053207982347183,-0.6894099162658999,0.8384555794198122,-0.19266902689343665,-0.8823895733946092,0.9329564320237004,-0.07186141353983021,-0.32911238022713263,-103.82679461835842,-132.88999599316404,-49.56511750408624,-0.06674415963766256,-0.08679455844176676,-0.03087198052229778,-10.051831270732311,-13.07146964484439,-4.649394656972557,0.6246
48215020730,48215020730,Census Tract 207.30; Hidalgo County; Texas,1472,915,460,McAllen city,Texas,42953,0.4633684138103789,0.1996901659522151,48215,1472,915,460,0.008518,0.006897320142,0.003436016044,0.8621429093299242,0.7986474472926526,0.89522594585735,-0.15990050973941344,-0.2521169427009572,-0.11703643602767652,-2.0049119017655963,-3.1611672775881807,-1.467460884987278,-136.20325419603236,-214.75321179267533,-99.69163620837486,0.8494487601290754,0.7808913617174589,0.8853722924409002,-0.177234045109499,-0.280587862824661,-0.1294683700153756,-2.2222483656692726,-3.5181497956755607,-1.6233386395643066,-150.96795962427123,-239.00474155404623,-136.20325419603236,-0.2173364639036763,-0.35698251808738,-0.15587775457702868,-14.764705428238882,-24.251529761370925,-10.589521370722055,0.9118930040475366,0.8837227810308304,0.9406584085577656,-0.09661988365015511,-0.13157657748002888,-0.06308516556314846,-0.3037685354080818,-0.41367079658092926,-0.19833690152723757,-33.198747039134624,-45.20992312359883,-21.67616410133744,0.9035210440654696,0.8728661578266462,0.934921476382092,-0.10678108337179965,-0.14565101537434438,-0.06960854495475419,-0.3357148868300027,-0.4579201914707912,-0.218846110696588,-36.69015156612052,-50.04592256511379,-23.917607726403062,-0.03194635142192093,-0.04424939488986196,-0.02050920916935045,-3.4914045269858938,-4.835999441514968,-2.241443625065623,0.8837227810308304,0.8561414322997225,0.9406584085577656,-0.13157657748002888,-0.1680313115017131,-0.06308516556314846,-0.4174618579114763,-0.5331242446814233,-0.20015454822604992,-90.75257780684268,-115.8965749307442,-43.51185831001086,0.8728661578266462,-0.14565101537434438,-0.4621167737403399,0.8429466060348231,-0.18631475925141677,-0.5911333691988717,0.934921476382092,-0.06960854495475419,-0.2208517128189997,-100.4601682044217,-128.50725417366775,-48.01124191717385,-0.0446549158288636,-0.05800912451744844,-0.02069716459294976,-9.707590397579043,-12.610679242923574,-4.499383607162992,0.9957
48215020727,48215020727,Census Tract 207.27; Hidalgo County; Texas,2517,1905,338,McAllen city,Texas,75623,0.6033032048485397,0.1835003468006186,48215,2517,1905,338,0.008518,0.006897320142,0.003436016044,0.8142739622011255,0.7324055488706757,0.8578704621203375,-0.22808789967546603,-0.36536376812264537,-0.16567715541618144,-4.890160319989454,-7.8333283079785,-3.552086070754779,-194.28527294356195,-311.21685768686933,-141.12380098350334,0.7977147134658303,0.7099484061946042,0.8448194152848549,-0.25358098969404863,-0.40855306001756087,-0.18368491763748293,-5.4367272243284015,-8.75929834748286,-3.938168999273612,-216.0002870213906,-348.00549652295825,-194.28527294356195,-0.5465669043389472,-0.9259700395043592,-0.38608292851883297,-21.715014077828652,-36.78863883608896,-15.339011860104607,0.880071780398584,0.8426401007243332,0.9187565849734776,-0.13627095229334651,-0.186746274169008,-0.08842757304304681,-0.8919765848731401,-1.2223683849546847,-0.5788124562435318,-46.822917841109714,-64.16631942019343,-30.38385597078907,0.8689002157610513,0.8283356164782233,0.9110044770687592,-0.15088013774299874,-0.20724013323443724,-0.09768944628855387,-0.9876026234811892,-1.3565132053467963,-0.6394370716000848,-51.84265740058736,-71.20804227542239,-33.56625047769474,-0.09562603860804908,-0.13414482039211184,-0.06062461535655295,-5.019739559477642,-7.041722855228969,-3.1823945069056667,0.8426401007243332,0.8064333745445426,0.9187565849734776,-0.186746274169008,-0.24002804393454075,-0.08842757304304681,-0.4353605073350414,-0.5595759885812043,-0.20615068886239823,-128.8048838269353,-165.55502620745688,-60.9913280657983,0.8283356164782233,-0.20724013323443724,-0.4831377222737629,0.7892695393590863,-0.26699429045752104,-0.6224422429116204,0.9110044770687592,-0.09768944628855387,-0.227742840314842,-142.94015451886474,-184.1545097371658,-67.37953855468697,-0.04777721493872144,-0.06286625433041615,-0.02159215145244375,-14.135270691929422,-18.59948352970892,-6.388210488888684,0.6255
48215020908,48215020908,Census Tract 209.08; Hidalgo County; Texas,1814,1193,269,McAllen city,Texas,50885,0.5276376884513008,0.1915188599817304,48215,1814,1193,269,0.008518,0.006897320142,0.003436016044,0.8398178686028601,0.7675109395170607,0.8778715005292617,-0.19073436918366893,-0.302913025095418,-0.1391188794682457,-2.9471610970655764,-4.680506650041665,-2.1496165121732775,-162.4675356706492,-258.02131477627705,-118.50146153105167,0.8252843733092909,0.7474687349110912,0.8665109300457475,-0.21170354406459976,-0.33784859927144173,-0.15405353276640713,-3.2711694900528605,-5.220318984629771,-2.38038157767712,-180.32907883422607,-287.7794368594141,-162.4675356706492,-0.3240083929872841,-0.5398123345881061,-0.23076506550384268,-17.861543163576854,-29.75812208313705,-12.721337679373908,0.897137737075003,0.8646113366750764,0.9305352456057078,-0.11465604296210478,-0.156589044790426,-0.07465032057875029,-0.46999428376909896,-0.6418846669659442,-0.3060041411436069,-39.39600031593453,-53.804247021453826,-25.649969919832937,0.8874523375525354,0.8521244333642432,0.9238598853881786,-0.1268210783667039,-0.17353752673413483,-0.08241521881841371,-0.5198607971625533,-0.7113593272308174,-0.33783375685689937,-43.57592599853758,-59.62777260945662,-28.31800141298402,-0.04986651339345432,-0.06947466026487326,-0.03182961571329246,-4.179925682603045,-5.823525588002787,-2.6680314931510862,0.8646113366750764,0.8329420430764555,0.9305352456057078,-0.156589044790426,-0.20056372266492775,-0.07465032057875029,-0.2905320438427277,-0.3721217429005619,-0.1385046459685997,-108.00447726495452,-138.3352204091308,-51.48871597345714,0.8521244333642432,-0.17353752673413483,-0.32197790332624093,0.8178549041423208,-0.2227107704987031,-0.4132129129810809,0.9238598853881786,-0.08241521881841371,-0.15291147601740365,-119.69438785362117,-153.61074832010445,-56.84441487635824,-0.03144585948351325,-0.04109117008051904,-0.01440683004880394,-11.689910588666637,-15.275527910973624,-5.355698902901094,0.9355
48215024124,48215024124,Census Tract 241.24; Hidalgo County; Texas,2276,1406,507,McAllen city,Texas,189493,0.622108492980944,0.17139444056023073,48215,2276,1406,507,0.008518,0.006897320142,0.003436016044,0.8080469623785068,0.7239327787926961,0.8529706763413879,-0.23755183369104504,-0.38134372319444027,-0.17237324533741177,-4.605409798109612,-7.393098558571471,-3.341794591412551,-202.34665193803215,-324.8285834170242,-146.82753037840737,0.7910068823473707,0.7009193758139848,0.8395131654570078,-0.2642115034858192,-0.4266976124589078,-0.1911665488362265,-5.122259963311465,-8.272372958417247,-3.70613976495836,-225.05535866922077,-363.4610262924977,-202.34665193803215,-0.5168501652018529,-0.8792743998457757,-0.364345173545809,-22.708706731188617,-38.63244287547344,-16.008135920290375,0.8758809571215783,0.8372667314745954,0.915852418682328,-0.1417076622904511,-0.1943625160393015,-0.09187897482297236,-0.6845951804699395,-0.9389728091893256,-0.4438708700267952,-48.690980118772366,-66.78327234632472,-31.569763159800512,0.864349913166268,0.8225271053701682,0.907837349901981,-0.15693885632130344,-0.21576540574910583,-0.101518901054214,-0.7581776661152952,-1.042370994627101,-0.49044172534488806,-53.92444282470094,-74.13733958940973,-34.882057279152775,-0.07358248564535574,-0.10339818543777536,-0.04657085531809285,-5.233462705928574,-7.354067243085019,-3.3122941193522655,0.8372667314745954,0.7999770771617047,0.915852418682328,-0.1943625160393015,-0.250035817961148,-0.09187897482297236,-0.6796743118409297,-0.8743605813065497,-0.32129538276210867,-134.0580496727672,-172.45770834448712,-63.37187036727982,0.8225271053701682,-0.21576540574910583,-0.7545189610631958,0.7823215561754825,-0.2782467670821665,-0.9730126147384002,0.907837349901981,-0.101518901054214,-0.3550056390447121,-148.82030790201102,-191.91570310422097,-70.02083610349351,-0.07484464922226608,-0.09865203343185049,-0.03371025628260343,-14.762258229243804,-19.45799475973382,-6.648965736213695,0.9197
48215020505,48215020505,Census Tract 205.05; Hidalgo County; Texas,1104,950,365,McAllen city,Texas,52791,0.47356772121410445,0.21475064962043633,48215,1104,950,365,0.008518,0.006897320142,0.003436016044,0.8585607873526085,0.7936231634188289,0.8924491271897873,-0.1647398934716346,-0.2600438672834669,-0.1205120488479575,-1.5491928715008874,-2.44541924231871,-1.1332798818239398,-140.32544125913833,-221.50536615205704,-102.6521632086902,0.8455672507781355,0.7754892261601171,0.8823518814036841,-0.1826380445549982,-0.2895085660332922,-0.1333346945542362,-1.7175047933255,-2.7225014978806277,-1.2538624007471342,-155.57108635194746,-246.60339654715833,-140.32544125913833,-0.16831192182461252,-0.27708225556191746,-0.12058251892319438,-15.245645092809104,-25.09803039510122,-10.922329612608186,0.909535296809686,0.8806618996295131,0.9390445772496728,-0.099462553578328,-0.13550955300858522,-0.06491217161261596,-0.32466718337872735,-0.4423323483401289,-0.2118872999562383,-34.175492987234456,-46.56129982527673,-22.30392631118298,0.900951708909034,0.8695411283759721,0.9331572401359962,-0.10993740298345638,-0.15003185860533572,-0.07163075737831952,-0.3588593464625071,-0.48973627961511934,-0.2338182100159884,-37.77466804868496,-51.55118732790731,-24.61244315957773,-0.03419216308377976,-0.04740393127499043,-0.02193091005975006,-3.599175061450501,-4.989887502630571,-2.3085168483947434,0.8806618996295131,0.8524170932988581,0.9390445772496728,-0.13550955300858522,-0.17313461668160057,-0.06491217161261596,-0.341148260830829,-0.43587018080414025,-0.1634178104844997,-93.46527693995316,-119.41648789154527,-44.77200287246567,0.8695411283759721,-0.15003185860533572,-0.3777084825096015,0.8389138509676496,-0.19201751031592187,-0.48340827815432574,0.9331572401359962,-0.07163075737831952,-0.1803319969630524,-103.4817760300278,-132.44062415187005,-49.40602656521983,-0.03656022167877248,-0.04753809735018549,-0.01691418647855269,-10.016499090074651,-13.024136260324791,-4.634023692754163,0.9739
48215024115,48215024115,Census Tract 241.15; Hidalgo County; Texas,3545,2143,616,McAllen city,Texas,207831,0.6403338377825991,0.1683334368849283,48215,3545,2143,616,0.008518,0.006897320142,0.003436016044,0.8020574424719027,0.7158148437677917,0.8482487026513974,-0.24679349264318004,-0.3970093086312096,-0.17889953367953154,-7.452252809836184,-11.98821615631368,-5.402105777842575,-210.21869703346076,-338.1725290920643,-152.38662278822497,0.7845597436704074,0.6922783821550066,0.8344023614047836,-0.2746001921048078,-0.4445056003151231,-0.19846257184174235,-8.291912526856327,-13.422428903851554,-5.992837342730523,-233.90444363487524,-378.62987034842183,-210.21869703346076,-0.8396597170201439,-1.434212747537874,-0.5907315648879479,-23.685746601414497,-40.45734125635752,-16.663795906571167,0.8718384198034402,0.8320917719863937,0.913046575052527,-0.14700152836285232,-0.2017905159821144,-0.09523438050514638,-1.0824284641170243,-1.4858607302963134,-0.7012471596000874,-50.50996099472817,-69.33554504415834,-32.72268593560837,0.8599626785622225,0.8169365939540966,0.904778401816992,-0.16284116151634256,-0.22408520734742568,-0.10524300535001976,-1.1990617398214027,-1.650025067914284,-0.7749444914537982,-55.95248435937484,-76.99603676688213,-36.16166549014457,-0.1166332757043782,-0.16416433761797067,-0.07369733185371075,-5.442523364646673,-7.660491722723783,-3.4389795545361985,0.8320917719863937,0.7937692145658694,0.913046575052527,-0.2017905159821144,-0.25981202300333983,-0.09523438050514638,-0.8573572948543744,-1.103876126827137,-0.40462699869532753,-139.18137903480104,-179.20066993947032,-65.68620108690382,0.8169365939540966,-0.22408520734742568,-0.9520818471235736,0.77564621294197,-0.28924757616887253,-1.228940410010694,0.904778401816992,-0.10524300535001976,-0.4471511355728679,-154.55874141616454,-199.50331331342431,-72.5894700605305,-0.09472455226919918,-0.1250642831835569,-0.04252413687754036,-15.377362381363502,-20.30264337395404,-6.903268973626682,0.9331
48215023532,48215023532,Census Tract 235.32; Hidalgo County; Texas,1466,1107,312,McAllen city,Texas,63937,0.5666982573790557,0.16562224396656391,48215,1466,1107,312,0.008518,0.006897320142,0.003436016044,0.8265329157432407,0.749183426016544,0.8674888757878887,-0.2098731713555207,-0.33478660268429017,-0.15275253425210705,-2.6207677215068723,-4.180610204920573,-1.9074801631893503,-178.76996736063248,-285.1712281664784,-130.1146086759448,0.8109352313480087,0.7278585318953612,0.855244531144928,-0.23314410490923057,-0.3738933545176366,-0.16925623442606028,-2.9113608979142662,-4.668951388483281,-2.1135682706971717,-198.59214856168256,-318.48235937812285,-178.76996736063248,-0.2905931764073939,-0.4883411835627083,-0.2060881075078211,-19.82218120105006,-33.31113121164449,-14.05785180817334,0.8882869092972123,0.8531985878190302,0.9244360505342912,-0.12576239673640124,-0.17206007402828405,-0.08174059138221121,-0.47835862550041186,-0.6544597006065639,-0.3109142156629057,-43.212161291816784,-59.12011748930116,-28.086198343532587,0.8778262996307054,0.839759915986753,0.9172010871152962,-0.13917753480465572,-0.19081654287458835,-0.09027345698544248,-0.5293853805063542,-0.7258031139749133,-0.34337041853010186,-47.82162425531655,-65.56487027776994,-31.018104654932415,-0.05102675500594234,-0.07134341336834937,-0.03245620286719614,-4.609462963499759,-6.4447527884687785,-2.931906311399832,0.8531985878190302,0.8191505208430611,0.9244360505342912,-0.17206007402828405,-0.22077685914282344,-0.08174059138221121,-0.3702670652395399,-0.47510382736542744,-0.1759028005361693,-118.67534142292948,-152.27686774532933,-56.3791027359517,0.839759915986753,-0.19081654287458835,-0.4106303087938599,0.8029714109503259,-0.24537435126922957,-0.5280367420659053,0.9172010871152962,-0.09027345698544248,-0.19426521914394285,-131.6122784595705,-169.24254553394402,-62.264493315366295,-0.04036324355431997,-0.05293291470047789,-0.01836241860777354,-12.936937036641018,-16.96567778861471,-5.885390579414598,0.466
48215023519,48215023519,Census Tract 235.19; Hidalgo County; Texas,1194,911,323,McAllen city,Texas,218060,0.6820076819729648,0.1653228353306549,48215,1194,911,323,0.008518,0.006897320142,0.003436016044,0.7885281724543676,0.6975928869552916,0.8375494875396223,-0.268185506787166,-0.4335008551543466,-0.1939593001693438,-2.7275785512948176,-4.40891697934044,-1.9726615106979095,-228.44041468130803,-369.2560284204724,-165.21453188424704,0.7700145575171331,0.6729181588604372,0.8228326666570306,-0.2986767460922317,-0.486064816104033,-0.21531392775490707,-3.037689456717074,-4.943518323667539,-2.18984857971986,-254.41285232136295,-414.03001035741534,-228.44041468130803,-0.31011090542225617,-0.5346013443270987,-0.21718706902195065,-25.972437640054952,-44.77398193694294,-18.1898717773828,0.8626647738387979,0.8203786420515706,0.9066630260127332,-0.15919883403847584,-0.21894933478428855,-0.1029456052682972,-0.4983258803754319,-0.6853575321263099,-0.3222414264900168,-54.70097479422963,-75.23134271419428,-35.372275136116,0.850014375906178,0.8042957611087608,0.897822522905729,-0.17645069112381334,-0.2433237228820545,-0.11380587419836832,-0.5523278265711193,-0.7616545005104882,-0.3562363555884527,-60.628740567631105,-83.6064215708549,-39.10388096470392,-0.05400194619568743,-0.07629696838417832,-0.03399492909843588,-5.927765773401474,-8.375078856660627,-3.731605828587912,0.8203786420515706,0.7797548049126153,0.9066630260127332,-0.21894933478428855,-0.282454425031811,-0.1029456052682972,-0.48778286117391145,-0.6292616861749674,-0.22934576134941265,-151.01636568851748,-194.81785949689393,-71.00487967474075,0.8042957611087608,-0.2433237228820545,-0.5420849616000452,0.7605956995453822,-0.31475894564972273,-0.7012308086725586,0.897822522905729,-0.11380587419836832,-0.25354064212878263,-167.82816148608208,-217.0993215704516,-78.49555483863239,-0.0543021004261337,-0.07196912249759124,-0.02419488077937001,-16.811795797564614,-22.28146207355766,-7.490675163891645,0.7563
48215023533,48215023533,Census Tract 235.33; Hidalgo County; Texas,1674,1136,236,McAllen city,Texas,67298,0.5911254603706342,0.17152436301182578,48215,1674,1136,236,0.008518,0.006897320142,0.003436016044,0.8183319576355894,0.7379450896879645,0.8610584221836667,-0.2219979809774324,-0.355114376359417,-0.1613613829639734,-3.1654985144906975,-5.063622767606606,-2.3008732593858476,-189.0978801965769,-302.48642578295136,-137.44762600871252,0.802088819796255,0.7158572900190715,0.8482734629490307,-0.24674471868840908,-0.39692647395315134,-0.17886512272055585,-3.518365514080892,-5.659826986392546,-2.550461395068605,-210.1771513787868,-338.1019705132943,-189.0978801965769,-0.3528669995901943,-0.5962042187859398,-0.24958813568275717,-21.079271182209936,-35.615544730342876,-14.90968552465694,0.8827963235391968,0.8461381170585628,0.9206421474123712,-0.13276411935079754,-0.18184015096295225,-0.08619837013836291,-0.5182200757622057,-0.7097792481087697,-0.3364593244177064,-45.617964415687126,-62.4805676152086,-29.61789827620655,0.8718596271511845,0.8321188988135201,0.9130613060610324,-0.14697362838960243,-0.20175133797087633,-0.09521671038062383,-0.5736842545376211,-0.7874988676130275,-0.37166074018008743,-50.50037451915678,-69.32208341663974,-32.716614452472484,-0.05546417877541532,-0.07771961950425776,-0.03520141576238106,-4.882410103469659,-6.84151580143114,-3.0987161762659388,0.8461381170585628,0.810642050658584,0.9206421474123712,-0.18184015096295225,-0.23359008971663553,-0.08619837013836291,-0.29599349766321753,-0.3802303688626964,-0.14031091007684485,-125.42097358610911,-161.11456307741375,-59.45377545629019,0.8321188988135201,-0.20175133797087633,-0.328404281826626,0.7938017300490782,-0.25976041893757684,-0.42282958163327167,0.9130613060610324,-0.09521671038062383,-0.15499067170972872,-139.15435670619746,-179.16507696325073,-65.67401343632572,-0.03241078416340848,-0.04259921277057527,-0.01467976163288387,-13.73338312008834,-18.050513885836978,-6.220237980035537,0.3278
