geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48201343000,48201343000,Census Tract 3430; Harris County; Texas,4941,3437,1499,Pasadena city,Texas,74632,0.6579567492944124,0.2262898272166638,48201,4941,3437,1499,0.008491,0.006897320142,0.003436016044,0.7963081271560198,0.7080518233124059,0.8437076725313482,-0.2557952956871819,-0.41232600083112986,-0.18524464403616617,-10.731643764914196,-17.298737820975248,-7.771759538477281,-217.19578556798615,-350.10600730571235,-157.2912272511087,0.7783756887103391,0.6840243310251425,0.8294900833991075,-0.2847266615647538,-0.4619363005718042,-0.2055599217077705,-11.94543118581419,-19.38008987421479,-8.624067327685376,-241.76140833463245,-392.2301128155189,-217.19578556798615,-1.213787420899994,-2.0813520532395415,-0.852307789208095,-24.565622766646307,-42.12410550980655,-17.24970227095922,0.8679472512490689,0.8271182881542973,0.9103416525993456,-0.15214374901342573,-0.2090169136889546,-0.0984886796563116,-1.79675486227146,-2.468403456618274,-1.1631106450226785,-52.27683626044399,-71.81854689026112,-33.840868345146305,0.8557416404682743,0.8115670120061815,0.9018303683813754,-0.16857700117617913,-0.23218413908669716,-0.1088559834094094,-1.9908247857341363,-2.74199882381972,-1.2855442221352016,-57.92332806907584,-79.77884270642188,-37.40309054801285,-0.19406992346267635,-0.2735953672014455,-0.12243357711252312,-5.646491808631841,-7.960295816160765,-3.562222202866544,0.8271182881542973,0.7878123660384616,0.9103416525993456,-0.2090169136889546,-0.2693377802998071,-0.0984886796563116,-2.1610431966394477,-2.784705636698082,-1.018282622974743,-144.16565688055022,-185.77088970634304,-67.93079539524636,0.8115670120061815,-0.23218413908669716,-2.4005710604242334,0.7692456921916213,-0.2999747806854109,-3.101464123273362,0.9018303683813754,-0.1088559834094094,-1.125471035853459,-160.14483391756062,-206.9022096913517,-75.08145669469373,-0.23952786378478577,-0.31675848657528016,-0.10718841287871594,-15.97917703701039,-21.131319985008684,-7.1506612994473615,0.9578
48201342100,48201342100,Census Tract 3421; Harris County; Texas,2680,1931,735,Pasadena city,Texas,0,NA,NA,48201,2680,1931,735,0.008491,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7168
48201342900,48201342900,Census Tract 3429; Harris County; Texas,4652,3106,1407,Pasadena city,Texas,33339,0.6457818891084213,0.2310561351412936,48201,4652,3106,1407,0.008491,0.006897320142,0.003436016044,0.8002756462369844,0.7134058918175108,0.8468422578172484,-0.2495694511036907,-0.40172657875357154,-0.18085746284971477,-9.858026261763328,-15.868252888674473,-7.14389365574883,-211.90942093214375,-341.10603801965755,-153.5660717056928,0.7826427397786658,0.6897160953775422,0.8328806521422919,-0.2777221958039291,-0.4498719207830175,-0.2006522152097692,-10.970063393585043,-17.770000254022737,-7.925788986878292,-235.8139164571162,-381.9862479368602,-211.90942093214375,-1.112037131821717,-1.9017473653482655,-0.7818953311294621,-23.904495524972425,-40.88020991720261,-16.80772422892223,0.8706336216390518,0.8305510545151743,0.9122095021304224,-0.14858876931194495,-0.20401990288693303,-0.09623940297107958,-1.5857788458454631,-2.177354638763643,-1.0270924920842348,-51.05533953140577,-70.1015659614824,-33.06801326736107,0.8586555432071831,0.8152728266567825,0.903866001646002,-0.1646113600628235,-0.2265832581477475,-0.10635868389665208,-1.7567761936668225,-2.4181567641838924,-1.1350881481573507,-56.56072742005224,-77.85437102974541,-36.5450144287621,-0.17099734782135934,-0.24080212542024929,-0.1079956560731159,-5.505387888646469,-7.752805068263015,-3.477001161401027,0.8305510545151743,0.7919228850690593,0.9122095021304224,-0.20401990288693303,-0.2627492131545049,-0.09623940297107958,-1.9799171538701543,-2.5498574743406013,-0.93395811940104,-140.71905855509272,-181.22654401852176,-66.37939725664818,0.8152728266567825,-0.2265832581477475,-2.198883899259259,0.7736618515397073,-0.2925543608100161,-2.8391024072209174,0.903866001646002,-0.10635868389665208,-1.032160979052804,-156.28172702624445,-201.78410854448595,-73.35898927169895,-0.21896674538910443,-0.28924493288031616,-0.09820285965176424,-15.562668471151705,-20.557564525964192,-6.979592015050762,0.424
48201343700,48201343700,Census Tract 3437; Harris County; Texas,2667,1579,551,Pasadena city,Texas,674772,0.6246360501408876,0.2942853313188355,48201,2667,1579,551,0.008491,0.006897320142,0.003436016044,0.8072136501119479,0.7228014789867498,0.8523142492130447,-0.23882939772056092,-0.38350574683637534,-0.1732761724015713,-5.408410409592769,-8.684678239465898,-3.923925042291266,-202.79004160452828,-325.6347296387663,-147.1287979861742,0.7901096152987144,0.6997145999158118,0.8388025152270858,-0.2656471717812635,-0.4291541152926035,-0.19217572890714785,-6.015712231631088,-9.718408230396308,-4.35191489243963,-225.5610135594709,-364.3947592949497,-202.79004160452828,-0.6073018220383188,-1.0337299909304107,-0.42798985014836344,-22.77097195494259,-38.76002965618338,-16.04761342888502,0.8753192057810784,0.8365471315686344,0.9154627796919158,-0.14244037306100754,-0.19538990962155392,-0.09234370002080676,-0.7728058758913774,-1.060081962722388,-0.5010079126025943,-48.94274071509673,-67.13628642953694,-31.729443483381527,0.8637401413023817,0.821749513881327,0.9074125069628968,-0.15775561674389732,-0.21691584005538583,-0.10203462298199184,-0.8558982608276079,-1.176870238165681,-0.5535857179415823,-54.205083016314624,-74.53263066280438,-35.059260160961514,-0.0830923849362305,-0.11678827544329295,-0.05257780533898804,-5.262342301217891,-7.3963442332674445,-3.3298166775799896,0.8365471315686344,0.7991132570857921,0.9154627796919158,-0.19538990962155392,-0.2513870732751977,-0.09234370002080676,-0.7425643843061431,-0.9553773152906376,-0.3509451582393143,-134.76667591763035,-173.3897123939451,-63.69240621403164,0.821749513881327,-0.21691584005538583,-0.8243720339958076,0.7813923752696322,-0.27976677486126433,-1.0632321972334506,0.9074125069628968,-0.10203462298199184,-0.38777476861156274,-149.6137992732863,-192.96410113129775,-70.37654602750685,-0.08180764968966447,-0.10785488194281312,-0.03682961037224841,-14.847123355655985,-19.574388737352653,-6.68413981347521,0.732
48201342500,48201342500,Census Tract 3425; Harris County; Texas,3632,2564,880,Pasadena city,Texas,0,NA,NA,48201,3632,2564,880,0.008491,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6478
48201342300,48201342300,Census Tract 3423; Harris County; Texas,4590,3355,1189,Pasadena city,Texas,0,NA,NA,48201,4590,3355,1189,0.008491,0.006897320142,0.003436016044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9475
48201341800,48201341800,Census Tract 3418; Harris County; Texas,1422,1094,459,Pasadena city,Texas,125688,0.656426815850935,0.2643883601294548,48201,1422,1094,459,0.008491,0.006897320142,0.003436016044,0.7968056162134777,0.708722419698162,0.8441009366576625,-0.255011234423934,-0.41098965152801337,-0.1846924420669902,-3.079057156703932,-4.962372072458842,-2.2300138533901372,-216.53003914936232,-348.9713131124361,-156.8223525590814,0.7789106198697507,0.684736988685672,0.8299153941264116,-0.28384435195814867,-0.46041475270594623,-0.20494210262556156,-3.4271940421017826,-5.559140727951641,-2.4745123454057607,-241.01223924766404,-390.938166522619,-216.53003914936232,-0.34813688539785037,-0.5967686554927996,-0.24449849201562343,-24.48220009830171,-41.96685341018281,-17.19398678028294,0.8682843736045923,0.8275488803523691,0.9105761625153244,-0.1516964146764544,-0.208387835138151,-0.09820577472361718,-0.5702270582222584,-0.7833301957305705,-0.36915565961479535,-52.12313146455744,-71.60239449091138,-33.74366175637983,0.856107267253846,0.8120317700410145,0.9020859207620135,-0.16807792463638566,-0.23147891116315752,-0.10854185503225246,-0.6318051795879713,-0.8701295863490605,-0.4080090015379577,-57.7518445692844,-79.536525260426,-37.29515553363416,-0.06157812136571294,-0.08679939061848996,-0.03885334192316236,-5.628713104726961,-7.934130769514621,-3.551493777254329,0.8275488803523691,0.7883277331405446,0.9105761625153244,-0.208387835138151,-0.2685079541933584,-0.09820577472361718,-0.6597287842045801,-0.8500612622219843,-0.3109067106404209,-143.73176126461442,-185.19853207450635,-67.73566680619192,0.8120317700410145,-0.23147891116315752,-0.7328321277939686,0.7697992536681806,-0.2990399707909391,-0.946721655933941,0.9020859207620135,-0.10854185503225246,-0.3436293966404755,-159.65841564138748,-206.2574413799436,-74.8647922963999,-0.07310334358938841,-0.09666039371195669,-0.03272268600005457,-15.926654376773074,-21.058909305437183,-7.129125490207968,0.4559
48201341600,48201341600,Census Tract 3416; Harris County; Texas,4387,3124,1318,Pasadena city,Texas,312598,0.5950682823424135,0.29301633303749125,48201,4387,3124,1318,0.008491,0.006897320142,0.003436016044,0.8170158802101233,0.7361469658102829,0.8600249527674289,-0.2239664175717321,-0.3584243995345303,-0.16275696046045274,-8.34275286197612,-13.351314975876049,-6.062699544020192,-190.16988516015772,-304.33815764476975,-138.1969351269704,0.8006699840053141,0.7139387902793088,0.8471535932260266,-0.24895402597403096,-0.4006803014706311,-0.180423488722892,-9.273541699751094,-14.925348041346131,-6.720778022127035,-211.38686345454968,-340.21764397871283,-190.16988516015772,-0.9307888377749745,-1.5740330654700865,-0.6580784781068427,-21.216978294391943,-35.879486333943156,-15.000649147637173,0.8819132685763005,0.845003967890332,0.9200312304079667,-0.13389834990727664,-0.1834263956140191,-0.08691962506161102,-1.4372801685793548,-1.9689198634082172,-0.9330051748054996,-46.00768785465284,-63.02560382228608,-29.86572262501599,0.8709003485774371,0.8308920872212987,0.912394852993085,-0.1482369959243205,-0.20352572299038071,-0.09601670452165403,-1.591192831273464,-2.1846683372305873,-1.0306542639015548,-50.934469631032776,-69.93176495616476,-32.991493722841064,-0.1539126626941092,-0.21574847382237008,-0.0976490890960552,-4.9267817763799355,-6.906161133878682,-3.12577109782507,0.845003967890332,0.8092769969828679,0.9200312304079667,-0.1834263956140191,-0.23567085649064803,-0.08691962506161102,-1.6674684552707193,-2.1424055011783354,-0.7901574495264047,-126.51505730430344,-162.5497345355338,-59.951248067253765,0.8308920872212987,-0.20352572299038071,-1.850184766410405,0.7923314883336017,-0.26209801670656563,-2.382646039487534,0.912394852993085,-0.09601670452165403,-0.872855978186549,-140.37820685966653,-180.77739298084475,-66.2257950065667,-0.18271631113968567,-0.24024053830919856,-0.08269852866014438,-13.8631495553631,-18.22765844531097,-6.274546939312928,0.4798
48201340302,48201340302,Census Tract 3403.02; Harris County; Texas,3663,3122,1859,Pasadena city,Texas,98531,0.7063798590547236,0.16173434053940325,48201,3663,3122,1859,0.008491,0.006897320142,0.003436016044,0.7807218388426627,0.6871518443996534,0.8313549000585029,-0.2808659246453179,-0.4552824214183313,-0.20285572374641625,-8.735641689856514,-14.160436536483555,-6.309326842061794,-238.48325661633947,-386.5803040263051,-172.244795033082,0.7616333644361337,0.6618475845044359,0.8161408330756036,-0.31296769114144335,-0.5109218850572048,-0.22527872577031632,-9.73408794166055,-15.89096479041392,-7.006739002469214,-265.74086654819956,-433.8237726020726,-238.48325661633947,-0.9984462518040348,-1.7305282539303626,-0.6974121604074197,-27.257609931860085,-47.24346857576747,-19.039371018493576,0.8573445354212452,0.813604995697037,0.9029504285577256,-0.166392224694898,-0.2290976644548174,-0.10748050875538176,-1.7849296760906874,-2.457586108715625,-1.1529694373074169,-57.172635364852255,-78.7183250709681,-36.930475250077414,0.8442497145755117,0.7969938446011784,0.8937793147328041,-0.18448366962469095,-0.2547148347179612,-0.11884442111859636,-1.9790009855990456,-2.7323876957729265,-1.274872876309982,-63.38888486864336,-87.52042587357228,-40.83513377033896,-0.19407130950835816,-0.27480158705730195,-0.12190343900256528,-6.216249503791101,-8.802100802604162,-3.904658520261541,0.813604995697037,0.7716736857426688,0.9029504285577256,-0.2290976644548174,-0.2958845409346659,-0.10748050875538176,-2.9375173201490976,-3.793866540840981,-1.3781277814363664,-158.01599355293692,-204.08104038950947,-74.13274779109018,0.7969938446011784,-0.2547148347179612,-3.2659837037775272,0.7519293900175326,-0.3299121078066695,-4.230172023425923,0.8937793147328041,-0.11884442111859636,-1.5238372083353164,-175.68497599663945,-227.5509426264617,-81.97080195456248,-0.3284663836284296,-0.4363054825849426,-0.14570942689895006,-17.668982443702507,-23.469902236952265,-7.8380541634723,0.1795
48201342001,48201342001,Census Tract 3420.01; Harris County; Texas,4023,2799,1472,Pasadena city,Texas,33339,0.7306015657103964,0.23429819206941083,48201,4023,2799,1472,0.008491,0.006897320142,0.003436016044,0.773040269553021,0.6769300975598749,0.8252439500709224,-0.29359367084228255,-0.477257406052254,-0.2117628974002885,-10.028952225247084,-16.302775569758918,-7.233670858825393,-249.29038591218207,-405.2392634789689,-179.80787618258498,0.7533942993943699,0.6510258098454537,0.8095442344197359,-0.3273262099326591,-0.5360374118460663,-0.23526295103167372,-11.181231911669212,-18.31065901021145,-8.036416076335595,-277.93268485382083,-455.14936639849486,-249.29038591218207,-1.1522796864221263,-2.007883440452531,-0.8027452175102017,-28.642298941638735,-49.910102919526,-19.95389553840919,0.8520896516465665,0.8069285811423904,0.8992758141117525,-0.1735854297345515,-0.23926704713355576,-0.112005887746171,-1.6694420580815774,-2.3011290302911735,-1.0772064224639402,-59.64423215725536,-82.21254127514018,-38.48540273183066,0.8385593777064143,0.7898026892055701,0.8897791086355423,-0.19252139632037743,-0.2661390163229993,-0.12387444287546728,-1.8515569917897083,-2.55956774612655,-1.191351170279506,-66.15066065700995,-91.44579300202037,-42.5634573161667,-0.18211493370813092,-0.2584387158353758,-0.11414474781556572,-6.506428499754588,-9.233251726880164,-4.078054584336039,0.8069285811423904,0.763725436084058,0.8992758141117525,-0.23926704713355576,-0.3093710812192157,-0.112005887746171,-2.4292436954083945,-3.1409998058527444,-1.1371795653253054,-165.03014235111374,-213.3831389845614,-77.25404655742564,0.7898026892055701,-0.2661390163229993,-2.7020709088450476,0.7434144196709185,-0.3451447450301842,-3.504204636252756,0.8897791086355423,-0.12387444287546728,-1.2576792875681115,-183.564599785669,-238.0573801802144,-85.44016899239888,-0.27282721343665317,-0.3632048304000115,-0.12049972224280614,-18.534457434555243,-24.674241195652954,-8.186122434973242,0.2956
48201340202,48201340202,Census Tract 3402.02; Harris County; Texas,5747,4167,1799,Pasadena city,Texas,73936,0.7481126073131963,0.16800365477037835,48201,5747,4167,1799,0.008491,0.006897320142,0.003436016044,0.7675340059754391,0.6696351331489577,0.8208540438827734,-0.3028738690595551,-0.49335055838169994,-0.21824337402278857,-14.77957152149537,-24.074410530735676,-10.64979149729163,-257.17020221846826,-418.90395912190144,-185.3104488827498,0.7474934454782398,0.6433125953004553,0.8048084661067206,-0.3378043727998293,-0.5544542533524562,-0.24253166077827543,-16.484102453510936,-27.056135011794662,-11.835005898097933,-286.8296929443351,-470.7871065215706,-257.17020221846826,-1.7045309320155653,-2.9817244810589862,-1.185214400806302,-29.659490725866807,-51.88314739966915,-20.623184284083905,0.8483107132526302,0.8021360255855482,0.8966285747756974,-0.1788133573908976,-0.2466713476308633,-0.11528901501958295,-2.5602279888409174,-3.5318104724641333,-1.6506941504027848,-61.440556487663,-84.75667080547477,-39.6134905304244,0.8344694598620739,0.7846442997020326,0.8868983212934578,-0.1983662052357027,-0.27446283670160904,-0.12752496649401032,-2.840183295559889,-3.929725646188799,-1.8258870212935523,-68.15894637772712,-94.30587103884808,-43.81778308839819,-0.27995530671897173,-0.3979151737246656,-0.17519287089076774,-6.718389890064116,-9.549200233373304,-4.204292557973788,0.8021360255855482,0.7580302981028451,0.8966285747756974,-0.2466713476308633,-0.31920848349036035,-0.11528901501958295,-3.0607668867890787,-3.960827901712931,-1.4305382565571922,-170.1371254468637,-220.16831026753368,-79.51852454459102,0.7846442997020326,-0.27446283670160904,-3.4056114352106244,0.7373186529359074,-0.3562657014279098,-4.420644198454102,0.8868983212934578,-0.12752496649401032,-1.5823653554926156,-189.30580518124648,-245.7278598362481,-87.95805200070126,-0.34484454842154566,-0.4598162967411712,-0.15182709893542334,-19.16867973438275,-25.559549568714353,-8.439527456110246,0.2837
