geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
06037302103,06037302103,Census Tract 3021.03; Los Angeles County; California,3219,2203,853,Glendale city,California,34166,0.3561637936576918,0.20231968925465377,06037,3219,2203,853,0.009245,0.009493868073,0.003212018401,0.9007106917170824,0.8534209313620721,0.9249408759440269,-0.1102344062260836,-0.1717547147619002,-0.08115018592876566,-3.2805378984180993,-5.111361055937557,-2.4150015364259207,-101.91170855601426,-158.78723379737673,-75.02334689114386,0.8913409303757966,0.8400006446909954,0.9177520640709016,-0.12190517222000768,-0.19047527679917708,-0.0896189059649387,-3.627855867983013,-5.668478523573014,-2.6670277229940176,-112.7013317173971,-176.0943934008392,-101.91170855601426,-0.3473179695649131,-0.5571174676354564,-0.25202618656809683,-10.789623161382824,-17.307159603462456,-7.829331673441965,0.9370475810385648,0.9165463487549012,0.9577900451592174,-0.06718166743642046,-0.09105229796449242,-0.04407015405319427,-0.475382620690466,-0.6442930293031718,-0.3118437830955437,-21.578875201564504,-29.24616565152845,-14.155414575376476,0.9309745487428976,0.9085940214296996,0.9536683084731428,-0.07414322051049418,-0.100601562870148,-0.04858260583392544,-0.5246431030618048,-0.7118643586515273,-0.34377423726733797,-23.814938858910796,-32.313407110827384,-15.604822390709847,-0.04926048237133884,-0.06757132934835552,-0.03193045417179424,-2.2360636573462935,-3.067241459298934,-1.4494078153333747,0.9165463487549012,0.8962860118145547,0.9577900451592174,-0.09105229796449242,-0.11571528152656715,-0.04407015405319427,-0.7373660444394758,-0.93709353116732,-0.3568919829427541,-86.44385046183773,-109.85856168432824,-41.83962285378126,0.9085940214296996,-0.100601562870148,-0.8146985648502607,0.8865255984166864,-0.1279990129850465,-1.0365704985693711,0.9536683084731428,-0.04858260583392544,-0.3934350334166606,-95.50979658268004,-121.52057427542456,-46.12368504298482,-0.07733252041078487,-0.09947696740205136,-0.03654305047390643,-9.065946120842304,-11.66201259109629,-4.284062189203568,0.9117
06037302003,06037302003,Census Tract 3020.03; Los Angeles County; California,2484,1712,659,Glendale city,California,24890,0.3197217324064643,0.19454483940803113,06037,2484,1712,659,0.009245,0.009493868073,0.003212018401,0.914210165523271,0.8728830381971701,0.935264877505951,-0.0938403856268926,-0.14562886004220452,-0.0692158168781839,-2.155005042959625,-3.3443056067480086,-1.5895121639644043,-86.75543651206219,-134.63388110901806,-63.990022703881,0.9060468414290548,0.861096174484651,0.9290264694166066,-0.10369569681712966,-0.1613104663930021,-0.0763955957336308,-2.381328125212719,-3.704427110319408,-1.7543927698726232,-95.86667170743635,-149.13152618033044,-86.75543651206219,-0.2263230822530944,-0.36012150357139916,-0.16488060590821885,-9.11123519537417,-14.497645071312364,-6.637705551860662,0.9457554539984432,0.9279794774082124,0.9636843760109568,-0.05735578449188196,-0.07761003809366178,-0.03768414731321773,-0.3153980538482166,-0.4267756982260693,-0.20722420290843777,-18.42278351917153,-24.92848704591526,-12.104217459605009,0.9404955389763628,0.9210690916774704,0.9601261531378464,-0.063269264507519,-0.08569488329999117,-0.04152979973708604,-0.347916135588799,-0.4712340639572762,-0.22837135137846545,-20.322204181588727,-27.525354203111924,-13.339448094536532,-0.0325180817405824,-0.04445836573120687,-0.02114714847002771,-1.8994206624171968,-2.5968671571966633,-1.2352306349315254,0.9279794774082124,0.9103567143126438,0.9636843760109568,-0.07761003809366178,-0.09847050532827736,-0.03768414731321773,-0.4855640259863396,-0.6160766852144154,-0.23576932488018792,-73.68194628017294,-93.48659866683086,-35.77683230351865,0.9210690916774704,-0.08569488329999117,-0.5361465290270417,0.9018467813773258,-0.10883580298725674,-0.680926745663643,0.9601261531378464,-0.04152979973708604,-0.25982949182952125,-81.35759165812469,-103.32727551800347,-39.42784398020049,-0.05058250304070211,-0.06485006044922759,-0.02406016694933332,-7.675645377951762,-9.840676851172622,-3.65101167668184,0.6669
06037301901,06037301901,Census Tract 3019.01; Los Angeles County; California,2542,1958,671,Glendale city,California,32965,0.34518061418074425,0.2284051725329207,06037,2542,1958,671,0.009245,0.009493868073,0.003212018401,0.9047581424724144,0.8592404352168035,0.9280403449441722,-0.10526775395170249,-0.16381859956076214,-0.07753936070544072,-2.47387537939063,-3.849866506371563,-1.822236232672814,-97.32003852834892,-151.45029529392457,-71.68513897217994,0.8957478002403847,0.8463035781275499,0.9211355475963912,-0.11638566093228248,-0.1816090890369436,-0.08561655514152877,-2.7351549765807746,-4.267957063548513,-2.012056682904488,-107.59854353189516,-167.8976028146543,-97.32003852834892,-0.2612795971901445,-0.4180905571769502,-0.18982045023167385,-10.278505003546202,-16.44730752072975,-7.467366256163408,0.9396635499993464,0.919977240893154,0.9595627168558644,-0.06421069541400794,-0.0869834117082682,-0.04214136547179917,-0.4038295411427461,-0.5470501605799066,-0.2650326113411452,-20.624593521079984,-27.939231898871636,-13.535884133868498,0.9338338637428282,0.9123359576315004,0.955610035577652,-0.07085429092491505,-0.09608745729597534,-0.04645196551908834,-0.4456119904591623,-0.6043067052804701,-0.2921425441634416,-22.758528624063445,-30.863468093997454,-14.920456800992932,-0.04178244931641622,-0.05725654470056351,-0.0271099328222964,-2.133935102983464,-2.924236195125818,-1.3845726671244332,0.919977240893154,0.9005036943286524,0.9595627168558644,-0.0869834117082682,-0.11048961408817376,-0.04214136547179917,-0.5541178626847848,-0.7038614329447583,-0.26845674258178226,-82.58090352977419,-104.89738195898038,-40.00845642053387,0.9123359576315004,-0.09608745729597534,-0.6121141424785055,0.8911156044871926,-0.1221888551435105,-0.7783901082553988,0.955610035577652,-0.04645196551908834,-0.2959169265201155,-91.22416430380112,-116.0044870723396,-44.10088323697697,-0.05799627979372068,-0.07452867531064045,-0.02746018393833321,-8.643260774026928,-11.107105113359232,-4.092426816443102,0.6087
06037302302,06037302302,Census Tract 3023.02; Los Angeles County; California,3637,2217,1003,Glendale city,California,38992,0.2984307950725743,0.21525443376358175,06037,3637,2217,1003,0.009245,0.009493868073,0.003212018401,0.9221905483454824,0.8844583497254177,0.9413498270050236,-0.08437459242465313,-0.13063549042241784,-0.06230433289776695,-2.8370167800350448,-4.392496221270255,-2.0949249391361544,-78.00431069659183,-120.7725108955253,-57.60035576398555,0.9147506640746148,0.8736653764536854,0.935677425908234,-0.09319406836575037,-0.1446029875409763,-0.06874439022543481,-3.1335634123444343,-4.862140252271978,-2.311465845325385,-86.15791620413623,-133.6854619816326,-78.00431069659183,-0.2965466323093895,-0.4696440310017227,-0.2165409061892305,-8.153605507544391,-12.912951086107306,-5.953832999428939,0.9508803496480156,0.9347250657663804,0.967144857358364,-0.05165702537671208,-0.06983329817961058,-0.03397127368425023,-0.36785199168489663,-0.49728604452078606,-0.24191096164932813,-16.592331605092316,-22.4305838755429,-10.911635617921885,0.9461030877465922,0.928436654248078,0.9639193079125696,-0.05696727233157885,-0.07707940592875408,-0.03743123702498042,-0.4056664981231055,-0.5488859023919567,-0.26654951558778445,-18.29799269838094,-24.758047018130657,-12.02298220964296,-0.03781450643820888,-0.05159985787117061,-0.02463855393845632,-1.7056610932886282,-2.3274631425877583,-1.111346591721079,0.9347250657663804,0.9186793985163428,0.967144857358364,-0.06983329817961058,-0.08851902155963132,-0.03397127368425023,-0.6649770843797529,-0.8429090763760969,-0.3234863470019385,-66.29881200196938,-84.03879126381823,-32.251879063004836,0.928436654248078,-0.07707940592875408,-0.7339770561659036,0.910920288715537,-0.09779089607288448,-0.9311991076545884,0.9639193079125696,-0.03743123702498042,-0.3564333278027301,-73.17817110328052,-92.8413866056419,-35.53672261243571,-0.0689999717861507,-0.08829003127849144,-0.03294698080079161,-6.879359101311136,-8.802595341823674,-3.2848435494308688,0.9539
06037302202,06037302202,Census Tract 3022.02; Los Angeles County; California,3402,2266,1011,Glendale city,California,36213,0.31542489763879183,0.19619576904391364,06037,3402,2266,1011,0.009245,0.009493868073,0.003212018401,0.9158151464038702,0.875206846008462,0.9364897365336322,-0.09192341263048372,-0.14258704049297558,-0.06781736199421438,-2.8911282931135323,-4.484574878194416,-2.1329570825874136,-84.9831949768822,-131.8217189357559,-62.69715116365119,0.9077967092849436,0.8636181813081781,0.9303649148845494,-0.10156821430613402,-0.1579191147704134,-0.07484706699638573,-3.194471676567231,-4.966791459010509,-2.3540517791661557,-93.8998141260209,-145.9962216052472,-84.9831949768822,-0.30334338345369893,-0.4822165808160932,-0.22109469657874217,-8.916619149138711,-14.174502669491275,-6.498962274507412,0.9467875063189136,0.9293369074124892,0.9643817550515308,-0.05620320644911668,-0.0760360338902874,-0.03693376068335729,-0.4090713116799267,-0.5534232312279058,-0.2688199283023456,-18.052573330976465,-24.42291399946628,-11.863191893307397,0.9416245442563262,0.922551253817634,0.9608904652958592,-0.06199440753721789,-0.08395061614395215,-0.04070134538393931,-0.4512221848237314,-0.611028993398014,-0.29624204374210505,-19.912717776863698,-26.96509238296619,-13.073347031866948,-0.04215087314380461,-0.05760576217010815,-0.02742211543975947,-1.8601444458872292,-2.5421783834999183,-1.2101551385595533,0.9293369074124892,0.912030263519277,0.9643817550515308,-0.0760360338902874,-0.0964548436597616,-0.03693376068335729,-0.7298167113685794,-0.9258025858754008,-0.35450133813259144,-72.18760745485454,-91.57295607076168,-35.06442513675484,0.922551253817634,-0.08395061614395215,-0.8057832511352407,0.90367064443457,-0.1065978585878528,-1.0231582923666558,0.9608904652958592,-0.04070134538393931,-0.3906637487068833,-79.70160743177455,-101.20260062973846,-38.64132034687273,-0.07596653976666135,-0.09735570649125502,-0.03616241057429187,-7.513999976920014,-9.62964455897676,-3.57689521011789,0.8918
06037302002,06037302002,Census Tract 3020.02; Los Angeles County; California,3070,1916,874,Glendale city,California,33714,0.2919605344606517,0.210693622703359,06037,3070,1916,874,0.009245,0.009493868073,0.003212018401,0.9246295401191768,0.8880063761408711,0.9432068592383528,-0.08151422446562614,-0.12611804021704742,-0.06021281567810906,-2.313548945917071,-3.5795011351462724,-1.708969166498443,-75.35990051847136,-116.59612818066032,-55.66674809441182,0.9174122621188114,0.8775213519385743,0.9377080523724332,-0.0900224918407433,-0.13957341071057963,-0.06643000182195939,-2.5550318667977527,-3.9613934787992777,-1.885426276211125,-83.22579370676719,-129.03561820193087,-75.35990051847136,-0.2414829208806819,-0.3818923436530053,-0.1764571097126817,-7.865893188295827,-12.43949002127053,-5.747788589989631,0.9524432873757456,0.936784731205445,0.9681989485592696,-0.04993128016607352,-0.06748110498471746,-0.0328455752694755,-0.30728844534080013,-0.4152940555832697,-0.2021391345727849,-16.038019067891447,-21.67505509307253,-10.550059215698584,0.9478138222711932,0.9306872918468144,0.965075004110168,-0.05505952382479086,-0.07447475511956829,-0.03618889282293042,-0.3388488222423081,-0.4583345678643067,-0.22271467058677685,-17.685220367552613,-23.92142838540223,-11.623938965906934,-0.03156037690150798,-0.043040512281037,-0.02057553601399195,-1.6472012996611682,-2.2463732923296975,-1.073879750208348,0.936784731205445,0.9212236837376374,0.9681989485592696,-0.06748110498471746,-0.08551269105755853,-0.0328455752694755,-0.5599339629188788,-0.7095535853267413,-0.2725407820330277,-64.06567081451702,-81.18462074676674,-31.183155839019182,0.9306872918468144,-0.07447475511956829,-0.6179647588900181,0.9136957486546848,-0.094456225141015,-0.7837638177019219,0.965075004110168,-0.03618889282293042,-0.3002824298235643,-70.70534998741626,-89.67549401623822,-34.35725741688378,-0.05803079597113936,-0.07421023237518065,-0.02774164779053661,-6.639679172899241,-8.490873269471471,-3.1741015778646013,0.859
06037301000,06037301000,Census Tract 3010; Los Angeles County; California,3639,2552,847,Glendale city,California,71659,0.4990901769737612,0.25595156071664465,06037,3639,2552,847,0.009245,0.009493868073,0.003212018401,0.8496620726155588,0.7811886115758826,0.8855381806642506,-0.1769384938198408,-0.2801005866978933,-0.12925678625159956,-5.952663009951155,-9.423299393516144,-4.348528540592683,-163.57963753644285,-258.95299240220237,-119.49789888960382,0.8359318175377919,0.7621342756757524,0.8748387672871862,-0.19626981414042263,-0.31210474573308233,-0.14306777133451684,-6.603018017058948,-10.50000107408624,-4.813165365848906,-181.45144317282077,-288.54083743023466,-163.57963753644285,-0.6503550071077928,-1.0767016805700944,-0.46463682525622385,-17.87180563637793,-29.587845028032277,-12.768255709157016,0.9036621157573445,0.8730488148657644,0.9350182944241616,-0.10660830255334593,-0.14541132520036126,-0.06949779053880198,-0.8738758208858435,-1.191946950960771,-0.5696783205647419,-34.24278295007224,-46.70638522573554,-22.32281820394757,0.894554249849033,0.8612760681299595,0.9287570408142832,-0.11787518774715149,-0.16106790494161066,-0.07670785367425557,-0.9662312783103402,-1.3202850460805453,-0.628779719707463,-37.86172720651803,-51.735307448297235,-24.638703750292443,-0.09235545742449668,-0.12833809511977434,-0.05910139914272117,-3.618944256445795,-5.0289222225616905,-2.3158855463448735,0.8730488148657644,0.8431682555840997,0.9350182944241616,-0.14541132520036126,-0.18600290437554015,-0.06949779053880198,-1.1692969992931637,-1.4957063189297723,-0.5588530179650965,-138.05159377723302,-176.5887035336213,-65.98028547403737,0.8612760681299595,-0.16106790494161066,-1.2951963519427023,0.8289067422861679,-0.20640833158377744,-1.6597926084330856,0.9287570408142832,-0.07670785367425557,-0.616831343775576,-152.9157440310156,-195.9613469224422,-72.82542429463707,-0.1258993526495387,-0.16408628950331328,-0.05797832581047957,-14.864150253782606,-19.37264338882093,-6.845138820599713,0.6879
06037300501,06037300501,Census Tract 3005.01; Los Angeles County; California,1869,1423,495,Glendale city,California,59720,0.44940677456852807,0.2151300549342052,06037,1869,1423,495,0.009245,0.009493868073,0.003212018401,0.8670706528305648,0.8055767065699848,0.8990410943002805,-0.1533085530406148,-0.24134671700952984,-0.11229620797066613,-2.649003923676244,-4.17020699526955,-1.9403555093853824,-141.73375728604836,-223.1250398753103,-103.81784426888082,0.854790990226912,0.7883473099003511,0.8895236467837755,-0.16987662648917368,-0.26847645376807633,-0.124197207815296,-2.9352820908269153,-4.638979139395483,-2.145991755105757,-157.05094118924106,-248.20648150858656,-141.73375728604836,-0.28627816715067134,-0.46877214412593293,-0.205636245720374,-15.317183903192689,-25.08144163327624,-11.0024743563603,0.9151303373196468,0.8879300200845156,0.942872049557295,-0.09274051926737611,-0.12621487885364802,-0.06058929254454855,-0.4238892940184675,-0.5768906225082963,-0.2769356117981301,-29.78842544051072,-40.54045133579032,-19.461392255666205,0.9070500426609548,0.877438352354476,0.9373419153221364,-0.10247500464953813,-0.1396812064535907,-0.06684656223479538,-0.46838272762089594,-0.6384411954882033,-0.30553572804111656,-32.9151600576877,-44.865860540281325,-21.471238794175445,-0.04449343360242847,-0.06155057297990707,-0.02860011624298647,-3.1267346171769828,-4.32540920449101,-2.009846538509239,0.8879300200845156,0.8612660068357229,0.942872049557295,-0.12621487885364802,-0.16108146851631072,-0.06058929254454855,-0.5931423672996747,-0.7569966744939837,-0.2847372412769014,-119.82674086862116,-152.9286211098957,-57.52267500543463,0.877438352354476,-0.1396812064535907,-0.6564268984421937,0.8484984183486847,-0.17855257991660367,-0.8391015457219021,0.9373419153221364,-0.06684656223479538,-0.314143059280412,-132.61149463478662,-169.51546378220246,-63.463244299073125,-0.06328453114251897,-0.08210487122791843,-0.02940581800351055,-12.784753766165448,-16.58684267230675,-5.940569293638495,0.5
06037301802,06037301802,Census Tract 3018.02; Los Angeles County; California,4124,2022,1064,Glendale city,California,33051,0.3110531157547709,0.21123590472494536,06037,4124,2022,1064,0.009245,0.009493868073,0.003212018401,0.9174510138772471,0.877577535998959,0.9377376063929088,-0.08997645092122349,-0.1395004532125879,-0.06639639189323869,-3.4304763588739164,-5.318647289355346,-2.5314540679505377,-83.18322887667111,-128.9681689950375,-61.38346430529917,0.9095805675702514,0.866191759034453,0.931728685110598,-0.09940783219598089,-0.15447877397806636,-0.07327381455610979,-3.790060785280201,-5.8897164386218694,-2.7936652978157728,-91.9025408651843,-142.81562654272236,-83.18322887667111,-0.3595844264062844,-0.5710691492665232,-0.26221122986523504,-8.7193119885132,-13.847457547684847,-6.358177251824323,0.94783871597831,0.930720052147764,0.9650918160047268,-0.05503181410758464,-0.07443693481446212,-0.03617084241765275,-0.35741518949813395,-0.4834456503716177,-0.2349188139016977,-17.676319955397325,-23.909280433808988,-11.618141142517196,0.942774633074113,0.9240617162716191,0.9616687333411778,-0.06069888276405121,-0.08217880082163204,-0.03985911710537354,-0.3942211071404305,-0.5337267568714384,-0.258873055967129,-19.496592835827425,-26.39598204111961,-12.80282175900737,-0.03680591764229657,-0.05028110649982076,-0.02395424206543131,-1.8202728804300976,-2.4867016073106214,-1.1846806164901738,0.930720052147764,0.9137361609982796,0.9650918160047268,-0.07443693481446212,-0.09440781998544868,-0.03617084241765275,-0.7519228829757723,-0.9536582928334708,-0.3653788831866254,-70.6694438887004,-89.62953880013823,-34.34012060024675,0.9240617162716191,-0.08217880082163204,-0.8301271537753853,0.9055301056698182,-0.10432551467772869,-1.0538416440700646,0.9616687333411778,-0.03985911710537354,-0.40263590006017314,-78.01946933979185,-99.04526729981812,-37.8417199304674,-0.07820427079961301,-0.10018335123659372,-0.03725701687354771,-7.350025451091448,-9.415728499679862,-3.5015993302206496,0.5875
06037302004,06037302004,Census Tract 3020.04; Los Angeles County; California,2942,1880,805,Glendale city,California,28211,0.3408179570316665,0.20407328467282015,06037,2942,1880,805,0.009245,0.009493868073,0.003212018401,0.9063708833149374,0.8615630123067771,0.9292743732573974,-0.10330110819825308,-0.16068121044631098,-0.07610844415593554,-2.809665148651564,-4.370334499875018,-2.070057589824018,-95.50187452928496,-148.5497790576145,-70.3622566221624,0.897504304486845,0.8488202867572023,0.922482968736641,-0.11420078433134384,-0.17810567867122773,-0.08403085356634832,-3.1061231508635117,-4.844258951986202,-2.285537539671859,-105.5786251143274,-164.65869993155005,-95.50187452928496,-0.29645800221194785,-0.4739244521111834,-0.21547994984784105,-10.076750585042417,-16.108920873935535,-7.324267499926616,0.9407046712239252,0.9213435955788732,0.9602677544506092,-0.06303288437903405,-0.08537141279167156,-0.04137621550368797,-0.38063003484789815,-0.5155233517556858,-0.249854191255784,-20.24627844935629,-27.42145488062158,-13.290116556158726,0.9349720550754012,0.9138265746635866,0.9563824106488714,-0.0695506829018057,-0.09429953967812436,-0.04560685021542335,-0.4199883777715061,-0.5694366905056943,-0.2754012791547504,-22.339807328271597,-30.28918566519651,-14.64900421035906,-0.0393583429236079,-0.05391333875000859,-0.02554708789896637,-2.093528878915314,-2.867730784574925,-1.3588876542003387,0.9213435955788732,0.9021845132467052,0.9602677544506092,-0.08537141279167156,-0.1084207114144365,-0.04137621550368797,-0.6524564688510522,-0.8286122040923195,-0.3162203667383848,-81.05049302497544,-102.93319305494651,-39.28203313520308,0.9138265746635866,-0.09429953967812436,-0.7206902481842369,0.8929454004676074,-0.11988930059590595,-0.916261628593526,0.9563824106488714,-0.04560685021542335,-0.34855326243209217,-89.52673890487415,-113.82132032217712,-43.298541917030086,-0.06823377933318464,-0.08764942450120639,-0.0323328956937074,-8.476245879898714,-10.888127267230606,-4.016508781827006,0.8451
06037302503,06037302503,Census Tract 3025.03; Los Angeles County; California,2761,1884,715,Glendale city,California,31675,0.3410951126145159,0.1967800220449863,06037,2761,1884,715,0.009245,0.009493868073,0.003212018401,0.9062683419181556,0.8614152745554396,0.9291959277891202,-0.10342594322941626,-0.1608802740537441,-0.07619929241333126,-2.6399932254755867,-4.106540586943772,-1.9450208475354045,-95.61728451559532,-148.73381336268642,-70.44624583612475,0.8973926130052556,0.8486601801883616,0.9223973097153564,-0.11433946024040142,-0.17832793778311623,-0.08413152279096642,-2.9185656036960532,-4.551899967846355,-2.1474945577670597,-105.7068309922511,-164.86417848049095,-95.61728451559532,-0.27857237822046654,-0.4453593809025831,-0.2024737102316554,-10.089546476655796,-16.13036511780453,-7.333346984123701,0.9406384954530758,0.9212567319931086,0.9602229486573496,-0.06310767083621395,-0.08547375044579905,-0.04142480805970068,-0.3818924519438008,-0.5172395003975879,-0.25067985098480783,-20.270299997017027,-27.454325923438848,-13.30572457456517,0.9348997055816644,0.913731804735029,0.9563333238086266,-0.06963345268980722,-0.09441303763086992,-0.045660519302485,-0.421382846691328,-0.5713350842862187,-0.2763120147265345,-22.366393136482376,-30.32564141646596,-14.66624281987975,-0.03949039474752719,-0.05409558388863078,-0.02563216374172666,-2.09609313946535,-2.8713154930271116,-1.3605182453145788,0.9212567319931086,0.9020776391096136,0.9602229486573496,-0.08547375044579905,-0.10855203215882814,-0.04142480805970068,-0.5802057049624129,-0.7368637507459569,-0.2811963888077239,-81.14765104369411,-103.05786723719676,-39.328166266814534,0.913731804735029,-0.09441303763086992,-0.6408866204016443,0.8928290435331723,-0.12003524890131544,-0.814813154282847,0.9563333238086266,-0.045660519302485,-0.3099488866777607,-89.63449236386634,-113.95988171788068,-43.349494640246256,-0.06068091543923148,-0.07794940353689006,-0.02875249787003681,-8.486841320172237,-10.902014480683924,-4.021328373431722,0.8411
