geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013071910,04013071910,Census Tract 719.10; Maricopa County; Arizona,4464,2614,1048,Peoria city,Arizona,80238,0.29727408921163095,0.17423344323957157,04013,4464,2614,1048,0.010697,0.00781773244399999,0.00314654663299999,0.9226261006960323,0.8850915976762095,0.941681545045186,-0.08386268201777135,-0.12982656555036817,-0.06193012410794952,-4.004561145004863,-6.199401300834375,-2.9572506237693337,-89.70791095441001,-138.87547716922882,-66.24665375827361,0.9152259176228766,0.874353473605785,0.936040123382934,-0.0926264004818698,-0.14370220990379984,-0.06833027240959419,-4.423041040981161,-6.8619828556179865,-3.262866716581675,-99.08246059545613,-153.71825393409466,-89.70791095441001,-0.4184798959762981,-0.6625815547836114,-0.3056160928123415,-9.374549641046103,-14.842776764865844,-6.846238638269298,0.951159571831292,0.935092944978445,0.9673332157947696,-0.05134830118428438,-0.06941241014608576,-0.03376993953256423,-0.42234352046319135,-0.5709221335233812,-0.27776021443874854,-16.156982420167992,-21.840938543358117,-10.625868953280358,0.9464086935286512,0.9288386068708774,0.964125813184478,-0.05662596596776337,-0.07661330246473608,-0.03720903052790452,-0.46575269804200714,-0.6301499977796953,-0.30604698858055446,-17.817624255623837,-24.10673289134259,-11.707994972477216,-0.04340917757881579,-0.0592278642563141,-0.02828677414180591,-1.660641835455845,-2.265794347984472,-1.0821260191968598,0.935092944978445,0.9191337308322228,0.9673332157947696,-0.06941241014608576,-0.08798096126290299,-0.03376993953256423,-0.5686947380544233,-0.7208265728546304,-0.27667656080759656,-54.26476508152894,-68.78116153193038,-26.40043519156456,0.9288386068708774,-0.07661330246473608,-0.6276915307359389,0.9114158455256172,-0.09719400305498968,-0.7963088731753988,0.964125813184478,-0.03720903052790452,-0.3048529769358393,-59.89423003205524,-75.98367110452278,-29.08902451677856,-0.05899679268151558,-0.07548230032076841,-0.02817641612824273,-5.629464950526296,-7.2025095725924055,-2.688589325214001,0.7475
04013071515,04013071515,Census Tract 715.15; Maricopa County; Arizona,2546,1677,1081,Peoria city,Arizona,83853,0.3530905948387158,0.23164221922787215,04013,2546,1677,1081,0.010697,0.00781773244399999,0.00314654663299999,0.901841379355883,0.8550453014226181,0.9258070925613032,-0.10884244490336452,-0.16952867682707254,-0.08013862502763652,-2.964276313952265,-4.61703925982487,-2.1825403519099185,-116.42876331312902,-181.3448256019195,-85.72428719206279,0.8925718256640071,0.8417595209863211,0.9186975409721826,-0.12035801629305784,-0.1879877507393829,-0.08849752546608719,-3.277897856930294,-5.119764052752269,-2.4101913441527305,-128.746970028684,-201.09049696591788,-116.42876331312902,-0.31362154297802913,-0.502724792927399,-0.22765099224281204,-12.318206715554954,-19.74567136399839,-8.941515799010684,0.9377788195461688,0.9175050539921388,0.958285725457558,-0.06634952630295347,-0.08991225241639722,-0.04353010113191917,-0.3501104403949322,-0.4744452604931993,-0.2296978400138744,-20.877187858970316,-28.291309510626075,-13.696949315078976,0.9317737291797884,0.9096395019227476,0.9542112244354218,-0.07322193004976549,-0.09933660300179711,-0.04798599554482291,-0.3863744566801703,-0.5241752844699299,-0.2532105196392239,-23.039621745985112,-31.25672537089623,-15.099017271271553,-0.03626401628523806,-0.0497300239767306,-0.0235126796253495,-2.1624338870147923,-2.965415860270161,-1.4020679561925762,0.9175050539921388,0.8974641653846327,0.958285725457558,-0.08991225241639722,-0.11425061698304442,-0.04353010113191917,-0.7598456373879175,-0.9655283963013284,-0.3678715253062837,-70.29099328287859,-89.31807551353637,-34.030668390960564,0.9096395019227476,-0.09933660300179711,-0.8394905298811728,0.8878075386621802,-0.12637025081683853,-1.0679510433583606,0.9542112244354218,-0.04798599554482291,-0.4055281498409021,-77.65869841638971,-98.7928809767216,-37.51416742284016,-0.07964489249325524,-0.1024226470570323,-0.03765662453461838,-7.367705133511123,-9.474805463185229,-3.48349903187959,0.5198
04013071915,04013071915,Census Tract 719.15; Maricopa County; Arizona,2245,1519,530,Peoria city,Arizona,54106,0.28629895689152757,0.1573789543177925,04013,2245,1519,530,0.010697,0.00781773244399999,0.00314654663299999,0.9267689865011112,0.8911226276903956,0.9448347959973602,-0.07901754867236381,-0.12218001083845426,-0.0583860842512768,-1.897587862242879,-2.934124247982932,-1.4021280925646131,-84.52507181482757,-130.69595759389452,-62.455594323590795,0.9197475534924856,0.8809093481579758,0.9394884965740962,-0.08725486270964018,-0.13519058696680708,-0.06440898813190671,-2.095405023079272,-3.246570176219935,-1.5467667138755286,-93.3365266405021,-144.6133708783935,-84.52507181482757,-0.1978171608363932,-0.3124459282370027,-0.1446386213109152,-8.811454825674533,-13.917413284499004,-6.442700281109809,0.9538129891913328,0.9385906928671384,0.969122236976255,-0.04842354982796555,-0.06542714262941693,-0.03186157725581274,-0.23144540869935187,-0.31271585457270457,-0.15228573278861102,-15.236695766909271,-20.58695553474026,-10.025393863634696,0.9493132786716012,0.9326611094968276,0.9660873926820605,-0.05339303943933666,-0.07220081315441766,-0.03510304303194681,-0.2551976027912176,-0.3450913195814295,-0.1677786566656838,-16.8003688473481,-22.7183225530895,-11.045336186022633,-0.02375219409186574,-0.03237546500872496,-0.01549292387707279,-1.5636730804388244,-2.1313670183492404,-1.0199423223879391,0.9385906928671384,0.923455752182542,0.969122236976255,-0.06542714262941693,-0.08288891767315261,-0.03186157725581274,-0.2710907046956703,-0.34344179189896856,-0.13201520170178327,-51.14918956522081,-64.80033809414502,-24.908528622977975,0.9326611094968276,-0.07220081315441766,-0.2991567189246506,0.9161312550511536,-0.09154664736786366,-0.3793142134916027,0.9660873926820605,-0.03510304303194681,-0.14544588514880868,-56.444663948047285,-71.56871952671749,-27.442619839397864,-0.0280660142289803,-0.03587242159263415,-0.01343068344702541,-5.295474382826473,-6.768381432572481,-2.5340912164198897,0.5621
04013613601,04013613601,Census Tract 6136.01; Maricopa County; Arizona,2109,1594,657,Peoria city,Arizona,76470,0.2898193670246018,0.18039825721972072,04013,2109,1594,657,0.010697,0.00781773244399999,0.00314654663299999,0.9254380818301736,0.8891836363901494,0.9438222030067244,-0.08056932131252967,-0.12462708384933369,-0.05952158872117081,-1.8176417134389935,-2.811583646709704,-1.342805434466718,-86.18500300801297,-133.31359159363225,-63.67024345503642,0.9182947543152876,0.8788011326174439,0.9383810063286042,-0.08897496724309902,-0.13791387252947016,-0.06566521834502895,-2.007272858680198,-3.1113332405902883,-1.4814055529029575,-95.176522459943,-147.52646944477422,-86.18500300801297,-0.18963114524120428,-0.2997495938805841,-0.13860011843623976,-8.991519451930028,-14.212877851141968,-6.57184060864105,0.9529610672075358,0.9374673238194078,0.9685480260469996,-0.04936081274579505,-0.06670384619468445,-0.0324733240966556,-0.24757386204099527,-0.3345594996673425,-0.16287305278624722,-15.531609914742488,-20.98867626520342,-10.217882859864943,0.9483806270856948,0.9314332836730168,0.9654577572973424,-0.05442896179029699,-0.07361420031781221,-0.0357780984632135,-0.27299364673555776,-0.3692190395566932,-0.17944846367577966,-17.126326645894466,-23.16305141509995,-11.257745525456691,-0.02541978469456249,-0.03465953988935072,-0.01657541088953243,-1.5947167311519757,-2.174375149896532,-1.039862665591746,0.9374673238194078,0.9220672007117392,0.9685480260469996,-0.06670384619468445,-0.08451965239421254,-0.0324733240966556,-0.3426076444060012,-0.4341140828413393,-0.16679111789620313,-52.14728225357705,-66.07520286778376,-25.386775935495148,0.9314332836730168,-0.07361420031781221,-0.3781009522615349,0.9146160772118436,-0.09335493319606268,-0.4794942957656827,0.9654577572973424,-0.0357780984632135,-0.1837652659493024,-57.54961221636756,-72.98238900543116,-27.97036011404907,-0.03549330785553362,-0.04538021292434346,-0.01697414805309927,-5.402329962790505,-6.9071861376474075,-2.5835841785539224,0.5789
04013071517,04013071517,Census Tract 715.17; Maricopa County; Arizona,2595,1843,551,Peoria city,Arizona,80620,0.304891430418902,0.18375225149394617,04013,2595,1843,551,0.010697,0.00781773244399999,0.00314654663299999,0.9197616040983192,0.8809297459502302,0.9394992053890268,-0.08723825341713613,-0.13516430180403613,-0.06439685554169378,-2.421621813704058,-3.751987331952225,-1.787573959878048,-93.3187596803105,-144.58525363977745,-68.88531637294983,0.9121007300890408,0.8698320432286064,0.9336542077986132,-0.09637013436265789,-0.1496472310772107,-0.07106034723264207,-2.6751110942847265,-4.154014838011435,-1.9725439266319496,-103.08713272773514,-160.07764308329226,-93.3187596803105,-0.25348928058066855,-0.40202750605921,-0.18496996675390176,-9.768373047424609,-15.492389443514838,-7.1279370618073905,0.9493222959991088,0.932672982715819,0.9660934792851308,-0.05338303357507857,-0.07218716370247344,-0.03509652165332774,-0.3095727729948455,-0.41861953031534266,-0.20352772787656845,-16.79722045549894,-22.71402768938376,-11.043284203829,0.9443979790052758,0.9261947952141956,0.9627667118304872,-0.05887562471627611,-0.07968648190118142,-0.03867321928769424,-0.3414247783350074,-0.46210871732603653,-0.22426930306782644,-18.525489871677017,-25.073723132177783,-12.168708793696496,-0.03185200534016191,-0.04348918701069387,-0.02074157519125799,-1.7282694161780745,-2.359695442794025,-1.1254245898674984,0.932672982715819,0.9161459094967326,0.9660934792851308,-0.07218716370247344,-0.09152918725504224,-0.03509652165332774,-0.3109513023761583,-0.39426843392395894,-0.1511807440164236,-56.43399317171657,-71.5550696776695,-27.43752160007687,0.9261947952141956,-0.07968648190118142,-0.3432551447938037,0.9081573695963372,-0.10113074394197302,-0.4356278169985614,0.9627667118304872,-0.03867321928769424,-0.16658762150777293,-62.296759490708475,-79.06130980010188,-30.23368811393338,-0.03230384241764539,-0.04135938307460246,-0.01540687749134933,-5.862766318991904,-7.506240122432389,-2.7961665138565035,0.2228
04013071516,04013071516,Census Tract 715.16; Maricopa County; Arizona,2374,1011,490,Peoria city,Arizona,81997,0.29739574669575536,0.19559793474961,04013,2374,1011,490,0.010697,0.00781773244399999,0.00314654663299999,0.9225802814431512,0.8850249739760958,0.9416466508293544,-0.08391651123926525,-0.1299116176432436,-0.06196947561938529,-2.131032781804522,-3.2990636985092903,-1.57369487918314,-89.76549207264203,-138.96645739297767,-66.28874807005644,0.9151759208257324,0.8742810769307109,0.9360019697647362,-0.09268609154154052,-0.1437969165598819,-0.06837382003731225,-2.353733449775945,-3.651676393431068,-1.7363311434774926,-99.1463121219859,-153.81956164410568,-89.76549207264203,-0.2227006679714232,-0.35261269492177805,-0.16263626429435263,-9.380820049343855,-14.853104251127972,-6.850727223856471,0.9511302005521032,0.9350542461695064,0.9673134033161837,-0.05138076723831208,-0.06945666959595855,-0.03379111317155207,-0.16345037193636894,-0.22095268500497897,-0.10749489182239708,-16.16719801546676,-21.854864985655684,-10.632531337526911,0.9463765465461094,0.9287963229878105,0.9641040917420942,-0.05666185795663945,-0.07666231578430156,-0.0372323990379954,-0.18025035933509095,-0.24387498867677668,-0.11844216810966356,-17.82891783729881,-24.122155160907685,-11.715347983151688,-0.01679998739872204,-0.02292230367179773,-0.01094727628726648,-1.661719821832052,-2.2672901752520014,-1.0828166456247756,0.9350542461695064,0.9190859354883584,0.9673134033161837,-0.06945666959595855,-0.0880375396764697,-0.03379111317155207,-0.26606689308273157,-0.3372444258071504,-0.12944324206245797,-54.299365935251345,-68.82539302186743,-26.416988176011827,0.9287963229878105,-0.07666231578430156,-0.2936694819361627,0.9113637122495568,-0.0972567664907992,-0.3725604156088899,0.9641040917420942,-0.0372323990379954,-0.1426257376243726,-59.932547333910755,-76.03273787936529,-29.107293392729105,-0.02760258885343114,-0.0353159898017395,-0.01318249556191464,-5.633181398659416,-7.207344857497857,-2.690305216717274,0.773
04013617700,04013617700,Census Tract 6177; Maricopa County; Arizona,2224,1175,561,Peoria city,Arizona,82766,0.2853706389696278,0.1749477420324039,04013,2224,1175,561,0.010697,0.00781773244399999,0.00314654663299999,0.9271202594765022,0.8916346359742264,0.9451019936353944,-0.07860872392611641,-0.12153561521011393,-0.05808685912663972,-1.870111604118972,-2.891347842407357,-1.3818938137407273,-84.08775198376672,-130.00664759025884,-62.13551320776652,0.9201310335671202,0.8814661182445824,0.939780754991431,-0.08680173097004192,-0.1344735541185347,-0.06407797211075907,-2.065024290398861,-3.1991430650948676,-1.5244231584953882,-92.85181161865384,-143.84636084059656,-84.08775198376672,-0.19491268627988936,-0.3077952226875107,-0.14252934475466095,-8.76405963488711,-13.839713250337711,-6.408693559112452,0.9540377644408397,0.938887144965598,0.9692737107891836,-0.04817653689641821,-0.06509073573122705,-0.03170032248764806,-0.17811792095420437,-0.24065296654163768,-0.11720218801151472,-15.1589719961025,-20.481103535458526,-9.974654298852316,0.949559367905184,0.93298515178949,0.9662534933934832,-0.05312004051531059,-0.07182841879313281,-0.03492510695925044,-0.19639500443822208,-0.265563476436014,-0.12912483630900834,-16.714468462827412,-22.6011469307246,-10.989347770979434,-0.01827708348401771,-0.02491050989437634,-0.01192264829749362,-1.5554964667249118,-2.120043395266072,-1.0146934721271166,0.938887144965598,0.923822255863362,0.9692737107891836,-0.06509073573122705,-0.08245930821989755,-0.03170032248764806,-0.28547155761324233,-0.3616457379502543,-0.1390296228138884,-50.88619565298437,-64.46448091804889,-24.7824639596949,0.93298515178949,-0.07182841879313281,-0.31502133696016477,0.9165312193724852,-0.09107030820473612,-0.3994114130599944,0.9662534933934832,-0.03492510695925044,-0.1531727145416668,-56.153536000029376,-71.19633031372449,-27.30351417855023,-0.02954977934692243,-0.0377656751097401,-0.01414309172777841,-5.267340347044997,-6.7318493956755985,-2.5210502188553328,0.7519
04013071702,04013071702,Census Tract 717.02; Maricopa County; Arizona,1098,1013,843,Peoria city,Arizona,107670,0.34266523623670697,0.23720737201943984,04013,1098,1013,843,0.010697,0.00781773244399999,0.00314654663299999,0.9056876501058342,0.8605787984960882,0.9287516486734853,-0.10413341716997568,-0.16200864086770264,-0.07671410481830868,-1.2230788494870184,-1.902841061635273,-0.9010306356071096,-111.39151634672298,-173.3006431361815,-82.06107792414478,0.8967601281191364,0.8477537249462206,0.9219121899947312,-0.11512540382164266,-0.17958785738563113,-0.08470200400074442,-1.3521830962587624,-2.1093143388785975,-0.9948509558019674,-123.14964446801116,-192.1051310454096,-111.39151634672298,-0.12910424677174404,-0.20647327724332465,-0.09382032019485764,-11.758128121288165,-18.80448790922811,-8.544655755451515,0.940263688697482,0.9207647926959234,0.959969157284295,-0.06353144550893906,-0.08605368920773183,-0.04170013423030201,-0.20250341648320025,-0.27429198133225663,-0.1329171653784589,-19.990465595577515,-27.0771946033817,-13.121141695800484,0.9344899416610104,0.91319510587659,0.9560552878233672,-0.07010247560562133,-0.09505624106481016,-0.04596461390499807,-0.22344825779339625,-0.3029871809066002,-0.14650998853447555,-22.05807085818324,-29.909889526811472,-14.462980111991666,-0.020944841310196,-0.02869519957434357,-0.01359282315601664,-2.0676052626057255,-2.832694923429771,-1.3418384161911794,0.9207647926959234,0.9014724217393826,0.959969157284295,-0.08605368920773183,-0.10929627560930748,-0.04170013423030201,-0.5671237973120848,-0.7203005405844868,-0.2748184150016392,-67.27447180451777,-85.44490398392489,-32.6000492291387,0.91319510587659,-0.09505624106481016,-0.6264537509920542,0.8921701520572156,-0.12086242483470704,-0.7965254942079448,0.9560552878233672,-0.04596461390499807,-0.3029228220170741,-74.31242597770513,-94.48700998908004,-35.933905340103685,-0.0593299536799694,-0.07622495362345805,-0.02810440701543487,-7.037954173187355,-9.042106005155166,-3.3338561109649913,0.4036
04013092723,04013092723,Census Tract 927.23; Maricopa County; Arizona,3151,1665,829,Peoria city,Arizona,20902,0.3780547920151983,0.24615438392420672,04013,3151,1665,829,0.010697,0.00781773244399999,0.00314654663299999,0.8926974904783793,0.8419391589607215,0.9187940481671232,-0.1202003037603694,-0.18773427908304768,-0.08838319315941623,-4.05150112802204,-6.3278179811401385,-2.9790657392799935,-128.57826493246716,-200.8193583351361,-94.54350172262752,0.882621993775455,0.8275777010174606,0.9110453389553612,-0.1329878555625555,-0.20834575263513716,-0.09764021310579069,-4.4825215075918186,-7.022553399720834,-3.291085140076418,-142.25710909526558,-222.8674515938062,-128.57826493246716,-0.43102037956977846,-0.6947354185806951,-0.3120194007964243,-13.678844162798429,-22.048093258670107,-9.90223423663676,0.931855295816032,0.909746223808508,0.9542666271678184,-0.07312798938840939,-0.0992076403611316,-0.04792515166113933,-0.3831175469322852,-0.5197488421324122,-0.25107987645129487,-23.01006287881593,-31.216146674619353,-15.079872459537228,0.9253016262542632,0.901181541625236,0.9498099381624447,-0.08072867444113883,-0.1096543302435486,-0.05284221592233035,-0.4229375370176154,-0.5744790519301437,-0.27684037682346146,-25.401653874931856,-34.50324636217079,-16.627049659066756,-0.03981999008533016,-0.05473020979773146,-0.02576050037216659,-2.391590996115925,-3.28709968755144,-1.5471771995295254,0.909746223808508,0.8879384194544018,0.9542666271678184,-0.0992076403611316,-0.12620422553002608,-0.04792515166113933,-0.642954815868695,-0.8179169899831656,-0.31059812479764987,-77.55787887439023,-98.6630868495978,-37.466601302490936,0.901181541625236,-0.1096543302435486,-0.7106587703759966,0.8774474824951989,-0.13966934768141143,-0.9051831027742664,0.9498099381624447,-0.05284221592233035,-0.34246512753212105,-85.72482151700804,-109.18975908012864,-41.31063058288553,-0.0677039545073016,-0.08726611279110075,-0.03186700273447118,-8.166942642617803,-10.52667223053085,-3.8440292803945937,0.6499
04013071510,04013071510,Census Tract 715.10; Maricopa County; Arizona,2692,2213,1028,Peoria city,Arizona,79924,0.3686274624800476,0.20983270748819707,04013,2692,2213,1028,0.010697,0.00781773244399999,0.00314654663299999,0.8961395879544396,0.8468647088433623,0.9214361475282924,-0.11589758274448728,-0.18082615742222635,-0.08526239466777073,-3.3374243435270645,-5.207128616805434,-2.4552435418689984,-123.97564426177804,-193.4297405945555,-91.205183576114365,0.8863662874579781,0.8329049411463816,0.913927551695086,-0.12820175377824172,-0.2006172020346458,-0.09417863390295324,-3.691739239166473,-5.77703794976312,-2.7119984557468264,-137.13741601658515,-214.60022101646055,-123.97564426177804,-0.354314895639408,-0.5699093329576854,-0.256754913877828,-13.161771754807134,-21.170480421905104,-9.53770110987474,0.9340878100483035,0.9126684814671344,0.9557823906514614,-0.07056316252354035,-0.09568810614833344,-0.04626326011133125,-0.4913530128538904,-0.6663057262290568,-0.3221453153061615,-22.20302814522777,-30.108708821918515,-14.556950533491255,0.927740412585357,0.9043662736529718,0.9514696227959,-0.07788772207656174,-0.10574667491827015,-0.05100570322097441,-0.5423561747799758,-0.736346635583958,-0.3551684059227982,-24.507734965204502,-33.27368439150285,-16.049182373375427,-0.05100316192608534,-0.07004090935490115,-0.03302309061663672,-2.304706819976744,-3.1649755695843265,-1.4922318398841716,0.9126684814671344,0.891523725269573,0.9557823906514614,-0.09568810614833344,-0.12167514072340212,-0.04626326011133125,-0.7690098042750829,-0.9778579587289312,-0.3718006556446171,-74.80640119407421,-95.1223695261606,-36.167378953756526,0.9043662736529718,-0.10574667491827015,-0.8498467892715845,0.8813455085711582,-0.1346288036586299,-1.081961741314228,0.9514696227959,-0.05100570322097441,-0.409913911244837,-82.66992113536814,-105.24919662589768,-39.87489408996469,-0.0808369849965016,-0.10410378258529684,-0.03811325560021988,-7.863519941293931,-10.126827099737046,-3.70751513620816,0.0722
04013610902,04013610902,Census Tract 6109.02; Maricopa County; Arizona,2584,1931,734,Peoria city,Arizona,262,0.230445082164334,0.17706119206567533,04013,2584,1931,734,0.010697,0.00781773244399999,0.00314654663299999,0.9481426775631556,0.9224580104603216,0.9610464479647682,-0.05469358532633942,-0.08406018340171771,-0.04053243432481818,-1.5117880172974438,-2.3235115642956825,-1.120358962729147,-58.50572822358529,-89.91917818481744,-43.35754499725802,0.943107209753488,0.9150425030711876,0.957235542352437,-0.06032483863778632,-0.09284541061608267,-0.04467495799672039,-1.6674417603793064,-2.5663444514188507,-1.2348626583853322,-64.52947989084004,-99.31673573602365,-58.50572822358529,-0.15565374308186253,-0.2428328871231682,-0.11450369565618512,-6.023751667254742,-9.3975575512062,-4.43125757183379,0.9674317022834428,0.9565949403886248,0.9782781930089044,-0.03366469967821597,-0.04537454441661735,-0.02220412061346849,-0.20454609407467544,-0.2756948946389294,-0.13491182714417288,-10.592754742344663,-14.277311995801623,-6.986630095503515,0.9642337896630732,0.9523594322121444,0.9761321342173744,-0.03709288216234811,-0.05002372652223954,-0.02445147019134034,-0.2253756675925464,-0.3039432393274833,-0.14856668171195378,-11.67144834762022,-15.740198825866562,-7.693769120246183,-0.02082957351787096,-0.02824834468855391,-0.0136548545677809,-1.0786936052755545,-1.462886830064936,-0.707139024742667,0.9565949403886248,0.9457679998067872,0.9782781930089044,-0.04537454441661735,-0.05734175844846927,-0.02220412061346849,-0.26036891924485117,-0.32903937365725916,-0.1274120315970349,-35.47260480175084,-44.82825254186092,-17.358587411040176,0.9523594322121444,-0.05002372652223954,-0.28704692859517833,0.9405092626223774,-0.06325374958216505,-0.36296365348984705,0.9761321342173744,-0.02445147019134034,-0.14030780803466178,-39.10721098026953,-49.45008903131431,-19.115505181834028,-0.02667800935032716,-0.03392427983258789,-0.01289577643762687,-3.6346061785186863,-4.621836489453391,-1.7569177707938524,0.1071
