geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
08001008526,08001008526,Census Tract 85.26; Adams County; Colorado,4659,3518,1356,Thornton city,Colorado,116405,0.6284933103317684,0.21069870232584748,08001,4659,3518,1356,0.0085,0.007069502844,0.002896537907,0.80594360316449,0.7210784290982372,0.8513134609942878,-0.2407816081343149,-0.38681169710009944,-0.17465545397585322,-9.535312854531073,-15.318323422709588,-6.916617960624752,-204.66436691416763,-328.7899425350845,-148.45713587947523,0.7887422733835389,0.697880003098924,0.8377191638564977,-0.2678412629136889,-0.4329110958324031,-0.19371746898618303,-10.606915773276452,-17.14392876160691,-7.671502348056329,-227.66507347663557,-367.97443145754266,-204.66436691416763,-1.0716029187453806,-1.825605338897324,-0.7548843874315772,-23.00070656246793,-39.18448892245812,-16.20271275878036,0.874462621383228,0.83545015482758,0.9148684780271992,-0.14355945645589355,-0.1969595004819644,-0.09305329019136888,-1.4628737837004313,-2.007021319381498,-0.948214921319686,-41.582540753281165,-57.05006592897948,-26.953238241037123,0.8628104083284424,0.8205642619844413,0.9067645448672714,-0.1590031718988423,-0.21867359611983803,-0.10282212252396349,-1.620245558449107,-2.2282883959614965,-1.0477595216512452,-46.05587147382339,-63.3396360421119,-29.78281755688588,-0.1573717747486756,-0.22126707657999845,-0.0995446003315592,-4.473330720542228,-6.289570113132417,-2.829579315848755,0.83545015482758,0.7977967941309181,0.9148684780271992,-0.1969595004819644,-0.2534520160479618,-0.09305329019136888,-1.8881021953864507,-2.429653338652221,-0.8920317175273521,-139.2405748810067,-179.17797482685995,-65.78404996514396,0.8205642619844413,-0.21867359611983803,-2.0962588547218797,0.7799764955237837,-0.2820899164768577,-2.7041832929765532,0.9067645448672714,-0.10282212252396349,-0.9856781459981788,-154.59136096769024,-199.4235466796868,-72.69012876092764,-0.20815665933542893,-0.27452995432433225,-0.0936464284708266,-15.350786086683549,-20.24557185282686,-6.906078795783674,0.088
08001009319,08001009319,Census Tract 93.19; Adams County; Colorado,1652,1105,494,Thornton city,Colorado,46517,0.4973351123337552,0.21644430414883775,08001,1652,1105,494,0.0085,0.007069502844,0.002896537907,0.850271033158741,0.7820374067437218,0.8860116971393351,-0.1760955754131935,-0.27871121173581637,-0.12865327086391606,-2.4727340699520637,-3.9136628351943337,-1.8065492294711096,-149.68123910121452,-236.90452997544392,-109.35528023432866,0.8365908730882223,0.7630452261360641,0.8753533558360108,-0.19532740813746055,-0.3105383085401583,-0.142395803172474,-2.7427874650662214,-4.360578928520903,-1.99952186814788,-166.0282969168415,-263.95756225913453,-149.68123910121452,-0.2700533951141577,-0.44691609332656945,-0.1929726386767705,-16.34705781562698,-27.053032283690644,-11.681152462274245,0.90406477093152,0.8735702187599029,0.9352946102210128,-0.1061154379122985,-0.14472766873803622,-0.06918182685100369,-0.3396409642161197,-0.4632261424540642,-0.2214285012641341,-30.73673884308776,-41.92091786914608,-20.038778394944263,0.8949927161809308,0.8618418952694804,0.9290589572991926,-0.11732752895146584,-0.16030562622779015,-0.07635795569641296,-0.37552721683252965,-0.5130861119969552,-0.24439695305913384,-33.984363514256074,-46.43313230741675,-22.117371317568676,-0.03588625261640993,-0.04985996954289101,-0.02296845179499976,-3.247624671168319,-4.5122144382706795,-2.078592922624413,0.8735702187599029,0.8438010310369112,0.9352946102210128,-0.14472766873803622,-0.18511350806379384,-0.06918182685100369,-0.5054374168800242,-0.6464782730295848,-0.24160607410808535,-102.31526657490367,-130.86604717198074,-48.908112167628616,0.8618418952694804,-0.16030562622779015,-0.5598408537801224,0.8295910477782061,-0.2054132004897831,-0.7173715872984858,0.9290589572991926,-0.07635795569641296,-0.2666675157691618,-113.32810805265636,-145.21692050576635,-53.981278495781744,-0.05440343690009819,-0.070893314268901,-0.02506144166107646,-11.01284147775267,-14.350873333785628,-5.073166328153129,0.9826
08001008507,08001008507,Census Tract 85.07; Adams County; Colorado,4241,2400,817,Thornton city,Colorado,87811,0.5299147715162128,0.2047820523358065,08001,4241,2400,817,0.0085,0.007069502844,0.002896537907,0.8390375780111163,0.7664303131036877,0.8772628362398543,-0.19184173177372407,-0.304750063904001,-0.1399092252513793,-6.915606667845093,-10.985782678643382,-5.043517706474347,-163.06547200766548,-259.0375543184009,-118.9228414636724,0.8244409465317911,0.7463111679208803,0.8658500866664719,-0.21294315160684368,-0.3399236712293369,-0.1549343418674312,-7.676281200699305,-12.253738462310752,-5.5851506228080945,-181.00167886581713,-288.9351205449364,-163.06547200766548,-0.7606745328542113,-1.2679557836673716,-0.5416329163337474,-17.936206858151646,-29.897566226535524,-12.771349123644129,0.896619355150037,0.8639418459325822,0.9301785836522464,-0.11530048314946724,-0.15748531536928836,-0.07506237788619817,-0.8015333283308318,-1.0947892458311843,-0.5218104550486357,-33.397222013784656,-45.616218576299346,-21.74210229369315,0.8868882897673589,0.8513986574770521,0.9234703791408136,-0.1275377198432867,-0.17453791031723956,-0.0828717656654984,-0.8866028162362226,-1.213333616261882,-0.5760989056083293,-36.94178400984261,-50.55556734424508,-24.00412106701372,-0.08506948790539082,-0.11854437043069764,-0.05428845055969367,-3.54456199605795,-4.939348767945735,-2.262018773320569,0.8639418459325822,0.832131713545114,0.9301785836522464,-0.15748531536928836,-0.20173283114006096,-0.07506237788619817,-0.909601136956291,-1.1651652227773044,-0.4335440679521505,-111.3342884891421,-142.61508234728328,-53.065369394388064,0.8513986574770521,-0.17453791031723956,-1.008093239006184,0.8169797295557021,-0.22402057703907757,-1.2938944250041928,0.9234703791408136,-0.0828717656654984,-0.47864940355964625,-123.38962533735422,-158.371410649228,-58.58621830595425,-0.0984921020498929,-0.12872920222688844,-0.04510533560749574,-12.055336848212104,-15.756328301944729,-5.520848911566186,0.1583
08001009206,08001009206,Census Tract 92.06; Adams County; Colorado,1905,1281,426,Thornton city,Colorado,59517,0.5382536432484573,0.19565588885360663,08001,1905,1281,426,0.0085,0.007069502844,0.002896537907,0.8361862712372482,0.7624859391960573,0.8750374561550786,-0.1959057860641119,-0.3114995944113677,-0.1428082226262723,-3.1722044408431325,-5.043957182506072,-2.3124221448759146,-166.51991815449514,-264.7746552496626,-121.38698923233146,0.8213595974815862,0.7420873412399502,0.8634343214397929,-0.2174935351898883,-0.34755027397328286,-0.1581656822866171,-3.521764068562266,-5.6277078113123835,-2.5610978104260473,-184.86950491140507,-295.41773287729046,-166.51991815449514,-0.3495596277191342,-0.5837506288063112,-0.24867566555013276,-18.349586756909932,-30.64307762762789,-13.053840711293056,0.8947235521004905,0.8614945362301747,0.9288736238352056,-0.11766366007953868,-0.16077346743940268,-0.07657271596444112,-0.4365868994235322,-0.596544333326795,-0.28412038704860615,-34.08172516967464,-46.56864428780601,-22.179577443294782,0.8848257574189673,0.8487460774233788,0.9220453754805592,-0.130166014738309,-0.17820868525931507,-0.08454532346503203,-0.4829764495384625,-0.6612370998413153,-0.31370246860760964,-37.70307958926327,-51.61882122102383,-24.48887342760419,-0.04638955011493034,-0.06469276651452027,-0.02958208155900349,-3.62135441958863,-5.05017693321782,-2.309295984309406,0.8614945362301747,0.8291709416851003,0.9288736238352056,-0.16077346743940268,-0.20602393273421848,-0.07657271596444112,-0.484186694738907,-0.6204633675969611,-0.2306070201787372,-113.65884853025987,-145.6486778396622,-54.13310332834207,0.8487460774233788,-0.17820868525931507,-0.5366947398954135,0.8137827527512672,-0.22882918889490167,-0.6891438643168389,0.9220453754805592,-0.08454532346503203,-0.2546173903949341,-125.9846807266229,-161.7708601682721,-59.76934046829439,-0.05250804515650648,-0.06868049671987786,-0.02401037021619687,-12.325832196363024,-16.122182328609824,-5.636237139952317,0.4622
08001008554,08001008554,Census Tract 85.54; Adams County; Colorado,1732,946,410,Thornton city,Colorado,71506,0.6186382868608918,0.21874290098316257,08001,1732,946,410,0.0085,0.007069502844,0.002896537907,0.8091924588140835,0.7254888802205857,0.8538727406839167,-0.2357999498235012,-0.3783808784167015,-0.17113470468566708,-3.4714468613015854,-5.570523292050679,-2.519445122382391,-200.42995734997604,-321.6237466541962,-145.46449898281702,0.7922404439892945,0.7025768510712306,0.840489832578687,-0.26224305712611784,-0.4233318369019466,-0.1897823878867441,-3.8607422870107073,-6.2322913028704585,-2.7939763144686465,-222.90659855720017,-359.8320613666546,-200.42995734997604,-0.3892954257091219,-0.6617680108197792,-0.2745311920862554,-22.47664120722413,-38.20831471245839,-15.85053072091544,0.8766528001627194,0.8382557136157586,0.9163876431565152,-0.14070245348487517,-0.1929533956727459,-0.09124125305256243,-0.3855422906599956,-0.5287163963085524,-0.25001242574888455,-40.75499901268452,-55.88968248504782,-26.428374814892656,0.8651877999042584,0.8235958972795395,0.9084209614633376,-0.15581842475201324,-0.21418768998625373,-0.1008112344624252,-0.4269619393124589,-0.586901014042019,-0.2762353697199979,-45.133397390323346,-62.04027632579482,-29.200356207187937,-0.04141964865246328,-0.05818461773346661,-0.02622294397111335,-4.378398377638824,-6.150593840746999,-2.7719813922952805,0.8382557136157586,0.8011645790249193,0.9163876431565152,-0.1929533956727459,-0.24818299033773947,-0.09124125305256243,-0.5592746775818531,-0.7193574459702803,-0.26446242215753774,-136.40845794679345,-175.45303560250738,-64.5030297945214,0.8235958972795395,-0.21418768998625373,-0.6208221982381206,0.7835990739677854,-0.2761628149156173,-0.8004568602357308,0.9084209614633376,-0.1008112344624252,-0.292200976583099,-151.4200483507611,-195.23338054530015,-71.2685308739266,-0.06154752065626745,-0.08109941426545053,-0.02773855442556128,-15.01159040396767,-19.780344942792812,-6.76550107940519,0.2646
08001008524,08001008524,Census Tract 85.24; Adams County; Colorado,5782,4558,1365,Thornton city,Colorado,135499,0.6547624504708871,0.24471415685059897,08001,5782,4558,1365,0.0085,0.007069502844,0.002896537907,0.7973471715306747,0.7094526612396279,0.8445289642271352,-0.2541588353292717,-0.4095373160665832,-0.18409201147428145,-12.491144279927717,-20.127530472724366,-9.04757008792651,-216.03501002988097,-348.1067186565958,-156.47820975313925,0.7794929717786601,0.6855131092736494,0.8303783236464719,-0.28288520385011723,-0.4587613080945632,-0.20427035668351984,-13.902959113621714,-22.5467420089235,-10.039275219924953,-240.45242327259967,-389.9471118803787,-216.03501002988097,-1.411814833693997,-2.419211536199132,-0.9917051319984402,-24.417413242718737,-41.84039322378298,-17.15159342785265,0.86865126687953,0.8280175623316206,0.910831346916792,-0.15120997128377675,-0.20770385254159685,-0.09789809429050522,-1.9963375158261945,-2.742193451199398,-1.2924917364956483,-43.79854137398409,-60.16220823166736,-28.356554113550867,0.8565051982868278,0.8125376676209182,0.9023640102174804,-0.16753523738114948,-0.23071217476965095,-0.10820022593652431,-2.211870531865642,-3.0459589796901123,-1.428504803116307,-48.52721658327429,-66.8266559826703,-31.340605597110727,-0.21553301603944752,-0.30376552849071414,-0.13601306662065848,-4.728675209290205,-6.664447751002943,-2.9840514835598615,0.8280175623316206,0.788888767317911,0.910831346916792,-0.20770385254159685,-0.26760582914601716,-0.09789809429050522,-2.0043154625847657,-2.582361832348589,-0.944704018452158,-146.83629762525754,-189.18401702187464,-69.20908560089069,0.8125376676209182,-0.23071217476965095,-2.22634281280248,0.7704019077946527,-0.298023784575759,-2.8758911899508317,0.9023640102174804,-0.10820022593652431,-1.0441182637972923,-163.10203756794724,-210.6879992637972,-76.49218049797014,-0.22202735021771416,-0.29352935760224286,-0.09941424534513443,-16.26573994268968,-21.503982241922554,-7.2830948970794465,0.1807
08001008534,08001008534,Census Tract 85.34; Adams County; Colorado,2940,1972,702,Thornton city,Colorado,85653,0.6534331985894081,0.20729191655813883,08001,2940,1972,702,0.0085,0.007069502844,0.002896537907,0.7977799511465109,0.7100364118705019,0.8448709659968063,-0.25347847932612655,-0.4083784764863331,-0.18361269382735548,-6.3344271983599025,-10.205378127393464,-4.588481218745614,-215.45670742720756,-347.1217050133832,-156.0707897532522,0.7799583821019209,0.6861335927959915,0.8307482295698473,-0.2821196911879911,-0.4574421227869112,-0.2037341331654592,-7.050171082787897,-11.431478648444912,-5.091315987804825,-239.8017375097924,-388.82580436887457,-215.45670742720756,-0.7157438844279946,-1.226100521051448,-0.502834769059211,-24.345030082584852,-41.70409935549143,-17.103223437388127,0.868944398967706,0.8283920676602339,0.9110352022952674,-0.15082161895281931,-0.20715786526598096,-0.09765242603205038,-0.861488977962127,-1.1832800818868938,-0.5577879967207493,-43.68605364919508,-60.00406094761125,-28.28539537123475,0.8568231402998872,0.8129419310554343,0.9025861690149668,-0.16710199919437413,-0.23010016066179545,-0.10792745815210678,-0.9544820663039204,-1.3143258480699784,-0.6164787002226424,-48.40172750019881,-66.64938377636808,-31.261597374373345,-0.09299308834179354,-0.1310457661830846,-0.05869070350189309,-4.715673851003729,-6.645322828756826,-2.976202003138595,0.8283920676602339,0.789337126210616,0.9110352022952674,-0.20715786526598096,-0.2668858042959626,-0.09765242603205038,-1.0280811885936845,-1.3244984666504616,-0.48462858069707,-146.45031176548213,-188.67499524935351,-69.03541035570798,0.8129419310554343,-0.23010016066179545,-1.1419390056228007,0.7708835587094153,-0.297212774487191,-1.47500488126625,0.9025861690149668,-0.10792745815210678,-0.5356214175911109,-162.669374020342,-210.11465545103275,-76.29934723520098,-0.11385781702911624,-0.1505064146157884,-0.05099283689404094,-16.219062254859864,-21.43966020167926,-7.263936879493011,0.1707
08001009322,08001009322,Census Tract 93.22; Adams County; Colorado,3078,1833,442,Thornton city,Colorado,59998,0.5208691858515665,0.2051461233506449,08001,3078,1833,442,0.0085,0.007069502844,0.002896537907,0.8421415257836007,0.7707320450831937,0.879683215629955,-0.18744886623363485,-0.29746778582699107,-0.13677285440064268,-4.904224687270589,-7.782649680591567,-3.5783881896840146,-159.33153629858964,-252.8476179529424,-116.25692624054628,0.8277965100713958,0.7509201493341403,0.8684782294856324,-0.20802635410211143,-0.331699516768494,-0.1514393407331156,-5.442593502373542,-8.67825445721411,-3.962107471600504,-176.82240098679475,-281.94458925321993,-159.33153629858964,-0.5383688151029533,-0.8956047766225419,-0.38371928191648896,-17.49086468820511,-29.096971300277513,-12.46651338260198,0.8986803685799734,0.8666044251784146,0.931596211003504,-0.11274267800032647,-0.15392902568449518,-0.0734264353896548,-0.5985907865549862,-0.8172636856990202,-0.3898469372325454,-32.65634405646406,-44.586125788271694,-21.268245348202147,0.889131056962889,0.8542854165152126,0.925018641231612,-0.12469358950953675,-0.17056896988735215,-0.08105929483599864,-0.6620424061832384,-0.9056110397381923,-0.4303724899397232,-36.11797087742709,-49.4059487036657,-23.47913202071594,-0.06345161962825219,-0.08834735403917215,-0.04052555270717783,-3.4616268209630214,-4.819822915394007,-2.2108866725137934,0.8666044251784146,0.8353553642511415,0.931596211003504,-0.15392902568449518,-0.19709532349319975,-0.0734264353896548,-0.480985144704004,-0.6158677498886299,-0.22943707006488057,-108.82016848506876,-139.33659499742757,-51.908839381194696,0.8542854165152126,-0.17056896988735215,-0.5329803154308196,0.820461850787982,-0.2188257126636508,-0.6837691371230746,0.925018641231612,-0.08105929483599864,-0.2532876205960713,-120.58378177167864,-154.6988998016006,-57.304891537572686,-0.05199517072681559,-0.06790138723444472,-0.02385055053119075,-11.76361328660986,-15.362304804173013,-5.396052156377999,0.8634
08001009321,08001009321,Census Tract 93.21; Adams County; Colorado,2808,1680,463,Thornton city,Colorado,59214,0.5194575992593833,0.21413355161777775,08001,2808,1680,463,0.0085,0.007069502844,0.002896537907,0.842626939408218,0.7714055157149082,0.8800615238667346,-0.18676481041812656,-0.2963350399086004,-0.13628419477571355,-4.457702495059845,-7.072924732538475,-3.252831160906732,-158.75008885540757,-251.88478392231036,-115.84156555935654,0.8283213848077722,0.7516419556168277,0.8688890767977114,-0.20726087523633008,-0.3304206777272827,-0.15089489176857598,-4.946902570140726,-7.886480735994784,-3.601559276732372,-176.17174395088057,-280.8575760681903,-158.75008885540757,-0.48920007508088137,-0.8135560034563092,-0.3487281158256401,-17.421655095472982,-28.972792145879954,-12.419092443933051,0.8990024220170131,0.8670206669668299,0.9318176301488064,-0.11234405548806808,-0.15337504410175448,-0.07317136706278583,-0.546686809783465,-0.7463511371039281,-0.3560653125193423,-32.54088153473006,-44.425662922852865,-21.194363840437045,0.8894815576953677,0.8547367846360256,0.9252604854933072,-0.12425040333717964,-0.16995081757927627,-0.0807767279360742,-0.6046252854199826,-0.8270118955459463,-0.39307439551004486,-35.98960032261801,-49.22689854440157,-23.39728544702648,-0.05793847563651766,-0.08066075844201825,-0.03700908299070254,-3.4487187878879557,-4.801235621548705,-2.2029216065894373,0.8670206669668299,0.8358595483738683,0.9318176301488064,-0.15337504410175448,-0.19637324469817977,-0.07317136706278583,-0.5020240987503781,-0.6427649411001112,-0.2395030418355261,-108.42853104759786,-138.82612118792898,-51.72851875497324,0.8547367846360256,-0.16995081757927627,-0.5562795859443871,0.8210065817744898,-0.21801703201774725,-0.7136089489130252,0.9252604854933072,-0.0807767279360742,-0.26439675554524106,-120.14677882168188,-154.12720278899033,-57.105130787309086,-0.05425548719400897,-0.070844007812914,-0.02489371370971496,-11.71824777408401,-15.301081601061338,-5.376612032335846,0.8552
08001009318,08001009318,Census Tract 93.18; Adams County; Colorado,4132,2187,533,Thornton city,Colorado,58925,0.5144773128268372,0.21329129004882505,08001,4132,2187,533,0.0085,0.007069502844,0.002896537907,0.8443417866034708,0.7737863240448378,0.8813975513713238,-0.18435450651174645,-0.2923464384491422,-0.13456180862330328,-6.474898977705559,-10.267791611210772,-4.726079842467658,-156.70133053498446,-248.4944726817709,-114.37753732980778,0.8301758804172262,0.754194141746532,0.8703401600729175,-0.20456402503217064,-0.3259185462303391,-0.14897605083076892,-7.184697687179897,-11.44691118070197,-5.232336857278266,-173.87942127734505,-277.0307642957883,-156.70133053498446,-0.7097987094743381,-1.1791195694911971,-0.5062570148106085,-17.178090742360553,-28.53629161401736,-12.2521058763458,0.9001395963988931,0.8684908272635934,0.9325992501289516,-0.1109387966051148,-0.15142263868319775,-0.07227193230289289,-0.7027671458056837,-0.9592212900644532,-0.4578230622705705,-32.133842972367795,-43.86014129238469,-20.933839152746707,0.8907192802215275,0.8563311840289765,0.9261142530343872,-0.12268817146440766,-0.16777249112320322,-0.0797803799299364,-0.7771962444397463,-1.0627931646946218,-0.5053870387131052,-35.537093938717256,-48.595938029017915,-23.10868947019228,-0.07442909863406266,-0.1035718746301687,-0.04756397644253468,-3.403250966349459,-4.735796736633228,-2.174850317445573,0.8684908272635934,0.8376408165954917,0.9325992501289516,-0.15142263868319775,-0.1938291212508019,-0.07227193230289289,-0.5705673189773816,-0.7303568542560571,-0.2723238942999087,-107.04827748168508,-137.02755239325649,-51.092663095667675,0.8563311840289765,-0.16777249112320322,-0.6321742989738598,0.8229313639108068,-0.21516817058437543,-0.8107633527404488,0.9261142530343872,-0.0797803799299364,-0.3006160629577758,-118.606810314045,-152.1131993884519,-56.40076228100859,-0.06160697999647824,-0.08040649848439163,-0.0282921686578671,-11.558532832359894,-15.085646995195429,-5.308099185340919,0.9275
08001008533,08001008533,Census Tract 85.33; Adams County; Colorado,5459,3079,977,Thornton city,Colorado,103617,0.5663572777312272,0.2080513983169878,08001,5459,3079,977,0.0085,0.007069502844,0.002896537907,0.8266479727463037,0.7493415073095732,0.8675789775997969,-0.20970477515088223,-0.334505015730929,-0.1526328159386168,-9.730616124163664,-15.521534487438704,-7.082391608775728,-178.24905887824994,-284.32926337128964,-129.73789354782429,0.8110594065230178,0.728027473479601,0.8553422447094787,-0.23295530753655108,-0.3735745372636952,-0.16912265959651626,-10.809475702657275,-17.334418890841356,-7.84754508926775,-198.01201140606847,-317.53835667414097,-178.24905887824994,-1.0788595784936137,-1.812884403402652,-0.7651534804920219,-19.76295252781853,-33.209093302851294,-14.016367109214542,0.8883637936330773,0.8532975608221587,0.9244891201720232,-0.12566496650023545,-0.1719241281276984,-0.08167849483607341,-1.120735490934387,-1.5332950583351443,-0.728444773100043,-36.39933390498172,-49.798475424980325,-23.658485647939035,0.8779098768192907,0.8398670721030819,0.9172590070071244,-0.1390690848849402,-0.1906646101697199,-0.09020461217693224,-1.2402793193919115,-1.7004309270394318,-0.8044844408761348,-40.281887606103005,-55.22672708799714,-26.128107855671804,-0.11954382845752454,-0.16713586870428743,-0.07603966777609183,-3.8825537011212905,-5.4282516630168045,-2.469622207732765,0.8532975608221587,0.8192699205239996,0.9244891201720232,-0.1719241281276984,-0.22059894419217377,-0.08167849483607341,-1.1874634961577115,-1.5236557914929203,-0.5641455454519033,-121.5418112750984,-155.95248633499696,-57.74263515372603,0.8398670721030819,-0.1906646101697199,-1.3169022117565514,0.8031001574373133,-0.24517470297975363,-1.6933982050124026,0.9172590070071244,-0.09020461217693224,-0.6230346217932246,-134.7904003844986,-173.32632599922238,-63.770176232673954,-0.1294387155988399,-0.16974241351948227,-0.05888907634132123,-13.248589109400196,-17.37383966422541,-6.027541078947926,0.6525
