geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
25013812300,25013812300,Census Tract 8123; Hampden County; Massachusetts,3777,2312,770,Springfield city,Massachusetts,157943,0.6405107473337152,0.2745416686476285,25013,3777,2312,770,0.013955,0.00798440667,0.00293016251099999,0.8019995215731885,0.7157364924587615,0.8482029957918124,-0.24688353683605335,-0.39716223852819255,-0.17896306068393744,-13.01274610047849,-20.933641169022323,-9.4327912662361,-344.52597565471245,-554.2399038660927,-249.74295118443476,0.784497420870503,0.6921950300379469,0.8343529046952497,-0.2747014501212363,-0.4446795434881682,-0.19853361134429495,-14.478973647540878,-23.43818494195839,-10.464316535411497,-383.3458736441853,-620.5503029377387,-344.52597565471245,-1.4662275470623882,-2.504543772936067,-1.0315252691753969,-38.819897989472814,-66.31039907164593,-27.310703446528912,0.8717992713250825,0.8320416968185189,0.9130193814922364,-0.1470530349033902,-0.20186284392201004,-0.09526700119509277,-0.9962160384862156,-1.3675270477869608,-0.6453897030509289,-43.088929000268834,-59.149093762411795,-27.9147795437253,0.8599202019182094,0.8168825146723341,0.9047487598238484,-0.16289860125313602,-0.22416624427457305,-0.10527921607175962,-1.1035623938122718,-1.518622230274011,-0.7132178104236102,-47.73193744862768,-65.68435252050222,-30.848521212093864,-0.1073463553260563,-0.15109518248705056,-0.0678281073726813,-4.643008448358836,-6.535258758090423,-2.9337416683685684,0.8320416968185189,0.7937091928428212,0.9130193814922364,-0.20186284392201004,-0.25990729226444875,-0.09526700119509277,-1.2410513788257709,-1.5979082488121858,-0.5857008694252074,-161.17550374360658,-207.52055179379036,-76.06504797729966,0.8168825146723341,-0.22416624427457305,-1.3781725311005577,0.7755816967200876,-0.2893548213282635,-1.7789514553657348,0.9047487598238484,-0.10527921607175962,-0.647255897762111,-178.983445597475,-231.03265654100457,-84.05920750157286,-0.13712115227478683,-0.181043206553549,-0.06155502833690363,-17.80794185386842,-23.512104747214156,-7.994159524273199,0.8655
25013800101,25013800101,Census Tract 8001.01; Hampden County; Massachusetts,2652,1800,693,Springfield city,Massachusetts,111739,0.700280167113143,0.245764610495131,25013,2652,1800,693,0.013955,0.00798440667,0.00293016251099999,0.7826682709605634,0.6897501993680408,0.8329009248945639,-0.27768051561960844,-0.4498002333543572,-0.2006229914159226,-10.276583791190776,-16.646503904132064,-7.424788077494798,-387.5031595471636,-627.6962256460055,-279.96938452091996,0.7637223511303459,0.6646010424503008,0.8178104935060923,-0.30937637024757986,-0.5046620997059006,-0.22277716896591832,-11.4496048985268,-18.676868062901775,-8.244684502022222,-431.73472468049766,-704.2559601395843,-387.5031595471636,-1.1730211073360213,-2.0303641587697108,-0.8198964245274247,-44.231565133334136,-76.55973449357884,-30.91615477101903,0.8586729599440643,0.8152949896237739,0.9038781618638044,-0.16458773788002126,-0.2265499147265214,-0.10634379963112688,-0.8680838747513991,-1.1948905206034195,-0.5608883069215626,-48.22688193063328,-66.38280670018997,-31.16046149564236,0.8456887740294086,0.7988150723738564,0.8947895081346012,-0.18246810258028243,-0.25185419577559787,-0.11758127571783306,-0.9623901485412828,-1.3283527008594804,-0.6201580429871082,-53.466119363404594,-73.79737226997113,-34.4532246103949,-0.09430627378988354,-0.13346218025606094,-0.05926973606554564,-5.239237432771308,-7.414565569781163,-3.2927631147525354,0.8152949896237739,0.7736882783046811,0.9038781618638044,-0.2265499147265214,-0.29251021120704707,-0.10634379963112688,-1.2535445886096452,-1.618515693613426,-0.5884208551599237,-180.88666502303684,-233.5520481404655,-84.9092143087913,0.7988150723738564,-0.25185419577559787,-1.3935580801883911,0.7540890228561343,-0.3261033773074572,-1.8043931927520491,0.8947895081346012,-0.11758127571783306,-0.6505999884212426,-201.09063206181693,-260.3741980883188,-93.88167221085752,-0.1400134915787461,-0.18587749913862317,-0.06217913326131885,-20.2039670387801,-26.822149947853273,-8.972457902066212,0.757
25013801300,25013801300,Census Tract 8013; Hampden County; Massachusetts,3141,2130,887,Springfield city,Massachusetts,72885,0.6451338071896149,0.22131200394674228,25013,3141,2130,887,0.013955,0.00798440667,0.00293016251099999,0.8004873951431555,0.7136920273038017,0.8470094415014058,-0.24923890877902533,-0.4011645944509394,-0.18062438386448648,-10.92480310108749,-17.584109266782942,-7.917246302519604,-347.8128972011299,-559.825191556286,-252.06132768289092,0.7828705344527578,0.6900203987634093,0.8330615240483648,-0.2773504123501341,-0.4492325180416514,-0.20039153307714563,-12.157004938651166,-19.69105397810098,-8.783692934291613,-387.04250043461207,-626.9039789271245,-347.8128972011299,-1.232201837563677,-2.1069447113180395,-0.8664466317720096,-39.22960323348224,-67.07878737083857,-27.58505672626583,0.8707768530974701,0.8307341834998737,0.9123090372896878,-0.14839984140927245,-0.20375448592594483,-0.09611980055664784,-0.9261999386232443,-1.2716819005106377,-0.599907335012038,-43.48356519357955,-59.703375610828054,-28.164663615588637,0.8588109314712056,0.8154705651378166,0.9039744894777306,-0.16440064204460844,-0.22628583145854872,-0.1062259075228416,-1.0260648739603315,-1.412305574034947,-0.6629820361904165,-48.1720598103442,-66.30542601103038,-31.125917192038333,-0.09986493533708708,-0.14062367352430938,-0.06307470117837854,-4.688494616764651,-6.602050400202318,-2.961253576449697,0.8307341834998737,0.7921422929893107,0.9123090372896878,-0.20375448592594483,-0.2623994563227975,-0.09611980055664784,-1.443023646028477,-1.8583572207408203,-0.6807366445183253,-162.68586764695348,-209.51039692681175,-76.74595766835685,0.8154705651378166,-0.22628583145854872,-1.602594436495405,0.7738976382325152,-0.29216055276234476,-2.0691303269074717,0.9039744894777306,-0.1062259075228416,-0.7523097991177833,-180.67581020241315,-233.27286661865523,-84.81508445521796,-0.15957079046692768,-0.21077310616665135,-0.07157315459945801,-17.989942555459717,-23.76246969184345,-8.069126786861105,0.9681
25013802200,25013802200,Census Tract 8022; Hampden County; Massachusetts,2169,1279,593,Springfield city,Massachusetts,46797,0.6571032453086292,0.20517120777105027,25013,2169,1279,593,0.013955,0.00798440667,0.00293016251099999,0.7965856230630982,0.7084258506338398,0.843927040192278,-0.25535783103229465,-0.4115803356205653,-0.1849365553829899,-7.729271696028753,-12.45787617279584,-5.597732708271715,-356.3518532055672,-574.3603583584988,-258.0789630369624,0.7786740654389868,0.6844218098394305,0.8297273246115893,-0.28423437274264185,-0.4610872792534272,-0.20521521991350417,-8.603318266751517,-13.95637189791804,-6.211535336353809,-396.6490671623567,-643.4472981981577,-356.3518532055672,-0.874046570722764,-1.4984957251222006,-0.6138026280820945,-40.29721395678949,-69.08693983965885,-28.29887635233262,0.8681353055554163,0.8273584749900927,0.9104724711992443,-0.15189417317870652,-0.20866592925391209,-0.0983308464920777,-0.5692504286042244,-0.78201268144195,-0.3685123355243908,-44.50746118875875,-61.14250832227913,-28.812536006598187,0.8559455934250736,0.8118262537615533,0.9019729244610444,-0.1682985550500838,-0.23179066378619048,-0.10868072963224432,-0.6307287672122651,-0.8686767368719827,-0.4073003633351208,-49.314211666322535,-67.91843134261006,-31.845219963652916,-0.06147833860804075,-0.08666405543003264,-0.03878802781072993,-4.806750477563781,-6.775923020330934,-3.032683957054725,0.8273584749900927,0.78809983232405,0.9104724711992443,-0.20866592925391209,-0.2688747782765942,-0.0983308464920777,-0.9879816669406534,-1.2730557048283808,-0.4655722856926681,-166.60736373366836,-214.68055730664096,-78.51134665980912,0.8118262537615533,-0.23179066378619048,-1.0974715767330647,0.7695544584282746,-0.29945319534940196,-1.417836961548243,0.9019729244610444,-0.10868072963224432,-0.5145764275476619,-185.07109219781867,-239.09560903005777,-86.77511425761583,-0.10948990979241136,-0.14478125671986186,-0.04900414185499374,-18.46372846415031,-24.41505172341684,-8.263767597806702,0.9088
25013812201,25013812201,Census Tract 8122.01; Hampden County; Massachusetts,3435,1928,915,Springfield city,Massachusetts,143707,0.6804991755057115,0.2526975837998603,25013,3435,1928,915,0.013955,0.00798440667,0.00293016251099999,0.7890138995576533,0.698244320270834,0.8379344124624515,-0.2674047954803233,-0.43216345764491343,-0.19341082682269095,-12.818162518387378,-20.715939011678422,-9.271230183347091,-373.1633920927912,-603.0841051434768,-269.9048088310652,0.7705363287335893,0.6736094215657861,0.8232486536415246,-0.2977973428501994,-0.4845398059836043,-0.21469983045418992,-14.275042193395018,-23.22662152924162,-10.291727620249535,-415.5761919474532,-676.1752992501199,-373.1633920927912,-1.4568796750076398,-2.5106825175631933,-1.0204974369024455,-42.412799854662,-73.09119410664319,-29.708804567756783,0.8629951507908372,0.8207997427228045,0.9068933167961056,-0.15875506262533848,-0.2183239686244808,-0.10266553020020468,-0.8968634403010398,-1.2333892372480215,-0.5799938540101065,-46.5178132936224,-63.972470811619374,-30.082668776457805,0.8503724681784242,0.8047499026167313,0.89807337593383,-0.17595528714857356,-0.24262208264753052,-0.1134947620067071,-0.9940335858369012,-1.3706578684032282,-0.6411720106823022,-51.557758601499025,-71.09221309145374,-33.255809682692025,-0.09717014553586144,-0.1372686311552067,-0.06117815667219573,-5.039945307876631,-7.119742279834373,-3.1731409062342184,0.8207997427228045,0.7802577546754318,0.9068933167961056,-0.2183239686244808,-0.2816277621181421,-0.10266553020020468,-1.59501642644515,-2.057496982816639,-0.7500468598602845,-174.31873513061748,-224.86305823132668,-81.97233441096006,0.8047499026167313,-0.24262208264753052,-1.772531938106914,0.7611353680859906,-0.31382674085251977,-2.2927340954418063,0.89807337593383,-0.1134947620067071,-0.8291623263204195,-193.7193374980234,-250.572032288722,-90.61883347764147,-0.17751551166176394,-0.2352371126251671,-0.07911546646013501,-19.400602367405895,-25.708974057395313,-8.646499066681422,0.6033
25013800500,25013800500,Census Tract 8005; Hampden County; Massachusetts,2247,1574,543,Springfield city,Massachusetts,68142,0.6781641561627092,0.2292263102096059,25013,2247,1574,543,0.013955,0.00798440667,0.00293016251099999,0.7897663473253653,0.6992538746396764,0.8385305871856764,-0.26619727896309475,-0.4300957581612219,-0.1925623409352977,-8.347117463758682,-13.486463227649248,-6.038155180038923,-371.4783027929987,-600.1986305139852,-268.720746775208,0.7713446764404284,0.6746808286664211,0.8238929752443311,-0.2964372874325929,-0.4821823260883329,-0.2137498801994799,-9.295349931735762,-15.119735748184356,-6.70253041217887,-413.6782346121835,-672.8854360562685,-371.4783027929987,-0.9482324679770802,-1.6332725205351082,-0.664375232139947,-42.1999318191847,-72.68680554228341,-29.567211043166303,0.8635067912719142,0.8214519913402342,0.9072498995843586,-0.15806848319865122,-0.2173565960543319,-0.10223214183670153,-0.7290238248882914,-1.002465094961957,-0.47150238656146226,-46.31663436393211,-63.68901492769738,-29.95567894291374,0.8509270572287954,0.8054533746306637,0.8984618099174723,-0.17518886196507705,-0.24153679343456053,-0.11301336235076533,-0.8079843093521706,-1.1139859979526836,-0.521226192705975,-51.33318356748224,-70.77420571491001,-33.11475176022713,-0.07896048446387915,-0.11152090299072692,-0.04972380614451277,-5.016549203550137,-7.085190787212638,-3.1590728173133904,0.8214519913402342,0.7810369111320822,0.9072498995843586,-0.2173565960543319,-0.2803492200522757,-0.10223214183670153,-0.9423566562304538,-1.2154632451054752,-0.4432308063769546,-173.54634553047032,-223.84221825146872,-81.62629951693455,0.8054533746306637,-0.24153679343456053,-1.0471906956102792,0.7619714769843213,-0.3123850829137748,-1.3543557800165087,0.8984618099174723,-0.11301336235076533,-0.4899731417748495,-192.85279845493173,-249.42095396252464,-90.23446441525776,-0.10483403937982538,-0.13889253491103348,-0.04674233539789491,-19.306452924461396,-25.578735711055888,-8.608164898323189,0.9128
25013800800,25013800800,Census Tract 8008; Hampden County; Massachusetts,1109,725,337,Springfield city,Massachusetts,56063,0.6326116586032171,0.25534279146164207,25013,1109,725,337,0.013955,0.00798440667,0.00293016251099999,0.8045897956264074,0.7192432840633486,0.8502462290757515,-0.24286935459013295,-0.39035013903852217,-0.17612988544158112,-3.758669204225584,-6.041095835023378,-2.7258028394330265,-338.92418433053064,-544.7336190282576,-245.78925513372647,0.7872849914444268,0.6959265363698527,0.8365640276210661,-0.27018806514437216,-0.436933279216912,-0.19536576637618064,-4.181456164040492,-6.762020937822456,-3.0234991601855774,-377.0474449089714,-609.7403911472006,-338.92418433053064,-0.4227869598149079,-0.720925102799078,-0.2976963207525509,-38.12326057844074,-65.006772118943,-26.843671844233626,0.8735489822364554,0.8342805143165353,0.9142343754612716,-0.14475549778537364,-0.19863760790245297,-0.09381141952298168,-0.3075139213320879,-0.4219793421641016,-0.19928996082770245,-42.41571328718454,-58.2040471950485,-27.48827045899344,0.861818848749264,0.8193006703945964,0.9060732345982632,-0.16033665479848216,-0.2205531328546016,-0.10366354706789475,-0.34061402989650397,-0.4685359781412631,-0.22021950354733116,-46.98124550296607,-64.62565215741559,-30.375103937562915,-0.03310010856441608,-0.04655663597716147,-0.02092954271962871,-4.56553221578153,-6.4216049623671,-2.8868334785694776,0.8342805143165353,0.7963936169862645,0.9142343754612716,-0.19863760790245297,-0.25566049083144154,-0.09381141952298168,-0.534483159768377,-0.687917199620262,-0.25242261250761305,-158.600344144919,-204.12973282500357,-74.9028523761463,0.8193006703945964,-0.2205531328546016,-0.5934522500030891,0.77846761031260725,-0.28457496079821815,-0.7657186664928388,0.9060732345982632,-0.10366354706789475,-0.2789321759092834,-176.0985905053677,-227.21622151122813,-82.76919166447578,-0.05896909023471208,-0.07780146687257683,-0.02650956340167032,-17.49824636044869,-23.086488686224577,-7.866339288329472,0.9875
25013801800,25013801800,Census Tract 8018; Hampden County; Massachusetts,2448,1281,474,Springfield city,Massachusetts,63358,0.6400617123434035,0.2218792657580327,25013,2448,1281,474,0.013955,0.00798440667,0.00293016251099999,0.8021465456015909,0.7159353818984776,0.8483190145694349,-0.24665499774735508,-0.39677410180267336,-0.17880182198621458,-8.426188568245504,-13.55453338192664,-6.108199234401544,-344.20704935643397,-553.6982590656307,-249.51794258176244,0.7846556193826694,0.6924066154682901,0.8344784423239177,-0.27444445091306885,-0.444238078695533,-0.19835330582672164,-9.375527420980111,-15.175990166304206,-6.776113897123532,-382.9872312491876,-619.9342388196163,-344.20704935643397,-0.9493388527346074,-1.6214567843775676,-0.6679146627219881,-38.78018189275357,-66.2359797539856,-27.28409569942762,0.8718986421257179,0.8321688043895465,0.913088406255026,-0.14692230459490882,-0.20167926834696628,-0.09518420467240028,-0.5514784792897215,-0.7570108331672788,-0.35727754604630585,-43.05062289537248,-59.09530313561896,-27.89051881704183,0.8600280209926403,0.8170197866627716,0.904823999557462,-0.16275281222326302,-0.22396056536725495,-0.10518730768534798,-0.610898894027564,-0.8406445321568956,-0.39482457508977753,-47.68921889364278,-65.62408525814953,-30.82159056126288,-0.05942041473784254,-0.08363369898961681,-0.03754702904347168,-4.6385959982703,-6.528782122530585,-2.931071744221052,0.8321688043895465,0.7938615499158929,0.913088406255026,-0.20167926834696628,-0.25966549218304735,-0.09518420467240028,-0.7632771260149724,-0.982732296795944,-0.36023497496719,-161.02892953902372,-207.3274887755156,-75.99893986649577,0.8170197866627716,-0.22396056536725495,-0.8476031179373232,0.7757454634265885,-0.28908262715819744,-1.0940646435634784,0.904823999557462,-0.10518730768534798,-0.3980928062729792,-178.81922319352813,-230.81532564630348,-83.98582410822345,-0.0843259919223508,-0.11133234676753456,-0.03785783130578918,-17.79029365450439,-23.48783687078788,-7.986884241727675,0.9838
25013801604,25013801604,Census Tract 8016.04; Hampden County; Massachusetts,2548,1856,745,Springfield city,Massachusetts,147305,0.8439257833030736,0.1167546092251353,25013,2548,1856,745,0.013955,0.00798440667,0.00293016251099999,0.7380930764414454,0.6310898195620233,0.7972444792410053,-0.3548426775946492,-0.5845604999522899,-0.25432038231487353,-12.617261733743325,-20.785416447373557,-9.042956302899944,-495.182956583333,-815.7541776834205,-354.90409352040604,0.7160152046199625,0.6026987515282797,0.7793825404057848,-0.39661838679915656,-0.6592037024537926,-0.28306697694222266,-14.102694829669122,-23.43953017740834,-10.065108741906773,-553.480958778223,-919.9187667742676,-495.182956583333,-1.4854330959257975,-2.6541137300347835,-1.0221524390068275,-58.29800219489002,-104.16458909084707,-40.11587280246576,0.8279286927075965,0.7764126623655596,0.8822813432613057,-0.20783348712033917,-0.28797487273484007,-0.13342530434062405,-1.1302778164622178,-1.5661172550227906,-0.7256177228244609,-60.898589249041905,-84.38131761976243,-39.095782479766214,0.8124417391212455,0.7570104428298787,0.8713001830946837,-0.2308574902633899,-0.3209857399876421,-0.14771007673635544,-1.2554911319837851,-1.7456429487644218,-0.8033037664732323,-67.64499633533325,-94.05403818773824,-43.28145293498019,-0.12521331552156734,-0.1795256937416312,-0.07768604364877141,-6.746407086291344,-9.67272056797582,-4.185670455213977,0.7764126623655596,0.7276124643502788,0.8822813432613057,-0.28797487273484007,-0.3743579844979009,-0.13342530434062405,-1.7129848285190614,-2.2268246593526335,-0.7936648079934236,-229.93084946564585,-298.9026388392797,-106.53218899240586,0.7570104428298787,-0.3209857399876421,-1.9093461090825008,0.7048393518282228,-0.4187630094803662,-2.4909627537030103,0.8713001830946837,-0.14771007673635544,-0.8786361048303764,-256.28806833322153,-334.3574166044309,-117.93773219199684,-0.19636128056343916,-0.26413809435037683,-0.0849712968369527,-26.357218867575725,-35.45477776515125,-11.405543199590968,0.219
25013813401,25013813401,Census Tract 8134.01; Hampden County; Massachusetts,3418,2128,937,Springfield city,Massachusetts,157105,0.7990434255048451,0.1566232801285302,25013,3418,2128,937,0.013955,0.00798440667,0.00293016251099999,0.7517409702284663,0.648861531531518,0.8082182970105661,-0.33024544304946385,-0.541160866232406,-0.2372894844113219,-15.752109889207508,-25.812393818117886,-11.31827891245327,-460.8575157755269,-755.1899888273226,-331.1374754959997,0.7305922183344731,0.6213942496890207,0.7911913779866169,-0.3687526022104291,-0.609284283690192,-0.26391670564554,-17.58883168322747,-29.06175752746869,-12.58834917005504,-514.5942563846538,-850.2562178896632,-460.8575157755269,-1.8367217940199616,-3.249363709350799,-1.2700702576017695,-53.73674060912702,-95.06622906234053,-37.15828723235137,0.8374146707441178,0.7883580684780708,0.8889732969781852,-0.19415151768407712,-0.26845914310296215,-0.1248931811554058,-1.210609620960442,-1.6739463350684696,-0.7787571712167444,-56.88954985716363,-78.66289168554839,-36.59573173011017,0.8226869751494033,0.7698318383160991,0.878572463587348,-0.21552915046259968,-0.29898498636710313,-0.13821004122624617,-1.3439074093256638,-1.864286745405269,-0.8617929317147706,-63.153543671318786,-87.60745984047315,-40.497788144491096,-0.13329778836522177,-0.19034041033679935,-0.08303576049802619,-6.263993814155158,-8.944568154924783,-3.90205641438093,0.7883580684780708,0.7417062514117468,0.8889732969781852,-0.26845914310296215,-0.34824264740471406,-0.1248931811554058,-2.0084472935265074,-2.6053387289635075,-0.9343744778894916,-214.34869728137753,-278.0510916716657,-99.71979486547404,0.7698318383160991,-0.29898498636710313,-2.2368230030584577,0.7198717542296627,-0.38913632063547704,-2.9112802080778284,0.878572463587348,-0.13821004122624617,-1.0340030890010623,-238.72177193793573,-310.70226340211616,-110.3525175027815,-0.2283757095319503,-0.3059414791143209,-0.09962861111157084,-24.373074656558195,-32.651171730450464,-10.632722637307454,0.1356
25013802500,25013802500,Census Tract 8025; Hampden County; Massachusetts,4931,3305,1554,Springfield city,Massachusetts,119733,0.7626830875720737,0.16023823252941857,25013,4931,3305,1554,0.013955,0.00798440667,0.00293016251099999,0.7629822940292365,0.6636251408687511,0.8172191222371182,-0.31064640401954247,-0.5068747978578703,-0.2236620176758999,-21.37623297126518,-34.87912181204955,-15.390654244825884,-433.5070568092715,-707.343780410658,-312.1203456667184,0.7426187421047385,0.6369643315610467,0.8008890801087957,-0.3465859980395708,-0.5699466209500931,-0.24861235449003297,-23.84931208862874,-39.219226725213005,-17.10753944146537,-483.66076026422104,-795.3605095358548,-433.5070568092715,-2.473079117363561,-4.340104913163458,-1.7168851966394865,-50.15370345494952,-88.01672912519687,-34.81819502412262,0.8451791345788057,0.798169968253841,0.8944318168131362,-0.18318112585487475,-0.25286598064783516,-0.11802820651327409,-1.773960295757512,-2.448801467529083,-1.1430072348168423,-53.67504677027268,-74.0938416801538,-34.58418259657617,0.8310815546585177,0.7803778273397819,0.8845084038007445,-0.20325134686798457,-0.2814305647418056,-0.13057150808628454,-1.9683240711638383,-2.72542624429607,-1.264478914087238,-59.55594769028256,-82.4637290255997,-38.25957379991643,-0.19436377540632657,-0.27662477676698716,-0.12147167927039536,-5.88090092000988,-8.369887345445905,-3.675391203340254,0.798169968253841,0.7533239063647084,0.8944318168131362,-0.25286598064783516,-0.3274502395996813,-0.11802820651327409,-3.137502414166035,-4.06292659309544,-1.4644665997630515,-201.8984822500666,-261.44958771527934,-94.2385199332723,0.7803778273397819,-0.2814305647418056,-3.4919251456258915,0.7322846400689942,-0.3655892057298679,-4.536146035270655,0.8845084038007445,-0.13057150808628454,-1.6201009751982425,-224.70560782663395,-291.90128927095594,-104.25360200760892,-0.3544227314598567,-0.47321944217521494,-0.155634375435191,-22.807125576567355,-30.451701555676635,-10.015082074336616,0.4061
