geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
04013115600,04013115600,Census Tract 1156; Maricopa County; Arizona,2782,1864,534,Phoenix city,Arizona,72961,0.30952036536997085,0.16768845057087778,04013,2782,1864,534,0.010697,0.00781773244399999,0.00314654663299999,0.918025241942624,0.8784102213700957,0.9381755041776916,-0.08929466676091621,-0.1384202684256739,-0.06589864641210967,-2.6573248100501106,-4.119256242774124,-1.9610813771048776,-95.51850503415208,-148.06816113494338,-70.49178206703371,0.9102068193553838,0.8670958721458625,0.9322072972451002,-0.09865140398333697,-0.15327500928499457,-0.07272277631299792,-2.9357724583159395,-4.561319278162654,-2.164161027328426,-105.52740684097554,-163.95827743215867,-95.51850503415208,-0.2784476482658289,-0.44206303538852953,-0.20307965022354835,-10.008901806823468,-15.890116297215297,-7.29977175498017,0.9482075472328224,0.9312054710766592,0.9653408877295448,-0.05462143063333,-0.07387685216647245,-0.03590349555375463,-0.3203635898016382,-0.4332997742621221,-0.210579850960721,-17.186887864894754,-23.245696044105262,-11.29720230475971,0.9431781876667024,0.9245918709806208,0.9619417439857753,-0.06024504497275021,-0.08155828683568388,-0.03956399257249359,-0.3533470041235855,-0.47835264008643313,-0.23204926235811915,-18.95638434139407,-25.66269528360693,-12.448994761701671,-0.03298341432194729,-0.04505286582431106,-0.02146941139739816,-1.7694964764993182,-2.416999239501666,-1.1517924569419615,0.9312054710766592,0.9143350052269495,0.9653408877295448,-0.07387685216647245,-0.09369103696493312,-0.03590349555375463,-0.308411413798654,-0.39112907931573426,-0.14988521437128094,-57.75494640424232,-73.24514593927607,-28.06839220435973,0.9245918709806208,-0.08155828683568388,-0.34047886194865296,0.9061829398179142,-0.10352993425470704,-0.43220322005634415,0.9619417439857753,-0.03956399257249359,-0.16516657825791645,-63.760086507238384,-80.936932594821,-30.930070834815815,-0.03206744814999895,-0.04107414074060989,-0.0152813638866355,-6.00514010299606,-7.691786655544923,-2.8616786304560877,0.6131
04013114302,04013114302,Census Tract 1143.02; Maricopa County; Arizona,1299,738,260,Phoenix city,Arizona,54727,0.27330955715014704,0.16438965880879505,04013,1299,738,260,0.010697,0.00781773244399999,0.00314654663299999,0.9316962607253756,0.8983136565798879,0.9485804096538714,-0.07331116604616014,-0.11319692478822846,-0.05420688623001522,-1.0186881966113115,-1.572916888293124,-0.7532265295412123,-78.42095431957749,-121.08675044596798,-57.98510620024729,0.9251279194671812,0.8887319682267563,0.9435861688928728,-0.0809315976280778,-0.12519863777968002,-0.05978662359296614,-1.1245771644759852,-1.739685526999679,-0.8307592288335726,-86.57252998275483,-133.92498283292372,-78.42095431957749,-0.1058889678646735,-0.16676863870655478,-0.07753269929236029,-8.15157566317733,-12.83823238695572,-5.968645057148597,0.9569629547939048,0.9427472923390714,0.9712438731930264,-0.04497253001331039,-0.06072964422828267,-0.02960752453700003,-0.10443302421346444,-0.14102342928650555,-0.06875315500280141,-14.150816289087324,-19.10886575697907,-9.316145664336233,0.9527624634094174,0.9372054881835068,0.9684141386295156,-0.04957955251673666,-0.06700186096669326,-0.03261606797189492,-0.1151312280394421,-0.15558846626175832,-0.07573944839769485,-15.600437403718445,-21.082448002948283,-10.262797885866512,-0.01069820382597765,-0.01456503697525277,-0.00698629339489344,-1.449621114631118,-1.97358224596921,-0.9466522215302766,0.9427472923390714,0.9285972627425706,0.9712438731930264,-0.06072964422828267,-0.07689311623269769,-0.02960752453700003,-0.1234397085989659,-0.15629375046808217,-0.06018056334145211,-47.47681099960227,-60.11298094926237,-23.14637051594312,0.9372054881835068,-0.06700186096669326,-0.1361886817948007,0.9217436174837398,-0.08490037905539467,-0.1725693964408068,0.9684141386295156,-0.03261606797189492,-0.06629576012269396,-52.380262228769496,-66.37284478492569,-25.498369277959217,-0.0127489731958348,-0.01627564597272463,-0.00611519678124184,-4.903451229167231,-6.259863835663319,-2.3519987620160947,0.9365
04013108400,04013108400,Census Tract 1084; Maricopa County; Arizona,4538,2516,984,Phoenix city,Arizona,79858,0.4604632153431104,0.23747862799269728,04013,4538,2516,984,0.010697,0.00781773244399999,0.00314654663299999,0.863165982841618,0.8000843897030695,0.8960184822870774,-0.15852572955657077,-0.2498681549969047,-0.11604840722426948,-7.695312270504401,-12.129346349860576,-5.633336207210012,-169.57497290666373,-267.28396540018895,-124.13698120780106,0.8505576367060955,0.78243699551469,0.8862345249708196,-0.17569927873746582,-0.27805817686598033,-0.12836949117156807,-8.528967627962901,-13.497774186790808,-6.2314384127685525,-187.9455184654672,-297.4388317935392,-169.57497290666373,-0.8336553574585004,-1.3684278369302303,-0.5981022055585408,-18.37054555880345,-30.154866393350165,-13.179863498425314,0.9125656974702382,0.8845965959497142,0.9411186039724254,-0.0958115155677472,-0.13045879283131,-0.06256533000095682,-0.7585121107082021,-1.032804603126765,-0.4953116567979241,-30.1475401712322,-41.0494675328603,-19.686472845704458,0.9042542403740949,0.8738155927661653,0.9354246163157754,-0.105883672258252,-0.1444062205783983,-0.06903323106736113,-0.8382504676836376,-1.1432223623773594,-0.5465161624427722,-33.316791243387826,-45.43809071452144,-21.721628078011616,-0.07973835697543552,-0.11041775925059438,-0.05120450564484818,-3.1692510721556246,-4.388623181661144,-2.0351552323071616,0.8845965959497142,0.8572052576912453,0.9411186039724254,-0.13045879283131,-0.1665817387697213,-0.06256533000095682,-1.0035736663252484,-1.281454800337855,-0.4812931060545579,-101.9891937322407,-130.22914637579828,-48.91190102180467,0.8738155927661653,-0.1444062205783983,-1.1108663285994662,0.84409885031246,-0.18469537025175436,-1.4207966044613527,0.9354246163157754,-0.06903323106736113,-0.5310483969457865,-112.89291957311649,-144.38989882737326,-53.968333022945785,-0.10729266227421784,-0.13934180412349773,-0.04975529089122865,-10.9037258408758,-14.160752451574972,-5.056432001141124,0.5092
04013116100,04013116100,Census Tract 1161; Maricopa County; Arizona,2771,1682,329,Phoenix city,Arizona,77288,0.35454494458691765,0.20468149186635268,04013,2771,1682,329,0.010697,0.00781773244399999,0.00314654663299999,0.9013061199279164,0.8542762052720797,0.9253970662050256,-0.10950095410422464,-0.1705815915609033,-0.08061721451194435,-3.245760157472561,-5.056274970532669,-2.3896060542105584,-117.1331706052891,-182.47112849269823,-86.23623436342686,0.8919891094049431,0.8409266980111201,0.9182499854801152,-0.12108992078066091,-0.18916429025871695,-0.08902805969241712,-3.5892732036589123,-5.607091934138959,-2.6389151712020364,-129.52988825907298,-202.3490412897495,-117.1331706052891,-0.34351304618635137,-0.5508169636062901,-0.2493091169914781,-12.39671765378388,-19.87791279705125,-8.997081089551717,0.9374326997216316,0.9170512347866904,0.95805111949906685,-0.06674324492515306,-0.09045161498812436,-0.04378563904070884,-0.35323805222434373,-0.4787143977608762,-0.23173511967365143,-21.00107325947347,-28.4610224590295,-13.777355509729574,0.9313954423804396,0.9091445925707838,0.9539542582908646,-0.07365781975937367,-0.09993504682495528,-0.0482682909677792,-0.38983338032291914,-0.5289053795478889,-0.255459516611405,-23.17677647579781,-31.44502851057603,-15.187842842532994,-0.03659532809857541,-0.05019098178701264,-0.02372439693775355,-2.1757032163243406,-2.9840060515465305,-1.4104873328034215,0.9170512347866904,0.8969064272489542,0.95805111949906685,-0.09045161498812436,-0.1149435098455707,-0.04378563904070884,-0.23264462675949776,-0.295638612422347,-0.1126181511893316,-70.71265251048564,-89.85976061469515,-34.230441090982254,0.9091445925707838,-0.09993504682495528,-0.25703633563466083,0.8872006469036101,-0.12714074712419024,-0.32701032109282274,0.9539542582908646,-0.0482682909677792,-0.12414768423971384,-78.12654578561119,-99.39523437471816,-37.73485843152396,-0.02439170887516306,-0.03137170867047573,-0.01152953305038222,-7.413893275125552,-9.535473760023018,-3.5044173405417087,0.8766
04013108602,04013108602,Census Tract 1086.02; Maricopa County; Arizona,4971,2347,638,Phoenix city,Arizona,66837,0.3632904499858836,0.20352502115865465,04013,4971,2347,638,0.010697,0.00781773244399999,0.00314654663299999,0.8980941131890144,0.8496659311905873,0.92293526307865,-0.11346905108767624,-0.1769331490068789,-0.08349961259935368,-6.033692622679302,-9.408382511680047,-4.440074114553148,-121.37784394848728,-189.26538949265836,-89.31953559752863,0.8884930493052632,0.8359359933826604,0.9155632741987532,-0.12550120767059136,-0.196263838279586,-0.09222380165384075,-6.673499986126462,-10.436287796319434,-4.903981009273231,-134.24864184523156,-209.94342780767315,-121.37784394848728,-0.6398073634471597,-1.0279052846393864,-0.4639068947200826,-12.870797896744312,-20.678038315014813,-9.332265031584845,0.9353540542646896,0.9143269932076532,0.956641563799818,-0.06911387772422764,-0.09370062070658956,-0.0453235964659119,-0.5104021821121039,-0.6919739254788911,-0.3347122647303088,-21.747003924674218,-29.48333725943294,-14.261280985526575,0.9291239100057986,0.9061742051777932,0.952410491011345,-0.07628271022942357,-0.1035405712125716,-0.04996743467002414,-0.5633436155019068,-0.7646414182531791,-0.3690067542134761,-24.002710502850736,-32.57952357278139,-15.722486332061187,-0.05294143338980295,-0.07266749277428797,-0.03429448948316732,-2.2557065781765213,-3.0961863133484435,-1.461205346534611,0.9143269932076532,0.8935598573119803,0.956641563799818,-0.09370062070658956,-0.119119208206392,-0.0453235964659119,-0.467351832048298,-0.5941324589697717,-0.2260611048638662,-73.25263825208432,-93.12420986987016,-35.432775057032316,0.9061742051777932,-0.1035405712125716,-0.5164306840511629,0.8835599360965923,-0.1317851332393123,-0.6573064617040504,0.952410491011345,-0.04996743467002414,-0.24922323843418415,-80.94524828388133,-103.02609117618346,-39.06320351632981,-0.04907885200286488,-0.06317400273427864,-0.02316213357031799,-7.692610031797003,-9.901881306313268,-3.63042845929749,0.7754
04013116712,04013116712,Census Tract 1167.12; Maricopa County; Arizona,4526,2870,754,Phoenix city,Arizona,70350,0.33714497336483673,0.175540679902286,04013,4526,2870,754,0.010697,0.00781773244399999,0.00314654663299999,0.9077309017360632,0.8635232904018739,0.9303145916195624,-0.10164807443204722,-0.1580463562651696,-0.07490520841893282,-4.921253100655431,-7.651754597055518,-3.62650735143385,-108.73294521996092,-169.06218729685193,-80.12610144573244,0.8989858010141881,0.8509449418900672,0.9236189100514404,-0.11236462118962616,-0.17516416253542888,-0.08269762465593711,-5.440090661068941,-8.48050671709935,-4.003774238015075,-120.19643528654308,-187.3731046641483,-108.73294521996092,-0.5188375604135098,-0.8287521200438324,-0.377266886581225,-11.463490066582189,-18.31091736729634,-8.335547648723486,0.941582100484806,0.9224955225409514,0.9608617373647572,-0.06204227914391701,-0.08401610150428462,-0.04073246036686047,-0.5602783134411026,-0.7587148683484869,-0.36783810188070265,-19.521892454393814,-26.4360581306093,-12.816658602115076,0.9359313902679042,0.9150834347334555,0.9570331683279844,-0.06845438714664395,-0.09279652766447329,-0.04489586473484742,-0.6181834243903073,-0.8380072868122429,-0.4054360948889552,-21.539492139035097,-29.19886016767397,-14.126693201705756,-0.0579051109492047,-0.07929241846375601,-0.03759799300825256,-2.017599684641279,-2.7628020370646693,-1.3100345995906817,0.9224955225409514,0.9036020511386678,0.9608617373647572,-0.08401610150428462,-0.10668186148964252,-0.04073246036686047,-0.4952388135215261,-0.6288437283144349,-0.24010034960819768,-65.6815402548443,-83.40102497538925,-31.84354769339492,0.9150834347334555,-0.09279652766447329,-0.5469956524598745,0.8944888449057122,-0.11795692667962748,-0.695305392294181,0.9570331683279844,-0.04489586473484742,-0.2646418291876453,-72.54584250130961,-92.21556926978528,-35.09838583390521,-0.05175683893834842,-0.06646166397974607,-0.0245414795794476,-6.864302246465309,-8.814544294396029,-3.254838140510292,0.4957
04013218000,04013218000,Census Tract 2180; Maricopa County; Arizona,3773,2222,915,Phoenix city,Arizona,9169,0.3815331539686224,0.21843426863201632,04013,3773,2222,915,0.010697,0.00781773244399999,0.00314654663299999,0.8914308160380253,0.8401290435932371,0.9178211183766146,-0.12179204713217306,-0.19029333365621284,-0.08953692607197611,-4.915500349796183,-7.680197272124679,-3.613690727678146,-130.28095281728554,-203.55677901205087,-95.77764981919285,0.8812444757265934,0.8256207484759487,0.9099841981829752,-0.13475888648889597,-0.2112098706893522,-0.0989201812479438,-5.4388391464957,-8.524384126060573,-3.9923968516473183,-144.15158087717202,-225.93119867640004,-130.28095281728554,-0.5233387966995169,-0.8441868539358941,-0.3787061239691729,-13.87062805988648,-22.37441966434917,-10.03726806173265,0.9310329227131384,0.908670375387202,0.9537079696103906,-0.07407587380034154,-0.10050908127590352,-0.04853899921641699,-0.5179108510530406,-0.7027219680522001,-0.33936655895811363,-23.30831912929976,-31.62565112746175,-15.273022455360648,0.9244034175456196,0.9000093189745272,0.9491983027502592,-0.08177877863660082,-0.1110996063234128,-0.05352063641764339,-0.5717666855462037,-0.7767669648785323,-0.3741963062180475,-25.73207405698486,-34.958009220456,-16.8405178315953,-0.05385583449316311,-0.07404499682633214,-0.03482974725993387,-2.4237549276851085,-3.332358092994246,-1.5674953762346475,0.908670375387202,0.8866192087973378,0.9537079696103906,-0.10050908127590352,-0.1278799174185032,-0.04853899921641699,-0.7189640916306463,-0.9147538460948856,-0.34721039171072837,-78.57531056072638,-99.9730979338673,-37.94649089734736,0.9000093189745272,-0.1110996063234128,-0.794720502136207,0.8760136023743434,-0.14153478586360344,-1.0124301949714438,0.9491983027502592,-0.05352063641764339,-0.3828451644073509,-86.85469968701716,-110.6481087400485,-41.84100157457386,-0.0757564105055607,-0.09767634887655809,-0.03563477269662246,-8.279389126290788,-10.67501080618121,-3.894510677226499,0.3204
04013115300,04013115300,Census Tract 1153; Maricopa County; Arizona,1651,1012,516,Phoenix city,Arizona,115157,0.31503617784326593,0.1685086217939402,04013,1651,1012,516,0.010697,0.00781773244399999,0.00314654663299999,0.9159604823886416,0.875417377777168,0.9366006243904316,-0.0917501565047874,-0.14231225628530272,-0.06769093886824021,-1.6203763012414545,-2.513340753253891,-1.1954725455444566,-98.14514241317109,-152.23142054838831,-72.40899730735654,0.9079551803843476,0.8638467025723525,0.930486094493904,-0.1013759507123346,-0.15761279984308765,-0.07470708688441484,-1.790375017415011,-2.783559781990411,-1.3193829605726688,-108.44185447698432,-168.59841199215086,-98.14514241317109,-0.16999871617355655,-0.2702190287365198,-0.1239104150282122,-10.296712063813237,-16.366991443762558,-7.505173532902011,0.9468809280595446,0.9294598073130698,0.9644448694111472,-0.05609899868752558,-0.07589375262051562,-0.03686590256896845,-0.1786363328201239,-0.24166887055510416,-0.11739228498010444,-17.651811543490503,-23.880323177381833,-11.600028160089373,0.9417267482895242,0.9226854574920604,0.9609596399800108,-0.06187915105556745,-0.08379295661393332,-0.04062643049275339,-0.19704210201967567,-0.2668223468487192,-0.1293669535747151,-19.470563440679413,-26.365844550268697,-12.783295807778172,-0.01840576919955178,-0.02515347629361503,-0.01197466859461064,-1.8187518971889112,-2.485521372886861,-1.1832676476887989,0.9294598073130698,0.912181815401707,0.9644448694111472,-0.07589375262051562,-0.09627267625327483,-0.03686590256896845,-0.30615159891369054,-0.3883591567018226,-0.14871520549683606,-59.3317052158315,-75.26340246159351,-28.820776259076755,0.9226854574920604,-0.08379295661393332,-0.3380165923977063,0.9038358248497492,-0.10639562241985352,-0.4291946147942915,0.9609596399800108,-0.04062643049275339,-0.16388498689350828,-65.50709154994308,-83.17725092912626,-31.760656374710905,-0.03186499348401578,-0.04083545809246897,-0.01516978139667221,-6.175386334111586,-7.913848467532746,-2.9398801156341503,0.9996
04013103303,04013103303,Census Tract 1033.03; Maricopa County; Arizona,2396,1781,732,Phoenix city,Arizona,79086,0.33203736426268665,0.17554083058018172,04013,2396,1781,732,0.010697,0.00781773244399999,0.00314654663299999,0.909625520479049,0.8662566463837829,0.9317630431004432,-0.09935350040899887,-0.15439229721876677,-0.07323423847387024,-2.546431407724646,-3.957076430424559,-1.876994410896156,-106.2784393875061,-165.15344033491482,-78.338664895499,0.9010500188149808,0.853908305552363,0.9252008624531068,-0.10981630222388054,-0.17108592749093302,-0.08084637680575489,-2.8145931437936853,-4.384934374623743,-2.0720936076880196,-117.47049848888504,-183.01061663705104,-106.2784393875061,-0.26816173606903915,-0.4278579441991841,-0.1950991967918636,-11.19205910137893,-17.85717630213623,-8.142704373617011,0.94280360408095365,0.9240997732732574,0.9616883339662818,-0.06066628900384983,-0.08213423368549921,-0.03983792324453987,-0.33997385648237183,-0.4602802088901712,-0.2232517040697093,-19.088930740166862,-25.843919645714273,-12.535188325081934,0.9372670671609744,0.9168340838113828,0.9579388405876964,-0.06693175833975096,-0.0907098870527228,-0.04390797995673622,-0.3750855438424339,-0.5083381665299739,-0.2460603000670604,-21.060389884471302,-28.54228896855552,-13.815850649469985,-0.03511168736006209,-0.04805795763980269,-0.02280859599735113,-1.971459144304441,-2.698369322841252,-1.280662324388048,0.9240997732732574,0.9055769659792224,0.9616883339662818,-0.08213423368549921,-0.10426836985487548,-0.03983792324453987,-0.4700197352426219,-0.5966841035009346,-0.22797570873690823,-64.21034634462048,-81.51422178974516,-31.144222505042105,0.9168340838113828,-0.0907098870527228,-0.5190945989666692,0.8966395764526561,-0.11527533053611698,-0.6596723181963187,0.9579388405876964,-0.04390797995673622,-0.2512669344834598,-70.91456270036466,-90.11916915250256,-34.32608394582785,-0.04907486372404729,-0.06298821469538407,-0.02329122574655159,-6.704216355744165,-8.604947362757386,-3.1818614407857373,0.73
04013104900,04013104900,Census Tract 1049; Maricopa County; Arizona,2733,2282,1030,Phoenix city,Arizona,79816,0.380345672063362,0.19135284271459244,04013,2733,2282,1030,0.010697,0.00781773244399999,0.00314654663299999,0.8918630452659324,0.8407465629927484,0.9181531520958636,-0.12124838595798496,-0.18941907587509835,-0.08914291446618156,-3.544684559891481,-5.53764793071999,-2.6060842792702856,-129.6993984592565,-202.62158546359277,-95.3561756044744,0.8817145062999824,0.8262883139201054,0.9103463232049742,-0.13415396123671555,-0.210231323804842,-0.09848304377106744,-3.921977775513217,-6.1460919385335,-2.879142034825823,-143.50449233491463,-224.8844470740395,-129.6993984592565,-0.3772932156217359,-0.6084440078135103,-0.2730577555555378,-13.805093875658102,-22.26286161044677,-9.991136317436435,0.9313135919704212,0.9090375173843804,0.953898653565437,-0.07375218038454273,-0.10006460775936991,-0.04832939669455195,-0.5295715880428236,-0.7185058524604367,-0.34702533841358163,-23.206467486539157,-31.48579546277111,-15.207070044416373,0.9247099599644004,0.9004093338673342,0.949407065360754,-0.08142016772318328,-0.11060599039429704,-0.05328898054916188,-0.5846309532147203,-0.7941974010090864,-0.3826372306210125,-25.61923546076776,-34.80269066648056,-16.76762623229678,-0.05505936517189669,-0.07569154854864968,-0.03561189220743088,-2.4127679742286015,-3.3168952037094517,-1.5605561878804068,0.9090375173843804,0.8870693551220198,0.953898653565437,-0.10006460775936991,-0.12730757096489503,-0.04832939669455195,-0.8057466804938571,-1.0251142237360649,-0.3891610813140834,-78.22783305765603,-99.52565278990922,-37.782629253794504,0.9004093338673342,-0.11060599039429704,-0.8906286807944355,0.8765028527078349,-0.14089759880488428,-1.1345447213423985,0.949407065360754,-0.05328898054916188,-0.4290969619112737,-86.4688039606248,-110.14997294586392,-41.659899214686774,-0.08488200030057835,-0.1094304976063336,-0.03993588059719033,-8.240970902968773,-10.624320155954718,-3.8772699608922654,0.2868
04013106600,04013106600,Census Tract 1066; Maricopa County; Arizona,2289,1942,782,Phoenix city,Arizona,80045,0.5468051292713797,0.21748433337475817,04013,2289,1942,782,0.010697,0.00781773244399999,0.00314654663299999,0.8332723284052139,0.7584620779381325,0.8727611988681189,-0.20008785352788977,-0.31845748006081553,-0.14578879228006092,-4.899237731670958,-7.797569291377934,-3.569701705524349,-214.03397691878365,-340.6539664210544,-155.95027110198117,0.8182116443458387,0.7377806466478182,0.8609639619113296,-0.2221776687124776,-0.35541641617139497,-0.16148880120372525,-5.440116421355567,-8.702524845264808,-3.954123222124134,-237.6634522217373,-380.1889403785412,-214.03397691878365,-0.5408786896846092,-0.9049555538868734,-0.3844215165997849,-23.629475302953654,-39.53497395748683,-16.794299545643725,0.892783575197155,0.858992027808374,0.927537293093356,-0.12009229087706748,-0.16415515816996892,-0.07812376650105304,-0.733835179393494,-1.003085452565297,-0.4773825845647456,-37.787599350849334,-51.65218602292982,-24.582007444116662,0.8827156186557675,0.8460344479354254,0.9205863225309088,-0.13286768565717408,-0.1819849681538337,-0.08626423782917425,-0.8119004244797001,-1.1120361746516536,-0.5271256962481964,-41.807436893908346,-57.26241888010575,-27.143444708969948,-0.07806524508620616,-0.1089507220863566,-0.0497431116834508,-4.01983754305902,-5.610232857175931,-2.5614372648532853,0.858992027808374,0.8261456202918886,0.927537293093356,-0.16415515816996892,-0.21044035753247253,-0.07812376650105304,-1.0035571047944984,-1.286520133095902,-0.4776070505458005,-128.33211058753176,-164.51664106085704,-61.07507040227627,0.8460344479354254,-0.1819849681538337,-1.1125590556678082,0.8105172557572291,-0.2337800249122961,-1.4292064140735006,0.9205863225309088,-0.08626423782917425,-0.5273735515122409,-142.27097898565322,-182.76296855159853,-67.43907308340675,-0.10900195087330976,-0.1426862809775986,-0.04976650096644042,-13.938868398121455,-18.24632749074151,-6.364002681130488,0.5604
