geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
40131050408,40131050408,Census Tract 504.08; Rogers County; Oklahoma,1990,1315,494,Tulsa city,Oklahoma,204624,0.8001018416541977,0.16082421293188814,40131,1990,1315,494,0.014525,0.00771700047899999,0.003791914842,0.751416238234515,0.648436731706882,0.8079577814121319,-0.3308203218359286,-0.54217050192036,-0.23768843249732757,-9.562278697587056,-15.671302815382523,-6.8703247192271295,-480.5165174666862,-787.5026540393229,-345.2424482023683,0.7302450699049206,0.620946765188442,0.7909108525256039,-0.36940328831004926,-0.6104440123728233,-0.264364999932312,-10.677509697779897,-17.644731566633364,-7.641404231793495,-536.5582762703465,-886.6699279715258,-480.5165174666862,-1.115231000192841,-1.9734287512508395,-0.7710795125663656,-56.04175880366035,-99.167273932203,-38.747714199314856,0.8371897259018285,0.7880742669262679,0.888814904407795,-0.1944723747329684,-0.26891594100681354,-0.12509364440314613,-0.9697108296032412,-1.3409138475596845,-0.6237629476105905,-73.74226841089288,-101.97063479541328,-47.43444468521601,0.8224438908282268,0.7695269982938606,0.8784002717761878,-0.2158884164036633,-0.2994995655995532,-0.13843316325247584,-1.0764990948456592,-1.4934150550798906,-0.6902786977661249,-81.8630490376927,-113.56768479694986,-52.49267663620722,-0.10678826524241793,-0.15250120752020613,-0.06651575015553446,-8.12078062679984,-11.597050001536587,-5.058231950991214,0.7880742669262679,0.7413707691922509,0.888814904407795,-0.26891594100681354,-0.3488527489282247,-0.12509364440314613,-1.0251608761067958,-1.3298958343063108,-0.47688177060679354,-207.52244455603153,-269.20968305795765,-96.53477137789342,0.7695269982938606,-0.2994995655995532,-1.1417517158488697,0.7195135954815112,-0.3898278035049253,-1.4861008651092629,0.8784002717761878,-0.13843316325247584,-0.5277346608416476,-231.12382911920437,-300.8301346375026,-106.82887871288412,-0.11659083974207383,-0.15620503080295212,-0.05085289023485401,-23.601384563172843,-31.62045157954497,-10.294107334990692,0.6554
40145030403,40145030403,Census Tract 304.03; Wagoner County; Oklahoma,1381,805,331,Tulsa city,Oklahoma,300997,0.7721028476338394,0.1624622392963965,40145,1381,805,331,0.011709,0.00771700047899999,0.003791914842,0.7600540060521087,0.6597684423976268,0.8148777305415129,-0.315695979545223,-0.5156832848293822,-0.22717797102574797,-5.1048447140276165,-8.338665238834853,-3.673497097444607,-369.6484224495016,-603.8135582067237,-266.0026862740483,0.7394841973766852,0.6328935835589461,0.7983653765589718,-0.35229394157102023,-0.5800444592544405,-0.2525593285496573,-5.69663848112186,-9.379393731879546,-4.0839169228013414,-412.5009761855076,-679.1740573410243,-369.6484224495016,-0.5917937670942433,-1.0407284930446927,-0.4104198253567346,-42.85255373600603,-75.36049913430071,-29.719031524745446,0.8431607362961896,0.7956163701497309,0.8930144864725856,-0.18601348112196148,-0.2568871600917477,-0.11980266294448146,-0.5678045603021543,-0.7841458592322583,-0.3656966040628936,-70.53472798784526,-97.40942350711283,-45.42814957303026,0.8288986109740745,0.7776319241215218,0.8829667599108432,-0.20642016618275777,-0.28595543595986467,-0.13254546535927827,-0.630095791928387,-0.872876522722267,-0.40459389945519353,-78.27276918365057,-108.43186617667912,-50.26011173356441,-0.06229123162623273,-0.08873066349000869,-0.03889729539229991,-7.738041195805309,-11.022442669566296,-4.831962160534151,0.7956163701497309,0.7502968054123547,0.8930144864725856,-0.2568871600917477,-0.33280588799843186,-0.11980266294448146,-0.656173849704876,-0.8500951182394112,-0.3060151956255809,-198.23983374769668,-256.8263197097919,-92.45172073280388,0.7776319241215218,-0.28595543595986467,-0.7304237362070016,0.7290484770267617,-0.3716509004699455,-0.9493179885695732,0.8829667599108432,-0.13254546535927827,-0.33856448190972016,-220.67182362749293,-286.80301769473505,-102.28534196668282,-0.0742498865021256,-0.09922287033016186,-0.03254928628413928,-22.431989879796255,-29.97669798494316,-9.833621233878937,0.8362
40131050407,40131050407,Census Tract 504.07; Rogers County; Oklahoma,1475,1111,466,Tulsa city,Oklahoma,120253,0.7491816843637432,0.19760193625960049,40131,1475,1111,466,0.014525,0.00771700047899999,0.003791914842,0.7671991129603752,0.6691923188363379,0.8205867907283829,-0.30344259150837755,-0.4943387302157104,-0.21864013812891545,-6.5010678714472965,-10.59089833316521,-4.684228309325683,-440.7503641659184,-718.0270056383193,-317.5748006322497,0.7471346895706674,0.6428446621696027,0.8045202388497388,-0.338446753924167,-0.5555857563240815,-0.24297680991810475,-7.251010173604076,-11.903077588145743,-5.205626291989196,-491.5939100748526,-806.9883110607284,-440.7503641659184,-0.7499423021567795,-1.3121792549805331,-0.5213979826635127,-50.84354590893421,-88.96130542240903,-35.34901577379747,0.8480805466072953,0.8018443560752302,0.8964672092246108,-0.17913328397927658,-0.2471248221970132,-0.11548976885048452,-0.754655813779331,-1.041091748319282,-0.486537306518268,-67.92581582172195,-93.70762811154654,-43.79273686033015,0.8342204109344563,0.784330465246123,0.8867227470280727,-0.19872396658317773,-0.27497278801506175,-0.12774822045739287,-0.8371877821244765,-1.1584101429787004,-0.5381799246157298,-75.35443583478636,-104.26733960204324,-48.4410373191476,-0.08253196834514553,-0.11731839465941828,-0.05164261809746184,-7.428620013064404,-10.559711490496696,-4.648300458817448,0.8018443560752302,0.757683979602409,0.8964672092246108,-0.2471248221970132,-0.3198114608741565,-0.11548976885048452,-0.8886910650104874,-1.1500811016880887,-0.4153153243170753,-190.7062371267141,-246.79851967555553,-89.12346015387881,0.784330465246123,-0.27497278801506175,-0.9888357537600756,0.7369481197490373,-0.3569476238578955,-1.2836272826788098,0.8867227470280727,-0.12774822045739287,-0.4593982145628718,-212.1965136824197,-275.45649842892914,-98.58330784610985,-0.10014468874958826,-0.13354618099072102,-0.04408289024579648,-21.49027655570563,-28.657978753373612,-9.459847692231005,0.3152
40143009019,40143009019,Census Tract 90.19; Tulsa County; Oklahoma,2410,1086,300,Tulsa city,Oklahoma,1968,0.5730935878203651,0.16342139630367028,40143,2410,1086,300,0.013635,0.00771700047899999,0.003791914842,0.8243778993442155,0.7462246628897802,0.8658006809201062,-0.213035915683196,-0.34007899997229557,-0.155000246635608,-7.000434751920309,-11.175114966739622,-5.093362354532401,-290.4744710340377,-463.69771646222506,-211.3428362876515,0.8086097513140473,0.7246971582364483,0.8534139062373487,-0.2366905028970157,-0.3798867411506091,-0.17176436040155557,-7.777732766871949,-12.48321127456842,-5.644237000321256,-322.7275007000809,-517.9755715588556,-290.4744710340377,-0.77729801495164,-1.3080963078287962,-0.5508746457888556,-32.253029666043155,-54.27785509663055,-22.857869119869527,0.886846117738071,0.8513443998685353,0.9234412536670552,-0.12759133743577925,-0.17461276559101127,-0.08290591960119209,-0.5254236179408306,-0.7190587768676836,-0.341408195109605,-48.38154861333615,-66.21167374472225,-31.437218702541895,0.8762602196887489,0.8377526532229456,0.916115433192874,-0.14121350887662568,-0.1936697498394871,-0.09156549902752864,-0.5815199858173907,-0.797535809964977,-0.3770685122084979,-53.54696002001756,-73.43791988627781,-34.72085747776224,-0.05609636787656014,-0.07847703309729337,-0.03566031709889289,-5.165411406681413,-7.226246141555559,-3.28363877522034,0.8513443998685353,0.8169143108735338,0.9234412536670552,-0.17461276559101127,-0.22411859688281255,-0.08290591960119209,-0.4042460387116045,-0.5188569958492417,-0.1919355063823004,-134.74867957053485,-172.95233194974725,-63.97850212743347,0.8377526532229456,-0.1936697498394871,-0.44836486568373946,0.8005604937039472,-0.24912484173845192,-0.5767489569079297,0.916115433192874,-0.09156549902752864,-0.2119832999565937,-149.45495522791316,-192.24965230264323,-70.66109998553125,-0.04411882697213493,-0.05789196105868799,-0.02004779357429331,-14.706275657378308,-19.297320352896,-6.682597858097773,0.2264
40143007308,40143007308,Census Tract 73.08; Tulsa County; Oklahoma,2116,1378,636,Tulsa city,Oklahoma,274931,0.759264923417975,0.17548821068406986,40143,2116,1378,636,0.013635,0.00771700047899999,0.003791914842,0.7640476742500253,0.6650301952696396,0.8180704095020336,-0.30881885215026805,-0.5036911212648704,-0.2223886701985817,-8.909936523829803,-14.53232497575281,-6.416282300421611,-421.0745049068905,-686.7828438446506,-303.2269518157661,0.7437594621365541,0.6384479562489561,0.8018068319954547,-0.3445207098641257,-0.5662983806468016,-0.24718318689216268,-9.9399943839584,-16.3386483369721,-7.131645265929134,-469.75398789973536,-772.1478420119139,-421.0745049068905,-1.030057860128597,-1.80632336121929,-0.7153629655075227,-48.67948299284485,-85.36499816726324,-33.80732351169767,0.8459127483087181,0.7990986219601729,0.8949466819062005,-0.18215501775964177,-0.25140999185685,-0.11738500205402194,-0.9518070826040566,-1.313682235218644,-0.6133669976302143,-69.07163153875591,-95.33252795490884,-44.51139315168464,0.8318751038538801,0.7813766336441539,0.8850684880440299,-0.2021035313681551,-0.2797925570620649,-0.12985606595255092,-1.0560432259369863,-1.4619884796309812,-0.6785315321690897,-76.635938021552,-106.0949549804776,-49.24031438092088,-0.10423614333292996,-0.14830624441233708,-0.06516453453887538,-7.564306482796078,-10.76242702556873,-4.72892122923624,0.7990986219601729,0.7544253729310472,0.8949466819062005,-0.25140999185685,-0.32551215253387006,-0.11738500205402194,-1.2339233335438673,-1.5976176499473886,-0.5761270344618008,-194.0131027584697,-251.1977437024196,-90.58601170783032,0.7813766336441539,-0.2797925570620649,-1.3732253128084229,0.7334625007221938,-0.3633962186415308,-1.783553112553734,0.8850684880440299,-0.12985606595255092,-0.6373351695277826,-215.91592968685896,-280.43287933234814,-100.20993231568907,-0.13930197926455556,-0.1859354626063454,-0.06120813506598177,-21.90282692838924,-29.235135629928525,-9.62392060785877,0.7697
40143009013,40143009013,Census Tract 90.13; Tulsa County; Oklahoma,1337,818,245,Tulsa city,Oklahoma,125876,0.7729825555153386,0.13970722423993862,40143,1337,818,245,0.013635,0.00771700047899999,0.003791914842,0.759781108790934,0.6594094131123647,0.8146594116348289,-0.31616854963837504,-0.5165085303833812,-0.2275068399360124,-5.7637510790648285,-9.415947926346387,-4.147448554499307,-431.09581743192433,-704.2593811777402,-310.2055762527529,0.7391921397781378,0.6325147487344073,0.7981300952326887,-0.35282823800066576,-0.5809908021921868,-0.2529285713859188,-6.432057014610947,-10.591459419009553,-4.610886591722442,-481.0813025139077,-792.1809587890466,-431.09581743192433,-0.6683059355461181,-1.1755114926631656,-0.4634380372231357,-49.9854850819834,-87.92157761130633,-34.66253083194732,0.8429724851089014,0.7953783080909912,0.8928822372422818,-0.1862783396433308,-0.2572633548432152,-0.1199685224879796,-0.5777956094843905,-0.7979759600297489,-0.37211672437389415,-70.6351600836663,-97.55207335327005,-45.49104209949806,0.8286950396516002,0.7773759790665199,0.8828229236208335,-0.20671652677011293,-0.28637882688478367,-0.13272998836343458,-0.6411904991440583,-0.8882859335129492,-0.4117000649144042,-78.38514659462815,-108.592412409896,-50.330081285379485,-0.06339488965966789,-0.09030997348320025,-0.03958334054051005,-7.749986510961845,-11.040339056625946,-4.839039185881424,0.7953783080909912,0.750014727372591,0.8928822372422818,-0.2572633548432152,-0.33330715185172854,-0.1199685224879796,-0.4863988509757885,-0.630172205371009,-0.2268203006486419,-198.53014325542387,-257.2131450493914,-92.57971455046608,0.7773759790665199,-0.28637882688478367,-0.5414464583401066,0.728746984114352,-0.37221837180609735,-0.703740291612462,0.8828229236208335,-0.13272998836343458,-0.2509479590256808,-220.9985544245333,-287.2409353520253,-102.4277383778289,-0.05504760736431818,-0.07356808624145295,-0.02412765837703889,-22.468411169109466,-30.027790302633857,-9.848023827362814,0.7654
40145030408,40145030408,Census Tract 304.08; Wagoner County; Oklahoma,1620,1201,405,Tulsa city,Oklahoma,89667,0.7743369813415657,0.14877153678345073,40145,1620,1201,405,0.011709,0.00771700047899999,0.003791914842,0.7593611391649568,0.6588570223014784,0.8143233953510481,-0.31689646523084575,-0.5177799828358242,-0.22801334913005689,-6.011075952448516,-9.821551026819956,-4.3250894540414135,-371.05407113879727,-606.2685819024665,-266.98083049638353,0.7387427042395681,0.6319319260467305,0.7977679842810682,-0.35365127027462095,-0.582448929674826,-0.25349728204645744,-6.7082624123057695,-11.04822911845131,-4.808483474280791,-414.0902723645537,-681.9894517562537,-371.05407113879727,-0.6971864598572539,-1.2266780916313529,-0.48339402023937783,-43.036201225756415,-75.72086985378722,-29.839137051813445,0.8426827298492124,0.7950119195389682,0.8926786604713083,-0.1866862397653949,-0.25784277621888424,-0.12022393306907234,-0.8501858863596493,-1.174239137906293,-0.5475105783180443,-70.78983233635715,-97.77178500468716,-45.587891616823,0.8283817126026508,0.7769820827218797,0.8826015145681806,-0.2071729551563256,-0.2870309653690552,-0.1330141445420672,-0.943484226425444,-1.3071647702135067,-0.6057583489708824,-78.55822035182715,-108.83969776965084,-50.43783088849979,-0.09329834006579474,-0.13292563230721366,-0.05824777065283815,-7.768388015470003,-11.067912764963667,-4.8499392716767815,0.7950119195389682,0.749580638497989,0.8926786604713083,-0.25784277621888424,-0.3340792819886621,-0.12022393306907234,-0.8058579951730668,-1.0441264415478448,-0.3757461003779245,-198.9772827587819,-257.80899791304813,-92.77681490812952,0.7769820827218797,-0.2870309653690552,-0.8970823293825366,0.7282830399148134,-0.373092527483503,-1.1660578613871129,0.8826015145681806,-0.1330141445420672,-0.4157204379436876,-221.50180972408313,-287.9155213301513,-102.64702171449078,-0.09122433420946983,-0.12193141983926804,-0.03997433756576313,-22.5245269653012,-30.106523417103215,-9.870206806361267,0.4716
40143009015,40143009015,Census Tract 90.15; Tulsa County; Oklahoma,2792,1929,588,Tulsa city,Oklahoma,82296,0.6701858294925859,0.178512349579853,40143,2792,1929,588,0.013635,0.00771700047899999,0.003791914842,0.7923427401442794,0.7027143611157061,0.8405708077781943,-0.2620800940485778,-0.4230533134576769,-0.18966777188374015,-9.977106133927784,-16.105182745755226,-7.220447234420352,-357.3462082352358,-576.8331928995425,-258.61200696347964,0.7741130544501571,0.6783545027087577,0.8260983098628955,-0.2918009769390694,-0.47415546886896154,-0.21050967912761664,-11.108548047015278,-18.050586611934985,-8.013876133934907,-397.8706320564211,-646.5109818028291,-357.3462082352358,-1.1314419130874942,-1.9454038661797597,-0.7934288995145549,-40.52442382118532,-69.67778890328653,-28.417940527025607,0.8652572615736547,0.8236845170368388,0.9084693349152178,-0.15572563722988808,-0.21405705621060697,-0.10075261934220849,-1.1390713269723145,-1.56574254183759,-0.7369654852697524,-59.04983550919203,-81.16861284798289,-38.20453526540966,0.8528247154585257,0.807861651053809,0.8997902847333021,-0.17257389692598762,-0.23783570948758065,-0.1113700791917308,-1.2623096701930856,-1.739673967796902,-0.8146279966905081,-65.43855210954305,-90.18527567635572,-42.23058562418394,-0.12323834322077132,-0.1739314259593121,-0.07766251142075575,-6.388716600351027,-9.01666282837284,-4.026050358774275,0.8236845170368388,0.7837050195037153,0.9084693349152178,-0.21405705621060697,-0.27599029623831484,-0.10075261934220849,-0.9713045023226232,-1.2523325419830111,-0.45717471089390455,-165.18784053105838,-212.9817248270427,-77.75080117243274,0.807861651053809,-0.23783570948758065,-1.079202431014911,0.7648352421639997,-0.30747113217564725,-1.3951798660755474,0.8997902847333021,-0.1113700791917308,-0.5053524572276864,-183.53782840389644,-237.2754874278142,-85.94429544688543,-0.10789792869228788,-0.1428473240925363,-0.04817774633378186,-18.34998787283807,-24.29376260077148,-8.193494274452696,0.24
40143009016,40143009016,Census Tract 90.16; Tulsa County; Oklahoma,2420,2077,521,Tulsa city,Oklahoma,60459,0.6861692688583186,0.18825586522940876,40143,2420,2077,521,0.013635,0.00771700047899999,0.003791914842,0.787189724297811,0.6957988969399838,0.8364884938059054,-0.2703417856375349,-0.43719687455361855,-0.19547370633891228,-8.920386798146048,-14.426054110583385,-6.449987245953186,-368.6110247167789,-596.1179384538589,-266.5283985931069,0.7685769541491753,0.6710148160282725,0.8216861535271411,-0.30110588744755307,-0.490280059565579,-0.21700967663558052,-9.935500636340674,-16.17762404146754,-7.160603197041259,-410.55787753473857,-668.496861217667,-368.6110247167789,-1.015113838194626,-1.7515699308841537,-0.710615951088073,-41.94685281795975,-72.378922763808,-29.364295499507147,0.8617540031892402,0.8192180518330743,0.9060280152776304,-0.16042396820801436,-0.22067622626529015,-0.1037186302606483,-1.2634682321276705,-1.7380033955430048,-0.8168679273922744,-60.831402606050574,-83.6785457651904,-39.32922134772626,0.8490272717404176,0.8030442281482805,0.8971308462300457,-0.17781846742108062,-0.24526142514699956,-0.11466460461395864,-1.400463952997646,-1.9316316801102027,-0.9030763102142182,-67.4272485795689,-93.00104381849796,-43.47984160877314,-0.1369957208699757,-0.1936282845671979,-0.08620838282194376,-6.59584597351833,-9.322498053307555,-4.150620261046884,0.8192180518330743,0.7783689742738504,0.9060280152776304,-0.22067622626529015,-0.28473774398949003,-0.1037186302606483,-0.8872414013162345,-1.1448044008200189,-0.41700669080877895,-170.29585437931564,-219.7321306756274,-80.03967194026467,0.8030442281482805,-0.24526142514699956,-0.9860876009119408,0.7591088739295789,-0.3173340930971228,-1.2758598885338674,0.8971308462300457,-0.11466460461395864,-0.4610156073484677,-189.26825353396177,-244.88673484335268,-88.48668087302643,-0.0988461995957064,-0.13105548771384878,-0.04400891653968875,-18.97239915464614,-25.154604167725296,-8.447008932761754,0.0062
40143009018,40143009018,Census Tract 90.18; Tulsa County; Oklahoma,1129,954,479,Tulsa city,Oklahoma,9797,0.763255322284938,0.17282676084760487,40143,1129,954,479,0.013635,0.00771700047899999,0.003791914842,0.7628040839943928,0.66339021102387,0.817076694861804,-0.31095260366664573,-0.5074084353108101,-0.22387531830060903,-4.7867779498730325,-7.81100232345761,-3.44631762051752,-423.98387509947145,-691.8514015462896,-305.2539965028804,0.7424279452487681,0.6367162951309701,0.8007355419870423,-0.3469320577162896,-0.5705582025261406,-0.2488517713582173,-5.340642607259656,-8.783124472240194,-3.830803015887831,-473.0418606961609,-777.9561091443928,-423.98387509947145,-0.5538646573866233,-0.9721221487825842,-0.38448539537031134,-49.05798559668939,-86.10470759810312,-34.055393744048835,0.8450563825215022,0.7980146078697246,0.8943456522192387,-0.1833529935791655,-0.2531098931502886,-0.11813592151825138,-0.6632770265447818,-0.9156216871109072,-0.42735513188619795,-69.52589376779684,-95.97711604936134,-44.79613541784046,0.8309487806131863,0.7802107420243648,0.8844146747620878,-0.20344360967960604,-0.28170498832836055,-0.1306913244841909,-0.7359545642736619,-1.0190640652975909,-0.47277413587275846,-77.14408430541529,-106.82013263077472,-49.55703730322416,-0.07267753772888008,-0.10344237818668368,-0.04541900398656051,-7.618190537618457,-10.843016581413384,-4.760901885383701,0.7980146078697246,0.7531396671034707,0.8943456522192387,-0.2531098931502886,-0.32777497146835877,-0.11813592151825138,-0.935606350839919,-1.2116015740644317,-0.4366827272499136,-195.3249166680415,-252.94396118255355,-91.1654962943452,0.7802107420243648,-0.28170498832836055,-1.041306496806124,0.7320876393857025,-0.36595667813638233,-1.3527380851659494,0.8844146747620878,-0.1306913244841909,-0.4830930615362643,-217.39175298666476,-282.4087860471711,-100.85450136456458,-0.10570014596620504,-0.14113651110151793,-0.04641033428635072,-22.06683631862318,-29.464824864617523,-9.689005070219356,0.0586
40131050409,40131050409,Census Tract 504.09; Rogers County; Oklahoma,1280,1093,469,Tulsa city,Oklahoma,778304,0.8198470119136678,0.15087151840524787,40131,1280,1093,469,0.014525,0.00771700047899999,0.003791914842,0.7453838877414362,0.6405627162643033,0.8031131266615007,-0.3415905769442749,-0.5611273878565685,-0.2451545950406112,-6.350852006547959,-10.43248039502932,-4.557914230995044,-496.1603130115593,-815.0375308616656,-356.0870492964878,0.7237990368538164,0.6126575964997403,0.785695737098769,-0.38159896474408694,-0.6322330869856829,-0.2727573191278381,-7.094687952522064,-11.754477553237816,-5.071104077224766,-554.2724962907863,-918.3185588467044,-496.1603130115593,-0.7438359459741051,-1.3219971582084966,-0.5131898462297224,-58.11218327922696,-103.2810279850388,-40.09295673669706,0.833004351913726,0.7827985285948204,0.8858651973093641,-0.200473920337417,-0.2774679096485681,-0.12883992173673517,-0.8308767771197854,-1.1499832104592067,-0.5339851625428794,-76.01800339613773,-105.21346847751204,-48.85500114756445,0.8179222026501478,0.7638621672541998,0.8751941459026086,-0.22261016605234868,-0.30913670406616406,-0.1426036207871068,-0.9226218403489462,-1.281236521596506,-0.5910296793008281,-84.41187926339856,-117.22200563554492,-54.074078618557,-0.09174506322916089,-0.13125331113729932,-0.05704451675794864,-8.39387586726083,-12.008537158032874,-5.219077470992556,0.7827985285948204,0.735139962691443,0.8858651973093641,-0.2774679096485681,-0.3602851847951103,-0.12883992173673517,-1.0042321760909454,-1.30397052256738,-0.4663068790078959,-214.1219991665129,-278.03209436404694,-99.42577377567076,0.7638621672541998,-0.30913670406616406,-1.1188501957835275,0.7128645776949176,-0.402790980628535,-1.4578106113197764,0.8751941459026086,-0.1426036207871068,-0.5161214664530605,-238.56080933550697,-310.83381904472844,-110.04722099212375,-0.11461801969258212,-0.1538400887523963,-0.04981458744516454,-24.438810168994056,-32.80172468068151,-10.621447216452994,0.6097
