geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
18003011501,18003011501,Census Tract 115.01; Allen County; Indiana,2600,1502,699,Fort Wayne city,Indiana,236987,0.6864127708986918,0.2470253167103046,18003,2600,1502,699,0.012314,0.00927705879,0.003607402022,0.7871114796470817,0.6956940702990576,0.836426454765752,-0.2704680669228346,-0.4374134302598419,-0.1955623764674662,-8.659413817828241,-14.004403348571202,-6.261203269932984,-333.0543776087785,-538.6308980219693,-240.81551038203784,0.7684929205190895,0.6709036148326962,0.8216191184456432,-0.30124816156346085,-0.4905270710895943,-0.2171089712369664,-9.644881639880388,-15.704910918832883,-6.951047666711211,-370.95698614924567,-604.0350353397264,-333.0543776087785,-0.9854678220521452,-1.7005075702616832,-0.6898443967782271,-37.90260854046713,-65.40413731775705,-26.53247679916258,0.8617007421242484,0.819150194450326,0.9059908734170454,-0.1604956931275455,-0.22077734556485035,-0.10376387813752327,-0.8696166768417198,-1.1962418294892556,-0.5622256717534022,-57.8972487910599,-79.64326428024339,-37.431802380386294,0.8489695499863363,0.8029710590095952,0.8970903914715265,-0.17789854773483266,-0.2453748971145053,-0.11471487099495913,-0.9639108743758672,-1.3295191817983605,-0.6215616316861883,-64.17515808094988,-88.51658999989084,-41.38226575806846,-0.09429419753414736,-0.13327735230910465,-0.05933595993278606,-6.27790928988997,-8.873325719647447,-3.950463377682161,0.819150194450326,0.7782879631108127,0.9059908734170454,-0.22077734556485035,-0.28487147096944104,-0.10376387813752327,-1.4316669255993786,-1.8472957992603207,-0.6728738948343792,-204.81644143052628,-264.2769383777283,-96.2623597760199,0.8029710590095952,-0.2453748971145053,-1.5911737849389056,0.7590219671125987,-0.317484925771131,-2.0587830986009803,0.8970903914715265,-0.11471487099495913,-0.7438874050129436,-227.6357346121467,-294.5326321317568,-106.42166023075016,-0.15950685933952702,-0.21148729934065957,-0.07101351017856439,-22.81929318162046,-30.255693754028552,-10.15930045473024,0.6994
18003011202,18003011202,Census Tract 112.02; Allen County; Indiana,1975,1562,802,Fort Wayne city,Indiana,192694,0.7448702687893964,0.23747010357947132,18003,1975,1562,802,0.012314,0.00927705879,0.003607402022,0.7685505768148477,0.6709799103856818,0.8216651120712677,-0.3011505425503193,-0.4903575867497973,-0.2170408421980856,-7.324026367405149,-11.92557006339308,-5.278465838383772,-370.83677809646326,-603.8263323237004,-267.26409308272264,0.748582548200211,0.6447338451672743,0.8056832445980959,-0.3358580191379863,-0.5510276178235268,-0.2411825698309468,-8.168117404138698,-13.401074319610847,-5.865596275674102,-413.5755647665163,-678.5354085878911,-370.83677809646326,-0.8440910367335492,-1.475504256217766,-0.5871304372903303,-42.73878667005312,-74.70907626419068,-29.728123407105333,0.8490091537035813,0.8030212612150924,0.8971181481570187,-0.17784360231896257,-0.24529704043806885,-0.11468038190324772,-1.002106364885306,-1.382190431959706,-0.6461966533190755,-64.15533706051895,-88.48850396669053,-41.3698241561508,0.8352252399367401,0.7855968772223104,0.8874310223937885,-0.19728182552976953,-0.27291748350091416,-0.12684814342253206,-1.111636125571749,-1.5378250538033855,-0.7147590930463843,-71.16748563199417,-98.45230818203495,-45.75922490693882,-0.10952976068644316,-0.1556346218436797,-0.0685624397273088,-7.012148571475234,-9.963804215344412,-4.389400750788015,0.8030212612150924,0.7590815946818079,0.8971181481570187,-0.24529704043806885,-0.3173814343623762,-0.11468038190324772,-1.8250593222558915,-2.361381712798301,-0.8532451092708171,-227.5635065156972,-294.43662254342905,-106.38966449760812,0.7855968772223104,-0.27291748350091416,-2.0305609744839823,0.7384435601318157,-0.35419963554356854,-2.635316535552076,0.8874310223937885,-0.12684814342253206,-0.943775702514412,-253.1871539256836,-328.59308423342594,-117.6777683933182,-0.20550165222809055,-0.273934822753775,-0.0905305932435948,-25.62364740998635,-34.15646168999689,-11.288103895710076,0.3222
18003000100,18003000100,Census Tract 1; Allen County; Indiana,1549,965,289,Fort Wayne city,Indiana,74675,0.6352780496351269,0.22050235886371247,18003,1549,965,289,0.012314,0.00927705879,0.003607402022,0.8037144970087642,0.7180576259106262,0.8495559720957486,-0.24422292209704335,-0.3926458879004596,-0.17708548094026663,-4.658402286126935,-7.489479227126096,-3.377796818450289,-300.7361062702992,-483.5041463606259,-218.06306122984435,0.7863429223677395,0.6946646973786154,0.8358169936867839,-0.2717097993187533,-0.4395434283239051,-0.19643415670337816,-5.182697592188437,-8.384021015613499,-3.7468609285447223,-334.58344688111276,-541.2537776380567,-300.7361062702992,-0.5242953060615019,-0.8945417884874027,-0.36906411009443385,-33.84734061081355,-57.74963127743078,-23.825959334695536,0.8729579631612647,0.8335241135450359,0.9138240653319056,-0.14553053205296934,-0.199725339374923,-0.09430254458969048,-0.5066125858449457,-0.6952724573470328,-0.3282806383814537,-52.49871355906174,-72.04895931057335,-34.01871900325945,0.861177479380524,0.8184836062271037,0.9056259325041628,-0.1612008255479881,-0.2217715692677309,-0.10420866288013832,-0.5611631175888356,-0.7720185351395771,-0.3627652522422969,-58.15161840298816,-80.00192073985255,-37.592254118372736,-0.05455053174388991,-0.07674607779254428,-0.03448461386084317,-5.652904843926415,-7.9529614292792,-3.5735351151132817,0.8335241135450359,0.7954864578241466,0.9138240653319056,-0.199725339374923,-0.2570924245967038,-0.09430254458969048,-0.5354776137025863,-0.6892827843222591,-0.2528317223092898,-185.28637152338624,-238.50615374472633,-87.48502502051551,0.8184836062271037,-0.2217715692677309,-0.5945850990676688,0.7774922519557107,-0.28618645071329185,-0.7672859046407388,0.9056259325041628,-0.10420866288013832,-0.27939071877827054,-205.73878860472968,-265.4968528168646,-96.6749891966334,-0.05910748536508248,-0.07800312031847967,-0.02655899646898074,-20.45241708134342,-26.990699072138295,-9.189964176117906,0.2702
18003004000,18003004000,Census Tract 40; Allen County; Indiana,2187,1388,598,Fort Wayne city,Indiana,81034,0.7129739448733408,0.16551699306680945,18003,2187,1388,598,0.012314,0.00927705879,0.003607402022,0.7786230886500786,0.6843538961852194,0.8296867942810596,-0.28431845212004825,-0.4612322740825771,-0.20527409486675055,-7.656900056241522,-12.421316305816596,-5.5281787615617075,-350.10974194062743,-567.9614223052856,-252.7745204189167,0.7593814875564786,0.6588837831403317,0.8143396771178976,-0.3168611776641783,-0.5177183375706426,-0.22798879644326,-8.533299020821886,-13.94252655254378,-6.139901984172838,-390.18285417566926,-637.5183608844892,-350.10974194062743,-0.876398964580364,-1.5212102467271844,-0.6117232226111309,-40.07311223504179,-69.55693857920369,-27.970883521313713,0.8559107507544672,0.8117819642408761,0.9019485714466658,-0.1683461144967757,-0.2318578683072033,-0.1087106645072525,-0.8429214539981388,-1.1609295056118447,-0.5443223424875197,-60.72921138315121,-83.64045429480149,-39.21630709564263,0.8426967704840033,0.7950296725957204,0.8926885257090844,-0.18666646773269296,-0.25781468851981926,-0.1202115533026208,-0.9346528184762576,-1.2908972253907622,-0.6019081438268694,-67.33809931385142,-93.00412286676962,-43.3651400451635,-0.09173136447811892,-0.12996771977891752,-0.05758580133934976,-6.6088879307002095,-9.36366857196812,-4.148832949520876,0.8117819642408761,0.7695017062276944,0.9019485714466658,-0.2318578683072033,-0.2995422776932758,-0.1087106645072525,-1.2862735269755818,-1.661765049510113,-0.6030921049887813,-215.09590752100033,-277.8871320251025,-100.8515225733748,0.7950296725957204,-0.25781468851981926,-1.430273689349693,0.7496016707355524,-0.3340418505454268,-1.85315767972653,0.8926885257090844,-0.1202115533026208,-0.6668953690409278,-239.17620223239012,-309.8925885830318,-111.52096472256318,-0.14400016237411117,-0.19139263021641703,-0.06380326405214654,-24.080294711389826,-32.00545655792927,-10.669442149188384,0.8481
18003011608,18003011608,Census Tract 116.08; Allen County; Indiana,5950,4604,1764,Fort Wayne city,Indiana,357086,0.7421586921833684,0.1826682671417079,18003,5950,4604,1764,0.012314,0.00927705879,0.003607402022,0.7694017715682411,0.6721066247254013,0.8223440259463408,-0.2997110702796274,-0.4878591628353079,-0.2160360730403743,-21.959320610568824,-35.74461150036619,-15.828595810344058,-369.0642119423332,-600.7497731153982,-266.02682034191696,0.7494945861499103,0.6459248510378183,0.8064155543064845,-0.3342324527478106,-0.5481677139272212,-0.24005544617749555,-24.48864361766241,-40.16331651433382,-17.588454447166598,-411.573842313654,-675.0137229299802,-369.0642119423332,-2.5293230070935877,-4.418705013967632,-1.759858636822539,-42.5096303713208,-74.26394981458203,-29.57745608105108,0.84959370290151,0.8037623363054858,0.8975277849716813,-0.17703320608995374,-0.2441488669356239,-0.11417163540129502,-2.9402522695886324,-4.054941307226872,-1.8962171986013272,-63.86299456100418,-88.07431162525785,-41.18629884016784,0.8358578264649361,0.7863944083430839,0.8878767674587087,-0.19637570928690656,-0.2716265392921326,-0.12628242640272225,-3.2615018259880593,-4.511303649036273,-2.0973590155233266,-70.8406130753271,-97.98661270713016,-45.55514803482464,-0.32124955639942687,-0.4563623418094007,-0.20114181692199917,-6.977618514322912,-9.9123010818723,-4.368849194656802,0.8037623363054858,0.7599619163568785,0.8975277849716813,-0.2441488669356239,-0.31585541127352956,-0.11417163540129502,-3.9954307036179544,-5.168889063240623,-1.8683881817272092,-226.49833920736705,-293.02092195241624,-105.91769737682591,0.7863944083430839,-0.2716265392921326,-4.445095439625502,0.7393856408170427,-0.35247419586749185,-5.768145648504509,0.8878767674587087,-0.12628242640272225,-2.066578027207676,-251.98953739373593,-326.9923837020697,-117.15294938819024,-0.4496647360075472,-0.5992565852638867,-0.1981898454804667,-25.49119818636889,-33.97146174965344,-11.235252011364324,0.1006
18003010307,18003010307,Census Tract 103.07; Allen County; Indiana,3383,2085,578,Fort Wayne city,Indiana,156230,0.7330723682647973,0.20539755982238217,18003,3383,2085,578,0.012314,0.00927705879,0.003607402022,0.7722609503518422,0.6758959846146143,0.824623115949229,-0.2948990876003764,-0.4795175925925717,-0.2126751975038846,-12.284983454817432,-19.97586950583061,-8.859679098518571,-363.1387364711035,-590.4779635184927,-261.8882382062835,0.7525588764949127,0.6499318991883984,0.8088743341414604,-0.32879968761721196,-0.5386227407036778,-0.23628598138349943,-13.697223532275972,-22.43808725139187,-9.843263319400943,-404.8839353318348,-663.2600429025089,-363.1387364711035,-1.4122400774585395,-2.462217745561265,-0.9835842208823724,-41.7451988607313,-72.78207938401611,-29.07431926935774,0.8515554262774102,0.8062506218637409,0.898901816390124,-0.1743216814101202,-0.2403091208641616,-0.11246854969753373,-1.311148884804386,-1.8074690037442231,-0.8459246854357559,-62.88483859973075,-86.68916085104189,-40.57192735902906,0.8379810791541489,0.7890727922455927,0.8893720641261911,-0.19334436644964784,-0.26731020233778113,-0.12438881356420946,-1.4542267399157227,-2.0105558348043178,-0.9355821540245058,-69.74708584727688,-96.42953644145408,-44.872045756571026,-0.14307785511133675,-0.2030868310600944,-0.0896574685887499,-6.862247247546127,-9.7403755904122,-4.300118397541962,0.8062506218637409,0.762919268505275,0.898901816390124,-0.2403091208641616,-0.3107546778300904,-0.11246854969753373,-1.2885711446933648,-1.6663100821574155,-0.603072106895493,-222.9361842030043,-288.28894154972585,-104.3377347570057,0.7890727922455927,-0.26731020233778113,-1.433354723183038,0.7425512646329626,-0.34670836564300017,-1.859098789029749,0.8893720641261911,-0.12438881356420946,-0.666990230354535,-247.9852462254391,-321.6433891054929,-115.39623362535208,-0.14478357848967338,-0.19278870687233352,-0.06391812345904202,-25.049062022434843,-33.354447555767045,-11.058498868346373,0.1121
18003002000,18003002000,Census Tract 20; Allen County; Indiana,2103,1316,422,Fort Wayne city,Indiana,62445,0.5628061678611703,0.2230626235922595,18003,2103,1316,422,0.012314,0.00927705879,0.003607402022,0.8278471786463328,0.7509898183277113,0.868517893351452,-0.20795241657423477,-0.33157597559282426,-0.15138675628337664,-5.385206899332852,-8.58660486293543,-3.9203632149849703,-256.0726057695127,-408.30265634500375,-186.41765168735,0.8123537513388646,0.7297892367728395,0.8563605399271575,-0.2309908070860386,-0.3702586303163974,-0.1677324600746556,-5.981816939156079,-9.588344119124994,-4.343657150594627,-284.44207984574797,-455.9364773716117,-256.0726057695127,-0.5966100398232275,-1.0017392561895644,-0.42329393560965656,-28.369474076235257,-47.63382102660791,-20.12809964858091,0.8891648960770284,0.8543289912377189,0.9250419915001752,-0.12465078683602228,-0.17050926546603384,-0.081032006318181,-0.5917597986266236,-0.8094656372196672,-0.3846865708456225,-44.966550047615776,-61.509546901190525,-29.231502343892288,0.8787807589967384,0.840983855393142,0.9178624273081708,-0.1379402538827225,-0.18908346882892457,-0.08948789082990949,-0.6548494312155919,-0.8976437155187911,-0.4248295385948192,-49.76059507717264,-68.21000877802364,-32.28187983243307,-0.06308963258896827,-0.08817807829912383,-0.04014296774919668,-4.794045029556859,-6.700461876833118,-3.0503774885407813,0.8543289912377189,0.8205144354690301,0.9250419915001752,-0.17050926546603384,-0.218747601226992,-0.081032006318181,-0.6675299305465436,-0.8563790985503066,-0.3172337256968458,-158.18244799681128,-202.9334356754281,-75.17386864854167,0.840983855393142,-0.18908346882892457,-0.7402464286611738,0.8044422067439295,-0.24309738054099955,-0.9517065075909668,0.9178624273081708,-0.08948789082990949,-0.3503378270217567,-175.4138456543066,-225.52286909738552,-83.01844242221722,-0.07271649811463021,-0.09532740904066028,-0.03310410132491087,-17.23139765749531,-22.589433421957413,-7.844573773675562,0.951
18003003500,18003003500,Census Tract 35; Allen County; Indiana,2239,1475,784,Fort Wayne city,Indiana,91604,0.631776625517884,0.21041897957974065,18003,2239,1475,784,0.012314,0.00927705879,0.003607402022,0.8048641086620447,0.7196149987705788,0.8504625119977918,-0.2424457610146598,-0.3896319583505667,-0.17583078136029176,-6.684483229440192,-10.742560646753558,-4.847838561100547,-298.54771011345207,-479.79279351288784,-216.5180241670633,0.7875802510164371,0.6963221773161721,0.8367981133341337,-0.2697118785157674,-0.4361168329497855,-0.19503137502976153,-7.436238609304634,-12.024197262632851,-5.377219012388807,-332.123207204316,-537.0342680943659,-298.54771011345207,-0.7517553798644414,-1.2816366158792931,-0.5293804512882598,-33.57549709086384,-57.24147458147803,-23.643611044585075,0.8737341538131596,0.8345175372903613,0.9143629100711406,-0.14451288831481493,-0.1982971661050437,-0.09365765932281372,-0.7689412261300873,-1.0551229569972016,-0.4983447236849354,-52.13160855119236,-71.53375979642044,-33.78608296169053,0.8620198044535895,0.8195567178750055,0.9062133615182808,-0.16006615489985446,-0.22017180530574915,-0.10349288861133962,-0.8516988819882628,-1.171516118079841,-0.5506771720677718,-57.74229708395002,-79.42482156473498,-37.33404556391673,-0.08275765585817552,-0.11639316108263942,-0.0523324483828364,-5.610688532757662,-7.891061768314537,-3.5479626022261965,0.8345175372903613,0.7966779244817513,0.9143629100711406,-0.1982971661050437,-0.25521238793018164,-0.09365765932281372,-1.4422577427919585,-1.856214336183432,-0.681192207550483,-183.96144678468855,-236.76203267645815,-86.88676116715344,0.8195567178750055,-0.22017180530574915,-1.6013566768699452,0.7787733145953029,-0.2840707061459338,-2.0661070628831917,0.9062133615182808,-0.10349288861133962,-0.7527259358035463,-204.25467817218689,-263.53406414326423,-96.01096119943192,-0.15909893407798692,-0.20989272669975967,-0.07153372825306326,-20.29323138749833,-26.77203146680608,-9.124200032278477,0.9379
18003001600,18003001600,Census Tract 16; Allen County; Indiana,1409,981,328,Fort Wayne city,Indiana,139581,0.5331505921408065,0.26894550091139885,18003,1409,981,328,0.012314,0.00927705879,0.003607402022,0.8379300026985215,0.7648973190760203,0.8763986272777131,-0.1934171073711865,-0.30736502150115874,-0.14103327969170826,-3.355869208577826,-5.3329140605442635,-2.4469874828282867,-238.17382601687905,-378.4892874765269,-173.66838061236953,0.8232438879172269,0.744669304777551,0.8649118702545742,-0.21470686230050096,-0.3428779641974391,-0.15618716124876933,-3.725255526037031,-5.9490787448383164,-2.7099137833968396,-264.3900302368369,-422.2199251127265,-238.17382601687905,-0.3693863174592056,-0.6161646842940529,-0.26292630056855293,-26.216204219957813,-43.73063763619964,-18.66048974936501,0.8958832301579236,0.8629913660807812,0.9296719887547382,-0.11621689784696942,-0.15876014442813552,-0.07564819860762245,-0.41127549191033413,-0.5618301443686298,-0.2677084887900567,-41.92410722837249,-57.2711666023068,-27.289346461779484,0.8860873732942637,0.8503683658914352,0.92291715859401,-0.12855687840606064,-0.17596096010898413,-0.08352086716365677,-0.4549449725850547,-0.6227014467476967,-0.2955687715287468,-46.37563431040313,-63.47619232902106,-30.129334508536875,-0.04366948067472054,-0.0608713023790669,-0.02786028273869006,-4.451527082030636,-6.205025726714261,-2.839988046757397,0.8629913660807812,0.8309815607188784,0.9296719887547382,-0.15876014442813552,-0.20339613689490835,-0.07564819860762245,-0.483087319424935,-0.6189090776396086,-0.2301880337556872,-147.28271933687043,-188.6917919632953,-70.17927858405098,0.8503683658914352,-0.17596096010898413,-0.5354272563096921,0.8157376843110317,-0.22588427534103128,-0.6873376782806967,0.92291715859401,-0.08352086716365677,-0.25414358231704004,-163.24001716758906,-209.5541702075295,-77.48279948690245,-0.05233993688475713,-0.06842860064108813,-0.02395554856135284,-15.957297830718636,-20.862378244234183,-7.303520902851478,0.9484
18003002600,18003002600,Census Tract 26; Allen County; Indiana,1985,1375,326,Fort Wayne city,Indiana,56236,0.6095161519437832,0.18615140584977455,18003,1985,1375,326,0.012314,0.00927705879,0.003607402022,0.8122113774614592,0.7295953774134575,0.8562485508126937,-0.23120658950317605,-0.3706227190544627,-0.16788518830293736,-5.651449717137088,-9.05923860243676,-4.103666344393306,-284.707794314211,-456.3848162436654,-206.73382087623708,0.7954922916545648,0.7069525756482102,0.8430626211267711,-0.25708320557082254,-0.4145220407225935,-0.1861515087259814,-6.283959347897231,-10.132282452774165,-4.550155311726694,-316.5722593399109,-510.4424409458017,-284.707794314211,-0.6325096307601434,-1.0730438503374042,-0.44648896733338805,-31.86446502569992,-54.05762470213623,-22.493146968936426,0.8786849903854989,0.8408610272523067,0.9177960806298906,-0.13806427894173717,-0.189257163300473,-0.0895666489594205,-0.6848233686530425,-0.9387491761561516,-0.4442665020199693,-49.80533590203945,-68.27266735681104,-32.31029105599777,0.867394229654803,0.8264120601723173,0.9099568918652428,-0.15287831739204696,-0.21005010477640831,-0.0989531580448668,-0.7583036330100384,-1.041885862451125,-0.4908252558197147,-55.1493551280028,-75.77351726917271,-35.696382241433795,-0.07348026435699595,-0.1031366862949732,-0.04655875379974544,-5.344019225963342,-7.500849912361686,-3.3860911854360323,0.8408610272523067,0.8042945805898255,0.9177960806298906,-0.189257163300473,-0.24332554779450943,-0.0895666489594205,-0.5723744446996807,-0.7358946043115498,-0.2708783121744667,-175.57498303671187,-225.73454119986192,-83.09150680198364,0.8264120601723173,-0.21005010477640831,-0.6352589776991865,0.7869672450413328,-0.27070091709786276,-0.8186865131101553,0.9099568918652428,-0.0989531580448668,-0.2992661302721154,-194.86471708564,-251.13083224237897,-91.79942646383908,-0.0628845329995058,-0.08279190879860543,-0.02838781809764873,-19.28973404892816,-25.396291042517003,-8.707919661855438,0.636
18003011302,18003011302,Census Tract 113.02; Allen County; Indiana,3463,2179,840,Fort Wayne city,Indiana,137543,0.7313690302353332,0.17732666720171805,18003,3463,2179,840,0.012314,0.00927705879,0.003607402022,0.7727981183568359,0.6766087188769875,0.8250510606105014,-0.29399900989181077,-0.477959080485641,-0.2120461965833292,-12.537112086438269,-20.381791649517936,-9.042366962550002,-362.03038078077583,-588.5588117100184,-261.1136864727116,0.7531347065524437,0.6506858294902843,0.8093360949986028,-0.3277837169098328,-0.536839984333686,-0.2355806273557172,-13.97780625356586,-22.89267252481539,-10.045954684129498,-403.63286900276813,-661.064756708501,-362.03038078077583,-1.440694167127594,-2.5108808752974525,-1.0035877215794962,-41.60248822199232,-72.5059449984826,-28.980298053118577,0.8519236781842101,0.8067179368524348,0.8991596287291166,-0.17381406997795826,-0.23959063548492848,-0.1121495761697091,-1.366270538701878,-1.8833091397803985,-0.8815549964856514,-62.70172274905361,-86.42997429005959,-40.45686078410516,0.8383797076773042,0.7895759011293787,0.8896526551911169,-0.1927769611343028,-0.2665026865303752,-0.12403418813511892,-1.5153288946727697,-2.0948520976324163,-0.9749743335640731,-69.54239993908993,-96.13823302581076,-44.744118107575645,-0.14905835597089157,-0.21154295785201785,-0.09341933707842189,-6.8406771900363275,-9.708258735751162,-4.287257323470485,0.8067179368524348,0.7634749384205683,0.8991596287291166,-0.23959063548492848,-0.3098006885055594,-0.1121495761697091,-1.867064985178799,-2.414192928376784,-0.8739512975759784,-222.26964109271415,-287.40392004485517,-104.04182113999744,0.7895759011293787,-0.2665026865303752,-2.0767833161335947,0.7431462047297623,-0.34563023216089755,-2.6934028660207163,0.8896526551911169,-0.12403418813511892,-0.966564862451512,-247.23610906352317,-320.6431983357996,-115.0672455299419,-0.20971833095479564,-0.27920993764393254,-0.0926135648755334,-24.966467970809003,-33.23927829094435,-11.025424389944453,0.9694
