geoid,GEOID,NAME,over20,over35,over55,city,state,totalCells,meanNDVI,standardDevNDVI,countyGEOID,popOver20_2023,popOver35_2023,popOver55_2023,mortalityRate,DementiaRate,StrokeRate,rr_Mortality,rr_Mortality_low,rr_Mortality_high,paf_Mortality,paf_Mortality_low,paf_Mortality_high,ls_Mortality,ls_Mortality_low,ls_Mortality_high,ls_Mortality_Rate,ls_Mortality_low_Rate,ls_Mortality_high_Rate,rr_Mortality10,rr_Mortality_low10,rr_Mortality_high10,paf_Mortality10,paf_Mortality_low10,paf_Mortality_high10,ls_Mortality10,ls_Mortality_low10,ls_Mortality_high10,ls_Mortality10_Rate,ls_Mortality_low10_Rate,ls_Mortality_high10_Rate,ls_Mortality_Change,ls_Mortality_Change_low,ls_Mortality_Change_high,ls_Mortality_Change_Rate,ls_Mortality_Change_low_Rate,ls_Mortality_Change_high_Rate,rr_Stroke,rr_Stroke_low,rr_Stroke_high,paf_Stroke,paf_Stroke_low,paf_Stroke_high,ls_Stroke,ls_Stroke_low,ls_Stroke_high,ls_Stroke_Rate,ls_Stroke_low_Rate,ls_Stroke_high_Rate,rr_Stroke10,rr_Stroke_low10,rr_Stroke_high10,paf_Stroke10,paf_Stroke_low10,paf_Stroke_high10,ls_Stroke10,ls_Stroke_low10,ls_Stroke_high10,ls_Stroke10_Rate,ls_Stroke_low10_Rate,ls_Stroke_high10_Rate,ls_Stroke_Change,ls_Stroke_Change_low,ls_Stroke_Change_high,ls_Stroke_Change_Rate,ls_Stroke_Change_low_Rate,ls_Stroke_Change_high_Rate,rr_Dementia,rr_Dementia_low,rr_Dementia_high,paf_Dementia,paf_Dementia_low,paf_Dementia_high,ls_Dementia,ls_Dementia_low,ls_Dementia_high,ls_Dementia_Rate,ls_Dementia_low_Rate,ls_Dementia_high_Rate,rr_Dementia10,paf_Dementia10,ls_Dementia10,rr_Dementia_low10,paf_Dementia_low10,ls_Dementia_low10,rr_Dementia_high10,paf_Dementia_high10,ls_Dementia_high10,ls_Dementia_10_Rate,ls_Dementia_low10_Rate,ls_Dementia_high10_Rate,ls_Dementia_Change,ls_Dementia_Change_low,ls_Dementia_Change_high,ls_Dementia_Change_Rate,ls_Dementia_Change_low_Rate,ls_Dementia_Change_high_Rate,RPL_THEMES
48141003403,48141003403,Census Tract 34.03; El Paso County; Texas,3105,1887,690,El Paso city,Texas,91985,0.18518717991214276,0.14032583594931552,48141,3105,1887,690,0.010132,0.006897320142,0.003436016044,0.9658225996241676,0.9486551665377562,0.9743863995626544,-0.03538683024101104,-0.05412381155276228,-0.0262869026587832,-1.1132647252259735,-1.7027275341162842,-0.8269822774789474,-35.85393640019238,-54.83824586525875,-26.633889773879144,0.9624697744257982,0.9436679688360164,0.971861403317729,-0.03899366668069349,-0.05969475813984381,-0.02895330196899663,-1.226735294661282,-1.877988733813347,-0.9108668264823584,-39.50838308087864,-60.48272894728975,-35.85393640019238,-0.11347056943530842,-0.17526119969706278,-0.08388454900341114,-3.6544466806862617,-5.644483082031008,-2.701595781108249,0.978609313276724,0.9714366167784362,0.9857605893444752,-0.02185824969481701,-0.02940323921110595,-0.01444510037167739,-0.14172369476939686,-0.19064361316059283,-0.09365859684887486,-7.510529664514937,-10.103000167492995,-4.963359663427391,0.9764955736418822,0.968625540953291,0.9843478480874032,-0.02407018218265651,-0.03239069972884591,-0.01590103736500172,-0.1560653391889594,-0.2100135969636508,-0.10309854620100878,-8.27055321616107,-11.129496394470102,-5.463621950238939,-0.01434164441956253,-0.01936998380305799,-0.00943994935213392,-0.7600235516461334,-1.026496226977106,-0.5002622868115486,0.9714366167784362,0.9642422115429592,0.9857605893444752,-0.02940323921110595,-0.03708382399047029,-0.01444510037167739,-0.13993445229505563,-0.17648751424477893,-0.06874641240527972,-20.280355405080527,-25.577900615185353,-9.96324817467822,0.968625540953291,-0.03239069972884591,-0.15415222770073758,0.9607375242415046,-0.04086701598284385,-0.1944922958125143,0.9843478480874032,-0.01590103736500172,-0.07567543625446146,-22.340902565324285,-28.18728924819047,-10.967454529632096,-0.01421777540568194,-0.01800478156773535,-0.00692902384918174,-2.0605471602437606,-2.6093886330051244,-1.004206354953876,0.8593
48141004004,48141004004,Census Tract 40.04; El Paso County; Texas,3281,2236,1046,El Paso city,Texas,94498,0.25996134826892736,0.18846513855525523,48141,3281,2236,1046,0.010132,0.006897320142,0.003436016044,0.9367869353600408,0.9057637848705298,0.9524449594887452,-0.06747859332139844,-0.10404060827287367,-0.04992943690602496,-2.243197085813834,-3.4586315125511016,-1.6598088645751834,-68.36931075324091,-105.41394430207563,-50.5885054731845,0.9306897006358658,0.89684305118773,0.9478156526553966,-0.07447197418944258,-0.11502229813305076,-0.05505748633545348,-2.4756786894012657,-3.823696838888435,-1.830281083538223,-75.45500424874324,-116.54059246840708,-68.36931075324091,-0.23248160358743153,-0.365065326337334,-0.17047221896303966,-7.0856934955023325,-11.126648166331425,-5.195739681896972,0.9602107707020534,0.9470378887525062,0.9734289549334784,-0.04143801601897768,-0.05592396236359522,-0.02729633727439032,-0.3183654540834384,-0.4296599929851169,-0.20971589969934948,-14.238168787273633,-19.215563192536536,-9.37906528172404,0.956319982329123,0.9418984666482388,0.970810995053851,-0.04567510715868771,-0.06168555891009839,-0.03006661965600197,-0.35091873665538664,-0.4739259467395868,-0.23099979051007807,-15.694040100867024,-21.19525700982052,-10.330938752686857,-0.03255328257194823,-0.0442659537544699,-0.02128389081072859,-1.4558713135933914,-1.9796938172839849,-0.9518734709628172,0.9470378887525062,0.9339106233020182,0.9734289549334784,-0.05592396236359522,-0.07076627575378705,-0.02729633727439032,-0.4034688437442955,-0.510550151450944,-0.19693206942220973,-38.57254720308752,-48.80976591309216,-18.827157688547775,0.9418984666482388,-0.06168555891009839,-0.445036440146442,0.927546833439401,-0.07811267738572095,-0.5635514776596726,0.970810995053851,-0.03006661965600197,-0.21691854001753452,-42.54650479411492,-53.87681430780809,-20.737910135519552,-0.04156759640214652,-0.05300132620872866,-0.01998647059532479,-3.973957591027392,-5.0670483947159335,-1.9107524469717776,0.9872
48141000204,48141000204,Census Tract 2.04; El Paso County; Texas,3075,2013,864,El Paso city,Texas,90141,0.2227859191885291,0.12876907288718994,48141,3075,2013,864,0.010132,0.006897320142,0.003436016044,0.9511118015987992,0.9268400416065178,0.963291110064095,-0.05140110586265547,-0.07893482705675083,-0.03810778439911329,-1.6014477141463077,-2.4592855782974232,-1.1872823199603335,-52.07960046004253,-79.97676677389994,-38.61080715318159,0.946356408868702,0.9198251222414614,0.9596951666579308,-0.05668434284227523,-0.08716317462950535,-0.04199753707463998,-1.766051717159643,-2.7156471524394057,-1.308471065343776,-57.43257616779327,-88.31372853461481,-52.07960046004253,-0.16460400301333533,-0.25636157414198246,-0.12118874538344215,-5.352975707750742,-8.336961760714876,-3.941097410843648,0.9693143159338048,0.959090616767052,0.9795404623778132,-0.03165710395665997,-0.04265434622939716,-0.02088687339420537,-0.21896270032564064,-0.29502732921495606,-0.1444682434001621,-10.877431710165952,-14.656101799053951,-7.176763209148639,0.9662980199694572,0.9550928773736168,0.9775176739122894,-0.03487741807812868,-0.04701859231729603,-0.02299940623859032,-0.2412366479646583,-0.3252135114254394,-0.15907999995143762,-11.98393680897458,-16.15566375685243,-7.902632883827006,-0.02227394763901766,-0.03018618221048336,-0.01461175655127552,-1.106505098808627,-1.4995619577984778,-0.725869674678367,0.959090616767052,0.9488693897760788,0.9795404623778132,-0.04265434622939716,-0.05388582535683597,-0.02088687339420537,-0.2541893887225694,-0.32112096935212714,-0.1244708230163817,-29.420068139186274,-37.166778860199905,-14.406345256525658,0.9550928773736168,-0.04701859231729603,-0.28019717323652654,0.9439023782267476,-0.05943159278678743,-0.3541697758075255,0.9775176739122894,-0.02299940623859032,-0.13706000746859764,-32.43022838385724,-40.991872199945085,-15.863426790346953,-0.02600778451395713,-0.03304880645539837,-0.01258918445221594,-3.0101602446709643,-3.825093339745182,-1.4570815338212904,0.9164
48141001001,48141001001,Census Tract 10.01; El Paso County; Texas,1774,1450,546,El Paso city,Texas,47845,0.23275063673573695,0.10932748280844284,48141,1774,1450,546,0.010132,0.006897320142,0.003436016044,0.947250730736933,0.9211429966337572,0.960371786507773,-0.05568670210687473,-0.08560777605042809,-0.04126340866002342,-1.0009221390349206,-1.5387285488367712,-0.7416754395079159,-56.421766574685485,-86.73779869429376,-41.808085654335734,0.9421313248824992,0.9136077185090848,0.9564963835120532,-0.06142315151735146,-0.09456168084032676,-0.04548225925142629,-1.1040300444623303,-1.6996675377864143,-0.8175057688046905,-62.23393711738052,-95.80989502741907,-56.421766574685485,-0.10310790542740976,-0.1609389889496431,-0.07583032929677458,-5.812170542695027,-9.072096333125314,-4.274539419209391,0.9668657158732614,0.9558449664710424,0.977898544392716,-0.03426978905422465,-0.0461947649229947,-0.02260096994111925,-0.17073974027147668,-0.2301526324651164,-0.11260307822508887,-11.77515450148115,-15.87259534242182,-7.76572953276475,0.9636132807648102,0.9515381458254388,0.9757154449489912,-0.03776070749700543,-0.05093001724331456,-0.02488897267817498,-0.1881322753491275,-0.25374471673537696,-0.124002418689286,-12.974639679250172,-17.499635636922548,-8.55189094408869,-0.01739253507765081,-0.02359208427026055,-0.01139934046419713,-1.199485177769022,-1.6270402945007274,-0.7861614113239402,0.9558449664710424,0.9448364085825458,0.977898544392716,-0.0461947649229947,-0.05838427786690738,-0.02260096994111925,-0.17396656507684624,-0.2198715004163196,-0.08511382436117565,-31.86200825583264,-40.26950557075451,-15.58861252036184,0.9515381458254388,-0.05093001724331456,-0.1917992260355376,0.9394902603807468,-0.06440698980182119,-0.24255265291294667,0.9757154449489912,-0.02488897267817498,-0.09373029806150776,-35.128063376472085,-44.42356280456899,-17.166721256686404,-0.01783266095869135,-0.02268115249662705,-0.00861647370033211,-3.2660551206394413,-4.154057233814479,-1.5781087363245625,0.801
48141000106,48141000106,Census Tract 1.06; El Paso County; Texas,3829,2631,1321,El Paso city,Texas,81353,0.26633777313708323,0.1526693243423877,48141,3829,2631,1321,0.010132,0.006897320142,0.003436016044,0.9343516649933176,0.9021971899613672,0.9505969080425548,-0.07026084232123882,-0.10840513706634428,-0.05197060030331353,-2.725799449492974,-4.20562368988749,-2.0162216821839785,-71.18828543987917,-109.83608487562002,-52.656612227317275,0.928028684828004,0.8929592020614286,0.945792873029044,-0.07755289933234645,-0.11987199156631544,-0.05731395162383639,-3.008697922239295,-4.650485218027598,-2.223519283618028,-78.57659760353343,-121.45430185499082,-71.18828543987917,-0.2828984727463215,-0.444861528140108,-0.2072976014340493,-7.388312163654258,-11.618216979370803,-5.413883557953755,0.9586579197727086,0.9449858449123792,0.9723845311699326,-0.04312495560156983,-0.05821690915668875,-0.02839974099222001,-0.3898564215134895,-0.5262900693763587,-0.25673815174278847,-14.817803934378162,-20.003423389447303,-9.758196569471243,0.954618905326332,0.9396537115283472,0.96966528018505,-0.04753844117318714,-0.06422183803594987,-0.03128370215458359,-0.42975502934624754,-0.5805755764952698,-0.282809616927138,-16.334284657782117,-22.06672658666932,-10.74913025188666,-0.03989860783275806,-0.05428550711891111,-0.02607146518434955,-1.5164807234039552,-2.063303197222011,-0.9909336824154144,0.9449858449123792,0.9313686546234992,0.9723845311699326,-0.05821690915668875,-0.07368869999629156,-0.02839974099222001,-0.5304352120335973,-0.6714042667880488,-0.25876026146222647,-40.15406601314136,-50.825455472221705,-19.588210557322217,0.9396537115283472,-0.06422183803594987,-0.5851482802719783,0.9247700995867012,-0.08134984083819383,-0.7412076783012961,0.96966528018505,-0.03128370215458359,-0.2850370695720095,-44.29585770416187,-56.109589576176845,-21.577370898713816,-0.05471306823838096,-0.06980341151324732,-0.02627680810978305,-4.1417916910205115,-5.284134103955133,-1.9891603413916017,0.6468
48141001900,48141001900,Census Tract 19; El Paso County; Texas,1259,823,476,El Paso city,Texas,37362,0.17864841670908146,0.1252349820781333,48141,1259,823,476,0.010132,0.006897320142,0.003436016044,0.9684040687982688,0.9525010921606082,0.9763289753753988,-0.0326268055037604,-0.04986756259947959,-0.02424492688593987,-0.4161936648454024,-0.6361200036207304,-0.3092728454033035,-33.05747933641004,-50.52581442579273,-24.564959920834273,0.9652999107410242,0.9478770986627366,0.9739929117094872,-0.03594746966498514,-0.0549890923736825,-0.02670151700063904,-0.45855268117084746,-0.7014512002680602,-0.3406095707453477,-36.42197626456294,-55.71494839301511,-33.05747933641004,-0.04235901632544503,-0.06533119664732978,-0.03133672534204418,-3.3644969281529016,-5.189133967222381,-2.489017104213199,0.980234872361861,0.9735998640297392,0.9868463508828385,-0.02016366505153525,-0.02711600211301426,-0.01332897376110711,-0.05701964286066088,-0.0766797480686814,-0.0376922212115193,-6.928267662291724,-9.317101830945491,-4.579856769321908,0.9782799745268684,0.9709984910945232,0.98554053977533,-0.02220225910648538,-0.02986771778891851,-0.01467160369472605,-0.06278446312791046,-0.08446116303927952,-0.04148896545981535,-7.628731850292888,-10.262595752038823,-5.04118656862884,-0.00576482026724958,-0.00778141497059811,-0.00379674424829604,-0.7004641880011641,-0.9454939210933312,-0.4613297993069317,0.9735998640297392,0.9669409957188024,0.9868463508828385,-0.02711600211301426,-0.03418926741917922,-0.01332897376110711,-0.08902520783123333,-0.1122476176578119,-0.04376067881666463,-18.702774754460783,-23.58143228105292,-9.19341991946736,0.9709984910945232,-0.02986771778891851,-0.09805943267451378,0.9636958103593064,-0.03767183508575996,-0.12368132049540248,0.98554053977533,-0.01467160369472605,-0.04816869989523999,-20.600721150107937,-25.98347069231145,-10.119474767907562,-0.00903422484328045,-0.01143370283759058,-0.00440802107857536,-1.897946395647154,-2.402038411258526,-0.9260548484402016,0.9994
48141000208,48141000208,Census Tract 2.08; El Paso County; Texas,3133,1440,494,El Paso city,Texas,111543,0.2454761605125916,0.15203817104784492,48141,3133,1440,494,0.010132,0.006897320142,0.003436016044,0.9423426998753722,0.9139184253905732,0.9566565005351836,-0.06118506582823121,-0.09418956026916624,-0.04530727532878188,-1.942231563482144,-2.9899115810196535,-1.438214031606606,-61.992708697163856,-95.43286246471924,-45.9053313631218,0.9367630621408812,0.9057287979206056,0.9524268487639438,-0.0675057977997091,-0.10408325571167062,-0.04994940167614602,-2.142874072779742,-3.3039726563457363,-1.5855716292732354,-68.39687433066527,-105.45715468706469,-61.992708697163856,-0.20064250929759875,-0.31406107532608285,-0.14735759766662926,-6.404165633501396,-10.024292222345448,-4.703402415149354,0.9637477025465798,0.951716047075642,0.9758057206404928,-0.03761596251552987,-0.05073357024158748,-0.02479415609864099,-0.18611863302796303,-0.25102276030007353,-0.12267809013941408,-12.924905071386323,-17.432136131949548,-8.519311815237089,0.9601955553516346,0.9470177766631296,0.9734187240820588,-0.04145451874518266,-0.055946387325015307,-0.02730713439173616,-0.20511128376683477,-0.2768150656117308,-0.13511196271536427,-14.243839150474637,-19.223268445259084,-9.382775188566963,-0.01899265073887171,-0.02579230531165727,-0.01243387257595018,-1.3189340790883135,-1.7911323133095325,-0.8634633733298742,0.951716047075642,0.9397109703068868,0.9758057206404928,-0.05073357024158748,-0.06415699252018353,-0.02479415609864099,-0.17286328389601932,-0.21860059047924496,-0.08448053673794603,-34.992567590287315,-44.251131675960515,-17.101323226304867,0.9470177766631296,-0.055946387325015307,-0.19062479121946704,0.9338857025960215,-0.07079484911289839,-0.24121760093570496,0.9734187240820588,-0.02730713439173616,-0.09304294774184883,-38.58801441689616,-48.82947387362448,-18.834604806042275,-0.01776150732344769,-0.02261701045646,-0.00856241100390281,-3.595446826608845,-4.578342197663968,-1.733281579737412,0.8729
48141010328,48141010328,Census Tract 103.28; El Paso County; Texas,3157,1845,881,El Paso city,Texas,86778,0.22145573247176484,0.132437628566069,48141,3157,1845,881,0.010132,0.006897320142,0.003436016044,0.9516284038750736,0.9276031991078472,0.963681480339935,-0.05083034084308031,-0.07804716603153451,-0.03768726534752316,-1.6258960833735372,-2.49647315883287,-1.2054921549859876,-51.50130134220896,-79.07738862315077,-38.18473725011047,0.9469218455125332,0.9206582761123596,0.9601229796610904,-0.05605336357905804,-0.08617934139762969,-0.04153324228630131,-1.792963470074982,-2.756594807787755,-1.328512357837049,-56.793267978301614,-87.3169087040784,-51.50130134220896,-0.16706738670144494,-0.2601216489548852,-0.1230202028510614,-5.291966636092649,-8.239520080927628,-3.896743834370016,0.9696416475130678,0.9595247104712864,0.9797598499100104,-0.03130883720268735,-0.04218264426857072,-0.0206582767112252,-0.1984807955179859,-0.2674147473851085,-0.1309621040580427,-10.757766694741782,-14.494024248515364,-7.0982170221161365,0.9666569703233132,0.955568400850762,0.977758504546439,-0.03449313531100367,-0.04649756010106629,-0.02274743236713483,-0.21866749289079,-0.2947689388385478,-0.144206201047702,-11.851896633647154,-15.976636251411804,-7.8160542573280205,-0.02018669737280409,-0.02735419145343931,-0.01324409698965928,-1.0941299389053711,-1.4826120028964398,-0.7178372352118851,0.9595247104712864,0.9494090518051976,0.9797598499100104,-0.04218264426857072,-0.05328677675719342,-0.0206582767112252,-0.2563244849236181,-0.32379917955271953,-0.1255308250402813,-29.09472019564337,-36.75359586296476,-14.24867480593431,0.955568400850762,-0.04649756010106629,-0.28254423945610624,0.9444929158048364,-0.05876919060622481,-0.35711328136776677,0.977758504546439,-0.02274743236713483,-0.13822566095471184,-32.07085578389401,-40.53499220973516,-15.689632344462185,-0.02621975453248815,-0.03331410181504724,-0.01269483591443054,-2.9761355882506413,-3.7813963467704017,-1.4409575385278712,0.6312
48141010367,48141010367,Census Tract 103.67; El Paso County; Texas,7024,4606,1082,El Paso city,Texas,108084,0.1965747146969168,0.11528926862301855,48141,7024,4606,1082,0.010132,0.006897320142,0.003436016044,0.9613432779011654,0.9419943572461132,0.9710125434235886,-0.04021115348435285,-0.06157748431048387,-0.02985281371773807,-2.8617139154947253,-4.38229517094157,-2.12454020912297,-40.74194071034631,-62.39030710338227,-30.246870858812215,0.9575607655595028,0.9363821610909234,0.968160420286186,-0.0443201475738199,-0.06794003725461749,-0.03288667771029341,-3.154139388170834,-4.835100045225622,-2.3404517175703066,-44.90517352179433,-68.83684574637844,-40.74194071034631,-0.29242547267610863,-0.4528048742840518,-0.2159115084473364,-4.163232811448015,-6.446538642996181,-3.0739109972570673,0.975784765598511,0.9676806976199288,0.9838725403733606,-0.02481616362050522,-0.03339872590159404,-0.01639181800979968,-0.3927477996307947,-0.5285779183646454,-0.25942166378923137,-8.526873635058505,-11.475855804703547,-5.632254967199986,0.9733957299463566,0.9645067826675086,0.9822741693804506,-0.02733140205485549,-0.03679934446321764,-0.01804570574295928,-0.43255469225708393,-0.5823970935556784,-0.28559657051405934,-9.391113596549804,-12.64431379842984,-6.200533445811101,-0.03980689262628917,-0.05381917519103296,-0.02617490672482797,-0.8642399614912977,-1.1684579937262911,-0.5682784786111154,0.9676806976199288,0.9595601333717104,0.9838725403733606,-0.03339872590159404,-0.04214417129460324,-0.01639181800979968,-0.2492513646782142,-0.31451775254429465,-0.12233050507787488,-23.03617048782017,-29.06818415381651,-11.305961652298972,0.9645067826675086,-0.03679934446321764,-0.27462984228038806,0.95560720545169,-0.04645506469085993,-0.3466895205681761,0.9822741693804506,-0.01804570574295928,-0.1346733044927146,-25.381685977854723,-32.04154533901812,-12.446700969751811,-0.02537847760217385,-0.03217176802388144,-0.01234279941483972,-2.3455154900345514,-2.973361185201612,-1.1407393174528393,0.3948
48141010230,48141010230,Census Tract 102.30; El Paso County; Texas,1285,872,269,El Paso city,Texas,72675,0.32796430836991614,0.19278418093730387,48141,1285,872,269,0.010132,0.006897320142,0.003436016044,0.9111392153089852,0.8684425568466344,0.9329197248283088,-0.09752712121042922,-0.1514866379085087,-0.07190358761471835,-1.2697660578537284,-1.9722984606463776,-0.9361573873803392,-98.81447921040689,-153.486261528901,-72.85271497123263,0.9026995228870976,0.8562788301274132,0.9264643298914208,-0.10778833337776345,-0.16784389011602824,-0.07937237056627697,-1.4033631410117964,-2.1852636686324436,-1.033398103272111,-109.21113937834993,-170.05942946555982,-98.81447921040689,-0.13359708315806795,-0.21296520798606575,-0.09724071589177163,-10.396660167943033,-16.573167936658816,-7.5673708865191935,0.9437788260454676,0.9253810800358164,0.9623480118966802,-0.05957028532850769,-0.08063588242078129,-0.03912512691652157,-0.1784848457492057,-0.2416017139477546,-0.1172269396411902,-20.46844561344102,-27.706618571990205,-13.443456380870437,0.9383335668583545,0.9182325365209048,0.9586616819021186,-0.06571909534059583,-0.08904875423920854,-0.04312086200823251,-0.19690794714105897,-0.26680841088632445,-0.12919898505889815,-22.58118659874529,-30.597294826413357,-14.816397369139697,-0.01842310139185324,-0.02520669693856986,-0.01197204541770795,-2.1127409853042707,-2.8906762544231492,-1.3729409882692607,0.9253810800358164,0.907154952151742,0.9623480118966802,-0.08063588242078129,-0.10234750703618224,-0.03912512691652157,-0.1496101324209868,-0.18989342735455544,-0.07259194347776063,-55.617149598879855,-70.59235217641465,-26.98585259396306,0.9182325365209048,-0.08904875423920854,-0.16521919911697314,0.8983583799635247,-0.11314150599964584,-0.20992038763321663,0.9586616819021186,-0.04312086200823251,-0.08000554692877208,-61.41977662341008,-78.03731882275711,-29.741839006978473,-0.01560906669598632,-0.02002696027866121,-0.00741360345101145,-5.802627024530233,-7.444966646342459,-2.755986413015411,0.5374
48141004202,48141004202,Census Tract 42.02; El Paso County; Texas,3313,2229,998,El Paso city,Texas,73101,0.1966797634927434,0.1424571866109963,48141,3313,2229,998,0.010132,0.006897320142,0.003436016044,0.9613020534881516,0.9419331301995092,0.970981474402506,-0.04025576182993693,-0.0616464884170618,-0.02988576647700785,-1.3512778781662311,-2.069307156985853,-1.0031849672359294,-40.7871378860921,-62.46022206416701,-30.28025859450436,0.9575155972242906,0.9363152128123102,0.9681263448013232,-0.0443694106904013,-0.06801639695290923,-0.03292303258746443,-1.4893620293784784,-2.2831278896997413,-1.1051378385417163,-44.95508691151459,-68.91421339268763,-40.7871378860921,-0.13808415121224726,-0.21382073271388835,-0.1019528713057869,-4.167949025422495,-6.453991328520626,-3.077358023114606,0.97575874743282,0.9676461173506516,0.983855140166801,-0.02484348988001144,-0.03343565593786606,-0.01640979365159575,-0.19027330186135957,-0.25607966859425857,-0.12568063649804995,-8.536262981667095,-11.488545024417164,-5.638431426561236,0.9733671800731016,0.9644688692016028,0.9822550602647948,-0.02736153475495041,-0.0368401012547043,-0.01806551114170045,-0.20955870479402883,-0.2821539059324854,-0.13836157767472812,-9.401467240647325,-12.658317897374848,-6.207338612594353,-0.01928540293266931,-0.02607423733822683,-0.01268094117667817,-0.8652042589802293,-1.1697728729576866,-0.5689071860331169,0.9676461173506516,0.9595170476996764,0.983855140166801,-0.03343565593786606,-0.04219096721353373,-0.01640979365159575,-0.230155190314903,-0.2904225987564231,-0.11295723307865672,-23.061642316122548,-29.100460797236785,-11.318360027921514,0.9644688692016028,-0.0368401012547043,-0.25358977647255665,0.9555600065599732,-0.04650675324934474,-0.320130421993878,0.9822550602647948,-0.01806551114170045,-0.12435440664542964,-25.409797241739145,-32.077196592572946,-12.4603613873176,-0.02343458615765364,-0.02970782323745485,-0.01139717356677291,-2.3481549256165977,-2.9767357953361575,-1.1420013593960838,0.8857
